accession	pool	n_samples	cu_cu_mean	cu_cu_sd	cu_cu_min	cu_cu_max	cu1_plddt_mean	cu1_plddt_sd	cu2_plddt_mean	cu2_plddt_sd	n_coordinating_his_values	his_agreement	min_coord_his_plddt_mean	min_coord_his_plddt_sd	n_canonical	all_canonical	any_canonical
A0A010SFQ0	canonical	5	4.1920	0.0733	4.1081	4.3074	97.2240	0.3783	96.2220	0.2668	6	yes	95.1560	1.2906	5	yes	yes
A0A010SKU6	canonical	5	4.1371	0.0678	4.0365	4.2022	92.6820	0.2285	88.8620	0.2807	6	yes	90.2480	0.2171	5	yes	yes
A0A010SMB4	canonical	5	4.2454	0.0562	4.1883	4.3239	97.8720	0.0277	97.3540	0.0451	6	yes	98.1220	0.0466	5	yes	yes
A0A010SNL7	canonical	5	4.0562	0.0611	3.9561	4.1179	97.7720	0.0614	96.9880	0.0415	6	yes	98.2800	0.0946	5	yes	yes
A0A014N831	noncanonical	5	3.7508	0.0065	3.7434	3.7607	96.2600	0.2285	94.5620	0.0733	5	yes	95.3880	0.4099	0	no	no
A0A014P1F1	canonical	5	4.0064	0.0248	3.9809	4.0446	98.1540	0.0167	98.1000	0.0141	6	yes	98.7460	0.0134	5	yes	yes
A0A014P933	discarded	5	17.7874	0.2825	17.3771	18.1601	81.3660	0.4102	34.3740	1.6817	4	yes	51.1120	1.3632	0	no	no
A0A014PGS4	discarded	5	3.8987	0.1510	3.6601	4.0272	85.2140	0.3606	56.5400	2.0348	4	yes	82.6680	1.1041	0	no	no
A0A014PNW6	canonical	5	3.9353	0.0665	3.8795	4.0400	95.4300	0.1437	90.2680	0.3100	6	yes	90.7360	0.4145	5	yes	yes
A0A014QX88	canonical	5	3.9849	0.0285	3.9512	4.0277	98.3720	0.0277	97.9080	0.0311	6	yes	98.7220	0.0421	5	yes	yes
A0A015J8T7	discarded	5	2.8004	0.4271	2.5271	3.5316	64.7820	3.0732	40.6800	6.7691	2	yes	65.6420	0.9697	0	no	no
A0A016RWG9	canonical	5	4.0987	0.0444	4.0204	4.1308	97.5380	0.0303	96.5460	0.0623	6	yes	97.7300	0.0316	5	yes	yes
A0A016RXK8	canonical	5	4.0940	0.1043	3.9538	4.1951	97.7140	0.0404	96.8340	0.0365	6	yes	97.6900	0.0894	5	yes	yes
A0A016S930	canonical	5	4.3151	0.0559	4.2532	4.3803	96.1260	0.1638	94.6200	0.2898	6	yes	94.3720	0.3124	5	yes	yes
A0A016SJ50	canonical	5	4.1553	0.0514	4.0682	4.2038	96.4900	0.1044	96.9580	0.0390	6	yes	96.3740	0.3941	5	yes	yes
A0A016SK14	canonical	5	4.0936	0.0505	4.0467	4.1632	97.6140	0.0297	96.4200	0.0534	6	yes	97.7320	0.0887	5	yes	yes
A0A016T0A5	canonical	5	4.1887	0.0680	4.1363	4.2834	88.5760	1.8788	86.5960	1.1949	6	yes	86.5080	3.0708	5	yes	yes
A0A016T1G5	canonical	5	4.2170	0.3358	3.9814	4.7951	89.1400	6.2619	87.3020	9.7455	6	yes	89.0960	0.7214	5	yes	yes
A0A016TKY1	canonical	5	4.1940	0.0851	4.0898	4.3204	94.4640	0.3198	91.4960	0.6594	6	yes	90.1060	0.4537	5	yes	yes
A0A016UL52	canonical	5	4.0838	0.0458	4.0223	4.1258	96.1440	0.0789	93.3820	0.1705	6	yes	96.6520	0.1346	5	yes	yes
A0A016ULR3	canonical	5	4.0361	0.1321	3.8071	4.1381	95.3520	0.2492	93.0620	0.3769	6	yes	94.5680	0.7274	5	yes	yes
A0A016VBJ0	canonical	5	4.0282	0.0375	3.9928	4.0766	95.2660	0.1372	93.4960	0.1024	6	yes	95.4600	0.1102	5	yes	yes
A0A016VC89	canonical	5	3.8837	0.0698	3.8215	3.9970	95.7400	0.1010	93.7200	0.0927	6	yes	95.0360	0.1839	5	yes	yes
A0A016VDA3	canonical	5	3.9585	0.0360	3.9130	4.0121	96.2900	0.1281	93.9600	0.1751	6	yes	95.5160	0.1038	5	yes	yes
A0A016VE53	canonical	5	4.0165	0.0697	3.9637	4.1350	94.7440	0.1106	92.6160	0.1817	6	yes	93.4520	0.2019	5	yes	yes
A0A016VS08	canonical	5	4.0709	0.0200	4.0452	4.0973	97.1600	0.0361	96.2140	0.0532	6	yes	97.4480	0.0572	5	yes	yes
A0A016W0V7	canonical	5	3.9585	0.0348	3.8981	3.9850	97.2000	0.0731	95.7600	0.0675	6	yes	93.5980	2.0187	5	yes	yes
A0A016W1E9	discarded	5	13.3413	15.4053	2.6258	37.4461	36.1980	1.4783	26.1460	4.6042	1,2	no	43.8920	2.6807	0	no	no
A0A016W1G3	canonical	5	3.9861	0.0781	3.8852	4.0985	96.8360	0.0241	94.4200	0.2113	6	yes	89.7680	1.5687	5	yes	yes
A0A016W1Z7	discarded	5	14.1026	0.1551	13.9250	14.2865	76.3420	2.7035	57.8480	3.7301	4	yes	84.0880	1.7444	0	no	no
A0A016W210	discarded	5	5.0072	2.8184	3.3424	9.9430	68.1320	0.4343	24.6780	3.5133	3	yes	66.8640	0.9784	0	no	no
A0A016W215	noncanonical	5	27.9717	0.7204	26.9014	28.6898	89.3420	1.2110	58.1300	1.2145	2,3	no	91.8920	1.4607	0	no	no
A0A016W255	discarded	5	17.1059	4.2824	13.5268	22.8600	84.7480	2.5114	60.9140	2.9139	4	yes	88.6960	1.7573	0	no	no
A0A016W259	canonical	5	4.0125	0.0452	3.9662	4.0813	96.9700	0.0682	94.5820	0.0861	6	yes	94.8300	0.2477	5	yes	yes
A0A016W267	discarded	5	7.1038	7.8865	2.8467	21.0698	67.0240	2.3550	44.5840	9.7767	1,2	no	89.2640	2.0369	0	no	no
A0A016W313	canonical	5	3.9458	0.0590	3.8591	4.0000	96.9060	0.0297	94.6100	0.1271	6	yes	95.7860	0.2377	5	yes	yes
A0A016W316	discarded	5	7.3629	9.7208	2.4649	24.7263	92.4140	1.1893	58.4480	6.5261	3,4	no	89.9040	1.7300	0	no	no
A0A016W324	noncanonical	5	17.8801	0.9188	17.1454	19.0531	93.6580	0.0968	60.1120	4.8017	2,3	no	92.2220	3.3172	0	no	no
A0A016W3A4	canonical	5	3.9938	0.0382	3.9513	4.0448	97.1460	0.0329	94.7580	0.0795	6	yes	91.5100	0.6696	5	yes	yes
A0A016W3W4	canonical	5	4.2367	0.0845	4.1296	4.3649	94.7280	0.2696	91.7280	0.5081	6	yes	86.5720	0.9918	5	yes	yes
A0A016W3W9	discarded	5	3.1706	0.5481	2.5650	4.0235	65.6060	3.1223	37.7780	2.2680	1	yes	86.9580	0.6605	0	no	no
A0A016WCE7	canonical	5	4.2308	0.0757	4.1041	4.3060	93.2960	0.2021	92.4660	0.3265	6	yes	93.3160	0.6993	5	yes	yes
A0A016WQP8	canonical	5	4.1017	0.0373	4.0584	4.1571	96.1740	0.0811	94.4540	0.1141	6	yes	93.7620	0.1616	5	yes	yes
A0A016WQV2	canonical	5	4.0628	0.0325	4.0162	4.0986	96.6260	0.1115	95.2760	0.1387	6	yes	96.5780	0.2618	5	yes	yes
A0A017S513	discarded	5	7.3954	6.4775	2.7225	18.4032	50.3580	1.0809	13.7480	3.8799	3	yes	64.6360	0.9054	0	no	no
A0A017SD63	canonical	5	4.0443	0.0398	3.9886	4.0833	98.1740	0.0404	97.5440	0.0699	6	yes	98.0820	0.1621	5	yes	yes
A0A017SF68	canonical	5	3.8684	0.0286	3.8344	3.9009	95.5780	0.3739	92.4140	0.6872	6	yes	88.7200	0.8070	5	yes	yes
A0A022QC39	canonical	5	3.7925	0.0372	3.7469	3.8412	94.7980	0.0942	89.1440	0.2636	6	yes	87.7960	0.5245	5	yes	yes
A0A022QE60	canonical	5	3.9183	0.0626	3.8581	4.0210	97.0480	0.0217	94.7240	0.1467	6	yes	96.1440	0.2303	5	yes	yes
A0A022QG63	canonical	5	3.7178	0.0390	3.6543	3.7476	95.5840	0.1646	92.2060	0.3129	6	yes	90.0680	0.5383	5	yes	yes
A0A022QL39	canonical	5	3.8765	0.0719	3.8122	3.9920	97.1480	0.0427	95.4700	0.1012	6	yes	96.8400	0.1765	5	yes	yes
A0A022R0C6	canonical	5	3.8476	0.0592	3.7691	3.9298	96.9280	0.0531	95.0700	0.0640	6	yes	96.2160	0.1218	5	yes	yes
A0A022R0D6	canonical	5	3.9582	0.0312	3.9206	3.9999	94.1040	0.1328	86.9300	0.7159	6	yes	82.1640	0.4951	5	yes	yes
A0A022R0D9	discarded	5	3.6904	0.1115	3.5701	3.8398	95.4680	0.5528	86.2980	0.9655	3	yes	92.9360	1.0537	0	no	no
A0A022R1L2	canonical	5	3.7818	0.0615	3.7157	3.8625	96.1480	0.0756	93.0860	0.1630	6	yes	91.5180	0.1601	5	yes	yes
A0A022R1L7	canonical	5	3.7000	0.0451	3.6566	3.7631	95.7440	0.1288	92.5120	0.1535	6	yes	91.5620	0.5262	5	yes	yes
A0A022R3H9	canonical	5	3.8020	0.0372	3.7532	3.8412	94.0400	0.2513	88.3000	0.3192	6	yes	83.2800	0.8194	5	yes	yes
A0A022R5P3	canonical	5	3.7373	0.0325	3.7136	3.7930	95.3320	0.2372	90.9960	0.5798	6	yes	88.3100	1.1351	5	yes	yes
A0A022WGP6	canonical	5	4.2933	0.0597	4.2258	4.3843	96.5800	0.0663	95.0180	0.1040	6	yes	95.0780	0.1240	5	yes	yes
A0A022Y7J2	canonical	5	4.3347	0.0582	4.2651	4.4248	96.5760	0.0783	94.9500	0.1007	6	yes	94.9500	0.0840	5	yes	yes
A0A023GU59	noncanonical	5	3.7735	0.0572	3.6925	3.8333	95.9520	0.0390	84.6260	0.4252	5	yes	97.6240	0.0488	0	no	no
A0A023PMD2	canonical	5	3.9393	0.0467	3.8726	4.0017	96.5400	0.0689	94.1180	0.1018	6	yes	95.7740	0.1656	5	yes	yes
A0A023PN01	canonical	5	3.9686	0.0474	3.9032	4.0313	96.6960	0.0709	94.2260	0.0720	6	yes	96.1140	0.1514	5	yes	yes
A0A023PNV8	canonical	5	3.8491	0.0263	3.8215	3.8783	96.3740	0.0893	93.7920	0.0801	6	yes	94.5740	0.1557	5	yes	yes
A0A023PP81	canonical	5	3.8458	0.0275	3.8111	3.8745	96.4120	0.0853	94.4060	0.1078	6	yes	94.4360	0.1365	5	yes	yes
A0A023WF78	discarded	5	18.5772	1.4508	17.0579	20.5798	90.4000	0.6579	78.7040	4.6705	3,4	no	80.4040	0.6100	0	no	no
A0A023WF84	discarded	5	16.2151	6.7340	4.5407	20.9565	81.0980	3.3938	71.6560	13.2090	3,4	no	71.5140	3.5314	0	no	no
A0A023WF90	discarded	5	15.9825	6.8749	3.9914	20.6101	78.6500	2.8355	68.6640	13.0507	3,4	no	70.4720	2.7352	0	no	no
A0A023WF96	discarded	5	19.3727	1.8292	17.3425	21.0189	93.2620	0.3604	78.0620	5.0313	3,4	no	87.3920	0.6432	0	no	no
A0A023WFC0	discarded	5	18.2527	1.7115	17.1454	21.2779	85.1860	2.5791	79.8480	4.3976	3,4	no	76.1540	2.6526	0	no	no
A0A023WFC4	discarded	5	16.1638	6.7093	4.5400	20.8381	79.0520	1.4462	67.8960	17.1366	3,4	no	66.2920	1.1377	0	no	no
A0A023WFC9	discarded	5	11.3970	8.0932	2.2537	17.5217	75.5300	1.7300	68.7460	20.8003	3	yes	57.9760	2.6976	0	no	no
A0A023WFD4	discarded	5	18.0023	1.5498	17.0618	20.7593	93.1840	0.4807	81.1340	3.4922	3,4	no	88.0740	0.9019	0	no	no
A0A023WFD9	discarded	5	18.0945	1.5079	17.2112	20.7767	91.8700	0.2732	81.4080	3.1932	3,4	no	84.4700	0.6121	0	no	no
A0A023WFR6	discarded	5	18.2527	1.7115	17.1454	21.2779	85.1860	2.5791	79.8480	4.3976	3,4	no	76.1540	2.6526	0	no	no
A0A023WFS1	discarded	5	11.8135	7.8326	2.6004	17.6077	80.6240	0.5547	63.9740	21.3322	3	yes	68.4560	0.9348	0	no	no
A0A023WFS6	discarded	5	15.3454	6.6094	3.7954	20.6758	77.0300	2.0373	70.5380	17.9614	3,4	no	64.7060	1.5812	0	no	no
A0A023WFT2	discarded	5	18.8298	1.6653	17.4835	21.1726	88.8000	0.8216	78.8540	4.2389	3,4	no	82.0680	0.9474	0	no	no
A0A023WGB6	discarded	5	18.2527	1.7115	17.1454	21.2779	85.1860	2.5791	79.8480	4.3976	3,4	no	76.1540	2.6526	0	no	no
A0A023WGB9	discarded	5	15.5884	6.4351	4.3945	20.9778	78.3620	1.0468	67.0640	18.4329	3,4	no	64.9520	0.7672	0	no	no
A0A023WGC5	discarded	5	19.3727	1.8292	17.3425	21.0189	93.2620	0.3604	78.0620	5.0313	3,4	no	87.3920	0.6432	0	no	no
A0A023WGD1	discarded	5	3.5915	0.8502	2.7240	4.9949	79.8480	0.7597	34.3060	2.1916	3	yes	73.6200	0.7919	0	no	no
A0A023WGD7	discarded	5	18.2284	1.4151	17.4332	20.7439	78.4140	3.3001	77.3820	5.3499	3,4	no	70.5920	3.3916	0	no	no
A0A023WGM6	discarded	5	15.7590	6.3183	4.7645	20.9690	78.0620	1.4263	67.1720	17.6723	3,4	no	67.5180	0.8802	0	no	no
A0A023WGN1	discarded	5	11.7600	7.7877	2.6678	17.4950	91.0880	1.2363	70.3680	15.3649	3	yes	83.4940	1.8107	0	no	no
A0A023WGN6	discarded	5	18.0023	1.5498	17.0618	20.7593	93.1840	0.4807	81.1340	3.4922	3,4	no	88.0740	0.9019	0	no	no
A0A023WGP1	discarded	5	18.7104	1.5057	17.3372	20.8019	86.1080	1.3268	77.3260	5.2486	3,4	no	78.6880	1.6688	0	no	no
A0A023WGP6	discarded	5	18.6868	1.7800	17.2650	20.8208	91.3180	0.7141	77.3380	5.7924	3,4	no	84.5020	1.3739	0	no	no
A0A024CHG7	canonical	5	4.1546	0.0736	4.0861	4.2664	95.9620	0.3422	93.8140	0.5819	6	yes	93.1900	1.2883	5	yes	yes
A0A024CHH0	canonical	5	4.3597	0.0717	4.2717	4.4447	98.1780	0.0482	97.5120	0.1033	6	yes	97.4020	0.1529	5	yes	yes
A0A024CHU4	canonical	5	4.0825	0.0527	4.0035	4.1390	96.7440	0.0764	94.2940	0.1599	6	yes	96.5100	0.2171	5	yes	yes
A0A024CHU9	canonical	5	4.0511	0.0480	3.9826	4.1127	95.7560	0.1888	91.1140	0.5980	6	yes	86.8740	2.2682	5	yes	yes
A0A024CI03	canonical	5	4.3798	0.0453	4.3197	4.4473	96.0040	0.1518	94.1400	0.2646	6	yes	92.1020	0.5754	5	yes	yes
A0A024CI05	canonical	5	4.3428	0.1419	4.1353	4.5339	96.1660	0.2001	89.5800	0.8209	6	yes	82.6240	0.8370	5	yes	yes
A0A024CIJ0	canonical	5	3.9625	0.0090	3.9469	3.9686	97.4240	0.1216	95.4280	0.1705	6	yes	93.7100	0.3233	5	yes	yes
A0A024CIJ4	canonical	5	4.0330	0.0586	3.9536	4.0948	97.3800	0.0933	94.9460	0.1702	6	yes	95.2400	0.3152	5	yes	yes
A0A024CIJ8	canonical	5	4.0719	0.0421	4.0132	4.1294	98.0100	0.1070	97.4140	0.1636	6	yes	97.1980	0.4059	5	yes	yes
A0A024CJP7	canonical	5	4.1130	0.0465	4.0457	4.1676	97.5240	0.0607	96.4880	0.0785	6	yes	96.8260	0.1630	5	yes	yes
A0A024CJQ0	canonical	5	4.0359	0.0341	4.0094	4.0936	97.1780	0.2105	96.5040	0.2349	6	yes	96.6040	0.4824	5	yes	yes
A0A024DBG7	canonical	5	4.0465	0.0743	3.9465	4.1182	97.3740	0.0537	96.5820	0.1028	6	yes	97.9700	0.0837	5	yes	yes
A0A024FBC3	discarded	5	19.5839	9.4929	2.9683	25.8254	76.8000	1.3928	38.7860	3.3948	3,4	no	68.1460	1.3170	0	no	no
A0A024FR46	canonical	5	3.9093	0.0519	3.8683	3.9910	96.2840	0.0910	93.5180	0.1057	6	yes	96.3640	0.1282	5	yes	yes
A0A024FS61	canonical	5	3.9395	0.0338	3.8889	3.9661	97.1900	0.0784	94.5460	0.1130	6	yes	96.6240	0.1170	5	yes	yes
A0A024FZ14	canonical	5	3.8461	0.0375	3.8025	3.8858	96.6900	0.0520	96.0480	0.0988	6	yes	96.9140	0.0948	5	yes	yes
A0A024GPM3	canonical	5	3.8202	0.0432	3.7659	3.8543	96.8200	0.0985	95.7020	0.1089	6	yes	96.8220	0.1740	5	yes	yes
A0A024GR18	discarded	5	7.4349	7.5381	3.1870	20.7443	96.2460	0.2963	49.6440	9.3065	3,4	no	96.4820	0.9126	0	no	no
A0A024S4X8	canonical	5	4.3348	0.0513	4.2514	4.3765	94.7360	0.2783	90.9780	0.6009	6	yes	90.2520	0.2540	5	yes	yes
A0A024SD58	canonical	5	4.4039	0.0905	4.3063	4.5384	93.6720	0.4256	91.1260	0.8943	6	yes	94.6400	0.6646	5	yes	yes
A0A024SJR1	canonical	5	4.2722	0.1033	4.1295	4.3848	96.9220	0.0606	94.6140	0.0764	6	yes	96.7280	0.0973	5	yes	yes
A0A024T832	discarded	5	3.6684	1.5054	1.9338	5.8457	90.5220	0.4210	35.8460	1.8912	3	yes	90.3940	0.3893	0	no	no
A0A024T961	canonical	5	4.2474	0.0734	4.1668	4.3358	96.1860	0.0865	93.7540	0.1359	6	yes	93.9460	0.3897	5	yes	yes
A0A024T9U4	canonical	5	4.1789	0.0579	4.1206	4.2691	97.7360	0.1464	97.1200	0.0742	6	yes	98.1660	0.1071	5	yes	yes
A0A024TEL4	canonical	5	4.1298	0.0851	4.0174	4.2376	92.7000	0.3263	90.8920	0.3490	6	yes	92.5780	0.1869	5	yes	yes
A0A024TMR4	canonical	5	3.8200	0.0425	3.7712	3.8847	97.2680	0.0438	96.0620	0.0798	6	yes	96.5280	0.0427	5	yes	yes
A0A024TN69	canonical	5	3.7161	0.0312	3.6880	3.7639	96.9560	0.0868	94.9440	0.1081	6	yes	95.8360	0.1274	5	yes	yes
A0A024TPQ1	discarded	5	4.8226	0.1359	4.6363	5.0129	77.9040	0.4352	41.4800	1.0175	5	yes	57.8460	0.8966	0	no	no
A0A024TRP2	discarded	5	3.5580	2.9001	1.8761	8.7154	52.3960	0.6422	26.8400	5.4492	3	yes	68.9640	0.5969	0	no	no
A0A024U9A0	discarded	5	4.3442	2.4323	3.0595	8.6861	91.9620	0.6375	45.9640	5.2298	3	yes	92.7220	0.1224	0	no	no
A0A024UGQ1	noncanonical	5	9.8398	10.3348	2.5073	24.9286	95.7600	0.3289	44.8480	9.5674	3,4	no	97.4400	0.7055	0	no	no
A0A024UNS3	canonical	5	4.1429	0.0774	4.0654	4.2533	96.9500	0.1147	96.0080	0.1702	6	yes	97.3720	0.0691	5	yes	yes
A0A024UP64	canonical	5	4.1433	0.0799	4.0562	4.2616	96.4680	0.5943	95.8840	0.7101	6	yes	97.4060	1.0545	5	yes	yes
A0A024URD5	canonical	5	4.0045	0.0523	3.9598	4.0823	96.3640	0.0658	93.7880	0.1318	6	yes	93.7920	0.3193	5	yes	yes
A0A058ZVU6	discarded	5	3.2476	1.2509	1.9964	5.1057	36.3900	0.6632	16.0920	1.3174	3,4	no	48.6280	1.7869	0	no	no
A0A058ZW33	canonical	5	3.8390	0.0476	3.7912	3.8906	96.9120	0.0618	95.2000	0.1022	6	yes	95.7480	0.2282	5	yes	yes
A0A058ZX16	discarded	5	3.8595	0.2277	3.6408	4.1256	91.1300	0.6145	69.0700	1.1094	3	yes	90.1120	0.9342	0	no	no
A0A059CCV1	canonical	5	3.8782	0.0348	3.8412	3.9282	97.2900	0.0500	95.1580	0.0687	6	yes	96.8440	0.2223	5	yes	yes
A0A059CDE4	canonical	5	3.7890	0.0319	3.7562	3.8299	97.1920	0.0303	95.5520	0.0638	6	yes	96.7800	0.0781	5	yes	yes
A0A059F260	canonical	5	4.2562	0.0602	4.1657	4.3145	98.4740	0.0434	97.7320	0.0722	6	yes	97.7980	0.2533	5	yes	yes
A0A059JJQ6	canonical	5	4.2939	0.0393	4.2500	4.3423	95.3960	0.1701	92.8920	0.3369	6	yes	93.3760	0.0934	5	yes	yes
A0A059TZU2	canonical	5	3.9401	0.0153	3.9271	3.9652	97.7820	0.0228	97.0780	0.0409	6	yes	98.7180	0.0179	5	yes	yes
A0A059U1P9	canonical	5	3.9441	0.0098	3.9328	3.9570	97.7840	0.0404	97.1700	0.0524	6	yes	98.7100	0.0200	5	yes	yes
A0A059UAM0	canonical	5	3.8770	0.0517	3.8020	3.9404	96.5880	0.0536	94.9060	0.1553	6	yes	95.6800	0.1453	5	yes	yes
A0A060S6S8	canonical	5	3.8943	0.0456	3.8609	3.9746	96.0960	0.3061	92.9180	0.5526	6	yes	90.4860	0.9499	5	yes	yes
A0A060SLI6	discarded	5	24.9089	5.4133	15.2545	28.0270	91.9120	0.8640	71.4680	1.2244	4	yes	85.6060	1.2151	0	no	no
A0A060WMQ6	canonical	5	3.9811	0.0579	3.9252	4.0673	96.9380	0.0502	96.6880	0.0698	6	yes	97.5420	0.1047	5	yes	yes
A0A060WUY0	canonical	5	3.8998	0.0756	3.7736	3.9758	96.4900	0.0889	96.6900	0.0436	6	yes	96.5620	0.1158	5	yes	yes
A0A060X1G5	canonical	5	3.8072	0.0498	3.7343	3.8710	97.7900	0.0474	97.1800	0.0235	6	yes	98.8200	0.0100	5	yes	yes
A0A060X8B7	canonical	5	4.1072	0.0692	3.9877	4.1565	96.9900	0.1799	94.2060	0.3265	6	yes	88.3400	0.5360	5	yes	yes
A0A060XL10	canonical	5	4.0515	0.0481	3.9988	4.1022	92.3340	0.3338	93.7400	0.1896	6	yes	91.1780	0.3740	5	yes	yes
A0A060ZAB7	discarded	5	7.0630	3.4753	2.8472	12.0649	57.5480	3.5261	49.3740	4.8828	2,3	no	64.0440	1.4821	0	no	no
A0A061DZ45	canonical	5	3.9645	0.0700	3.8636	4.0476	96.9080	0.0303	95.1980	0.1176	6	yes	95.2320	0.2981	5	yes	yes
A0A061E0X0	canonical	5	3.7233	0.0513	3.6801	3.8029	97.2360	0.0623	96.0320	0.0719	6	yes	96.4380	0.1244	5	yes	yes
A0A061E6S7	canonical	5	3.8088	0.0892	3.7058	3.9290	97.2920	0.0559	95.9680	0.1152	6	yes	95.9060	0.2290	5	yes	yes
A0A061GEN3	canonical	5	3.8647	0.0334	3.8228	3.9116	96.3140	0.0805	92.9300	0.1828	6	yes	96.3720	0.0912	5	yes	yes
A0A061GFI2	noncanonical	5	5.4125	1.0431	3.9593	6.9082	60.9600	0.8455	34.6980	0.4648	2,3	no	73.1860	0.5859	0	no	no
A0A061GFY3	canonical	5	3.8254	0.0254	3.7976	3.8526	97.8520	0.0192	95.8840	0.0907	6	yes	97.6800	0.0837	5	yes	yes
A0A061GFY7	canonical	5	3.7361	0.0240	3.7050	3.7596	96.0160	0.0727	93.7760	0.0456	6	yes	96.2400	0.0485	5	yes	yes
A0A061GMJ6	canonical	5	3.7917	0.0504	3.7385	3.8527	96.7120	0.0630	94.2060	0.1060	6	yes	97.3260	0.0716	5	yes	yes
A0A061GMK1	canonical	5	3.9584	0.0688	3.8389	4.0079	96.7820	0.0870	94.9300	0.0721	6	yes	95.5820	0.1596	5	yes	yes
A0A061HFI6	canonical	5	4.1696	0.0619	4.1032	4.2551	96.6060	0.0688	95.3560	0.0915	6	yes	97.0660	0.1045	5	yes	yes
A0A061HSG6	canonical	5	4.1414	0.0461	4.0760	4.1880	96.5380	0.0653	94.8180	0.0952	6	yes	96.3360	0.1649	5	yes	yes
A0A061IGF6	canonical	5	4.2449	0.0207	4.2246	4.2694	92.9640	0.2361	87.0060	0.3439	6	yes	78.9120	0.8068	5	yes	yes
A0A062U9V8	canonical	5	4.0516	0.0904	3.9182	4.1486	90.0160	0.3015	77.0000	0.5787	5,6	no	88.6920	3.3607	3	no	yes
