keyword	Ala221_L	Arg209_C	Arg209_E	Arg209_H	Arg209_P	Asn205_F	Asn205_R	Asn205_V	Glu195_A	Glu195_D	Glu195_F	Glu195_I	Glu195_K	Glu195_N	Glu195_R	Glu195_S	Glu195_Y	Gly46_A	Gly46_D	Gly46_H	Gly46_I	Gly46_L	Gly46_T	Gly46_Y	His230_F	His230_I	His230_M	His230_T	His230_V	His230_Y	Phe227_V	Phe65_I	Phe65_Y	Trp68_V	Val218_E	Val218_R	Val218_S	Val218_Y
bond-forming	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	1	0
bsha	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
carbamoyl-phosphate	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
carbohydrate	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	3	0	6	0	0	0	11	0	0	0	0	0	1	0	1	0	0	5	0	0
carboxylase	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	3	0	0	0	0	1	0	0	0	0	0	0	0
carboxypeptidase	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0
chain	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0
channel	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0
chaperone	0	0	0	0	0	0	2	0	0	15	0	1	0	0	0	0	0	0	0	1	0	2	0	6	2	0	0	0	0	0	0	0	0	0	0	8	1	0
chaplin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	4	0	0	0	0	0	0	0	2	0
chemotaxis	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
class	0	3	5	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	10	2	0	0	6	0	1	0	3	9	1	0	2	1	0	1	8	2
co-factor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	1	1	0	0	0	0	3	0	0	0	0	0	0	7	2	0
cofactor	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	1	0	0	11	1	0	9	3	0	0	0	4	0	0	0	2	0	0	0	3	0
conserved	0	14	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	4	2	0	0	0	4	0	1	0	0	0	5	3	0	0	0	0	7	8	6	0
copper	0	0	0	0	0	1	2	0	0	2	0	1	0	0	0	0	0	0	0	0	2	3	0	6	1	2	0	0	0	0	1	0	1	0	0	7	1	0
cupin	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	1	2	0	0	0	0	0	0	7	1	0	0	0	0	1	0	1	0	1	1	2	0
cupredoxin	0	3	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	2	2	0	0	1	0	2	0	0	0
cyclase	0	2	0	0	0	0	0	0	0	7	0	2	0	2	0	0	0	1	0	0	3	1	0	1	4	1	0	1	0	1	0	0	2	0	0	2	0	0
cys-gln	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	1	0
cysteine--trna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
cytochrome	0	4	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	3	0	0	0	0	1	1	0	0	0	1	1	8	1
d-2-hydroxyacid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	7	0	0	0	0	0	0	0	0	0
deacetylase	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	8	0	0	0	0	1	0	1	4	0
decarboxylase	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	4	3	0	3	1	1	0	1	0	0	2	0	0	0	10	0	2	0
dehydrogenase	0	13	1	6	0	0	2	0	0	23	2	4	0	0	0	0	0	6	4	0	19	0	8	18	16	14	1	3	21	12	9	0	2	1	6	7	22	0
diguanylate	0	2	0	0	0	0	0	0	0	5	0	1	0	1	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	2	0	0
dioxygenase	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	6	0
dna-3-methyladenine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0
dna-binding	0	3	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	1	0	0	5	3	1	15	5	3	0	0	3	3	3	0	1	0	3	2	9	0
dnaj	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
dnak	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
domain	0	3	1	0	0	0	4	0	0	16	0	1	0	0	0	0	0	0	0	0	1	0	2	1	7	7	0	0	3	4	2	1	1	1	2	1	7	1
duf2087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0
duf3141	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
duf3344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0
duf5949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dynamin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	3	0	0	0	0	0	0	0	1	0
efflux	0	2	0	0	0	0	0	0	2	20	0	1	1	0	0	0	0	0	0	0	2	3	0	2	2	1	0	0	1	1	3	0	1	0	0	0	6	1
elongation	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
endonuclease	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	7	2	0	0	4	9	0	0	3	0	1	0	2	0	0	1	1	0
energy	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0
energy-dependent	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	1	0
enzyme	0	1	2	0	1	0	0	1	0	5	0	2	0	0	0	1	0	1	0	0	3	0	0	1	3	0	0	1	3	1	1	0	2	0	2	0	2	1
epoxide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	9	0	0	0	1	6	0	0	0	0	0	0	0	0	0
etta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	1	0
exbb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
exbd	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
excinuclease	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1
exonuclease	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
exopolysaccharide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	6	0	0	0	0	0	0	0	1	0
f-type	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
f420-dependent	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	1	0
factor	0	1	0	0	0	0	0	1	2	15	1	5	0	1	0	0	0	9	1	0	14	3	1	6	11	2	1	1	3	5	5	0	2	0	0	3	8	1
fad-binding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0
fad-dependent	1	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	7	2	0	0	0	0	0	0	1	0	0	1	1	0
family)	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	7	0	0	2	1	0	1	10	2	0	0	1	1	0	0	0	0	0	6	6	0
fibronectin	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
filamentous	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
flavin-dependent	0	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	3	6	0	0	0	0	0	0	0	0
formate	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0
ftsp/cota-like	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	2	2	0	0	0	0	1	0	0	0
general	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0
glimmer/critica	5	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
globin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glutamate	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
glycosyl	0	0	1	0	0	0	4	0	0	3	0	0	0	0	1	0	0	5	1	0	0	0	2	6	1	0	0	0	9	0	0	0	0	1	0	2	6	0
glycosylase	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	2	0
glycosylphosphotransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	6	0	0	0	0	0	0	0	1	0
glycosyltransferase	3	3	0	0	0	0	15	3	0	7	0	1	0	0	0	0	0	2	0	0	0	0	4	28	2	0	0	0	11	1	0	0	0	0	1	1	9	0
gnat	0	3	0	4	0	0	3	0	0	6	0	3	0	0	0	0	0	0	0	0	4	0	0	3	4	2	0	0	0	2	1	1	2	0	0	0	5	0
gntr	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	2	5	0	0	0	0	4	0	0	2	0	11	0	2	0
grea	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
grpe	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gspd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
gspe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
gspf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
gspl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
gspm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
gtpase	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	8	1	0	0	0	2	0	0	0	1	0	0	0	2	0
h+-transporting	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
heat-inducible	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
heavy	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0
helix-turn-helix	0	2	2	1	0	0	0	0	0	8	0	4	0	1	0	0	0	1	0	0	11	2	1	2	3	4	0	0	2	7	6	0	4	0	1	1	4	1
hemagglutinin	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
histidine	0	9	0	0	0	0	0	1	0	3	0	4	0	0	2	0	0	0	0	0	5	1	2	1	6	0	0	1	1	4	2	0	1	0	0	5	12	0
hrca	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hydrolase	0	7	0	0	0	0	4	0	0	10	0	10	0	0	1	0	2	4	4	0	10	4	2	4	12	10	0	1	5	13	4	3	5	0	7	8	20	2
indole-3-glycerol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
inner	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
is21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
isomerase	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	1	3	0	0	6	1	0	0	0	8	1	0	0	0	0	0	3	1
kinase	0	8	0	0	1	0	0	2	1	4	0	4	0	0	1	0	0	5	1	0	14	4	3	1	15	4	0	3	1	4	2	0	1	0	2	7	16	0
l-malate	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
large	0	1	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0
ligase	0	3	0	1	0	0	11	0	0	4	0	0	0	0	0	0	0	0	0	1	5	0	0	17	6	2	0	0	5	0	1	0	0	0	0	1	8	0
lipoprotein	0	1	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0
lrp/asnc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
luxr	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	1	0	0	0	5	0	0	0	1	0	1	0	0	0	0	1	1	0
lysr	2	4	0	0	0	0	0	3	0	3	0	2	0	1	0	0	0	0	0	0	4	3	0	0	2	0	0	1	1	9	2	0	2	0	2	1	14	1
marr	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	0	0	1	1	3	0	0	0	0	0	0	0
mechanosensitive	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
melc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0
membrane	0	2	2	0	0	0	4	0	0	24	0	4	2	0	0	0	0	9	0	0	5	2	0	12	9	2	0	0	10	15	3	0	3	2	0	5	14	0
metal	0	1	0	0	0	1	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	7	0	0	0	0	1	0	0
methyltransferase	0	2	1	0	1	0	0	0	0	9	0	5	0	0	0	0	0	0	2	0	11	2	0	3	9	3	2	1	1	5	3	0	4	0	0	2	11	2
microcystin-dependent	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
molecular	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
monooxygenase	1	2	0	0	0	0	0	1	0	5	0	2	0	0	0	0	0	0	0	0	6	1	0	1	3	1	0	0	0	1	1	0	3	0	0	3	2	0
multicopper	0	9	0	0	0	1	0	0	0	12	0	3	0	0	0	0	0	1	0	0	0	0	0	0	10	7	0	0	5	3	1	0	3	0	2	0	1	0
multidrug	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	2	0
multisubunit	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
murein	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	2	0	0	0	0	2	0	0
murj	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	3	1	0
n-acetyl-alpha-d-glucosaminyl	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
n-acetyltransferase	0	3	0	4	0	0	3	0	0	7	0	4	0	0	0	0	0	0	0	0	4	0	0	4	5	2	0	0	2	2	2	1	3	0	0	0	7	0
n-terminal	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0
nad(p)-dependent	1	2	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	6	0	0	5	5	1	1	1	0	6	1	3	0
nad+	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nadh-quinone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0	0
neud	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
o-acetyltransferase	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
o-acyltransferase,	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
o-antigen	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	17	1	0	0	0	3	0	0	0	0	1	0	0	3	0
ompa	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
outer	0	0	0	0	0	0	2	0	0	14	0	2	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	7	2	0	2	0	0	0	1	0
oxidase	0	12	0	0	0	2	0	0	0	18	0	5	0	0	1	0	0	2	0	0	5	3	0	6	17	11	0	0	7	4	3	0	7	0	2	7	5	0
oxidoreductase	2	6	1	5	0	0	0	2	0	13	0	8	0	0	0	0	0	0	2	0	16	1	5	3	16	10	0	0	16	28	15	1	7	1	6	4	13	2
p-type	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	6	0	0	0	0	0	0	0
p450	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	6	0
pathway	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	1	0	0
peptidase	0	5	0	0	0	0	1	0	0	0	0	4	0	0	0	0	3	2	0	0	2	0	0	2	6	1	0	0	0	2	4	0	4	0	0	4	2	1
peptide/nickel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
peptidylprolyl	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
periplasmic	0	1	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
permease	1	5	0	2	0	1	0	1	2	12	0	3	0	2	0	0	0	6	2	0	17	7	0	0	11	4	0	0	3	15	10	0	3	0	1	2	15	5
phenylacetate--coa	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
phosphatase	0	4	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	7	0	1	1	0	2	0	1	1	3	1	0	0	0	0	0	1	0
