product	n_queries	freq_all	freq_with_data	total
nascent polypeptide-associated complex subunit beta	1	0.009	0.016	1
atp synthase subunit 5 mitochondrial precursor	1	0.009	0.016	1
fructose-2,6-bisphosphatase-like protein	1	0.009	0.016	1
cell division control 14, sin component	1	0.009	0.016	1
pectate lyase-like protein	1	0.009	0.016	1
upf0187-domain-containing protein	1	0.009	0.016	1
sm-like ribonucleoprotein	1	0.009	0.016	1
had-superfamily phosphatase	1	0.009	0.016	1
arylamine n-acetyltransferase 5	1	0.009	0.016	1
retinol dehydrogenase 12	1	0.009	0.016	1
histidinol dehydrogenase 1	1	0.009	0.016	1
potassium ion/proton antiporter	1	0.009	0.016	1
fungal specific transcription factor	1	0.009	0.016	1
hormone-sensitive lipase	1	0.009	0.016	1
cytochrome p450 oxidoreductase	1	0.009	0.016	1
snf2 family helicase	1	0.009	0.016	1
cfem domain-containing protein	1	0.009	0.016	1
wd domain-containing protein	1	0.009	0.016	1
kynurenine aminotransferase	1	0.009	0.016	1
exopolygalacturonase	1	0.009	0.016	1
monocarboxylate permease-like protein	1	0.009	0.016	2
pro-kumamolisin	1	0.009	0.016	1
hmg box protein	1	0.009	0.016	1
atpase aaa-type core	1	0.009	0.016	1
flavin-containing monooxygenase-like protein	1	0.009	0.016	1
snf2 family n-terminal domain-containing protein	1	0.009	0.016	1
permease of the major facilitator superfamily	1	0.009	0.016	1
putative sulfatase	1	0.009	0.016	1
putative iron inhibited abc transporter 2	1	0.009	0.016	1
hydrophobic surface binding protein a-domain-containing protein	1	0.009	0.016	1
aquaporin-like protein	1	0.009	0.016	1
general substrate transporter	1	0.009	0.016	1
abc transporter type 1, transmembrane domain-containing protein	1	0.009	0.016	1
coatomer subunit alpha	1	0.009	0.016	1
winged helix-turn-helix transcription repressor dna-binding	1	0.009	0.016	1
kr domain-containing protein	1	0.009	0.016	1
pyridoxal phosphate-dependent transferase	1	0.009	0.016	1
polysaccharide lyase	1	0.009	0.016	1
fungal-specific transcription factor domain-containing protein	1	0.009	0.016	2
metallo-dependent phosphatase-like protein	1	0.009	0.016	1
plp-dependent transferase	1	0.009	0.016	1
putative k+/h+ antiporter	1	0.009	0.016	1
putative integral membrane protein	1	0.009	0.016	1
cytochrome p450 monooxygenase	1	0.009	0.016	1
kinesin light chain	1	0.009	0.016	1
putative alanyl-trna synthetase	1	0.009	0.016	1
peptidylarginine deiminase	1	0.009	0.016	1
putative nacht domain protein	1	0.009	0.016	1
putative gpcr -type protein	1	0.009	0.016	1
putative gcn5-related n-acetyltransferase protein	1	0.009	0.016	1
putative chaperone protein	1	0.009	0.016	1
putative snare complex subunit protein	1	0.009	0.016	1
putative cell division cycle 123 protein	1	0.009	0.016	1
putative cytochrome p450 protein	1	0.009	0.016	1
putative microtubule-associated protein rp eb family member 1 protein	1	0.009	0.016	1
ulp1 protease family protein	1	0.009	0.016	1
dynamin-2	1	0.009	0.016	1
high-affinity nicotinic acid transporter	1	0.009	0.016	1
major facilitator superfamily transporter	1	0.009	0.016	1
cytochrome c oxidase subunit va	1	0.009	0.016	1
elongation of fatty acids protein 3	1	0.009	0.016	1
ribonuclease h	1	0.009	0.016	1
coa-transferase family iii	1	0.009	0.016	1
short chain dehydrogenase	1	0.009	0.016	1
glycogen synthase	1	0.009	0.016	1
