accession,ref,qtmscore,a1_cov,a2_cov,a3_cov,a4_cov,n_helices
A0A014P1F1,ref_A0A9N8ELP9_oomycota,0.5913,1.000,1.000,1.000,1.000,4
A0A014P933,ref_2Y9W_Abisporus,0.4415,1.000,1.000,1.000,1.000,4
A0A014PGS4,ref_PmTYR,0.6473,0.846,1.000,0.778,1.000,4
A0A014PNW6,ref_2Y9W_Abisporus,0.4616,1.000,1.000,1.000,1.000,4
A0A014QX88,ref_PmTYR,0.5180,1.000,1.000,1.000,1.000,4
A0A015J8T7,ref_2Y9W_Abisporus,0.2507,0.000,0.000,0.846,1.000,2
A0A016RWG9,ref_PmTYR,0.4653,1.000,1.000,1.000,1.000,4
A0A016RXK8,ref_PmTYR,0.4848,1.000,1.000,0.778,1.000,4
A0A016S930,ref_PmTYR,0.3996,1.000,1.000,1.000,1.000,4
A0A016SJ50,ref_PmTYR,0.4207,0.923,1.000,0.889,1.000,4
A0A016SK14,ref_PmTYR,0.4352,0.923,1.000,1.000,1.000,4
A0A016T0A5,ref_PmTYR,0.2440,0.923,1.000,0.778,1.000,4
A0A016T1G5,ref_PmTYR,0.2643,1.000,1.000,0.778,1.000,4
A0A016TKY1,ref_PmTYR,0.3871,1.000,1.000,0.778,1.000,4
A0A016UL52,ref_PmTYR,0.3007,0.846,1.000,0.778,1.000,4
A0A016ULR3,ref_PmTYR,0.3334,0.846,1.000,0.778,1.000,4
A0A016VBJ0,ref_PmTYR,0.2937,1.000,1.000,0.778,0.947,4
A0A016VC89,ref_PmTYR,0.2606,1.000,1.000,0.778,0.947,4
A0A016VDA3,ref_PmTYR,0.3134,1.000,1.000,0.778,0.947,4
A0A016VE53,ref_PmTYR,0.2828,1.000,1.000,1.000,0.947,4
A0A016VS08,ref_PmTYR,0.4724,1.000,1.000,0.778,1.000,4
A0A016W0V7,ref_PmTYR,0.3771,0.769,1.000,1.000,1.000,4
A0A016W1E9,ref_PmTYR,0.2318,1.000,0.947,0.000,0.000,2
A0A016W1G3,ref_PmTYR,0.3736,1.000,1.000,1.000,1.000,4
A0A016W1Z7,ref_PmTYR,0.4173,0.000,0.000,1.000,1.000,2
A0A016W210,ref_PmTYR,0.3676,0.769,1.000,0.000,0.000,2
A0A016W215,ref_PmTYR,0.5973,1.000,1.000,1.000,1.000,4
A0A016W255,ref_PmTYR,0.4685,0.000,0.000,1.000,1.000,2
A0A016W259,ref_PmTYR,0.5412,1.000,1.000,1.000,1.000,4
A0A016W267,ref_1JS8_squid,0.2917,0.000,0.000,0.000,1.000,1
A0A016W313,ref_PmTYR,0.5120,1.000,1.000,1.000,1.000,4
A0A016W316,ref_PmTYR,0.6176,0.000,0.000,1.000,1.000,2
A0A016W324,ref_PmTYR,0.5117,1.000,1.000,1.000,1.000,4
A0A016W3A4,ref_PmTYR,0.3883,1.000,1.000,1.000,1.000,4
A0A016W3W4,ref_PmTYR,0.5954,1.000,1.000,1.000,1.000,4
A0A016W3W9,ref_1JS8_squid,0.2810,0.000,0.000,0.000,1.000,1
A0A016WCE7,ref_I3D139_archaea,0.3739,0.917,1.000,1.000,1.000,4
A0A016WQP8,ref_PmTYR,0.3105,0.615,1.000,0.889,1.000,4
A0A016WQV2,ref_PmTYR,0.2975,0.923,1.000,1.000,1.000,4
A0A017S513,ref_2Y9W_Abisporus,0.4170,0.875,0.500,1.000,1.000,4
A0A017SD63,ref_A0A9N8ELP9_oomycota,0.5646,0.917,1.000,1.000,1.000,4
A0A017SF68,ref_2Y9W_Abisporus,0.4756,1.000,1.000,1.000,1.000,4
A0A022QC39,ref_5CE9_Jregia,0.5489,1.000,1.000,1.000,1.000,4
A0A022QE60,ref_5CE9_Jregia,0.5604,1.000,1.000,1.000,1.000,4
A0A022QG63,ref_5CE9_Jregia,0.5538,1.000,1.000,1.000,1.000,4
A0A022QL39,ref_5CE9_Jregia,0.5683,1.000,1.000,1.000,1.000,4
A0A022R0C6,ref_1BT3_Ibatatas,0.5501,1.000,1.000,1.000,1.000,4
A0A022R0D6,ref_1BT3_Ibatatas,0.6009,1.000,1.000,1.000,1.000,4
A0A022R0D9,ref_1BT3_Ibatatas,0.5328,1.000,1.000,0.000,0.000,2
A0A022R1L2,ref_5CE9_Jregia,0.5613,1.000,1.000,1.000,1.000,4
A0A022R1L7,ref_5CE9_Jregia,0.5458,1.000,1.000,1.000,1.000,4
A0A022R3H9,ref_5CE9_Jregia,0.5450,1.000,1.000,1.000,1.000,4
A0A022R5P3,ref_5CE9_Jregia,0.5484,1.000,1.000,1.000,1.000,4
A0A022WGP6,ref_2Y9W_Abisporus,0.4950,1.000,1.000,1.000,1.000,4
A0A022Y7J2,ref_2Y9W_Abisporus,0.4949,1.000,1.000,1.000,1.000,4
A0A023GU59,ref_5CE9_Jregia,0.5595,1.000,1.000,1.000,1.000,4
A0A023PMD2,ref_5CE9_Jregia,0.5997,1.000,1.000,1.000,1.000,4
A0A023PN01,ref_5CE9_Jregia,0.5996,1.000,1.000,1.000,1.000,4
A0A023PNV8,ref_5CE9_Jregia,0.6002,1.000,1.000,1.000,1.000,4
A0A023PP81,ref_5CE9_Jregia,0.6000,1.000,1.000,1.000,1.000,4
A0A023WF78,ref_5M8L_human,0.8812,1.000,1.000,0.000,0.000,2
A0A023WF84,ref_5M8L_human,0.8762,1.000,1.000,0.000,0.000,2
A0A023WF90,ref_5M8L_human,0.8774,1.000,1.000,0.000,0.000,2
A0A023WF96,ref_5M8L_human,0.8830,1.000,1.000,0.000,0.000,2
A0A023WFC0,ref_5M8L_human,0.8790,1.000,1.000,0.000,0.000,2
A0A023WFC4,ref_5M8L_human,0.8677,1.000,1.000,0.000,0.000,2
A0A023WFC9,ref_5M8L_human,0.8624,1.000,1.000,0.000,0.000,2
A0A023WFD4,ref_5M8L_human,0.8767,1.000,1.000,0.000,0.000,2
A0A023WFD9,ref_5M8L_human,0.8808,1.000,1.000,0.000,0.000,2
A0A023WFR6,ref_5M8L_human,0.8790,1.000,1.000,0.000,0.000,2
A0A023WFS1,ref_5M8L_human,0.8761,1.000,1.000,0.000,0.000,2
A0A023WFS6,ref_5M8L_human,0.8750,1.000,1.000,0.000,0.000,2
A0A023WFT2,ref_5M8L_human,0.8796,1.000,1.000,0.000,0.000,2
A0A023WGB6,ref_5M8L_human,0.8790,1.000,1.000,0.000,0.000,2
A0A023WGB9,ref_5M8L_human,0.8737,1.000,1.000,0.000,0.000,2
A0A023WGC5,ref_5M8L_human,0.8830,1.000,1.000,0.000,0.000,2
A0A023WGD1,ref_5M8L_human,0.8540,1.000,0.550,0.000,0.000,2
A0A023WGD7,ref_5M8L_human,0.8750,1.000,1.000,0.000,0.000,2
A0A023WGM6,ref_5M8L_human,0.8721,1.000,1.000,0.000,0.000,2
A0A023WGN1,ref_5M8L_human,0.8735,1.000,1.000,0.000,0.000,2
A0A023WGN6,ref_5M8L_human,0.8767,1.000,1.000,0.000,0.000,2
A0A023WGP1,ref_5M8L_human,0.8759,1.000,1.000,0.000,0.000,2
A0A023WGP6,ref_5M8L_human,0.8770,1.000,1.000,0.000,0.000,2
A0A024CHG7,ref_PmTYR,0.4841,1.000,1.000,0.778,1.000,4
A0A024CHH0,ref_PmTYR,0.7490,0.769,1.000,0.778,0.895,4
A0A024CHU4,ref_PmTYR,0.5019,1.000,1.000,0.778,1.000,4
A0A024CHU9,ref_PmTYR,0.4933,0.923,1.000,0.778,1.000,4
A0A024CI03,ref_PmTYR,0.4470,1.000,1.000,0.889,1.000,4
A0A024CI05,ref_PmTYR,0.7448,0.846,1.000,0.778,1.000,4
A0A024CIJ0,ref_PmTYR,0.6034,0.769,1.000,0.889,1.000,4
A0A024CIJ4,ref_PmTYR,0.5566,1.000,1.000,0.778,1.000,4
A0A024CIJ8,ref_PmTYR,0.7625,1.000,1.000,0.778,1.000,4
A0A024CJP7,ref_PmTYR,0.4888,0.769,1.000,0.778,1.000,4
A0A024CJQ0,ref_PmTYR,0.6461,1.000,1.000,0.778,1.000,4
A0A024DBG7,ref_5M8L_human,0.6556,1.000,1.000,1.000,1.000,4
A0A024FBC3,ref_PmTYR,0.4278,1.000,1.000,0.000,0.000,2
A0A024FR46,ref_5CE9_Jregia,0.5498,1.000,1.000,1.000,1.000,4
A0A024FS61,ref_5CE9_Jregia,0.5565,1.000,1.000,1.000,1.000,4
A0A024FZ14,ref_2Y9W_Abisporus,0.3301,1.000,0.958,0.846,1.000,4
A0A024GPM3,ref_A0A9N8ELP9_oomycota,0.3447,1.000,1.000,0.917,1.000,4
A0A024GR18,ref_A0A9N8ELP9_oomycota,0.1951,0.000,0.850,0.833,0.842,3
A0A024S4X8,ref_2Y9W_Abisporus,0.4962,1.000,1.000,0.923,1.000,4
A0A024SD58,ref_2Y9W_Abisporus,0.3401,0.625,0.708,1.000,1.000,4
A0A024SJR1,ref_2Y9W_Abisporus,0.5265,1.000,1.000,0.846,1.000,4
A0A024T832,ref_A0A9N8ELP9_oomycota,0.4435,0.000,0.000,1.000,1.000,2
A0A024T961,ref_A0A9N8ELP9_oomycota,0.2554,0.750,1.000,1.000,1.000,4
A0A024T9U4,ref_2Y9W_Abisporus,0.3285,0.750,0.833,0.923,1.000,4
A0A024TEL4,ref_2Y9W_Abisporus,0.2131,1.000,0.875,0.923,1.000,4
A0A024TMR4,ref_A0A9N8ELP9_oomycota,0.3665,0.667,1.000,0.917,0.895,4
A0A024TN69,ref_PmTYR,0.3552,0.769,1.000,1.000,1.000,4
A0A024TPQ1,ref_1JS8_squid,0.2440,1.000,0.667,0.800,1.000,4
A0A024TRP2,ref_1BT3_Ibatatas,0.2439,1.000,1.000,0.000,0.000,2
A0A024U9A0,ref_5M8L_human,0.2186,0.000,0.000,0.875,1.000,2
A0A024UGQ1,ref_A0A9N8ELP9_oomycota,0.3239,0.917,1.000,1.000,1.000,4
A0A024UNS3,ref_1JS8_squid,0.3142,1.000,1.000,0.800,0.870,4
A0A024UP64,ref_1JS8_squid,0.3215,1.000,1.000,0.800,1.000,4
A0A024URD5,ref_1JS8_squid,0.3589,1.000,1.000,0.800,1.000,4
A0A058ZVU6,ref_5CE9_Jregia,0.4832,0.000,0.000,1.000,1.000,2
A0A058ZW33,ref_5CE9_Jregia,0.5467,1.000,1.000,1.000,1.000,4
A0A058ZX16,ref_5CE9_Jregia,0.4991,1.000,0.947,0.000,0.000,2
A0A059CCV1,ref_5CE9_Jregia,0.5588,1.000,1.000,1.000,1.000,4
A0A059CDE4,ref_5CE9_Jregia,0.4905,1.000,1.000,1.000,1.000,4
A0A059F260,ref_PmTYR,0.6486,1.000,1.000,1.000,1.000,4
A0A059JJQ6,ref_2Y9W_Abisporus,0.5030,1.000,1.000,1.000,1.000,4
A0A059TZU2,ref_5M8L_human,0.6711,1.000,1.000,1.000,1.000,4
A0A059U1P9,ref_5M8L_human,0.6711,1.000,1.000,1.000,1.000,4
A0A059UAM0,ref_5CE9_Jregia,0.5991,1.000,1.000,1.000,1.000,4
A0A060S6S8,ref_2Y9W_Abisporus,0.5606,1.000,1.000,1.000,1.000,4
A0A060SLI6,ref_1BT3_Ibatatas,0.3835,1.000,1.000,0.500,1.000,4
A0A060WMQ6,ref_5M8L_human,0.6729,1.000,1.000,1.000,1.000,4
A0A060WUY0,ref_5M8L_human,0.6752,1.000,1.000,1.000,1.000,4
A0A060X1G5,ref_5M8L_human,0.6801,1.000,1.000,1.000,1.000,4
A0A060X8B7,ref_5M8L_human,0.7201,1.000,1.000,1.000,1.000,4
A0A060XL10,ref_5M8L_human,0.6539,1.000,1.000,1.000,1.000,4
A0A060ZAB7,ref_5M8L_human,0.3210,0.000,0.000,1.000,1.000,2
A0A061DZ45,ref_5CE9_Jregia,0.5296,1.000,1.000,1.000,1.000,4
A0A061E0X0,ref_5CE9_Jregia,0.5736,1.000,1.000,1.000,1.000,4
A0A061E6S7,ref_5CE9_Jregia,0.6113,1.000,1.000,1.000,1.000,4
A0A061GEN3,ref_5CE9_Jregia,0.5490,1.000,1.000,1.000,1.000,4
A0A061GFI2,ref_1BT3_Ibatatas,0.5571,1.000,1.000,1.000,1.000,4
A0A061GFY3,ref_5CE9_Jregia,0.5445,1.000,1.000,1.000,1.000,4
A0A061GFY7,ref_5CE9_Jregia,0.5502,1.000,1.000,1.000,1.000,4
A0A061GMJ6,ref_5CE9_Jregia,0.5580,1.000,1.000,1.000,1.000,4
A0A061GMK1,ref_1BT3_Ibatatas,0.7426,1.000,1.000,1.000,1.000,4
A0A061HFI6,ref_2Y9W_Abisporus,0.5237,1.000,1.000,1.000,1.000,4
A0A061HSG6,ref_2Y9W_Abisporus,0.5314,1.000,1.000,1.000,1.000,4
A0A061IGF6,ref_5M8L_human,0.7183,1.000,1.000,1.000,1.000,4
A0A062U9V8,ref_2Y9W_Abisporus,0.4151,1.000,0.792,1.000,1.000,4
A0A063BRM1,ref_2Y9W_Abisporus,0.5254,1.000,1.000,0.923,1.000,4
A0A066RUA7,ref_2Y9W_Abisporus,0.4603,1.000,0.875,0.846,1.000,4
A0A066WXF3,ref_2Y9W_Abisporus,0.4664,1.000,0.750,1.000,1.000,4
A0A066X3Q1,ref_A0A9N8ELP9_oomycota,0.5602,1.000,1.000,0.750,1.000,4
A0A066X6L4,ref_PmTYR,0.5912,1.000,1.000,0.778,1.000,4
A0A066X7V3,ref_2Y9W_Abisporus,0.4412,1.000,1.000,1.000,1.000,4
A0A066X846,ref_A0A9N8ELP9_oomycota,0.5821,1.000,1.000,1.000,1.000,4
A0A066X9U3,ref_2Y9W_Abisporus,0.3907,1.000,1.000,1.000,1.000,4
A0A066XLM3,ref_PmTYR,0.5117,1.000,1.000,1.000,1.000,4
A0A066XQD0,ref_A0A9N8ELP9_oomycota,0.5354,1.000,1.000,1.000,0.895,4
A0A066XSE1,ref_PmTYR,0.4436,1.000,1.000,1.000,1.000,4
A0A066XSY6,ref_2Y9W_Abisporus,0.4300,1.000,1.000,1.000,1.000,4
A0A066XW40,ref_2Y9W_Abisporus,0.4957,1.000,1.000,1.000,1.000,4
A0A066XWR5,ref_PmTYR,0.5571,0.923,1.000,1.000,1.000,4
A0A066XZ78,ref_PmTYR,0.5574,1.000,1.000,1.000,1.000,4
A0A066Y1D2,ref_A0A9N8ELP9_oomycota,0.5513,0.917,1.000,0.917,0.947,4
A0A066Y1V3,ref_2Y9W_Abisporus,0.5413,1.000,1.000,1.000,1.000,4
A0A066Z0K1,ref_1JS8_squid,0.5741,1.000,1.000,0.650,0.826,4
A0A067BLT8,ref_5M8L_human,0.3615,0.846,1.000,0.750,1.000,4
A0A067BLZ4,ref_8BBR_Vspinosum,0.2490,1.000,1.000,1.000,1.000,4
A0A067BRT6,ref_8BBR_Vspinosum,0.2607,1.000,1.000,1.000,1.000,4
A0A067BTT5,ref_1JS8_squid,0.3627,1.000,1.000,0.900,1.000,4
A0A067BUS0,ref_1JS8_squid,0.3704,1.000,1.000,0.750,1.000,4
A0A067BX73,ref_8BBR_Vspinosum,0.3962,1.000,0.950,1.000,1.000,4
A0A067BZH5,ref_A0A9N8ELP9_oomycota,0.3932,1.000,1.000,0.667,1.000,4
A0A067C156,ref_2Y9W_Abisporus,0.2953,1.000,0.833,1.000,1.000,4
A0A067C4V3,ref_1JS8_squid,0.4000,0.000,1.000,0.800,0.957,3
A0A067C5L8,ref_1JS8_squid,0.3749,0.500,1.000,0.800,1.000,4
A0A067C631,ref_A0A9N8ELP9_oomycota,0.3747,0.917,1.000,1.000,1.000,4
A0A067CPX4,ref_PmTYR,0.4429,0.846,1.000,1.000,1.000,4
A0A067CT24,ref_1JS8_squid,0.4490,1.000,1.000,0.800,1.000,4
A0A067CXC8,ref_A0A9N8ELP9_oomycota,0.3008,0.917,1.000,0.917,1.000,4
A0A067CZT6,ref_1JS8_squid,0.3827,1.000,1.000,0.800,1.000,4
A0A067D5R2,ref_1JS8_squid,0.2649,0.875,1.000,1.000,0.957,4
A0A067D814,ref_A0A9N8ELP9_oomycota,0.2451,0.917,1.000,0.917,1.000,4
A0A067GK93,ref_5CE9_Jregia,0.5539,1.000,1.000,1.000,1.000,4
A0A067JAU2,ref_5CE9_Jregia,0.5675,1.000,1.000,1.000,1.000,4
A0A067MC03,ref_A0A9N8ELP9_oomycota,0.6465,1.000,1.000,1.000,1.000,4
A0A067MC09,ref_PmTYR,0.6141,1.000,1.000,1.000,1.000,4
A0A067ME78,ref_2Y9W_Abisporus,0.5216,1.000,0.708,1.000,1.000,4
A0A067MJR9,ref_2Y9W_Abisporus,0.4560,1.000,1.000,1.000,1.000,4
A0A067MN37,ref_A0A9N8ELP9_oomycota,0.4048,0.000,0.000,0.000,1.000,1
A0A067MSX0,ref_A0A9N8ELP9_oomycota,0.5019,1.000,1.000,0.917,1.000,4
A0A067N7R8,ref_PmTYR,0.6678,1.000,1.000,1.000,1.000,4
A0A067NHK1,ref_PmTYR,0.4601,0.000,0.000,0.778,1.000,2
A0A067NVB7,ref_8BBR_Vspinosum,0.3898,0.818,1.000,1.000,1.000,4
A0A067NXD0,ref_PmTYR,0.5343,1.000,1.000,1.000,1.000,4
A0A067PHP8,ref_2Y9W_Abisporus,0.4190,1.000,1.000,1.000,1.000,4
A0A067PPZ9,ref_2Y9W_Abisporus,0.5299,1.000,1.000,1.000,1.000,4
A0A067PSS3,ref_2Y9W_Abisporus,0.4332,1.000,1.000,1.000,1.000,4
A0A067S9C3,ref_A0A9N8ELP9_oomycota,0.5415,1.000,1.000,1.000,1.000,4
A0A067T9P6,ref_PmTYR,0.5970,1.000,1.000,1.000,1.000,4
A0A067TCE7,ref_PmTYR,0.6165,0.923,1.000,1.000,1.000,4
A0A067TKM5,ref_2Y9W_Abisporus,0.5084,1.000,1.000,1.000,1.000,4
A0A067XIX1,ref_5M8L_human,0.5838,1.000,1.000,1.000,1.000,4
A0A068FAU8,ref_5M8L_human,0.6932,1.000,1.000,0.000,0.000,2
A0A068NQY3,ref_8BBR_Vspinosum,0.5819,1.000,1.000,1.000,1.000,4
A0A068TU86,ref_5CE9_Jregia,0.5769,1.000,1.000,1.000,1.000,4
A0A068UD36,ref_5CE9_Jregia,0.5558,1.000,1.000,1.000,1.000,4
A0A068UEN7,ref_5CE9_Jregia,0.5756,1.000,1.000,1.000,1.000,4
A0A068UEP3,ref_5CE9_Jregia,0.5631,1.000,1.000,1.000,1.000,4
A0A068VB21,ref_5CE9_Jregia,0.3189,0.000,0.000,0.000,1.000,1
A0A068VBG9,ref_1JS8_squid,0.5413,1.000,1.000,0.500,0.522,4
A0A068VNV4,ref_5CE9_Jregia,0.6265,1.000,1.000,1.000,1.000,4
A0A069NJ99,ref_5CE9_Jregia,0.4333,1.000,0.947,1.000,1.000,4
A0A069P877,ref_5CE9_Jregia,0.3570,1.000,1.000,0.833,1.000,4
A0A069P8P9,ref_5CE9_Jregia,0.3947,1.000,1.000,0.833,1.000,4
A0A072P207,ref_PmTYR,0.5368,1.000,1.000,1.000,1.000,4
A0A072P5W0,ref_PmTYR,0.5934,1.000,1.000,1.000,1.000,4
A0A072P8W8,ref_A0A9N8ELP9_oomycota,0.5747,0.917,1.000,1.000,0.947,4
A0A072PCR1,ref_A0A9N8ELP9_oomycota,0.5530,1.000,1.000,1.000,1.000,4
A0A072PH66,ref_2Y9W_Abisporus,0.3864,0.000,0.000,1.000,1.000,2
A0A072PJG5,ref_A0A9N8ELP9_oomycota,0.5616,1.000,1.000,1.000,0.895,4
A0A072PV79,ref_2Y9W_Abisporus,0.6212,1.000,1.000,0.000,0.000,2
A0A072Q6Y5,ref_PmTYR,0.7410,0.923,1.000,0.778,1.000,4
A0A074RCL1,ref_A0A9N8ELP9_oomycota,0.6908,1.000,1.000,0.917,1.000,4
A0A074RG36,ref_5M8L_human,0.4982,1.000,1.000,0.000,0.000,2
A0A074RJD3,ref_PmTYR,0.6404,1.000,1.000,0.778,1.000,4
A0A074RK37,ref_2Y9W_Abisporus,0.5619,0.000,1.000,1.000,1.000,3
A0A074RKY4,ref_PmTYR,0.6565,1.000,0.947,1.000,0.947,4
A0A074RLS0,ref_PmTYR,0.6916,1.000,1.000,1.000,0.947,4
A0A074RRF8,ref_2Y9W_Abisporus,0.3848,1.000,1.000,1.000,1.000,4
A0A074RSM2,ref_PmTYR,0.6753,1.000,1.000,0.667,0.947,4
A0A074RSY5,ref_2Y9W_Abisporus,0.6172,1.000,1.000,1.000,1.000,4
A0A074RTB9,ref_A0A9N8ELP9_oomycota,0.5959,1.000,0.900,1.000,1.000,4
A0A074RWE6,ref_A0A9N8ELP9_oomycota,0.5340,0.917,1.000,1.000,0.947,4
A0A074RXC0,ref_A0A9N8ELP9_oomycota,0.6147,1.000,1.000,1.000,0.789,4
A0A074RXE5,ref_PmTYR,0.3094,1.000,1.000,1.000,1.000,4
A0A074RXR6,ref_PmTYR,0.5993,1.000,1.000,1.000,1.000,4
A0A074RYB7,ref_A0A9N8ELP9_oomycota,0.6156,0.917,1.000,0.917,1.000,4
A0A074S0H8,ref_PmTYR,0.6866,1.000,1.000,1.000,1.000,4
A0A074S2B5,ref_A0A9N8ELP9_oomycota,0.6704,1.000,0.950,1.000,1.000,4
A0A074S7C5,ref_A0A9N8ELP9_oomycota,0.5203,1.000,1.000,0.917,1.000,4
A0A074S7W9,ref_PmTYR,0.6040,1.000,1.000,1.000,1.000,4
A0A074S897,ref_A0A9N8ELP9_oomycota,0.6165,0.917,1.000,1.000,1.000,4
A0A074S9M8,ref_PmTYR,0.6864,1.000,1.000,1.000,0.947,4
A0A074SA15,ref_A0A9N8ELP9_oomycota,0.6455,1.000,1.000,0.750,1.000,4
A0A074SDG0,ref_PmTYR,0.6331,1.000,1.000,0.778,1.000,4
A0A074SDL0,ref_PmTYR,0.3261,0.000,0.000,0.889,1.000,2
A0A074SFZ9,ref_PmTYR,0.5984,1.000,1.000,1.000,1.000,4
A0A074SK72,ref_PmTYR,0.3206,1.000,1.000,1.000,1.000,4
A0A074SK81,ref_PmTYR,0.5779,1.000,1.000,1.000,0.368,3
A0A074SUA9,ref_PmTYR,0.7114,1.000,1.000,0.778,1.000,4
A0A074VDT7,ref_A0A9N8ELP9_oomycota,0.5193,0.917,1.000,1.000,0.895,4
A0A074VGZ0,ref_A0A9N8ELP9_oomycota,0.5615,1.000,1.000,1.000,0.947,4
A0A074VI76,ref_PmTYR,0.4734,1.000,1.000,0.778,0.947,4
A0A074VIF5,ref_2Y9W_Abisporus,0.4731,1.000,1.000,1.000,1.000,4
A0A074W682,ref_A0A9N8ELP9_oomycota,0.6321,1.000,1.000,1.000,1.000,4
A0A074W6F3,ref_1JS8_squid,0.4703,1.000,1.000,0.650,0.696,4
A0A074WGJ9,ref_2Y9W_Abisporus,0.4631,1.000,1.000,1.000,1.000,4
A0A074WJS2,ref_A0A9N8ELP9_oomycota,0.5246,1.000,1.000,1.000,1.000,4
A0A074WWD6,ref_A0A9N8ELP9_oomycota,0.5554,1.000,1.000,1.000,0.947,4
A0A074X475,ref_A0A9N8ELP9_oomycota,0.6330,1.000,1.000,1.000,1.000,4
A0A074XC75,ref_2Y9W_Abisporus,0.4123,1.000,1.000,1.000,1.000,4
A0A074XNA1,ref_PmTYR,0.5255,1.000,1.000,1.000,1.000,4
A0A074XND5,ref_8BBR_Vspinosum,0.4851,1.000,1.000,0.714,0.864,4
A0A074XR97,ref_A0A9N8ELP9_oomycota,0.5649,1.000,1.000,1.000,1.000,4
A0A074XWE1,ref_A0A9N8ELP9_oomycota,0.5166,1.000,1.000,1.000,1.000,4
A0A074Y1Q9,ref_PmTYR,0.6696,1.000,1.000,1.000,1.000,4
A0A074YH07,ref_A0A9N8ELP9_oomycota,0.5640,1.000,1.000,1.000,0.947,4
A0A074YPA7,ref_2Y9W_Abisporus,0.4081,1.000,1.000,1.000,1.000,4
A0A074YPF6,ref_A0A9N8ELP9_oomycota,0.5223,1.000,1.000,1.000,1.000,4
A0A074YQS1,ref_8BBR_Vspinosum,0.4660,0.909,1.000,1.000,0.955,4
A0A074Z7G7,ref_5M8L_human,0.6259,1.000,1.000,1.000,1.000,4
A0A074ZDD7,ref_5M8L_human,0.3227,1.000,1.000,1.000,1.000,4
A0A074ZHJ0,ref_5M8L_human,0.4810,1.000,1.000,0.000,0.000,2
A0A074ZPR2,ref_5M8L_human,0.6556,1.000,1.000,1.000,1.000,4
A0A075AEH4,ref_5M8L_human,0.6452,1.000,1.000,1.000,1.000,4
A0A075AU36,ref_A0A9N8ELP9_oomycota,0.6843,0.667,1.000,1.000,1.000,4
A0A075AX41,ref_PmTYR,0.4031,1.000,1.000,0.778,1.000,4
A0A075AYG4,ref_PmTYR,0.5628,1.000,1.000,0.778,1.000,4
A0A075AZW6,ref_PmTYR,0.5161,0.000,0.947,0.778,0.947,3
A0A075B1D3,ref_PmTYR,0.3323,1.000,1.000,0.889,1.000,4
A0A075BWS7,ref_5CE9_Jregia,0.5285,1.000,1.000,1.000,1.000,4
A0A075BX21,ref_1BT3_Ibatatas,0.5244,1.000,1.000,1.000,1.000,4
A0A075DN54,ref_1BT3_Ibatatas,0.5420,1.000,1.000,1.000,1.000,4
