accession,has_2cu,n_cu,cu_dist,cu_dist_ok,n_coord_his,his_ok,min_plddt,plddt_ok,canonical,his_positions
A0A023WFC4,True,2,17.59,False,3,False,65.9,False,False,"122,144,153"
A0A023WFC9,True,2,17.14,False,3,False,44.6,False,False,"122,144,153"
A0A023WFD4,True,2,17.4,False,3,False,89.5,True,False,"122,144,153"
A0A023WFD9,True,2,17.34,False,4,False,88.7,True,False,"122,144,153,162"
A0A023WFR6,True,2,17.15,False,3,False,83.6,True,False,"122,144,153"
A0A023WFS1,True,2,17.57,False,3,False,66.3,False,False,"122,144,153"
A0A023WFS6,True,2,17.49,False,3,False,59.6,False,False,"122,144,153"
A0A023WFT2,True,2,17.78,False,3,False,85.8,True,False,"122,144,153"
A0A023WGB6,True,2,17.15,False,3,False,83.6,True,False,"122,144,153"
A0A023WGB9,True,2,17.55,False,3,False,64.0,False,False,"122,144,153"
A0A023WGC5,True,2,17.5,False,4,False,89.2,True,False,"122,144,153,162"
A0A023WGD1,True,2,3.56,True,3,False,78.0,True,False,"122,144,153"
A0A023WGD7,True,2,17.62,False,4,False,76.6,True,False,"122,144,153,162"
A0A023WGM6,True,2,17.5,False,3,False,67.4,False,False,"122,144,153"
A0A023WGN1,True,2,3.81,True,3,False,88.1,True,False,"122,144,153"
A0A023WGN6,True,2,17.4,False,3,False,89.5,True,False,"122,144,153"
A0A023WGP1,True,2,18.04,False,4,False,83.1,True,False,"122,144,153,162"
A0A023WGP6,True,2,17.27,False,3,False,86.9,True,False,"122,144,153"
A0A024CHG7,True,2,4.19,True,6,True,91.7,True,True,"142,151,160,292,296,319"
A0A024CHH0,True,2,4.27,True,6,True,96.8,True,True,"16,26,35,162,166,189"
A0A024CHU4,True,2,4.0,True,6,True,92.9,True,True,"139,149,158,283,287,310"
A0A024CHU9,True,2,4.03,True,6,True,85.2,True,True,"86,95,104,229,233,256"
A0A024CI03,True,2,4.38,True,6,True,90.8,True,True,"140,148,157,267,271,294"
A0A024CI05,True,2,4.37,True,6,True,84.2,True,True,"18,28,37,162,166,189"
A0A024CIJ0,True,2,3.97,True,6,True,92.4,True,True,"93,102,111,221,225,248"
A0A024CIJ4,True,2,4.08,True,6,True,94.4,True,True,"90,100,109,234,238,261"
A0A024CIJ8,True,2,4.01,True,6,True,96.8,True,True,"37,46,55,173,177,200"
A0A024CJP7,True,2,4.05,True,6,True,96.5,True,True,"145,154,163,295,299,322"
A0A024CJQ0,True,2,4.04,True,6,True,95.4,True,True,"18,28,37,162,166,189"
A0A024DBG7,True,2,4.12,True,6,True,96.8,True,True,"180,202,211,363,367,390"
A0A024FBC3,True,2,2.97,True,3,False,64.7,False,False,"143,152,161"
A0A024FR46,True,2,3.87,True,6,True,93.0,True,True,"190,211,220,342,346,375"
A0A024FS61,True,2,3.96,True,6,True,92.4,True,True,"185,206,215,337,341,371"
A0A024FZ14,True,2,3.89,True,6,True,96.1,True,True,"85,95,104,247,251,273"
A0A024GPM3,True,2,3.85,True,6,True,94.7,True,True,"62,72,81,222,226,248"
A0A024GR18,True,2,20.74,False,4,False,70.3,True,False,"115,119,141,516"
A0A024S4X8,True,2,4.38,True,6,True,73.0,True,True,"99,123,132,305,309,334"
A0A024SD58,True,2,4.36,True,6,True,88.9,True,True,"155,161,170,325,329,352"
A0A024SJR1,True,2,4.13,True,6,True,83.6,True,True,"81,105,114,271,275,300"
A0A024T832,True,2,1.93,False,3,False,89.5,True,False,"33,37,60"
A0A024T961,True,2,4.21,True,6,True,84.6,True,True,"267,277,285,434,438,460"
A0A024T9U4,True,2,4.14,True,6,True,97.6,True,True,"186,196,205,351,355,378"
A0A024TEL4,True,2,4.24,True,6,True,90.8,True,True,"476,486,495,623,627,650"
A0A024TMR4,True,2,3.83,True,6,True,93.2,True,True,"66,76,84,235,239,261"
A0A024TN69,True,2,3.71,True,6,True,88.8,True,True,"63,73,81,227,231,253"
A0A024TPQ1,True,2,4.78,True,5,False,48.0,False,False,"277,287,404,408,431"
A0A024TRP2,True,2,2.66,False,3,False,68.8,False,False,"277,287,296"
A0A024U9A0,True,2,8.69,False,3,False,90.3,True,False,"107,111,133"
A0A024UGQ1,True,2,24.93,False,4,False,87.4,True,False,"323,327,349,448"
A0A024UNS3,True,2,4.12,True,6,True,95.6,True,True,"171,181,190,333,337,360"
A0A024UP64,True,2,4.09,True,6,True,96.8,True,True,"258,268,277,420,424,447"
A0A024URD5,True,2,4.08,True,6,True,90.2,True,True,"74,84,93,233,237,260"
A0A058ZVU6,True,2,5.11,True,3,False,42.9,False,False,"97,101,124"
A0A058ZW33,True,2,3.88,True,6,True,91.8,True,True,"183,204,213,333,337,367"
A0A058ZX16,True,2,4.08,True,3,False,89.9,True,False,"183,204,213"
A0A059CCV1,True,2,3.93,True,6,True,91.9,True,True,"187,208,217,339,343,373"
A0A059CDE4,True,2,3.79,True,6,True,90.9,True,True,"247,268,277,397,401,431"
A0A059F260,True,2,4.3,True,6,True,97.4,True,True,"61,69,78,177,181,206"
A0A059JJQ6,True,2,4.25,True,6,True,85.6,True,True,"86,108,117,277,281,306"
A0A059TZU2,True,2,3.93,True,6,True,97.6,True,True,"192,215,224,377,381,404"
A0A059U1P9,True,2,3.94,True,6,True,97.6,True,True,"192,215,224,377,381,404"
A0A059UAM0,True,2,3.8,True,6,True,90.3,True,True,"155,176,185,307,311,341"
A0A060S6S8,True,2,3.88,True,6,True,81.3,True,True,"63,87,96,258,262,287"
A0A060SLI6,True,2,28.03,False,4,False,89.0,True,False,"90,98,107,142"
A0A060WMQ6,True,2,3.93,True,6,True,96.4,True,True,"187,209,218,371,375,398"
A0A060WUY0,True,2,3.98,True,6,True,96.1,True,True,"188,210,219,370,374,397"
A0A060X1G5,True,2,3.81,True,6,True,98.1,True,True,"182,205,214,367,371,394"
A0A060X8B7,True,2,4.16,True,6,True,92.9,True,True,"182,205,214,366,370,393"
A0A060XL10,True,2,4.07,True,6,True,90.4,True,True,"186,208,217,374,378,401"
A0A060ZAB7,True,2,5.38,True,2,False,54.9,False,False,"67,71"
A0A061DZ45,True,2,3.98,True,6,True,93.6,True,True,"196,216,225,346,350,380"
A0A061E0X0,True,2,3.68,True,6,True,93.2,True,True,"153,173,182,303,307,337"
A0A061E6S7,True,2,3.79,True,6,True,93.3,True,True,"117,137,146,267,271,301"
A0A061GEN3,True,2,3.82,True,6,True,93.0,True,True,"187,208,217,339,343,373"
A0A061GFI2,True,2,5.36,True,3,False,58.9,False,False,"144,153,309"
A0A061GFY3,True,2,3.8,True,6,True,93.8,True,True,"200,221,230,352,356,386"
A0A061GFY7,True,2,3.75,True,6,True,91.6,True,True,"186,206,215,337,341,371"
A0A061GMJ6,True,2,3.74,True,6,True,92.0,True,True,"184,205,214,336,340,370"
A0A061GMK1,True,2,3.96,True,6,True,92.6,True,True,"179,199,208,330,334,364"
A0A061HFI6,True,2,4.26,True,6,True,92.3,True,True,"109,133,142,314,318,344"
A0A061HSG6,True,2,4.11,True,6,True,92.0,True,True,"92,116,125,284,288,314"
A0A061IGF6,True,2,4.27,True,6,True,83.8,True,True,"206,228,237,389,393,416"
A0A062U9V8,True,2,4.02,True,6,True,72.0,True,True,"137,150,159,277,281,304"
A0A063BRM1,True,2,3.96,True,6,True,86.8,True,True,"103,127,136,302,306,331"
A0A066RUA7,True,2,4.18,True,5,False,90.3,True,False,"62,80,207,211,245"
A0A066WXF3,True,2,4.0,True,6,True,75.7,True,True,"46,67,76,272,276,316"
A0A066X3Q1,True,2,3.98,True,5,False,87.7,True,False,"138,146,155,278,304"
A0A066X6L4,True,2,4.2,True,6,True,98.3,True,True,"75,83,92,214,218,241"
A0A066X7V3,True,2,4.37,True,6,True,81.3,True,True,"69,98,107,290,294,319"
A0A066X846,True,2,4.08,True,6,True,97.9,True,True,"108,116,125,283,287,311"
A0A066X9U3,True,2,3.99,True,6,True,78.4,True,True,"72,103,112,298,302,332"
A0A066XLM3,True,2,4.25,True,6,True,97.8,True,True,"128,136,145,313,317,341"
A0A066XQD0,True,2,4.24,True,6,True,98.2,True,True,"123,131,140,308,312,336"
A0A066XSE1,True,2,3.92,True,5,False,91.7,True,False,"205,213,222,390,394"
A0A066XSY6,True,2,4.15,True,6,True,85.7,True,True,"202,226,235,397,401,424"
A0A066XW40,True,2,4.55,True,6,True,80.5,True,True,"101,125,134,300,304,329"
A0A066XWR5,True,2,4.18,True,6,True,95.1,True,True,"106,114,123,276,280,303"
A0A066XZ78,True,2,4.03,True,6,True,98.3,True,True,"104,112,121,283,287,310"
A0A066Y1D2,True,2,4.13,True,6,True,97.1,True,True,"115,123,132,296,300,323"
A0A066Y1V3,True,2,6.78,False,3,False,85.7,True,False,"273,277,302"
A0A066Z0K1,True,2,3.93,True,6,True,91.8,True,True,"18,27,36,148,152,175"
A0A067BLT8,True,2,4.39,True,6,True,70.4,True,True,"65,75,83,230,234,256"
A0A067BLZ4,True,2,3.95,True,6,True,87.5,True,True,"347,357,366,472,476,498"
A0A067BRT6,True,2,4.03,True,6,True,89.2,True,True,"322,332,341,447,451,473"
A0A067BTT5,True,2,4.25,True,6,True,91.3,True,True,"70,80,88,235,239,261"
A0A067BUS0,True,2,4.11,True,6,True,91.4,True,True,"72,82,90,237,241,263"
A0A067BX73,True,2,4.1,True,6,True,91.9,True,True,"64,74,82,229,233,255"
A0A067BZH5,True,2,4.01,True,6,True,88.7,True,True,"65,75,83,230,234,256"
A0A067C156,True,2,4.08,True,6,True,87.2,True,True,"287,297,307,414,418,440"
A0A067C4V3,True,2,2.57,False,4,False,37.7,False,False,"7,123,127,149"
A0A067C5L8,True,2,4.24,True,5,False,78.3,True,False,"63,72,207,211,234"
A0A067C631,True,2,4.14,True,6,True,89.7,True,True,"64,74,82,229,233,255"
A0A067CPX4,True,2,4.08,True,6,True,95.9,True,True,"57,67,76,216,220,243"
A0A067CT24,True,2,24.39,False,3,False,97.3,True,False,"228,232,255"
A0A067CXC8,True,2,3.9,True,6,True,94.3,True,True,"203,213,222,361,365,388"
A0A067CZT6,True,2,4.41,True,5,False,94.0,True,False,"82,92,101,246,269"
A0A067D5R2,True,2,4.2,True,6,True,91.7,True,True,"324,334,344,450,454,476"
A0A067D814,True,2,3.9,True,6,True,93.7,True,True,"375,385,394,533,537,560"
A0A067GK93,True,2,3.84,True,6,True,92.3,True,True,"171,192,201,325,329,359"
A0A067JAU2,True,2,3.84,True,6,True,91.0,True,True,"171,192,201,323,327,357"
A0A067MC03,True,2,4.28,True,6,True,96.8,True,True,"101,109,118,257,261,284"
A0A067MC09,True,2,4.25,True,6,True,97.4,True,True,"94,102,111,250,254,277"
A0A067ME78,True,2,13.0,False,2,False,67.8,False,False,"255,259"
A0A067MJR9,True,2,4.22,True,6,True,85.2,True,True,"64,91,100,311,315,340"
A0A067MN37,True,2,20.63,False,2,False,76.0,True,False,"23,37"
A0A067MSX0,True,2,4.14,True,6,True,96.5,True,True,"126,134,143,278,282,318"
A0A067N7R8,True,2,4.03,True,6,True,98.2,True,True,"80,88,97,242,246,269"
A0A067NHK1,True,2,2.27,False,3,False,93.7,True,False,"104,108,144"
A0A067NVB7,True,2,3.95,True,5,False,56.3,False,False,"46,55,175,179,215"
A0A067NXD0,True,2,4.2,True,6,True,94.6,True,True,"94,102,111,247,251,285"
A0A067PHP8,True,2,4.12,True,3,False,80.2,True,False,"87,129,138"
A0A067PPZ9,True,2,4.03,True,6,True,54.4,False,False,"88,130,139,330,334,359"
A0A067PSS3,True,2,3.85,True,3,False,68.3,False,False,"89,131,140"
A0A067S9C3,True,2,4.29,True,6,True,95.2,True,True,"96,104,113,249,253,290"
A0A067T9P6,True,2,4.25,True,6,True,97.8,True,True,"77,85,94,239,243,266"
A0A067TCE7,True,2,3.93,True,6,True,98.2,True,True,"85,93,102,247,251,277"
A0A067TKM5,True,2,3.93,True,6,True,68.3,False,False,"58,86,95,257,261,286"
A0A067XIX1,True,2,4.11,True,6,True,93.9,True,True,"186,211,220,374,378,401"
A0A068FAU8,True,2,2.93,True,3,False,88.2,True,False,"180,202,211"
A0A068NQY3,True,2,3.79,True,6,True,90.2,True,True,"74,80,89,276,280,312"
A0A068TU86,True,2,3.93,True,6,True,90.5,True,True,"167,188,197,319,323,353"
A0A068UD36,True,2,3.94,True,6,True,90.3,True,True,"181,204,213,334,338,368"
A0A068UEN7,True,2,3.95,True,6,True,88.9,True,True,"174,194,203,327,331,361"
A0A068UEP3,True,2,4.15,True,6,True,90.7,True,True,"180,201,210,332,336,366"
A0A068VB21,True,2,4.47,True,1,False,78.9,True,False,17
A0A068VBG9,True,2,3.59,True,4,False,54.9,False,False,"19,37,46,152"
A0A068VNV4,True,2,4.14,True,6,True,85.0,True,True,"19,39,48,170,174,204"
A0A069NJ99,True,2,4.27,True,6,True,89.0,True,True,"58,64,73,162,166,188"
A0A069P877,True,2,4.13,True,6,True,83.2,True,True,"121,127,136,224,228,250"
A0A069P8P9,True,2,4.47,True,6,True,93.2,True,True,"77,83,92,178,182,205"
A0A072P207,True,2,4.0,True,6,True,98.3,True,True,"130,138,147,311,315,339"
A0A072P5W0,True,2,4.82,True,6,True,96.1,True,True,"98,106,115,274,278,301"
A0A072P8W8,True,2,4.89,True,6,True,96.4,True,True,"99,107,116,274,278,301"
A0A072PCR1,True,2,4.25,True,6,True,97.9,True,True,"121,129,138,307,311,335"
A0A072PH66,True,2,3.33,True,3,False,65.5,False,False,"70,74,99"
A0A072PJG5,True,2,4.22,True,6,True,96.7,True,True,"86,94,103,263,267,290"
A0A072PV79,True,2,3.11,True,3,False,65.5,False,False,"86,108,117"
A0A072Q6Y5,True,2,4.02,True,5,False,93.9,True,False,"11,19,28,160,186"
A0A074RCL1,True,2,4.05,True,6,True,97.4,True,True,"83,91,100,221,225,247"
A0A074RG36,True,2,3.18,True,3,False,95.2,True,False,"98,106,115"
A0A074RJD3,True,2,3.95,True,6,True,96.4,True,True,"61,69,78,221,225,247"
A0A074RK37,True,2,4.59,True,4,False,70.8,True,False,"32,255,259,284"
A0A074RKY4,True,2,3.92,True,6,True,98.2,True,True,"82,90,99,214,218,240"
A0A074RLS0,True,2,3.8,True,6,True,98.0,True,True,"88,96,105,225,229,251"
A0A074RRF8,True,2,4.23,True,6,True,86.9,True,True,"96,124,133,361,365,390"
A0A074RSM2,True,2,4.05,True,6,True,97.5,True,True,"79,87,96,216,220,242"
A0A074RSY5,True,2,4.2,True,6,True,78.7,True,True,"68,96,105,333,337,364"
A0A074RTB9,True,2,3.75,True,6,True,95.9,True,True,"96,104,113,252,256,279"
A0A074RWE6,True,2,4.18,True,3,False,94.0,True,False,"119,136,302"
A0A074RXC0,True,2,3.57,True,6,True,91.4,True,True,"88,96,105,257,261,277"
A0A074RXE5,True,2,3.89,True,6,True,95.6,True,True,"414,422,431,564,568,604"
A0A074RXR6,True,2,4.01,True,6,True,96.7,True,True,"99,107,116,251,255,278"
A0A074RYB7,True,2,4.15,True,6,True,97.0,True,True,"99,107,116,249,253,289"
A0A074S0H8,True,2,4.04,True,6,True,97.7,True,True,"83,91,100,221,225,247"
A0A074S2B5,True,2,3.88,True,6,True,97.3,True,True,"76,84,93,216,220,242"
A0A074S7C5,True,2,4.35,True,6,True,94.8,True,True,"90,98,107,246,250,289"
A0A074S7W9,True,2,4.12,True,6,True,97.1,True,True,"87,95,104,241,245,269"
A0A074S897,True,2,4.07,True,6,True,97.9,True,True,"88,96,105,248,252,274"
A0A074S9M8,True,2,3.84,True,5,False,92.9,True,False,"83,97,212,216,238"
A0A074SA15,True,2,3.8,True,6,True,98.0,True,True,"115,123,132,252,256,278"
A0A074SDG0,True,2,4.38,True,3,False,70.7,True,False,"81,216,217"
A0A074SDL0,True,2,3.39,True,3,False,74.2,True,False,"8,12,51"
A0A074SFZ9,True,2,4.0,True,6,True,97.4,True,True,"83,91,100,239,243,266"
A0A074SK72,True,2,4.42,True,6,True,96.5,True,True,"94,102,111,240,244,284"
A0A074SK81,True,2,4.67,True,6,True,95.8,True,True,"93,101,110,236,240,280"
A0A074SUA9,True,2,4.05,True,6,True,97.6,True,True,"58,66,75,203,207,229"
A0A074VDT7,True,2,3.81,True,6,True,96.7,True,True,"105,113,122,286,290,314"
A0A074VGZ0,True,2,4.03,True,6,True,98.2,True,True,"116,124,133,301,305,329"
A0A074VI76,True,2,16.57,False,2,False,73.1,True,False,"151,241"
A0A074VIF5,True,2,4.07,True,6,True,84.9,True,True,"70,93,102,272,276,301"
A0A074W682,True,2,4.48,True,5,False,97.6,True,False,"72,80,89,251,274"
A0A074W6F3,True,2,16.77,False,2,False,76.7,True,False,"240,282"
A0A074WGJ9,True,2,4.09,True,6,True,84.1,True,True,"78,101,110,280,284,309"
A0A074WJS2,True,2,3.92,True,6,True,98.2,True,True,"106,114,123,287,291,315"
A0A074WWD6,True,2,4.1,True,6,True,98.2,True,True,"116,124,133,301,305,329"
A0A074X475,True,2,3.91,True,6,True,97.6,True,True,"55,63,72,230,234,257"
A0A074XC75,True,2,4.06,True,6,True,81.8,True,True,"110,133,142,312,316,341"
A0A074XNA1,True,2,4.24,True,6,True,97.3,True,True,"94,102,111,279,283,307"
A0A074XND5,True,2,24.39,False,1,False,93.9,True,False,283
A0A074XR97,True,2,3.89,True,6,True,98.2,True,True,"120,128,137,295,299,322"
A0A074XWE1,True,2,3.9,True,6,True,98.0,True,True,"106,114,123,287,291,315"
A0A074Y1Q9,True,2,3.87,True,6,True,97.9,True,True,"55,63,72,230,234,257"
A0A074YH07,True,2,4.35,True,6,True,97.6,True,True,"89,97,106,274,278,302"
A0A074YPA7,True,2,4.1,True,6,True,85.8,True,True,"110,133,142,312,316,341"
A0A074YPF6,True,2,3.92,True,6,True,98.1,True,True,"106,114,123,287,291,315"
A0A074YQS1,True,2,29.61,False,2,False,89.8,True,False,"167,282"
A0A074Z7G7,True,2,3.95,True,6,True,95.6,True,True,"183,208,217,370,374,397"
A0A074ZDD7,True,2,2.86,True,0,False,0,False,False,
A0A074ZPR2,True,2,3.69,True,6,True,94.2,True,True,"186,211,220,371,375,398"
A0A075AU36,True,2,4.13,True,6,True,95.0,True,True,"6,14,23,136,140,162"
A0A075AX41,True,2,4.11,True,6,True,96.9,True,True,"38,46,55,165,169,191"
A0A075AYG4,True,2,4.32,True,6,True,90.2,True,True,"71,79,88,194,198,223"
A0A075AZW6,True,2,17.57,False,3,False,94.9,True,False,"117,121,143"
A0A075B1D3,True,2,4.31,True,6,True,92.3,True,True,"21,29,38,157,161,183"
A0A075BWS7,True,2,3.94,True,6,True,89.7,True,True,"186,212,221,351,355,385"
A0A075BX21,True,2,3.86,True,6,True,88.3,True,True,"186,212,221,351,355,385"
A0A075DN54,True,2,3.8,True,6,True,86.5,True,True,"178,201,210,337,341,371"
A0A075Q1C6,True,2,21.59,False,3,False,40.5,False,False,"145,176,185"
A0A075Q3G6,True,2,21.27,False,4,False,34.0,False,False,"145,167,176,185"
A0A075Q4B7,True,2,23.23,False,3,False,45.8,False,False,"145,176,185"
A0A075QBC7,True,2,21.59,False,3,False,40.5,False,False,"145,176,185"
A0A076FRB3,True,2,4.16,True,6,True,94.0,True,True,"182,203,212,333,337,367"
A0A076FRC0,True,2,29.49,False,3,False,93.5,True,False,"134,156,165"
A0A076FRN6,True,2,3.96,True,6,True,85.0,True,True,"186,207,216,360,364,394"
A0A076FRP2,True,2,3.93,True,6,True,85.2,True,True,"186,207,216,360,364,394"
A0A076FRP6,True,2,3.96,True,6,True,86.9,True,True,"180,201,210,354,358,388"
A0A076FT34,True,2,3.92,True,6,True,87.3,True,True,"184,205,214,354,358,388"
A0A076FX85,True,2,3.81,True,6,True,91.1,True,True,"168,189,198,320,324,354"
