accession,failed_step,n_his,cu_dist
A0A0V0R8Y7,step5_his_coordination,5,43.9
A0A0V0S806,step5_his_coordination,4,28.53
A0A0V0SMD1,step5_his_coordination,2,36.8
A0A0V0TGR2,step5_his_coordination,4,26.0
A0A0V0YE73,step5_his_coordination,3,22.8
A0A0V1A2F9,step5_his_coordination,2,40.1
A0A0V1AAJ2,step5_his_coordination,3,26.02
A0A0V1ABN4,step5_his_coordination,4,27.4
A0A0V1BIN6,step5_his_coordination,4,26.76
A0A0V1DE70,step5_his_coordination,5,24.92
A0A0V1DFZ9,step5_his_coordination,2,25.76
A0A0V1EIF6,step5_his_coordination,3,27.71
A0A0V1ESS6,step5_his_coordination,4,24.82
A0A0V1FSY3,step5_his_coordination,3,28.76
A0A0V1G4S3,step5_his_coordination,5,25.41
A0A0V1I3Y0,step5_his_coordination,4,24.66
A0A0V1I4K6,step5_his_coordination,2,28.24
A0A0V1JHS7,step5_his_coordination,4,27.66
A0A0V1KD92,step5_his_coordination,5,26.43
A0A0V1KR57,step5_his_coordination,3,13.11
A0A0V1LPZ2,step5_his_coordination,2,36.26
A0A0V1MUW3,step5_his_coordination,5,25.68
A0A0V1N8R5,step5_his_coordination,3,27.74
A0A0W8AY19,step5_his_coordination,1,41.06
A0A0W8C3R7,step5_his_coordination,4,21.71
A0A0W8DAM1,step5_his_coordination,2,22.38
A0A0Y0DNT4,step5_his_coordination,4,2.54
A0A135SEP1,step5_his_coordination,4,3.9
A0A135UY99,step5_his_coordination,4,3.86
A0A135V6Y1,step5_his_coordination,4,11.98
A0A135V8Q3,step5_his_coordination,5,3.79
A0A137NPX8,step5_his_coordination,2,22.3
A0A139HAY5,step5_his_coordination,5,3.67
A0A142I737,step5_his_coordination,5,4.0
A0A158RAT2,step5_his_coordination,3,3.24
A0A161VY89,step5_his_coordination,5,4.03
A0A166M367,step5_his_coordination,5,3.98
A0A166TEN8,step5_his_coordination,5,3.73
A0A166U3J7,step5_his_coordination,5,3.9
A0A167AFV0,step5_his_coordination,5,4.11
A0A167BRG2,step5_his_coordination,5,3.94
A0A168EXD0,step5_his_coordination,5,3.89
A0A175VYW1,step5_his_coordination,5,16.98
A0A175W3Y2,step5_his_coordination,5,3.52
A0A177DSJ1,step5_his_coordination,5,3.95
A0A177T6E5,step5_his_coordination,5,3.96
A0A180GDP5,step5_his_coordination,5,4.26
A0A183I077,step5_his_coordination,5,3.58
A0A183IVQ9,step5_his_coordination,2,28.47
A0A194WE27,step5_his_coordination,5,4.41
A0A194XMC7,step5_his_coordination,5,3.71
A0A194XN12,step5_his_coordination,5,3.89
A0A194XSF1,step5_his_coordination,4,4.95
A0A1B7YR08,step5_his_coordination,5,3.93
A0A1G4AYJ9,step5_his_coordination,5,3.88
A0A1G4BKS1,step5_his_coordination,5,3.73
A0A1G6VNA4,step5_his_coordination,2,24.31
A0A1G8B6K0,step5_his_coordination,3,19.26
A0A1H1X1U7,step5_his_coordination,5,4.26
A0A1H7VPR3,step5_his_coordination,4,27.21
A0A1I4X2F3,step5_his_coordination,5,4.2
A0A1I5PK02,step5_his_coordination,5,4.2
A0A1I7VEA5,step5_his_coordination,5,3.67
A0A1I8I6W4,step5_his_coordination,5,4.2
A0A1I8IJ91,step5_his_coordination,5,4.11
A0A1I9G609,step5_his_coordination,5,3.73
A0A1I9G629,step5_his_coordination,5,3.56
A0A1J9R2U7,step5_his_coordination,5,3.84
A0A1L7T8U3,step5_his_coordination,5,3.7
A0A1L7V991,step5_his_coordination,5,3.7
A0A1L7XXI3,step5_his_coordination,3,25.78
A0A1L9PZT9,step5_his_coordination,5,3.84
A0A1L9S434,step5_his_coordination,3,24.04
A0A1L9T6V0,step5_his_coordination,5,3.97
A0A1L9WGB2,step5_his_coordination,5,3.83
A0A1N6ZK30,step5_his_coordination,2,31.08
A0A1Q8RG93,step5_his_coordination,3,2.51
A0A1Q8RT46,step5_his_coordination,5,3.92
A0A1R3RV41,step5_his_coordination,5,4.05
A0A1R3VBN3,step5_his_coordination,5,4.37
A0A1R4H6E4,step5_his_coordination,5,4.39
A0A1R4H727,step5_his_coordination,5,4.39
A0A1S8CTM4,step5_his_coordination,5,4.13
A0A1S8X904,step5_his_coordination,4,6.13
A0A1U7LR42,step5_his_coordination,4,4.81
A0A1V4I1C4,step5_his_coordination,5,4.86
A0A1V6NT23,step5_his_coordination,4,3.52
A0A1V9YE51,step5_his_coordination,3,32.19
A0A1V9YSU1,step5_his_coordination,4,3.66
A0A1V9YYD2,step5_his_coordination,5,4.15
A0A1V9Z4B6,step5_his_coordination,1,22.47
A0A1X6NRK9,step5_his_coordination,2,26.4
A0A1X6PJ39,step5_his_coordination,3,16.31
A0A1X7RU91,step5_his_coordination,5,4.1
A0A1X7RVT3,step5_his_coordination,5,3.8
A0A1Y1VYU8,step5_his_coordination,5,4.09
A0A1Y1Z6J4,step5_his_coordination,2,36.33
A0A1Y1ZAQ2,step5_his_coordination,4,3.51
A0A1Y2CTW7,step5_his_coordination,3,19.27
A0A1Y2EAK7,step5_his_coordination,5,3.75
A0A1Y2HIE7,step5_his_coordination,5,3.8
A0A1Y6LJW2,step5_his_coordination,5,4.11
A0A1Y6LLM1,step5_his_coordination,5,3.8
A0A210R2D2,step5_his_coordination,0,13.32
A0A218Z9Z9,step5_his_coordination,4,12.25
A0A225WZW1,step5_his_coordination,4,21.37
A0A238C4W2,step5_his_coordination,5,3.71
A0A2A2KWS8,step5_his_coordination,0,21.16
A0A2B7X1D4,step5_his_coordination,5,4.36
A0A2C9KDQ8,step5_his_coordination,3,25.99
A0A2G8L6J4,step5_his_coordination,2,28.76
A0A2G9GQP1,step5_his_coordination,4,4.42
A0A2H1GH96,step5_his_coordination,5,4.26
A0A2H3E8H0,step5_his_coordination,5,4.3
A0A2H3S6Y7,step5_his_coordination,5,3.84
A0A2H4SUB3,step5_his_coordination,5,4.19
A0A2I0MT65,step5_his_coordination,4,3.88
A0A2J6PRK0,step5_his_coordination,5,3.9
A0A2J6QS19,step5_his_coordination,5,3.61
A0A2J6S1F6,step5_his_coordination,5,3.95
A0A2J6S2Q8,step5_his_coordination,5,3.86
A0A2J6TC85,step5_his_coordination,3,26.56
A0A2J6TD48,step5_his_coordination,5,3.79
A0A2J8X8R4,step5_his_coordination,5,3.98
A0A2L2TIX2,step5_his_coordination,5,3.22
A0A2N3MZ18,step5_his_coordination,2,33.01
A0A2N5SEN2,step5_his_coordination,5,3.81
A0A2N5SRB5,step5_his_coordination,5,4.16
A0A2N5SSF6,step5_his_coordination,5,4.06
A0A2N5TV63,step5_his_coordination,5,4.49
A0A2N5U4U9,step5_his_coordination,5,6.24
A0A2N5VYB1,step5_his_coordination,5,4.33
A0A2P7YDE6,step5_his_coordination,5,4.11
A0A2P7Z1M8,step5_his_coordination,5,4.03
A0A2P7ZE68,step5_his_coordination,5,4.07
A0A2R5FJR1,step5_his_coordination,5,4.5
A0A2S4UTV9,step5_his_coordination,4,4.05
A0A2S4VER1,step5_his_coordination,5,4.06
A0A2S4VEY7,step5_his_coordination,4,4.05
A0A2T2NJ62,step5_his_coordination,0,29.41
A0A2T2PBL1,step5_his_coordination,4,3.92
A0A2T3ZXK1,step5_his_coordination,5,3.94
A0A2T4GS12,step5_his_coordination,5,4.07
A0A2T6BVL4,step5_his_coordination,2,14.23
A0A2V1D8S9,step5_his_coordination,5,3.61
A0A2V1EB40,step5_his_coordination,5,4.3
A0A2V5IDW1,step5_his_coordination,5,3.98
A0A2V5JDM1,step5_his_coordination,4,25.19
A0A2Z5HVJ6,step5_his_coordination,5,4.09
A0A317SGF7,step5_his_coordination,5,4.65
A0A317VMA5,step5_his_coordination,5,3.78
A0A319FJL1,step5_his_coordination,5,4.15
A0A329SB08,step5_his_coordination,0,30.64
A0A329SW91,step5_his_coordination,4,21.97
A0A365NE95,step5_his_coordination,5,3.62
A0A368GCB1,step5_his_coordination,4,4.68
A0A368QNI6,step5_his_coordination,4,4.39
A0A384BB62,step5_his_coordination,4,4.05
A0A384K0M5,step5_his_coordination,5,4.61
A0A384K4W6,step5_his_coordination,5,3.57
A0A395HJP7,step5_his_coordination,5,3.54
A0A395T2J9,step5_his_coordination,5,4.44
A0A3B6EKX7,step5_his_coordination,5,4.15
A0A3B6J0G9,step5_his_coordination,5,4.03
A0A3E2HCJ3,step5_his_coordination,5,3.51
A0A3F2RYX7,step5_his_coordination,1,17.26
A0A3F3PW89,step5_his_coordination,5,4.1
A0A3F3Q782,step5_his_coordination,5,3.99
A0A3M0L5Z8,step5_his_coordination,4,4.1
A0A3M6VLC9,step5_his_coordination,1,35.25
A0A3M6XNY6,step5_his_coordination,5,4.12
A0A3M7C5D9,step5_his_coordination,5,4.8
A0A3M7J5F3,step5_his_coordination,5,5.24
A0A3M7MKX7,step5_his_coordination,5,4.41
A0A3N0CP77,step5_his_coordination,0,46.13
A0A3N4K3H4,step5_his_coordination,4,3.15
A0A3P3Y6E4,step5_his_coordination,0,13.34
A0A3P3Y6K2,step5_his_coordination,2,13.78
A0A3P6S9E3,step5_his_coordination,5,3.74
A0A3P7DNC2,step5_his_coordination,5,3.44
A0A3P8DS39,step5_his_coordination,4,3.58
A0A3P8WSE3,step5_his_coordination,5,4.6
A0A3Q3L0Y4,step5_his_coordination,5,4.31
A0A3R6YR15,step5_his_coordination,2,14.15
A0A3R7FX46,step5_his_coordination,0,19.95
A0A3S3Q853,step5_his_coordination,5,4.25
A0A401PX39,step5_his_coordination,2,60.14
A0A409WYM8,step5_his_coordination,4,4.0
A0A409XK29,step5_his_coordination,5,4.12
A0A419QAV9,step5_his_coordination,4,6.04
A0A420TE23,step5_his_coordination,4,14.3
A0A421G844,step5_his_coordination,5,4.45
A0A425CLB8,step5_his_coordination,1,35.26
A0A430HE78,step5_his_coordination,5,4.77
A0A443HXX0,step5_his_coordination,5,4.06
A0A444RJX5,step5_his_coordination,5,4.46
A0A444UPP0,step5_his_coordination,5,4.11
A0A446BXJ9,step5_his_coordination,4,4.81
A0A447TAE7,step5_his_coordination,5,4.44
A0A484G057,step5_his_coordination,3,2.58
A0A485KPS2,step5_his_coordination,3,34.39
A0A485KPU0,step5_his_coordination,3,24.99
A0A485KTR0,step5_his_coordination,5,4.05
A0A498S2C2,step5_his_coordination,5,3.36
A0A4E9FIB1,step5_his_coordination,5,3.52
A0A4P9VZN9,step5_his_coordination,5,3.83
A0A4P9XG75,step5_his_coordination,4,22.19
A0A4P9XJ34,step5_his_coordination,0,48.3
A0A4P9XNA4,step5_his_coordination,4,3.94
A0A4Q4M2B0,step5_his_coordination,5,3.92
A0A4Q4NQ20,step5_his_coordination,5,4.07
A0A4R8PT74,step5_his_coordination,4,5.29
A0A4R8REE8,step5_his_coordination,4,5.27
A0A4R8RI59,step5_his_coordination,5,3.74
A0A4R8T272,step5_his_coordination,3,3.24
A0A4S2LAY4,step5_his_coordination,4,6.4
A0A4S2LBN1,step5_his_coordination,4,5.97
A0A4S9AAS5,step5_his_coordination,2,31.03
A0A4S9D5E3,step5_his_coordination,2,30.02
A0A4S9F9F9,step5_his_coordination,2,15.18
A0A4S9LP12,step5_his_coordination,1,24.16
A0A4S9TIS8,step5_his_coordination,2,29.75
A0A4S9V507,step5_his_coordination,2,15.28
A0A4S9Y8F5,step5_his_coordination,2,29.99
A0A4S9ZZ06,step5_his_coordination,2,32.82
A0A4T0BL07,step5_his_coordination,1,21.96
A0A4T0FMD4,step5_his_coordination,5,4.02
A0A4T0WAP6,step5_his_coordination,5,3.87
A0A4U0TXP9,step5_his_coordination,5,3.61
A0A4U0VC90,step5_his_coordination,5,3.86
A0A4U0VS63,step5_his_coordination,5,3.61
A0A4U0XT20,step5_his_coordination,5,3.67
A0A4U6X5Z4,step5_his_coordination,3,3.31
A0A4U7AY24,step5_his_coordination,5,3.16
A0A4U7B5J3,step5_his_coordination,5,3.91
A0A4W4EZ83,step5_his_coordination,3,16.19
A0A4W6F5R6,step5_his_coordination,5,3.83
A0A4Y8CCG2,step5_his_coordination,4,4.4
A0A4Y8D0D0,step5_his_coordination,5,3.88
A0A4Y8D0V3,step5_his_coordination,5,3.75
A0A4Y9L370,step5_his_coordination,5,4.54
A0A4Z0YK01,step5_his_coordination,5,3.95
A0A4Z1EV38,step5_his_coordination,4,3.86
A0A4Z1FR91,step5_his_coordination,5,3.72
A0A4Z1HA19,step5_his_coordination,4,3.62
A0A4Z1K5V5,step5_his_coordination,4,3.74
A0A4Z1NUI9,step5_his_coordination,5,4.02
A0A4Z1PB68,step5_his_coordination,4,4.14
A0A507BMG0,step5_his_coordination,4,4.35
A0A507BNL8,step5_his_coordination,5,3.87
A0A507F691,step5_his_coordination,5,3.78
A0A507F697,step5_his_coordination,5,3.6
A0A544XUX3,step5_his_coordination,2,30.97
A0A562PHQ5,step5_his_coordination,5,4.7
A0A5C3QBW9,step5_his_coordination,4,4.84
A0A5C6MG15,step5_his_coordination,5,3.95
A0A5C6SKB8,step5_his_coordination,5,4.58
A0A5J6HY91,step5_his_coordination,4,5.54
A0A5M8PS01,step5_his_coordination,5,3.4
A0A5N5DM31,step5_his_coordination,5,4.02
A0A5N5QEZ6,step5_his_coordination,5,3.88
A0A5N6BWN4,step5_his_coordination,2,18.2
A0A5N7CL84,step5_his_coordination,1,9.44
A0A5N7DKE9,step5_his_coordination,5,4.0
A0A5Q4BTC4,step5_his_coordination,4,3.42
A0A5Q4BZL7,step5_his_coordination,5,3.69
A0A5S6PYS3,step5_his_coordination,2,28.55
A0A5S6QIU3,step5_his_coordination,4,4.7
A0A5S6QUR5,step5_his_coordination,5,25.29
A0A654M5U9,step5_his_coordination,5,4.35
A0A665TYY4,step5_his_coordination,5,20.81
A0A665U0T6,step5_his_coordination,4,17.42
A0A669D1M6,step5_his_coordination,5,7.59
A0A672MGC5,step5_his_coordination,4,7.49
A0A672ML46,step5_his_coordination,4,7.71
A0A673AVA6,step5_his_coordination,4,21.95
A0A673AW28,step5_his_coordination,4,4.21
A0A6A3EYQ9,step5_his_coordination,4,27.63
A0A6A3FBU7,step5_his_coordination,0,31.28
A0A6A3HLB0,step5_his_coordination,5,4.22
A0A6A3L3S8,step5_his_coordination,4,25.73
A0A6A3MUA3,step5_his_coordination,4,27.78
A0A6A3NDJ9,step5_his_coordination,4,25.69
A0A6A3Q4B5,step5_his_coordination,5,4.15
A0A6A4E140,step5_his_coordination,4,25.71
A0A6A4G489,step5_his_coordination,0,31.61
A0A6A4ZE36,step5_his_coordination,5,4.01
A0A6A5RAM1,step5_his_coordination,4,4.3
A0A6A5TLY8,step5_his_coordination,5,3.72
A0A6A5XM88,step5_his_coordination,2,15.57
A0A6A5YJL3,step5_his_coordination,3,29.33
A0A6A5ZPV6,step5_his_coordination,5,3.87
A0A6A6BKX9,step5_his_coordination,4,3.73
A0A6A6C2M9,step5_his_coordination,5,3.85
A0A6A6CAJ8,step5_his_coordination,5,3.49
A0A6A6CBF1,step5_his_coordination,5,3.82
A0A6A6D3V8,step5_his_coordination,5,4.84
A0A6A6H4U9,step5_his_coordination,4,23.56
A0A6A6HHK4,step5_his_coordination,5,3.78
A0A6A6JAY1,step5_his_coordination,5,3.91
A0A6A6TSU5,step5_his_coordination,2,39.32
A0A6A6V9C0,step5_his_coordination,5,4.19
A0A6A6VF46,step5_his_coordination,5,3.51
A0A6A6VMY9,step5_his_coordination,5,4.94
A0A6A6VU64,step5_his_coordination,5,4.03
A0A6A6XLR7,step5_his_coordination,4,4.59
A0A6A7BLX6,step5_his_coordination,5,3.68
A0A6G0JRR3,step5_his_coordination,5,3.92
A0A6G0LHA8,step5_his_coordination,4,27.7
A0A6G0QFF2,step5_his_coordination,5,4.14
A0A6G0S364,step5_his_coordination,4,26.79
A0A6G0WB52,step5_his_coordination,4,33.87
A0A6G0XI62,step5_his_coordination,2,11.79
A0A6G1IEP5,step5_his_coordination,5,4.29
A0A6G1KGG9,step5_his_coordination,3,3.03
A0A6H0Y3Z6,step5_his_coordination,5,3.55
A0A6I3X362,step5_his_coordination,5,4.65
A0A6J1BLU4,step5_his_coordination,4,3.4
A0A6J8AZI7,step5_his_coordination,3,24.62
A0A6J8CJF7,step5_his_coordination,2,43.98
A0A6J8CNM0,step5_his_coordination,5,4.51
A0A6J8CZL5,step5_his_coordination,3,37.97
A0A6J8EAN0,step5_his_coordination,4,24.67
A0A6P4ZCR3,step5_his_coordination,3,10.41
A0A6P8I208,step5_his_coordination,4,37.67
A0A6V7WY80,step5_his_coordination,5,6.02
A0A7C8I7T2,step5_his_coordination,5,5.26
A0A7C8IE08,step5_his_coordination,5,4.32
A0A7C8MC86,step5_his_coordination,5,3.92
A0A7C8UE72,step5_his_coordination,3,29.66
A0A7C9LY48,step5_his_coordination,5,4.36
A0A7C9M494,step5_his_coordination,5,4.43
A0A7D5Z0B1,step5_his_coordination,5,3.79
A0A7E6EGY5,step5_his_coordination,3,56.36
A0A7H8RBQ9,step5_his_coordination,4,3.55
A0A7J6IXY4,step5_his_coordination,5,4.11
A0A7J6J5I0,step5_his_coordination,5,4.13
A0A7J6UTM6,step5_his_coordination,5,4.39
A0A7J7J2C8,step5_his_coordination,3,21.6
A0A7K7RZM1,step5_his_coordination,5,3.5
A0A7M5V4K9,step5_his_coordination,3,39.58
A0A7M5WXX0,step5_his_coordination,2,36.57
A0A7M5XIS8,step5_his_coordination,3,29.99
A0A7M6DQE2,step5_his_coordination,1,29.17
A0A7N6AMA0,step5_his_coordination,5,4.93
A0A7R8ARR0,step5_his_coordination,5,4.08
A0A7R9UNI4,step5_his_coordination,1,31.19
A0A7S0FYS9,step5_his_coordination,3,19.45
A0A7S1T762,step5_his_coordination,5,5.0
A0A7S1T768,step5_his_coordination,5,5.02
A0A7S2D0S4,step5_his_coordination,2,27.41
A0A7S2EUW0,step5_his_coordination,5,44.08
A0A7S2JHL4,step5_his_coordination,2,52.49
A0A7S2JHQ4,step5_his_coordination,1,22.11
A0A7S3EYR7,step5_his_coordination,3,11.0
A0A7S4QPD7,step5_his_coordination,5,4.19
A0A7S4QRZ1,step5_his_coordination,5,4.09
A0A7W5H8K5,step5_his_coordination,5,4.44
A0A7W8KIV5,step5_his_coordination,5,4.91
A0A7X5ASN3,step5_his_coordination,5,4.34
A0A7Y7WSX0,step5_his_coordination,5,4.7
A0A7Y7X987,step5_his_coordination,5,4.22
A0A7Y8BLA6,step5_his_coordination,5,4.38
A0A812BCK9,step5_his_coordination,1,43.1
A0A812PC05,step5_his_coordination,4,6.09
A0A812V664,step5_his_coordination,4,5.54
A0A812XIJ6,step5_his_coordination,4,5.63
A0A833WLV2,step5_his_coordination,0,30.79
A0A858R6E5,step5_his_coordination,5,4.46
A0A8B6E8R8,step5_his_coordination,2,28.08
A0A8B6FI79,step5_his_coordination,4,29.13
A0A8B8D4J3,step5_his_coordination,2,2.25
A0A8B9AG70,step5_his_coordination,3,22.74
A0A8B9GJT5,step5_his_coordination,5,4.49
A0A8C0NCZ3,step5_his_coordination,5,3.66
A0A8H2VQV0,step5_his_coordination,5,3.69
A0A8H2X9J9,step5_his_coordination,5,5.34
A0A8H2XQY6,step5_his_coordination,3,4.15
A0A8H3ANG7,step5_his_coordination,3,24.05
A0A8H3BNH7,step5_his_coordination,3,4.08
A0A8H3CDA8,step5_his_coordination,3,23.91
A0A8H3CUW5,step5_his_coordination,3,11.36
A0A8H3CZ20,step5_his_coordination,3,2.89
A0A8H3DH08,step5_his_coordination,3,10.97
A0A8H3DKS2,step5_his_coordination,4,5.39
A0A8H3DR34,step5_his_coordination,3,3.97
A0A8H3FNM0,step5_his_coordination,4,4.21
A0A8H3FR24,step5_his_coordination,3,10.51
A0A8H3GJI1,step5_his_coordination,3,4.21
A0A8H3HGU7,step5_his_coordination,3,3.86
A0A8H3I335,step5_his_coordination,4,3.28
A0A8H3IAU0,step5_his_coordination,5,3.78
A0A8H3IDD5,step5_his_coordination,5,3.8
A0A8H3UFY5,step5_his_coordination,5,3.88
A0A8H3VC67,step5_his_coordination,5,3.99
A0A8H3W2Z1,step5_his_coordination,5,4.02
A0A8H3W909,step5_his_coordination,5,4.16
A0A8H4CJG9,step5_his_coordination,4,23.93
A0A8H4CPR6,step5_his_coordination,5,4.12
A0A8H4CUC1,step5_his_coordination,5,4.08
A0A8H4FHG1,step5_his_coordination,5,4.22
A0A8H4IVL2,step5_his_coordination,5,3.81
A0A8H4JDQ9,step5_his_coordination,5,4.95
A0A8H4JHW9,step5_his_coordination,5,3.67
A0A8H4QR39,step5_his_coordination,5,3.43
A0A8H4RK75,step5_his_coordination,5,4.0
A0A8H4RXM0,step5_his_coordination,5,3.62
A0A8H4Z0P3,step5_his_coordination,5,3.86
A0A8H5AS67,step5_his_coordination,5,4.02
A0A8H5ATU2,step5_his_coordination,3,19.22
A0A8H5EAG2,step5_his_coordination,5,4.87
A0A8H5GBV2,step5_his_coordination,5,3.82
A0A8H5JRL3,step5_his_coordination,5,3.71
A0A8H5MQC7,step5_his_coordination,5,3.71
A0A8H5N7B6,step5_his_coordination,5,3.84
A0A8H5PBB3,step5_his_coordination,4,2.74
A0A8H5PBF2,step5_his_coordination,5,3.68
A0A8H5Q6G5,step5_his_coordination,5,3.88
A0A8H5UC91,step5_his_coordination,5,3.87
A0A8H5V6E6,step5_his_coordination,5,3.69
A0A8H5WCB4,step5_his_coordination,5,4.88
A0A8H5XW17,step5_his_coordination,5,3.84
A0A8H6A0W2,step5_his_coordination,2,17.79
A0A8H6ANQ1,step5_his_coordination,4,3.73
A0A8H6FIQ4,step5_his_coordination,5,3.63
A0A8H6HT48,step5_his_coordination,4,3.19
A0A8H6JVW5,step5_his_coordination,4,4.03
A0A8H6L0G3,step5_his_coordination,5,3.66
A0A8H6MKC6,step5_his_coordination,4,3.92
A0A8H6MX70,step5_his_coordination,5,4.04
A0A8H6N7U5,step5_his_coordination,5,4.1
A0A8H6S8I0,step5_his_coordination,5,3.83
A0A8H7BB98,step5_his_coordination,5,3.74
A0A8H7CJP5,step5_his_coordination,5,3.44
A0A8H7H065,step5_his_coordination,4,5.36
A0A8H7H0A0,step5_his_coordination,3,24.33
A0A8H7HFI3,step5_his_coordination,4,4.09
A0A8H7I333,step5_his_coordination,3,3.97
A0A8H7IC95,step5_his_coordination,5,4.12
A0A8H7K265,step5_his_coordination,5,3.92
A0A8H7LYZ4,step5_his_coordination,5,4.0
A0A8H7M1F4,step5_his_coordination,4,5.41
A0A8H7MHY0,step5_his_coordination,5,4.78
A0A8H7W0M8,step5_his_coordination,5,4.21
A0A8H7Y763,step5_his_coordination,4,3.92
A0A8H8P4P0,step5_his_coordination,3,3.68
A0A8H8RL10,step5_his_coordination,5,3.8
A0A8H8RRA0,step5_his_coordination,5,4.67
A0A8H8U2D2,step5_his_coordination,5,3.56
A0A8H9LF69,step5_his_coordination,2,30.38
A0A8J1TDZ8,step5_his_coordination,1,20.36
A0A8J4W827,step5_his_coordination,0,19.95
A0A8J5IZX1,step5_his_coordination,1,40.96
A0A8J5M7S4,step5_his_coordination,4,21.66
A0A8J5XMZ9,step5_his_coordination,1,30.44
A0A8J7L7N4,step5_his_coordination,5,4.34
A0A8J9R8H5,step5_his_coordination,5,4.18
A0A8K0IA90,step5_his_coordination,2,11.04
A0A8K0R3D6,step5_his_coordination,5,3.67
A0A8K0SEI0,step5_his_coordination,4,23.69
