rep1	rep2	min_tm
A0A7J5D2K3_taxID_2651189_model	A0ABW4XFF4_taxID_2259033_model	0.7614
A0AAN5XIX5_taxID_1396_model_A	P12031_taxID_6536_model	0.7612
A0AAN7UYZ7_taxID_326684_model	A0ACC2JI51_taxID_1108764_model	0.7607
A0A7C8IQU8_taxID_323545_model	A0ACC1PKT5_taxID_42375_model	0.7607
A0A1H7L321_taxID_1038014_model_A	A0ABX0IR11_taxID_1544455_model_A	0.7606
C0NHD4_taxID_447093_model	C6H6I9_taxID_544712_model	0.7605
A0A9W8GX65_taxID_1052879_model	A0A9W8HFK5_taxID_2761396_model	0.7593
A0A2J0YX98_taxID_382_model	A0A7X1AU61_taxID_2724178_model	0.7592
A0A024SD58_taxID_1344414_model_A	A0A8H5LGT6_taxID_42677_model	0.7588
A0A9W8XCZ5_taxID_1932322_model	C0NHD4_taxID_447093_model	0.7588
A0A396ZW50_taxID_112090_model	A0A397EBP2_taxID_112090_model	0.7588
A0ACC2TJ92_taxID_34485_model	A0ACC2TJW4_taxID_34485_model	0.7586
A0A9W8IT97_taxID_417176_model	A0ACC1LSD8_taxID_417177_model	0.7582
A0ACC1PKT5_taxID_42375_model	A0ACC2JI51_taxID_1108764_model	0.7579
A0A1L3FP25_taxID_375_model_A	A0A6I3KHZ9_taxID_2665159_model_A	0.7579
A0A7X1AU61_taxID_2724178_model	A0ABU5KX76_taxID_2219225_model	0.7576
R1CU85_taxID_2903_model	R1CV39_taxID_2903_model	0.7576
A0A964TAH5_taxID_2696472_model_A	A0ABU3LA82_taxID_3076079_model_A	0.7569
A0A7C8IQU8_taxID_323545_model	A0ACC2JI51_taxID_1108764_model	0.7567
A0A0H1BRE8_taxID_2060906_model_A	C0NHD4_taxID_447093_model	0.7567
A0A7X5YKZ1_taxID_74314_model_A	A0ABU0IU28_taxID_400775_model	0.7560
A0A397EYS8_taxID_112090_model	A0A3R7EK41_taxID_112090_model	0.7552
A0A396ZRZ2_taxID_112090_model	A0A397DXJ3_taxID_112090_model	0.7548
A0A3R7EK41_taxID_112090_model	W4FLQ6_taxID_112090_model	0.7547
A0A1Y2C6Z8_taxID_329046_model	A0A507FBC4_taxID_246404_model	0.7542
A0AAN7UYZ7_taxID_326684_model	C0NHD4_taxID_447093_model	0.7539
A0A2G5BJJ6_taxID_763665_model	A0ACC1LSD8_taxID_417177_model	0.7532
A0A2S6H7D7_taxID_173365_model	A0ABV2RXN8_taxID_375_model	0.7530
A0A327RH85_taxID_440515_model_A	A0A964TAH5_taxID_2696472_model_A	0.7529
A0AAE3VW27_taxID_137267_model_A	A0AAE4C8H8_taxID_137266_model_A	0.7526
A0A1I0B865_taxID_917_model_A	A0ABN1IGD7_taxID_584605_model_A	0.7522
A0A507EJC1_taxID_246404_model	A0A507F5R3_taxID_246404_model	0.7521
A0AA35V075_taxID_414_model	A0ABV2RXN8_taxID_375_model	0.7518
A0ACC1PKT5_taxID_42375_model	C0NHD4_taxID_447093_model	0.7506
A0ABP2BNE3_taxID_1183428_model	A0ABW2YH98_taxID_262323_model	0.7504
A0A3D9L4M1_taxID_1122208_model_A	A0A9X1U998_taxID_2911009_model	0.7503
A0A2P7QYD3_taxID_2116704_model	A0AA35V075_taxID_414_model	0.7500
A0A1L9Q161_taxID_1036611_model_A	A0AAN7UYZ7_taxID_326684_model	0.7499
A0A396ZRZ2_taxID_112090_model	A0A3R7EK41_taxID_112090_model	0.7498
A0AAE3ZZF7_taxID_587534_model_A	A0ABT9MUW6_taxID_587533_model_A	0.7497
A0A9W8GX65_taxID_1052879_model	A0ABQ8PGU0_taxID_1424467_model	0.7495
A0AAD7UNL2_taxID_2483200_model	A0AAD7UQ54_taxID_2483200_model	0.7483
A0A0H1BRE8_taxID_2060906_model_A	C6H6I9_taxID_544712_model	0.7483
A0A507EZH3_taxID_246404_model	A0A507FBC4_taxID_246404_model	0.7477
A0A1H7L321_taxID_1038014_model_A	A0ABN1IGD7_taxID_584605_model_A	0.7474
A0A9W8HFK5_taxID_2761396_model	A0A9W8IT97_taxID_417176_model	0.7462
A0A396ZRZ2_taxID_112090_model	W4FLQ6_taxID_112090_model	0.7459
A0A2J0YX98_taxID_382_model	A0ABU5KX76_taxID_2219225_model	0.7455
A0A1W2TBG8_taxID_77044_model	C6H6I9_taxID_544712_model	0.7453
A0A5N6V0Z8_taxID_41984_model	A0ACC2JUV3_taxID_1108764_model	0.7452
A0A5N6U7M7_taxID_36643_model	A0A5N6V0Z8_taxID_41984_model	0.7451
A0A1L9Q161_taxID_1036611_model_A	C0NHD4_taxID_447093_model	0.7450
A0A6L9E9N5_taxID_2697053_model	A0AA48LWU8_taxID_556182_model_A	0.7449
A0A5N7CL84_taxID_209559_model	A0A8H6A0W2_taxID_209559_model	0.7449
A0A507EJC1_taxID_246404_model	A0A507EZH3_taxID_246404_model	0.7448
A0A4P9X7U9_taxID_1555241_model	A0A507ENT8_taxID_246404_model	0.7447
A0A1L9Q161_taxID_1036611_model_A	A0A9W9NGR8_taxID_63820_model	0.7444
A0ABU4XE34_taxID_3072316_model	A0ABW6M374_taxID_1306990_model_A	0.7437
A0A507EZH3_taxID_246404_model	A0A507F5R3_taxID_246404_model	0.7435
A0A0H1BRE8_taxID_2060906_model_A	A0A1L9Q161_taxID_1036611_model_A	0.7433
A0A1L5PR01_taxID_303_model	U1TTP3_taxID_321846_model	0.7432
A0A9W8HFK5_taxID_2761396_model	A0ACC1L5T1_taxID_1286919_model	0.7430
A0AAN7UYZ7_taxID_326684_model	C6H6I9_taxID_544712_model	0.7423
A0A9W8XCZ5_taxID_1932322_model	A0ACC2JI51_taxID_1108764_model	0.7422
A0A7C8IQU8_taxID_323545_model	C0NHD4_taxID_447093_model	0.7421
A0A1I4VE96_taxID_44574_model_A	A0ABY0TKI0_taxID_1231_model_A	0.7418
A0ACC2JI51_taxID_1108764_model	C0NHD4_taxID_447093_model	0.7415
A0A1L9Q161_taxID_1036611_model_A	A0A7C8IQU8_taxID_323545_model	0.7414
A0A7S3K2N9_taxID_44058_model	A0ABR1FHI7_taxID_44056_model	0.7410
A0A3M8TNP8_taxID_303_model	U1TTP3_taxID_321846_model	0.7407
A0A1Y2C7D2_taxID_329046_model	A0A507EZH3_taxID_246404_model	0.7405
A0A9W8CUF5_taxID_147472_model	A0A9W8HM54_taxID_1126814_model	0.7400
A0A7J5D2K3_taxID_2651189_model	A0ABU3VGX6_taxID_1631240_model	0.7398
A0A9W8XCZ5_taxID_1932322_model	A0ACC1PKT5_taxID_42375_model	0.7395
A0A1L9Q161_taxID_1036611_model_A	A0A1W2TBG8_taxID_77044_model	0.7394
A0A9W8XCZ5_taxID_1932322_model	A0AAN7UYZ7_taxID_326684_model	0.7391
A0A0H1BRE8_taxID_2060906_model_A	A0A7C8IQU8_taxID_323545_model	0.7389
W6Y2N7_taxID_930089_model	W7F0B3_taxID_930091_model	0.7383
A0A0H1BRE8_taxID_2060906_model_A	A0ACC2JI51_taxID_1108764_model	0.7382
A0A2G5BJJ6_taxID_763665_model	A0A9W8HFK5_taxID_2761396_model	0.7382
A0A0H1BRE8_taxID_2060906_model_A	A0ACC1PKT5_taxID_42375_model	0.7382
A0A9W8HFK5_taxID_2761396_model	A0A9W8M3B5_taxID_2650707_model	0.7381
A0A1R4H7B9_taxID_360316_model	A0A560ER47_taxID_28077_model_A	0.7378
A0A8H3CFB7_taxID_456999_model	A0A8H3D1S1_taxID_456999_model	0.7374
A0A0L0HF05_taxID_645134_model	A0A507EFD5_taxID_109895_model	0.7371
A0A6C0KLD2_taxID_1070528_model	A0AAD7UHF1_taxID_2483200_model	0.7371
A0A7X1AU61_taxID_2724178_model	U1TTP3_taxID_321846_model	0.7369
A0A9W8XCZ5_taxID_1932322_model	C6H6I9_taxID_544712_model	0.7367
A0A1W2TBG8_taxID_77044_model	A0A9W8XCZ5_taxID_1932322_model	0.7366
A0A0H1BRE8_taxID_2060906_model_A	A0A1W2TBG8_taxID_77044_model	0.7365
A0A397DXJ3_taxID_112090_model	A0A397EYS8_taxID_112090_model	0.7364
A0A9W8HFK5_taxID_2761396_model	A0ACC1LSD8_taxID_417177_model	0.7362
A0A1E3V4Z2_taxID_1752398_model	U1TTP3_taxID_321846_model	0.7353
A0A7S1D9Z1_taxID_216820_model	A0A7S4QPD7_taxID_49249_model	0.7352
A0ACC1PKT5_taxID_42375_model	C6H6I9_taxID_544712_model	0.7352
A0A0H1BRE8_taxID_2060906_model_A	A0AAN7UYZ7_taxID_326684_model	0.7351
A0A9W8IT97_taxID_417176_model	A0A9W8LUA5_taxID_2761395_model	0.7350
A0A1I0B865_taxID_917_model_A	A0ABX0IR11_taxID_1544455_model_A	0.7349
A0A7S7SGR7_taxID_1473598_model	D8PI13_taxID_330214_model	0.7345
A0A1L9Q161_taxID_1036611_model_A	A0ACC1PKT5_taxID_42375_model	0.7341
A0A1L9Q161_taxID_1036611_model_A	A0A8H6A0W2_taxID_209559_model	0.7337
A0A9X1U998_taxID_2911009_model	Q21NZ9_taxID_203122_model_A	0.7337
A0A327RH85_taxID_440515_model_A	A0A934KPH0_taxID_291193_model_A	0.7336
A0A0H1BRE8_taxID_2060906_model_A	A0A9W8XCZ5_taxID_1932322_model	0.7335
A0A1L9Q161_taxID_1036611_model_A	A0ACC2JI51_taxID_1108764_model	0.7331
A0A6J8E972_taxID_42192_model	A0A6J8ECF0_taxID_42192_model	0.7329
A0A1L5PR01_taxID_303_model	A0A3M8TNP8_taxID_303_model	0.7329
A0AAN8MVU2_taxID_47235_model_A	A0AAN8RWQ7_taxID_74498_model_A	0.7329
A0A553HX16_taxID_2512241_model_A	A0ACC2J646_taxID_110536_model_A	0.7328
A0A9W8XCZ5_taxID_1932322_model	A0ABR4H9X8_taxID_176169_model_A	0.7325
A0A7C8IQU8_taxID_323545_model	C6H6I9_taxID_544712_model	0.7317
A0A7C8IQU8_taxID_323545_model	A0A9W8XCZ5_taxID_1932322_model	0.7315
A0A167RCQ6_taxID_5076_model	A0ABR3GF19_taxID_1032678_model	0.7315
A0A1E3V4Z2_taxID_1752398_model	A0A3M8TNP8_taxID_303_model	0.7311
A0ABR3RK21_taxID_300254_model_A	A0ACC1PKT5_taxID_42375_model	0.7310
A0A9W8LUA5_taxID_2761395_model	A0ACC1LSD8_taxID_417177_model	0.7303
A0A167RCQ6_taxID_5076_model	A0AAD6IJM2_taxID_5083_model	0.7303
A0A813HFF9_taxID_89957_model	A0A813K9V7_taxID_89957_model	0.7303
A0A6G1MF13_taxID_2813651_model	A0AAN8RWQ7_taxID_74498_model_A	0.7298
A0ABR3RK21_taxID_300254_model_A	C0NHD4_taxID_447093_model	0.7294
A0ACC1K1L7_taxID_2789366_model	A0ACC1L5T1_taxID_1286919_model	0.7292
A0A9W8CUF5_taxID_147472_model	A0A9W8GX65_taxID_1052879_model	0.7291
M9M4Y3_taxID_1151754_model	W3VU69_taxID_84754_model	0.7291
A0A2G5BJJ6_taxID_763665_model	A0ABQ8PGU0_taxID_1424467_model	0.7286
A0A9W8GX65_taxID_1052879_model	A0A9W8IT97_taxID_417176_model	0.7286
A0A1L9Q161_taxID_1036611_model_A	A0A9W8XCZ5_taxID_1932322_model	0.7285
A0A2P4YVC2_taxID_4796_model	A0ACC0WCW2_taxID_230839_model	0.7284
A0A8H6Q3V1_taxID_1287682_model	A0AAN4PFQ7_taxID_293939_model	0.7283
A0A2L2XEG7_taxID_1898651_model_A	A0A9D2WSC4_taxID_182264_model_A	0.7280
A0A494XK40_taxID_2419778_model	A0AA95F4Q0_taxID_3121368_model	0.7280
A0AAD8AV10_taxID_112525_model	A0AAV4B738_taxID_259542_model	0.7278
A0A5N5QPL6_taxID_1582974_model	A0A8H3D1S1_taxID_456999_model	0.7277
A0A024SD58_taxID_1344414_model_A	A0A2T4BLM2_taxID_58853_model	0.7274
A0ABR3RK21_taxID_300254_model_A	A0ACC2JI51_taxID_1108764_model	0.7271
A0ABR4H9X8_taxID_176169_model_A	C0NHD4_taxID_447093_model	0.7271
A0ACC2JI51_taxID_1108764_model	C6H6I9_taxID_544712_model	0.7267
A0A1Y2C7D2_taxID_329046_model	A0A507FBC4_taxID_246404_model	0.7267
A0A9W8HFK5_taxID_2761396_model	A0ABQ8PGU0_taxID_1424467_model	0.7255
A0ABQ8PGU0_taxID_1424467_model	A0ACC1LSD8_taxID_417177_model	0.7248
A0A1H7L321_taxID_1038014_model_A	A0A1I0B865_taxID_917_model_A	0.7247
A0A166CKA0_taxID_1314776_model	A0AA40AMQ6_taxID_314023_model	0.7246
A0A1L9Q161_taxID_1036611_model_A	C6H6I9_taxID_544712_model	0.7245
A0A1H5XBP9_taxID_44577_model	A0ABU4HHA2_taxID_1940611_model	0.7245
A0AAN7UYZ7_taxID_326684_model	A0ABR3RK21_taxID_300254_model_A	0.7242
A0ABD2KLI7_taxID_97005_model	A0ABD2M5Y3_taxID_157864_model	0.7238
A0A4Q2V7C7_taxID_451672_model	N1QEG0_taxID_692275_model_A	0.7236
A0A8X8WIX2_taxID_180675_model	A0AAW2WPR6_taxID_2727402_model	0.7236
A0A2S5CI23_taxID_1704499_model	A0A4Q7Z0G8_taxID_388466_model	0.7230
A0A1E3V4Z2_taxID_1752398_model	A0A1L5PR01_taxID_303_model	0.7226
A0AAN7UYZ7_taxID_326684_model	A0ABR4H9X8_taxID_176169_model_A	0.7225
A0AAN8MVU2_taxID_47235_model_A	G1X3U2_taxID_756982_model_A	0.7221
A0A9W8GX65_taxID_1052879_model	A0A9W8HM54_taxID_1126814_model	0.7220
A0A2G5BJJ6_taxID_763665_model	A0A9W8GX65_taxID_1052879_model	0.7220
A0A4Q7Z0G8_taxID_388466_model	A0AA35V075_taxID_414_model	0.7213
A0A914CIK4_taxID_290746_model	A0A914E549_taxID_290746_model	0.7210
A0A9N8WL50_taxID_1348616_model	A0ABN7UWA3_taxID_4874_model	0.7206
A0A9W8IT97_taxID_417176_model	A0ACC1K1L7_taxID_2789366_model	0.7204
A0A437A308_taxID_97331_model_A	A0AAN8RWQ7_taxID_74498_model_A	0.7203
A0A7J5D2K3_taxID_2651189_model	A0A7W8KIV5_taxID_1141878_model	0.7202
A0A0H1BRE8_taxID_2060906_model_A	A0ABR3RK21_taxID_300254_model_A	0.7201
A0ABR4H9X8_taxID_176169_model_A	A0ACC1PKT5_taxID_42375_model	0.7199
A0A1I6M5T1_taxID_474950_model	A0AA35V075_taxID_414_model	0.7197
A0A1V6T2W4_taxID_254877_model	A0AAD6IJM2_taxID_5083_model	0.7192
A0A7C8IQU8_taxID_323545_model	A0ABR4H9X8_taxID_176169_model_A	0.7191
A0A397DXJ3_taxID_112090_model	A0A418C2V2_taxID_112090_model	0.7190
A0A507EJC1_taxID_246404_model	A0A507FBC4_taxID_246404_model	0.7190
A0A2G5BJJ6_taxID_763665_model	A0A9W8HM54_taxID_1126814_model	0.7188
A0A0B4FMW4_taxID_3151832_model_A	A0A545VX13_taxID_43265_model_A	0.7185
A0A6G1MF13_taxID_2813651_model	A0A7C8JJK0_taxID_2813651_model	0.7180
A0A9W8M3B5_taxID_2650707_model	A0ACC1LSD8_taxID_417177_model	0.7179
A0A285BU58_taxID_44577_model_A	A0A7V2WU63_taxID_45248_model_A	0.7178
A0ABR4H9X8_taxID_176169_model_A	A0ACC2JI51_taxID_1108764_model	0.7177
A0A6G1MF13_taxID_2813651_model	A0AAN8MVU2_taxID_47235_model_A	0.7177
A0A7C8JJK0_taxID_2813651_model	A0AAN8RWQ7_taxID_74498_model_A	0.7177
A0A919MPV4_taxID_1050105_model_A	A0ABU4XE34_taxID_3072316_model	0.7175
A0A507F5R3_taxID_246404_model	A0A507FBC4_taxID_246404_model	0.7173
A0A9W4KMZ8_taxID_1303716_model	A0AAD6IJM2_taxID_5083_model	0.7173
A0A167RCQ6_taxID_5076_model	A0A1V6T2W4_taxID_254877_model	0.7171
A0A327RH85_taxID_440515_model_A	A0ABU3LA82_taxID_3076079_model_A	0.7171
A0A8H5LGT6_taxID_42677_model	A0A9P9IXR3_taxID_1079267_model	0.7171
A0A9W8HFK5_taxID_2761396_model	A0A9W8HM54_taxID_1126814_model	0.7169
A0A0G4N7R0_taxID_100787_model	N1QEG0_taxID_692275_model_A	0.7168
A0ABV2RXN8_taxID_375_model	A0ABY3QAS2_taxID_2992140_model_A	0.7168
A0ABD2I4S2_taxID_97005_model	A0ABD2M5Y3_taxID_157864_model	0.7166
A0A437A308_taxID_97331_model_A	A0A6G1MF13_taxID_2813651_model	0.7161
A0A4Q7Z0G8_taxID_388466_model	A0A8A4TY47_taxID_2818388_model	0.7161
A0A0H1BRE8_taxID_2060906_model_A	A0ABR4H9X8_taxID_176169_model_A	0.7160
A0A2S5CI23_taxID_1704499_model	A0A841H669_taxID_1639882_model	0.7156
A0A9W8HFK5_taxID_2761396_model	A0A9W8LUA5_taxID_2761395_model	0.7154
A0A9W8HM54_taxID_1126814_model	A0A9W8LUA5_taxID_2761395_model	0.7154
A0A4Q7Z0G8_taxID_388466_model	A0A841H669_taxID_1639882_model	0.7154
A0A285BU58_taxID_44577_model_A	Q82V60_taxID_228410_model_A	0.7151
A0ABR3RK21_taxID_300254_model_A	C6H6I9_taxID_544712_model	0.7151
A0A1L9Q161_taxID_1036611_model_A	A0A5N7CL84_taxID_209559_model	0.7149
A0A1L9Q161_taxID_1036611_model_A	A0A9X0BDN5_taxID_1131564_model_A	0.7148
A0ABV2I0A5_taxID_1209948_model	Q21NZ9_taxID_203122_model_A	0.7147
A0A507EZH3_taxID_246404_model	A0A507F691_taxID_246404_model_A	0.7147
A0A5C3FY00_taxID_84753_model	W3VU69_taxID_84754_model	0.7144
A0A2T4BLM2_taxID_58853_model	A0A3N4HYC1_taxID_1160509_model	0.7144
A0A1W2TBG8_taxID_77044_model	A0ABR4H9X8_taxID_176169_model_A	0.7143
A0A0V1ABN4_taxID_990121_model	A0A0V1DE70_taxID_45882_model	0.7143
A0A6L9E9N5_taxID_2697053_model	D8PI13_taxID_330214_model	0.7142
A0A1S0UA83_taxID_7209_model	A0ABD6EFA7_taxID_75299_model	0.7142
A0A841H669_taxID_1639882_model	A0AA35V075_taxID_414_model	0.7142
A0A6G1MF13_taxID_2813651_model	A0AAV9W5A3_taxID_47236_model_A	0.7138
A0ABD2I4S2_taxID_97005_model	A0ABD2KLI7_taxID_97005_model	0.7138
A0ABN3I3E9_taxID_66879_model_A	A0ABV1Z0I5_taxID_483206_model_A	0.7137
A0A3N4LHJ3_taxID_1051890_model	A0ACC2JUV3_taxID_1108764_model	0.7136
A0A158P622_taxID_6313_model	A0A3P6S036_taxID_6269_model	0.7134
A0A2P7QYD3_taxID_2116704_model	A0A8A4TY47_taxID_2818388_model	0.7133
A0AA35V075_taxID_414_model	A0ABV2I0A5_taxID_1209948_model	0.7133
A0A2S6H7D7_taxID_173365_model	A0A841H669_taxID_1639882_model	0.7132
A0A9W8GX65_taxID_1052879_model	A0ACC1L5T1_taxID_1286919_model	0.7129
A0A2P7QYD3_taxID_2116704_model	A0A841H669_taxID_1639882_model	0.7129
A0A9W8M3B5_taxID_2650707_model	A0ABQ8PGU0_taxID_1424467_model	0.7127
A0A7C8IQU8_taxID_323545_model	A0ABR3RK21_taxID_300254_model_A	0.7126
A0A167RCQ6_taxID_5076_model	A0A6A7AQI4_taxID_1408161_model	0.7125
A0A1S0UA83_taxID_7209_model	A0A914L827_taxID_6306_model	0.7124
A0A841H669_taxID_1639882_model	A0A8A4TY47_taxID_2818388_model	0.7123
A0ABP2BNE3_taxID_1183428_model	U3AIJ7_taxID_1337093_model	0.7122
A0A7W8KIV5_taxID_1141878_model	A0ABU3VGX6_taxID_1631240_model	0.7117
A0A6A7AQI4_taxID_1408161_model	A0AAD6IJM2_taxID_5083_model	0.7117
A0A437A308_taxID_97331_model_A	G1X3U2_taxID_756982_model_A	0.7115
A0A1W2TBG8_taxID_77044_model	A0A9X0BDN5_taxID_1131564_model_A	0.7113
A0ABR3RK21_taxID_300254_model_A	A0ABR4H9X8_taxID_176169_model_A	0.7111
A0ABD2L179_taxID_157864_model	A0ABD2LG15_taxID_157864_model	0.7110
A0A2S6H7D7_taxID_173365_model	A0A4Q7Z0G8_taxID_388466_model	0.7110
A0A3D9L4M1_taxID_1122208_model_A	Q21NZ9_taxID_203122_model_A	0.7109
A0A2S6H7D7_taxID_173365_model	A0A8A4TY47_taxID_2818388_model	0.7108
A0A2J0YX98_taxID_382_model	A0ABR4TSS6_taxID_1353532_model	0.7106
A0A1V6T2W4_taxID_254877_model	A0A6A7AQI4_taxID_1408161_model	0.7104
A0A813FLF8_taxID_89957_model	A0A813HFF9_taxID_89957_model	0.7102
A0A9W8IT97_taxID_417176_model	A0A9W8M3B5_taxID_2650707_model	0.7102
A0ABQ8PGU0_taxID_1424467_model	A0ACC1IX00_taxID_61397_model	0.7101
A0A9W9NGR8_taxID_63820_model	A0A9X0BDN5_taxID_1131564_model_A	0.7101
A0A2G5BJJ6_taxID_763665_model	A0A9W8M3B5_taxID_2650707_model	0.7100
A0A2S6H7D7_taxID_173365_model	A0ABV2I0A5_taxID_1209948_model	0.7100
A0A1I6M5T1_taxID_474950_model	A0A2S5CI23_taxID_1704499_model	0.7099
A0ABY7EW52_taxID_6604_model	A0ABY7EX19_taxID_6604_model	0.7099
A0A9X0BDN5_taxID_1131564_model_A	A0ACC2JI51_taxID_1108764_model	0.7098
A0A7S0WI35_taxID_1034604_model	A0ABR1G0V9_taxID_44056_model_A	0.7097
A8ZLP7_taxID_329726_model_A	E8T7H2_taxID_765698_model_A	0.7097
A0A7S3K2N9_taxID_44058_model	A0ABR1G0V9_taxID_44056_model_A	0.7096
A0A9W6BT77_taxID_330485_model_A	A0ABQ5SP08_taxID_51714_model	0.7091
A0A2P7QYD3_taxID_2116704_model	A0A2S6H7D7_taxID_173365_model	0.7090
A0A8A4TY47_taxID_2818388_model	A0AA35V075_taxID_414_model	0.7084
A0A183C147_taxID_36090_model	A0A368FPR0_taxID_29170_model	0.7079
A0A2P7QYD3_taxID_2116704_model	A0A3D9L4M1_taxID_1122208_model_A	0.7078
A0A9X1U998_taxID_2911009_model	A0ABV2I0A5_taxID_1209948_model	0.7078
A0A8H5LGT6_taxID_42677_model	A0A9P4N5L3_taxID_147567_model_A	0.7077
A0A8A4TY47_taxID_2818388_model	A0ABV2I0A5_taxID_1209948_model	0.7076
A0A1I6M5T1_taxID_474950_model	A0A841H669_taxID_1639882_model	0.7075
A0A167RCQ6_taxID_5076_model	A0A7X1AU61_taxID_2724178_model	0.7074
A0A9W8IT97_taxID_417176_model	A0ABQ8PGU0_taxID_1424467_model	0.7068
A0A2G5BJJ6_taxID_763665_model	A0A9W8IT97_taxID_417176_model	0.7067
A0A9W8IT97_taxID_417176_model	A0ACC1L5T1_taxID_1286919_model	0.7066
A0A7C8IQU8_taxID_323545_model	A0A9X0BDN5_taxID_1131564_model_A	0.7064
A0A8H6A0W2_taxID_209559_model	A0ABR4H9X8_taxID_176169_model_A	0.7064
A0A1L9Q161_taxID_1036611_model_A	A0ABR3RK21_taxID_300254_model_A	0.7064
A0A8A4TY47_taxID_2818388_model	A0ABV2RXN8_taxID_375_model	0.7064
A0A2P7QYD3_taxID_2116704_model	A0A2S5CI23_taxID_1704499_model	0.7062
A0AAW2PFE9_taxID_2727405_model	A0AAW2WPR6_taxID_2727402_model	0.7061
A0A2T4BLM2_taxID_58853_model	A0A8H5LGT6_taxID_42677_model	0.7060
A0A2P7QYD3_taxID_2116704_model	A0ABV2RXN8_taxID_375_model	0.7059
A0A841H669_taxID_1639882_model	A0ABV2RXN8_taxID_375_model	0.7059
A0A0H1BRE8_taxID_2060906_model_A	A0A9X0BDN5_taxID_1131564_model_A	0.7057
A0A6A7AQI4_taxID_1408161_model	A0ABU5KX76_taxID_2219225_model	0.7055
A0ABR4H9X8_taxID_176169_model_A	C6H6I9_taxID_544712_model	0.7054
