cluster_rep	cluster_size	log_cluster_size	agger_type	cys_in_shell	n_agger_members	group_a	group_b	group_c	group_d	group_e	group_f	group_g	group_h	group_i	group_j	group_k	group_l
A0A243BGP5_taxID_180881_model_A	10	1.0000	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AAN5XIX5_taxID_1396_model_A	10	1.0000	unassigned	0.5000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A8S3RHI5_taxID_6550_model_A	9	0.9542	type1	0.0000	2	2	0	0	0	0	0	0	0	0	0	0	0
A0AA36I6U4_taxID_2562239_model	9	0.9542	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABV2RXN8_taxID_375_model	9	0.9542	unassigned	0.7778	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A2T9YAT7_taxID_133385_model	9	0.9542	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABU4XE34_taxID_3072316_model	9	0.9542	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
D7F7N8_taxID_541221_model_A	9	0.9542	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
B5RHR0_taxID_515355_model_A	8	0.9031	type2	0.6250	2	0	0	0	0	0	0	0	0	0	2	0	0
A0A6B2LE82_taxID_1963864_model	8	0.9031	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
E8T7H2_taxID_765698_model_A	8	0.9031	unassigned	0.8750	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABR4H9X8_taxID_176169_model_A	8	0.9031	unassigned	0.5000	0	0	0	0	0	0	0	0	0	0	0	0	0
C0NHD4_taxID_447093_model	8	0.9031	unassigned	0.7500	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A7W7ZXN0_taxID_714136_model	8	0.9031	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABN8N4G6_taxID_104759_model_A	8	0.9031	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A7S4AB65_taxID_44445_model	7	0.8451	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A560ER47_taxID_28077_model_A	7	0.8451	unassigned	0.8571	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A918UUM2_taxID_346377_model_A	7	0.8451	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
F0Y382_taxID_44056_model	7	0.8451	unassigned	0.4286	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AA95F4Q0_taxID_3121368_model	7	0.8451	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A7W8KIV5_taxID_1141878_model	6	0.7782	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A812JR76_taxID_1628268_model	6	0.7782	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABN3I3E9_taxID_66879_model_A	6	0.7782	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A560KAP8_taxID_28077_model_A	6	0.7782	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
G2XK79_taxID_106299_model	6	0.7782	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A7X5YKZ1_taxID_74314_model_A	6	0.7782	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
M5FY28_taxID_1858805_model	6	0.7782	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABR1G0V9_taxID_44056_model_A	5	0.6990	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A1L5PR01_taxID_303_model	5	0.6990	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AAD7UIM9_taxID_2483200_model_A	5	0.6990	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A6C0KLD2_taxID_1070528_model	5	0.6990	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A1M5KSP5_taxID_288992_model_A	5	0.6990	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A6L9E9N5_taxID_2697053_model	5	0.6990	unassigned	0.8000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A3M8TNP8_taxID_303_model	4	0.6021	unassigned	0.7500	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABD2I4S2_taxID_97005_model	4	0.6021	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
U3AIJ7_taxID_1337093_model	4	0.6021	unassigned	0.2500	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AAN5CH76_taxID_1317129_model	4	0.6021	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A7J5D2K3_taxID_2651189_model	4	0.6021	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A1Y2D0T3_taxID_329046_model_A	4	0.6021	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A8B8F0L9_taxID_6565_model_A	4	0.6021	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABY8UC38_taxID_3088_model	4	0.6021	unassigned	0.5000	0	0	0	0	0	0	0	0	0	0	0	0	0
F6WL94_taxID_7719_model	4	0.6021	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A2S5CI23_taxID_1704499_model	4	0.6021	unassigned	0.5000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A1H9TR89_taxID_402600_model_A	4	0.6021	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABY9ITB8_taxID_2798799_model	4	0.6021	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ACC2J646_taxID_110536_model_A	4	0.6021	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AAE3ZZF7_taxID_587534_model_A	3	0.4771	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ACB1AS38_taxID_390850_model	3	0.4771	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
B7GA89_taxID_556484_model	3	0.4771	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A0U1MAB1_taxID_28573_model	3	0.4771	unassigned	0.3333	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABX0IR11_taxID_1544455_model_A	3	0.4771	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABD2IJ80_taxID_157864_model	3	0.4771	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A964TAH5_taxID_2696472_model_A	3	0.4771	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABP0KF76_taxID_1381693_model_A	3	0.4771	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABU5KX76_taxID_2219225_model	3	0.4771	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
L7JPW8_taxID_1143193_model	3	0.4771	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A813K9V7_taxID_89957_model	3	0.4771	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A0F6AHE7_taxID_1129367_model	3	0.4771	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A4Q2V7C7_taxID_451672_model	3	0.4771	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A162K920_taxID_1081108_model	3	0.4771	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AAN6PSA1_taxID_113614_model_A	3	0.4771	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A9K3PD30_taxID_303405_model	3	0.4771	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AAW0RA81_taxID_1337665_model	3	0.4771	unassigned	0.6667	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A507ENT8_taxID_246404_model	3	0.4771	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A8S4Q2L6_taxID_6347_model	3	0.4771	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
C9SDX6_taxID_526221_model	3	0.4771	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A6C0HZK6_taxID_1070528_model_A	3	0.4771	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A9G933_taxID_448385_model_A	3	0.4771	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABM1VVY2_taxID_6500_model	3	0.4771	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABR4TSS6_taxID_1353532_model	3	0.4771	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A418BCD2_taxID_112090_model	3	0.4771	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A517MIN1_taxID_1930274_model_A	3	0.4771	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A1Y1HLN7_taxID_105231_model_A	3	0.4771	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A318KMN6_taxID_1054498_model_A	3	0.4771	unassigned	0.6667	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A7S4QPD7_taxID_49249_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A9P8LAU2_taxID_265104_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
R1E2E0_taxID_2903_model	2	0.3010	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AAJ6N653_taxID_2736_model_A	2	0.3010	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ACC2JI51_taxID_1108764_model	2	0.3010	unassigned	0.5000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A2S5KMK1_taxID_2083153_model	2	0.3010	unassigned	0.5000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AAV9ILT6_taxID_3028027_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A167RCQ6_taxID_5076_model	2	0.3010	unassigned	0.5000	0	0	0	0	0	0	0	0	0	0	0	0	0
Q21NZ9_taxID_203122_model_A	2	0.3010	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A4P9YFJ7_taxID_988480_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A5N6V0Z8_taxID_41984_model	2	0.3010	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A0A1UJW0_taxID_1086054_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ACC2TJW4_taxID_34485_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A507EFD5_taxID_109895_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A4P9WCD3_taxID_388810_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A507FBC4_taxID_246404_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
E3REK7_taxID_861557_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
G1X3U2_taxID_756982_model_A	2	0.3010	type2	1.0000	1	0	0	0	0	0	0	0	0	0	0	0	1
A0A8H4ESM0_taxID_4874_model	2	0.3010	unassigned	0.5000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABQ8PGU0_taxID_1424467_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AAW2WPR6_taxID_2727402_model	2	0.3010	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A4Q7Z0G8_taxID_388466_model	2	0.3010	unassigned	0.5000	0	0	0	0	0	0	0	0	0	0	0	0	0
R1DG64_taxID_2903_model	2	0.3010	unassigned	0.5000	0	0	0	0	0	0	0	0	0	0	0	0	0
R1D043_taxID_2903_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A507EJC1_taxID_246404_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A9N8WZP9_taxID_5518_model	2	0.3010	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A2T4BLM2_taxID_58853_model	2	0.3010	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABQ9DKS8_taxID_1566151_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A7C8IQU8_taxID_323545_model	2	0.3010	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A1L9Q161_taxID_1036611_model_A	2	0.3010	unassigned	0.5000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AAE0W1K7_taxID_2493646_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
R1E1C7_taxID_2903_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AAW2PFE9_taxID_2727405_model	2	0.3010	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
N4XMY1_taxID_665024_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABN1IGD7_taxID_584605_model_A	2	0.3010	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A1I7H5J0_taxID_1231_model_A	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A327RH85_taxID_440515_model_A	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABR2XQ66_taxID_138064_model_A	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
R1CU85_taxID_2903_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABN8SN36_taxID_104178_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
W4GNY0_taxID_112090_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
R0ISP9_taxID_671987_model	2	0.3010	type1	0.0000	1	0	0	0	0	0	1	0	0	0	0	0	0
A0A507EZH3_taxID_246404_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A0G4J7H3_taxID_37360_model	2	0.3010	unassigned	0.5000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A1E3V4Z2_taxID_1752398_model	2	0.3010	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A448ZLY4_taxID_183589_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ACC2RRJ6_taxID_34485_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A7X5ASN3_taxID_265726_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABV6PMV7_taxID_511108_model_A	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A7S2G2D7_taxID_3111310_model_A	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A1V6T2W4_taxID_254877_model	2	0.3010	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A397EBP2_taxID_112090_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABW2YH98_taxID_262323_model	2	0.3010	unassigned	0.5000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABR9BSA8_taxID_2774143_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A8S3V8L1_taxID_6550_model	2	0.3010	type1	0.0000	1	1	0	0	0	0	0	0	0	0	0	0	0
A0A7S3K2N9_taxID_44058_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A5C3FY00_taxID_84753_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A7S3W3R1_taxID_2903_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A6J8ENF3_taxID_42192_model_A	2	0.3010	type1	0.0000	1	1	0	0	0	0	0	0	0	0	0	0	0
A0A3P3YJM5_taxID_37360_model_A	2	0.3010	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AAF6AWZ7_taxID_1480154_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
N1RTX1_taxID_2502994_model	2	0.3010	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
Q2Y722_taxID_323848_model_A	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AAN4PFQ7_taxID_293939_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABQ8PFV0_taxID_1424467_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A0G3BQ28_taxID_413882_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8FPM1_taxID_196164_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
R1CV39_taxID_2903_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A507F3F5_taxID_246404_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A397DXJ3_taxID_112090_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
W6ZHH7_taxID_930090_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABV4X3A9_taxID_3153654_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AAN7UYZ7_taxID_326684_model	2	0.3010	unassigned	0.5000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A1S3HAX8_taxID_7574_model	2	0.3010	type1	0.0000	2	2	0	0	0	0	0	0	0	0	0	0	0
A0A8K0KU96_taxID_123851_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A1I0B865_taxID_917_model_A	2	0.3010	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A7X0J7C0_taxID_188932_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
F4NVT9_taxID_684364_model	2	0.3010	type1	0.0000	1	0	0	0	0	1	0	0	0	0	0	0	0
A0A285BU58_taxID_44577_model_A	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A8H5Z2U4_taxID_1567541_model	2	0.3010	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A1W0A5N4_taxID_74557_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABR6YEY6_taxID_2762297_model_A	2	0.3010	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AA40AMQ6_taxID_314023_model	2	0.3010	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A9X1U998_taxID_2911009_model	2	0.3010	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
D8PI13_taxID_330214_model	2	0.3010	unassigned	0.5000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ACC1LSD8_taxID_417177_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A166CKA0_taxID_1314776_model	2	0.3010	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A6P2D548_taxID_1210884_model	2	0.3010	unassigned	0.5000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A177X0C6_taxID_403673_model	2	0.3010	type1	0.0000	1	0	0	0	0	1	0	0	0	0	0	0	0
A0A4Z1K5V5_taxID_87229_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
G4Z7X0_taxID_1094619_model_A	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A6I9TDV3_taxID_4182_model	2	0.3010	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A1Y0C4U3_taxID_482462_model_A	2	0.3010	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A937KDI5_taxID_2494733_model_A	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABY7EVT9_taxID_6604_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
B8J766_taxID_455488_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A1B2EVM5_taxID_1882682_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ACC1PKT5_taxID_42375_model	2	0.3010	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A914L211_taxID_6306_model	2	0.3010	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A9P7HHT8_taxID_40199_model	2	0.3010	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A8S3R6L7_taxID_6550_model_A	1	0.0000	type1	0.0000	1	1	0	0	0	0	0	0	0	0	0	0	0
A0ABD3VGG0_taxID_1069815_model	1	0.0000	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A9X0BDN5_taxID_1131564_model_A	1	0.0000	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A5J9TU90_taxID_38414_model	1	0.0000	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABN8LLM9_taxID_104178_model_A	1	0.0000	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A835YKM2_taxID_303371_model	1	0.0000	unassigned	1.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A5Q4BMU6_taxID_2078593_model	1	0.0000	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AAE0W2I3_taxID_2493646_model	1	0.0000	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AAE0JIY1_taxID_94610_model	1	0.0000	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABW6M374_taxID_1306990_model_A	1	0.0000	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AAV9W2Y7_taxID_47236_model	1	0.0000	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
