accession,new_pool,old_pool,canonical,n_his,core_ok_new,best_ref,best_qtm,n_helix_ok,old_reason,a1_dist,a1_plddt,a1_helical,a1_sat,a2_dist,a2_plddt,a2_helical,a2_sat,a3_dist,a3_plddt,a3_helical,a3_sat,a4_dist,a4_plddt,a4_helical,a4_sat
A0A673AW28,non-canonical,discarded,False,4,True,ref_PmTYR,0.459,4,ceFail+floor56,0.4,96.5,1,1,0.41,97.4,1,1,0.83,70.7,1,1,0.08,94.5,1,1
A0A8N5I073,non-canonical,discarded,False,4,True,ref_PmTYR,0.456,4,coreFail+ceFail+floor43,0.41,95.0,1,1,0.58,96.6,1,1,0.45,81.1,1,1,0.15,94.9,1,1
A0AAW0Q5S1,non-canonical,discarded,False,5,True,ref_PmTYR,0.456,4,coreFail+ceFail,0.68,94.7,1,1,0.27,87.5,1,1,0.79,91.8,1,1,2.98,80.7,1,1
A0A4S9F9F9,non-canonical,discarded,False,2,True,ref_PmTYR,0.455,4,ceFail,1.82,87.0,1,1,0.52,94.7,1,1,3.18,91.4,1,1,1.29,93.3,1,1
A0A669D1M6,non-canonical,discarded,False,5,True,ref_PmTYR,0.451,4,ceFail+floor59,0.45,96.1,1,1,0.27,92.7,1,1,0.65,75.5,1,1,0.42,71.1,1,1
A0A3M0L5Z8,non-canonical,discarded,False,4,True,ref_PmTYR,0.446,4,coreFail+ceFail,0.22,97.7,1,1,0.46,98.3,1,1,1.73,70.9,1,1,0.14,95.9,1,1
A0A9N8PYA4,non-canonical,discarded,False,1,True,ref_PmTYR,0.444,4,coreFail+ceFail+floor64,2.13,85.0,1,1,0.58,91.8,1,1,2.46,75.2,1,1,0.9,89.5,1,1
A0A3P8WSE3,non-canonical,discarded,False,5,True,ref_PmTYR,0.443,4,coreFail+ceFail,0.28,98.3,1,1,0.51,95.5,1,1,0.37,97.7,1,1,0.56,87.7,1,1
A0A665TYY4,non-canonical,discarded,False,5,True,ref_PmTYR,0.44,4,ceFail+floor42,0.5,96.7,1,1,0.53,97.7,1,1,1.44,75.9,1,1,0.41,95.3,1,1
A0A8H6ANQ1,non-canonical,discarded,False,4,True,ref_PmTYR,0.44,4,ceFail+floor62,0.49,89.9,1,1,0.26,95.8,1,1,0.59,78.6,1,1,0.57,91.5,1,1
A0A919DDV5,non-canonical,discarded,False,5,True,ref_5CE9_Jregia,0.439,4,ceFail,0.58,96.4,1,1,0.26,98.6,1,1,0.36,98.4,1,1,0.26,98.9,1,1
A0A1R3VBN3,non-canonical,discarded,False,5,True,ref_5CE9_Jregia,0.437,4,ceFail,0.67,97.7,1,1,0.2,98.6,1,1,0.29,97.8,1,1,0.23,98.9,1,1
A0ABV6RIB9,non-canonical,discarded,False,5,True,ref_5CE9_Jregia,0.434,4,ceFail,0.48,96.1,1,1,0.35,98.6,1,1,0.34,98.6,1,1,0.22,98.9,1,1
A0ACC2TZL3,non-canonical,discarded,False,2,True,ref_PmTYR,0.434,4,ceFail+floor39,1.76,74.2,1,1,1.81,93.6,1,1,1.57,80.7,1,1,2.31,94.5,1,1
A0A4Y9L370,non-canonical,discarded,False,5,True,ref_5CE9_Jregia,0.433,4,ceFail,0.4,95.3,1,1,0.29,97.8,1,1,0.34,98.2,1,1,0.29,98.8,1,1
A0A918Z2Y2,non-canonical,discarded,False,5,True,ref_1BT3_Ibatatas,0.433,4,ceFail,0.59,95.8,1,1,0.33,98.5,1,1,0.4,98.3,1,1,0.24,98.9,1,1
A0A8H5GBV2,non-canonical,discarded,False,5,True,ref_2Y9W_Abisporus,0.428,4,ceFail,0.53,87.6,1,1,0.63,97.3,1,1,0.22,88.5,1,1,0.62,94.0,1,1
A0A918T1K9,non-canonical,discarded,False,5,True,ref_1BT3_Ibatatas,0.428,4,ceFail,0.5,96.5,1,1,0.35,98.5,1,1,0.37,98.1,1,1,0.26,98.9,1,1
A0ABV6RUK0,non-canonical,discarded,False,5,True,ref_5CE9_Jregia,0.427,4,ceFail,0.5,96.1,1,1,0.38,98.3,1,1,0.36,97.7,1,1,0.24,98.9,1,1
A0A9P6HVN3,non-canonical,discarded,False,4,True,ref_PmTYR,0.426,4,coreFail+ceFail+floor45,1.44,73.9,1,1,1.46,71.2,1,1,1.94,90.8,1,1,0.96,85.7,1,1
A0A858R6E5,non-canonical,discarded,False,5,True,ref_1BT3_Ibatatas,0.425,4,ceFail,0.44,93.0,1,1,0.2,96.5,1,1,0.47,96.3,1,1,0.31,98.6,1,1
A0A8C0NCZ3,non-canonical,discarded,False,5,True,ref_PmTYR,0.423,4,coreFail+ceFail,0.4,96.3,1,1,0.37,95.1,1,1,0.28,89.1,1,1,2.01,77.7,1,1
A0A0C2XCT6,non-canonical,discarded,False,5,True,ref_2Y9W_Abisporus,0.419,4,ceFail,0.4,71.0,1,1,0.43,90.1,1,1,0.2,94.9,1,1,0.76,94.8,1,1
A0AA88XJ60,non-canonical,discarded,False,1,True,ref_PmTYR,0.418,4,ceFail+floor61,1.64,91.6,1,1,2.57,95.7,1,1,1.36,97.9,1,1,1.74,98.7,1,1
A0AAD9PC82,non-canonical,discarded,False,4,True,ref_PmTYR,0.417,4,ceFail,0.26,93.0,1,1,0.39,97.1,1,1,0.63,96.8,1,1,0.21,98.4,1,1
A0A914V8X7,non-canonical,discarded,False,3,True,ref_PmTYR,0.41,4,coreFail+ceFail+floor42,1.12,78.2,1,1,1.43,74.4,1,1,0.71,77.3,1,1,0.69,72.5,1,1
A0ACD3ADA0,non-canonical,discarded,False,4,True,ref_2Y9W_Abisporus,0.409,4,ceFail,0.73,79.3,1,1,0.21,94.0,1,1,0.23,97.3,1,1,0.45,97.8,1,1
A0AAN6SJA1,non-canonical,discarded,False,4,True,ref_PmTYR,0.397,4,coreFail+ceFail,2.19,81.8,1,1,2.42,95.0,1,1,2.56,88.1,1,1,2.1,95.8,1,1
A0A1G6VNA4,non-canonical,discarded,False,2,True,ref_1BT3_Ibatatas,0.384,4,ceFail,0.18,89.0,1,1,0.22,97.4,1,1,0.87,93.4,1,1,0.47,98.5,1,1
A0AAV2T9N0,non-canonical,discarded,False,5,True,ref_PmTYR,0.376,4,ceFail+floor64,0.65,94.6,1,1,0.27,97.4,1,1,0.59,73.8,1,1,0.3,95.2,1,1
A0A9W9Q612,non-canonical,discarded,False,5,True,ref_2Y9W_Abisporus,0.375,4,ceFail+floor64,0.24,87.2,1,1,0.25,95.6,1,1,0.56,82.0,1,1,0.53,94.1,1,1
A0ABX6FJC2,non-canonical,discarded,False,5,True,ref_1BT3_Ibatatas,0.366,4,ceFail,0.58,98.2,1,1,0.14,97.8,1,1,0.3,98.9,1,1,0.11,98.3,1,1
A0A0L6VTF1,non-canonical,discarded,False,5,True,ref_PmTYR,0.362,4,ceFail,0.61,90.3,1,1,0.45,94.7,1,1,0.8,88.8,1,1,0.7,79.2,1,1
A0A6A4ZE36,non-canonical,discarded,False,5,True,ref_1JS8_squid,0.335,4,ceFail,0.93,95.5,1,1,1.06,97.8,1,1,0.31,97.0,1,1,0.56,98.6,1,1
A0A077ZFE0,non-canonical,discarded,False,1,True,ref_PmTYR,0.317,4,ceFail+floor56,0.98,91.5,1,1,0.93,97.1,1,1,1.78,78.1,1,1,0.78,94.7,1,1
A0A0V1N8R5,non-canonical,discarded,False,3,True,ref_1BT3_Ibatatas,0.315,4,ceFail+floor58,1.02,86.2,1,1,0.69,93.1,1,1,2.19,80.3,1,1,0.65,94.5,1,1
A0A3P6S9E3,non-canonical,discarded,False,5,True,ref_PmTYR,0.315,4,ceFail,0.22,96.5,1,1,0.2,98.8,1,1,0.43,98.0,1,1,0.32,98.9,1,1
A0A0V0SMD1,non-canonical,discarded,False,2,True,ref_PmTYR,0.305,4,ceFail+floor68,1.03,92.6,1,1,0.74,96.8,1,1,1.72,84.4,1,1,0.6,96.9,1,1
A0A0V1DFZ9,non-canonical,discarded,False,2,True,ref_1BT3_Ibatatas,0.298,4,ceFail+floor67,0.85,93.1,1,1,0.7,97.0,1,1,2.03,87.3,1,1,0.59,97.5,1,1
A0A0V1FSY3,non-canonical,discarded,False,3,True,ref_1BT3_Ibatatas,0.298,4,ceFail+floor68,1.03,84.4,1,1,0.79,92.8,1,1,1.93,80.8,1,1,0.58,94.6,1,1
A0A5S6PYS3,non-canonical,discarded,False,2,True,ref_PmTYR,0.298,4,ceFail+floor59,0.97,94.2,1,1,0.76,98.3,1,1,2.16,90.0,1,1,0.86,97.4,1,1
E5SC69,non-canonical,discarded,False,2,True,ref_PmTYR,0.295,4,ceFail+floor49,1.35,87.9,1,1,0.68,96.5,1,1,1.98,84.1,1,1,0.62,96.5,1,1
A0A7C8UE72,non-canonical,discarded,False,3,True,ref_2Y9W_Abisporus,0.293,4,coreFail+ceFail+floor38,3.5,84.2,1,1,3.56,87.3,1,1,0.65,94.3,1,1,1.95,88.9,1,1
A0A8T1U1C5,non-canonical,discarded,False,5,True,ref_1JS8_squid,0.293,4,coreFail+ceFail+floor44,2.57,85.9,1,1,3.84,87.7,1,1,3.89,80.8,1,1,1.83,92.6,1,1
A0A0V1EIF6,non-canonical,discarded,False,3,True,ref_PmTYR,0.289,4,ceFail+floor69,1.09,87.6,1,1,0.73,94.7,1,1,1.79,79.7,1,1,0.68,94.7,1,1
A0A0V1A2F9,non-canonical,discarded,False,2,True,ref_PmTYR,0.287,4,ceFail+floor65,1.29,87.4,1,1,0.83,95.9,1,1,1.68,81.6,1,1,0.6,96.1,1,1
A0A0V1LPZ2,non-canonical,discarded,False,2,True,ref_PmTYR,0.286,4,ceFail+floor50,1.56,85.1,1,1,0.74,94.6,1,1,1.98,80.3,1,1,0.55,94.8,1,1
A0A0V1I4K6,non-canonical,discarded,False,2,True,ref_2Y9W_Abisporus,0.283,4,ceFail+floor53,1.42,84.1,1,1,1.88,94.4,1,1,1.53,70.2,1,1,2.67,95.4,1,1
A0A085NCJ6,non-canonical,discarded,False,0,True,ref_PmTYR,0.282,4,ceFail+floor53,0.94,92.7,1,1,0.76,97.5,1,1,2.15,88.5,1,1,0.84,96.7,1,1
A0ABD2IJ80,non-canonical,discarded,False,4,True,ref_PmTYR,0.281,4,ceFail+floor48,2.44,92.3,1,1,0.89,90.8,1,1,1.42,75.3,1,1,2.93,86.3,1,1
A0ABN8CNH4,non-canonical,discarded,False,1,True,ref_5CE9_Jregia,0.276,4,ceFail,0.78,96.3,1,1,0.51,98.5,1,1,0.89,96.1,1,1,0.35,98.7,1,1
A0A6G0QFF2,non-canonical,discarded,False,5,True,ref_2Y9W_Abisporus,0.262,4,ceFail,0.57,98.1,1,1,0.79,98.0,1,1,0.72,98.5,1,1,0.62,98.4,1,1
A0A7S4QPD7,non-canonical,discarded,False,5,True,ref_PmTYR,0.261,4,ceFail,0.34,95.0,1,1,0.29,98.4,1,1,0.29,93.9,1,1,0.42,98.7,1,1
A0A3P3Y6E4,non-canonical,discarded,False,0,True,ref_5CE9_Jregia,0.257,4,ceFail+floor63,0.76,87.2,1,1,0.3,95.7,1,1,1.68,70.8,1,1,0.5,92.6,1,1
A0A0D6M6M4,non-canonical,discarded,False,4,True,ref_PmTYR,0.244,4,coreFail+ceFail,1.09,97.1,1,1,0.29,97.9,1,1,0.57,87.9,1,1,0.24,97.2,1,1
A0A1Y2CTW7,non-canonical,discarded,False,3,True,ref_1JS8_squid,0.241,4,coreFail+ceFail+floor30,2.35,85.6,1,1,1.27,87.2,1,1,3.54,72.7,1,1,2.45,84.8,1,1
A0A3R6YR15,non-canonical,discarded,False,2,True,ref_PmTYR,0.239,4,coreFail+ceFail+floor63,2.39,77.7,1,1,0.64,88.8,1,1,0.4,76.4,1,1,0.09,75.2,1,1
A0A0D3HYU6,non-canonical,discarded,False,4,True,ref_PmTYR,0.218,4,ceFail,1.3,81.2,1,1,1.24,85.9,1,1,0.47,87.8,1,1,0.4,96.4,1,1
R1D043,non-canonical,discarded,False,4,True,ref_PmTYR,0.218,4,ceFail,1.3,81.2,1,1,1.24,85.9,1,1,0.47,87.8,1,1,0.4,96.4,1,1
A0A8J1TDZ8,non-canonical,discarded,False,1,True,ref_1JS8_squid,0.206,4,ceFail,0.47,91.2,1,1,0.9,97.9,1,1,1.12,92.2,1,1,0.81,97.8,1,1
A0AAD6NK04,non-canonical,discarded,False,4,True,ref_PmTYR,0.199,4,ceFail+floor59,0.33,70.7,1,1,0.24,93.0,1,1,0.79,90.8,1,1,0.63,94.4,1,1
