accession,new_pool,old_pool,canonical,n_his,core_ok_new,best_ref,best_qtm,n_helix_ok,old_reason,a1_dist,a1_plddt,a1_helical,a1_sat,a2_dist,a2_plddt,a2_helical,a2_sat,a3_dist,a3_plddt,a3_helical,a3_sat,a4_dist,a4_plddt,a4_helical,a4_sat
A0A8H6K3D9,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.507,3,core+cealign+floor_ok,4.53,65.7,1,0,0.37,95.4,1,1,0.15,96.3,1,1,0.34,97.8,1,1
A0A6A6JN94,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.506,3,core+cealign+floor_ok,5.27,89.4,0,0,0.47,98.1,1,1,0.88,95.4,1,1,0.45,98.5,1,1
A0A0D2UIJ1,discarded,noncanonical,False,4,False,ref_1BT3_Ibatatas,0.505,2,core+cealign+floor_ok,0.78,65.8,1,0,2.74,51.5,0,0,0.37,90.5,1,1,0.74,90.8,1,1
G2YS45,discarded,noncanonical,False,3,False,ref_PmTYR,0.502,3,core+cealign+floor_ok,0.88,90.5,1,1,0.61,94.4,1,1,1.03,82.4,1,1,1.24,64.1,1,0
A0AAE0LXM5,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.501,3,core+cealign+floor_ok,1.0,65.3,1,0,0.27,96.1,1,1,0.28,95.1,1,1,0.56,97.9,1,1
A0A178D5B3,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.5,3,core+cealign+floor_ok,1.26,58.9,1,0,0.15,94.3,1,1,0.15,97.7,1,1,0.29,97.7,1,1
A0A9W9AER9,discarded,noncanonical,False,5,False,ref_PmTYR,0.5,3,core+cealign+floor_ok,0.28,89.5,1,1,0.48,91.6,1,1,0.67,89.7,1,1,2.19,58.2,1,0
A0A161WK35,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.499,2,core+cealign+floor_ok,1.1,66.2,1,0,3.03,42.7,1,0,0.26,95.5,1,1,0.8,93.0,1,1
A0A177F584,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.499,3,core+cealign+floor_ok,0.81,61.7,1,0,0.14,95.4,1,1,0.11,98.0,1,1,0.28,98.2,1,1
A0A507BI78,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.499,3,core+cealign+floor_ok,0.39,92.6,0,0,0.41,97.5,1,1,0.13,97.2,1,1,0.45,98.1,1,1
X0BGB2,discarded,noncanonical,False,5,False,ref_PmTYR,0.499,3,core+cealign+floor_ok,0.26,97.2,1,1,0.21,93.7,1,1,0.89,94.7,1,1,1.5,53.2,1,0
A0ABR2MME6,discarded,noncanonical,False,5,False,ref_5CE9_Jregia,0.498,3,core+cealign+floor_ok,4.24,51.0,1,0,0.44,94.6,1,1,0.58,84.6,1,1,0.17,96.6,1,1
A0A6A6YIL2,discarded,noncanonical,False,4,False,ref_2Y9W_Abisporus,0.497,2,core+cealign+floor_ok,2.87,49.7,1,0,1.63,55.0,1,0,0.44,96.1,1,1,0.56,93.7,1,1
A0A9D5CUK6,discarded,noncanonical,False,4,False,ref_5CE9_Jregia,0.497,3,core+cealign+floor_ok,1.3,72.7,1,1,1.31,62.0,1,0,0.2,95.4,1,1,0.29,92.5,1,1
A0A135TX30,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.495,2,core+cealign+floor_ok,0.34,61.7,1,0,1.59,37.9,0,0,0.32,94.2,1,1,0.71,90.7,1,1
A0A7J6JPL9,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.495,3,core+cealign+floor_ok,2.09,56.5,0,0,0.27,94.4,1,1,0.63,89.8,1,1,0.53,95.8,1,1
A0ABY2H0D1,discarded,noncanonical,False,3,False,ref_2Y9W_Abisporus,0.492,2,core+cealign+floor_ok,1.54,54.8,1,0,1.12,48.5,1,0,0.42,90.6,1,1,0.43,89.8,1,1
A0AA39WNN7,discarded,noncanonical,False,3,False,ref_2Y9W_Abisporus,0.491,3,core+cealign+floor_ok,0.37,72.2,1,1,2.62,30.6,0,0,0.46,93.5,1,1,0.34,90.3,1,1
A0A2T6ZWP4,discarded,noncanonical,False,3,False,ref_2Y9W_Abisporus,0.49,3,core+cealign+floor_ok,0.49,95.0,0,0,0.33,97.6,1,1,0.33,97.9,1,1,0.45,98.6,1,1
A0AA37LBJ4,discarded,noncanonical,False,3,False,ref_PmTYR,0.489,2,core+cealign+floor_ok,5.2,51.3,1,0,2.8,37.3,1,0,0.53,94.0,1,1,1.9,91.2,1,1
A0AAV9FIQ9,discarded,noncanonical,False,4,False,ref_5CE9_Jregia,0.488,3,core+cealign+floor_ok,1.49,78.5,1,1,2.52,63.7,1,0,0.3,95.9,1,1,0.5,92.4,1,1
A0A2N3N7R4,discarded,noncanonical,False,4,False,ref_PmTYR,0.487,2,core+cealign+floor_ok,2.68,32.9,1,0,1.7,61.4,1,0,0.92,94.2,1,1,0.64,92.4,1,1
A0A7J9CIK1,discarded,noncanonical,False,3,False,ref_1BT3_Ibatatas,0.487,3,core+cealign+floor_ok,1.37,72.3,1,1,3.51,42.7,0,0,0.27,91.3,1,1,0.43,92.2,1,1
A0A4U7BEM6,discarded,noncanonical,False,5,False,ref_1JS8_squid,0.484,3,core+cealign+floor_ok,1.17,68.8,0,0,0.72,97.0,1,1,0.83,98.1,1,1,0.49,98.4,1,1
A0A8J5UAU7,discarded,noncanonical,False,5,False,ref_PmTYR,0.484,3,core+cealign+floor_ok,0.24,97.3,1,1,0.35,93.8,1,1,0.83,94.9,1,1,1.74,53.5,1,0
A0A168H3F0,discarded,noncanonical,False,3,False,ref_2Y9W_Abisporus,0.483,2,core+cealign+floor_ok,0.26,66.3,1,0,1.96,57.2,1,0,0.2,93.4,1,1,0.35,90.3,1,1
A0AA97P016,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.483,3,core+cealign+floor_ok,2.89,59.0,1,0,0.4,93.2,1,1,0.32,94.7,1,1,0.38,96.5,1,1
L7IUI4,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.483,3,core+cealign+floor_ok,2.89,59.0,1,0,0.41,93.3,1,1,0.31,95.9,1,1,0.38,96.5,1,1
A0A667G1E1,discarded,noncanonical,False,5,False,ref_PmTYR,0.48,3,core+cealign+floor_ok,0.47,92.3,1,1,0.21,88.9,1,1,0.37,79.8,1,1,1.87,48.7,1,0
A0A2L2SRY2,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.478,3,core+cealign+floor_ok,1.37,55.4,1,0,0.54,95.9,1,1,0.56,97.0,1,1,0.68,98.0,1,1
Q0UNZ8,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.478,3,core+cealign+floor_ok,1.98,48.5,0,0,0.38,97.2,1,1,0.21,98.4,1,1,0.64,98.6,1,1
A0ACB6RB87,discarded,noncanonical,False,4,False,ref_PmTYR,0.475,3,core+cealign+floor_ok,0.8,93.2,1,1,1.72,49.3,0,0,1.18,96.9,1,1,0.61,94.5,1,1
E3L5F5,discarded,noncanonical,False,5,False,ref_PmTYR,0.475,3,core+cealign+floor_ok,0.49,87.5,1,1,0.18,93.2,1,1,0.22,85.2,1,1,0.33,66.3,1,0
A0A6A6IDS4,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.474,3,core+cealign+floor_ok,0.64,67.0,1,0,0.52,90.1,1,1,0.3,95.3,1,1,0.51,96.1,1,1
A0ACB5RUX0,discarded,noncanonical,False,3,False,ref_2Y9W_Abisporus,0.474,3,core+cealign+floor_ok,0.68,67.8,1,0,0.79,82.9,1,1,0.22,96.8,1,1,0.45,96.5,1,1
L2G8K6,discarded,noncanonical,False,3,False,ref_2Y9W_Abisporus,0.474,2,core+cealign+floor_ok,1.02,52.9,1,0,2.06,45.4,0,0,0.52,84.7,1,1,0.58,88.1,1,1
A0A2S4L8N0,discarded,noncanonical,False,4,False,ref_2Y9W_Abisporus,0.472,3,core+cealign+floor_ok,1.49,71.5,1,1,2.15,67.1,1,0,0.44,93.2,1,1,0.68,92.8,1,1
A0A437ABU9,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.472,3,core+cealign+floor_ok,0.52,98.4,0,0,0.52,98.8,1,1,0.34,98.3,1,1,0.41,99.0,1,1
A0A4W4FKH2,discarded,noncanonical,False,5,False,ref_PmTYR,0.471,3,core+cealign+floor_ok,0.4,96.1,1,1,0.52,92.7,1,1,0.26,92.7,1,1,2.14,49.3,0,0
L8WW92,discarded,noncanonical,False,3,False,ref_PmTYR,0.471,3,core+cealign+floor_ok,1.16,83.6,1,1,2.43,61.7,0,0,1.36,94.5,1,1,1.89,88.8,1,1
A0ABR0HD85,discarded,noncanonical,False,4,False,ref_2Y9W_Abisporus,0.469,2,core+cealign+floor_ok,0.54,54.0,1,0,3.08,34.9,0,0,0.15,90.1,1,1,0.7,90.7,1,1
A0ABR0IA35,discarded,noncanonical,False,4,False,ref_2Y9W_Abisporus,0.469,2,core+cealign+floor_ok,0.54,54.0,1,0,3.08,34.9,0,0,0.15,90.1,1,1,0.7,90.7,1,1
R1GBN1,discarded,noncanonical,False,4,False,ref_2Y9W_Abisporus,0.468,3,core+cealign+floor_ok,0.45,66.7,1,0,0.59,82.0,1,1,0.19,96.8,1,1,0.58,96.6,1,1
A0A0C2HF86,discarded,noncanonical,False,3,False,ref_PmTYR,0.467,1,core+cealign+floor_ok,1.58,67.3,1,0,0.8,80.3,1,1,2.5,44.6,1,0,1.3,50.7,1,0
A0A9P5EZI0,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.467,2,core+cealign+floor_ok,0.78,58.3,1,0,2.32,47.1,1,0,0.54,83.3,1,1,0.44,83.7,1,1
A0A3P8WJV9,discarded,noncanonical,False,4,False,ref_PmTYR,0.466,3,core+cealign+floor_ok,1.0,87.7,1,1,1.53,57.1,1,0,0.4,93.6,1,1,0.32,92.0,1,1
A0A8H3I9E9,discarded,noncanonical,False,4,False,ref_2Y9W_Abisporus,0.466,2,core+cealign+floor_ok,1.16,61.6,1,0,1.59,46.8,0,0,0.33,92.2,1,1,0.51,89.0,1,1
W9KFT0,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.464,3,core+cealign+floor_ok,0.38,68.3,0,0,0.57,85.1,1,1,0.4,84.9,1,1,0.42,92.7,1,1
A0A3P8WPJ5,discarded,noncanonical,False,3,False,ref_PmTYR,0.463,3,core+cealign+floor_ok,0.82,88.7,1,1,1.03,58.7,1,0,0.34,93.4,1,1,0.35,91.9,1,1
A0A4W4FK82,discarded,noncanonical,False,5,False,ref_PmTYR,0.459,3,core+cealign+floor_ok,0.33,97.2,1,1,0.39,93.7,1,1,0.29,93.4,1,1,2.48,57.6,0,0
A0A8K0E3G2,discarded,noncanonical,False,5,False,ref_PmTYR,0.457,3,core+cealign+floor_ok,1.09,60.4,1,0,0.34,96.4,1,1,0.2,96.6,1,1,0.23,98.2,1,1
A0A3P8WHA0,discarded,noncanonical,False,4,False,ref_PmTYR,0.455,3,core+cealign+floor_ok,0.68,87.8,1,1,2.23,50.1,0,0,0.43,96.2,1,1,0.49,92.7,1,1
A0A7U2F198,discarded,noncanonical,False,3,False,ref_PmTYR,0.453,2,core+cealign+floor_ok,2.38,46.4,1,0,1.37,47.8,1,0,0.71,84.8,1,1,0.17,79.3,1,1
A0A166TRG0,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.45,3,core+cealign+floor_ok,1.77,57.8,1,0,0.43,94.6,1,1,0.16,92.7,1,1,0.6,96.9,1,1
A0A5D2Q415,discarded,noncanonical,False,4,False,ref_5CE9_Jregia,0.45,3,core+cealign+floor_ok,0.67,71.2,1,1,1.16,59.7,1,0,0.28,94.8,1,1,0.3,91.4,1,1
A0ACC3ZAS3,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.45,3,core+cealign+floor_ok,1.97,50.7,1,0,0.4,93.8,1,1,0.12,93.3,1,1,0.51,96.2,1,1
A0A8H6NYW2,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.448,3,core+cealign+floor_ok,1.01,68.6,0,0,0.4,95.6,1,1,0.25,94.8,1,1,0.51,97.6,1,1
A0A2T2N6M0,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.446,3,core+cealign+floor_ok,3.17,63.3,1,0,0.51,89.8,1,1,0.35,93.7,1,1,0.56,96.1,1,1
A0A8H6N0D2,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.446,3,core+cealign+floor_ok,1.13,67.8,1,0,0.41,94.8,1,1,0.27,93.6,1,1,0.52,97.1,1,1
A0A8H6YHY9,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.446,3,core+cealign+floor_ok,0.46,92.1,0,0,0.38,95.2,1,1,0.44,93.2,1,1,0.44,96.8,1,1
A0A8H6JY07,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.445,3,core+cealign+floor_ok,1.08,66.4,0,0,0.45,95.1,1,1,0.28,93.6,1,1,0.54,97.2,1,1
A0ABR3SXQ6,discarded,noncanonical,False,4,False,ref_2Y9W_Abisporus,0.445,2,core+cealign+floor_ok,2.54,60.6,1,0,3.64,41.4,0,0,0.14,95.2,1,1,0.5,92.6,1,1
