accession	length	ndom_chainsaw	all_pfam	extra_pfam	domain_annotations
A0A072P5W0	375	1	PF00264 (Tyrosinase)	—	106-123: Tyrosinase copper-binding
A0A072P8W8	377	1	PF00264 (Tyrosinase)	—	107-124: Tyrosinase copper-binding
A0A072Q6Y5	251	1	PF00264 (Tyrosinase)	—	19-36: Tyrosinase copper-binding; 179-190: Tyrosinase copper-binding
A0A074RCL1	320	1	PF00264 (Tyrosinase)	—	75-259: Tyrosinase copper-binding
A0A074RLS0	322	1	PF00264 (Tyrosinase)	—	96-113: Tyrosinase copper-binding
A0A074RSM2	320	1	PF00264 (Tyrosinase)	—	70-254: Tyrosinase copper-binding
A0A074RTB9	353	1	PF00264 (Tyrosinase)	—	272-283: Tyrosinase copper-binding
A0A074RXR6	354	2	PF00264 (Tyrosinase)	—	271-282: Tyrosinase copper-binding
A0A074S0H8	317	1	PF00264 (Tyrosinase)	—	75-259: Tyrosinase copper-binding
A0A074S7C5	381	1	PF00264 (Tyrosinase)	—	84-301: Tyrosinase copper-binding
A0A074S7W9	350	1	PF00264 (Tyrosinase)	—	95-112: Tyrosinase copper-binding; 262-273: Tyrosinase copper-binding
A0A074SA15	350	1	PF00264 (Tyrosinase)	—	123-140: Tyrosinase copper-binding
A0A074SFZ9	356	2	PF00264 (Tyrosinase)	—	91-108: Tyrosinase copper-binding; 259-270: Tyrosinase copper-binding
A0A074SK72	618	3	PF00264 (Tyrosinase)	—	86-297: Tyrosinase copper-binding
A0A074SK81	281	2	PF00264 (Tyrosinase)	—	85-281: Tyrosinase copper-binding
A0A074SUA9	304	1	PF00264 (Tyrosinase)	—	222-233: Tyrosinase copper-binding
A0A080ZC48	0	2	—	—	—
A0A080ZC49	0	3	—	—	—
A0A080ZVP9	0	2	—	—	—
A0A084AJL7	389	1	PF00264 (Tyrosinase)	—	315-326: Tyrosinase copper-binding
A0A084B2K4	338	2	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A084BB06	325	1	PF00264 (Tyrosinase)	—	90-107: Tyrosinase copper-binding; 251-262: Tyrosinase copper-binding
A0A084G3K0	339	1	PF00264 (Tyrosinase)	—	89-106: Tyrosinase copper-binding
A0A084GCK1	395	2	PF00264 (Tyrosinase)	—	320-331: Tyrosinase copper-binding
A0A084QCB8	338	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A084QWG9	325	1	PF00264 (Tyrosinase)	—	90-107: Tyrosinase copper-binding; 251-262: Tyrosinase copper-binding
A0A084R1I5	382	1	PF00264 (Tyrosinase)	—	308-319: Tyrosinase copper-binding
A0A090N5Z6	0	1	—	—	—
A0A093R256	416	1	PF00264 (Tyrosinase)	—	112-129: Tyrosinase copper-binding; 285-296: Tyrosinase copper-binding
A0A098SBM4	418	3	PF00264 (Tyrosinase)	—	66-122: Tyrosinase copper-binding; 143-220: Tyrosinase copper-binding
A0A099MZ46	0	3	—	—	—
A0A0A1UJW0	0	3	—	—	—
A0A0A1UJX2	0	1	—	—	—
A0A0A1YUC0	0	3	—	—	—
A0A0A2JVP7	317	1	PF00264 (Tyrosinase)	—	80-97: Tyrosinase copper-binding; 239-250: Tyrosinase copper-binding
A0A0A6UH53	268	2	PF00264 (Tyrosinase)	—	57-74: Tyrosinase copper-binding; 202-213: Tyrosinase copper-binding
A0A0A6UH99	268	2	PF00264 (Tyrosinase)	—	57-74: Tyrosinase copper-binding; 202-213: Tyrosinase copper-binding
A0A0A6UK08	269	1	PF00264 (Tyrosinase)	—	58-75: Tyrosinase copper-binding; 203-214: Tyrosinase copper-binding
A0A0A7CLT5	466	2	PF00264 (Tyrosinase)	—	72-89: Tyrosinase copper-binding; 239-250: Tyrosinase copper-binding
A0A0A7CNE6	485	2	PF00264 (Tyrosinase)	—	74-91: Tyrosinase copper-binding
A0A0A7CNP6	472	2	PF00264 (Tyrosinase)	—	73-90: Tyrosinase copper-binding; 242-253: Tyrosinase copper-binding
A0A0A7CP65	840	5	PF14295 (PAN_4); PF00264 (Tyrosinase)	PF14295 (PAN_4)	93-164: Apple
A0A0A7CPE6	0	3	—	—	—
A0A0B2VUC6	556	3	PF01549 (ShK); PF00264 (Tyrosinase)	PF01549 (ShK)	457-491: ShKT; 501-536: ShKT
A0A0B7AML2	0	3	—	—	—
A0A0B7F0F6	368	1	PF00264 (Tyrosinase)	—	90-305: Tyrosinase copper-binding
A0A0B7F0G8	360	1	PF00264 (Tyrosinase)	—	86-297: Tyrosinase copper-binding
A0A0B7F0N2	357	1	PF00264 (Tyrosinase)	—	86-294: Tyrosinase copper-binding
A0A0B7F0Q1	357	1	PF00264 (Tyrosinase)	—	86-294: Tyrosinase copper-binding
A0A0B7F1Z6	351	1	PF00264 (Tyrosinase)	—	85-287: Tyrosinase copper-binding
A0A0B7F8H0	314	1	PF00264 (Tyrosinase)	—	75-259: Tyrosinase copper-binding
A0A0B7FCB0	324	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A0B7FGN3	318	1	PF00264 (Tyrosinase)	—	75-259: Tyrosinase copper-binding
A0A0B7FN78	356	1	PF00264 (Tyrosinase)	—	91-108: Tyrosinase copper-binding; 259-270: Tyrosinase copper-binding
A0A0B7FUY2	365	2	PF00264 (Tyrosinase)	—	84-301: Tyrosinase copper-binding
A0A0B7FY08	393	2	PF00264 (Tyrosinase)	—	79-293: Tyrosinase copper-binding
A0A0B7G165	365	1	PF00264 (Tyrosinase)	—	92-301: Tyrosinase copper-binding
A0A0B7KA41	0	2	—	—	—
A0A0C3CP60	365	2	PF00264 (Tyrosinase)	—	77-296: Tyrosinase copper-binding
A0A0C3FFF8	362	2	PF00264 (Tyrosinase)	—	98-115: Tyrosinase copper-binding
A0A0C3FYC4	365	2	PF00264 (Tyrosinase)	—	100-117: Tyrosinase copper-binding
A0A0C4DI87	0	2	—	—	—
A0A0C4ECU2	330	1	PF00264 (Tyrosinase)	—	87-104: Tyrosinase copper-binding; 245-256: Tyrosinase copper-binding
A0A0C9W3X0	371	1	PF00264 (Tyrosinase)	—	107-124: Tyrosinase copper-binding; 286-297: Tyrosinase copper-binding
A0A0D0CCA2	370	2	PF00264 (Tyrosinase)	—	97-114: Tyrosinase copper-binding
A0A0D1YF04	0	1	—	—	—
A0A0D1ZN85	362	1	PF00264 (Tyrosinase)	—	93-110: Tyrosinase copper-binding
A0A0D2AGE3	638	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	119-136: Tyrosinase copper-binding; 319-330: Tyrosinase copper-binding
A0A0D2BB96	368	1	PF00264 (Tyrosinase)	—	98-115: Tyrosinase copper-binding
A0A0D2BH13	383	1	PF00264 (Tyrosinase)	—	114-131: Tyrosinase copper-binding
A0A0D2BKG3	374	1	PF00264 (Tyrosinase)	—	104-121: Tyrosinase copper-binding
A0A0D2BR19	332	1	PF00264 (Tyrosinase)	—	59-76: Tyrosinase copper-binding
A0A0D2CZ06	369	1	PF00264 (Tyrosinase)	—	99-116: Tyrosinase copper-binding
A0A0D2D206	666	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	331-342: Tyrosinase copper-binding
A0A0D2D664	335	1	PF00264 (Tyrosinase)	—	59-76: Tyrosinase copper-binding
A0A0D2DPV7	379	1	PF00264 (Tyrosinase)	—	103-120: Tyrosinase copper-binding
A0A0D2DYM6	376	1	PF00264 (Tyrosinase)	—	106-123: Tyrosinase copper-binding
A0A0D2EDR6	383	1	PF00264 (Tyrosinase)	—	114-131: Tyrosinase copper-binding
A0A0D2EIL3	376	1	PF00264 (Tyrosinase)	—	106-123: Tyrosinase copper-binding
A0A0D2ETA8	385	1	PF00264 (Tyrosinase)	—	116-133: Tyrosinase copper-binding
A0A0D2EZC7	384	1	PF00264 (Tyrosinase)	—	115-132: Tyrosinase copper-binding
A0A0D2F4M5	378	1	PF00264 (Tyrosinase)	—	104-121: Tyrosinase copper-binding
A0A0D2G164	387	1	PF00264 (Tyrosinase)	—	118-135: Tyrosinase copper-binding
A0A0D2G9B5	384	1	PF00264 (Tyrosinase)	—	115-132: Tyrosinase copper-binding
A0A0D2HA46	320	1	PF00264 (Tyrosinase)	—	50-67: Tyrosinase copper-binding
A0A0D2HER3	385	1	PF00264 (Tyrosinase)	—	116-133: Tyrosinase copper-binding
A0A0D2HGH5	320	1	PF00264 (Tyrosinase)	—	50-67: Tyrosinase copper-binding
A0A0D2IAF0	362	1	PF00264 (Tyrosinase)	—	76-299: Tyrosinase copper-binding
A0A0D2JFD5	376	1	PF00264 (Tyrosinase)	—	106-123: Tyrosinase copper-binding
A0A0D2K829	368	1	PF00264 (Tyrosinase)	—	98-115: Tyrosinase copper-binding
A0A0D2Y718	0	2	—	—	—
A0A0D2YBM6	0	1	—	—	—
A0A0D3JSQ2	836	3	PF00264 (Tyrosinase)	—	156-453: Tyrosinase copper-binding
A0A0D3JST8	833	2	PF00264 (Tyrosinase)	—	151-448: Tyrosinase copper-binding
A0A0D9NQW1	314	1	PF00264 (Tyrosinase)	—	235-246: Tyrosinase copper-binding
A0A0E0RYC2	338	1	PF00264 (Tyrosinase)	—	245-256: Tyrosinase copper-binding
A0A0F0IBW7	0	1	—	—	—
A0A0F0IHD9	0	1	—	—	—
A0A0F4GBJ7	610	3	PF00264 (Tyrosinase)	—	297-308: Tyrosinase copper-binding
A0A0F7S7B3	331	1	PF00264 (Tyrosinase)	—	98-115: Tyrosinase copper-binding
A0A0F7TKD9	343	1	PF00264 (Tyrosinase)	—	113-130: Tyrosinase copper-binding; 261-272: Tyrosinase copper-binding
A0A0F7TYM6	359	1	PF00264 (Tyrosinase)	—	265-276: Tyrosinase copper-binding
A0A0G2EUA6	317	1	PF00264 (Tyrosinase)	—	33-258: Tyrosinase copper-binding
A0A0G2YLH0	685	2	PF00264 (Tyrosinase)	—	150-167: Tyrosinase copper-binding; 290-301: Tyrosinase copper-binding
A0A0G4HMU6	0	2	—	—	—
A0A0G4KK98	339	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A0G4KKL5	339	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A0G4L6X2	341	1	PF00264 (Tyrosinase)	—	89-106: Tyrosinase copper-binding; 234-245: Tyrosinase copper-binding
A0A0G4LMV7	0	1	—	—	—
A0A0G4LPB5	248	2	PF00264 (Tyrosinase)	—	89-106: Tyrosinase copper-binding; 234-245: Tyrosinase copper-binding
A0A0G4N2N6	0	1	—	—	—
A0A0J9VNP9	0	2	—	—	—
A0A0J9W938	0	2	—	—	—
A0A0J9WSW0	0	1	—	—	—
A0A0K0E814	471	3	PF00264 (Tyrosinase)	—	165-182: Tyrosinase copper-binding; 316-327: Tyrosinase copper-binding
A0A0K6FKC6	365	2	PF00264 (Tyrosinase)	—	84-301: Tyrosinase copper-binding
A0A0K6FMF9	331	1	PF00264 (Tyrosinase)	—	63-268: Tyrosinase copper-binding
A0A0K6FMV0	317	1	PF00264 (Tyrosinase)	—	74-259: Tyrosinase copper-binding
A0A0K6FPB5	330	1	PF00264 (Tyrosinase)	—	63-267: Tyrosinase copper-binding
A0A0K6FPV3	641	2	PF00264 (Tyrosinase)	—	93-311: Tyrosinase copper-binding
A0A0K6FU45	311	1	PF00264 (Tyrosinase)	—	69-253: Tyrosinase copper-binding
A0A0K6FUE9	319	1	PF00264 (Tyrosinase)	—	69-253: Tyrosinase copper-binding
A0A0K6FYY1	315	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A0K6G019	364	1	PF00264 (Tyrosinase)	—	86-301: Tyrosinase copper-binding
A0A0K6GEK7	348	2	PF00264 (Tyrosinase)	—	265-276: Tyrosinase copper-binding
A0A0K6GFZ7	315	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A0K6GIP8	348	2	PF00264 (Tyrosinase)	—	265-276: Tyrosinase copper-binding
A0A0K6GIR3	353	2	PF00264 (Tyrosinase)	—	270-281: Tyrosinase copper-binding
A0A0L0NB41	302	1	PF00264 (Tyrosinase)	—	228-239: Tyrosinase copper-binding
A0A0L0T1I9	448	2	PF00264 (Tyrosinase)	—	213-224: Tyrosinase copper-binding
A0A0L0T297	463	2	PF00264 (Tyrosinase)	—	114-131: Tyrosinase copper-binding; 251-262: Tyrosinase copper-binding
A0A0L0T3A5	449	1	PF00264 (Tyrosinase)	—	238-249: Tyrosinase copper-binding
A0A0L0T3E0	446	2	PF00264 (Tyrosinase)	—	213-224: Tyrosinase copper-binding
A0A0L0W3I3	320	1	PF00264 (Tyrosinase)	—	78-262: Tyrosinase copper-binding
A0A0L1JH90	341	1	PF00264 (Tyrosinase)	—	111-128: Tyrosinase copper-binding; 259-270: Tyrosinase copper-binding
A0A0L6VMV5	303	1	PF00264 (Tyrosinase)	—	78-253: Tyrosinase copper-binding
A0A0M3K8B7	522	3	PF01549 (ShK); PF00264 (Tyrosinase)	PF01549 (ShK)	416-450: ShKT; 460-495: ShKT
A0A0M9EWC2	337	2	PF00264 (Tyrosinase)	—	87-104: Tyrosinase copper-binding
A0A0N1H7B4	371	1	PF00264 (Tyrosinase)	—	96-113: Tyrosinase copper-binding
A0A0N1P0I4	378	1	PF00264 (Tyrosinase)	—	77-302: Tyrosinase copper-binding
A0A0P1ANE6	486	2	PF00264 (Tyrosinase)	—	74-258: Tyrosinase copper-binding
A0A0U1MAB1	545	2	PF00264 (Tyrosinase)	—	98-115: Tyrosinase copper-binding; 297-308: Tyrosinase copper-binding
A0A0V0S806	830	3	PF00024 (PAN_1); PF00264 (Tyrosinase)	PF00024 (PAN_1)	739-821: Apple
A0A0V0TGR2	832	4	PF00024 (PAN_1); PF00264 (Tyrosinase)	PF00024 (PAN_1)	741-823: Apple
A0A0V0YE73	0	4	—	—	—
A0A0V1AAJ2	838	4	PF00024 (PAN_1); PF00264 (Tyrosinase)	PF00024 (PAN_1)	747-829: Apple
A0A0V1ABN4	805	4	PF00024 (PAN_1); PF00264 (Tyrosinase)	PF00024 (PAN_1)	714-796: Apple
A0A0V1BIN6	832	4	PF00024 (PAN_1); PF00264 (Tyrosinase)	PF00024 (PAN_1)	741-823: Apple
A0A0V1DE70	804	4	PF00024 (PAN_1); PF00264 (Tyrosinase)	PF00024 (PAN_1)	713-795: Apple
A0A0V1ESS6	0	4	—	—	—
A0A0V1G4S3	787	4	PF00024 (PAN_1); PF00264 (Tyrosinase)	PF00024 (PAN_1)	696-778: Apple
A0A0V1I3Y0	804	4	PF00024 (PAN_1); PF00264 (Tyrosinase)	PF00024 (PAN_1)	713-795: Apple
A0A0V1JHS7	791	4	PF00024 (PAN_1); PF00264 (Tyrosinase)	PF00024 (PAN_1)	700-782: Apple
A0A0V1KD92	0	4	—	—	—
A0A0V1KR57	833	5	PF00024 (PAN_1); PF00264 (Tyrosinase)	PF00024 (PAN_1)	742-824: Apple
A0A0V1MUW3	800	5	PF00024 (PAN_1); PF00264 (Tyrosinase)	PF00024 (PAN_1)	709-791: Apple
A0A0W0EZ38	0	1	—	—	—
A0A0W0FIC5	0	1	—	—	—
A0A0W7VMU8	554	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	91-108: Tyrosinase copper-binding; 336-347: Tyrosinase copper-binding
A0A0W7WYA7	305	2	PF00264 (Tyrosinase)	—	241-252: Tyrosinase copper-binding
A0A0W8AY19	0	2	—	—	—
A0A0W8C3R7	0	2	—	—	—
A0A0W8DAM1	0	3	—	—	—
A0A101NIJ2	288	2	PF00264 (Tyrosinase)	—	55-72: Tyrosinase copper-binding; 219-230: Tyrosinase copper-binding
A0A101NV74	288	2	PF00264 (Tyrosinase)	—	55-72: Tyrosinase copper-binding; 219-230: Tyrosinase copper-binding
A0A117DZY6	0	1	—	—	—
A0A127I0D0	0	3	—	—	—
A0A135RS91	338	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A135S3P5	338	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A135SGH4	961	5	PF06985 (HET); PF00264 (Tyrosinase)	PF06985 (HET)	82-99: Tyrosinase copper-binding; 248-259: Tyrosinase copper-binding
A0A135TPT1	338	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A135U459	653	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	103-120: Tyrosinase copper-binding; 321-332: Tyrosinase copper-binding
A0A135V8Q3	449	1	PF00264 (Tyrosinase)	—	174-191: Tyrosinase copper-binding
A0A136ILZ0	271	1	PF00264 (Tyrosinase)	—	194-205: Tyrosinase copper-binding
A0A136IUL0	619	3	PF00264 (Tyrosinase)	—	359-370: Tyrosinase copper-binding
A0A136IUM9	340	1	PF00264 (Tyrosinase)	—	87-104: Tyrosinase copper-binding
A0A136JKK4	408	1	PF00264 (Tyrosinase)	—	130-147: Tyrosinase copper-binding
A0A137NQN3	393	2	PF00264 (Tyrosinase)	—	72-89: Tyrosinase copper-binding; 219-230: Tyrosinase copper-binding
A0A137NY78	393	2	PF00264 (Tyrosinase)	—	72-89: Tyrosinase copper-binding; 219-230: Tyrosinase copper-binding
A0A137P8T8	259	1	PF00264 (Tyrosinase)	—	79-96: Tyrosinase copper-binding; 223-234: Tyrosinase copper-binding
A0A139HAY5	393	1	PF00264 (Tyrosinase)	—	312-323: Tyrosinase copper-binding
A0A146F7M9	341	1	PF00264 (Tyrosinase)	—	111-128: Tyrosinase copper-binding; 259-270: Tyrosinase copper-binding
A0A164PTP5	622	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	92-109: Tyrosinase copper-binding
A0A164SP08	662	3	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	105-122: Tyrosinase copper-binding; 363-374: Tyrosinase copper-binding
A0A165J5C9	675	3	PF00264 (Tyrosinase)	—	57-346: Tyrosinase copper-binding
A0A165V412	376	2	PF00264 (Tyrosinase)	—	290-301: Tyrosinase copper-binding
A0A165YMC5	661	3	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	105-122: Tyrosinase copper-binding; 362-373: Tyrosinase copper-binding
A0A166ALV4	399	2	PF00264 (Tyrosinase)	—	110-127: Tyrosinase copper-binding
A0A166DZQ5	622	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	92-109: Tyrosinase copper-binding; 329-340: Tyrosinase copper-binding
A0A166M367	566	2	PF00264 (Tyrosinase)	—	291-308: Tyrosinase copper-binding
A0A166QLI8	329	1	PF00264 (Tyrosinase)	—	81-98: Tyrosinase copper-binding
A0A166QMK6	324	1	PF00264 (Tyrosinase)	—	81-98: Tyrosinase copper-binding; 247-258: Tyrosinase copper-binding
A0A166TEN8	369	1	PF00264 (Tyrosinase)	—	296-307: Tyrosinase copper-binding
A0A166U3J7	352	1	PF00264 (Tyrosinase)	—	77-94: Tyrosinase copper-binding
A0A167AFV0	285	2	PF00264 (Tyrosinase)	—	45-62: Tyrosinase copper-binding; 210-221: Tyrosinase copper-binding
A0A167BRG2	395	1	PF00264 (Tyrosinase)	—	322-333: Tyrosinase copper-binding
A0A167BY34	699	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	—
A0A167H3K1	675	2	PF00264 (Tyrosinase)	—	327-338: Tyrosinase copper-binding
A0A167RCQ6	0	2	—	—	—
A0A168E5R7	252	1	PF00264 (Tyrosinase)	—	21-38: Tyrosinase copper-binding; 179-190: Tyrosinase copper-binding
A0A168EXD0	300	1	PF00264 (Tyrosinase)	—	226-237: Tyrosinase copper-binding
A0A175W3Y2	399	1	PF00264 (Tyrosinase)	—	155-345: Tyrosinase copper-binding
A0A177CCF1	404	1	PF00264 (Tyrosinase)	—	321-332: Tyrosinase copper-binding
A0A177EUN3	320	1	PF00264 (Tyrosinase)	—	50-67: Tyrosinase copper-binding
A0A177FEY3	384	1	PF00264 (Tyrosinase)	—	115-132: Tyrosinase copper-binding
A0A177WRB0	0	2	—	—	—
A0A178CTE4	367	1	PF00264 (Tyrosinase)	—	98-115: Tyrosinase copper-binding
A0A178DF33	320	1	PF00264 (Tyrosinase)	—	50-67: Tyrosinase copper-binding
A0A178Z9S6	368	1	PF00264 (Tyrosinase)	—	98-115: Tyrosinase copper-binding
A0A179A145	363	1	PF00264 (Tyrosinase)	—	77-300: Tyrosinase copper-binding
A0A182YW94	0	2	—	—	—
A0A183BN42	525	4	PF00264 (Tyrosinase)	—	227-244: Tyrosinase copper-binding; 380-391: Tyrosinase copper-binding
A0A183IVI7	453	3	PF00264 (Tyrosinase)	—	324-335: Tyrosinase copper-binding
A0A183UY55	534	3	PF01549 (ShK); PF00264 (Tyrosinase)	PF01549 (ShK)	435-469: ShKT; 479-514: ShKT
A0A194X275	361	2	PF00264 (Tyrosinase)	—	75-293: Tyrosinase copper-binding
A0A1B1B8N9	288	2	PF00264 (Tyrosinase)	—	55-72: Tyrosinase copper-binding; 219-230: Tyrosinase copper-binding
A0A1B1M2R3	274	1	PF00264 (Tyrosinase)	—	—
A0A1B7NUR7	377	1	PF00264 (Tyrosinase)	—	151-168: Tyrosinase copper-binding; 299-310: Tyrosinase copper-binding
A0A1B7Y3U5	683	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	101-118: Tyrosinase copper-binding; 312-323: Tyrosinase copper-binding
A0A1B7YR08	507	1	PF00264 (Tyrosinase)	—	232-249: Tyrosinase copper-binding
A0A1B8AR83	510	2	PF00264 (Tyrosinase)	—	56-73: Tyrosinase copper-binding; 294-305: Tyrosinase copper-binding
A0A1B8AWE5	337	1	PF00264 (Tyrosinase)	—	87-104: Tyrosinase copper-binding
A0A1B8AZE2	333	1	PF00264 (Tyrosinase)	—	77-278: Tyrosinase copper-binding
A0A1B8XYP0	0	2	—	—	—
A0A1C1CNS0	367	1	PF00264 (Tyrosinase)	—	97-114: Tyrosinase copper-binding
A0A1C1CVI7	384	1	PF00264 (Tyrosinase)	—	115-132: Tyrosinase copper-binding
A0A1C7D005	0	2	—	—	—
A0A1D7YF24	288	2	PF00264 (Tyrosinase)	—	55-72: Tyrosinase copper-binding; 219-230: Tyrosinase copper-binding
A0A1D7YL38	273	2	PF00264 (Tyrosinase)	—	54-71: Tyrosinase copper-binding; 209-220: Tyrosinase copper-binding
A0A1E3B9D8	648	3	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	104-121: Tyrosinase copper-binding; 378-389: Tyrosinase copper-binding
A0A1E3V4Z2	556	3	PF00264 (Tyrosinase)	—	115-341: Tyrosinase copper-binding
A0A1E7FTK4	548	2	PF00264 (Tyrosinase)	—	278-289: Tyrosinase copper-binding
A0A1F8A6I4	759	2	PF07690 (MFS_1); PF00264 (Tyrosinase)	PF07690 (MFS_1)	682-693: Tyrosinase copper-binding
A0A1F8A877	341	1	PF00264 (Tyrosinase)	—	111-128: Tyrosinase copper-binding; 259-270: Tyrosinase copper-binding
A0A1G4AYJ9	511	1	PF00264 (Tyrosinase)	—	236-253: Tyrosinase copper-binding
A0A1G4BKS1	368	1	PF00264 (Tyrosinase)	—	137-154: Tyrosinase copper-binding; 294-305: Tyrosinase copper-binding
A0A1G7EVK2	453	3	PF18962 (Por_Secre_tail); PF00264 (Tyrosinase)	PF18962 (Por_Secre_tail)	195-206: Tyrosinase copper-binding
A0A1G7JAM5	453	2	PF18962 (Por_Secre_tail); PF00264 (Tyrosinase)	PF18962 (Por_Secre_tail)	195-206: Tyrosinase copper-binding
A0A1G7K2Z2	451	3	PF18962 (Por_Secre_tail); PF00264 (Tyrosinase)	PF18962 (Por_Secre_tail)	200-211: Tyrosinase copper-binding
A0A1G9L3I7	545	3	PF00264 (Tyrosinase)	—	333-344: Tyrosinase copper-binding
A0A1G9LQ44	596	3	PF00264 (Tyrosinase)	—	365-376: Tyrosinase copper-binding
A0A1H1YK07	268	2	PF00264 (Tyrosinase)	—	57-74: Tyrosinase copper-binding; 202-213: Tyrosinase copper-binding
A0A1I2GNX2	268	2	PF00264 (Tyrosinase)	—	57-74: Tyrosinase copper-binding; 202-213: Tyrosinase copper-binding
A0A1I7S4X7	525	2	PF00264 (Tyrosinase)	—	300-311: Tyrosinase copper-binding
A0A1I8AD71	509	2	PF00264 (Tyrosinase)	—	360-371: Tyrosinase copper-binding
A0A1J9Q3N9	642	2	PF00264 (Tyrosinase); PF18132 (Tyrosinase_C)	PF18132 (Tyrosinase_C)	103-120: Tyrosinase copper-binding; 295-306: Tyrosinase copper-binding
A0A1J9QXP9	312	1	PF00264 (Tyrosinase)	—	234-245: Tyrosinase copper-binding
A0A1K0GCJ9	268	2	PF00264 (Tyrosinase)	—	58-75: Tyrosinase copper-binding; 203-214: Tyrosinase copper-binding
A0A1L1ZLS6	689	2	PF00264 (Tyrosinase)	—	168-185: Tyrosinase copper-binding; 308-319: Tyrosinase copper-binding
A0A1L5PR01	0	3	—	—	—
A0A1L7T7V9	334	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A1L7T8U3	365	1	PF00264 (Tyrosinase)	—	286-297: Tyrosinase copper-binding
A0A1L7THL1	326	1	PF00264 (Tyrosinase)	—	83-100: Tyrosinase copper-binding; 248-259: Tyrosinase copper-binding
A0A1L7TSE2	324	1	PF00264 (Tyrosinase)	—	83-100: Tyrosinase copper-binding
A0A1L7V991	378	1	PF00264 (Tyrosinase)	—	290-301: Tyrosinase copper-binding
A0A1L7VVU2	338	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
