accession	pool	length	ndom_chainsaw	pfam_id	pfam_name	env_from	env_to	dom_evalue	description
A0A016T1G5	canonical	867	5	PF00264	Tyrosinase	347	537	4.6e-33	Common central domain of tyrosinase
A0A016TKY1	canonical	599	3	PF00264	Tyrosinase	140	331	8.2e-37	Common central domain of tyrosinase
A0A016TKY1	canonical	599	3	PF01549	ShK	503	538	5.0e-06	ShK domain-like
A0A016TKY1	canonical	599	3	PF01549	ShK	547	582	7.3e-09	ShK domain-like
A0A016UL52	canonical	759	4	PF00264	Tyrosinase	142	328	3.0e-34	Common central domain of tyrosinase
A0A016ULR3	canonical	702	4	PF00264	Tyrosinase	85	271	2.6e-34	Common central domain of tyrosinase
A0A016VBJ0	canonical	801	4	PF00264	Tyrosinase	205	396	2.5e-35	Common central domain of tyrosinase
A0A016VBJ0	canonical	801	4	PF01549	ShK	535	570	1.7e-06	ShK domain-like
A0A016VBJ0	canonical	801	4	PF01549	ShK	579	614	2.1e-09	ShK domain-like
A0A016VBJ0	canonical	801	4	PF01549	ShK	643	678	1.5e-06	ShK domain-like
A0A016VBJ0	canonical	801	4	PF01549	ShK	687	721	2.1e-08	ShK domain-like
A0A016VC89	canonical	894	3	PF00264	Tyrosinase	205	396	3.1e-35	Common central domain of tyrosinase
A0A016VC89	canonical	894	3	PF01549	ShK	535	570	1.9e-06	ShK domain-like
A0A016VC89	canonical	894	3	PF01549	ShK	579	614	2.4e-09	ShK domain-like
A0A016VC89	canonical	894	3	PF01549	ShK	643	678	1.7e-06	ShK domain-like
A0A016VC89	canonical	894	3	PF01549	ShK	687	721	2.3e-08	ShK domain-like
A0A016VDA3	canonical	731	4	PF00264	Tyrosinase	135	326	2.2e-35	Common central domain of tyrosinase
A0A016VDA3	canonical	731	4	PF01549	ShK	465	500	1.5e-06	ShK domain-like
A0A016VDA3	canonical	731	4	PF01549	ShK	509	544	1.9e-09	ShK domain-like
A0A016VDA3	canonical	731	4	PF01549	ShK	573	608	1.3e-06	ShK domain-like
A0A016VDA3	canonical	731	4	PF01549	ShK	617	651	1.8e-08	ShK domain-like
A0A016VE53	canonical	824	3	PF00264	Tyrosinase	135	326	2.7e-35	Common central domain of tyrosinase
A0A016VE53	canonical	824	3	PF01549	ShK	465	500	1.7e-06	ShK domain-like
A0A016VE53	canonical	824	3	PF01549	ShK	509	544	2.1e-09	ShK domain-like
A0A016VE53	canonical	824	3	PF01549	ShK	573	608	1.5e-06	ShK domain-like
A0A016VE53	canonical	824	3	PF01549	ShK	617	651	2.1e-08	ShK domain-like
A0A016VS08	canonical	475	2	PF00264	Tyrosinase	151	344	2.0e-27	Common central domain of tyrosinase
A0A016W0V7	canonical	618	3	PF00264	Tyrosinase	135	325	1.3e-39	Common central domain of tyrosinase
A0A016W0V7	canonical	618	3	PF01549	ShK	460	495	8.5e-04	ShK domain-like
A0A016W0V7	canonical	618	3	PF01549	ShK	504	539	5.1e-09	ShK domain-like
A0A016W1G3	canonical	629	3	PF00264	Tyrosinase	146	336	1.3e-39	Common central domain of tyrosinase
A0A016W1G3	canonical	629	3	PF01549	ShK	471	506	8.6e-04	ShK domain-like
A0A016W1G3	canonical	629	3	PF01549	ShK	515	550	5.3e-09	ShK domain-like
A0A016W1Z7	discarded	233	2	PF00264	Tyrosinase	3	111	3.6e-13	Common central domain of tyrosinase
A0A016W210	discarded	285	1	PF00264	Tyrosinase	124	249	3.3e-15	Common central domain of tyrosinase
A0A016W215	noncanonical	367	3	PF00264	Tyrosinase	60	252	1.0e-25	Common central domain of tyrosinase
A0A016W255	discarded	240	2	PF00264	Tyrosinase	3	111	3.9e-13	Common central domain of tyrosinase
A0A016W259	canonical	430	1	PF00264	Tyrosinase	128	321	4.4e-34	Common central domain of tyrosinase
A0A016W267	discarded	139	1	PF00264	Tyrosinase	1	30	6.4e-09	Common central domain of tyrosinase
A0A016W313	canonical	456	2	PF00264	Tyrosinase	128	321	5.0e-34	Common central domain of tyrosinase
A0A016W316	discarded	114	1	PF00264	Tyrosinase	6	104	5.7e-17	Common central domain of tyrosinase
A0A016W324	noncanonical	442	3	PF00264	Tyrosinase	135	327	1.6e-25	Common central domain of tyrosinase
A0A016W3A4	canonical	602	3	PF00264	Tyrosinase	135	325	1.2e-39	Common central domain of tyrosinase
A0A016W3A4	canonical	602	3	PF01549	ShK	460	495	8.2e-04	ShK domain-like
A0A016W3A4	canonical	602	3	PF01549	ShK	504	539	5.0e-09	ShK domain-like
A0A016W3W4	canonical	327	1	PF00264	Tyrosinase	124	317	4.0e-34	Common central domain of tyrosinase
A0A016W3W9	discarded	146	2	PF00264	Tyrosinase	1	30	5.1e-09	Common central domain of tyrosinase
A0A016WCE7	canonical	490	3	PF00264	Tyrosinase	17	224	5.3e-30	Common central domain of tyrosinase
A0A016WCE7	canonical	490	3	PF01549	ShK	357	392	2.2e-05	ShK domain-like
A0A016WCE7	canonical	490	3	PF01549	ShK	401	436	5.5e-06	ShK domain-like
A0A016WQP8	canonical	728	2	PF00264	Tyrosinase	343	538	1.4e-35	Common central domain of tyrosinase
A0A016WQV2	canonical	766	3	PF00264	Tyrosinase	343	538	1.5e-35	Common central domain of tyrosinase
A0A016WQV2	canonical	766	3	PF01549	ShK	677	712	3.6e-04	ShK domain-like
A0A016WQV2	canonical	766	3	PF01549	ShK	722	757	1.7e-08	ShK domain-like
A0A017S513	discarded	586	3	PF00264	Tyrosinase	67	338	1.4e-22	Common central domain of tyrosinase
A0A017S513	discarded	586	3	PF18132	Tyrosinase_C	427	548	5.6e-16	Tyrosinase C-terminal domain
A0A017SD63	canonical	385	1	PF00264	Tyrosinase	99	328	9.4e-61	Common central domain of tyrosinase
A0A017SF68	canonical	622	2	PF00264	Tyrosinase	59	358	2.1e-46	Common central domain of tyrosinase
A0A017SF68	canonical	622	2	PF18132	Tyrosinase_C	457	584	3.1e-23	Tyrosinase C-terminal domain
A0A022QC39	canonical	590	2	PF00264	Tyrosinase	175	379	1.8e-33	Common central domain of tyrosinase
A0A022QC39	canonical	590	2	PF12142	PPO1_DWL	390	441	3.7e-23	Polyphenol oxidase middle domain
A0A022QC39	canonical	590	2	PF12143	PPO1_KFDV	464	582	3.3e-33	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A022QE60	canonical	583	2	PF00264	Tyrosinase	165	372	1.1e-35	Common central domain of tyrosinase
A0A022QE60	canonical	583	2	PF12142	PPO1_DWL	381	432	2.5e-21	Polyphenol oxidase middle domain
A0A022QE60	canonical	583	2	PF12143	PPO1_KFDV	453	579	1.1e-48	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A022QG63	canonical	587	2	PF00264	Tyrosinase	171	376	7.9e-35	Common central domain of tyrosinase
A0A022QG63	canonical	587	2	PF12142	PPO1_DWL	387	438	1.9e-24	Polyphenol oxidase middle domain
A0A022QG63	canonical	587	2	PF12143	PPO1_KFDV	460	578	6.3e-32	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A022QL39	canonical	587	2	PF00264	Tyrosinase	162	370	6.4e-38	Common central domain of tyrosinase
A0A022QL39	canonical	587	2	PF12142	PPO1_DWL	376	427	1.2e-26	Polyphenol oxidase middle domain
A0A022QL39	canonical	587	2	PF12143	PPO1_KFDV	458	585	1.2e-50	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A022R0C6	canonical	585	2	PF00264	Tyrosinase	170	377	3.7e-35	Common central domain of tyrosinase
A0A022R0C6	canonical	585	2	PF12142	PPO1_DWL	384	435	5.1e-23	Polyphenol oxidase middle domain
A0A022R0C6	canonical	585	2	PF12143	PPO1_KFDV	457	583	6.5e-46	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A022R0D6	canonical	471	2	PF00264	Tyrosinase	33	240	2.9e-35	Common central domain of tyrosinase
A0A022R0D6	canonical	471	2	PF12142	PPO1_DWL	249	300	8.1e-20	Polyphenol oxidase middle domain
A0A022R0D6	canonical	471	2	PF12143	PPO1_KFDV	321	441	1.3e-31	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A022R0D9	discarded	224	1	PF00264	Tyrosinase	169	223	2.2e-08	Common central domain of tyrosinase
A0A022R1L2	canonical	581	2	PF00264	Tyrosinase	170	376	3.7e-32	Common central domain of tyrosinase
A0A022R1L2	canonical	581	2	PF12142	PPO1_DWL	383	434	4.8e-25	Polyphenol oxidase middle domain
A0A022R1L2	canonical	581	2	PF12143	PPO1_KFDV	456	575	1.7e-34	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A022R1L7	canonical	594	2	PF00264	Tyrosinase	169	375	7.4e-36	Common central domain of tyrosinase
A0A022R1L7	canonical	594	2	PF12142	PPO1_DWL	386	437	3.0e-23	Polyphenol oxidase middle domain
A0A022R1L7	canonical	594	2	PF12143	PPO1_KFDV	460	578	3.7e-32	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A022R3H9	canonical	598	2	PF00264	Tyrosinase	167	373	2.1e-34	Common central domain of tyrosinase
A0A022R3H9	canonical	598	2	PF12142	PPO1_DWL	382	433	4.3e-20	Polyphenol oxidase middle domain
A0A022R3H9	canonical	598	2	PF12143	PPO1_KFDV	453	573	4.6e-31	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A022R5P3	canonical	597	2	PF00264	Tyrosinase	173	380	1.4e-34	Common central domain of tyrosinase
A0A022R5P3	canonical	597	2	PF12142	PPO1_DWL	391	442	6.9e-22	Polyphenol oxidase middle domain
A0A022R5P3	canonical	597	2	PF12143	PPO1_KFDV	465	579	1.9e-26	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A022WGP6	canonical	634	2	PF00264	Tyrosinase	76	319	6.1e-46	Common central domain of tyrosinase
A0A022WGP6	canonical	634	2	PF18132	Tyrosinase_C	476	598	1.4e-26	Tyrosinase C-terminal domain
A0A022Y7J2	canonical	634	2	PF00264	Tyrosinase	76	319	6.1e-46	Common central domain of tyrosinase
A0A022Y7J2	canonical	634	2	PF18132	Tyrosinase_C	476	598	1.4e-26	Tyrosinase C-terminal domain
A0A023GU59	noncanonical	599	2	PF00264	Tyrosinase	173	382	4.2e-34	Common central domain of tyrosinase
A0A023GU59	noncanonical	599	2	PF12142	PPO1_DWL	388	439	2.0e-27	Polyphenol oxidase middle domain
A0A023GU59	noncanonical	599	2	PF12143	PPO1_KFDV	470	596	1.7e-54	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A023PMD2	canonical	554	2	PF00264	Tyrosinase	140	349	7.5e-34	Common central domain of tyrosinase
A0A023PMD2	canonical	554	2	PF12142	PPO1_DWL	355	406	9.6e-29	Polyphenol oxidase middle domain
A0A023PMD2	canonical	554	2	PF12143	PPO1_KFDV	419	552	1.5e-40	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A023PN01	canonical	554	2	PF00264	Tyrosinase	140	349	3.9e-34	Common central domain of tyrosinase
A0A023PN01	canonical	554	2	PF12142	PPO1_DWL	355	406	1.0e-28	Polyphenol oxidase middle domain
A0A023PN01	canonical	554	2	PF12143	PPO1_KFDV	419	552	3.6e-40	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A023PNV8	canonical	553	2	PF00264	Tyrosinase	139	348	6.4e-34	Common central domain of tyrosinase
A0A023PNV8	canonical	553	2	PF12142	PPO1_DWL	354	405	7.6e-29	Polyphenol oxidase middle domain
A0A023PNV8	canonical	553	2	PF12143	PPO1_KFDV	418	551	5.5e-42	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A023PP81	canonical	553	2	PF00264	Tyrosinase	139	348	7.0e-34	Common central domain of tyrosinase
A0A023PP81	canonical	553	2	PF12142	PPO1_DWL	354	405	1.0e-28	Polyphenol oxidase middle domain
A0A023PP81	canonical	553	2	PF12143	PPO1_KFDV	418	551	5.9e-41	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A023WF78	discarded	177	1	PF00264	Tyrosinase	112	177	3.5e-10	Common central domain of tyrosinase
A0A023WF84	discarded	177	1	PF00264	Tyrosinase	112	177	3.5e-10	Common central domain of tyrosinase
A0A023WF90	discarded	176	1	PF00264	Tyrosinase	111	176	3.5e-10	Common central domain of tyrosinase
A0A023WF96	discarded	177	1	PF00264	Tyrosinase	112	177	3.5e-10	Common central domain of tyrosinase
A0A023WFC0	discarded	177	1	PF00264	Tyrosinase	112	177	2.2e-10	Common central domain of tyrosinase
A0A023WFC4	discarded	177	1	PF00264	Tyrosinase	112	177	3.5e-10	Common central domain of tyrosinase
A0A023WFC9	discarded	177	1	PF00264	Tyrosinase	112	177	2.0e-10	Common central domain of tyrosinase
A0A023WFD4	discarded	176	1	PF00264	Tyrosinase	112	176	2.6e-09	Common central domain of tyrosinase
A0A023WFD9	discarded	177	1	PF00264	Tyrosinase	112	177	3.9e-10	Common central domain of tyrosinase
A0A023WFR6	discarded	177	1	PF00264	Tyrosinase	112	177	2.2e-10	Common central domain of tyrosinase
A0A023WFS1	discarded	177	1	PF00264	Tyrosinase	112	177	1.8e-10	Common central domain of tyrosinase
A0A023WFS6	discarded	176	1	PF00264	Tyrosinase	112	176	2.6e-09	Common central domain of tyrosinase
A0A023WFT2	discarded	176	1	PF00264	Tyrosinase	111	176	3.5e-10	Common central domain of tyrosinase
A0A023WGB6	discarded	177	1	PF00264	Tyrosinase	112	177	2.2e-10	Common central domain of tyrosinase
A0A023WGB9	discarded	177	1	PF00264	Tyrosinase	112	177	1.8e-10	Common central domain of tyrosinase
A0A023WGC5	discarded	177	1	PF00264	Tyrosinase	112	177	3.5e-10	Common central domain of tyrosinase
A0A023WGD7	discarded	174	1	PF00264	Tyrosinase	109	174	3.4e-10	Common central domain of tyrosinase
A0A023WGM6	discarded	177	1	PF00264	Tyrosinase	112	177	2.2e-10	Common central domain of tyrosinase
A0A023WGN1	discarded	177	1	PF00264	Tyrosinase	112	177	1.8e-10	Common central domain of tyrosinase
A0A023WGN6	discarded	176	1	PF00264	Tyrosinase	112	176	2.6e-09	Common central domain of tyrosinase
A0A023WGP1	discarded	175	1	PF00264	Tyrosinase	110	175	3.4e-10	Common central domain of tyrosinase
A0A023WGP6	discarded	175	1	PF00264	Tyrosinase	111	175	3.7e-10	Common central domain of tyrosinase
A0A024CHG7	canonical	453	2	PF00264	Tyrosinase	132	332	7.5e-37	Common central domain of tyrosinase
A0A024CHH0	canonical	200	2	PF00264	Tyrosinase	6	200	1.3e-35	Common central domain of tyrosinase
A0A024CHU4	canonical	438	1	PF00264	Tyrosinase	129	323	4.0e-35	Common central domain of tyrosinase
A0A024CHU9	canonical	434	1	PF00264	Tyrosinase	76	269	3.5e-39	Common central domain of tyrosinase
A0A024CI03	canonical	523	2	PF00264	Tyrosinase	130	307	1.6e-29	Common central domain of tyrosinase
A0A024CI05	canonical	212	1	PF00264	Tyrosinase	8	202	1.5e-36	Common central domain of tyrosinase
A0A024CIJ0	canonical	373	1	PF00264	Tyrosinase	83	261	2.8e-37	Common central domain of tyrosinase
A0A024CIJ4	canonical	389	2	PF00264	Tyrosinase	80	274	3.0e-35	Common central domain of tyrosinase
A0A024CIJ8	canonical	265	2	PF00264	Tyrosinase	27	213	3.2e-38	Common central domain of tyrosinase
A0A024CJP7	canonical	456	2	PF00264	Tyrosinase	135	335	2.3e-37	Common central domain of tyrosinase
A0A024CJQ0	canonical	295	2	PF00264	Tyrosinase	8	202	4.6e-36	Common central domain of tyrosinase
A0A024DBG7	canonical	529	2	PF00264	Tyrosinase	170	403	3.8e-43	Common central domain of tyrosinase
A0A024FBC3	discarded	203	2	PF00264	Tyrosinase	133	202	2.4e-16	Common central domain of tyrosinase
A0A024FR46	canonical	607	2	PF00264	Tyrosinase	180	388	1.8e-35	Common central domain of tyrosinase
A0A024FR46	canonical	607	2	PF12142	PPO1_DWL	395	446	7.8e-25	Polyphenol oxidase middle domain
A0A024FR46	canonical	607	2	PF12143	PPO1_KFDV	477	604	4.9e-54	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A024FS61	canonical	602	2	PF00264	Tyrosinase	175	384	2.9e-37	Common central domain of tyrosinase
A0A024FS61	canonical	602	2	PF12142	PPO1_DWL	390	441	5.5e-28	Polyphenol oxidase middle domain
A0A024FS61	canonical	602	2	PF12143	PPO1_KFDV	473	600	3.9e-54	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A024FZ14	canonical	549	2	PF00264	Tyrosinase	75	285	5.8e-24	Common central domain of tyrosinase
A0A024GPM3	canonical	562	2	PF00264	Tyrosinase	52	260	2.1e-24	Common central domain of tyrosinase
A0A024GR18	discarded	560	1	PF00264	Tyrosinase	2	150	4.2e-07	Common central domain of tyrosinase
A0A024S4X8	canonical	623	2	PF00264	Tyrosinase	89	347	5.5e-46	Common central domain of tyrosinase
A0A024S4X8	canonical	623	2	PF18132	Tyrosinase_C	479	595	9.3e-30	Tyrosinase C-terminal domain
A0A024SD58	canonical	590	3	PF00264	Tyrosinase	145	365	3.8e-21	Common central domain of tyrosinase
A0A024SJR1	canonical	561	2	PF00264	Tyrosinase	71	313	2.0e-43	Common central domain of tyrosinase
A0A024T832	discarded	137	1	PF00264	Tyrosinase	2	72	7.6e-09	Common central domain of tyrosinase
A0A024T961	canonical	705	3	PF00264	Tyrosinase	256	472	4.6e-24	Common central domain of tyrosinase
A0A024T9U4	canonical	615	3	PF00024	PAN_1	28	94	2.1e-06	PAN domain
A0A024T9U4	canonical	615	3	PF14295	PAN_4	35	79	2.1e-07	PAN domain
A0A024T9U4	canonical	615	3	PF00264	Tyrosinase	176	390	2.6e-25	Common central domain of tyrosinase
A0A024TEL4	canonical	897	6	PF00024	PAN_1	29	97	5.8e-04	PAN domain
A0A024TEL4	canonical	897	6	PF14295	PAN_4	36	79	6.1e-07	PAN domain
A0A024TEL4	canonical	897	6	PF00024	PAN_1	102	166	1.4e-04	PAN domain
A0A024TEL4	canonical	897	6	PF14295	PAN_4	107	148	1.9e-06	PAN domain
A0A024TEL4	canonical	897	6	PF00024	PAN_1	178	239	9.1e-04	PAN domain
A0A024TEL4	canonical	897	6	PF14295	PAN_4	180	221	1.6e-05	PAN domain
A0A024TEL4	canonical	897	6	PF00024	PAN_1	255	327	2.4e-05	PAN domain
A0A024TEL4	canonical	897	6	PF14295	PAN_4	262	303	5.3e-07	PAN domain
A0A024TEL4	canonical	897	6	PF00024	PAN_1	327	394	1.3e-04	PAN domain
A0A024TEL4	canonical	897	6	PF14295	PAN_4	334	376	1.0e-05	PAN domain
A0A024TEL4	canonical	897	6	PF00264	Tyrosinase	466	662	1.4e-24	Common central domain of tyrosinase
A0A024TMR4	canonical	515	2	PF00264	Tyrosinase	56	273	4.5e-25	Common central domain of tyrosinase
A0A024TN69	canonical	511	2	PF00264	Tyrosinase	53	265	1.5e-22	Common central domain of tyrosinase
A0A024TPQ1	discarded	667	4	PF14295	PAN_4	28	72	8.2e-07	PAN domain
A0A024TPQ1	discarded	667	4	PF14295	PAN_4	105	149	5.7e-07	PAN domain
A0A024TPQ1	discarded	667	4	PF00264	Tyrosinase	348	443	1.9e-09	Common central domain of tyrosinase
A0A024TRP2	discarded	390	3	PF14295	PAN_4	28	72	3.7e-07	PAN domain
A0A024TRP2	discarded	390	3	PF14295	PAN_4	105	149	2.8e-07	PAN domain
A0A024TRP2	discarded	390	3	PF00264	Tyrosinase	267	369	7.6e-13	Common central domain of tyrosinase
A0A024U9A0	discarded	396	3	PF00264	Tyrosinase	11	146	2.3e-13	Common central domain of tyrosinase
A0A024UGQ1	noncanonical	599	1	PF00264	Tyrosinase	159	361	4.1e-10	Common central domain of tyrosinase
A0A024UNS3	canonical	597	3	PF00264	Tyrosinase	161	372	5.4e-29	Common central domain of tyrosinase
A0A024UP64	canonical	590	2	PF00264	Tyrosinase	248	459	5.7e-29	Common central domain of tyrosinase
A0A024URD5	canonical	509	2	PF00264	Tyrosinase	64	273	1.8e-23	Common central domain of tyrosinase
A0A058ZVU6	discarded	337	2	PF00264	Tyrosinase	3	137	7.5e-13	Common central domain of tyrosinase
A0A058ZVU6	discarded	337	2	PF12142	PPO1_DWL	144	195	2.7e-26	Polyphenol oxidase middle domain
A0A058ZVU6	discarded	337	2	PF12143	PPO1_KFDV	223	337	1.5e-46	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A058ZW33	canonical	595	2	PF00264	Tyrosinase	173	380	3.4e-38	Common central domain of tyrosinase
A0A058ZW33	canonical	595	2	PF12142	PPO1_DWL	387	438	5.1e-26	Polyphenol oxidase middle domain
A0A058ZW33	canonical	595	2	PF12143	PPO1_KFDV	466	593	4.4e-50	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A058ZX16	discarded	226	1	PF00264	Tyrosinase	173	226	2.2e-08	Common central domain of tyrosinase
A0A059CCV1	canonical	601	2	PF00264	Tyrosinase	177	386	4.7e-39	Common central domain of tyrosinase
A0A059CCV1	canonical	601	2	PF12142	PPO1_DWL	393	444	3.7e-27	Polyphenol oxidase middle domain
A0A059CCV1	canonical	601	2	PF12143	PPO1_KFDV	472	599	3.4e-54	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A059CDE4	canonical	659	2	PF00264	Tyrosinase	237	444	3.5e-36	Common central domain of tyrosinase
A0A059CDE4	canonical	659	2	PF12142	PPO1_DWL	451	502	1.3e-26	Polyphenol oxidase middle domain
A0A059CDE4	canonical	659	2	PF12143	PPO1_KFDV	530	657	3.7e-50	Chloroplastic Polyphenol Oxidase C-terminal domain
A0A059F260	canonical	317	2	PF00264	Tyrosinase	51	151	1.1e-14	Common central domain of tyrosinase
A0A059F260	canonical	317	2	PF00264	Tyrosinase	121	219	4.4e-12	Common central domain of tyrosinase
A0A059JJQ6	canonical	625	2	PF00264	Tyrosinase	76	319	6.9e-46	Common central domain of tyrosinase
A0A059JJQ6	canonical	625	2	PF18132	Tyrosinase_C	467	589	8.7e-23	Tyrosinase C-terminal domain
A0A059TZU2	canonical	537	1	PF00264	Tyrosinase	182	417	6.3e-36	Common central domain of tyrosinase
