accession	pool	length	ndom_chainsaw	n_pfam_domains	architecture	extra_domains	extra_pfam_ids
A0A015J8T7	discarded	156	1	0	no_pfam_hit	none	none
A0A016RWG9	canonical	473	2	1	Tyrosinase(155-348)	none	none
A0A016RXK8	canonical	461	2	1	Tyrosinase(143-336)	none	none
A0A016S930	canonical	580	3	1	Tyrosinase(158-349)	none	none
A0A016SJ50	canonical	550	3	3	Tyrosinase(144-335) | ShK(464-499) | ShK(509-544)	ShK(464-499) | ShK(509-544)	PF01549
A0A016SK14	canonical	532	3	3	Tyrosinase(126-317) | ShK(446-481) | ShK(491-526)	ShK(446-481) | ShK(491-526)	PF01549
A0A016T0A5	canonical	952	6	5	Tyrosinase(347-537) | ShK(697-732) | ShK(741-774) | ShK(815-852) | ShK(865-900)	ShK(697-732) | ShK(741-774) | ShK(815-852) | ShK(865-900)	PF01549
A0A016T1G5	canonical	867	5	1	Tyrosinase(347-537)	none	none
A0A016TKY1	canonical	599	3	3	Tyrosinase(140-331) | ShK(503-538) | ShK(547-582)	ShK(503-538) | ShK(547-582)	PF01549
A0A016UL52	canonical	759	4	1	Tyrosinase(142-328)	none	none
A0A016ULR3	canonical	702	4	1	Tyrosinase(85-271)	none	none
A0A016VBJ0	canonical	801	4	5	Tyrosinase(205-396) | ShK(535-570) | ShK(579-614) | ShK(643-678) | ShK(687-721)	ShK(535-570) | ShK(579-614) | ShK(643-678) | ShK(687-721)	PF01549
A0A016VC89	canonical	894	3	5	Tyrosinase(205-396) | ShK(535-570) | ShK(579-614) | ShK(643-678) | ShK(687-721)	ShK(535-570) | ShK(579-614) | ShK(643-678) | ShK(687-721)	PF01549
A0A016VDA3	canonical	731	4	5	Tyrosinase(135-326) | ShK(465-500) | ShK(509-544) | ShK(573-608) | ShK(617-651)	ShK(465-500) | ShK(509-544) | ShK(573-608) | ShK(617-651)	PF01549
A0A016VE53	canonical	824	3	5	Tyrosinase(135-326) | ShK(465-500) | ShK(509-544) | ShK(573-608) | ShK(617-651)	ShK(465-500) | ShK(509-544) | ShK(573-608) | ShK(617-651)	PF01549
A0A016VS08	canonical	475	2	1	Tyrosinase(151-344)	none	none
A0A016W0V7	canonical	618	3	3	Tyrosinase(135-325) | ShK(460-495) | ShK(504-539)	ShK(460-495) | ShK(504-539)	PF01549
A0A016W1E9	discarded	199	2	0	no_pfam_hit	none	none
A0A016W1G3	canonical	629	3	3	Tyrosinase(146-336) | ShK(471-506) | ShK(515-550)	ShK(471-506) | ShK(515-550)	PF01549
A0A016W1Z7	discarded	233	2	1	Tyrosinase(3-111)	none	none
A0A016W210	discarded	285	1	1	Tyrosinase(124-249)	none	none
A0A016W215	noncanonical	367	3	1	Tyrosinase(60-252)	none	none
A0A016W255	discarded	240	2	1	Tyrosinase(3-111)	none	none
A0A016W259	canonical	430	1	1	Tyrosinase(128-321)	none	none
A0A016W267	discarded	139	1	1	Tyrosinase(1-30)	none	none
A0A016W313	canonical	456	2	1	Tyrosinase(128-321)	none	none
A0A016W316	discarded	114	1	1	Tyrosinase(6-104)	none	none
A0A016W324	noncanonical	442	3	1	Tyrosinase(135-327)	none	none
A0A016W3A4	canonical	602	3	3	Tyrosinase(135-325) | ShK(460-495) | ShK(504-539)	ShK(460-495) | ShK(504-539)	PF01549
A0A016W3W4	canonical	327	1	1	Tyrosinase(124-317)	none	none
A0A016W3W9	discarded	146	2	1	Tyrosinase(1-30)	none	none
A0A016WCE7	canonical	490	3	3	Tyrosinase(17-224) | ShK(357-392) | ShK(401-436)	ShK(357-392) | ShK(401-436)	PF01549
A0A016WQP8	canonical	728	2	1	Tyrosinase(343-538)	none	none
A0A016WQV2	canonical	766	3	3	Tyrosinase(343-538) | ShK(677-712) | ShK(722-757)	ShK(677-712) | ShK(722-757)	PF01549
A0A017S513	discarded	586	3	2	Tyrosinase(67-338) | Tyrosinase_C(427-548)	none	none
A0A017SD63	canonical	385	1	1	Tyrosinase(99-328)	none	none
A0A017SF68	canonical	622	2	2	Tyrosinase(59-358) | Tyrosinase_C(457-584)	none	none
A0A022QC39	canonical	590	2	3	Tyrosinase(175-379) | PPO1_DWL(390-441) | PPO1_KFDV(464-582)	PPO1_DWL(390-441) | PPO1_KFDV(464-582)	PF12142;PF12143
A0A022QE60	canonical	583	2	3	Tyrosinase(165-372) | PPO1_DWL(381-432) | PPO1_KFDV(453-579)	PPO1_DWL(381-432) | PPO1_KFDV(453-579)	PF12142;PF12143
A0A022QG63	canonical	587	2	3	Tyrosinase(171-376) | PPO1_DWL(387-438) | PPO1_KFDV(460-578)	PPO1_DWL(387-438) | PPO1_KFDV(460-578)	PF12142;PF12143
A0A022QL39	canonical	587	2	3	Tyrosinase(162-370) | PPO1_DWL(376-427) | PPO1_KFDV(458-585)	PPO1_DWL(376-427) | PPO1_KFDV(458-585)	PF12142;PF12143
A0A022R0C6	canonical	585	2	3	Tyrosinase(170-377) | PPO1_DWL(384-435) | PPO1_KFDV(457-583)	PPO1_DWL(384-435) | PPO1_KFDV(457-583)	PF12142;PF12143
A0A022R0D6	canonical	471	2	3	Tyrosinase(33-240) | PPO1_DWL(249-300) | PPO1_KFDV(321-441)	PPO1_DWL(249-300) | PPO1_KFDV(321-441)	PF12142;PF12143
A0A022R0D9	discarded	224	1	1	Tyrosinase(169-223)	none	none
A0A022R1L2	canonical	581	2	3	Tyrosinase(170-376) | PPO1_DWL(383-434) | PPO1_KFDV(456-575)	PPO1_DWL(383-434) | PPO1_KFDV(456-575)	PF12142;PF12143
A0A022R1L7	canonical	594	2	3	Tyrosinase(169-375) | PPO1_DWL(386-437) | PPO1_KFDV(460-578)	PPO1_DWL(386-437) | PPO1_KFDV(460-578)	PF12142;PF12143
A0A022R3H9	canonical	598	2	3	Tyrosinase(167-373) | PPO1_DWL(382-433) | PPO1_KFDV(453-573)	PPO1_DWL(382-433) | PPO1_KFDV(453-573)	PF12142;PF12143
A0A022R5P3	canonical	597	2	3	Tyrosinase(173-380) | PPO1_DWL(391-442) | PPO1_KFDV(465-579)	PPO1_DWL(391-442) | PPO1_KFDV(465-579)	PF12142;PF12143
A0A022WGP6	canonical	634	2	2	Tyrosinase(76-319) | Tyrosinase_C(476-598)	none	none
A0A022Y7J2	canonical	634	2	2	Tyrosinase(76-319) | Tyrosinase_C(476-598)	none	none
A0A023GU59	noncanonical	599	2	3	Tyrosinase(173-382) | PPO1_DWL(388-439) | PPO1_KFDV(470-596)	PPO1_DWL(388-439) | PPO1_KFDV(470-596)	PF12142;PF12143
A0A023PMD2	canonical	554	2	3	Tyrosinase(140-349) | PPO1_DWL(355-406) | PPO1_KFDV(419-552)	PPO1_DWL(355-406) | PPO1_KFDV(419-552)	PF12142;PF12143
A0A023PN01	canonical	554	2	3	Tyrosinase(140-349) | PPO1_DWL(355-406) | PPO1_KFDV(419-552)	PPO1_DWL(355-406) | PPO1_KFDV(419-552)	PF12142;PF12143
A0A023PNV8	canonical	553	2	3	Tyrosinase(139-348) | PPO1_DWL(354-405) | PPO1_KFDV(418-551)	PPO1_DWL(354-405) | PPO1_KFDV(418-551)	PF12142;PF12143
A0A023PP81	canonical	553	2	3	Tyrosinase(139-348) | PPO1_DWL(354-405) | PPO1_KFDV(418-551)	PPO1_DWL(354-405) | PPO1_KFDV(418-551)	PF12142;PF12143
A0A023WF78	discarded	177	1	1	Tyrosinase(112-177)	none	none
A0A023WF84	discarded	177	1	1	Tyrosinase(112-177)	none	none
A0A023WF90	discarded	176	1	1	Tyrosinase(111-176)	none	none
A0A023WF96	discarded	177	1	1	Tyrosinase(112-177)	none	none
A0A023WFC0	discarded	177	1	1	Tyrosinase(112-177)	none	none
A0A023WFC4	discarded	177	1	1	Tyrosinase(112-177)	none	none
A0A023WFC9	discarded	177	1	1	Tyrosinase(112-177)	none	none
A0A023WFD4	discarded	176	1	1	Tyrosinase(112-176)	none	none
A0A023WFD9	discarded	177	1	1	Tyrosinase(112-177)	none	none
A0A023WFR6	discarded	177	1	1	Tyrosinase(112-177)	none	none
A0A023WFS1	discarded	177	1	1	Tyrosinase(112-177)	none	none
A0A023WFS6	discarded	176	1	1	Tyrosinase(112-176)	none	none
A0A023WFT2	discarded	176	1	1	Tyrosinase(111-176)	none	none
A0A023WGB6	discarded	177	1	1	Tyrosinase(112-177)	none	none
A0A023WGB9	discarded	177	1	1	Tyrosinase(112-177)	none	none
A0A023WGC5	discarded	177	1	1	Tyrosinase(112-177)	none	none
A0A023WGD1	discarded	160	1	0	no_pfam_hit	none	none
A0A023WGD7	discarded	174	1	1	Tyrosinase(109-174)	none	none
A0A023WGM6	discarded	177	1	1	Tyrosinase(112-177)	none	none
A0A023WGN1	discarded	177	1	1	Tyrosinase(112-177)	none	none
A0A023WGN6	discarded	176	1	1	Tyrosinase(112-176)	none	none
A0A023WGP1	discarded	175	1	1	Tyrosinase(110-175)	none	none
A0A023WGP6	discarded	175	1	1	Tyrosinase(111-175)	none	none
A0A024CHG7	canonical	453	2	1	Tyrosinase(132-332)	none	none
A0A024CHH0	canonical	200	2	1	Tyrosinase(6-200)	none	none
A0A024CHU4	canonical	438	1	1	Tyrosinase(129-323)	none	none
A0A024CHU9	canonical	434	1	1	Tyrosinase(76-269)	none	none
A0A024CI03	canonical	523	2	1	Tyrosinase(130-307)	none	none
A0A024CI05	canonical	212	1	1	Tyrosinase(8-202)	none	none
A0A024CIJ0	canonical	373	1	1	Tyrosinase(83-261)	none	none
A0A024CIJ4	canonical	389	2	1	Tyrosinase(80-274)	none	none
A0A024CIJ8	canonical	265	2	1	Tyrosinase(27-213)	none	none
A0A024CJP7	canonical	456	2	1	Tyrosinase(135-335)	none	none
A0A024CJQ0	canonical	295	2	1	Tyrosinase(8-202)	none	none
A0A024DBG7	canonical	529	2	1	Tyrosinase(170-403)	none	none
A0A024FBC3	discarded	203	2	1	Tyrosinase(133-202)	none	none
A0A024FR46	canonical	607	2	3	Tyrosinase(180-388) | PPO1_DWL(395-446) | PPO1_KFDV(477-604)	PPO1_DWL(395-446) | PPO1_KFDV(477-604)	PF12142;PF12143
A0A024FS61	canonical	602	2	3	Tyrosinase(175-384) | PPO1_DWL(390-441) | PPO1_KFDV(473-600)	PPO1_DWL(390-441) | PPO1_KFDV(473-600)	PF12142;PF12143
A0A024FZ14	canonical	549	2	1	Tyrosinase(75-285)	none	none
A0A024GPM3	canonical	562	2	1	Tyrosinase(52-260)	none	none
A0A024GR18	discarded	560	1	1	Tyrosinase(2-150)	none	none
A0A024S4X8	canonical	623	2	2	Tyrosinase(89-347) | Tyrosinase_C(479-595)	none	none
A0A024SD58	canonical	590	3	1	Tyrosinase(145-365)	none	none
A0A024SJR1	canonical	561	2	1	Tyrosinase(71-313)	none	none
A0A024T832	discarded	137	1	1	Tyrosinase(2-72)	none	none
A0A024T961	canonical	705	3	1	Tyrosinase(256-472)	none	none
A0A024T9U4	canonical	615	3	3	PAN_1(28-94) | PAN_4(35-79) | Tyrosinase(176-390)	PAN_1(28-94) | PAN_4(35-79)	PF00024;PF14295
A0A024TEL4	canonical	897	6	11	PAN_1(29-97) | PAN_4(36-79) | PAN_1(102-166) | PAN_4(107-148) | PAN_1(178-239) | PAN_4(180-221) | PAN_1(255-327) | PAN_4(262-303) | PAN_1(327-394) | PAN_4(334-376) | Tyrosinase(466-662)	PAN_1(29-97) | PAN_4(36-79) | PAN_1(102-166) | PAN_4(107-148) | PAN_1(178-239) | PAN_4(180-221) | PAN_1(255-327) | PAN_4(262-303) | PAN_1(327-394) | PAN_4(334-376)	PF00024;PF14295
A0A024TMR4	canonical	515	2	1	Tyrosinase(56-273)	none	none
A0A024TN69	canonical	511	2	1	Tyrosinase(53-265)	none	none
A0A024TPQ1	discarded	667	4	3	PAN_4(28-72) | PAN_4(105-149) | Tyrosinase(348-443)	PAN_4(28-72) | PAN_4(105-149)	PF14295
A0A024TRP2	discarded	390	3	3	PAN_4(28-72) | PAN_4(105-149) | Tyrosinase(267-369)	PAN_4(28-72) | PAN_4(105-149)	PF14295
A0A024U9A0	discarded	396	3	1	Tyrosinase(11-146)	none	none
A0A024UGQ1	noncanonical	599	1	1	Tyrosinase(159-361)	none	none
A0A024UNS3	canonical	597	3	1	Tyrosinase(161-372)	none	none
A0A024UP64	canonical	590	2	1	Tyrosinase(248-459)	none	none
A0A024URD5	canonical	509	2	1	Tyrosinase(64-273)	none	none
A0A058ZVU6	discarded	337	2	3	Tyrosinase(3-137) | PPO1_DWL(144-195) | PPO1_KFDV(223-337)	PPO1_DWL(144-195) | PPO1_KFDV(223-337)	PF12142;PF12143
A0A058ZW33	canonical	595	2	3	Tyrosinase(173-380) | PPO1_DWL(387-438) | PPO1_KFDV(466-593)	PPO1_DWL(387-438) | PPO1_KFDV(466-593)	PF12142;PF12143
A0A058ZX16	discarded	226	1	1	Tyrosinase(173-226)	none	none
A0A059CCV1	canonical	601	2	3	Tyrosinase(177-386) | PPO1_DWL(393-444) | PPO1_KFDV(472-599)	PPO1_DWL(393-444) | PPO1_KFDV(472-599)	PF12142;PF12143
A0A059CDE4	canonical	659	2	3	Tyrosinase(237-444) | PPO1_DWL(451-502) | PPO1_KFDV(530-657)	PPO1_DWL(451-502) | PPO1_KFDV(530-657)	PF12142;PF12143
A0A059F260	canonical	317	2	2	Tyrosinase(51-151) | Tyrosinase(121-219)	none	none
A0A059JJQ6	canonical	625	2	2	Tyrosinase(76-319) | Tyrosinase_C(467-589)	none	none
A0A059TZU2	canonical	537	1	1	Tyrosinase(182-417)	none	none
A0A059U1P9	canonical	537	1	1	Tyrosinase(182-417)	none	none
A0A059UAM0	canonical	557	2	3	Tyrosinase(145-354) | PPO1_DWL(360-411) | PPO1_KFDV(425-555)	PPO1_DWL(360-411) | PPO1_KFDV(425-555)	PF12142;PF12143
A0A060S6S8	canonical	573	2	2	Tyrosinase(54-300) | Tyrosinase_C(460-568)	none	none
A0A060SLI6	discarded	273	1	1	Tyrosinase(80-216)	none	none
A0A060WMQ6	canonical	519	1	1	Tyrosinase(177-411)	none	none
A0A060WUY0	canonical	516	2	1	Tyrosinase(178-410)	none	none
A0A060X1G5	canonical	522	1	1	Tyrosinase(172-407)	none	none
A0A060X8B7	canonical	447	2	1	Tyrosinase(172-403)	none	none
A0A060XL10	canonical	522	2	1	Tyrosinase(176-414)	none	none
A0A060ZAB7	discarded	124	1	1	Tyrosinase(2-107)	none	none
A0A061DZ45	canonical	608	2	3	Tyrosinase(186-393) | PPO1_DWL(399-450) | PPO1_KFDV(480-606)	PPO1_DWL(399-450) | PPO1_KFDV(480-606)	PF12142;PF12143
A0A061E0X0	canonical	565	2	3	Tyrosinase(143-350) | PPO1_DWL(356-407) | PPO1_KFDV(437-563)	PPO1_DWL(356-407) | PPO1_KFDV(437-563)	PF12142;PF12143
A0A061E6S7	canonical	529	2	3	Tyrosinase(107-314) | PPO1_DWL(320-371) | PPO1_KFDV(401-527)	PPO1_DWL(320-371) | PPO1_KFDV(401-527)	PF12142;PF12143
A0A061GEN3	canonical	605	2	3	Tyrosinase(177-386) | PPO1_DWL(393-444) | PPO1_KFDV(474-602)	PPO1_DWL(393-444) | PPO1_KFDV(474-602)	PF12142;PF12143
A0A061GFI2	noncanonical	538	2	3	Tyrosinase(113-322) | PPO1_DWL(327-378) | PPO1_KFDV(408-535)	PPO1_DWL(327-378) | PPO1_KFDV(408-535)	PF12142;PF12143
A0A061GFY3	canonical	618	2	3	Tyrosinase(190-399) | PPO1_DWL(405-456) | PPO1_KFDV(488-615)	PPO1_DWL(405-456) | PPO1_KFDV(488-615)	PF12142;PF12143
A0A061GFY7	canonical	602	2	3	Tyrosinase(176-384) | PPO1_DWL(391-442) | PPO1_KFDV(472-599)	PPO1_DWL(391-442) | PPO1_KFDV(472-599)	PF12142;PF12143
A0A061GMJ6	canonical	600	2	3	Tyrosinase(174-383) | PPO1_DWL(389-440) | PPO1_KFDV(470-597)	PPO1_DWL(389-440) | PPO1_KFDV(470-597)	PF12142;PF12143
A0A061GMK1	canonical	411	1	1	Tyrosinase(169-377)	none	none
A0A061HFI6	canonical	619	2	2	Tyrosinase(99-357) | Tyrosinase_C(462-584)	none	none
A0A061HSG6	canonical	584	2	2	Tyrosinase(82-327) | Tyrosinase_C(434-553)	none	none
A0A061IGF6	canonical	443	2	1	Tyrosinase(196-424)	none	none
A0A062U9V8	canonical	502	3	1	Tyrosinase(127-317)	none	none
A0A063BRM1	canonical	594	2	2	Tyrosinase(93-344) | Tyrosinase_C(452-567)	none	none
A0A066RUA7	noncanonical	471	2	1	Tyrosinase(52-258)	none	none
A0A066WXF3	canonical	529	2	1	Tyrosinase(36-329)	none	none
A0A066X3Q1	noncanonical	370	1	1	Tyrosinase(128-317)	none	none
A0A066X6L4	canonical	330	1	1	Tyrosinase(65-254)	none	none
A0A066X7V3	canonical	682	2	2	Tyrosinase(59-332) | Tyrosinase_C(509-635)	none	none
A0A066X846	canonical	380	1	1	Tyrosinase(98-324)	none	none
A0A066X9U3	canonical	761	2	2	Tyrosinase(62-345) | Tyrosinase_C(586-721)	none	none
A0A066XLM3	canonical	414	2	1	Tyrosinase(118-354)	none	none
A0A066XQD0	canonical	410	2	1	Tyrosinase(113-349)	none	none
A0A066XSE1	noncanonical	488	1	1	Tyrosinase(195-431)	none	none
A0A066XSY6	canonical	717	2	1	Tyrosinase(192-437)	none	none
A0A066XW40	canonical	639	3	2	Tyrosinase(91-342) | Tyrosinase_C(484-599)	none	none
A0A066XWR5	canonical	373	1	1	Tyrosinase(96-316)	none	none
A0A066XZ78	canonical	380	1	1	Tyrosinase(94-323)	none	none
A0A066Y1D2	canonical	393	1	1	Tyrosinase(105-336)	none	none
A0A066Y1V3	discarded	555	2	1	Tyrosinase(76-315)	none	none
A0A066Z0K1	canonical	269	1	1	Tyrosinase(8-188)	none	none
A0A067BLT8	canonical	474	2	1	Tyrosinase(55-268)	none	none
A0A067BLZ4	canonical	728	4	6	PAN_1(28-100) | PAN_4(30-74) | PAN_1(103-173) | PAN_4(107-151) | PAN_4(181-225) | Tyrosinase(337-508)	PAN_1(28-100) | PAN_4(30-74) | PAN_1(103-173) | PAN_4(107-151) | PAN_4(181-225)	PF00024;PF14295
A0A067BRT6	canonical	705	3	4	PAN_4(28-69) | PT(201-239) | Tyrosinase(312-422) | Tyrosinase(396-483)	PAN_4(28-69) | PT(201-239)	PF04886;PF14295
A0A067BTT5	canonical	511	2	1	Tyrosinase(60-273)	none	none
A0A067BUS0	canonical	494	2	1	Tyrosinase(62-275)	none	none
A0A067BX73	canonical	476	2	1	Tyrosinase(54-267)	none	none
A0A067BZH5	canonical	486	2	1	Tyrosinase(55-268)	none	none
A0A067C156	canonical	652	4	7	PAN_1(18-88) | PAN_4(25-68) | PAN_1(96-164) | PAN_4(103-146) | PAN_4(182-225) | Tyrosinase(277-362) | Tyrosinase(367-452)	PAN_1(18-88) | PAN_4(25-68) | PAN_1(96-164) | PAN_4(103-146) | PAN_4(182-225)	PF00024;PF14295
A0A067C4V3	discarded	329	2	1	Tyrosinase(68-159)	none	none
A0A067C5L8	discarded	476	2	1	Tyrosinase(43-246)	none	none
A0A067C631	canonical	498	2	1	Tyrosinase(54-267)	none	none
A0A067CPX4	canonical	464	2	1	Tyrosinase(47-255)	none	none
A0A067CT24	noncanonical	419	1	1	Tyrosinase(90-267)	none	none
A0A067CXC8	canonical	635	2	1	Tyrosinase(193-400)	none	none
A0A067CZT6	noncanonical	497	2	1	Tyrosinase(72-281)	none	none
A0A067D5R2	canonical	705	4	8	PAN_1(20-87) | PAN_4(27-70) | PAN_1(97-167) | PAN_4(104-147) | PAN_1(187-256) | PAN_4(193-236) | Tyrosinase(314-425) | Tyrosinase(428-489)	PAN_1(20-87) | PAN_4(27-70) | PAN_1(97-167) | PAN_4(104-147) | PAN_1(187-256) | PAN_4(193-236)	PF00024;PF14295
A0A067D814	canonical	806	2	1	Tyrosinase(365-572)	none	none
A0A067GK93	canonical	591	2	3	Tyrosinase(161-372) | PPO1_DWL(378-429) | PPO1_KFDV(460-588)	PPO1_DWL(378-429) | PPO1_KFDV(460-588)	PF12142;PF12143
A0A067JAU2	canonical	592	2	3	Tyrosinase(161-370) | PPO1_DWL(377-428) | PPO1_KFDV(461-589)	PPO1_DWL(377-428) | PPO1_KFDV(461-589)	PF12142;PF12143
A0A067MC03	canonical	361	2	1	Tyrosinase(91-297)	none	none
A0A067MC09	canonical	354	2	1	Tyrosinase(84-290)	none	none
A0A067ME78	discarded	545	2	2	Tyrosinase(53-277) | Tyrosinase_C(378-499)	none	none
A0A067MJR9	canonical	675	2	1	Tyrosinase(54-353)	none	none
A0A067MN37	discarded	63	1	1	Tyrosinase(1-36)	none	none
A0A067MSX0	canonical	403	2	1	Tyrosinase(116-331)	none	none
A0A067N7R8	canonical	337	1	1	Tyrosinase(70-282)	none	none
A0A067NHK1	discarded	223	1	1	Tyrosinase(53-157)	none	none
A0A067NVB7	discarded	291	1	1	Tyrosinase(18-228)	none	none
A0A067NXD0	canonical	367	1	1	Tyrosinase(78-298)	none	none
A0A067PHP8	canonical	702	2	1	Tyrosinase(77-369)	none	none
A0A067PPZ9	discarded	564	2	1	Tyrosinase(78-371)	none	none
A0A067PSS3	canonical	658	2	1	Tyrosinase(79-339)	none	none
A0A067S9C3	canonical	369	1	1	Tyrosinase(85-303)	none	none
A0A067T9P6	canonical	333	1	1	Tyrosinase(67-279)	none	none
A0A067TCE7	canonical	354	1	1	Tyrosinase(75-290)	none	none
A0A067TKM5	canonical	624	2	2	Tyrosinase(48-299) | Tyrosinase_C(471-588)	none	none
A0A067XIX1	canonical	502	2	1	Tyrosinase(177-414)	none	none
A0A068FAU8	discarded	265	1	1	Tyrosinase(170-264)	none	none
A0A068NQY3	canonical	538	2	1	Tyrosinase(58-325)	none	none
A0A068TU86	canonical	580	2	3	Tyrosinase(157-366) | PPO1_DWL(372-423) | PPO1_KFDV(452-579)	PPO1_DWL(372-423) | PPO1_KFDV(452-579)	PF12142;PF12143
A0A068UD36	canonical	584	2	3	Tyrosinase(171-381) | PPO1_DWL(385-436) | PPO1_KFDV(454-577)	PPO1_DWL(385-436) | PPO1_KFDV(454-577)	PF12142;PF12143
A0A068UEN7	canonical	578	2	3	Tyrosinase(164-374) | PPO1_DWL(380-431) | PPO1_KFDV(452-576)	PPO1_DWL(380-431) | PPO1_KFDV(452-576)	PF12142;PF12143
A0A068UEP3	canonical	582	2	3	Tyrosinase(170-379) | PPO1_DWL(384-435) | PPO1_KFDV(455-578)	PPO1_DWL(384-435) | PPO1_KFDV(455-578)	PF12142;PF12143
A0A068VB21	discarded	233	2	3	Tyrosinase(1-30) | PPO1_DWL(35-86) | PPO1_KFDV(106-229)	PPO1_DWL(35-86) | PPO1_KFDV(106-229)	PF12142;PF12143
A0A068VBG9	discarded	189	1	2	Tyrosinase(9-127) | Tyrosinase(100-165)	none	none
A0A068VNV4	canonical	423	2	3	Tyrosinase(9-217) | PPO1_DWL(223-274) | PPO1_KFDV(295-421)	PPO1_DWL(223-274) | PPO1_KFDV(295-421)	PF12142;PF12143
A0A069NJ99	canonical	460	2	2	Tyrosinase(31-141) | Tyrosinase(121-201)	none	none
A0A069P877	canonical	543	2	2	Tyrosinase(111-206) | Tyrosinase(185-262)	none	none
A0A069P8P9	canonical	480	2	2	Tyrosinase(67-169) | Tyrosinase(132-218)	none	none
A0A072P207	canonical	409	1	1	Tyrosinase(120-352)	none	none
A0A072P5W0	canonical	375	1	1	Tyrosinase(88-314)	none	none
A0A072P8W8	canonical	377	1	1	Tyrosinase(89-314)	none	none
A0A072PCR1	canonical	409	2	1	Tyrosinase(111-348)	none	none
A0A072PH66	discarded	402	2	2	Tyrosinase(2-112) | Tyrosinase_C(239-361)	none	none
A0A072PJG5	canonical	363	1	1	Tyrosinase(76-303)	none	none
A0A072PV79	discarded	244	1	1	Tyrosinase(76-241)	none	none
A0A072Q6Y5	noncanonical	251	1	1	Tyrosinase(1-199)	none	none
A0A074RCL1	canonical	320	1	1	Tyrosinase(73-260)	none	none
A0A074RG36	discarded	150	1	1	Tyrosinase(88-146)	none	none
A0A074RJD3	canonical	318	1	1	Tyrosinase(51-260)	none	none
A0A074RK37	discarded	334	2	1	Tyrosinase(6-297)	none	none
A0A074RKY4	canonical	310	1	1	Tyrosinase(72-253)	none	none
A0A074RLS0	canonical	322	1	1	Tyrosinase(78-264)	none	none
A0A074RRF8	canonical	773	2	1	Tyrosinase(86-403)	none	none
A0A074RSM2	canonical	320	1	1	Tyrosinase(69-255)	none	none
A0A074RSY5	canonical	457	2	1	Tyrosinase(58-377)	none	none
A0A074RTB9	canonical	353	1	1	Tyrosinase(86-292)	none	none
A0A074RWE6	noncanonical	395	1	1	Tyrosinase(109-315)	none	none
A0A074RXC0	canonical	348	1	1	Tyrosinase(78-290)	none	none
A0A074RXE5	canonical	679	2	2	DUF6534(157-244) | Tyrosinase(404-617)	DUF6534(157-244)	PF20152
A0A074RXR6	canonical	354	2	1	Tyrosinase(89-291)	none	none
