accession	n_neighbours	n_ustya	closest_ustya	has_TF	has_transporter	has_P450	has_OMT	bgc_context
A0A5Q4BX03	7	0		0	0	0	0	none
A0A654M0W1	20	0		0	0	0	0	none
A0A6A5S9R3	20	0		0	1	0	0	none
A0A6A5WAJ2	20	0		1	0	0	0	none
A0A6A5YDP4	15	0		0	0	0	0	none
A0A6A6NPE1	20	0		0	0	0	0	none
A0A6B9QKL4	0	0		0	0	0	0	none
A0A6G0X2P4	20	0		0	0	0	0	none
A0A6G0XE75	20	0		0	0	0	0	none
A0A6G0XEC3	20	0		0	0	0	0	none
A0A6G0XPY3	20	0		0	0	0	0	none
A0A6G0XR43	20	0		0	0	0	0	none
A0A6G0XRD8	20	0		0	0	0	0	none
A0A6G2BAK0	19	0		0	1	0	0	none
A0A6I6N6T5	20	0		0	0	1	0	none
A0A6J8E5E4	18	0		0	0	1	0	none
A0A7J0CCQ1	20	0		0	1	0	0	none
A0A7U2F463	20	0		1	1	0	0	BGC_accessory
A0A7W9DMW4	20	0		0	1	0	0	none
A0A8B6GWX5	13	0		0	0	1	0	none
A0A8E2DWK1	1	0		0	0	0	0	none
A0A8E2E040	4	0		0	0	0	0	none
A0A8E2JYI7	13	0		0	0	0	0	none
A0A8H4FFA4	14	0		1	0	0	0	none
A0A8H4JA75	20	0		1	1	1	0	BGC_accessory
A0A8H4JP05	11	0		1	1	1	0	BGC_accessory
A0A8H4JTZ8	20	0		1	0	0	0	none
A0A8H4KQ60	20	0		0	0	0	0	none
A0A8H4TAU8	11	0		0	1	1	0	BGC_accessory
A0A8H4WWH2	13	0		0	0	0	0	none
A0A8H4X204	20	0		1	0	0	0	none
A0A8H4X8T0	13	0		1	1	0	0	BGC_accessory
A0A8H4YMN9	20	0		0	0	1	0	none
A0A8H5CW67	17	0		0	0	0	0	none
A0A8H5E7V3	20	0		1	1	0	0	BGC_accessory
A0A8H5EA09	20	0		1	0	0	0	none
A0A8H5IDF7	20	0		0	0	1	0	none
A0A8H5J780	13	0		0	0	0	0	none
A0A8H5JGL4	20	0		1	1	1	0	BGC_accessory
A0A8H5JU90	2	0		0	0	0	0	none
A0A8H5KA52	20	0		1	0	1	0	BGC_accessory
A0A8H5KIL6	11	0		0	0	1	0	none
A0A8H5KLN9	12	0		1	1	1	0	BGC_accessory
A0A8H5KU78	14	0		1	0	0	0	none
A0A8H5N717	19	0		1	0	0	0	none
A0A8H5ND32	20	0		1	1	1	0	BGC_accessory
A0A8H5P954	12	0		1	0	1	0	BGC_accessory
A0A8H5PRZ9	12	0		1	0	0	0	none
A0A8H5PV85	20	0		0	1	1	0	BGC_accessory
A0A8H5Q4Q0	20	0		1	0	0	0	none
A0A8H5Q7J5	0	0		0	0	0	0	none
A0A8H5R283	16	0		1	1	1	0	BGC_accessory
A0A8H5TF94	20	0		1	0	0	0	none
A0A8H5UEB6	20	0		0	0	1	0	none
A0A8H5UVB9	10	0		1	1	1	0	BGC_accessory
A0A8H5W5B7	20	0		1	0	0	0	none
A0A8H5WWP5	20	0		1	0	0	0	none
A0A8H5XEV6	20	0		1	1	1	0	BGC_accessory
A0A8H5XYF6	12	0		0	0	0	0	none
A0A8H5YFK9	17	0		1	0	0	0	none
A0A8H5YQ63	12	0		0	0	0	0	none
A0A8H5YXQ5	20	0		1	1	1	0	BGC_accessory
A0A8H6JK77	10	0		1	1	0	0	BGC_accessory
A0A8H6K6D0	11	0		1	1	0	0	BGC_accessory
A0A8H6N1I1	20	0		1	1	0	0	BGC_accessory
A0A8H6SNJ8	20	0		1	0	0	0	none
A0A8H6Y0Y5	20	0		0	0	0	0	none
A0A8H6YGA9	20	0		0	1	0	0	none
A0A8H7AFZ9	12	0		0	0	0	0	none
A0A8H7DID7	20	0		0	1	0	0	none
A0A8H7E394	11	0		0	1	0	0	none
A0A8H8BVI5	20	0		0	0	0	0	none
A0A8K0QU28	20	0		0	1	0	0	none
A0A8K0RU59	20	0		0	0	0	0	none
A0A8K0S985	20	0		1	1	0	0	BGC_accessory
A0A8K0SP35	20	0		0	0	0	0	none
A0A8K0TQB4	20	0		0	1	0	0	none
A0A8S3PVY6	20	0		0	0	1	0	none
A0A8S3ZE77	5	0		0	0	0	0	none
A0A8T9CAL5	8	0		1	0	0	0	none
A0A918F473	20	0		0	1	0	0	none
A0A918I4N0	20	0		0	0	0	0	none
A0A918YDN7	20	0		0	0	0	0	none
A0A919FJI3	20	0		0	1	0	0	none
A0A926QP60	20	0		0	0	0	0	none
A0A9K3PD30	20	0		0	0	0	0	none
A0A9K3Q9J1	20	0		0	0	0	0	none
A0A9N9KSE5	20	0		1	0	0	0	none
A0A9N9UHQ8	20	0		0	1	0	0	none
A0A9N9VIP6	20	0		0	1	0	0	none
A0A9P0ERG8	20	0		1	1	0	0	BGC_accessory
A0A9P4TAB7	20	0		0	0	1	0	none
A0A9P4V8T4	20	0		0	1	0	0	none
A0A9P5AJD2	20	0		1	0	0	0	none
A0A9P5B9W0	14	0		0	1	1	0	BGC_accessory
A0A9P5DT73	4	0		0	0	0	0	none
A0A9P5GFI9	15	0		0	0	0	0	none
A0A9P6ADS6	9	0		0	0	0	0	none
A0A9P6AJI0	20	0		0	0	0	0	none
A0A9P6H427	20	0		0	0	1	0	none
A0A9P6H4S6	20	0		0	0	1	0	none
A0A9P6H6N4	20	0		0	1	0	0	none
A0A9P6H6P2	20	0		0	1	0	0	none
A0A9P6HAV3	20	0		0	1	1	0	BGC_accessory
A0A9P6HYU3	20	0		0	1	0	0	none
A0A9P6L1G9	20	0		0	0	0	0	none
A0A9P6LGC9	20	0		0	1	1	0	BGC_accessory
A0A9P7KJA4	3	0		0	0	0	0	none
A0A9P7KVD4	20	0		0	1	0	0	none
A0A9P7R386	20	0		0	1	1	0	BGC_accessory
A0A9P7R8M5	20	0		1	1	0	0	BGC_accessory
A0A9P7YCU3	9	0		0	0	0	0	none
A0A9P8CPW1	20	0		1	1	0	0	BGC_accessory
A0A9P8D5I1	20	0		0	1	0	0	none
A0A9P8D8F5	20	0		1	0	0	0	none
A0A9P8UDW5	20	0		1	1	0	0	BGC_accessory
A0A9P8XSB3	20	0		0	1	0	0	none
A0A9P8XWL6	20	0		1	1	1	0	BGC_accessory
A0A9P8YAM6	20	0		0	0	0	0	none
A0A9P8YM28	20	0		1	0	1	0	BGC_accessory
A0A9P9AGJ3	20	0		0	1	0	0	none
A0A9P9APM6	20	0		1	1	1	0	BGC_accessory
A0A9P9E097	20	0		1	0	0	0	none
A0A9P9E4D0	20	0		1	1	0	0	BGC_accessory
A0A9P9HAD7	20	0		0	1	0	0	none
A0A9P9J7R2	20	0		1	1	1	0	BGC_accessory
A0A9P9K123	20	0		1	1	1	0	BGC_accessory
A0A9P9KEG5	20	0		1	0	0	0	none
A0A9P9WAQ4	20	0		1	0	1	0	BGC_accessory
A0A9P9WLG7	20	0		0	1	1	0	BGC_accessory
A0A9P9XQR7	20	0		0	0	1	0	none
A0A9P9XU62	10	0		0	0	0	0	none
A0A9Q0ANI9	20	0		1	1	0	0	BGC_accessory
A0A9Q0BAF8	20	0		1	1	1	0	BGC_accessory
A0A9Q8T0W7	20	0		1	1	1	0	BGC_accessory
A0A9Q9AVV7	20	0		0	1	0	0	none
A0A9W4RJE0	13	0		1	1	1	0	BGC_accessory
A0A9W7ZYI4	10	0		0	0	0	0	none
A0A9W8B7N1	5	0		0	0	0	0	none
A0A9W8E3J8	2	0		0	0	0	0	none
A0A9W8NZF7	20	0		0	1	1	0	BGC_accessory
A0A9W8NZJ0	20	0		0	0	1	0	none
A0A9W8PIM9	20	0		1	0	1	0	BGC_accessory
A0A9W8RVI0	20	0		1	1	0	0	BGC_accessory
A0A9W8U1T8	20	0		1	0	0	0	none
A0A9W8U7F8	20	0		0	0	0	0	none
A0A9W8V7S4	20	1	3	1	1	0	0	UstYa_cluster
A0A9W8V905	20	1	6	1	1	0	0	UstYa_cluster
A0A9W9BUC3	8	0		0	0	0	0	none
A0A9W9DDH6	10	0		0	1	0	0	none
A0A9W9DF90	9	0		0	0	0	0	none
A0A9W9DSP4	20	0		1	0	0	0	none
A0A9W9V833	20	0		0	1	1	0	BGC_accessory
A0AA35VL53	20	0		1	1	0	0	BGC_accessory
A0AA36CM18	11	0		0	0	0	0	none
A0AA36GA08	20	0		0	0	0	0	none
A0AA38J8C1	20	0		0	0	1	0	none
A0AA38JNP9	20	0		1	0	0	0	none
A0AA38KVA4	16	0		1	0	0	0	none
A0AA38NMR0	20	0		0	0	1	0	none
A0AA38P9M6	15	0		0	0	0	0	none
A0AA39G9F2	20	0		0	0	0	0	none
A0AA39JWK2	20	0		0	1	1	0	BGC_accessory
A0AA39JYE4	12	0		0	0	0	0	none
A0AA39MYU6	20	0		0	1	0	0	none
A0AA39NQW6	20	0		0	1	1	0	BGC_accessory
A0AA39P499	20	0		0	0	0	0	none
A0AA39PIA9	20	0		0	1	0	0	none
A0AA39PK06	20	0		0	1	0	0	none
A0AA39Q3E3	14	0		0	0	1	0	none
A0AA39QES7	12	0		0	1	0	0	none
A0AA39T760	20	0		0	1	0	0	none
A0AA39UQR7	20	0		0	1	0	0	none
A0AA39UZS7	20	0		0	0	0	0	none
A0AA39XHP1	20	0		0	0	0	0	none
A0AA39YEC9	20	0		0	1	0	0	none
A0AA39YSP7	20	0		1	0	0	0	none
A0AA40DDV9	20	0		0	0	0	0	none
A0AA40DQR4	20	0		0	0	0	0	none
A0AA40K4H1	20	0		1	1	0	0	BGC_accessory
A0AA88XQS5	20	0		0	0	0	0	none
A0AA89C6N4	20	0		0	0	0	0	none
A0AAD4FIH5	20	0		1	0	1	0	BGC_accessory
A0AAD4KYH8	20	0		1	1	0	0	BGC_accessory
A0AAD4LDB2	20	0		0	1	0	0	none
A0AAD4LFC7	20	0		0	1	0	0	none
A0AAD4LV26	17	0		0	0	0	0	none
A0AAD4Q7J0	8	0		0	0	0	0	none
A0AAD5SCX3	1	0		0	0	0	0	none
A0AAD5U057	7	0		0	0	0	0	none
A0AAD5WYZ3	0	0		0	0	0	0	none
A0AAD6Z060	20	0		0	0	0	0	none
A0AAD7BLR3	20	0		0	0	0	0	none
A0AAD7EKF6	20	0		0	1	0	0	none
A0AAD7ER50	20	0		1	1	0	0	BGC_accessory
A0AAD7GHF8	17	0		0	0	0	0	none
A0AAD7GRZ3	20	0		0	0	0	0	none
A0AAD7U2T2	20	0		0	1	0	0	none
A0AAD7U3G2	20	0		0	1	0	0	none
A0AAD7XDB7	20	0		0	1	0	0	none
A0AAD8ATH3	13	0		0	0	0	0	none
A0AAD8ATH6	17	0		0	0	0	0	none
A0AAD8ATH9	16	0		0	0	0	0	none
A0AAD8ATJ4	14	0		0	0	0	0	none
A0AAD8ATK2	15	0		0	0	0	0	none
A0AAD8AV10	12	0		0	0	0	0	none
A0AAD8AV33	11	0		0	0	0	0	none
A0AAD8AXS7	20	0		0	0	0	0	none
A0AAD8UE66	19	0		0	0	1	0	none
A0AAD9LZF6	20	0		1	0	0	0	none
A0AAD9W038	20	0		0	1	1	0	BGC_accessory
A0AAE0Z8V4	20	0		0	0	0	0	none
A0AAE8M9V5	16	0		1	1	0	0	BGC_accessory
A0AAI8VQP9	20	0		1	0	1	0	BGC_accessory
A0AAI9UFL5	10	0		0	0	0	0	none
A0AAI9UMQ2	20	0		1	1	0	0	BGC_accessory
A0AAI9XQ79	10	0		0	0	0	0	none
A0AAI9YQ31	20	0		1	1	1	0	BGC_accessory
A0AAI9ZJ62	20	0		1	0	0	0	none
A0AAI9ZJ84	20	0		0	1	1	0	BGC_accessory
A0AAI9ZUD5	20	0		0	1	0	0	none
A0AAJ0A571	6	0		0	0	0	0	none
A0AAJ0AG26	20	0		0	0	1	0	none
A0AAJ0AXE4	20	0		0	1	0	0	none
A0AAJ0GPU7	20	0		0	1	0	0	none
A0AAJ0H0A0	20	0		0	0	0	0	none
A0AAJ0M0W6	20	0		0	0	0	0	none
A0AAN5YXZ8	7	0		0	1	0	0	none
A0AAN5Z2U4	20	0		1	0	1	0	BGC_accessory
A0AAN5Z8G4	16	0		1	0	1	0	BGC_accessory
A0AAN6JP66	8	0		0	0	0	0	none
A0AAN6SKX3	5	0		0	1	0	0	none
A0AAN6YT11	20	0		1	1	1	0	BGC_accessory
A0AAN6YYJ2	16	0		0	0	1	0	none
A0AAN7C1S6	1	0		0	0	0	0	none
A0AAN9BYX9	20	0		0	0	0	0	none
A0AAV2IQW6	2	0		0	0	0	0	none
A0AAV2Z0Q5	20	0		0	0	0	0	none
A0AAV4F8E5	20	0		0	0	0	0	none
A0AAV5AL26	20	0		0	1	1	0	BGC_accessory
A0AAV9TS26	20	0		1	1	0	0	BGC_accessory
A0AAV9XIV8	20	0		0	0	0	0	none
A0AAW0BU78	19	0		0	0	0	0	none
A0AAW0BU79	20	0		0	0	0	0	none
A0AAW0GHL6	20	0		0	0	0	1	none
A0AAW0Q3H3	20	0		0	0	0	0	none
A0AAW0Q946	20	0		1	0	1	0	BGC_accessory
A0AAW0QHX5	20	0		0	0	1	1	BGC_accessory
A0ABN4GH39	20	0		0	0	0	0	none
A0ABP0TM67	20	0		0	0	0	0	none
A0ABP1DHZ5	20	0		0	0	0	0	none
A0ABP3R282	20	0		0	1	0	0	none
A0ABP4FJU9	20	0		0	1	0	0	none
A0ABP5F1Z3	20	0		0	1	0	0	none
A0ABP6CC76	20	0		0	1	0	0	none
A0ABP6MHW8	20	0		0	1	0	0	none
A0ABQ0M510	11	0		0	0	0	0	none
A0ABQ3RF10	20	0		0	0	0	0	none
A0ABQ4GJQ7	20	0		0	1	0	0	none
A0ABQ8FI13	20	0		1	0	0	0	none
A0ABQ8FNS3	20	0		0	0	0	0	none
A0ABQ8NSX2	11	0		0	0	0	0	none
A0ABQ8Q376	10	0		0	1	1	0	BGC_accessory
A0ABQ8Q455	8	0		0	0	0	0	none
A0ABQ8QLF5	16	0		1	0	0	0	none
A0ABQ8R221	20	0		0	0	0	0	none
A0ABQ8R7I6	20	0		1	0	1	0	BGC_accessory
A0ABQ8R7Z7	20	0		0	1	0	0	none
A0ABQ8VDS7	10	0		1	1	0	0	BGC_accessory
A0ABQ8VVM6	20	0		1	0	0	0	none
A0ABQ9Q320	15	0		0	0	1	0	none
A0ABR0EDL9	20	0		1	1	1	0	BGC_accessory
A0ABR1GYQ3	20	0		0	1	1	0	BGC_accessory
A0ABR1K7H3	20	0		0	1	1	0	BGC_accessory
A0ABR1KCA3	20	0		0	0	0	0	none
A0ABR1NYJ9	16	0		0	0	1	0	none
A0ABR1P3W3	20	0		0	1	1	0	BGC_accessory
A0ABR1PXA7	20	0		1	0	0	0	none
A0ABR1Q2J4	20	0		0	1	0	0	none
A0ABR1SQ27	20	0		1	0	0	0	none
A0ABR1SQG7	20	0		1	0	1	0	BGC_accessory
A0ABR1US72	20	0		0	1	1	0	BGC_accessory
A0ABR1VHA2	20	0		1	1	0	0	BGC_accessory
A0ABR1WKU8	20	0		1	0	0	0	none
A0ABR1WRC7	20	0		0	0	0	0	none
A0ABR1WWJ4	20	0		0	0	1	0	none
A0ABR1WX78	20	0		0	1	1	0	BGC_accessory
A0ABR2JC89	20	0		1	0	0	0	none
A0ABR2JHH4	20	0		0	0	0	0	none
A0ABR2V4E2	20	0		1	1	0	0	BGC_accessory
A0ABR2XJX2	20	0		1	1	0	0	BGC_accessory
A0ABR2Y9L4	20	0		0	1	1	0	BGC_accessory
A0ABR3TDY0	19	0		0	0	0	1	none
A0ABR3TL16	19	0		0	0	0	0	none
A0ABR3UZ44	20	0		1	0	0	0	none
A0ABR3WV06	20	0		0	1	1	0	BGC_accessory
A0ABR4BSY9	20	1	9	0	0	0	0	UstYa_cluster
A0ABR4EBK6	20	0		0	1	1	0	BGC_accessory
A0ABR4EVQ9	20	0		0	1	0	0	none
A0ABR4MW11	15	0		1	1	0	0	BGC_accessory
A0ABR4NFV2	20	0		0	0	0	0	none
A0ABR8BHZ7	13	0		0	0	0	0	none
A0ABT1P7V4	20	0		0	0	0	0	none
A0ABU2S4D8	20	0		0	1	0	0	none
A0ABU3ASL9	20	0		0	1	0	0	none
A0ABU6U5W4	13	0		0	0	0	0	none
A0ABV1TI03	20	0		0	1	0	0	none
A0ABV4P1X4	16	0		0	0	0	0	none
A0ABV5QIU7	20	0		0	1	0	0	none
A0ABV6HFH7	20	0		0	0	0	0	none
A0ABV6TPR0	20	0		0	1	0	0	none
A0ABV7MFU4	17	0		0	0	0	0	none
A0ABV9VFU7	20	0		0	1	0	0	none
A0ABW0JGR8	20	0		0	0	0	0	none
A0ABW2ECH6	20	0		0	0	0	0	none
A0ABW8JVC8	20	0		0	1	0	0	none
A0ABW9IRU2	20	0		0	1	0	0	none
A0ABY0FWW0	13	0		0	0	0	0	none
A0ABY0HL93	20	0		0	0	0	0	none
A0ABY3YVG1	20	0		0	0	0	0	none
A0ABY6UFL4	14	0		1	1	0	0	BGC_accessory
A0ABZ1QTL9	20	0		0	1	0	0	none
A0ABZ1W8D9	20	0		0	1	0	0	none
A0ABZ1XJX8	20	0		0	1	0	0	none
A0ABZ1ZKP5	20	0		0	1	0	0	none
A0ABZ2X6I5	20	0		0	1	1	0	BGC_accessory
A0ACA9UMC9	20	0		0	1	0	0	none
A0ACB6FRC5	20	0		1	0	0	0	none
A0ACB6QHH6	20	0		0	0	0	0	none
A0ACB6Z417	15	0		0	0	0	0	none
A0ACB6Z4V4	15	0		0	0	0	0	none
