accession	genus	species	n_neighbours	n_ustya	closest_ustya_offset	has_TF	has_transporter	has_P450	has_OMT	bgc_context
A0A167AFV0	Colletotrichum	Colletotrichum incanum	20	0		0	1	1	0	BGC_accessory
A0A1G4BKS1	Colletotrichum	Colletotrichum orchidophilum	20	0		0	0	1	0	none
A0A1Q8RT46	Colletotrichum	Colletotrichum chlorophyti	20	0		0	1	1	0	BGC_accessory
A0A2J6QS19	Hyaloscypha	Hyaloscypha variabilis	19	0		1	1	1	0	BGC_accessory
A0A1X7RU91	Zymoseptoria	Zymoseptoria tritici	20	0		1	0	0	0	none
A0A2V1D8S9	Periconia	Periconia macrospinosa	19	0		0	0	1	0	none
A0A3E2HCJ3	Scytalidium	Scytalidium lignicola	15	0		1	1	0	0	BGC_accessory
A0A4U0XT20	Friedmanniomyces	Friedmanniomyces simplex	20	0		0	1	0	0	none
A0A4Y8D0V3	Botryotinia	Botryotinia calthae	10	0		0	0	0	0	none
A0A4Z1NUI9	Venturia	Venturia nashicola	20	0		0	0	1	0	none
A0A4U0VS63	Friedmanniomyces	Friedmanniomyces simplex	1	0		0	0	0	0	none
A0A6A6CBF1	Zasmidium	Zasmidium cellare	20	0		1	1	0	0	BGC_accessory
A0A4Z1FR91	Botrytis	Botrytis paeoniae	20	0		0	1	1	0	BGC_accessory
A0A6G1IEP5	Lentithecium	Lentithecium fluviatile	15	0		0	0	0	0	none
A0A6H0Y3Z6	Peltaster	Peltaster fructicola	20	0		0	0	0	0	none
A0A7D5Z0B1	Metarhizium	Metarhizium brunneum	20	0		0	0	1	0	none
A0A6A6VF46	Sporormia	Sporormia fimetaria	20	0		0	0	0	0	none
A0A7K7RZM1	Nesospiza	Nesospiza acunhae	3	0		0	0	0	0	none
A0A8H3VC67	Venturia	Venturia inaequalis	12	0		0	0	1	0	none
A0A8H4JHW9	Fusarium	Fusarium acutatum	17	0		1	1	0	0	BGC_accessory
A0A8H4Z0P3	Fusarium	Fusarium anthophilum	15	0		1	1	0	0	BGC_accessory
A0A8H4RK75	Cudoniella	Cudoniella acicularis	10	0		0	0	1	0	none
A0A8K0T8Y5	Plectosphaerella	Plectosphaerella cucumerina	20	0		1	1	0	0	BGC_accessory
A0A9P7HU99	Fusarium	Fusarium xylarioides	13	0		1	1	0	0	BGC_accessory
A0A9P5IJI5	Botrytis	Botrytis byssoidea	20	0		1	1	1	0	BGC_accessory
A0A8T9AZC4	Lachnellula	Lachnellula arida	3	0		0	0	0	1	none
A0A9W7T0I7	Teratosphaeria	Teratosphaeria destructans	13	0		0	0	0	0	none
A0A9P9AG59	Plectosphaerella	Plectosphaerella plurivora	20	0		0	1	0	0	none
A0A9P8DKY9	Fusarium	Fusarium musae	20	0		1	1	0	0	BGC_accessory
A0AA38XVF3	Knufia	Knufia peltigerae	20	0		1	0	0	0	none
A0AAD8PIW8	Colletotrichum	Colletotrichum navitas	4	0		0	1	0	0	none
A0A9Q8LKP3	Fulvia	Fulvia fulva	20	0		1	0	1	0	BGC_accessory
A0AA39GKR5	Sarocladium	Sarocladium strictum	20	0		1	1	0	0	BGC_accessory
A0A9W9IRY5	Penicillium	Penicillium capsulatum	20	0		1	0	0	1	BGC_accessory
A0AAD9HBC0	Colletotrichum	Colletotrichum zoysiae	20	0		1	1	0	0	BGC_accessory
A0AAJ0DBW4	Extremus	Extremus antarcticus	20	0		0	1	0	0	none
A0AAN6H7M5	Friedmanniomyces	Friedmanniomyces endolithicus	14	0		0	1	0	0	none
A0AAN6K752	Friedmanniomyces	Friedmanniomyces endolithicus	20	0		0	1	0	0	none
A0AAN6KA23	Friedmanniomyces	Friedmanniomyces endolithicus	20	0		0	1	0	0	none
A0AAN7GQ08	Podospora	Podospora fimiseda	20	0		1	1	0	0	BGC_accessory
A0AAV9J8F3	Oleoguttula	Oleoguttula mirabilis	13	0		1	1	0	0	BGC_accessory
A0AAE0WXT6	Recurvomyces	Recurvomyces mirabilis	20	0		0	0	0	0	none
A0AAV9N1J6	Exophiala	Exophiala bonariae	20	0		1	1	0	0	BGC_accessory
A0AAI8YZG9	Lecanosticta	Lecanosticta acicola	20	0		0	0	0	0	none
A0ABR0JJU7	Exophiala	Exophiala sideris	20	0		0	1	1	0	BGC_accessory
A0ABR0EHV5	Zasmidium	Zasmidium cellare	20	0		0	1	0	0	none
A0ABQ7J1C5	Botrytis	Botrytis deweyae	20	0		1	1	1	0	BGC_accessory
E3QWQ8	Colletotrichum	Colletotrichum graminicola	12	0		1	1	0	0	BGC_accessory
A0ACC3SCJ8	Zalaria	Zalaria obscura	20	0		0	1	0	0	none
E9FAB7	Metarhizium	Metarhizium robertsii	20	0		0	0	1	0	none
G2QVS9	Thermothielavioides	Thermothielavioides terrestris	20	0		0	1	0	0	none
