accession	organism_id	lineage	nucleotide_acc	protein_id	molecule_type	n_embl_refs
A0A248JZS5	1441467		CP022112	ASG24202.1	Genomic_DNA	1
A0A249PKJ6	716928		CP023068	ASY66267.1	Genomic_DNA	1
A0A250J906						0
A0A255XTK6	2022747		NOXS01000030	OYQ19704.1	Genomic_DNA	1
A0A255XVR5	2022747		NOXS01000024	OYQ21076.1	Genomic_DNA	1
A0A285MR25	1247520		OBEH01000002	SNY99620.1	Genomic_DNA	1
A0A2A5KJE3	1535245		NXDM01000055	PCK77112.1	Genomic_DNA	1
A0A2A6J2U9	2035448		NWSV01000048	PDT00173.1	Genomic_DNA	1
A0A2D2AU21	69666		CP024201	ATQ41504.1	Genomic_DNA	1
A0A2D2AXZ0	69666		CP024201	ATQ42874.1	Genomic_DNA	1
A0A2I0SHR2	2058924		PJOS01000074	PKT69467.1	Genomic_DNA	1
A0A2J0YX98						0
A0A2K8PQ16	58340		CP024985	ATZ28831.1	Genomic_DNA	1
A0A2K8SJE4	2038116		CP024785	AUB34945.1	Genomic_DNA	1
A0A2L2XEG7	1898651		BFAV01000141	GBF34522.1	Genomic_DNA	1
A0A2M9B5K9	1121954		PGFA01000003	PJJ53231.1	Genomic_DNA	1
A0A2N5CV28	1679497		CP026100	AYV45430.1	Genomic_DNA	1
A0A2N5D510	1679497		CP026100	AYV47134.1	Genomic_DNA	1
A0A2N5DB92	2055137		PJRS01000033	PLR23334.1	Genomic_DNA	1
A0A2N8P306	66423		LGUI01000001	PNE35381.1	Genomic_DNA	1
A0A2P1AAW5						0
A0A2P7QYD3	2116704		PXYI01000001	PSJ42982.1	Genomic_DNA	1
A0A2S2DK37	945844		CP029343	AWL05216.1	Genomic_DNA	1
A0A2S5CHZ5	1704499		PGFZ01000011	POZ50424.1	Genomic_DNA	1
A0A2S5CI23	1704499		PGFZ01000011	POZ50439.1	Genomic_DNA	1
A0A2S6H7D7	173365		PTIY01000002	PPK73378.1	Genomic_DNA	1
A0A2S8HAU2						0
A0A2S9E9Y7	200451		PCQL01000037	PRC11704.1	Genomic_DNA	1
A0A2T0K3L1	113567		PVMZ01000016	PRX17419.1	Genomic_DNA	1
A0A2T4FKC8	1869229		MAUE01000026	OCW24568.1	Genomic_DNA	1
A0A2T5ICY1						0
A0A2T9JKS7	2172650		QDKP01000027	PVM84301.1	Genomic_DNA	1
A0A2T9K5C6	2172652		QDKQ01000033	PVM91023.1	Genomic_DNA	1
A0A2T9KBG5	2172652		QDKQ01000019	PVM93310.1	Genomic_DNA	1
A0A2X0SIE4						0
A0A2Z4J867	2184053		CP030073	AWW41180.1	Genomic_DNA	1
A0A2Z4LVM5	1383885		CP030104	AWX45793.1	Genomic_DNA	1
A0A316FBE9	512350		QGGR01000012	PWK44206.1	Genomic_DNA	1
A0A316FI64	512350		QGGR01000007	PWK47500.1	Genomic_DNA	1
A0A316HQM8						0
A0A316L4G5	2201895		QGEG01000002	PWL39163.1	Genomic_DNA	1
A0A318K0J3	401470		QJKB01000001	PXX46794.1	Genomic_DNA	1
A0A327RH85	440515		QLLN01000001	RAJ16041.1	Genomic_DNA	1
A0A368Z550	1490030		QPJL01000003	RCW87099.1	Genomic_DNA	1
A0A379ICC9						0
A0A383RI28						0
A0A385SND3	2321403		CP032382	AYB30960.1	Genomic_DNA	1
A0A387G576	1312183		CP032695	AYG63082.1	Genomic_DNA	1
A0A3A1NL96	2306998		VNWK01000013	TXJ98827.1	Genomic_DNA	1
A0A3D9ISF7	1294267		QRDY01000002	RED64684.1	Genomic_DNA	1
A0A3D9L4M1	1122208		QREG01000011	RED97890.1	Genomic_DNA	1
A0A3M8TNP8						0
A0A3N1GBQ3						0
A0A3N4VF60	1273429		RKQN01000001	RPE81666.1	Genomic_DNA	1
A0A3N4VIU7	1273429		RKQN01000001	RPE81613.1	Genomic_DNA	1
A0A3P3QF50	1547515		RRCF01000004	RRJ19842.1	Genomic_DNA	1
A0A3S0IN34	2489054		RQPJ01000003	RTE53812.1	Genomic_DNA	1
A0A3S9M6T3	2496836		CP034539	AZQ34861.1	Genomic_DNA	1
A0A3S9PH06	66425		CP034587	AZQ71632.1	Genomic_DNA	1
A0A3T1D022	2507935		AP019400	BBI31467.1	Genomic_DNA	1
A0A423FGB7						0
A0A423IDL1						0
A0A423JH14						0
A0A428YVS8						0
A0A432M9S8	1927959		RYYV01000002	RUL78907.1	Genomic_DNA	1
A0A432NWL9						0
A0A432PA96	634290		RJTH01000028	RUM18076.1	Genomic_DNA	1
A0A454TKW0						0
A0A494XK40	2419778		RBZM01000008	RKP50102.1	Genomic_DNA	1
A0A495W4Q7	2072		RBXO01000001	RKT55755.1	Genomic_DNA	1
A0A4Q1UIS4	244734		MZXW01000054	RXT34534.1	Genomic_DNA	1
A0A4Q7Z0G8	388466		SHKW01000001	RZU43707.1	Genomic_DNA	1
A0A4Q9RBJ6	2211392		QJUP01000005	TBU98316.1	Genomic_DNA	1
A0A4R3I324	29443		SLZQ01000001	TCS39674.1	Genomic_DNA	1
A0A4R3Q368	1136135		SMBJ01000021	TCU15583.1	Genomic_DNA	1
A0A4R6YR80	520092		SNZH01000013	TDR40344.1	Genomic_DNA	1
A0A4V2PI10	401976		SMFZ01000002	TCK22796.1	Genomic_DNA	1
A0A4V6NY19	29443		SLZQ01000001	TCS39670.1	Genomic_DNA	1
A0A4Y3KUD1	43670		BJLR01000016	GEA87702.1	Genomic_DNA	1
A0A4Y6R7S8	2590869		CP041185	QDG69012.1	Genomic_DNA	1
A0A4Y8RPT3	2558362		SOZD01000002	TFF25366.1	Genomic_DNA	1
A0A4Y8ZK93	2555898		SPDV01000095	TFI56354.1	Genomic_DNA	1
A0A4Z0AQA6	2293833		QUZT01000056	TFY88573.1	Genomic_DNA	1
A0A4Z0L9R6	2562683		SRLH01000004	TGD57930.1	Genomic_DNA	1
A0A4Z0NTW6	1141884		SRLB01000005	TGE00850.1	Genomic_DNA	1
A0A4Z1CUV9	2340725		SRRT01000010	TGN72585.1	Genomic_DNA	1
A0A4Z1D3W1	29306		SRRU01000012	TGN76060.1	Genomic_DNA	1
A0A502E729	49897		RCZG01000005	TPG33473.1	Genomic_DNA	1
A0A502G532	658225		RCZC01000001	TPG56053.1	Genomic_DNA	1
A0A510HL80	49319		AP019791	BBL79343.1	Genomic_DNA	1
A0A512NBT8	1230389		BKAJ01000065	GEP56421.1	Genomic_DNA	1
A0A559JN81	1289167		VNJJ01000004	TVY01323.1	Genomic_DNA	1
A0A560ER47						0
A0A560FH35	28077		VITO01000020	TWB20915.1	Genomic_DNA	1
A0A560FJT8						0
A0A560GA21	28077		VITO01000002	TWB30634.1	Genomic_DNA	1
A0A560H357	28077		VITR01000009	TWB40591.1	Genomic_DNA	1
A0A560HKW1						0
A0A560IMW6						0
A0A560JF27						0
A0A560KAP8						0
A0A562MFH3	39844		VLKT01000094	TWI18281.1	Genomic_DNA	1
A0A5B2UX14	129817		LT629800	SDU89586.1	Genomic_DNA	1
A0A5B2XQW2	1892852		VUOB01000003	KAA2266057.1	Genomic_DNA	1
A0A5B8IB42	2599401		CP042266	QDY75248.1	Genomic_DNA	1
A0A5B8VE83	1813871		CP042435	QEC69730.1	Genomic_DNA	1
A0A5C8LQN2	400153		VRLR01000015	TXK78068.1	Genomic_DNA	1
A0A5E9PE47						0
A0A5J6J652	1960		CP023692	QEV44334.1	Genomic_DNA	1
A0A5N5IZL2	2597517		VNIK02000001	KAB5492168.1	Genomic_DNA	1
A0A5N8WIB3	1803180		VJZE01000893	MPY46979.1	Genomic_DNA	1
A0A5P6PFX1						0
A0A646KIV1	1945		VCLA01000145	MQT01991.1	Genomic_DNA	1
A0A646KQ41	1945		VCLA01000192	MQT04439.1	Genomic_DNA	1
A0A6B3N9A7						0
A0A6G3SJU9						0
A0A6G4QY69						0
A0A6G8RXV7	2715164		CP049801	QIO06782.1	Genomic_DNA	1
A0A6H9UQ49	2615112		VZRB01000044	KAB1140236.1	Genomic_DNA	1
A0A6I1HWZ8	2654252		WFLI01000044	KAB8060127.1	Genomic_DNA	1
A0A6I6N6T5	2686304		CP047020	QHA04665.1	Genomic_DNA	1
A0A6L6WYS5	2681492		WPNZ01000009	MVO86662.1	Genomic_DNA	1
A0A6M4PQD2	2726118		CP053189	QJS11886.1	Genomic_DNA	1
A0A6M4PSG3	2726118		CP053189	QJS13579.1	Genomic_DNA	1
A0A6M5YW59	2774151		CP053452	QJW98179.1	Genomic_DNA	1
A0A6N6JP54	2601869		BLJE01000009	GFE67242.1	Genomic_DNA	1
A0A6N9T3N7	2696469		JAAAMG010000002	NDW03588.1	Genomic_DNA	1
A0A6P0UFZ0	504488		JAABOP010000005	NER11542.1	Genomic_DNA	1
A0A6P0UL92	472055		JAABOO010000002	NER13994.1	Genomic_DNA	1
A0A6P1BIH4	2594946		VKHP01000086	NEU98267.1	Genomic_DNA	1
A0A7D3Y0J0	2739433		CP053921	QKG71872.1	Genomic_DNA	1
A0A7G5C193	2598458		CP041969	QMV42977.1	Genomic_DNA	1
A0A7H0LH09	653931		CP061038	QNQ08962.1	Genomic_DNA	1
A0A7H2PW11						0
A0A7H2PXL4						0
A0A7H2V328						0
A0A7H2XHW1						0
A0A7K0C9D4	2585196		WEGJ01000001	MQY10075.1	Genomic_DNA	1
A0A7K3QZS7						0
A0A7M2SPF7	1413221		CP063373	QOV38247.1	Genomic_DNA	1
A0A7S7SGR7	1473598		CP063849	QOY85117.1	Genomic_DNA	1
A0A7W7E3W6						0
A0A7W7LFN0	55404		JACHJG010000012	MBB4889302.1	Genomic_DNA	1
A0A7W9UN50	67293		JACHJK010000001	MBB5924885.1	Genomic_DNA	1
A0A7W9UNQ5	67293		JACHJK010000002	MBB5925515.1	Genomic_DNA	1
A0A7W9ZFQ6	189		JACIIX010000001	MBB6209199.1	Genomic_DNA	1
A0A7X0J7C0						0
A0A7X0RVL1	1387779		JACJVP010000047	MBB6674493.1	Genomic_DNA	1
A0A7X0ULY4						0
A0A7X0VVP0	2761120		JACJVO010000005	MBB6730073.1	Genomic_DNA	1
A0A7X1AJN0	2724178		JAAXCZ010000005	MBC2381810.1	Genomic_DNA	1
A0A7X1AU61	2724178		JAAXCZ010000029	MBC2385506.1	Genomic_DNA	1
A0A7X1XF74						0
A0A7X6DTB4	2606439		VTOW01000005	NKE73006.1	Genomic_DNA	1
A0A7X6F8F4						0
A0A7Y1MNK6						0
A0A7Y7XW82						0
A0A7Y7YGK1						0
A0A7Y8ELP5						0
A0A7Y8FG76						0
A0A7Y8G6M0						0
A0A7Z0TSU8						0
A0A7Z2VPE3	2728023		CP051680	QJD86731.1	Genomic_DNA	1
A0A831VP34						0
A0A831VWH6						0
A0A841H669	1639882		JACHIA010000025	MBB6073468.1	Genomic_DNA	1
A0A846H7Z0	1304833		JTCM02000023	NEU73405.1	Genomic_DNA	1
A0A846HA78	1304833		JTCM02000022	NEU73361.1	Genomic_DNA	1
A0A846LGJ8	477641		BMMI01000003	GGL63113.1	Genomic_DNA	1
A0A853CK14	2026353		JACBZT010000001	NYJ06608.1	Genomic_DNA	1
A0A856MK52	415709		CP030118	QDL09547.1	Genomic_DNA	1
A0A858RE72	2728835		CP051774	QJE94911.1	Genomic_DNA	1
A0A8A4TY47	2818388		CP071793	QTD54257.1	Genomic_DNA	1
A0A8I0N0B8	1315280		AQHF01000034	MBE0349235.1	Genomic_DNA	1
A0A8J6XJ86	2748662		JACXAE010000060	MBD2773847.1	Genomic_DNA	1
A0A8J7F6V8	945769		JADEWL010000176	MBE9216525.1	Genomic_DNA	1
A0A8T5V6X5						0
A0A916BC20	2182327		CAJNBL010000013	CAE6712605.1	Genomic_DNA	1
A0A917P583	1500077		BMMU01000034	GGJ62215.1	Genomic_DNA	1
A0A918G405	45398		BMSL01000001	GGS17922.1	Genomic_DNA	1
A0A918GY00	1951		BMQQ01000001	GGT13354.1	Genomic_DNA	1
A0A918IXH7	1306176		BMUE01000002	GGW36942.1	Genomic_DNA	1
A0A918K8V8	418750		BMXR01000004	GGX52844.1	Genomic_DNA	1
A0A918LUS6	1951		BMQQ01000025	GGT52810.1	Genomic_DNA	1
A0A918Q8X9	68221		BMWG01000009	GGZ37324.1	Genomic_DNA	1
A0A918T3M3	67368		BMUL01000009	GHA90497.1	Genomic_DNA	1
A0A918Y127	1306179		BMVF01000003	GHD85933.1	Genomic_DNA	1
A0A918Z2P7	1169913		BNCF01000007	GHE34149.1	Genomic_DNA	1
A0A919A4R2	67302		BNBI01000001	GHE85399.1	Genomic_DNA	1
A0A919B0T2	33904		BNBD01000002	GHF35875.1	Genomic_DNA	1
A0A919DUL7	68230		BNBT01000117	GHE81338.1	Genomic_DNA	1
A0A919MPV4	1050105		BOMV01000031	GIE95481.1	Genomic_DNA	1
A0A923I5A5	2762291		JACOGG010000017	MBC3936625.1	Genomic_DNA	1
A0A927BLU8						0
A0A927QKQ5						0
A0A928V4K1	2082724		PRDL01000001	MBE8718147.1	Genomic_DNA	1
A0A931G5C6	2792083		JADQTO010000018	MBG0566114.1	Genomic_DNA	1
A0A934KPH0	291193		JAEHJZ010000092	MBJ7883087.1	Genomic_DNA	1
A0A934SS64	2801341		JAEPBG010000002	MBK4734495.1	Genomic_DNA	1
A0A934W1F1	657651		JAEPRQ010000004	MBK4216749.1	Genomic_DNA	1
A0A937FSZ6	2494733		JAEUGD010000001	MBL6444714.1	Genomic_DNA	1
A0A939M8N2						0
A0A940XT61	2820809		JAGPNL010000006	MBQ0829193.1	Genomic_DNA	1
A0A941BIX2	2824118		JAGQDD010000024	MBQ0933183.1	Genomic_DNA	1
A0A964TAH5	2696472		JAAABI010000001	NAY91245.1	Genomic_DNA	1
A0A973WA96						0
A0A975J169	2824561		CP073100	QUE52084.1	Genomic_DNA	1
A0A9D2WSC4	182264		LSRS01000001	KAF1086685.1	Genomic_DNA	1
A0A9Q3X6Q3						0
A0A9X1P2F6	2907202		JAJUWU010000007	MCE7028113.1	Genomic_DNA	1
A0A9X1PVV9	1077944		JAKEIP010000028	MCF1594053.1	Genomic_DNA	1
A0A9X1PZH8	1077944		JAKEIP010000039	MCF1594516.1	Genomic_DNA	1
A0A9X1T348	2907202		JAJUWU010000003	MCE7027071.1	Genomic_DNA	1
A0A9X4BLL3	2983605		JAOVZO020000020	MDC8015477.1	Genomic_DNA	1
A0A9X4BM46	2983605		JAOVZO020000019	MDC8014939.1	Genomic_DNA	1
A0A9X4D7M1						0
A0A9X4I0A2						0
A0A9X5I711	1245923		JTJC03000007	NHC37304.1	Genomic_DNA	1
A0AA35V075						0
A0AA41H3T0	2849652		JALJZU010000004	MCP2008723.1	Genomic_DNA	1
A0AA48HBG1	254955		AP027268	BDW93804.1	Genomic_DNA	1
A0AA92QAW9						0
A0AA95F4Q0	3121368		CP119317	WEK54815.1	Genomic_DNA	1
A0AAC8Q565	48		QUMU01000004	REG32727.1	Genomic_DNA	1
A0AAD0S6F5						0
A0AAE7CKN2	1890		LHQL01000008	OOQ52088.1	Genomic_DNA	1
A0AAE8VXB0						0
A0AAJ3LKX2						0
A0AAJ4MX13						0
A0AAJ5HX26						0
A0AAP5I6Y4	2712845		JAALHA020000007	MDR9896122.1	Genomic_DNA	1
A0AAP7ZQB5						0
A0AAU1UBC7						0
A0AAU2A8A6						0
A0AAU7EFE9	3045158		CP155618	XBL13885.1	Genomic_DNA	1
A0AAU7MTE2						0
A0AAU8RIP0						0
A0AAW5AIV8	219574		WKEW01000121	MCF5060106.1	Genomic_DNA	1
A0AAW7XA35						0
A0AB33BFT5						0
A0AB33VCY9						0
A0AB37UNL5	388085		RSCK01000010	RUT12896.1	Genomic_DNA	1
A0AB39PV22						0
A0AB39T4R7						0
A0AB39YCZ7						0
A0AB72UHW7						0
A0ABD5AIY8						0
A0ABD7CW28	67351		CP070249	QRV43132.1	Genomic_DNA	1
A0ABF7RBE4	564066		LN651282	CEJ18894.1	Genomic_DNA	1
A0ABM6CI63	396		CP013572	ANL87981.1	Genomic_DNA	1
A0ABM7Q8X4	2675101		AP024545	BCT93863.1	Genomic_DNA	1
A0ABM7QH02	2675059		AP024546	BCT97019.1	Genomic_DNA	1
A0ABM9AE91	1641715		CAKLPX010000001	CAH0991023.1	Genomic_DNA	1
A0ABN1AUX7	173861		BAAAHB010000083	GAA0484400.1	Genomic_DNA	1
A0ABN2SNM7	344165		BAAAOH010000001	GAA1989843.1	Genomic_DNA	1
A0ABN3I3E9	66879		BAAASE010000003	GAA2393433.1	Genomic_DNA	1
A0ABN6PW21	449208		AP025732	BDI14225.1	Genomic_DNA	1
A0ABP2UGM9	981331		APQI01000004	ENV98856.1	Genomic_DNA	1
A0ABP3F3E3	67342		BAAABV010000018	GAA0297817.1	Genomic_DNA	1
A0ABP3FXV5	68180		BAAABW010000001	GAA0329471.1	Genomic_DNA	1
A0ABP5NC15	295352		BAAAOQ010000006	GAA2194854.1	Genomic_DNA	1
A0ABP6N226	68261		BAAAVM010000024	GAA3134035.1	Genomic_DNA	1
A0ABP6PWQ7	111803		BAAAUV010000001	GAA3193095.1	Genomic_DNA	1
A0ABP7CF56	531940		BAABBE010000050	GAA3685253.1	Genomic_DNA	1
A0ABP7IR36	647381		BAABDE010000025	GAA3824829.1	Genomic_DNA	1
A0ABP7VYG6	653357		BAAAZY010000021	GAA4077240.1	Genomic_DNA	1
A0ABP9B2P4	568869		BAABJV010000014	GAA4789125.1	Genomic_DNA	1
A0ABP9BY94	1045501		BAABIG010000026	GAA4800996.1	Genomic_DNA	1
A0ABP9C131	1176535		BAABJE010000017	GAA4803438.1	Genomic_DNA	1
A0ABQ2WY11	68229		BMWC01000001	GGW79394.1	Genomic_DNA	1
A0ABQ3NIH1	1961		BNDV01000007	GHI12561.1	Genomic_DNA	2
A0ABQ3QAB7	66885		BNDX01000016	GHI34160.1	Genomic_DNA	1
A0ABQ3RP65	285531		BNEA01000015	GHI57656.1	Genomic_DNA	1
A0ABQ3RZ02	249586		BNEB01000003	GHI61107.1	Genomic_DNA	1
A0ABQ3XK95	403638		BOMG01000092	GID58923.1	Genomic_DNA	1
A0ABQ3YK86	113561		BOMI01000190	GID80398.1	Genomic_DNA	1
A0ABQ5XCR5	1867833		BSOA01000020	GLQ88757.1	Genomic_DNA	1
A0ABQ6BM68	1443434		BSOY01000102	GLS02744.1	Genomic_DNA	1
A0ABQ6CRI4	346912		BSPC01000063	GLS22425.1	Genomic_DNA	1
A0ABR4TSS6	1353532		AUNC01000003	KEO58924.1	Genomic_DNA	1
A0ABR5F0S2	1562887		JWIO01000036	KLL10311.1	Genomic_DNA	1
A0ABR5H1K7	1295136		JXOD01000112	KMO16908.1	Genomic_DNA	1
A0ABR5Y6J9	220697		LPXL01000004	KZD06707.1	Genomic_DNA	1
A0ABR6V5Y3	470150		JABWRS010000005	MBC3475836.1	Genomic_DNA	1
A0ABR8DNS8	2692904		JACJSI010000022	MBD2530570.1	Genomic_DNA	1
A0ABR8GTX6	1842502		JACJTA010000043	MBD2606580.1	Genomic_DNA	1
A0ABR8K2N4	2692908		JACJTU010000005	MBD2733685.1	Genomic_DNA	1
A0ABR9NDC2	1148157		JADAZL010000001	MBE2162920.1	Genomic_DNA	1
A0ABR9U2C3	2777974		JADEXF010000528	MBE9106415.1	Genomic_DNA	1
