accession	group	subgroup
A0A8J6XJ86	canonical_novelty	His230_I
A0A8J7F6V8	canonical_novelty	His230_I
A0A8T5V6X5	canonical_novelty	Glu195_D
A0A8T5V6X5	canonical_novelty	His230_I
A0A916BC20	canonical_novelty	Arg209_C
A0A917P583	canonical_novelty	Gly46_Y
A0A918G405	canonical_novelty	His230_V
A0A918GY00	canonical_novelty	Gly46_I
A0A918IXH7	canonical_novelty	Gly46_Y
A0A918K8V8	canonical_novelty	Glu195_N
A0A918LUS6	canonical_novelty	Val218_S
A0A918Q8X9	canonical_novelty	Val218_S
A0A918T3M3	canonical_novelty	Val218_S
A0A918Y127	canonical_novelty	Gly46_I
A0A918Z2P7	canonical_novelty	Glu195_D
A0A919A4R2	canonical_novelty	His230_V
A0A919B0T2	canonical_novelty	Gly46_I
A0A919DUL7	canonical_novelty	Gly46_I
A0A919MPV4	canonical_novelty	Phe227_V
A0A923I5A5	canonical_novelty	His230_F
A0A927BLU8	canonical_novelty	Val218_S
A0A927QKQ5	canonical_novelty	Gly46_I
A0A928V4K1	canonical_novelty	Arg209_C
A0A931G5C6	canonical_novelty	Val218_R
A0A934KPH0	canonical_novelty	Asn205_R
A0A934SS64	canonical_novelty	Gly46_H
A0A934SS64	canonical_novelty	His230_F
A0A934W1F1	canonical_novelty	His230_Y
A0A937FSZ6	canonical_novelty	Glu195_I
A0A937FSZ6	canonical_novelty	His230_Y
A0A937FSZ6	canonical_novelty	Phe65_Y
A0A939M8N2	canonical_novelty	Glu195_D
A0A939M8N2	canonical_novelty	His230_I
A0A940XT61	canonical_novelty	His230_V
A0A941BIX2	canonical_novelty	Val218_Y
A0A964TAH5	canonical_novelty	Asn205_R
A0A973WA96	canonical_novelty	Glu195_D
A0A975J169	canonical_novelty	Glu195_I
A0A975J169	canonical_novelty	His230_F
A0A975J169	canonical_novelty	Phe65_Y
A0A9D2WSC4	canonical_novelty	His230_F
A0A9Q3X6Q3	canonical_novelty	Val218_S
A0A9X1P2F6	canonical_novelty	Arg209_C
A0A9X1P2F6	canonical_novelty	Glu195_D
A0A9X1PVV9	canonical_novelty	Gly46_I
A0A9X1PZH8	canonical_novelty	His230_V
A0A9X1T348	canonical_novelty	Glu195_D
A0A9X4BLL3	canonical_novelty	Val218_S
A0A9X4BM46	canonical_novelty	Arg209_C
A0A9X4D7M1	canonical_novelty	His230_Y
A0A9X4I0A2	canonical_novelty	His230_Y
A0A9X5I711	canonical_novelty	His230_I
A0AA35V075	canonical_novelty	Glu195_D
A0AA41H3T0	canonical_novelty	His230_F
A0AA48HBG1	canonical_novelty	Asn205_R
A0AA92QAW9	canonical_novelty	Gly46_D
A0AA95F4Q0	canonical_novelty	Gly46_H
A0AA95F4Q0	canonical_novelty	His230_I
A0AAC8Q565	canonical_novelty	Val218_S
A0AAD0S6F5	canonical_novelty	Gly46_D
A0AAE7CKN2	canonical_novelty	Gly46_Y
A0AAE8VXB0	canonical_novelty	Gly46_Y
A0AAJ3LKX2	canonical_novelty	His230_Y
A0AAJ4MX13	canonical_novelty	His230_F
A0AAJ5HX26	canonical_novelty	His230_Y
A0AAP5I6Y4	canonical_novelty	Glu195_D
A0AAP5I6Y4	canonical_novelty	His230_V
A0AAP7ZQB5	canonical_novelty	Gly46_D
A0AAU1UBC7	canonical_novelty	Gly46_Y
A0AAU2A8A6	canonical_novelty	Gly46_Y
A0AAU7EFE9	canonical_novelty	Glu195_I
A0AAU7EFE9	canonical_novelty	His230_Y
A0AAU7EFE9	canonical_novelty	Phe65_Y
A0AAU7MTE2	canonical_novelty	Asn205_R
A0AAU8RIP0	canonical_novelty	Asn205_R
A0AAW5AIV8	canonical_novelty	His230_Y
A0AAW7XA35	canonical_novelty	Glu195_D
A0AB33BFT5	canonical_novelty	Arg209_C
A0AB33VCY9	canonical_novelty	Gly46_D
A0AB37UNL5	canonical_novelty	His230_I
A0AB39PV22	canonical_novelty	His230_V
A0AB39T4R7	canonical_novelty	Gly46_Y
A0AB39YCZ7	canonical_novelty	Gly46_L
A0AB72UHW7	canonical_novelty	His230_Y
A0ABD5AIY8	canonical_novelty	Arg209_C
A0ABD7CW28	canonical_novelty	Val218_S
A0ABF7RBE4	canonical_novelty	Gly46_D
A0ABM6CI63	canonical_novelty	Val218_E
A0ABM7Q8X4	canonical_novelty	Glu195_D
A0ABM7QH02	canonical_novelty	Glu195_D
A0ABM9AE91	canonical_novelty	His230_F
A0ABN1AUX7	canonical_novelty	Gly46_I
A0ABN2SNM7	canonical_novelty	Glu195_K
A0ABN2SNM7	canonical_novelty	Gly46_H
A0ABN2SNM7	canonical_novelty	Phe227_V
A0ABN3I3E9	canonical_novelty	His230_F
A0ABN6PW21	canonical_novelty	Gly46_T
A0ABP2UGM9	canonical_novelty	Arg209_C
A0ABP3F3E3	canonical_novelty	Gly46_L
A0ABP3FXV5	canonical_novelty	Gly46_I
A0ABP5NC15	canonical_novelty	Gly46_Y
A0ABP6N226	canonical_novelty	Glu195_I
A0ABP6N226	canonical_novelty	His230_F
A0ABP6PWQ7	canonical_novelty	Glu195_T
A0ABP6PWQ7	canonical_novelty	His230_W
A0ABP6PWQ7	canonical_novelty	Trp68_R
A0ABP7CF56	canonical_novelty	Phe227_V
A0ABP7IR36	canonical_novelty	Gly46_Y
A0ABP7VYG6	canonical_novelty	His230_V
A0ABP9B2P4	canonical_novelty	Gly46_I
A0ABP9BY94	canonical_novelty	His230_V
A0ABP9C131	canonical_novelty	Val218_S
A0ABQ2WY11	canonical_novelty	Val218_S
A0ABQ3NIH1	canonical_novelty	Arg209_H
A0ABQ3QAB7	canonical_novelty	His230_V
A0ABQ3RP65	canonical_novelty	Gly46_Y
A0ABQ3RZ02	canonical_novelty	Gly46_Y
A0ABQ3XK95	canonical_novelty	Val218_R
A0ABQ3YK86	canonical_novelty	Val218_R
A0ABQ5XCR5	canonical_novelty	Arg209_C
A0ABQ6BM68	canonical_novelty	Arg209_E
A0ABQ6CRI4	canonical_novelty	Glu195_D
A0ABQ6CRI4	canonical_novelty	His230_V
A0ABR4TSS6	canonical_novelty	His230_Y
A0ABR5F0S2	canonical_novelty	Val218_S
A0ABR5H1K7	canonical_novelty	Val218_S
A0ABR5Y6J9	canonical_novelty	His230_Y
A0ABR6V5Y3	canonical_novelty	His230_Y
A0ABR8DNS8	canonical_novelty	Gly46_T
A0ABR8GTX6	canonical_novelty	His230_I
A0ABR8K2N4	canonical_novelty	Gly46_T
A0ABR9NDC2	canonical_novelty	Arg209_C
A0ABR9U2C3	canonical_novelty	Gly46_T
A0ABS0SWE3	canonical_novelty	Arg209_C
A0ABS0SWE3	canonical_novelty	Val218_S
A0ABS1DFY7	canonical_novelty	Val218_Y
A0ABS1NZB4	canonical_novelty	Gly46_Y
A0ABS1P986	canonical_novelty	Gly46_I
A0ABS1WIG2	canonical_novelty	His230_F
A0ABS2VTD6	canonical_novelty	Gly46_Y
A0ABS3J5N9	canonical_novelty	Glu195_D
A0ABS4XWU1	canonical_novelty	Arg209_P
A0ABS4XWU1	canonical_novelty	His230_F
A0ABS6QBR2	canonical_novelty	His230_Y
A0ABS8EGX4	canonical_novelty	Gly46_Y
A0ABS8I9C0	canonical_novelty	Gly46_T
A0ABS8ZNX7	canonical_novelty	Gly46_L
A0ABS9FD76	canonical_novelty	His230_Y
A0ABS9G7M5	canonical_novelty	His230_Y
A0ABS9JNH7	canonical_novelty	Gly46_Y
A0ABS9XB71	canonical_novelty	Gly46_Y
A0ABT0NYG0	canonical_novelty	Gly46_Y
A0ABT0UYQ7	canonical_novelty	Val218_S
A0ABT0WZ33	canonical_novelty	His230_F
A0ABT1QQK3	canonical_novelty	Glu195_D
A0ABT2ZPY2	canonical_novelty	His230_Y
A0ABT3YNN3	canonical_novelty	Glu195_I
A0ABT3YNN3	canonical_novelty	His230_F
A0ABT3YNN3	canonical_novelty	Phe65_Y
A0ABT4AC96	canonical_novelty	Phe65_I
A0ABT4KNP9	canonical_novelty	His230_F
A0ABT4VMH7	canonical_novelty	Glu195_I
A0ABT4VMH7	canonical_novelty	His230_F
A0ABT4VMH7	canonical_novelty	Phe65_Y
A0ABT5BA12	canonical_novelty	Val218_R
A0ABT5C395	canonical_novelty	Ala221_L
A0ABT5C395	canonical_novelty	Asn205_V
A0ABT5C395	canonical_novelty	Glu195_D
A0ABT5NM23	canonical_novelty	His230_Y
A0ABT6FUS9	canonical_novelty	Glu195_F
A0ABT6FUS9	canonical_novelty	Val218_S
A0ABT6LHM3	canonical_novelty	Gly46_Y
A0ABT6WGX1	canonical_novelty	Val218_R
A0ABT6X1I4	canonical_novelty	Val218_R
A0ABT7H3U6	canonical_novelty	Gly46_L
A0ABT7Z8T3	canonical_novelty	Gly46_I
A0ABT8C4V6	canonical_novelty	His230_F
A0ABT9FYM9	canonical_novelty	Val218_Y
A0ABT9JGD5	canonical_novelty	Arg209_C
A0ABT9LDS4	canonical_novelty	His230_V
A0ABU0J091	canonical_novelty	Glu195_D
A0ABU0NRC4	canonical_novelty	Gly46_Y
A0ABU0Q201	canonical_novelty	Gly46_Y
A0ABU0TC15	canonical_novelty	Gly46_I
A0ABU0XXK1	canonical_novelty	His230_F
A0ABU1D0H3	canonical_novelty	His230_Y
A0ABU1LM08	canonical_novelty	Gly46_H
A0ABU1LQ40	canonical_novelty	Gly46_H
A0ABU1MXI3	canonical_novelty	Glu195_I
A0ABU1MXI3	canonical_novelty	His230_F
A0ABU2SMY1	canonical_novelty	Gly46_I
A0ABU2SWM0	canonical_novelty	Phe227_V
