accession	classification	n_coord_his	af3_cu1_assignment	af3_cu1_dist_canonical	af3_cu1_plddt	af3_cu2_assignment	af3_cu2_dist_canonical	af3_cu2_plddt	af3_cu_cu_dist	m3d_n_cu_sites	m3d_n_total_sites	m3d_cu1_closest_cu_dist	m3d_cu1_closest_cu_prob	m3d_cu1_closest_any_dist	m3d_cu1_closest_any_element	m3d_cu2_closest_cu_dist	m3d_cu2_closest_cu_prob	m3d_cu2_closest_any_dist	m3d_cu2_closest_any_element	m3d_CuA_cu_dist	m3d_CuA_cu_prob	m3d_CuA_any_dist	m3d_CuA_any_element	m3d_CuB_cu_dist	m3d_CuB_cu_prob	m3d_CuB_any_dist	m3d_CuB_any_element
A0A067CT24	mononuclear	3	CuB	0.45	97.8	neither		58.8	24.39	2	22	0.74	0.790	0.74	CU	24.04	0.820	11.28	X	3.94	0.860	3.94	CU	0.88	0.860	0.88	CU
A0A067CZT6	mononuclear	5	CuA	0.16	96.9	CuB	0.47	86.7	4.41	4	32	0.90	0.960	0.90	CU	1.27	0.500	1.27	CU								
A0A072Q6Y5	mononuclear	5	CuA	0.63	96.7	CuB	0.52	94.6	4.02	2	18	0.24	0.960	0.24	CU	0.76	0.770	0.76	CU								
A0A074RWE6	no_cu	3	CuA	0.58	94.3	CuB	0.50	77.8	4.18	1	26	1.42	0.540	1.42	CU	3.05	0.540	0.73	X								
A0A074S9M8	mononuclear	5	CuB	0.30	94.9	CuA	0.39	90.0	3.84	3	20	0.53	0.880	0.53	CU	0.64	0.690	0.64	CU								
A0A074SDG0	no_cu	3	CuA	2.24	85.4	neither		64.1	4.38	1	22	1.50	0.380	1.50	CU	3.49	0.380	3.49	CU								
A0A074VI76	no_cu	2	neither		74.3	neither		76.3	16.57	0	19			1.45	X			4.04	X								
A0A074W682	mononuclear	5	CuA	0.53	97.6	CuB	0.74	95.6	4.48	4	23	0.47	0.950	0.47	CU	0.88	0.850	0.88	CU								
A0A074W6F3	no_cu	2	neither		86.9	neither		77.2	16.77	0	23			4.32	X			15.83	X								
A0A074XND5	no_cu	1	neither		86.6	neither		60.5	24.39	0	22			11.55	X			1.27	X								
A0A074YQS1	no_cu	2	neither		83.6	neither		78.3	29.61	0	20			2.25	X			7.39	X								
A0A075AEH4	mononuclear	5	CuA	0.18	93.6	CuB	0.44	88.5	4.17	1	20	0.62	0.970	0.62	CU	4.48	0.970	4.48	CU								
A0A077YX65	mononuclear	3	CuA	0.72	95.7	neither		70.0	25.14	2	23	0.56	0.760	0.56	CU	25.05	0.760	0.66	X	0.65	0.920	0.65	CU	3.64	0.920	3.64	CU
A0A077ZFE0	no_cu	1	neither		47.5	neither		48.7	36.57	0	36			5.98	X			16.16	X								
A0A077ZGT3	no_cu	2	CuA	1.21	65.4	neither		40.8	40.79	1	39	1.34	0.520	1.34	CU	39.65	0.520	12.62	X								
A0A080ZC48	no_cu	0	neither		65.1	neither		57.2	30.6	0	27			5.88	X			9.91	X								
A0A080ZC49	no_cu	0	neither		66.1	neither		59.3	31.55	0	29			1.40	X			1.57	X								
A0A080ZVP9	mononuclear	4	CuB	0.41	97.6	neither		73.7	21.66	2	25	0.42	0.950	0.42	CU	21.61	0.950	9.37	X	3.70	0.890	3.70	CU	1.10	0.960	1.10	CU
A0A084AJL7	mononuclear	5	CuA	0.56	92.6	CuB	0.62	88.8	3.71	3	26	1.26	0.890	1.26	CU	1.31	0.850	1.31	CU								
A0A084GDW0	no_cu	2	neither		79.5	neither		57.7	38.07	0	29			0.90	X			5.23	X								
A0A084R1I5	mononuclear	5	CuA	0.36	95.2	CuB	0.48	90.2	3.71	2	33	0.30	0.940	0.30	CU	1.19	0.940	1.19	CU								
A0A085M8H3	no_cu	3	CuA	0.98	65.2	neither		40.2	40.98	2	44	1.56	0.330	1.56	CU	39.37	0.380	12.40	X								
A0A085NCJ6	no_cu	0	neither		51.8	neither		39.2	19.31	0	26			16.55	X			10.04	X								
A0A086T0Z5	no_cu	4	CuA	1.20	86.2	CuB	0.48	73.9	5.29	4	34	0.55	0.970	0.55	CU	0.41	0.200	0.41	CU								
A0A087UWG8	no_cu	2	CuB	0.89	81.7	neither		66.4	15.74	1	26	0.69	0.670	0.69	CU	15.11	0.670	1.64	X								
A0A091EJM4	mononuclear	5	CuA	0.28	96.7	CuB	0.54	92.1	3.34	1	21	0.87	0.990	0.87	CU	2.61	0.990	2.61	CU								
A0A091IY37	mononuclear	4	CuA	0.27	84.4	CuB	2.32	51.0	3.67	1	37	0.98	0.630	0.98	CU	3.66	0.630	3.58	ZN								
A0A091L9M2	mononuclear	4	CuA	0.45	94.5	CuB	0.26	66.7	3.59	2	27	0.61	0.880	0.61	CU	1.55	0.890	1.55	CU								
A0A091M3M6	mononuclear	4	CuA	0.41	83.8	neither		27.9	30.85	1	27	1.01	0.770	1.01	CU	30.13	0.770	18.71	X								
A0A091Q771	mononuclear	4	CuA	0.43	93.5	CuB	0.14	54.1	3.59	2	36	1.45	0.730	1.45	CU	2.44	0.380	2.44	CU								
A0A091TFJ5	mononuclear	4	CuA	0.51	88.3	CuB	0.39	66.3	3.9	2	24	0.17	0.890	0.17	CU	2.77	0.850	2.77	CU								
A0A091TMG5	binuclear	5	CuA	0.39	91.5	CuB	0.51	85.4	4.36	2	23	0.51	0.930	0.51	CU	1.32	0.890	1.32	CU								
A0A093CQX0	mononuclear	5	CuA	0.39	84.7	CuB	0.20	80.7	3.7	3	24	0.71	0.970	0.71	CU	0.96	0.740	0.96	CU								
A0A093H736	mononuclear	5	CuA	0.39	97.1	CuB	0.76	94.1	3.19	1	33	0.98	1.000	0.98	CU	2.23	1.000	2.23	CU								
A0A093JA04	mononuclear	4	CuA	0.52	92.4	CuB	0.56	62.9	4.02	2	28	0.44	0.980	0.44	CU	2.08	0.980	2.08	CU								
A0A093R256	mononuclear	5	CuA	0.42	89.5	CuB	0.51	76.9	3.49	1	20	0.58	0.930	0.58	CU	3.00	0.930	3.00	CU								
A0A099ZQM2	mononuclear	5	CuA	0.47	97.5	CuB	0.60	95.8	3.38	2	29	1.01	0.770	1.01	CU	0.41	0.450	0.41	CU								
A0A0A2X4S5	mononuclear	5	CuB	0.23	96.2	CuA	0.74	86.1	4.34	3	34	0.30	0.950	0.30	CU	0.71	0.860	0.71	CU								
A0A0A7CM13	mononuclear	4	CuA	0.78	94.8	CuB	0.38	79.6	4.02	0	29			13.77	X			13.16	X								
A0A0A7CM93	mononuclear	3	CuB	0.45	97.1	neither		78.1	25.41	1	23	0.35	0.960	0.35	CU	25.31	0.960	6.98	X	4.72	0.960	4.72	CU	1.08	0.960	1.08	CU
A0A0A7CMA7	mononuclear	5	CuA	0.11	96.2	CuB	0.40	82.7	4.27	3	34	0.78	0.830	0.78	CU	0.82	0.430	0.82	CU								
A0A0A7CN79	mononuclear	5	CuA	0.11	97.1	CuB	0.44	88.2	4.21	2	26	0.70	0.990	0.70	CU	0.70	0.590	0.70	CU								
A0A0A7CP65	no_cu	2	neither		42.2	neither		30.3	27.97	0	40											7.78	X			7.12	X
A0A0B2X1U6	mononuclear	5	CuB	0.25	88.9	CuA	0.45	72.7	3.82	2	31	0.51	0.930	0.51	CU	3.62	0.930	3.62	CU								
A0A0B7FL26	no_cu	3	CuA	0.84	94.1	CuB	0.61	81.8	4.06	2	21	2.01	0.450	2.01	CU	1.72	0.550	1.72	CU								
A0A0C2HHH6	no_cu	3	CuA	0.99	91.5	neither		60.0	17.29	3	20	0.96	0.430	0.96	CU	16.41	0.430	9.63	X								
A0A0C2WPB2	binuclear	4	CuB	0.14	91.3	CuA	1.08	68.1	5.06	3	27	0.61	0.970	0.61	CU	3.38	0.710	0.86	ZN								
A0A0C2XCT6	mononuclear	5	CuB	2.42	84.9	CuA	3.99	55.2	4.45	2	55	0.24	0.980	0.24	CU	1.73	0.890	1.73	CU								
A0A0C3B6I5	binuclear	5	CuB	0.33	92.7	CuA	0.93	84.0	3.94	3	62	0.48	0.950	0.48	CU	0.45	0.990	0.45	CU								
A0A0C9SL04	mononuclear	5	CuA	0.59	95.2	CuB	0.63	85.9	4.94	2	20	0.45	0.970	0.45	CU	1.34	0.820	1.34	CU								
A0A0C9SRH3	mononuclear	5	CuA	1.01	94.0	CuB	0.54	85.4	5.33	4	24	1.01	0.980	1.01	CU	1.75	0.450	1.75	CU								
A0A0D2FU82	binuclear	5	CuB	0.14	89.9	CuA	0.91	79.7	4.12	2	44	0.45	0.820	0.45	CU	0.21	0.510	0.21	CU								
A0A0D2M1N4	mononuclear	3	CuA	0.81	95.0	neither		72.4	26.23	0	22			0.47	X			8.70	X			1.72	X			0.71	X
A0A0D3HYU6	mononuclear	4	CuB	0.41	80.3	CuA	0.92	33.7	4.23	1	43	0.75	0.860	0.75	CU	3.98	0.860	1.02	X								
A0A0D6LZL4	binuclear	5	CuB	0.71	96.2	CuA	0.63	88.4	4.17	2	22	0.95	0.170	0.95	CU	1.00	0.900	1.00	CU								
A0A0D6M6M4	mononuclear	4	CuA	0.23	96.6	neither		55.5	24.55	1	23	0.60	0.990	0.60	CU	24.53	0.990	7.08	X	0.49	0.950	0.49	CU	2.93	0.910	2.93	CU
A0A0D9NQW1	mononuclear	5	CuA	0.39	96.1	CuB	0.55	93.0	3.79	3	16	0.55	0.900	0.55	CU	1.14	0.760	1.14	CU								
A0A0F4GBJ7	mononuclear	5	CuA	0.19	89.8	CuB	0.40	89.5	4.03	3	39	2.04	0.490	2.04	CU	0.89	0.510	0.89	CU								
A0A0F5VAR5	mononuclear	5	CuB	0.27	93.4	CuA	0.79	85.4	4.19	3	16	0.46	0.970	0.46	CU	0.21	0.680	0.21	CU								
A0A0F8A4E9	binuclear	5	CuB	0.06	97.2	CuA	0.94	93.3	4.36	3	19	0.21	0.960	0.21	CU	0.63	0.960	0.63	CU								
A0A0G2GB29	mononuclear	4	CuB	1.18	90.3	CuA	3.54	40.6	5.17	1	44	0.45	0.640	0.45	CU	5.37	0.640	5.37	CU								
A0A0G4IUF0	no_cu	1	CuA	1.13	71.3	neither		78.2	23.6	0	27			1.16	X			1.54	X								
A0A0G4N7R0	binuclear	5	CuB	1.20	91.9	CuA	0.74	87.5	3.79	2	38	2.62	0.630	2.62	CU	0.66	0.950	0.66	CU								
A0A0K6G359	mononuclear	3	CuA	0.89	93.5	neither		70.3	13.89	1	19	0.70	0.860	0.70	CU	14.43	0.860	12.47	X	2.05	0.470	2.05	CU	3.55	0.470	3.55	CU
A0A0K6G3H3	mononuclear	3	CuA	0.97	93.8	neither		73.6	13.4	2	18	0.54	0.440	0.54	CU	13.89	0.440	1.09	X	2.13	0.500	2.13	CU	3.45	0.500	3.45	CU
A0A0K6GCM0	binuclear	3	CuB	0.32	93.4	neither		67.5	11.39	4	47	1.27	0.850	1.27	CU	8.62	0.910	1.88	ZN								
A0A0L0NB41	mononuclear	5	CuA	0.34	96.4	CuB	0.21	93.5	3.86	2	13	0.38	0.960	0.38	CU	1.12	0.850	1.12	CU								
A0A0L0VSP3	binuclear	5	CuA	0.41	83.6	CuB	0.73	62.1	3.81	3	13	0.88	0.990	0.88	CU	2.98	0.980	2.98	CU								
A0A0L0VSW2	binuclear	5	CuA	0.59	90.5	CuB	0.59	79.0	3.87	4	19	0.49	0.950	0.49	CU	0.36	0.860	0.36	CU								
A0A0L6VTF1	binuclear	5	CuA	0.63	87.4	CuB	1.47	65.8	4.6	2	29	0.48	0.920	0.48	CU	2.90	0.920	2.90	CU								
A0A0L8FGF3	no_cu	2	neither		42.9	neither		23.4	25.54	0	42											3.63	X			3.38	X
A0A0L8ICD6	mononuclear	3	CuB	1.89	42.9	neither		23.3	29.74	0	53			0.90	X			14.57	X			2.42	X			1.96	X
A0A0L8IDI7	mononuclear	2	CuB	1.27	46.0	neither		20.4	29.9	0	57			1.13	X			3.89	X			3.39	X			1.37	X
A0A0M3IG66	mononuclear	5	CuA	0.48	94.6	CuB	0.75	87.2	3.55																		
A0A0M3IJ33	mononuclear	3	CuA	0.80	81.4	CuB	0.75	68.1	3.96	1	42	3.04	0.220	3.04	CU	1.84	0.220	1.84	CU								
A0A0N4SWM8	mononuclear	5	CuA	0.34	96.9	CuB	0.52	89.7	3.5	2	60	0.28	0.930	0.28	CU	2.23	0.800	2.23	CU								
A0A0P1ANE6	no_cu	1	neither		60.0	neither		50.2	35.13	0	25											4.49	X			3.93	X
A0A0R3QQ18	mononuclear	5	CuA	0.54	95.2	CuB	0.72	88.9	3.63	2	26	0.20	0.960	0.20	CU	1.97	0.930	1.97	CU								
A0A0R3RX42	mononuclear	5	CuA	0.37	96.1	CuB	0.98	89.4	3.54	3	49	0.70	0.960	0.70	CU	1.77	0.900	1.77	CU								
A0A0U1M3F3	mononuclear	5	CuA	0.96	90.8	CuB	0.44	81.8	3.92	3	31	0.61	0.990	0.61	CU	0.96	0.590	0.96	CU								
A0A0V0R8Y7	no_cu	5	neither		76.1	CuB	0.15	75.5	43.9	1	55	44.17	0.320	0.33	ZN	2.00	0.320	2.00	CU								
A0A0V0S806	mononuclear	4	CuA	0.71	67.0	neither		27.4	28.53	1	52	0.61	0.900	0.61	CU	28.44	0.900	5.42	X	1.24	0.890	1.24	CU	4.29	0.890	4.29	CU
A0A0V0SMD1	no_cu	2	neither		67.7	neither		51.6	36.8	0	35											3.95	X			4.95	X
A0A0V0TGR2	mononuclear	4	CuA	0.91	64.4	neither		30.4	26.0	1	63	0.55	0.840	0.55	CU	25.63	0.840	1.07	X	1.48	0.860	1.48	CU	4.48	0.860	4.48	CU
A0A0V0YE73	mononuclear	3	CuA	0.80	62.7	neither		17.2	22.8	1	33	0.56	0.620	0.56	CU	23.13	0.620	13.94	X	0.82	0.680	0.82	CU	4.11	0.680	3.62	X
A0A0V1A2F9	no_cu	2	neither		66.3	neither		53.7	40.1	0	38											2.87	X			5.96	X
A0A0V1AAJ2	mononuclear	3	CuA	0.60	61.9	neither		24.7	26.02	1	41	0.31	0.960	0.31	CU	25.77	0.960	2.41	X	1.03	0.750	1.03	CU	4.40	0.750	3.24	X
A0A0V1ABN4	mononuclear	4	CuA	0.36	78.2	neither		38.3	27.4	1	36	0.41	0.880	0.41	CU	27.15	0.880	2.37	X			7.28	X			6.17	X
A0A0V1BIN6	mononuclear	4	CuA	0.58	58.8	neither		28.4	26.76	1	37	1.15	0.750	1.15	CU	25.88	0.750	1.97	X	1.50	0.950	1.50	CU	3.88	0.950	3.88	CU
A0A0V1DE70	mononuclear	5	CuA	0.59	74.5	neither		38.9	24.92	2	46	0.50	0.910	0.50	CU	24.69	0.910	3.04	X	0.72	0.670	0.72	CU	2.53	0.530	2.53	CU
A0A0V1DFZ9	no_cu	2	neither		58.9	neither		51.5	25.76	0	31			5.54	X			0.68	X								
A0A0V1EIF6	no_cu	3	neither		62.7	neither		51.0	27.71	0	39			9.56	X			5.36	X								
A0A0V1ESS6	mononuclear	4	CuA	0.80	75.4	neither		40.1	24.82	1	37	0.07	0.620	0.07	CU	24.75	0.620	6.16	X	0.74	0.850	0.74	CU	4.32	0.850	4.32	CU
A0A0V1FSY3	no_cu	3	neither		63.9	neither		48.1	28.76	0	29											3.92	X			5.72	X
A0A0V1G4S3	mononuclear	5	CuA	0.71	79.2	neither		41.6	25.41	1	46	0.57	0.740	0.57	CU	25.08	0.740	6.42	X	0.93	0.680	0.93	CU	4.28	0.680	3.53	X
A0A0V1I3Y0	mononuclear	4	CuA	0.70	72.8	neither		37.5	24.66	1	47	0.37	0.820	0.37	CU	24.48	0.820	3.40	X	0.72	0.420	0.72	CU	4.26	0.420	4.11	X
A0A0V1I4K6	no_cu	2	neither		65.3	neither		49.1	28.24	0	32											3.48	X			4.32	X
A0A0V1JHS7	mononuclear	4	CuA	0.68	78.2	neither		41.4	27.66	1	38	0.33	0.910	0.33	CU	27.41	0.910	6.47	X	0.69	0.640	0.69	CU	4.04	0.640	3.24	X
A0A0V1KD92	mononuclear	5	CuA	0.67	76.9	neither		39.9	26.43	1	40	0.26	0.940	0.26	CU	26.50	0.940	5.58	X	0.76	0.930	0.76	CU	4.30	0.930	4.30	CU
A0A0V1KR57	mononuclear	3	CuA	0.89	71.6	neither		34.3	13.11	1	47	0.23	0.640	0.23	CU	13.24	0.640	9.87	X	1.53	0.750	1.53	CU	4.49	0.750	4.49	CU
A0A0V1LPZ2	no_cu	2	neither		62.5	neither		48.9	36.26	0	31			14.88	X			20.37	X								
A0A0V1MUW3	mononuclear	5	CuA	0.90	72.2	neither		36.9	25.68	1	44	0.49	0.940	0.49	CU	25.82	0.940	13.03	X	0.77	0.890	0.77	CU	3.46	0.540	3.46	CU
A0A0V1N8R5	no_cu	3	neither		66.3	neither		55.8	27.74																		
A0A0W8AY19	no_cu	1	neither		69.7	neither		55.4	41.06	0	31											4.02	X			3.26	X
A0A0W8C3R7	mononuclear	4	CuB	0.48	97.5	neither		68.5	21.71	1	21	0.25	0.870	0.25	CU	21.59	0.870	6.64	X	3.91	0.980	3.91	CU	1.30	0.980	1.30	CU
A0A0W8DAM1	no_cu	2	CuB	1.89	76.3	neither		39.7	22.38	0	43			13.33	X			10.56	X								
A0A0Y0DNT4	mononuclear	4	CuA	0.23	90.6	CuB	1.90	38.6	2.54	1	33	0.47	0.990	0.47	CU	2.13	0.990	2.13	CU								
A0A135SEP1	no_cu	4	CuB	0.65	89.7	CuA	0.59	84.9	3.9	3	28	0.63	0.690	0.63	CU	0.64	0.470	0.64	CU								
A0A135UY99	no_cu	4	CuB	0.57	89.4	CuA	0.47	86.4	3.86	2	28	1.35	0.710	1.35	CU	0.53	0.300	0.53	CU								
A0A135V6Y1	mononuclear	4	CuB	1.52	90.9	neither		72.8	11.98	1	20	0.35	0.890	0.35	CU	11.83	0.890	11.83	CU	4.40	0.870	4.40	CU	0.55	0.870	0.55	CU
A0A135V8Q3	mononuclear	5	CuA	0.52	97.2	CuB	0.46	90.4	3.79	2	27	0.23	0.920	0.23	CU	1.05	0.840	1.05	CU								
A0A137NPX8	no_cu	2	CuB	0.18	85.5	neither		74.2	22.3	0	9			1.83	X			4.32	X								
A0A139HAY5	mononuclear	5	CuA	0.51	94.4	CuB	0.62	91.8	3.67	1	20	3.80	0.880	3.80	CU	0.89	0.880	0.89	CU								
A0A142I737	mononuclear	5	CuA	0.47	95.2	CuB	0.64	92.8	4.0	2	25	0.46	0.850	0.46	CU	0.24	0.660	0.24	CU								
A0A158RAT2	mononuclear	3	CuA	0.63	94.9	CuB	3.54	63.8	3.24	1	42	0.18	0.940	0.18	CU	3.28	0.940	3.28	CU								
A0A161VY89	mononuclear	5	CuA	0.24	96.3	CuB	0.59	91.9	4.03	2	24	3.27	0.540	3.27	CU	0.96	0.540	0.96	CU								
A0A166M367	mononuclear	5	CuA	0.52	97.3	CuB	0.56	94.7	3.98	0	19			7.94	X			5.92	X								
A0A166TEN8	mononuclear	5	CuA	0.22	94.1	CuB	0.32	87.4	3.73	3	30	0.60	0.960	0.60	CU	0.52	0.910	0.52	CU								
A0A166U3J7	mononuclear	5	CuA	0.52	97.9	CuB	0.56	95.0	3.9	2	18	0.35	0.980	0.35	CU	1.04	0.920	1.04	CU								
A0A167AFV0	mononuclear	5	CuA	0.29	95.9	CuB	0.43	92.3	4.11	3	14	0.47	1.000	0.47	CU	0.91	0.980	0.91	CU								
A0A167BRG2	mononuclear	5	CuA	0.34	95.3	CuB	0.27	91.2	3.94	3	29	0.38	0.790	0.38	CU	0.59	0.490	0.59	CU								
A0A168EXD0	mononuclear	5	CuA	0.51	97.5	CuB	0.44	94.9	3.89	3	19	0.35	0.970	0.35	CU	0.93	0.590	0.93	CU								
A0A175VYW1	mononuclear	5	CuA	0.54	96.6	neither		74.1	16.98	2	37	0.33	0.990	0.33	CU	17.12	0.990	0.88	X	0.58	1.000	0.58	CU	2.69	0.830	2.69	CU
A0A175W3Y2	mononuclear	5	CuA	0.45	95.2	CuB	0.82	94.7	3.52	2	28	0.48	0.850	0.48	CU	0.48	0.630	0.48	CU								
A0A177DSJ1	mononuclear	5	CuA	0.45	96.7	CuB	0.57	91.0	3.95	2	25	0.55	0.990	0.55	CU	0.46	0.660	0.46	CU								
A0A177T6E5	mononuclear	5	CuB	0.49	92.4	CuA	0.53	80.0	3.96	4	24	0.82	0.970	0.82	CU	1.18	0.540	1.18	CU								
A0A180GDP5	no_cu	5	CuA	4.46	90.0	CuB	3.53	83.0	4.26	2	20	0.19	0.910	0.19	CU	2.22	0.700	1.74	X								
A0A183I077	mononuclear	5	CuA	0.36	94.4	CuB	1.00	88.7	3.58	0	47			6.22	X			5.57	X								
A0A183IVQ9	no_cu	2	neither		68.0	neither		65.4	28.47	0	27											1.67	X			2.84	X
A0A194WE27	mononuclear	5	CuA	2.21	84.1	CuB	4.14	28.8	4.41	3	29	0.68	0.990	0.68	CU	2.57	0.910	2.57	CU								
A0A194XMC7	mononuclear	5	CuA	0.79	91.8	CuB	0.86	92.1	3.71	3	23	0.27	0.710	0.27	CU	0.83	0.570	0.83	CU								
A0A194XN12	mononuclear	5	CuA	0.55	95.8	CuB	0.44	92.9	3.89	3	21	0.38	0.940	0.38	CU	1.06	0.760	1.06	CU								
A0A194XSF1	mononuclear	4	CuA	0.66	91.8	CuB	1.72	68.4	4.95	2	16	0.48	0.990	0.48	CU	4.09	0.910	4.09	CU								
A0A1B7YR08	mononuclear	5	CuA	0.54	97.3	CuB	0.69	95.2	3.93	2	24	1.51	0.210	1.51	CU	0.64	0.290	0.64	CU								
A0A1G4AYJ9	mononuclear	5	CuA	0.49	97.2	CuB	0.55	95.3	3.88	3	32	0.37	0.900	0.37	CU	1.49	0.930	1.49	CU								
A0A1G4BKS1	mononuclear	5	CuA	0.43	94.8	CuB	0.46	92.3	3.73	1	24	0.28	0.980	0.28	CU	3.49	0.980	3.49	CU								
A0A1G6VNA4	no_cu	2	CuB	2.14	86.4	neither		20.9	24.31	0	33			0.89	X			8.37	X								
A0A1G8B6K0	mononuclear	3	CuB	0.65	96.0	neither		78.1	19.26	2	19	0.61	0.650	0.61	CU	19.09	0.650	4.00	ZN	2.67	0.950	2.47	X	1.36	0.950	1.36	CU
A0A1H1X1U7	mononuclear	5	CuB	0.30	97.2	CuA	0.65	90.3	4.26	3	32	0.61	0.940	0.61	CU	0.67	0.800	0.67	CU								
A0A1H7VPR3	mononuclear	4	CuB	0.75	93.5	neither		61.4	27.21	1	34	0.14	0.870	0.14	CU	27.33	0.870	3.81	X								
A0A1I4X2F3	mononuclear	5	CuB	0.38	93.8	CuA	0.70	88.8	4.2	2	26	0.54	0.880	0.54	CU	0.54	0.940	0.54	CU								
A0A1I5PK02	binuclear	5	CuB	0.47	97.3	CuA	0.79	93.5	4.2	3	27	1.21	0.860	1.21	CU	1.18	0.770	1.18	CU								
A0A1I7VEA5	mononuclear	5	CuA	0.38	95.7	CuB	0.75	82.2	3.67	2	51	0.64	0.840	0.64	CU	2.60	0.710	2.60	CU								
A0A1I8I6W4	mononuclear	5	CuB	0.94	93.2	CuA	0.43	68.1	4.2	1	28	0.60	0.950	0.60	CU	4.76	0.950	4.76	CU								
A0A1I8IJ91	mononuclear	5	CuB	0.46	86.2	CuA	0.36	79.5	4.11	0	41			9.98	X			8.48	X								
A0A1I9G609	mononuclear	5	CuA	0.53	94.8	CuB	0.86	90.2	3.73	3	52	0.28	0.980	0.28	CU	1.92	0.780	1.92	CU								
A0A1I9G629	mononuclear	5	CuA	0.35	97.3	CuB	0.67	94.3	3.56	1	44	0.22	0.960	0.22	CU	3.58	0.960	3.58	CU								
A0A1J9R2U7	binuclear	5	CuB	0.41	95.5	CuA	0.34	90.0	3.84	4	17	0.71	0.930	0.71	CU	0.47	0.840	0.47	CU								
A0A1L7T8U3	mononuclear	5	CuA	0.33	97.1	CuB	0.53	95.4	3.7	2	17	0.56	0.990	0.56	CU	0.86	0.800	0.86	CU								
A0A1L7V991	mononuclear	5	CuA	0.29	96.5	CuB	0.40	95.3	3.7	2	17	0.60	0.840	0.60	CU	0.89	0.750	0.89	CU								
A0A1L7XXI3	mononuclear	3	CuA	0.92	79.6	neither		69.5	25.78	0	15			1.88	X			11.21	ZN								
A0A1L9PZT9	mononuclear	5	CuA	0.46	93.1	CuB	0.51	87.4	3.84	3	21	0.57	0.990	0.57	CU	0.62	0.830	0.62	CU								
A0A1L9S434	no_cu	3	CuA	1.09	66.8	neither		59.3	24.04	0	24			3.73	X			2.14	X								
A0A1L9T6V0	mononuclear	5	CuA	0.54	93.0	CuB	0.47	87.4	3.97	4	24	0.94	0.980	0.94	CU	1.15	0.940	1.15	CU								
A0A1L9WGB2	mononuclear	5	CuB	0.34	94.2	CuA	0.35	85.4	3.83	2	18	0.46	0.820	0.46	CU	1.87	0.810	1.87	CU								
A0A1N6ZK30	no_cu	2	CuA	1.66	92.7	neither		77.0	31.08	0	27			0.81	X			2.87	X								
A0A1Q8RG93	mononuclear	3	CuA	0.68	97.9	CuB	2.65	50.3	2.51	2	21	0.15	0.970	0.15	CU	0.99	0.960	0.99	CU								
A0A1Q8RT46	mononuclear	5	CuA	0.40	96.7	CuB	0.35	95.0	3.92	2	24	0.73	1.000	0.73	CU	0.68	0.710	0.68	CU								
A0A1R3RV41	mononuclear	5	CuA	0.73	96.6	CuB	0.45	92.8	4.05	3	21	0.89	0.920	0.89	CU	0.78	0.710	0.78	CU								
A0A1R3VBN3	mononuclear	5	CuB	0.13	96.2	CuA	0.80	89.3	4.37	4	26	0.78	0.920	0.78	CU	0.75	0.840	0.75	CU								
