accession	site	pmm_cu_prob
A0A1V9YYD2	CuA	0.9800
A0A1X7RU91	CuB	0.9300
A0A1X7RVT3	CuA	1.0000
A0A1Y1VYU8	CuA	0.9700
A0A1Y1ZAQ2	CuB	0.9600
A0A1Y2EAK7	CuB	0.9900
A0A1Y2HIE7	CuA	1.0000
A0A1Y6LJW2	CuB	0.9600
A0A1Y6LLM1	CuA	1.0000
A0A218Z9Z9	CuB	0.9500
A0A238C4W2	CuA	0.9700
A0A2B7X1D4	CuA	0.9600
A0A2B7X1D4	CuB	0.9900
A0A2C9KDQ8	CuB	0.7900
A0A2G9GQP1	CuB	0.9700
A0A2H3E8H0	CuB	0.9100
A0A2H3SXS3	CuA	1.0000
A0A2H4SUB3	CuA	0.9500
A0A2J6PRK0	CuB	0.9500
A0A2J6QS19	CuB	0.8000
A0A2J6S1F6	CuB	0.9800
A0A2J6TD48	CuA	0.9900
A0A2J8X8R4	CuA	0.9900
A0A2N5TV63	CuA	1.0000
A0A2P7YDE6	CuA	0.7500
A0A2P7ZE68	CuA	0.9000
A0A2P7ZE68	CuB	0.9200
A0A2R5FJR1	CuA	1.0000
A0A2R5FJR1	CuB	0.9400
A0A2S4UTV9	CuA	1.0000
A0A2S4VEY7	CuA	1.0000
A0A2T2PBL1	CuA	0.8800
A0A2T2PBL1	CuB	0.8800
A0A2T6ZWP4	CuA	0.8300
A0A2V1EB40	CuB	0.9300
A0A2V5JDM1	CuB	0.9400
A0A2Z5HVJ6	CuB	0.9000
A0A317VMA5	CuB	0.9100
A0A319FJL1	CuB	0.9700
A0A368GCB1	CuA	0.9900
A0A384BB62	CuA	1.0000
A0A384K0M5	CuA	0.9800
A0A384K4W6	CuB	0.9300
A0A395T2J9	CuA	0.9500
A0A395T2J9	CuB	0.9800
A0A3B6J0G9	CuB	0.9200
A0A3E2HCJ3	CuA	0.9600
A0A3F3PW89	CuA	0.7600
A0A3F3Q782	CuA	0.9200
A0A3M6XNY6	CuA	0.9700
A0A3M7MKX7	CuA	0.9400
A0A3N4IPE1	CuA	0.9300
A0A3N4IPE1	CuB	0.9600
A0A3N4K3H4	CuB	0.9700
A0A3S3Q853	CuA	0.9400
A0A409XK29	CuA	1.0000
A0A420TE23	CuB	0.9600
A0A421G844	CuB	0.7700
A0A430HE78	CuB	0.9200
A0A437ABU9	CuA	0.9500
A0A443HXX0	CuB	0.9400
A0A444UPP0	CuB	0.7700
A0A485KPU0	CuB	0.9700
A0A498S2C2	CuA	0.9500
A0A4Q4M2B0	CuA	1.0000
A0A4Q4M2B0	CuB	0.8600
A0A4Q4NQ20	CuA	1.0000
A0A4Q4NQ20	CuB	0.7800
A0A4R8RI59	CuB	0.8800
A0A4T0FMD4	CuA	0.9400
A0A4T0FMD4	CuB	0.9500
A0A4T0WAP6	CuB	0.9400
A0A4U7B5J3	CuB	0.9400
A0A4Y8D0V3	CuB	0.9400
A0A4Z0YK01	CuB	0.9300
A0A4Z1EV38	CuA	0.8200
A0A4Z1EV38	CuB	0.9400
A0A4Z1HA19	CuA	1.0000
A0A4Z1K5V5	CuA	0.9200
A0A4Z1K5V5	CuB	0.9100
A0A4Z1NUI9	CuB	0.9400
A0A507F691	CuA	0.8300
A0A507F697	CuB	0.9900
A0A562PHQ5	CuA	0.9500
A0A5C3QBW9	CuA	0.9500
A0A5C3QBW9	CuB	0.8400
A0A5C6MG15	CuA	0.8000
A0A5C6MG15	CuB	0.9100
A0A5J6HY91	CuA	0.8900
A0A5J6HY91	CuB	0.9300
A0A5N5DM31	CuA	0.9500
A0A5N5DM31	CuB	0.9900
A0A5N5QEZ6	CuB	0.9700
A0A5Q4BZL7	CuB	0.9300
A0A5S6QIU3	CuB	0.8700
A0A665TYY4	CuA	0.9900
A0A672MGC5	CuA	0.9700
A0A672MGC5	CuB	0.8700
A0A672ML46	CuB	0.9100
A0A673AVA6	CuA	0.9900
A0A6A3HLB0	CuB	0.9300
A0A6A3Q4B5	CuB	0.9300
A0A6A5RAM1	CuA	0.9900
A0A6A5XM88	CuA	0.9100
A0A6A6BKX9	CuA	0.9100
A0A6A6JAY1	CuA	1.0000
A0A6A6JAY1	CuB	0.8300
A0A6A6VU64	CuB	0.9200
A0A6A6XLR7	CuB	0.9700
A0A6A7BLX6	CuA	0.9900
A0A6A7BLX6	CuB	0.8200
A0A6G0QFF2	CuB	0.9300
A0A6G0XI62	CuA	0.7500
A0A6G1IEP5	CuA	1.0000
A0A6H0Y3Z6	CuB	0.9100
A0A6I3X362	CuA	0.9300
A0A6J8CNM0	CuA	1.0000
A0A6J8CNM0	CuB	0.8100
A0A6J8EAN0	CuB	0.9900
A0A6V7WY80	CuA	0.8500
A0A7C8IE08	CuB	0.9700
A0A7C8UE72	CuB	0.9700
A0A7C9LY48	CuA	0.9200
A0A7D5Z0B1	CuA	0.9900
A0A7H8RBQ9	CuB	0.9200
A0A7N6AMA0	CuA	1.0000
A0A7S1T762	CuB	0.8800
A0A7S1T768	CuA	1.0000
A0A7S3EYR7	CuB	0.9600
A0A7S4QPD7	CuA	0.9300
A0A7S4QRZ1	CuA	0.9100
A0A7W5H8K5	CuA	0.9400
A0A7W8KIV5	CuA	0.9100
A0A7X5ASN3	CuA	0.9300
A0A7Y7WSX0	CuA	0.9000
A0A7Y7X987	CuA	0.7700
A0A858R6E5	CuA	0.9400
A0A858R6E5	CuB	0.9800
A0A8B6FI79	CuB	0.9900
A0A8B9GJT5	CuA	0.9400
A0A8C0NCZ3	CuA	1.0000
A0A8H2VQV0	CuB	0.9400
A0A8H2XQY6	CuA	0.8500
A0A8H3BNH7	CuA	0.9500
A0A8H3CDA8	CuA	0.9800
A0A8H3CUW5	CuB	0.9600
A0A8H3CZ20	CuA	0.9600
A0A8H3DH08	CuB	0.9700
A0A8H3DKS2	CuB	0.9800
A0A8H3DR34	CuA	0.9700
A0A8H3FR24	CuB	0.9800
A0A8H3GJI1	CuA	0.8900
A0A8H3HGU7	CuA	0.9100
A0A8H3I335	CuB	0.8200
A0A8H3IAU0	CuA	0.9800
A0A8H3UFY5	CuB	0.9400
A0A8H3VC67	CuB	0.9500
A0A8H3W2Z1	CuB	0.9500
A0A8H4CJG9	CuB	0.9700
A0A8H4CPR6	CuA	1.0000
A0A8H4CUC1	CuB	0.9700
A0A8H4FHG1	CuB	0.9400
A0A8H4IVL2	CuA	0.9500
A0A8H4JDQ9	CuA	0.9300
A0A8H4JHW9	CuA	0.9200
A0A8H4QR39	CuA	0.9900
A0A8H4RXM0	CuA	0.9900
A0A8H4ZIX0	CuB	0.9600
A0A8H5AS67	CuA	0.9600
A0A8H5EAG2	CuA	0.9100
A0A8H5EAG2	CuB	0.9600
A0A8H5GBV2	CuA	1.0000
A0A8H5JRL3	CuA	0.9600
A0A8H5JRL3	CuB	0.9800
A0A8H5MQC7	CuA	0.9000
A0A8H5PBF2	CuA	0.9800
A0A8H5Q6G5	CuA	1.0000
A0A8H5TQU7	CuA	0.9500
A0A8H5TQU7	CuB	0.9600
A0A8H5UC91	CuA	0.9900
A0A8H5WCB4	CuA	0.9500
A0A8H6ANQ1	CuA	1.0000
A0A8H6JVW5	CuA	0.9400
A0A8H6L0G3	CuA	0.9800
A0A8H6MKC6	CuA	0.8900
A0A8H6S8I0	CuA	0.9400
A0A8H6YHY9	CuA	0.9300
A0A8H7BB98	CuA	0.9900
A0A8H7BB98	CuB	1.0000
A0A8H7CJP5	CuB	0.9400
A0A8H7H065	CuB	0.9600
A0A8H7HFI3	CuB	0.9500
A0A8H7IC95	CuB	0.9600
A0A8H7K265	CuA	0.9700
A0A8H7K265	CuB	0.9600
A0A8H7LYZ4	CuB	0.9100
A0A8H7M1F4	CuB	0.9700
A0A8H7MHY0	CuA	1.0000
A0A8H7MHY0	CuB	0.9600
A0A8H7W0M8	CuB	0.9300
A0A8H8RRA0	CuB	0.9600
A0A8J5M7S4	CuB	0.9800
A0A8J7L7N4	CuA	0.9500
A0A8J9R8H5	CuB	0.9600
A0A8K0IA90	CuB	0.9100
A0A8K0R3D6	CuB	0.7600
A0A8K0SEI0	CuB	0.9600
A0A8R1TKI8	CuA	0.9500
A0A8S3THZ3	CuB	0.9900
A0A8T1U1C5	CuA	0.9900
A0A8T1W4C6	CuB	0.9800
A0A914DIV0	CuA	0.7700
A0A914DIV0	CuB	1.0000
A0A914L211	CuA	0.9800
A0A914V8X7	CuB	0.9300
A0A915AZH0	CuA	1.0000
A0A915JK17	CuB	0.9300
A0A915M8S0	CuB	0.8100
A0A918T1K9	CuA	0.9100
A0A918W4Y4	CuA	0.9600
A0A918Z2Y2	CuA	0.9200
A0A9D3URW0	CuB	0.9400
A0A9D4DW49	CuB	0.9800
A0A9D4IDS9	CuB	0.9700
A0A9D4JUB0	CuB	0.8900
A0A9D4V2I4	CuA	0.9900
A0A9D4V2I4	CuB	0.8300
A0A9E7H3J2	CuB	0.8300
A0A9J2Q8W3	CuB	0.9700
A0A9N9LFQ9	CuB	0.8900
A0A9N9LHE3	CuB	0.9600
A0A9N9PT18	CuB	0.9700
A0A9N9TUY4	CuA	0.9300
A0A9P4JTW6	CuA	0.9900
A0A9P4NQG6	CuB	0.9800
A0A9P4PM19	CuA	0.8200
A0A9P4PTR1	CuB	0.9100
A0A9P4U804	CuB	0.8400
A0A9P4YYF2	CuB	0.9600
A0A9P5BFG7	CuA	1.0000
A0A9P5F1P8	CuB	0.9500
A0A9P6DJR5	CuB	0.9900
A0A9P6EYF3	CuA	0.9600
A0A9P6EYF3	CuB	0.9200
A0A9P7QPY3	CuB	0.9100
A0A9P7R1E3	CuB	0.9600
A0A9P9IM25	CuA	0.9400
A0A9P9IM25	CuB	0.9600
A0A9Q0B6Y1	CuA	1.0000
A0A9Q0QJI7	CuB	0.9700
A0A9Q3GXD1	CuB	0.8200
A0A9Q3H9V3	CuA	0.9200
A0A9Q8T2R4	CuA	0.9200
A0A9Q8T2R4	CuB	0.9800
A0A9R0TD02	CuA	1.0000
A0A9R0TD02	CuB	0.9100
A0A9R0VMT2	CuA	0.9400
A0A9R1KF29	CuA	1.0000
A0A9R1KF29	CuB	0.9300
A0A9R1N0A3	CuA	0.9100
A0A9W4KMZ8	CuA	0.9600
A0A9W6BT77	CuA	0.9500
A0A9W6BT77	CuB	0.9800
A0A9W6TPR0	CuB	0.8800
A0A9W7T0I7	CuA	1.0000
A0A9W9T4Q6	CuA	0.9000
A0A9W9T4Q6	CuB	0.9700
A0A9W9WQE3	CuB	0.9800
A0A9X0AKU8	CuB	0.9400
A0A9X0AXG5	CuA	0.9900
A0AA37P8W3	CuA	1.0000
A0AA39GKR5	CuA	0.9800
A0AA39WFD7	CuA	1.0000
A0AA39YZL0	CuB	0.9900
A0AA39ZVR3	CuA	1.0000
A0AA40K7X1	CuB	0.9700
A0AA42B2P4	CuB	0.8100
A0AA87Y286	CuA	0.9400
A0AA87Y286	CuB	0.9700
A0AA89B2U6	CuA	0.9400
A0AAD2E0S8	CuB	0.8500
A0AAD3DIW9	CuA	0.9200
A0AAD4BGZ0	CuB	0.9900
A0AAD4NRB5	CuA	1.0000
A0AAD4NRB5	CuB	0.8700
A0AAD5U3C8	CuA	0.9500
A0AAD5U3C8	CuB	0.9900
A0AAD5V4M1	CuB	0.9800
A0AAD5VMH3	CuA	0.9600
A0AAD5WPZ9	CuB	0.9700
A0AAD5XR56	CuA	1.0000
A0AAD6E0P8	CuA	0.9100
A0AAD6E0P8	CuB	0.7800
A0AAD6NK04	CuB	0.9900
A0AAD7J5J2	CuA	0.9500
A0AAD8FEX8	CuA	0.9900
A0AAD8FEX8	CuB	0.9200
A0AAD8PLZ0	CuA	0.9000
A0AAD8PLZ0	CuB	0.9000
A0AAD8UFY3	CuA	1.0000
A0AAD9ARY9	CuA	1.0000
A0AAD9M015	CuB	0.9400
A0AAD9PC82	CuA	0.9100
A0AAD9QB69	CuA	1.0000
A0AAD9QB69	CuB	0.9400
A0AAE0HTN1	CuB	0.9700
A0AAE0M077	CuB	0.9500
A0AAE0NMD8	CuA	0.8400
A0AAE0NPZ1	CuB	0.9500
A0AAE0X2E2	CuA	1.0000
A0AAE0X2E2	CuB	0.9300
A0AAE1CE31	CuA	0.9600
A0AAF5PZK9	CuA	0.9700
A0AAI9UCA0	CuB	0.9700
A0AAI9XMR1	CuA	1.0000
A0AAI9XNV3	CuA	0.9500
A0AAI9XNV3	CuB	0.7700
A0AAI9XSF2	CuA	1.0000
A0AAI9XSF2	CuB	0.9300
A0AAI9YQA0	CuB	0.9600
A0AAJ0A0G4	CuB	0.8900
A0AAJ0HSA6	CuA	0.9900
A0AAN6KA23	CuB	0.8300
A0AAN6LYU1	CuA	0.9600
A0AAN6LYU1	CuB	0.9400
A0AAN6N1G2	CuA	1.0000
A0AAN6N1G2	CuB	0.9700
A0AAQ3M852	CuB	0.9500
A0AAV2T9N0	CuA	0.9900
A0AAV2T9N0	CuB	0.9500
A0AAV2VYF3	CuA	0.9200
A0AAV2YQR1	CuB	0.9800
A0AAV2Z9U8	CuB	0.8200
A0AAV9LU83	CuB	0.9600
A0AAV9VIS4	CuA	0.9300
A0AAV9VIS4	CuB	0.9500
A0AAV9WSZ8	CuA	0.9500
A0AAW0DCV9	CuA	0.9600
A0AAW0DCV9	CuB	0.7500
A0AAW0GI35	CuA	0.9500
A0AAW0GI35	CuB	0.9600
A0AAX4I0H5	CuB	0.9400
A0AAX6MJK2	CuA	1.0000
A0AAX6MJK2	CuB	0.9700
A0ABD2IJ80	CuB	0.9800
A0ABD3I4U1	CuA	0.7700
A0ABD3I4U1	CuB	0.9400
A0ABD6GFY7	CuA	0.9400
A0ABM0MAQ4	CuB	0.9400
A0ABM1B806	CuB	0.8900
A0ABM4UF39	CuB	0.8500
A0ABM7Q8T6	CuA	0.9200
A0ABM7Q8T6	CuB	0.9600
A0ABM7QH35	CuA	0.9200
A0ABM7QH35	CuB	0.9600
A0ABN8LUS6	CuB	0.9900
A0ABN8LVE4	CuB	0.9900
A0ABN8LXN0	CuB	0.8400
A0ABN8MSS7	CuA	0.9600
A0ABN8MSS7	CuB	0.9900
A0ABN8MVN3	CuB	0.8200
A0ABN8MVQ8	CuA	0.9800
A0ABN8MVQ8	CuB	0.9900
A0ABN8MXH6	CuA	0.9600
A0ABN8MXH6	CuB	0.9700
A0ABN8MXX5	CuA	0.9800
A0ABN8MXX5	CuB	0.9800
A0ABN8MY60	CuA	0.9500
A0ABN8MY60	CuB	0.9900
A0ABN8MZV7	CuA	0.9400
A0ABN8N4G6	CuA	0.9900
A0ABN8N4G6	CuB	0.9800
A0ABN8PCP7	CuA	0.9700
A0ABN8PCP7	CuB	0.8500
A0ABN8Q7Y1	CuA	0.9900
A0ABN8Q7Y1	CuB	0.9800
A0ABN8SLK2	CuA	0.8800
A0ABN8SLK2	CuB	0.8300
A0ABP2BNE3	CuB	0.9700
A0ABP3EMV2	CuB	0.7500
A0ABQ0LKN2	CuA	0.9200
A0ABQ0M8A7	CuA	0.9800
A0ABQ6N7K7	CuB	0.9900
A0ABQ7J1C5	CuA	0.9900
A0ABQ9PND2	CuA	1.0000
A0ABQ9Q197	CuB	0.9600
A0ABQ9S7H6	CuA	0.7600
A0ABQ9S7H6	CuB	0.9700
A0ABQ9T229	CuB	0.9400
A0ABR0H9K2	CuA	1.0000
A0ABR0I6B4	CuA	1.0000
A0ABR0ML46	CuA	1.0000
A0ABR0S881	CuB	0.8100
A0ABR1QFP3	CuB	0.9500
A0ABR1U9F9	CuA	0.9100
A0ABR1YMI8	CuA	0.9400
A0ABR1YMI8	CuB	0.9700
A0ABR2W3S2	CuA	0.9700
A0ABR2W3S2	CuB	0.9300
A0ABR3D6M0	CuA	0.9600
A0ABR3FXT6	CuA	1.0000
A0ABR3TFZ3	CuA	0.8700
A0ABR3TFZ3	CuB	0.9900
A0ABR3U3E6	CuA	0.9600
A0ABR3U3E6	CuB	0.9800
A0ABR3UTG0	CuA	1.0000
A0ABR3UTG0	CuB	0.9000
A0ABR4C2T6	CuB	0.8200
A0ABR4EPU0	CuA	1.0000
A0ABR4ES42	CuB	0.9600
A0ABR7X9J7	CuA	0.9500
A0ABS8JIA8	CuB	0.9800
A0ABS8JID1	CuA	0.9400
A0ABS8JID1	CuB	0.9600
A0ABT9CR60	CuA	0.9400
A0ABT9CR60	CuB	0.9500
A0ABV6RUK0	CuA	0.9200
A0ABW1EV91	CuA	0.9300
A0ABW2RRB3	CuA	0.9700
A0ABW2RRB3	CuB	0.9900
A0ABW9S031	CuA	0.9600
A0ABX5RWM9	CuA	0.9500
A0ABX5UDS5	CuA	0.9400
A0ABX6FJC2	CuA	0.9700
A0ABY0G5N1	CuA	1.0000
A0ABY0G5N1	CuB	0.8800
A0ABY2RLZ4	CuB	0.9800
A0ACB6QFG3	CuA	0.8600
A0ACC1A5Y2	CuB	0.9700
A0ACC1QNQ0	CuB	0.9700
A0ACC2JBL3	CuB	0.8800
A0ACC2S0P5	CuA	0.8100
A0ACC2S7C6	CuB	0.9200
A0ACC2U0B8	CuB	0.9500
A0ACC2U405	CuA	0.7500
A0ACC2U767	CuA	0.7800
A0ACC2U7B3	CuB	0.9500
A0ACC3YJX9	CuB	0.9200
A0ACD1IG11	CuB	0.9000
A0ACD3ADA0	CuB	0.9700
A0ACD3YVM0	CuA	0.9500
A0ACD3YVM0	CuB	0.8000
A3K3J4	CuB	0.9600
A7RKE4	CuA	0.9700
A8N3S0	CuA	0.9100
A8N3S0	CuB	0.9800
A8N4B1	CuB	0.9800
B9XQZ3	CuB	0.9900
C8CHT1	CuA	1.0000
C8CHT1	CuB	0.9000
E3QWQ8	CuA	0.9900
E5Q8T0	CuB	0.9100
F0Y382	CuB	0.9700
F0YJP7	CuA	0.9000
F6G5J6	CuB	0.8000
F9X2G9	CuB	0.9200
F9XCV9	CuA	1.0000
G1S3C9	CuA	1.0000
G2QVS9	CuA	1.0000
G2YP57	CuA	0.9900
G2YP57	CuB	0.9300
G3XUP5	CuA	1.0000
G5AB92	CuA	0.9900
G5AB92	CuB	0.8100
I7CCR9	CuB	0.9500
K2RLK6	CuA	0.9100
M3C9Q8	CuA	0.9700
M3C9Q8	CuB	0.9700
N1RKC9	CuA	0.9400
N1S3E0	CuA	0.8400
N4TKR4	CuA	0.9700
P55022	CuA	0.9200
R1D043	CuB	0.9600
R1EXG5	CuA	0.9400
R1EXG5	CuB	1.0000
T0KXU6	CuB	0.9600
T5A6R2	CuA	0.9600
U3AIJ7	CuA	0.9500
U3AIJ7	CuB	0.9400
U4K751	CuA	0.9500
V5FME0	CuA	1.0000
W3WIK4	CuA	1.0000
W4GC36	CuB	0.9800
W6ZD78	CuA	0.9900
W6ZD78	CuB	0.9400
W7F1D8	CuA	0.9800
W7F1D8	CuB	0.7900
W7MLF2	CuA	0.9900
W9I5K7	CuB	0.9800
X0JGY5	CuB	0.9700
X8JBW1	CuB	0.7600
