accession	site	pmm_feconi_prob
A0A2V1D8S9	CuB	0.8100
A0A2V1EB40	CuA	0.9800
A0A2V5IDW1	CuA	0.9900
A0A2V5IDW1	CuB	0.9100
A0A2Z5HVJ6	CuA	1.0000
A0A317SGF7	CuA	0.9300
A0A317VMA5	CuA	0.9200
A0A319FJL1	CuA	0.8800
A0A329SW91	CuB	0.9800
A0A365NE95	CuA	0.9800
A0A365NE95	CuB	0.9100
A0A368QNI6	CuA	0.9500
A0A384K4W6	CuA	0.9900
A0A395HJP7	CuA	1.0000
A0A3B6EKX7	CuA	0.9100
A0A3B6EKX7	CuB	0.9500
A0A3B6J0G9	CuA	1.0000
A0A3F3Q782	CuB	0.9600
A0A3M0L5Z8	CuA	0.9900
A0A3M6XNY6	CuB	0.9600
A0A3M7C5D9	CuB	0.9700
A0A3M7J5F3	CuB	0.9800
A0A3P6S9E3	CuA	0.9900
A0A3P7DNC2	CuA	0.9800
A0A3P8DS39	CuA	0.9900
A0A3P8WSE3	CuA	1.0000
A0A3P8WSE3	CuB	0.9700
A0A3Q3L0Y4	CuA	0.9900
A0A3Q3L0Y4	CuB	0.9900
A0A419QAV9	CuA	0.9300
A0A421G844	CuA	0.9900
A0A430HE78	CuA	0.9300
A0A437ABU9	CuB	0.9700
A0A443HXX0	CuA	0.9900
A0A444RJX5	CuA	1.0000
A0A444UPP0	CuA	1.0000
A0A446BXJ9	CuA	1.0000
A0A447TAE7	CuA	0.9300
A0A447TAE7	CuB	0.9600
A0A484G057	CuA	1.0000
A0A485KPS2	CuB	0.9100
A0A485KQE4	CuB	0.9800
A0A485KTR0	CuA	0.9000
A0A4E9FIB1	CuA	0.9900
A0A4P9VZN9	CuB	0.9700
A0A4P9XNA4	CuA	1.0000
A0A4R8PT74	CuA	1.0000
A0A4R8REE8	CuA	0.9900
A0A4R8T272	CuA	0.9900
A0A4S2LBN1	CuA	0.9200
A0A4T0WAP6	CuA	1.0000
A0A4U0TXP9	CuA	0.9900
A0A4U0VC90	CuA	0.9600
A0A4U0VS63	CuA	0.9800
A0A4U0XT20	CuA	0.9700
A0A4U6X5Z4	CuA	0.9800
A0A4U7AY24	CuA	0.9100
A0A4U7B5J3	CuA	0.9900
A0A4W6F5R6	CuA	1.0000
A0A4W6F5R6	CuB	0.9400
A0A4Y8CCG2	CuA	1.0000
A0A4Y8D0D0	CuA	0.8200
A0A4Y8D0D0	CuB	0.9700
A0A4Y8D0V3	CuA	0.9800
A0A4Y9L370	CuA	0.9600
A0A4Z0YK01	CuA	0.9200
A0A4Z1FR91	CuA	0.9900
A0A4Z1NUI9	CuA	0.9900
A0A4Z1PB68	CuB	0.9800
A0A507BI78	CuA	0.9600
A0A507BI78	CuB	0.9300
A0A507BNL8	CuA	0.9600
A0A507F691	CuB	0.9800
A0A562PHQ5	CuB	0.9600
A0A5C6SKB8	CuB	0.9700
A0A5M8PS01	CuA	0.9100
A0A5N5QEZ6	CuA	0.8400
A0A5N7DKE9	CuA	0.9700
A0A5N7DKE9	CuB	0.9600
A0A5Q4BTC4	CuA	0.9800
A0A5Q4BZL7	CuA	1.0000
A0A654M5U9	CuB	0.9700
A0A665U0T6	CuA	1.0000
A0A669D1M6	CuA	1.0000
A0A673AW28	CuA	0.9900
A0A6A3EYQ9	CuB	0.9800
A0A6A3HLB0	CuA	0.9900
A0A6A3L3S8	CuB	0.9700
A0A6A3MUA3	CuB	0.9800
A0A6A3NDJ9	CuB	0.9800
A0A6A3Q4B5	CuA	0.9900
A0A6A4E140	CuB	0.9800
A0A6A4ZE36	CuA	0.8400
A0A6A4ZE36	CuB	0.9600
A0A6A5TLY8	CuA	0.9900
A0A6A5YJL3	CuA	1.0000
A0A6A5ZPV6	CuA	0.9900
A0A6A6C2M9	CuA	0.9700
A0A6A6CAJ8	CuA	0.9200
A0A6A6CBF1	CuA	0.9800
A0A6A6D3V8	CuB	0.9600
A0A6A6H4U9	CuA	0.9300
A0A6A6HHK4	CuA	0.9600
A0A6A6V9C0	CuA	0.9500
A0A6A6VF46	CuA	0.9900
A0A6A6VF46	CuB	0.7600
A0A6A6VMY9	CuB	0.9500
A0A6A6VU64	CuA	0.9900
A0A6G0JRR3	CuB	0.9800
A0A6G0LHA8	CuB	0.9800
A0A6G0QFF2	CuA	0.9900
A0A6G0S364	CuB	0.9900
A0A6G0WB52	CuB	0.9700
A0A6H0Y3Z6	CuA	0.8900
A0A6I3X362	CuB	0.9600
A0A6J1BLU4	CuB	0.9700
A0A6J8AZI7	CuB	0.7700
A0A6P4ZCR3	CuB	0.8000
A0A6P8I208	CuA	0.9600
A0A6V7V3D6	CuA	1.0000
A0A6V7WY80	CuB	0.9300
A0A7C8I7T2	CuA	1.0000
A0A7C8IE08	CuA	0.9600
A0A7C9LY48	CuB	0.9700
A0A7C9M494	CuA	0.9300
A0A7C9M494	CuB	0.9500
A0A7D5Z0B1	CuB	0.9000
A0A7J6IXY4	CuA	1.0000
A0A7J6J5I0	CuB	0.9500
A0A7J6J5I0	CuA	0.9900
A0A7J6UTM6	CuA	0.9900
A0A7K7RZM1	CuA	0.9900
A0A7K7RZM1	CuB	0.8700
A0A7R8ARR0	CuA	1.0000
A0A7R8ARR0	CuB	0.9600
A0A7S0FYS9	CuB	0.9700
A0A7S1T762	CuA	0.9900
A0A7S3EYR7	CuA	0.9100
A0A7S4QPD7	CuB	0.9500
A0A7S4QRZ1	CuB	0.9600
A0A7W5H8K5	CuB	0.9600
A0A7W8KIV5	CuB	0.9500
A0A7Y7WSX0	CuB	0.9800
A0A7Y7X987	CuB	0.9700
A0A7Y8BLA6	CuA	0.9500
A0A7Y8BLA6	CuB	0.9700
A0A812PC05	CuA	0.9500
A0A8A3PKD0	CuA	0.9100
A0A8B9AG70	CuB	1.0000
A0A8B9GJT5	CuB	0.9400
A0A8H2VQV0	CuA	0.9800
A0A8H2X9J9	CuA	0.9900
A0A8H3ANG7	CuA	0.9800
A0A8H3CUW5	CuA	0.8600
A0A8H3FNM0	CuA	0.9800
A0A8H3FR24	CuA	0.9800
A0A8H3I335	CuA	0.8300
A0A8H3IDD5	CuA	0.9900
A0A8H3UFY5	CuA	0.9900
A0A8H3VC67	CuA	0.9200
A0A8H3W2Z1	CuA	0.9900
A0A8H3W909	CuA	0.9500
A0A8H3W909	CuB	0.9400
A0A8H4CPR6	CuB	0.8700
A0A8H4FHG1	CuA	0.9400
A0A8H4IVL2	CuB	1.0000
A0A8H4JDQ9	CuB	0.9700
A0A8H4RK75	CuA	0.9900
A0A8H4RXM0	CuB	0.9300
A0A8H4Z0P3	CuA	0.9900
A0A8H4Z0P3	CuB	0.9200
A0A8H4ZIX0	CuA	0.9500
A0A8H5AS67	CuB	0.9600
A0A8H5GBV2	CuB	0.7900
A0A8H5MQC7	CuB	0.9200
A0A8H5N7B6	CuA	1.0000
A0A8H5PBB3	CuB	0.9700
A0A8H5UC91	CuB	0.9400
A0A8H5V6E6	CuA	0.9200
A0A8H5V6E6	CuB	0.9500
A0A8H5WCB4	CuB	0.9700
A0A8H5XW17	CuA	0.9800
A0A8H5XW17	CuB	0.9200
A0A8H6FIQ4	CuA	0.9800
A0A8H6HT48	CuB	0.9600
A0A8H6MX70	CuA	1.0000
A0A8H6MX70	CuB	0.9600
A0A8H6N7U5	CuA	0.9800
A0A8H6N7U5	CuB	0.8600
A0A8H6S8I0	CuB	0.9800
A0A8H6YHY9	CuB	0.9700
A0A8H7CJP5	CuA	1.0000
A0A8H7H0A0	CuA	0.9900
A0A8H7I333	CuA	0.9600
A0A8H7W0M8	CuA	0.9700
A0A8H8P4P0	CuA	0.9800
A0A8H8RL10	CuA	0.9800
A0A8H8U2D2	CuA	0.9400
A0A8J9R8H5	CuA	0.9900
A0A8K0R3D6	CuA	0.9100
A0A8K0T8Y5	CuA	0.9900
A0A8N5I073	CuA	0.9900
A0A8T1MS49	CuA	1.0000
A0A8T9AZC4	CuA	0.9900
A0A8X7N2K2	CuA	0.8300
A0A914L5B1	CuB	0.9500
A0A915M8S0	CuA	0.9900
A0A917QDB2	CuA	0.9500
A0A918SV45	CuA	0.9100
A0A918SV45	CuB	0.9500
A0A918T1K9	CuB	0.9600
A0A918W4Y4	CuB	0.9600
A0A918Z2Y2	CuB	0.9700
A0A919DDV5	CuA	0.9200
A0A919DDV5	CuB	0.9600
A0A9D4DVG4	CuB	0.9600
A0A9D4Z585	CuA	0.8900
A0A9E7H3J2	CuA	0.9300
A0A9N8JDS5	CuA	1.0000
A0A9N9KL52	CuA	0.9800
A0A9N9LFQ9	CuA	0.9000
A0A9N9LHE3	CuA	0.9700
A0A9N9TUY4	CuB	0.9400
A0A9P4H2P0	CuA	0.9700
A0A9P4H2P0	CuB	0.9800
A0A9P4IEM6	CuA	0.9700
A0A9P4IEM6	CuB	0.9700
A0A9P4PM19	CuB	0.9500
A0A9P4QMU1	CuA	0.9900
A0A9P4U804	CuA	1.0000
A0A9P5F1P8	CuA	0.9900
A0A9P5IJI5	CuA	0.9700
A0A9P5IJI5	CuB	0.9800
A0A9P6HYB5	CuA	0.9900
A0A9P6HYB5	CuB	0.9400
A0A9P6LG06	CuA	0.9900
A0A9P6LG06	CuB	0.9500
A0A9P7HU99	CuA	1.0000
A0A9P7HU99	CuB	0.9300
A0A9P7QPY3	CuA	1.0000
A0A9P7R9D2	CuB	0.9100
A0A9P7R9D2	CuA	1.0000
A0A9P8DKY9	CuA	0.9900
A0A9P8DKY9	CuB	0.9300
A0A9P8SF21	CuA	0.9800
A0A9P8SF21	CuB	0.9500
A0A9P9AG59	CuA	0.9900
A0A9P9KNI3	CuA	1.0000
A0A9P9KNI3	CuB	0.9300
A0A9Q0B6Y1	CuB	0.8900
A0A9Q0QJI7	CuA	1.0000
A0A9Q3GXD1	CuA	1.0000
A0A9Q8LKP3	CuA	0.9700
A0A9Q8LKP3	CuB	0.8000
A0A9Q8WCM4	CuA	1.0000
A0A9Q8WCM4	CuB	0.9200
A0A9Q8WG05	CuB	0.9600
A0A9Q8ZBH0	CuB	0.9600
A0A9R0VMT2	CuB	0.9400
A0A9R1N0A3	CuB	0.9500
A0A9R1RCW5	CuB	0.9600
A0A9W4W8U2	CuA	1.0000
A0A9W4W8U2	CuB	0.9400
A0A9W6TPR0	CuA	0.9900
A0A9W8VAU3	CuB	0.9400
A0A9W9IRY5	CuA	0.9900
A0A9W9IRY5	CuB	0.9300
A0A9W9Q612	CuA	0.8800
A0A9W9Q612	CuB	0.8800
A0A9W9UKW6	CuA	0.9500
A0A9W9WQE3	CuA	0.9500
A0A9X0AKU8	CuA	0.9900
A0A9X0AXG5	CuB	0.8500
A0AA35M0Q8	CuB	0.9600
A0AA35TLZ1	CuA	1.0000
A0AA37GRR7	CuB	0.9100
A0AA37GRR7	CuA	1.0000
A0AA37LRM6	CuA	0.9900
A0AA38RAI0	CuA	0.9900
A0AA38RAI0	CuB	0.9300
A0AA38XVF3	CuA	0.9900
A0AA38ZJU6	CuA	1.0000
A0AA38ZJU6	CuB	0.9600
A0AA39K704	CuB	0.9700
A0AA39YZL0	CuA	0.9700
A0AA42B2P4	CuA	0.9800
A0AA43QLN8	CuA	0.9800
A0AAD2E0S8	CuA	0.9900
A0AAD5M387	CuB	0.9700
A0AAD5VMH3	CuB	0.8400
A0AAD7J5J2	CuB	0.9700
A0AAD8PIW8	CuA	0.9900
A0AAD8PVJ5	CuB	0.9200
A0AAD8UFY3	CuB	0.9300
A0AAD9ARY9	CuB	0.9300
A0AAD9AZ26	CuA	0.9300
A0AAD9ECK1	CuA	1.0000
A0AAD9HBC0	CuA	0.9800
A0AAD9HKI6	CuA	0.9800
A0AAD9HKI6	CuB	0.9000
A0AAD9M015	CuA	0.9000
A0AAD9YE83	CuA	0.9400
A0AAE0D8U4	CuA	0.9900
A0AAE0D8U4	CuB	0.9600
A0AAE0LYH8	CuB	0.9500
A0AAE0M077	CuA	0.8600
A0AAE0WXT6	CuA	0.9800
A0AAE8MN78	CuA	0.9700
A0AAI8YWT9	CuA	1.0000
A0AAI8YZG9	CuA	0.9900
A0AAI9UNI6	CuB	0.9700
A0AAI9XI30	CuB	0.9800
A0AAI9XYD0	CuB	0.9300
A0AAI9XYD0	CuA	1.0000
A0AAI9YQA0	CuA	0.9900
A0AAJ0A0G4	CuA	1.0000
A0AAJ0DBW4	CuA	0.9800
A0AAJ0DVU7	CuA	0.9900
A0AAJ0DVU7	CuB	0.9200
A0AAJ0EU37	CuB	0.9300
A0AAJ0EU37	CuA	0.9900
A0AAJ0HSA6	CuB	0.9100
A0AAN6E594	CuA	0.9800
A0AAN6F7R2	CuA	0.9700
A0AAN6G1Z6	CuA	0.9700
A0AAN6H7M5	CuA	0.9700
A0AAN6K752	CuA	0.9600
A0AAN6K752	CuB	0.7800
A0AAN6KA23	CuA	0.9700
A0AAN7GQ08	CuA	1.0000
A0AAN7VN59	CuA	0.9800
A0AAN8HSE1	CuA	0.9900
A0AAN8ZF79	CuB	0.9800
A0AAN9UQ80	CuA	0.9900
A0AAN9YIB4	CuB	0.9900
A0AAV0V041	CuA	0.9000
A0AAV2VYF3	CuB	0.9700
A0AAV9J8F3	CuA	0.9700
A0AAV9N1J6	CuA	0.9900
A0AAV9SY11	CuA	0.9900
A0AAV9SY11	CuB	0.9400
A0AAV9WSZ8	CuB	0.9700
A0AAW0Q5S1	CuA	1.0000
A0AAW2WSM8	CuA	1.0000
A0AAW2WSM8	CuB	0.9200
A0AAX4I0H5	CuA	1.0000
A0AAX4IJG7	CuA	0.9700
A0AAX4IJG7	CuB	0.8400
A0ABD1WHD2	CuA	0.9900
A0ABD3FTY2	CuB	0.9900
A0ABD6GFY7	CuB	0.9600
A0ABM0MAQ4	CuA	0.9800
A0ABM4UF39	CuA	0.9400
A0ABN8LUS6	CuA	0.9200
A0ABN8LVE4	CuA	0.9500
A0ABN8MZV7	CuB	0.9900
A0ABP2BNE3	CuA	0.9400
A0ABQ0GAI5	CuA	0.9500
A0ABQ0GL05	CuA	1.0000
A0ABQ0LKN2	CuB	0.9600
A0ABQ0M8A7	CuB	0.9600
A0ABQ7J1C5	CuB	0.9300
A0ABQ8R1M6	CuA	0.9500
A0ABQ8R1M6	CuB	0.9600
A0ABQ9PEH4	CuA	0.9600
A0ABQ9PND2	CuB	0.9000
A0ABQ9Q197	CuA	1.0000
A0ABQ9QHE7	CuA	0.9900
A0ABQ9QHE7	CuB	0.9100
A0ABQ9T229	CuA	0.9900
A0ABR0EHV5	CuA	0.9800
A0ABR0EHV5	CuB	0.8500
A0ABR0H9K2	CuB	0.9300
A0ABR0I6B4	CuB	0.9300
A0ABR0JJU7	CuA	0.9600
A0ABR0S881	CuA	0.9800
A0ABR1FHI7	CuA	1.0000
A0ABR1QFP3	CuA	0.9300
A0ABR1T514	CuA	0.9900
A0ABR1TI72	CuA	1.0000
A0ABR1TNQ8	CuA	0.9500
A0ABR1U9F9	CuB	0.9600
A0ABR1VP59	CuA	1.0000
A0ABR1X4W4	CuA	0.9900
A0ABR1X4W4	CuB	0.9500
A0ABR1YVN4	CuB	0.9400
A0ABR2W3C9	CuA	0.8800
A0ABR3CFI6	CuA	0.9800
A0ABR3CFI6	CuB	0.9800
A0ABR3QSB3	CuA	0.9500
A0ABR4BR18	CuA	0.9000
A0ABR4C2T6	CuA	0.9900
A0ABR4CF27	CuA	0.9900
A0ABR4K145	CuA	0.9400
A0ABR7QDC1	CuB	0.8900
A0ABR7X9J7	CuB	0.9600
A0ABS8JIA8	CuA	0.9600
A0ABV6RIB9	CuA	0.9400
A0ABV6RIB9	CuB	0.9700
A0ABV6RUK0	CuB	0.9600
A0ABV9FV84	CuB	0.8700
A0ABV9I266	CuB	1.0000
A0ABW9S031	CuB	0.9500
A0ABX5RWM9	CuB	0.9600
A0ABX5UDS5	CuB	0.9600
A0ABX6FJC2	CuB	0.9500
A0ACB1AYY7	CuA	0.9900
A0ACC1QNQ0	CuA	0.9300
A0ACC1SFB7	CuB	0.9500
A0ACC2HR65	CuB	1.0000
A0ACC2ID33	CuA	0.9300
A0ACC2ID33	CuB	0.9400
A0ACC3DNN8	CuA	0.9000
A0ACC3SCJ8	CuA	0.9700
A0ACC3YJX9	CuA	1.0000
A0ACD1IG11	CuA	1.0000
A3K3J4	CuA	0.9400
B2WH32	CuB	0.9800
E3Q7T1	CuB	0.9200
E5Q8T0	CuA	0.9400
E9FAB7	CuA	0.9900
E9FAB7	CuB	0.9400
F6G5J6	CuA	0.9400
F9X2G9	CuA	1.0000
F9XBE5	CuA	0.9900
G2QVS9	CuB	0.9100
G3JPN7	CuA	0.9900
G3JPN7	CuB	0.9200
G5ABA8	CuB	0.9900
G5B168	CuA	0.9900
H1UWR0	CuB	0.9300
H1UWR0	CuA	1.0000
H1VZE2	CuA	0.9700
K2RLK6	CuB	0.9500
L2FID8	CuA	0.9500
L2FID8	CuB	0.9400
L2GEI1	CuA	1.0000
L2GEI1	CuB	0.9200
L8X5X1	CuB	0.9700
M2MQZ6	CuA	0.9700
M2MQZ6	CuB	0.8500
M7UN52	CuA	0.9900
N1RKC9	CuB	0.9800
N1S3E0	CuB	0.9600
N1S8Q1	CuB	0.9800
R7YGC4	CuA	1.0000
S0DQZ0	CuA	0.9900
S0DQZ0	CuB	0.9400
S3D1Q3	CuA	0.9100
S3D1Q3	CuB	0.9400
T0KJ59	CuA	0.9900
T0KJ59	CuB	0.8700
T0PKY7	CuB	0.9900
T0QXV8	CuA	0.9900
T0S9R0	CuA	0.9900
T5A6R2	CuB	0.9700
U4K751	CuB	0.9700
V9EVI6	CuB	0.9900
W2IN56	CuB	0.9900
W2PY30	CuB	0.9900
W2WMR4	CuB	0.9900
W2YZ31	CuB	0.9900
W7M987	CuA	1.0000
W7M987	CuB	0.9400
