accession,pool,canonical,n_his,core_ok,best_ref,best_qtm,n_helix_ok,reason
A0A016W3W9,discarded,False,1,False,,,,corehelix_core_fail
A0A016WCE7,canonical,True,6,False,,,,canonical_geometry
A0A016WQP8,canonical,True,6,False,,,,canonical_geometry
A0A016WQV2,canonical,True,6,False,,,,canonical_geometry
A0A017S513,discarded,False,3,False,ref_2Y9W_Abisporus,0.417,1,corehelix_core_fail
A0A017SD63,canonical,True,6,False,,,,canonical_geometry
A0A017SF68,canonical,True,6,False,,,,canonical_geometry
A0A022QC39,canonical,True,6,False,,,,canonical_geometry
A0A022QE60,canonical,True,6,False,,,,canonical_geometry
A0A022QG63,canonical,True,6,False,,,,canonical_geometry
A0A022QL39,canonical,True,6,False,,,,canonical_geometry
A0A022R0C6,canonical,True,6,False,,,,canonical_geometry
A0A022R0D6,canonical,True,6,False,,,,canonical_geometry
A0A022R0D9,discarded,False,3,False,ref_1BT3_Ibatatas,0.533,2,corehelix_core_fail
A0A022R1L2,canonical,True,6,False,,,,canonical_geometry
A0A022R1L7,canonical,True,6,False,,,,canonical_geometry
A0A022R3H9,canonical,True,6,False,,,,canonical_geometry
A0A022R5P3,canonical,True,6,False,,,,canonical_geometry
A0A022WGP6,canonical,True,6,False,,,,canonical_geometry
A0A022Y7J2,canonical,True,6,False,,,,canonical_geometry
A0A023GU59,noncanonical,False,5,True,ref_5CE9_Jregia,0.559,4,corehelix_core_ok
A0A023PMD2,canonical,True,6,False,,,,canonical_geometry
A0A023PN01,canonical,True,6,False,,,,canonical_geometry
A0A023PNV8,canonical,True,6,False,,,,canonical_geometry
A0A023PP81,canonical,True,6,False,,,,canonical_geometry
A0A023WF78,discarded,False,3,False,ref_1BT3_Ibatatas,0.425,2,corehelix_core_fail
A0A023WF84,discarded,False,3,False,ref_1BT3_Ibatatas,0.415,2,corehelix_core_fail
A0A023WF90,discarded,False,3,False,ref_1BT3_Ibatatas,0.418,2,corehelix_core_fail
A0A023WF96,discarded,False,4,False,ref_1BT3_Ibatatas,0.425,2,corehelix_core_fail
A0A023WFC0,discarded,False,3,False,ref_1BT3_Ibatatas,0.423,2,corehelix_core_fail
A0A023WFC4,discarded,False,3,False,ref_5CE9_Jregia,0.405,2,corehelix_core_fail
A0A023WFC9,discarded,False,3,False,ref_1BT3_Ibatatas,0.424,2,corehelix_core_fail
A0A023WFD4,discarded,False,3,False,ref_5CE9_Jregia,0.406,2,corehelix_core_fail
A0A023WFD9,discarded,False,4,False,ref_1BT3_Ibatatas,0.425,2,corehelix_core_fail
A0A023WFR6,discarded,False,3,False,ref_1BT3_Ibatatas,0.423,2,corehelix_core_fail
A0A023WFS1,discarded,False,3,False,ref_5CE9_Jregia,0.404,2,corehelix_core_fail
A0A023WFS6,discarded,False,3,False,ref_PmTYR,0.386,2,corehelix_core_fail
A0A023WFT2,discarded,False,3,False,ref_1BT3_Ibatatas,0.407,2,corehelix_core_fail
A0A023WGB6,discarded,False,3,False,ref_1BT3_Ibatatas,0.423,2,corehelix_core_fail
A0A023WGB9,discarded,False,3,False,ref_5CE9_Jregia,0.405,2,corehelix_core_fail
A0A023WGC5,discarded,False,4,False,ref_1BT3_Ibatatas,0.425,2,corehelix_core_fail
A0A023WGD1,discarded,False,3,False,ref_PmTYR,0.361,2,corehelix_core_fail
A0A023WGD7,discarded,False,4,False,ref_5CE9_Jregia,0.395,2,corehelix_core_fail
A0A023WGM6,discarded,False,3,False,ref_5CE9_Jregia,0.431,2,corehelix_core_fail
A0A023WGN1,discarded,False,3,False,ref_1BT3_Ibatatas,0.421,2,corehelix_core_fail
A0A023WGN6,discarded,False,3,False,ref_5CE9_Jregia,0.406,2,corehelix_core_fail
A0A023WGP1,discarded,False,4,False,ref_5CE9_Jregia,0.442,2,corehelix_core_fail
A0A023WGP6,discarded,False,3,False,ref_5CE9_Jregia,0.4,2,corehelix_core_fail
A0A024CHG7,canonical,True,6,False,,,,canonical_geometry
A0A024CHH0,canonical,True,6,False,,,,canonical_geometry
A0A024CHU4,canonical,True,6,False,,,,canonical_geometry
A0A024CHU9,canonical,True,6,False,,,,canonical_geometry
A0A024CI03,canonical,True,6,False,,,,canonical_geometry
A0A024CI05,canonical,True,6,False,,,,canonical_geometry
A0A024CIJ0,canonical,True,6,False,,,,canonical_geometry
A0A024CIJ4,canonical,True,6,False,,,,canonical_geometry
A0A024CIJ8,canonical,True,6,False,,,,canonical_geometry
A0A024CJP7,canonical,True,6,False,,,,canonical_geometry
A0A024CJQ0,canonical,True,6,False,,,,canonical_geometry
A0A024DBG7,canonical,True,6,False,,,,canonical_geometry
A0A024FBC3,discarded,False,3,False,ref_PmTYR,0.402,2,corehelix_core_fail
A0A024FR46,canonical,True,6,False,,,,canonical_geometry
A0A024FS61,canonical,True,6,False,,,,canonical_geometry
A0A024FZ14,canonical,True,6,False,,,,canonical_geometry
A0A024GPM3,canonical,True,6,False,,,,canonical_geometry
A0A024GR18,discarded,False,4,False,ref_PmTYR,0.178,2,corehelix_core_fail
A0A024S4X8,canonical,True,6,False,,,,canonical_geometry
A0A024SD58,canonical,True,6,False,,,,canonical_geometry
A0A024SJR1,canonical,True,6,False,,,,canonical_geometry
A0A024T832,discarded,False,3,False,ref_PmTYR,0.432,2,corehelix_core_fail
A0A024T961,canonical,True,6,False,,,,canonical_geometry
A0A024T9U4,canonical,True,6,False,,,,canonical_geometry
A0A024TEL4,canonical,True,6,False,,,,canonical_geometry
A0A024TMR4,canonical,True,6,False,,,,canonical_geometry
A0A024TN69,canonical,True,6,False,,,,canonical_geometry
A0A024TPQ1,discarded,False,5,False,ref_1JS8_squid,0.244,3,corehelix_core_fail
A0A024TRP2,discarded,False,3,False,ref_1BT3_Ibatatas,0.244,2,corehelix_core_fail
A0A024U9A0,discarded,False,3,False,ref_1JS8_squid,0.2,2,corehelix_core_fail
A0A024UGQ1,noncanonical,False,4,True,ref_5CE9_Jregia,0.293,4,corehelix_core_ok
A0A024UNS3,canonical,True,6,False,,,,canonical_geometry
A0A024UP64,canonical,True,6,False,,,,canonical_geometry
A0A024URD5,canonical,True,6,False,,,,canonical_geometry
A0A058ZVU6,discarded,False,3,False,ref_5CE9_Jregia,0.483,0,corehelix_core_fail
A0A058ZW33,canonical,True,6,False,,,,canonical_geometry
A0A058ZX16,discarded,False,3,False,ref_5CE9_Jregia,0.499,2,corehelix_core_fail
A0A059CCV1,canonical,True,6,False,,,,canonical_geometry
A0A059CDE4,canonical,True,6,False,,,,canonical_geometry
A0A059F260,canonical,True,6,False,,,,canonical_geometry
A0A059JJQ6,canonical,True,6,False,,,,canonical_geometry
A0A059TZU2,canonical,True,6,False,,,,canonical_geometry
A0A059U1P9,canonical,True,6,False,,,,canonical_geometry
A0A059UAM0,canonical,True,6,False,,,,canonical_geometry
A0A060S6S8,canonical,True,6,False,,,,canonical_geometry
A0A060SLI6,discarded,False,4,False,ref_PmTYR,0.46,3,corehelix_core_fail
A0A060WMQ6,canonical,True,6,False,,,,canonical_geometry
A0A060WUY0,canonical,True,6,False,,,,canonical_geometry
A0A060X1G5,canonical,True,6,False,,,,canonical_geometry
A0A060X8B7,canonical,True,6,False,,,,canonical_geometry
A0A060XL10,canonical,True,6,False,,,,canonical_geometry
A0A060ZAB7,discarded,False,2,False,ref_2Y9W_Abisporus,0.177,0,corehelix_core_fail
A0A061DZ45,canonical,True,6,False,,,,canonical_geometry
A0A061E0X0,canonical,True,6,False,,,,canonical_geometry
A0A061E6S7,canonical,True,6,False,,,,canonical_geometry
A0A061GEN3,canonical,True,6,False,,,,canonical_geometry
A0A061GFI2,noncanonical,False,3,True,ref_1BT3_Ibatatas,0.557,4,corehelix_core_ok
A0A061GFY3,canonical,True,6,False,,,,canonical_geometry
A0A061GFY7,canonical,True,6,False,,,,canonical_geometry
A0A061GMJ6,canonical,True,6,False,,,,canonical_geometry
A0A061GMK1,canonical,True,6,False,,,,canonical_geometry
A0A061HFI6,canonical,True,6,False,,,,canonical_geometry
A0A061HSG6,canonical,True,6,False,,,,canonical_geometry
A0A061IGF6,canonical,True,6,False,,,,canonical_geometry
A0A062U9V8,canonical,True,6,False,,,,canonical_geometry
A0A063BRM1,canonical,True,6,False,,,,canonical_geometry
A0A066RUA7,noncanonical,False,5,True,ref_2Y9W_Abisporus,0.46,4,corehelix_core_ok
A0A066WXF3,canonical,True,6,False,,,,canonical_geometry
A0A066X3Q1,noncanonical,False,5,True,ref_PmTYR,0.582,4,corehelix_core_ok
A0A066X6L4,canonical,True,6,False,,,,canonical_geometry
A0A066X7V3,canonical,True,6,False,,,,canonical_geometry
A0A066X846,canonical,True,6,False,,,,canonical_geometry
A0A066X9U3,canonical,True,6,False,,,,canonical_geometry
A0A066XLM3,canonical,True,6,False,,,,canonical_geometry
A0A066XQD0,canonical,True,6,False,,,,canonical_geometry
A0A066XSE1,noncanonical,False,5,True,ref_PmTYR,0.419,4,corehelix_core_ok
A0A066XSY6,canonical,True,6,False,,,,canonical_geometry
A0A066XW40,canonical,True,6,False,,,,canonical_geometry
A0A066XWR5,canonical,True,6,False,,,,canonical_geometry
A0A066XZ78,canonical,True,6,False,,,,canonical_geometry
A0A066Y1D2,canonical,True,6,False,,,,canonical_geometry
A0A066Y1V3,discarded,False,3,False,ref_2Y9W_Abisporus,0.541,3,corehelix_core_fail
A0A066Z0K1,canonical,True,6,False,,,,canonical_geometry
A0A067BLT8,canonical,True,6,False,,,,canonical_geometry
A0A067BLZ4,canonical,True,6,False,,,,canonical_geometry
A0A067BRT6,canonical,True,6,False,,,,canonical_geometry
A0A067BTT5,canonical,True,6,False,,,,canonical_geometry
A0A067BUS0,canonical,True,6,False,,,,canonical_geometry
A0A067BX73,canonical,True,6,False,,,,canonical_geometry
A0A067BZH5,canonical,True,6,False,,,,canonical_geometry
A0A067C156,canonical,True,6,False,,,,canonical_geometry
A0A067C4V3,discarded,False,4,False,ref_1JS8_squid,0.4,2,corehelix_core_fail
A0A067C5L8,discarded,False,5,False,ref_1JS8_squid,0.375,3,corehelix_core_fail
A0A067C631,canonical,True,6,False,,,,canonical_geometry
A0A067CPX4,canonical,True,6,False,,,,canonical_geometry
A0A067CT24,noncanonical,False,3,True,ref_1JS8_squid,0.449,4,corehelix_core_ok
A0A067CXC8,canonical,True,6,False,,,,canonical_geometry
A0A067CZT6,noncanonical,False,5,True,ref_1JS8_squid,0.383,4,corehelix_core_ok
A0A067D5R2,canonical,True,6,False,,,,canonical_geometry
A0A067D814,canonical,True,6,False,,,,canonical_geometry
A0A067GK93,canonical,True,6,False,,,,canonical_geometry
A0A067JAU2,canonical,True,6,False,,,,canonical_geometry
A0A067MC03,canonical,True,6,False,,,,canonical_geometry
A0A067MC09,canonical,True,6,False,,,,canonical_geometry
A0A067ME78,discarded,False,2,False,ref_2Y9W_Abisporus,0.522,2,corehelix_core_fail
A0A067MJR9,canonical,True,6,False,,,,canonical_geometry
A0A067MN37,discarded,False,2,False,,,,corehelix_core_fail
A0A067MSX0,canonical,True,6,False,,,,canonical_geometry
A0A067N7R8,canonical,True,6,False,,,,canonical_geometry
A0A067NHK1,discarded,False,3,False,ref_PmTYR,0.445,2,corehelix_core_fail
A0A067NVB7,discarded,False,5,False,ref_PmTYR,0.445,3,corehelix_core_fail
A0A067NXD0,canonical,True,6,False,,,,canonical_geometry
A0A067PHP8,canonical,True,6,False,,,,canonical_geometry
A0A067PPZ9,discarded,False,6,False,,,,sixHis_fail_geometry
A0A067PSS3,canonical,True,6,False,,,,canonical_geometry
A0A067S9C3,canonical,True,6,False,,,,canonical_geometry
A0A067T9P6,canonical,True,6,False,,,,canonical_geometry
A0A067TCE7,canonical,True,6,False,,,,canonical_geometry
A0A067TKM5,canonical,True,6,False,,,,canonical_geometry
A0A067XIX1,canonical,True,6,False,,,,canonical_geometry
A0A068FAU8,discarded,False,3,False,ref_PmTYR,0.338,2,corehelix_core_fail
A0A068NQY3,canonical,True,6,False,,,,canonical_geometry
A0A068TU86,canonical,True,6,False,,,,canonical_geometry
A0A068UD36,canonical,True,6,False,,,,canonical_geometry
A0A068UEN7,canonical,True,6,False,,,,canonical_geometry
A0A068UEP3,canonical,True,6,False,,,,canonical_geometry
A0A068VB21,discarded,False,1,False,ref_5CE9_Jregia,0.319,1,corehelix_core_fail
A0A068VBG9,discarded,False,4,False,ref_5CE9_Jregia,0.685,2,corehelix_core_fail
A0A068VNV4,canonical,True,6,False,,,,canonical_geometry
A0A069NJ99,canonical,True,6,False,,,,canonical_geometry
A0A069P877,canonical,True,6,False,,,,canonical_geometry
A0A069P8P9,canonical,True,6,False,,,,canonical_geometry
A0A072P207,canonical,True,6,False,,,,canonical_geometry
A0A072P5W0,canonical,True,6,False,,,,canonical_geometry
A0A072P8W8,canonical,True,6,False,,,,canonical_geometry
A0A072PCR1,canonical,True,6,False,,,,canonical_geometry
A0A072PH66,discarded,False,3,False,ref_2Y9W_Abisporus,0.386,2,corehelix_core_fail
A0A072PJG5,canonical,True,6,False,,,,canonical_geometry
A0A072PV79,discarded,False,3,False,ref_2Y9W_Abisporus,0.621,2,corehelix_core_fail
A0A072Q6Y5,noncanonical,False,5,True,ref_PmTYR,0.734,4,corehelix_core_ok
A0A074RCL1,canonical,True,6,False,,,,canonical_geometry
A0A074RG36,discarded,False,3,False,ref_5CE9_Jregia,0.432,2,corehelix_core_fail
A0A074RJD3,canonical,True,6,False,,,,canonical_geometry
A0A074RK37,discarded,False,4,False,ref_2Y9W_Abisporus,0.562,3,corehelix_core_fail
A0A074RKY4,canonical,True,6,False,,,,canonical_geometry
A0A074RLS0,canonical,True,6,False,,,,canonical_geometry
A0A074RRF8,canonical,True,6,False,,,,canonical_geometry
A0A074RSM2,canonical,True,6,False,,,,canonical_geometry
A0A074RSY5,canonical,True,6,False,,,,canonical_geometry
A0A074RTB9,canonical,True,6,False,,,,canonical_geometry
A0A074RWE6,noncanonical,False,3,True,ref_PmTYR,0.521,4,corehelix_core_ok
A0A074RXC0,canonical,True,6,False,,,,canonical_geometry
A0A074RXE5,canonical,True,6,False,,,,canonical_geometry
A0A074RXR6,canonical,True,6,False,,,,canonical_geometry
A0A074RYB7,canonical,True,6,False,,,,canonical_geometry
A0A074S0H8,canonical,True,6,False,,,,canonical_geometry
A0A074S2B5,canonical,True,6,False,,,,canonical_geometry
A0A074S7C5,canonical,True,6,False,,,,canonical_geometry
A0A074S7W9,canonical,True,6,False,,,,canonical_geometry
A0A074S897,canonical,True,6,False,,,,canonical_geometry
A0A074S9M8,noncanonical,False,5,True,ref_PmTYR,0.676,4,corehelix_core_ok
A0A074SA15,canonical,True,6,False,,,,canonical_geometry
A0A074SDG0,noncanonical,False,3,True,ref_PmTYR,0.621,4,corehelix_core_ok
A0A074SDL0,discarded,False,3,False,ref_2Y9W_Abisporus,0.301,2,corehelix_core_fail
A0A074SFZ9,canonical,True,6,False,,,,canonical_geometry
A0A074SK72,canonical,True,6,False,,,,canonical_geometry
A0A074SK81,canonical,True,6,False,,,,canonical_geometry
A0A074SUA9,canonical,True,6,False,,,,canonical_geometry
A0A074VDT7,canonical,True,6,False,,,,canonical_geometry
A0A074VGZ0,canonical,True,6,False,,,,canonical_geometry
A0A074VI76,noncanonical,False,2,True,ref_PmTYR,0.469,4,corehelix_core_ok
A0A074VIF5,canonical,True,6,False,,,,canonical_geometry
A0A074W682,noncanonical,False,5,True,ref_PmTYR,0.544,4,corehelix_core_ok
A0A074W6F3,noncanonical,False,2,True,ref_PmTYR,0.491,4,corehelix_core_ok
A0A074WGJ9,canonical,True,6,False,,,,canonical_geometry
A0A074WJS2,canonical,True,6,False,,,,canonical_geometry
A0A074WWD6,canonical,True,6,False,,,,canonical_geometry
A0A074X475,canonical,True,6,False,,,,canonical_geometry
A0A074XC75,canonical,True,6,False,,,,canonical_geometry
A0A074XNA1,canonical,True,6,False,,,,canonical_geometry
A0A074XND5,noncanonical,False,1,True,ref_PmTYR,0.485,4,corehelix_core_ok
A0A074XR97,canonical,True,6,False,,,,canonical_geometry
A0A074XWE1,canonical,True,6,False,,,,canonical_geometry
A0A074Y1Q9,canonical,True,6,False,,,,canonical_geometry
A0A074YH07,canonical,True,6,False,,,,canonical_geometry
A0A074YPA7,canonical,True,6,False,,,,canonical_geometry
A0A074YPF6,canonical,True,6,False,,,,canonical_geometry
A0A074YQS1,noncanonical,False,2,True,ref_PmTYR,0.475,4,corehelix_core_ok
A0A074Z7G7,canonical,True,6,False,,,,canonical_geometry
A0A074ZDD7,canonical,True,6,False,,,,canonical_geometry
A0A074ZHJ0,discarded,False,3,False,,,,corehelix_core_fail
A0A074ZPR2,canonical,True,6,False,,,,canonical_geometry
A0A075AEH4,noncanonical,False,5,True,ref_PmTYR,0.524,4,corehelix_core_ok
A0A075AU36,canonical,True,6,False,,,,canonical_geometry
A0A075AX41,canonical,True,6,False,,,,canonical_geometry
A0A075AYG4,canonical,True,6,False,,,,canonical_geometry
A0A075AZW6,discarded,False,3,False,ref_PmTYR,0.508,3,corehelix_core_fail
A0A075B1D3,canonical,True,6,False,,,,canonical_geometry
A0A075BWS7,canonical,True,6,False,,,,canonical_geometry
A0A075BX21,canonical,True,6,False,,,,canonical_geometry
A0A075DN54,canonical,True,6,False,,,,canonical_geometry
A0A075Q1C6,discarded,False,3,False,ref_PmTYR,0.326,0,corehelix_core_fail
A0A075Q3G6,discarded,False,4,False,ref_1BT3_Ibatatas,0.339,0,corehelix_core_fail
A0A075Q4B7,discarded,False,3,False,ref_PmTYR,0.322,0,corehelix_core_fail
A0A075QBC7,discarded,False,3,False,ref_PmTYR,0.326,0,corehelix_core_fail
A0A076FRB3,canonical,True,6,False,,,,canonical_geometry
A0A076FRC0,discarded,False,3,False,ref_PmTYR,0.405,2,corehelix_core_fail
A0A076FRN6,canonical,True,6,False,,,,canonical_geometry
A0A076FRP2,canonical,True,6,False,,,,canonical_geometry
A0A076FRP6,canonical,True,6,False,,,,canonical_geometry
A0A076FT34,canonical,True,6,False,,,,canonical_geometry
A0A076FX85,canonical,True,6,False,,,,canonical_geometry
A0A076FX88,canonical,True,6,False,,,,canonical_geometry
A0A076JQI5,canonical,True,6,False,,,,canonical_geometry
A0A076KXK6,canonical,True,6,False,,,,canonical_geometry
A0A077EN17,discarded,False,1,False,ref_1BT3_Ibatatas,0.79,2,corehelix_core_fail
A0A077HD11,canonical,True,6,False,,,,canonical_geometry
A0A077QRG5,discarded,False,4,False,ref_PmTYR,0.516,3,corehelix_core_fail
A0A077R9S7,canonical,True,6,False,,,,canonical_geometry
A0A077S4H3,canonical,True,6,False,,,,canonical_geometry
A0A077YX65,noncanonical,False,3,True,ref_PmTYR,0.524,4,corehelix_core_ok
A0A077Z814,canonical,True,6,False,,,,canonical_geometry
A0A077ZFE0,noncanonical,False,1,True,ref_PmTYR,0.317,4,corehelix_core_ok
A0A077ZGT3,noncanonical,False,2,True,ref_PmTYR,0.304,4,corehelix_core_ok
A0A078AII6,canonical,True,6,False,,,,canonical_geometry
A0A078ARQ6,discarded,False,3,False,ref_2Y9W_Abisporus,0.359,2,corehelix_core_fail
A0A080Z0A1,canonical,True,6,False,,,,canonical_geometry
A0A080ZC48,noncanonical,False,0,True,ref_PmTYR,0.36,4,corehelix_core_ok
A0A080ZC49,noncanonical,False,0,True,ref_PmTYR,0.316,4,corehelix_core_ok
A0A080ZVP8,canonical,True,6,False,,,,canonical_geometry
A0A080ZVP9,noncanonical,False,4,True,ref_1JS8_squid,0.316,4,corehelix_core_ok
A0A080ZVS2,canonical,True,6,False,,,,canonical_geometry
A0A080ZVS5,canonical,True,6,False,,,,canonical_geometry
A0A080ZVS7,canonical,True,6,False,,,,canonical_geometry
A0A081AHF5,canonical,True,6,False,,,,canonical_geometry
A0A081AVN2,canonical,True,6,False,,,,canonical_geometry
A0A081AZP8,canonical,True,6,False,,,,canonical_geometry
A0A081CKB9,canonical,True,6,False,,,,canonical_geometry
A0A081XZW0,canonical,True,6,False,,,,canonical_geometry
A0A084AF08,canonical,True,6,False,,,,canonical_geometry
A0A084AJL7,noncanonical,False,5,True,ref_PmTYR,0.561,4,corehelix_core_ok
A0A084AR48,canonical,True,6,False,,,,canonical_geometry
A0A084AV30,canonical,True,6,False,,,,canonical_geometry
A0A084AYI1,canonical,True,6,False,,,,canonical_geometry
A0A084B2K4,canonical,True,6,False,,,,canonical_geometry
A0A084B4D9,canonical,True,6,False,,,,canonical_geometry
A0A084B663,canonical,True,6,False,,,,canonical_geometry
A0A084B7G3,canonical,True,6,False,,,,canonical_geometry
A0A084B8J4,canonical,True,6,False,,,,canonical_geometry
A0A084BB06,canonical,True,6,False,,,,canonical_geometry
A0A084FV28,canonical,True,6,False,,,,canonical_geometry
A0A084FV70,canonical,True,6,False,,,,canonical_geometry
A0A084G098,canonical,True,6,False,,,,canonical_geometry
A0A084G330,discarded,False,4,False,ref_PmTYR,0.438,3,corehelix_core_fail
A0A084G3K0,canonical,True,6,False,,,,canonical_geometry
A0A084G593,canonical,True,6,False,,,,canonical_geometry
A0A084G5H0,canonical,True,6,False,,,,canonical_geometry
A0A084G6B5,canonical,True,6,False,,,,canonical_geometry
A0A084G7S9,discarded,False,3,False,ref_PmTYR,0.555,3,corehelix_core_fail
A0A084G7V9,canonical,True,6,False,,,,canonical_geometry
A0A084G9G0,canonical,True,6,False,,,,canonical_geometry
A0A084GCK1,canonical,True,6,False,,,,canonical_geometry
A0A084GDW0,noncanonical,False,2,True,ref_PmTYR,0.406,4,corehelix_core_ok
A0A084GGH5,canonical,True,6,False,,,,canonical_geometry
A0A084GGL7,discarded,False,4,False,ref_2Y9W_Abisporus,0.472,2,corehelix_core_fail
A0A084QC22,canonical,True,6,False,,,,canonical_geometry
A0A084QCB8,canonical,True,6,False,,,,canonical_geometry
A0A084QJ67,canonical,True,6,False,,,,canonical_geometry
A0A084QQ18,canonical,True,6,False,,,,canonical_geometry
A0A084QWG9,canonical,True,6,False,,,,canonical_geometry
A0A084QX23,canonical,True,6,False,,,,canonical_geometry
A0A084QY85,canonical,True,6,False,,,,canonical_geometry
A0A084QZJ0,canonical,True,6,False,,,,canonical_geometry
A0A084R0Y5,canonical,True,6,False,,,,canonical_geometry
A0A084R149,canonical,True,6,False,,,,canonical_geometry
A0A084R1I5,noncanonical,False,5,True,ref_PmTYR,0.579,4,corehelix_core_ok
A0A085M8H3,noncanonical,False,3,True,ref_PmTYR,0.294,4,corehelix_core_ok
A0A085N949,canonical,True,6,False,,,,canonical_geometry
A0A085NCJ6,noncanonical,False,0,True,ref_PmTYR,0.282,4,corehelix_core_ok
A0A086ADX6,canonical,True,6,False,,,,canonical_geometry
A0A086J2K3,canonical,True,6,False,,,,canonical_geometry
A0A086N2U2,canonical,True,6,False,,,,canonical_geometry
A0A086SV08,canonical,True,6,False,,,,canonical_geometry
A0A086T0Z5,noncanonical,False,4,True,ref_2Y9W_Abisporus,0.575,4,corehelix_core_ok
A0A087QSF6,canonical,True,6,False,,,,canonical_geometry
A0A087R0E2,canonical,True,6,False,,,,canonical_geometry
A0A087RFL1,canonical,True,6,False,,,,canonical_geometry
A0A087UWG6,discarded,False,1,False,ref_PmTYR,0.419,2,corehelix_core_fail
A0A087UWG8,noncanonical,False,2,True,ref_PmTYR,0.595,4,corehelix_core_ok
A0A087V2P2,canonical,True,6,False,,,,canonical_geometry
A0A087X5L9,canonical,True,6,False,,,,canonical_geometry
A0A087XJW4,canonical,True,6,False,,,,canonical_geometry
