accession,best_ce_cov,best_ce_rmsd,best_ce_naln,best_ce_ref
A0A0A7CM13,0.916,3.69,240,ref_1JS8_squid
A0A0A7CM93,0.916,4.44,240,ref_1JS8_squid
A0A0A7CMA7,0.916,3.64,240,ref_1JS8_squid
A0A0A7CN79,0.916,3.61,240,ref_1JS8_squid
A0A0A7CP65,0.885,3.98,232,ref_1JS8_squid
A0A0B2X1U6,0.947,4.45,248,ref_1JS8_squid
A0A0B7FL26,0.885,3.54,232,ref_1JS8_squid
A0A0C2HF86,0.672,4.94,176,ref_1JS8_squid
A0A0C2HHH6,0.824,3.81,216,ref_1JS8_squid
A0A0C2WPB2,0.917,4.04,264,ref_PmTYR
A0A0C2XCT6,0.855,5.02,224,ref_1JS8_squid
A0A0C3B6I5,0.947,4.02,248,ref_1JS8_squid
A0A0C4EEL6,0.672,4.18,176,ref_1JS8_squid
A0A0C4F9W5,0.667,3.45,192,ref_PmTYR
A0A0C9SL04,0.885,3.65,232,ref_1JS8_squid
A0A0C9SRH3,0.885,3.74,232,ref_1JS8_squid
A0A0D2EZH2,0.885,4.07,232,ref_1JS8_squid
A0A0D2FU82,0.934,4.32,328,ref_2Y9W_Abisporus
A0A0D2M1N4,0.889,3.26,256,ref_PmTYR
A0A0D2UIJ1,0.881,2.40,296,ref_1BT3_Ibatatas
A0A0D3HYU6,0.417,3.83,120,ref_PmTYR
A0A0D6LWG8,0.305,2.79,80,ref_1JS8_squid
A0A0D6LZL4,0.861,3.30,248,ref_PmTYR
A0A0D9NQW1,0.861,3.18,248,ref_PmTYR
A0A0E0C8Q1,0.929,1.87,312,ref_1BT3_Ibatatas
A0A0F4GBJ7,0.885,4.56,232,ref_1JS8_squid
A0A0F5VAR5,0.885,3.28,232,ref_1JS8_squid
A0A0F8A4E9,0.916,3.63,240,ref_1JS8_squid
A0A0G2GB29,0.843,3.84,296,ref_2Y9W_Abisporus
A0A0G4IUF0,0.824,3.54,216,ref_1JS8_squid
A0A0G4N7R0,0.889,3.60,256,ref_PmTYR
A0A0G4NU02,0.833,3.59,240,ref_PmTYR
A0A0K6G359,0.861,3.66,248,ref_PmTYR
A0A0K6G3H3,0.861,3.79,248,ref_PmTYR
A0A0K6GCM0,0.934,3.43,328,ref_2Y9W_Abisporus
A0A0K9PZE6,0.952,1.99,320,ref_1BT3_Ibatatas
A0A0L0NB41,0.885,3.63,232,ref_1JS8_squid
A0A0L0VSW2,0.855,3.80,224,ref_1JS8_squid
A0A0L0W3Q3,0.855,3.73,224,ref_1JS8_squid
A0A0L6VTF1,0.458,4.96,120,ref_1JS8_squid
A0A0L8FGF3,0.855,4.34,224,ref_1JS8_squid
A0A0L8G8M2,0.702,3.82,184,ref_1JS8_squid
A0A0L8ICD6,0.855,3.70,224,ref_1JS8_squid
A0A0L8IDI7,0.855,3.70,224,ref_1JS8_squid
A0A0M3IG66,0.889,3.23,256,ref_PmTYR
A0A0M3IJ33,0.889,3.26,256,ref_PmTYR
A0A0N4SWM8,0.889,3.26,256,ref_PmTYR
A0A0N4VKH8,0.806,4.99,232,ref_PmTYR
A0A0N4Y6D6,0.861,3.78,248,ref_PmTYR
A0A0P1ANE6,0.885,4.11,232,ref_1JS8_squid
A0A0R3PF75,0.861,4.06,248,ref_PmTYR
A0A0R3QQ18,0.889,3.41,256,ref_PmTYR
A0A0R3RX42,0.889,3.39,256,ref_PmTYR
A0A0U1M3F3,0.947,4.23,248,ref_1JS8_squid
A0A0U5GNJ7,0.947,4.58,248,ref_1JS8_squid
A0A0V0R8Y7,0.855,3.71,224,ref_1JS8_squid
A0A0V0S806,0.672,4.32,176,ref_1JS8_squid
A0A0V0TGR2,0.694,3.87,200,ref_PmTYR
A0A0V0YE73,0.861,3.08,248,ref_PmTYR
A0A0V1AAJ2,0.861,3.27,248,ref_PmTYR
A0A0V1ABN4,0.861,3.05,248,ref_PmTYR
A0A0V1BIN6,0.702,4.71,184,ref_1JS8_squid
A0A0V1DE70,0.861,3.06,248,ref_PmTYR
A0A0V1ESS6,0.861,3.05,248,ref_PmTYR
A0A0V1G4S3,0.861,3.05,248,ref_PmTYR
A0A0V1I3Y0,0.861,3.10,248,ref_PmTYR
A0A0V1JHS7,0.861,3.04,248,ref_PmTYR
A0A0V1KD92,0.861,3.06,248,ref_PmTYR
A0A0V1KR57,0.672,4.33,176,ref_1JS8_squid
A0A0V1MUW3,0.861,3.06,248,ref_PmTYR
A0A0W8AY19,0.885,4.05,232,ref_1JS8_squid
A0A0W8C3R7,0.824,4.44,216,ref_1JS8_squid
A0A0W8DAM1,0.885,4.33,232,ref_1JS8_squid
A0A0Y0DNT4,0.861,3.06,248,ref_PmTYR
A0A135SEP1,0.917,3.83,264,ref_PmTYR
A0A135TNR4,0.833,3.65,240,ref_PmTYR
A0A135TX30,0.885,3.98,232,ref_1JS8_squid
A0A135UY99,0.917,4.07,264,ref_PmTYR
A0A135V6V7,0.794,3.80,208,ref_1JS8_squid
A0A135V6Y1,0.855,4.17,224,ref_1JS8_squid
A0A135V8Q3,0.889,3.41,256,ref_PmTYR
A0A137NPX8,0.763,3.23,200,ref_1JS8_squid
A0A139HAY5,0.885,3.61,232,ref_1JS8_squid
A0A142I737,0.885,4.37,232,ref_1JS8_squid
A0A151TBD1,0.976,1.76,328,ref_1BT3_Ibatatas
A0A158RAT2,0.889,3.41,256,ref_PmTYR
A0A161VY89,0.861,3.27,248,ref_PmTYR
A0A161WK35,0.885,4.42,232,ref_1JS8_squid
A0A166M367,0.889,3.38,256,ref_PmTYR
A0A166TEN8,0.885,3.63,232,ref_1JS8_squid
A0A166TRG0,0.934,3.12,328,ref_2Y9W_Abisporus
A0A166U3J7,0.889,3.37,256,ref_PmTYR
A0A167AFV0,0.855,3.87,224,ref_1JS8_squid
A0A167BRG2,0.885,3.49,232,ref_1JS8_squid
A0A167GD15,0.866,2.72,304,ref_2Y9W_Abisporus
A0A167KGF5,0.885,4.18,232,ref_1JS8_squid
A0A168EXD0,0.885,3.66,232,ref_1JS8_squid
A0A168H3F0,0.866,3.27,304,ref_2Y9W_Abisporus
A0A175VYW1,0.889,3.58,256,ref_PmTYR
A0A175W3Y2,0.889,3.52,256,ref_PmTYR
A0A177CZG6,0.934,2.47,328,ref_2Y9W_Abisporus
A0A177DSJ1,0.889,3.42,256,ref_PmTYR
A0A177E0Q1,0.861,3.71,248,ref_PmTYR
A0A177F584,0.889,2.53,312,ref_2Y9W_Abisporus
A0A177T6E5,0.885,4.03,232,ref_1JS8_squid
A0A178D5B3,0.889,2.47,312,ref_2Y9W_Abisporus
A0A179I3R8,0.866,2.79,304,ref_2Y9W_Abisporus
A0A180GDP5,0.855,3.72,224,ref_1JS8_squid
A0A183I077,0.889,3.18,256,ref_PmTYR
A0A183IVQ9,0.861,2.97,248,ref_PmTYR
A0A194WE27,0.752,4.26,264,ref_2Y9W_Abisporus
A0A194XMC7,0.916,3.73,240,ref_1JS8_squid
A0A194XN12,0.885,3.41,232,ref_1JS8_squid
A0A194XSF1,0.855,3.54,224,ref_1JS8_squid
A0A1B7YR08,0.889,3.36,256,ref_PmTYR
A0A1E1JSY2,0.889,3.90,312,ref_2Y9W_Abisporus
A0A1G4AYJ9,0.889,3.38,256,ref_PmTYR
A0A1G4BKS1,0.885,3.54,232,ref_1JS8_squid
A0A1G6VNA4,0.794,5.36,208,ref_1JS8_squid
A0A1G8B6K0,0.889,2.66,256,ref_PmTYR
A0A1H1X1U7,0.763,4.52,200,ref_1JS8_squid
A0A1H7VPR3,0.855,4.58,224,ref_1JS8_squid
A0A1I4X2F3,0.763,4.14,200,ref_1JS8_squid
A0A1I5PK02,0.855,4.73,224,ref_1JS8_squid
A0A1I7VEA5,0.889,3.41,256,ref_PmTYR
A0A1I8I6W4,0.953,3.29,344,ref_5M8L_human
A0A1I8IJ91,0.953,3.69,344,ref_5M8L_human
A0A1I9G609,0.889,3.42,256,ref_PmTYR
A0A1I9G629,0.889,3.26,256,ref_PmTYR
A0A1J9R2U7,0.861,3.48,248,ref_PmTYR
A0A1L7T8U3,0.861,3.38,248,ref_PmTYR
A0A1L7V991,0.885,4.33,232,ref_1JS8_squid
A0A1L7XXI3,0.702,4.74,184,ref_1JS8_squid
A0A1L9PZT9,0.889,3.64,256,ref_PmTYR
A0A1L9S434,0.889,3.47,256,ref_PmTYR
A0A1L9T6V0,0.885,3.76,232,ref_1JS8_squid
A0A1L9WGB2,0.916,4.03,240,ref_1JS8_squid
A0A1N6ZK30,0.861,2.99,248,ref_PmTYR
A0A1Q8RT46,0.885,3.50,232,ref_1JS8_squid
A0A1R3RV41,0.855,3.70,224,ref_1JS8_squid
A0A1R3VBN3,0.824,5.33,216,ref_1JS8_squid
A0A1R4H6E4,0.885,4.42,232,ref_1JS8_squid
A0A1R4H727,0.885,4.97,232,ref_1JS8_squid
A0A1S8CTM4,0.916,4.79,240,ref_1JS8_squid
A0A1S8X904,0.953,3.26,344,ref_5M8L_human
A0A1U7LR42,0.916,3.75,240,ref_1JS8_squid
A0A1V4I1C4,0.794,4.86,208,ref_1JS8_squid
A0A1V6NT23,0.885,3.69,232,ref_1JS8_squid
A0A1V9YE51,0.885,3.66,232,ref_1JS8_squid
A0A1V9YSU1,0.824,4.20,216,ref_1JS8_squid
A0A1V9YYD2,0.916,3.65,240,ref_1JS8_squid
A0A1V9Z4B6,0.916,4.19,240,ref_1JS8_squid
A0A1X6NRK9,0.861,3.66,248,ref_PmTYR
A0A1X6PJ39,0.861,3.18,248,ref_PmTYR
A0A1X7RU91,0.861,3.19,248,ref_PmTYR
A0A1X7RVT3,0.885,3.49,232,ref_1JS8_squid
A0A1Y1VYU8,0.833,3.17,240,ref_PmTYR
A0A1Y1Z6J4,0.702,3.24,184,ref_1JS8_squid
A0A1Y1ZAQ2,0.861,2.89,248,ref_PmTYR
A0A1Y2DTS3,0.885,3.72,232,ref_1JS8_squid
A0A1Y2EAK7,0.833,5.22,240,ref_PmTYR
A0A1Y2HIE7,0.794,3.69,208,ref_1JS8_squid
A0A1Y2I4M2,0.336,3.49,88,ref_1JS8_squid
A0A1Y6LJW2,0.806,3.84,232,ref_PmTYR
A0A1Y6LLM1,0.885,3.49,232,ref_1JS8_squid
A0A210R2D2,0.824,3.42,216,ref_1JS8_squid
A0A218Z9Z9,0.889,3.78,256,ref_PmTYR
A0A225WZW1,0.916,4.56,240,ref_1JS8_squid
A0A232LQ58,0.916,4.30,240,ref_1JS8_squid
A0A232M3P4,0.957,3.25,336,ref_2Y9W_Abisporus
A0A238C4W2,0.889,3.18,256,ref_PmTYR
A0A2A2KWS8,0.889,2.97,256,ref_PmTYR
A0A2B7X1D4,0.947,3.95,248,ref_1JS8_squid
A0A2B7Y1Z4,0.798,3.64,280,ref_2Y9W_Abisporus
A0A2C9KDQ8,0.855,3.34,224,ref_1JS8_squid
A0A2G8L6J4,0.855,4.52,224,ref_1JS8_squid
A0A2G9GQP1,0.952,2.33,320,ref_1BT3_Ibatatas
A0A2G9H9E5,0.833,2.78,280,ref_1BT3_Ibatatas
A0A2H1GH96,0.861,3.18,248,ref_PmTYR
A0A2H3E8H0,0.889,3.36,256,ref_PmTYR
A0A2H3S6Y7,0.861,3.29,248,ref_PmTYR
A0A2H3SXS3,0.885,4.02,232,ref_1JS8_squid
A0A2H4SUB3,0.916,3.27,240,ref_1JS8_squid
A0A2I1CEB6,0.885,4.25,232,ref_1JS8_squid
A0A2J6PRK0,0.885,3.50,232,ref_1JS8_squid
A0A2J6QS19,0.885,3.56,232,ref_1JS8_squid
A0A2J6R1Z2,0.934,3.30,328,ref_2Y9W_Abisporus
A0A2J6S1F6,0.861,3.58,248,ref_PmTYR
A0A2J6S2Q8,0.889,3.96,256,ref_PmTYR
A0A2J6TC85,0.750,4.81,216,ref_PmTYR
A0A2J6TD48,0.885,3.55,232,ref_1JS8_squid
A0A2J8X8R4,0.975,1.69,352,ref_5M8L_human
A0A2L2SRY2,0.957,3.54,336,ref_2Y9W_Abisporus
A0A2L2TIX2,0.861,3.34,248,ref_PmTYR
A0A2N3MZ18,0.889,3.56,256,ref_PmTYR
A0A2N3N7R4,0.722,3.56,208,ref_PmTYR
A0A2N5SEN2,0.855,3.82,224,ref_1JS8_squid
A0A2N5SRB5,0.694,2.96,200,ref_PmTYR
A0A2N5SSF6,0.694,2.97,200,ref_PmTYR
A0A2N5TV63,0.855,3.71,224,ref_1JS8_squid
A0A2N5U4U9,0.750,3.56,216,ref_PmTYR
A0A2N5VYB1,0.694,2.96,200,ref_PmTYR
A0A2N6NRW3,0.855,3.74,224,ref_1JS8_squid
A0A2P7YDE6,0.917,4.50,264,ref_PmTYR
A0A2P7Z1M8,0.861,3.37,248,ref_PmTYR
A0A2P7ZE68,0.750,3.24,216,ref_PmTYR
A0A2S4L8N0,0.912,3.79,320,ref_2Y9W_Abisporus
A0A2S4UTV9,0.855,3.79,224,ref_1JS8_squid
A0A2S4VER1,0.855,3.55,224,ref_1JS8_squid
A0A2S4VEY7,0.855,3.79,224,ref_1JS8_squid
A0A2T2N6M0,0.947,3.68,248,ref_1JS8_squid
A0A2T2NJ62,0.813,4.19,248,ref_I3D139_archaea
A0A2T2PBL1,0.934,2.73,328,ref_2Y9W_Abisporus
A0A2T3ZXK1,0.889,3.95,256,ref_PmTYR
A0A2T4GS12,0.798,4.04,280,ref_2Y9W_Abisporus
A0A2T6BVL4,0.855,3.05,224,ref_1JS8_squid
A0A2T6ZWP4,0.947,4.24,248,ref_1JS8_squid
A0A2T9Y3X3,0.672,3.93,176,ref_1JS8_squid
A0A2U3E4P9,0.916,3.60,240,ref_1JS8_squid
A0A2V1D8S9,0.885,3.70,232,ref_1JS8_squid
A0A2V1EB40,0.934,3.00,328,ref_2Y9W_Abisporus
A0A2V5IDW1,0.885,3.62,232,ref_1JS8_squid
A0A2V5JDM1,0.917,3.56,264,ref_PmTYR
A0A2Z5HVJ6,0.991,1.34,336,ref_5CE9_Jregia
A0A317SGF7,0.855,4.23,224,ref_1JS8_squid
A0A317VMA5,0.885,3.53,232,ref_1JS8_squid
A0A319FJL1,0.917,3.48,264,ref_PmTYR
A0A329SB08,0.885,4.01,232,ref_1JS8_squid
A0A329SW91,0.916,4.11,240,ref_1JS8_squid
A0A365MY87,0.833,3.74,240,ref_PmTYR
A0A365NE95,0.861,3.74,248,ref_PmTYR
A0A368QNI6,0.881,2.50,296,ref_1BT3_Ibatatas
A0A384K0M5,0.885,3.59,232,ref_1JS8_squid
A0A384K4W6,0.885,3.45,232,ref_1JS8_squid
A0A395S427,0.885,4.25,232,ref_1JS8_squid
A0A395T2J9,0.917,4.11,264,ref_PmTYR
A0A397AHH6,0.556,5.51,160,ref_PmTYR
A0A3B6EKX7,0.885,4.24,232,ref_1JS8_squid
A0A3B6J0G9,0.855,4.10,224,ref_1JS8_squid
A0A3E2HCJ3,0.885,3.56,232,ref_1JS8_squid
A0A3F2RYX7,0.855,4.14,224,ref_1JS8_squid
A0A3F3PW89,0.889,3.21,256,ref_PmTYR
A0A3F3Q782,0.916,4.06,240,ref_1JS8_squid
A0A3M6VLC9,0.885,3.98,232,ref_1JS8_squid
A0A3M6XNY6,0.866,3.60,304,ref_2Y9W_Abisporus
A0A3M7C5D9,0.957,2.86,336,ref_2Y9W_Abisporus
A0A3M7J5F3,0.934,2.87,328,ref_2Y9W_Abisporus
A0A3M7MKX7,0.957,2.67,336,ref_2Y9W_Abisporus
A0A3N0CP77,0.861,3.02,248,ref_PmTYR
A0A3N4IPE1,0.912,3.40,320,ref_2Y9W_Abisporus
A0A3N4K3H4,0.861,4.05,248,ref_PmTYR
A0A3P3Y6K2,0.824,3.51,216,ref_1JS8_squid
A0A3P6S9E3,0.708,5.41,240,ref_5CE9_Jregia
A0A3P7DNC2,0.889,3.25,256,ref_PmTYR
A0A3P8DS39,0.855,3.80,224,ref_1JS8_squid
A0A3P8WHA0,0.931,1.88,336,ref_5M8L_human
A0A3P8WJV9,0.917,3.36,264,ref_PmTYR
A0A3P8WPJ5,0.917,3.34,264,ref_PmTYR
A0A3R7FX46,0.794,4.43,208,ref_1JS8_squid
A0A3S3Q853,0.855,4.78,224,ref_1JS8_squid
A0A401PX39,0.855,4.00,224,ref_1JS8_squid
A0A409WYM8,0.889,3.58,256,ref_PmTYR
A0A419QAV9,0.953,3.45,344,ref_5M8L_human
A0A420MD28,0.410,4.21,144,ref_2Y9W_Abisporus
A0A420TE23,0.806,3.90,232,ref_PmTYR
A0A421G844,0.916,4.44,240,ref_1JS8_squid
A0A425CLB8,0.885,3.99,232,ref_1JS8_squid
A0A430HE78,0.855,4.39,224,ref_1JS8_squid
A0A437ABU9,0.934,2.35,328,ref_2Y9W_Abisporus
A0A443HXX0,0.885,3.40,232,ref_1JS8_squid
A0A444RJX5,0.806,3.47,232,ref_PmTYR
A0A444UPP0,0.909,1.66,328,ref_5M8L_human
A0A447TAE7,0.763,4.69,200,ref_1JS8_squid
A0A484G057,0.889,3.39,256,ref_PmTYR
A0A485KPS2,0.916,4.21,240,ref_1JS8_squid
A0A485KPU0,0.916,4.37,240,ref_1JS8_squid
A0A485KQE4,0.916,4.47,240,ref_1JS8_squid
A0A485KTR0,0.778,4.27,224,ref_PmTYR
A0A498S2C2,0.889,3.42,256,ref_PmTYR
A0A4E9FIB1,0.889,3.28,256,ref_PmTYR
A0A4P9VZN9,0.861,3.68,248,ref_PmTYR
A0A4P9XG75,0.861,3.56,248,ref_PmTYR
A0A4P9XJ34,0.861,3.31,248,ref_PmTYR
A0A4P9XNA4,0.750,3.10,216,ref_PmTYR
A0A4Q4M2B0,0.778,3.22,224,ref_PmTYR
A0A4Q4NQ20,0.778,3.30,224,ref_PmTYR
A0A4R8PT74,0.806,3.56,232,ref_PmTYR
A0A4R8REE8,0.889,3.71,256,ref_PmTYR
A0A4R8RI59,0.861,3.68,248,ref_PmTYR
A0A4R8T272,0.806,4.14,232,ref_PmTYR
A0A4R8TI16,0.833,3.37,240,ref_PmTYR
A0A4S2LAY4,0.909,3.82,328,ref_5M8L_human
A0A4S2LBN1,0.953,3.31,344,ref_5M8L_human
A0A4S9F9F9,0.548,5.14,184,ref_1BT3_Ibatatas
A0A4S9LP12,0.571,5.09,192,ref_1BT3_Ibatatas
A0A4S9TP14,0.543,5.28,184,ref_5CE9_Jregia
A0A4S9V507,0.548,5.10,184,ref_1BT3_Ibatatas
A0A4S9Y8F5,0.543,5.01,184,ref_5CE9_Jregia
A0A4T0BL07,0.566,5.24,192,ref_5CE9_Jregia
A0A4T0EP09,0.543,5.22,184,ref_5CE9_Jregia
A0A4T0FMD4,0.694,3.01,200,ref_PmTYR
A0A4T0WAP6,0.889,3.37,256,ref_PmTYR
A0A4U0TXP9,0.885,3.63,232,ref_1JS8_squid
A0A4U0VC90,0.824,4.19,216,ref_1JS8_squid
A0A4U0VS63,0.750,2.75,216,ref_PmTYR
A0A4U0XT20,0.885,3.61,232,ref_1JS8_squid
A0A4U6X5Z4,0.889,3.86,256,ref_PmTYR
A0A4U7AY24,0.733,3.42,192,ref_1JS8_squid
A0A4U7B5J3,0.885,3.61,232,ref_1JS8_squid
A0A4U7BEM6,0.889,3.42,256,ref_PmTYR
A0A4U9EHQ3,0.957,2.45,336,ref_2Y9W_Abisporus
A0A4W4EZ83,0.917,2.62,264,ref_PmTYR
A0A4W4FK82,0.975,1.77,352,ref_5M8L_human
A0A4W4FKH2,0.975,1.75,352,ref_5M8L_human
A0A4W6F5R6,0.953,1.73,344,ref_5M8L_human
A0A4Y5U475,0.465,2.11,168,ref_5M8L_human
A0A4Y7SLE9,0.861,3.31,248,ref_PmTYR
A0A4Y8CCG2,0.885,4.10,232,ref_1JS8_squid
A0A4Y8D0D0,0.778,3.82,224,ref_PmTYR
A0A4Y8D0V3,0.885,3.40,232,ref_1JS8_squid
A0A4Y9L370,0.855,5.08,224,ref_1JS8_squid
A0A4Z0YK01,0.885,3.54,232,ref_1JS8_squid
A0A4Z1EV38,0.885,3.70,232,ref_1JS8_squid
A0A4Z1FR91,0.885,3.48,232,ref_1JS8_squid
A0A4Z1K5V5,0.885,3.62,232,ref_1JS8_squid
A0A4Z1NUI9,0.861,3.29,248,ref_PmTYR
A0A4Z1PB68,0.917,4.02,264,ref_PmTYR
A0A507BI78,0.957,2.66,336,ref_2Y9W_Abisporus
A0A507BMG0,0.889,3.57,256,ref_PmTYR
A0A507BNL8,0.912,2.60,320,ref_2Y9W_Abisporus
A0A507F691,0.917,3.77,264,ref_PmTYR
A0A507F697,0.861,3.01,248,ref_PmTYR
A0A544XUX3,0.861,2.98,248,ref_PmTYR
A0A562PHQ5,0.794,4.39,208,ref_1JS8_squid
A0A5B0PE42,0.855,3.74,224,ref_1JS8_squid
A0A5B0S431,0.855,3.71,224,ref_1JS8_squid
A0A5C3QBW9,0.861,3.23,248,ref_PmTYR
A0A5C6MG15,0.931,1.90,336,ref_5M8L_human
A0A5C6SKB8,0.824,3.85,216,ref_1JS8_squid
A0A5C6SLG5,0.794,4.45,208,ref_1JS8_squid
A0A5D2CAK1,0.920,1.38,312,ref_5CE9_Jregia
A0A5D2Q415,0.786,2.60,264,ref_1BT3_Ibatatas
A0A5J5NCV8,0.920,1.43,312,ref_5CE9_Jregia
A0A5J6HY91,0.855,3.36,224,ref_1JS8_squid
A0A5M8PS01,0.885,3.59,232,ref_1JS8_squid
A0A5N5DLD5,0.833,3.57,240,ref_PmTYR
A0A5N5DM31,0.861,3.46,248,ref_PmTYR
A0A5N5QEZ6,0.889,3.17,256,ref_PmTYR
A0A5N6BWN4,0.855,3.43,224,ref_1JS8_squid
A0A5N7CL84,0.916,3.68,240,ref_1JS8_squid
A0A5N7DKE9,0.885,3.70,232,ref_1JS8_squid
A0A5Q4BTC4,0.885,3.18,232,ref_1JS8_squid
A0A5Q4BZL7,0.861,3.34,248,ref_PmTYR
A0A5S6QIU3,0.861,3.13,248,ref_PmTYR
A0A5S6QUR5,0.833,3.27,240,ref_PmTYR
A0A654M5U9,0.885,4.03,232,ref_1JS8_squid
A0A667G1E1,0.886,1.47,320,ref_5M8L_human
A0A672MGC5,0.909,1.42,328,ref_5M8L_human
A0A672ML46,0.909,1.46,328,ref_5M8L_human
A0A673AVA6,0.931,2.12,336,ref_5M8L_human
A0A6A3EYQ9,0.885,4.36,232,ref_1JS8_squid
A0A6A3FBU7,0.885,4.03,232,ref_1JS8_squid
A0A6A3HLB0,0.855,4.16,224,ref_1JS8_squid
A0A6A3L3S8,0.916,4.30,240,ref_1JS8_squid
A0A6A3MUA3,0.885,4.34,232,ref_1JS8_squid
A0A6A3NDJ9,0.916,4.30,240,ref_1JS8_squid
A0A6A3Q4B5,0.855,4.17,224,ref_1JS8_squid
A0A6A4E140,0.916,4.30,240,ref_1JS8_squid
A0A6A4G489,0.885,4.02,232,ref_1JS8_squid
A0A6A4ZE36,0.787,5.27,240,ref_I3D139_archaea
A0A6A5TIJ7,0.934,2.49,328,ref_2Y9W_Abisporus
A0A6A5TLY8,0.889,3.58,256,ref_PmTYR
A0A6A5VK30,0.934,2.44,328,ref_2Y9W_Abisporus
A0A6A5XM88,0.833,4.23,240,ref_PmTYR
A0A6A5YJL3,0.885,4.17,232,ref_1JS8_squid
A0A6A5ZPV6,0.889,3.56,256,ref_PmTYR
A0A6A6BKX9,0.885,3.62,232,ref_1JS8_squid
A0A6A6C2M9,0.885,3.61,232,ref_1JS8_squid
A0A6A6CAJ8,0.885,3.58,232,ref_1JS8_squid
A0A6A6CBF1,0.885,3.52,232,ref_1JS8_squid
A0A6A6D3V8,0.957,2.83,336,ref_2Y9W_Abisporus
A0A6A6H4U9,0.885,3.46,232,ref_1JS8_squid
A0A6A6HHK4,0.885,3.60,232,ref_1JS8_squid
A0A6A6IDS4,0.934,2.36,328,ref_2Y9W_Abisporus
A0A6A6JAY1,0.885,3.64,232,ref_1JS8_squid
A0A6A6JN94,0.934,2.94,328,ref_2Y9W_Abisporus
A0A6A6TSU5,0.889,3.83,256,ref_PmTYR
A0A6A6V9C0,0.957,2.58,336,ref_2Y9W_Abisporus
A0A6A6VF46,0.885,3.69,232,ref_1JS8_squid
A0A6A6VMY9,0.947,3.71,248,ref_1JS8_squid
A0A6A6VU64,0.885,3.54,232,ref_1JS8_squid
A0A6A6XLR7,0.889,3.93,256,ref_PmTYR
A0A6A6YIL2,0.889,2.54,312,ref_2Y9W_Abisporus
A0A6A7BLX6,0.885,3.47,232,ref_1JS8_squid
A0A6G0JRR3,0.833,4.11,240,ref_PmTYR
A0A6G0LHA8,0.885,4.34,232,ref_1JS8_squid
A0A6G0QFF2,0.885,5.01,232,ref_1JS8_squid
A0A6G0S364,0.885,4.38,232,ref_1JS8_squid
A0A6G0WB52,0.916,4.58,240,ref_1JS8_squid
A0A6G0XI62,0.916,4.01,240,ref_1JS8_squid
A0A6G1IEP5,0.806,5.00,232,ref_PmTYR
A0A6G1KGG9,0.861,3.78,248,ref_PmTYR
A0A6H0Y3Z6,0.885,3.51,232,ref_1JS8_squid
A0A6I3X362,0.794,4.72,208,ref_1JS8_squid
