product	n_queries	freq_all	freq_with_data	total
intracellular serine protease	1	0.012	0.024	2
nucleoside phosphorylase	1	0.012	0.024	1
tkl kinase	1	0.012	0.024	1
drug proton antiporter yhk8	1	0.012	0.024	1
4 5-dopa dioxygenase	1	0.012	0.024	1
oleate-activated transcription factor 1	1	0.012	0.024	1
high-affinity iron permease	1	0.012	0.024	1
ribulose bisphosphate carboxylase large chain	1	0.012	0.024	1
putative mannosyltransferase ktr4	1	0.012	0.024	1
fatty acyl-coa elongase/polyunsaturated fatty acid specific elongation enzyme	1	0.012	0.024	1
translation initiation factor sui1 family protein	1	0.012	0.024	1
putative glucose transporter rco-3	1	0.012	0.024	1
putative elongation of fatty acids protein 1	1	0.012	0.024	1
phosphatidylinositol glycan, class p	1	0.012	0.024	1
mitochondrial carrier protein	1	0.012	0.024	1
4-formylbenzenesulfonate dehydrogenase tsac1/tsac2	1	0.012	0.024	1
3'-5' rna exonuclease complex component	1	0.012	0.024	1
succinate dehydrogenase [ubiquinone] flavoprotein subunit 1, mitochondrial	1	0.012	0.024	1
methionine-synthesizing 5- methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	1	0.012	0.024	1
acetolactate synthase, regulatory subunit	1	0.012	0.024	1
nucleoside diphosphate kinase	1	0.012	0.024	1
mitochondrial import inner membrane translocase subunit tim22	1	0.012	0.024	1
6-phosphofructo-2-kinase	1	0.012	0.024	1
dna repair protein rhp57	1	0.012	0.024	1
dna repair helicase rad25	1	0.012	0.024	1
replication factor c, subunit rfc4	1	0.012	0.024	1
amino-acid permease inda1	1	0.012	0.024	1
alkaline ceramidase ydc1	1	0.012	0.024	1
epsin-3, clathrin recruitment and traffic between the golgi and endosome	1	0.012	0.024	1
ribosomal 40s subunit protein s30b	1	0.012	0.024	1
transcription factor	1	0.012	0.024	1
nicotinate-nucleotide diphosphorylase (carboxylating)	1	0.012	0.024	1
alcohol acetyltransferase	1	0.012	0.024	1
cora metal ion transporter	1	0.012	0.024	1
alpha-actinin	1	0.012	0.024	1
succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	1	0.012	0.024	1
cytochrome c oxidase subunit 5a	1	0.012	0.024	1
5-methyltetrahydropteroyltriglutamate- homocysteine methyltransferase	1	0.012	0.024	1
pit family inorganic phosphate transporter	1	0.012	0.024	1
potassium/sodium efflux p-type atpase, fungal-type	1	0.012	0.024	1
ap-1 complex subunit mu-1	1	0.012	0.024	1
cmgc/clk protein kinase	1	0.012	0.024	1
isopenicillin-n n-acyltransferase	1	0.012	0.024	1
c4-hydroxylase	1	0.012	0.024	1
endoribonuclease ysh1	1	0.012	0.024	1
ubiquitin thiolesterase	1	0.012	0.024	1
translation initiation factor 4e	1	0.012	0.024	1
inorganic pyrophosphatase	1	0.012	0.024	1
