member,accession,cterm_len,n_seg,status
A0A3P3ZL83_taxID_4081_model_A,A0A3P3ZL83,143,1,ok
A0A6N2ALI0_taxID_4083_model_A,A0A6N2ALI0,159,1,ok
A0A6N2ALR9_taxID_4083_model_A,A0A6N2ALR9,161,1,ok
A0A6N2ANX6_taxID_4083_model_A,A0A6N2ANX6,162,1,ok
A0A7D5JZ45_taxID_223891_model_A,A0A7D5JZ45,161,1,ok
A0A7D5KJK5_taxID_223891_model_A,A0A7D5KJK5,146,1,ok
A0A7D5L2D4_taxID_223891_model_A,A0A7D5L2D4,161,1,ok
A0A9J5XX44_taxID_4109_model,A0A9J5XX44,161,1,ok
A0A9J5XX52_taxID_4109_model_A,A0A9J5XX52,162,1,ok
A0A9J5XZD3_taxID_4109_model_A,A0A9J5XZD3,139,1,ok
A0A9Q1L3R3_taxID_402998_model_A,A0A9Q1L3R3,161,1,ok
A0A9Q1M9T0_taxID_402998_model,A0A9Q1M9T0,163,1,ok
A0A9Q1MCW5_taxID_402998_model_A,A0A9Q1MCW5,161,1,ok
A0A9Q1MD85_taxID_402998_model_A,A0A9Q1MD85,160,1,ok
A0A9Q1RG09_taxID_402998_model_A,A0A9Q1RG09,161,1,ok
A0A9Q1RGX2_taxID_402998_model_A,A0A9Q1RGX2,144,1,ok
A0AA51NGA5_taxID_300354_model_A,A0AA51NGA5,162,1,ok
A0AA51NGI9_taxID_4072_model_A,A0AA51NGI9,161,1,ok
A0AA51REH5_taxID_4100_model,A0AA51REH5,162,1,ok
A0AA51RF15_taxID_223891_model_A,A0AA51RF15,161,1,ok
A0AA51RHR0_taxID_4084_model_A,A0AA51RHR0,162,1,ok
A0AA51RHZ2_taxID_4081_model_A,A0AA51RHZ2,162,1,ok
A0AAE1QRR6_taxID_243964_model_A,A0AAE1QRR6,160,1,ok
A0AAE1S7S4_taxID_243964_model_A,A0AAE1S7S4,161,1,ok
A0AAE1VLZ1_taxID_243964_model_A,A0AAE1VLZ1,159,1,ok
A0AAF0UBK8_taxID_315347_model_A,A0AAF0UBK8,136,1,ok
A0AAF0UBS9_taxID_315347_model_A,A0AAF0UBS9,162,1,ok
A0AAF0UCJ6_taxID_315347_model_A,A0AAF0UCJ6,161,1,ok
A0AAV9LQR9_taxID_50273_model_A,A0AAV9LQR9,161,1,ok
A0AAV9LRB4_taxID_50273_model_A,A0AAV9LRB4,160,1,ok
A0AAV9LRD9_taxID_50273_model_A,A0AAV9LRD9,162,1,ok
A0AAV9LRN0_taxID_50273_model,A0AAV9LRN0,161,1,ok
A0AAV9LS32_taxID_50273_model_A,A0AAV9LS32,162,1,ok
A0AAV9LTF8_taxID_50273_model,A0AAV9LTF8,161,1,ok
A0AAV9LU64_taxID_50273_model_A,A0AAV9LU64,161,1,ok
A0AAV9LU99_taxID_50273_model_A,A0AAV9LU99,162,1,ok
A0AAV9LUB5_taxID_50273_model_A,A0AAV9LUB5,160,1,ok
A0ABD2RFR9_taxID_62892_model_A,A0ABD2RFR9,161,1,ok
A0ABD2RFS3_taxID_62892_model_A,A0ABD2RFS3,140,1,ok
A0ABD2TYL9_taxID_62892_model,A0ABD2TYL9,161,1,ok
A0ABM1HDK0_taxID_28526_model,A0ABM1HDK0,162,1,ok
A0ABM1HGT5_taxID_28526_model_A,A0ABM1HGT5,160,1,ok
A0ABM1VGE0_taxID_28526_model_A,A0ABM1VGE0,162,1,ok
A0ABM1VGE1_taxID_28526_model_A,A0ABM1VGE1,161,1,ok
A0ABQ7U2U6_taxID_4113_model_A,A0ABQ7U2U6,160,1,ok
A0ABQ7U378_taxID_4113_model_A,A0ABQ7U378,162,1,ok
A0ABQ7U3X2_taxID_4113_model_A,A0ABQ7U3X2,161,1,ok
A0ABQ7U9Z8_taxID_4113_model,A0ABQ7U9Z8,161,1,ok
A0ABS8RTR4_taxID_4076_model_A,A0ABS8RTR4,161,1,ok
A0ABS8TSD9_taxID_4076_model_A,A0ABS8TSD9,162,1,ok
A0AC58TFN9_taxID_4097_model_A,A0AC58TFN9,162,1,ok
A0AC58U5S7_taxID_4097_model,A0AC58U5S7,161,1,ok
C7E3U6_taxID_223891_model_A,C7E3U6,160,1,ok
D6QY28_taxID_223891_model_A,D6QY28,163,1,ok
F1DBB6_taxID_223891_model_A,F1DBB6,162,1,ok
I2DBP7_taxID_223891_model_A,I2DBP7,162,1,ok
I2DBP8_taxID_223891_model_A,I2DBP8,162,1,ok
I2DBP9_taxID_223891_model_A,I2DBP9,162,1,ok
I2DBQ1_taxID_223891_model_A,I2DBQ1,162,1,ok
M1BMR5_taxID_4113_model_A,M1BMR5,160,1,ok
M1BMR6_taxID_4113_model_A,M1BMR6,162,1,ok
M1BMR7_taxID_4113_model_A,M1BMR7,160,1,ok
M1CW46_taxID_4113_model_A,M1CW46,162,1,ok
Q08303_taxID_4081_model,Q08303,160,1,ok
Q08304_taxID_4081_model_A,Q08304,162,1,ok
Q08305_taxID_4081_model,Q08305,160,1,ok
Q08306_taxID_4081_model_A,Q08306,159,1,ok
Q41427_taxID_4113_model_A,Q41427,161,1,ok
Q41428_taxID_4113_model_A,Q41428,162,1,ok
A0A1S6GLX1_taxID_1527200_model_A,A0A1S6GLX1,175,1,ok
A0A0U2DXN3_taxID_161934_model_A,A0A0U2DXN3,130,1,ok
A0A1U8MV00_taxID_3635_model_A,A0A1U8MV00,162,1,ok
A0A1Y1HVY3_taxID_105231_model_A,A0A1Y1HVY3,207,1,ok
A0A1Z5R8F8_taxID_4558_model_A,A0A1Z5R8F8,124,1,ok
A0A200Q9B4_taxID_56857_model_A,A0A200Q9B4,197,1,ok
A0A251TAZ6_taxID_4232_model_A,A0A251TAZ6,163,1,ok
A0A251TYX0_taxID_4232_model,A0A251TYX0,162,1,ok
A0A270R4T3_taxID_206008_model_A,A0A270R4T3,130,1,ok
A0A2G2XMG1_taxID_33114_model_A,A0A2G2XMG1,160,1,ok
A0A2G3AGJ6_taxID_4072_model,A0A2G3AGJ6,137,1,ok
A0A2G5CHA6_taxID_218851_model_A,A0A2G5CHA6,164,1,ok
A0A2G9H9F5_taxID_429701_model,A0A2G9H9F5,90,1,ok
A0A2I0A3U1_taxID_1088818_model_A,A0A2I0A3U1,135,1,ok
A0A2I0ADC5_taxID_1088818_model_A,A0A2I0ADC5,152,1,ok
A0A2K1IGC8_taxID_3218_model,A0A2K1IGC8,142,1,ok
A0A2K1IK82_taxID_3218_model_A,A0A2K1IK82,150,1,ok
A0A2K1J162_taxID_3218_model_A,A0A2K1J162,139,1,ok
A0A2K1JC22_taxID_3218_model_A,A0A2K1JC22,164,1,ok
A0A2K1KIQ0_taxID_3218_model_A,A0A2K1KIQ0,146,1,ok
A0A2K2CAK3_taxID_3694_model,A0A2K2CAK3,148,1,ok
A0A2K2CIP6_taxID_15368_model_A,A0A2K2CIP6,132,1,ok
A0A2L0RIT5_taxID_29722_model_A,A0A2L0RIT5,82,1,ok
A0A2N9GS78_taxID_28930_model_A,A0A2N9GS78,163,1,ok
A0A2P5FE91_taxID_63057_model_A,A0A2P5FE91,185,1,ok
A0A2P5AGU1_taxID_3476_model_A,A0A2P5AGU1,184,1,ok
A0A2P5XN45_taxID_3634_model,A0A2P5XN45,162,1,ok
A0A2R6X3F1_taxID_3197_model_A,A0A2R6X3F1,180,1,ok
A0A176VDF6_taxID_1480154_model_A,A0A176VDF6,181,1,ok
A0A176W6H1_taxID_1480154_model_A,A0A176W6H1,182,1,ok
A0A176WCD1_taxID_1480154_model_A,A0A176WCD1,180,1,ok
A0A176WCM7_taxID_1480154_model_A,A0A176WCM7,179,1,ok
A0A176WD67_taxID_1480154_model_A,A0A176WD67,165,1,ok
A0A176WHM5_taxID_1480154_model_A,A0A176WHM5,172,1,ok
A0A2R6VYW6_taxID_3197_model_A,A0A2R6VYW6,166,1,ok
A0A2R6VZK5_taxID_3197_model_A,A0A2R6VZK5,180,1,ok
A0A2R6VZL5_taxID_3197_model_A,A0A2R6VZL5,164,1,ok
A0A2R6W5V6_taxID_3197_model_A,A0A2R6W5V6,178,1,ok
A0A2R6W5W2_taxID_3197_model_A,A0A2R6W5W2,172,1,ok
A0A2R6W5W5_taxID_3197_model_A,A0A2R6W5W5,171,1,ok
A0A2R6W5W8_taxID_3197_model_A,A0A2R6W5W8,165,1,ok
A0A2R6WH64_taxID_3197_model_A,A0A2R6WH64,172,1,ok
A0A2R6X3F7_taxID_3197_model_A,A0A2R6X3F7,180,1,ok
A0A2R6X3G4_taxID_3197_model_A,A0A2R6X3G4,179,1,ok
A0A2R6X3H0_taxID_3197_model_A,A0A2R6X3H0,180,1,ok
A0A2R6X3H8_taxID_3197_model_A,A0A2R6X3H8,165,1,ok
A0A2R6X3Y2_taxID_3197_model_A,A0A2R6X3Y2,166,1,ok
A0A2R6XBI1_taxID_3197_model_A,A0A2R6XBI1,166,1,ok
A0AAF6B3I4_taxID_1480154_model_A,A0AAF6B3I4,166,1,ok
A0AAF6BT57_taxID_1480154_model_A,A0AAF6BT57,178,1,ok
A0AAF6BT59_taxID_1480154_model_A,A0AAF6BT59,178,1,ok
A0AAF6BT60_taxID_1480154_model_A,A0AAF6BT60,171,1,ok
A0AAF6BT62_taxID_1480154_model_A,A0AAF6BT62,172,1,ok
A0AAF6BT70_taxID_1480154_model_A,A0AAF6BT70,180,1,ok
A0AAF6BT71_taxID_1480154_model_A,A0AAF6BT71,164,1,ok
A0AAF6BT73_taxID_1480154_model_A,A0AAF6BT73,166,1,ok
A0AAF6BT74_taxID_1480154_model_A,A0AAF6BT74,180,1,ok
A0AAF6BT75_taxID_1480154_model_A,A0AAF6BT75,180,1,ok
A0AAF6BT76_taxID_1480154_model_A,A0AAF6BT76,180,1,ok
A0AAF6BTN3_taxID_1480154_model_A,A0AAF6BTN3,166,1,ok
A0AAF6BTN4_taxID_1480154_model_A,A0AAF6BTN4,166,1,ok
A0AAF6BTN5_taxID_1480154_model_A,A0AAF6BTN5,166,1,ok
A0AAF6BUE6_taxID_1480154_model_A,A0AAF6BUE6,172,1,ok
A0A2S3I0S4_taxID_206008_model_A,A0A2S3I0S4,125,1,ok
A0A1E5UM04_taxID_888268_model_A,A0A1E5UM04,125,1,ok
A0A270R4U3_taxID_206008_model_A,A0A270R4U3,125,1,ok
A0A2T7D4E6_taxID_1504633_model_A,A0A2T7D4E6,125,1,ok
A0A2T7D4G1_taxID_1504633_model_A,A0A2T7D4G1,125,1,ok
A0A3L6RH28_taxID_4540_model_A,A0A3L6RH28,125,1,ok
A0A835E2N8_taxID_1010633_model_A,A0A835E2N8,124,1,ok
A0A8T0QWH8_taxID_38727_model_A,A0A8T0QWH8,125,1,ok
A0A2S3I0S5_taxID_206008_model_A,A0A2S3I0S5,173,1,ok
A0A2T7D4B7_taxID_1504633_model,A0A2T7D4B7,171,1,ok
A0A3L6PNQ0_taxID_4540_model,A0A3L6PNQ0,172,1,ok
A0A2S3I0W2_taxID_206008_model_A,A0A2S3I0W2,155,1,ok
A0A2T7D4A1_taxID_1504633_model_A,A0A2T7D4A1,155,1,ok
A0A3L6PS56_taxID_4540_model_A,A0A3L6PS56,126,1,ok
A0A2T7D4A3_taxID_1504633_model_A,A0A2T7D4A3,130,1,ok
A0A2U1KUF4_taxID_35608_model_A,A0A2U1KUF4,127,1,ok
A0A2U1LPB1_taxID_35608_model,A0A2U1LPB1,163,1,ok
A0A2U1NLY5_taxID_35608_model,A0A2U1NLY5,159,1,ok
A0A2U1PFS0_taxID_35608_model,A0A2U1PFS0,149,1,ok
A0A2U1PHG2_taxID_35608_model,A0A2U1PHG2,168,1,ok
A0A2Z5HVJ6_taxID_157652_model,A0A2Z5HVJ6,103,1,ok
A0A314KSU1_taxID_49451_model_A,A0A314KSU1,162,1,ok
A0A1S3ZJN1_taxID_4097_model_A,A0A1S3ZJN1,162,1,ok
A0A1S4BS14_taxID_4097_model_A,A0A1S4BS14,162,1,ok
A0A1S4BS42_taxID_4097_model_A,A0A1S4BS42,162,1,ok
A0A1U7XN75_taxID_4096_model_A,A0A1U7XN75,162,1,ok
A0A314YBQ0_taxID_2094558_model_A,A0A314YBQ0,162,1,ok
A0A368QNI6_taxID_4555_model,A0A368QNI6,119,1,ok
A0A368RZ19_taxID_4555_model_A,A0A368RZ19,132,1,ok
A0A368UH97_taxID_3847_model,A0A368UH97,82,1,ok
A0A371E471_taxID_157652_model,A0A371E471,139,1,ok
A0A388KKC2_taxID_69332_model,A0A388KKC2,166,1,ok
A0A388KRG2_taxID_69332_model,A0A388KRG2,135,1,ok
A0A388KR59_taxID_69332_model,A0A388KR59,161,1,ok
A0A388L198_taxID_69332_model,A0A388L198,132,1,ok
A0A388L1E1_taxID_69332_model,A0A388L1E1,132,1,ok
A0A388LJ84_taxID_69332_model,A0A388LJ84,152,1,ok
A0A388LJF6_taxID_69332_model,A0A388LJF6,163,1,ok
A0A388LJI5_taxID_69332_model_A,A0A388LJI5,163,1,ok
A0A388LPV2_taxID_69332_model,A0A388LPV2,214,1,ok
A0A388LXR0_taxID_69332_model,A0A388LXR0,143,1,ok
A0A388LXT2_taxID_69332_model,A0A388LXT2,206,1,ok
A0A3B6EKX7_taxID_4565_model_A,A0A3B6EKX7,129,1,ok
A0A9R0VMT2_taxID_4567_model,A0A9R0VMT2,130,1,ok
A0A9R1N0A3_taxID_4565_model_A,A0A9R1N0A3,129,1,ok
A0A3L6DCY5_taxID_4577_model_A,A0A3L6DCY5,119,1,ok
B6SVR5_taxID_4577_model_A,B6SVR5,119,1,ok
K7VJ76_taxID_4577_model_A,K7VJ76,119,1,ok
A0A3L6RIK2_taxID_4540_model_A,A0A3L6RIK2,156,1,ok
A0A3L6RKW2_taxID_4540_model_A,A0A3L6RKW2,125,1,ok
A0A3S3MQX4_taxID_337451_model_A,A0A3S3MQX4,151,1,ok
A0A443PIW9_taxID_337451_model,A0A443PIW9,166,1,ok
A0ACC2KB47_taxID_3435_model,A0ACC2KB47,166,1,ok
A0ACC2L6Z2_taxID_3435_model_A,A0ACC2L6Z2,166,1,ok
A0A445JYW6_taxID_3848_model,A0A445JYW6,160,1,ok
A0A445JYU3_taxID_3848_model,A0A445JYU3,161,1,ok
I1KLG6_taxID_3847_model,I1KLG6,161,1,ok
K7L2P1_taxID_3847_model,K7L2P1,160,1,ok
A0A453D018_taxID_200361_model_A,A0A453D018,130,1,ok
A0A484MKM2_taxID_132261_model,A0A484MKM2,162,1,ok
A0A484ML06_taxID_132261_model,A0A484ML06,159,1,ok
A0A498IVC1_taxID_3750_model,A0A498IVC1,251,1,ok
A0A498IWF2_taxID_3750_model_A,A0A498IWF2,141,1,ok
A0A498JTL7_taxID_3750_model_A,A0A498JTL7,298,1,ok
A0A498JVN7_taxID_3750_model,A0A498JVN7,357,1,ok
A0A4D6KM86_taxID_3917_model_A,A0A4D6KM86,166,1,ok
A0A4D6KQ19_taxID_3917_model_A,A0A4D6KQ19,128,1,ok
A0A4P1QPT7_taxID_3871_model_A,A0A4P1QPT7,159,1,ok
A0A4S4F0S3_taxID_542762_model_A,A0A4S4F0S3,149,1,ok
A0A6B7JF49_taxID_261999_model_A,A0A6B7JF49,149,1,ok
A0A7J7GUX9_taxID_4442_model_A,A0A7J7GUX9,161,1,ok
A0A7T0MI32_taxID_4442_model_A,A0A7T0MI32,150,1,ok
A0ACC0GFR3_taxID_1840588_model_A,A0ACC0GFR3,161,1,ok
A0A4S8K2E1_taxID_52838_model_A,A0A4S8K2E1,158,1,ok
A0A9E7H3I3_taxID_320322_model_A,A0A9E7H3I3,158,1,ok
A0A4U6U3D2_taxID_4556_model_A,A0A4U6U3D2,172,1,ok
A0A4Y7I4A1_taxID_3469_model,A0A4Y7I4A1,131,1,ok
A0A4Y7IC16_taxID_3469_model,A0A4Y7IC16,154,1,ok
A0A4Y7IJ39_taxID_3469_model,A0A4Y7IJ39,160,1,ok
A0A4Y7JVY5_taxID_3469_model,A0A4Y7JVY5,164,1,ok
A0A4Y7JW71_taxID_3469_model,A0A4Y7JW71,160,1,ok
A0AAD4T715_taxID_357466_model,A0AAD4T715,164,1,ok
A0AAD4XRV8_taxID_357466_model,A0AAD4XRV8,169,1,ok
A0AAQ3KBY5_taxID_4628_model,A0AAQ3KBY5,174,1,ok
A0A511NAA7_taxID_1223518_model_A,A0A511NAA7,151,1,ok
A0A5A7P8R8_taxID_4170_model_A,A0A5A7P8R8,141,1,ok
A0A5A7QMF6_taxID_4170_model,A0A5A7QMF6,168,1,ok
A0A5A7UM24_taxID_1194695_model,A0A5A7UM24,143,1,ok
A0A5A7UM88_taxID_1194695_model,A0A5A7UM88,124,1,ok
A0A0A0LUI1_taxID_3659_model,A0A0A0LUI1,124,1,ok
A0A1S3BFJ5_taxID_3656_model,A0A1S3BFJ5,124,1,ok
A0A5B6YVS2_taxID_16924_model_A,A0A5B6YVS2,123,1,ok
A0A5B6ZD77_taxID_16924_model_A,A0A5B6ZD77,164,1,ok
A0A5C7GS05_taxID_1000413_model_A,A0A5C7GS05,164,1,ok
A0A5D2KKA0_taxID_34277_model_A,A0A5D2KKA0,165,1,ok
A0A5D2Q415_taxID_34277_model,A0A5D2Q415,157,1,ok
A0A5D2QA30_taxID_34277_model,A0A5D2QA30,163,1,ok
A0A5J4ZC26_taxID_561372_model,A0A5J4ZC26,161,1,ok
A0A5J5R4H1_taxID_3634_model,A0A5J5R4H1,160,1,ok
A0A5J5R643_taxID_3634_model,A0A5J5R643,164,1,ok
A0A076FT34_taxID_3635_model,A0A076FT34,164,1,ok
A0A0D2UGD8_taxID_29730_model,A0A0D2UGD8,163,1,ok
A0A5D2C929_taxID_34276_model,A0A5D2C929,164,1,ok
A0A5D2G8C9_taxID_34276_model,A0A5D2G8C9,163,1,ok
A0A5D2UR16_taxID_34275_model,A0A5D2UR16,164,1,ok
A0A5D2YY36_taxID_34275_model,A0A5D2YY36,163,1,ok
A0A5J5VGF5_taxID_3634_model,A0A5J5VGF5,163,1,ok
A0A8J5YW30_taxID_47600_model,A0A8J5YW30,163,1,ok
A0A9D3ZPE9_taxID_47602_model,A0A9D3ZPE9,164,1,ok
A0ABR0PQT4_taxID_29729_model,A0ABR0PQT4,164,1,ok
A0A5J5R8V0_taxID_3634_model,A0A5J5R8V0,165,1,ok
A0A5J9TTZ2_taxID_38414_model_A,A0A5J9TTZ2,134,1,ok
A0A5J9TUB7_taxID_38414_model_A,A0A5J9TUB7,159,1,ok
A0A5J9TVE7_taxID_38414_model_A,A0A5J9TVE7,134,1,ok
A0A5J9VH37_taxID_38414_model_A,A0A5J9VH37,126,1,ok
A0A5N5FDI3_taxID_2448454_model_A,A0A5N5FDI3,157,1,ok
A0A5N5N1V0_taxID_2182728_model_A,A0A5N5N1V0,167,1,ok
A0A5N6LXI8_taxID_192012_model_A,A0A5N6LXI8,161,1,ok
A0A075BWS7_taxID_13449_model_A,A0A075BWS7,162,1,ok
A0A075BX21_taxID_13449_model_A,A0A075BX21,162,1,ok
A0A118K103_taxID_59895_model,A0A118K103,162,1,ok
A0A251SBY7_taxID_4232_model_A,A0A251SBY7,150,1,ok
A0A251SCL8_taxID_4232_model_A,A0A251SCL8,163,1,ok
A0A251T9H9_taxID_4232_model,A0A251T9H9,161,1,ok
A0A251TBX0_taxID_4232_model_A,A0A251TBX0,163,1,ok
A0A2U1P4Z6_taxID_35608_model,A0A2U1P4Z6,162,1,ok
A0A5N6LXI7_taxID_192012_model,A0A5N6LXI7,161,1,ok
A0A5N6LXJ2_taxID_192012_model_A,A0A5N6LXJ2,161,1,ok
A0A5N6LXJ7_taxID_192012_model_A,A0A5N6LXJ7,161,1,ok
A0A5N6LXU0_taxID_192012_model_A,A0A5N6LXU0,150,1,ok
A0A5N6LYM3_taxID_192012_model,A0A5N6LYM3,161,1,ok
A0A5N6LYM4_taxID_192012_model_A,A0A5N6LYM4,161,1,ok
A0A5N6LYR8_taxID_192012_model,A0A5N6LYR8,161,1,ok
A0A5N6LZ00_taxID_192012_model_A,A0A5N6LZ00,150,1,ok
A0A5N6LZG6_taxID_192012_model_A,A0A5N6LZG6,161,1,ok
A0A9K3HLL2_taxID_4232_model_A,A0A9K3HLL2,161,1,ok
A0AA36EFV6_taxID_75948_model,A0AA36EFV6,162,1,ok
A0AAD5CP55_taxID_4212_model,A0AAD5CP55,150,1,ok
A0AAD5CPE9_taxID_4212_model_A,A0AAD5CPE9,161,1,ok
A0AAD5D2H7_taxID_4212_model,A0AAD5D2H7,123,1,ok
A0AAD5D5M7_taxID_4212_model,A0AAD5D5M7,161,1,ok
A0AAD5D6F1_taxID_4212_model_A,A0AAD5D6F1,161,1,ok
A0AAD5D7S3_taxID_4212_model,A0AAD5D7S3,150,1,ok
A0AAD5GKH5_taxID_4212_model_A,A0AAD5GKH5,161,1,ok
A0AAD5GSN4_taxID_4212_model,A0AAD5GSN4,97,1,ok
A0AAD8LC48_taxID_13708_model,A0AAD8LC48,161,1,ok
A0AAD8LDY8_taxID_13708_model,A0AAD8LDY8,161,1,ok
A0AAD8LF67_taxID_13708_model_A,A0AAD8LF67,161,1,ok
A0AAD8NWV8_taxID_13708_model_A,A0AAD8NWV8,166,1,ok
A0AAD8PAL3_taxID_13708_model,A0AAD8PAL3,161,1,ok
A0AAD8PBK4_taxID_13708_model,A0AAD8PBK4,161,1,ok
A0AAP0CHD7_taxID_3103831_model,A0AAP0CHD7,162,1,ok
A0AAP0CKY6_taxID_3103831_model,A0AAP0CKY6,162,1,ok
A0AAP0CMG0_taxID_3103831_model,A0AAP0CMG0,162,1,ok
A0AAP0CMQ2_taxID_3103831_model_A,A0AAP0CMQ2,161,1,ok
A0AAP0GPG4_taxID_3103831_model,A0AAP0GPG4,161,1,ok
A0AAU9PIY2_taxID_75947_model,A0AAU9PIY2,162,1,ok
A0AAV2FHY5_taxID_586398_model_A,A0AAV2FHY5,155,1,ok
A0ACB8XUZ5_taxID_185202_model,A0ACB8XUZ5,161,1,ok
A0ACB8XVY1_taxID_185202_model,A0ACB8XVY1,161,1,ok
A0ACB8ZZ26_taxID_4217_model_A,A0ACB8ZZ26,162,1,ok
A0ACB8ZZW4_taxID_4217_model_A,A0ACB8ZZW4,162,1,ok
A0ACB9FEX4_taxID_4217_model,A0ACB9FEX4,162,1,ok
A0ACB9GS48_taxID_185202_model_A,A0ACB9GS48,137,1,ok
A0ACB9GSE1_taxID_185202_model_A,A0ACB9GSE1,161,1,ok
A0ACB9GSP5_taxID_185202_model,A0ACB9GSP5,305,1,ok
A0ACB9GTQ5_taxID_185202_model_A,A0ACB9GTQ5,161,1,ok
A0ACB9IQ81_taxID_185202_model,A0ACB9IQ81,161,1,ok
A0A5N6LYM1_taxID_192012_model_A,A0A5N6LYM1,161,1,ok
A0A5N6M088_taxID_192012_model_A,A0A5N6M088,161,1,ok
A0A6A2ZER6_taxID_106335_model,A0A6A2ZER6,95,1,ok
A0A6A4LX91_taxID_262921_model,A0A6A4LX91,147,1,ok
