accession,taxid,kingdom,phylum,genus
A0A059UAM0,4565,Plants,Streptophyta,Triticum
A0A060S6S8,5643,Fungi,Basidiomycota,Pycnoporus
A0A060WMQ6,8022,Animals,Chordata,Oncorhynchus
A0A060WUY0,8022,Animals,Chordata,Oncorhynchus
A0A060X1G5,8022,Animals,Chordata,Oncorhynchus
A0A060X8B7,8022,Animals,Chordata,Oncorhynchus
A0A060XL10,8022,Animals,Chordata,Oncorhynchus
A0A061DZ45,3641,Plants,Streptophyta,Theobroma
A0A061E0X0,3641,Plants,Streptophyta,Theobroma
A0A061E6S7,3641,Plants,Streptophyta,Theobroma
A0A061GEN3,3641,Plants,Streptophyta,Theobroma
A0A061GFY3,3641,Plants,Streptophyta,Theobroma
A0A061GFY7,3641,Plants,Streptophyta,Theobroma
A0A061GMJ6,3641,Plants,Streptophyta,Theobroma
A0A061GMK1,3641,Plants,Streptophyta,Theobroma
A0A061HFI6,1268274,Fungi,Ascomycota,Blumeria
A0A061HSG6,1268274,Fungi,Ascomycota,Blumeria
A0A061IGF6,10029,Animals,Chordata,Cricetulus
A0A062U9V8,1280946,Bacteria,Pseudomonadota,Hyphomonas
A0A063BRM1,1159556,Fungi,Ascomycota,Ustilaginoidea
A0A066WXF3,1173701,Fungi,Ascomycota,Colletotrichum
A0A066X6L4,1173701,Fungi,Ascomycota,Colletotrichum
A0A066X7V3,1173701,Fungi,Ascomycota,Colletotrichum
A0A066X846,1173701,Fungi,Ascomycota,Colletotrichum
A0A066X9U3,1173701,Fungi,Ascomycota,Colletotrichum
A0A066XLM3,1173701,Fungi,Ascomycota,Colletotrichum
A0A066XQD0,1173701,Fungi,Ascomycota,Colletotrichum
A0A066XSY6,1173701,Fungi,Ascomycota,Colletotrichum
A0A066XW40,1173701,Fungi,Ascomycota,Colletotrichum
A0A066XWR5,1173701,Fungi,Ascomycota,Colletotrichum
A0A066XZ78,1173701,Fungi,Ascomycota,Colletotrichum
A0A066Y1D2,1173701,Fungi,Ascomycota,Colletotrichum
A0A066Z0K1,1348663,Bacteria,Actinomycetota,Kitasatospora
A0A067BLT8,695850,Oomycota,Oomycota,Saprolegnia
A0A067BLZ4,695850,Oomycota,Oomycota,Saprolegnia
A0A067BTT5,695850,Oomycota,Oomycota,Saprolegnia
A0A067BUS0,695850,Oomycota,Oomycota,Saprolegnia
A0A067BX73,695850,Oomycota,Oomycota,Saprolegnia
A0A067BZH5,695850,Oomycota,Oomycota,Saprolegnia
A0A067C631,695850,Oomycota,Oomycota,Saprolegnia
A0A067CPX4,695850,Oomycota,Oomycota,Saprolegnia
A0A067CXC8,695850,Oomycota,Oomycota,Saprolegnia
A0A067D5R2,695850,Oomycota,Oomycota,Saprolegnia
A0A067D814,695850,Oomycota,Oomycota,Saprolegnia
A0A067GK93,2711,Plants,Streptophyta,Citrus
A0A067JAU2,180498,Plants,Streptophyta,Jatropha
A0A067MC03,930990,Fungi,Basidiomycota,Botryobasidium
A0A067MC09,930990,Fungi,Basidiomycota,Botryobasidium
A0A067MJR9,930990,Fungi,Basidiomycota,Botryobasidium
A0A067MSX0,930990,Fungi,Basidiomycota,Botryobasidium
A0A067N7R8,1137138,Fungi,Basidiomycota,Pleurotus
A0A067NXD0,1137138,Fungi,Basidiomycota,Pleurotus
A0A067PHP8,933084,Fungi,Basidiomycota,Jaapia
A0A067PPZ9,933084,Fungi,Basidiomycota,Jaapia
A0A067PSS3,933084,Fungi,Basidiomycota,Jaapia
A0A067S9C3,685588,Fungi,Basidiomycota,Galerina
A0A067T9P6,685588,Fungi,Basidiomycota,Galerina
A0A067TCE7,685588,Fungi,Basidiomycota,Galerina
A0A067TKM5,685588,Fungi,Basidiomycota,Galerina
A0A067XIX1,99802,Animals,Platyhelminthes,Spirometra
A0A068NQY3,661478,Bacteria,Armatimonadota,Fimbriimonas
A0A068TU86,49390,Plants,Streptophyta,Coffea
A0A068UD36,49390,Plants,Streptophyta,Coffea
A0A068UEN7,49390,Plants,Streptophyta,Coffea
A0A068UEP3,49390,Plants,Streptophyta,Coffea
A0A068VNV4,49390,Plants,Streptophyta,Coffea
A0A069NJ99,1071679,Bacteria,Pseudomonadota,Caballeronia
A0A069P877,1071679,Bacteria,Pseudomonadota,Caballeronia
A0A069P8P9,1071679,Bacteria,Pseudomonadota,Caballeronia
A0A072P207,1182545,Fungi,Ascomycota,Exophiala
A0A072P5W0,1182545,Fungi,Ascomycota,Exophiala
A0A072P8W8,1182545,Fungi,Ascomycota,Exophiala
A0A072PCR1,1182545,Fungi,Ascomycota,Exophiala
A0A072PJG5,1182545,Fungi,Ascomycota,Exophiala
A0A074RCL1,1423351,Fungi,Basidiomycota,Rhizoctonia
A0A074RJD3,1423351,Fungi,Basidiomycota,Rhizoctonia
A0A074RKY4,1423351,Fungi,Basidiomycota,Rhizoctonia
A0A074RLS0,1423351,Fungi,Basidiomycota,Rhizoctonia
A0A074RRF8,1423351,Fungi,Basidiomycota,Rhizoctonia
A0A074RSM2,1423351,Fungi,Basidiomycota,Rhizoctonia
A0A074RSY5,1423351,Fungi,Basidiomycota,Rhizoctonia
A0A074RTB9,1423351,Fungi,Basidiomycota,Rhizoctonia
A0A074RXC0,1423351,Fungi,Basidiomycota,Rhizoctonia
A0A074RXE5,1423351,Fungi,Basidiomycota,Rhizoctonia
A0A074RXR6,1423351,Fungi,Basidiomycota,Rhizoctonia
A0A074RYB7,1423351,Fungi,Basidiomycota,Rhizoctonia
A0A074S0H8,1423351,Fungi,Basidiomycota,Rhizoctonia
A0A074S2B5,1423351,Fungi,Basidiomycota,Rhizoctonia
A0A074S7C5,1423351,Fungi,Basidiomycota,Rhizoctonia
A0A074S7W9,1423351,Fungi,Basidiomycota,Rhizoctonia
A0A074S897,1423351,Fungi,Basidiomycota,Rhizoctonia
A0A074SA15,1423351,Fungi,Basidiomycota,Rhizoctonia
A0A074SFZ9,1423351,Fungi,Basidiomycota,Rhizoctonia
A0A074SK72,1423351,Fungi,Basidiomycota,Rhizoctonia
A0A074SK81,1423351,Fungi,Basidiomycota,Rhizoctonia
A0A074SUA9,1423351,Fungi,Basidiomycota,Rhizoctonia
A0A074VDT7,1043003,Fungi,Ascomycota,Aureobasidium
A0A074VGZ0,1043003,Fungi,Ascomycota,Aureobasidium
A0A074VIF5,1043003,Fungi,Ascomycota,Aureobasidium
A0A074WGJ9,1043004,Fungi,Ascomycota,Aureobasidium
A0A074WJS2,1043004,Fungi,Ascomycota,Aureobasidium
A0A074WWD6,1043004,Fungi,Ascomycota,Aureobasidium
A0A074X475,1043004,Fungi,Ascomycota,Aureobasidium
A0A074XC75,1043002,Fungi,Ascomycota,Aureobasidium
A0A074XNA1,1043002,Fungi,Ascomycota,Aureobasidium
A0A074XR97,1043002,Fungi,Ascomycota,Aureobasidium
A0A074XWE1,1043002,Fungi,Ascomycota,Aureobasidium
A0A074Y1Q9,1043005,Fungi,Ascomycota,Aureobasidium
A0A074YH07,1043005,Fungi,Ascomycota,Aureobasidium
A0A074YPA7,1043005,Fungi,Ascomycota,Aureobasidium
A0A074YPF6,1043005,Fungi,Ascomycota,Aureobasidium
A0A074Z7G7,6198,Animals,Platyhelminthes,Opisthorchis
A0A074ZPR2,6198,Animals,Platyhelminthes,Opisthorchis
A0A075AU36,988480,Fungi,Cryptomycota,Rozella
A0A075AX41,988480,Fungi,Cryptomycota,Rozella
A0A075AYG4,988480,Fungi,Cryptomycota,Rozella
A0A075B1D3,988480,Fungi,Cryptomycota,Rozella
A0A075BWS7,13449,Plants,Streptophyta,Coreopsis
A0A075BX21,13449,Plants,Streptophyta,Coreopsis
A0A075DN54,13449,Plants,Streptophyta,Coreopsis
A0A076FRB3,3635,Plants,Streptophyta,Gossypium
A0A076FRN6,3635,Plants,Streptophyta,Gossypium
A0A076FRP2,3635,Plants,Streptophyta,Gossypium
A0A076FRP6,3635,Plants,Streptophyta,Gossypium
A0A076FT34,3635,Plants,Streptophyta,Gossypium
A0A076FX85,3635,Plants,Streptophyta,Gossypium
A0A076FX88,3635,Plants,Streptophyta,Gossypium
A0A076JQI5,106299,Animals,Mollusca,Azumapecten
A0A076KXK6,29159,Animals,Mollusca,Magallana
A0A077HD11,151424,Bacteria,Actinomycetota,Streptomyces
A0A077R9S7,1398559,Fungi,Basidiomycota,Melanopsichium
A0A077S4H3,4565,Plants,Streptophyta,Triticum
A0A077Z814,36087,Animals,Nematoda,Trichuris
A0A078AII6,5949,?,Ciliophora,Stylonychia
A0A080Z0A1,1317066,Oomycota,Oomycota,Phytophthora
A0A080ZVP8,1317066,Oomycota,Oomycota,Phytophthora
A0A080ZVS2,1317066,Oomycota,Oomycota,Phytophthora
A0A080ZVS5,1317066,Oomycota,Oomycota,Phytophthora
A0A080ZVS7,1317066,Oomycota,Oomycota,Phytophthora
A0A081AHF5,1317066,Oomycota,Oomycota,Phytophthora
A0A081AVN2,1317066,Oomycota,Oomycota,Phytophthora
A0A081AZP8,1317066,Oomycota,Oomycota,Phytophthora
A0A081CKB9,84753,Fungi,Basidiomycota,Pseudozyma
A0A081XZW0,55952,Bacteria,Actinomycetota,Streptomyces
A0A084AF08,1280523,Fungi,Ascomycota,Stachybotrys
A0A084AR48,1280523,Fungi,Ascomycota,Stachybotrys
A0A084AV30,1280523,Fungi,Ascomycota,Stachybotrys
A0A084AYI1,1280523,Fungi,Ascomycota,Stachybotrys
A0A084B2K4,1280523,Fungi,Ascomycota,Stachybotrys
A0A084B4D9,1280523,Fungi,Ascomycota,Stachybotrys
A0A084B663,1280523,Fungi,Ascomycota,Stachybotrys
A0A084B7G3,1280523,Fungi,Ascomycota,Stachybotrys
A0A084B8J4,1280523,Fungi,Ascomycota,Stachybotrys
A0A084BB06,1280523,Fungi,Ascomycota,Stachybotrys
A0A084FV28,563466,Fungi,Ascomycota,Pseudallescheria
A0A084FV70,563466,Fungi,Ascomycota,Pseudallescheria
A0A084G098,563466,Fungi,Ascomycota,Pseudallescheria
A0A084G3K0,563466,Fungi,Ascomycota,Pseudallescheria
A0A084G593,563466,Fungi,Ascomycota,Pseudallescheria
A0A084G5H0,563466,Fungi,Ascomycota,Pseudallescheria
A0A084G6B5,563466,Fungi,Ascomycota,Pseudallescheria
A0A084G7V9,563466,Fungi,Ascomycota,Pseudallescheria
A0A084G9G0,563466,Fungi,Ascomycota,Pseudallescheria
A0A084GCK1,563466,Fungi,Ascomycota,Pseudallescheria
A0A084GGH5,563466,Fungi,Ascomycota,Pseudallescheria
A0A084QC22,1283841,Fungi,Ascomycota,Stachybotrys
A0A084QCB8,1283841,Fungi,Ascomycota,Stachybotrys
A0A084QJ67,1283841,Fungi,Ascomycota,Stachybotrys
A0A084QQ18,1283841,Fungi,Ascomycota,Stachybotrys
A0A084QWG9,1283841,Fungi,Ascomycota,Stachybotrys
A0A084QX23,1283841,Fungi,Ascomycota,Stachybotrys
A0A084QY85,1283841,Fungi,Ascomycota,Stachybotrys
A0A084QZJ0,1283841,Fungi,Ascomycota,Stachybotrys
A0A084R0Y5,1283841,Fungi,Ascomycota,Stachybotrys
A0A084R149,1283841,Fungi,Ascomycota,Stachybotrys
A0A085N949,68888,Animals,Nematoda,Trichuris
A0A086ADX6,991,Bacteria,Bacteroidota,Flavobacterium
A0A086J2K3,1913371,Fungi,Microsporidia,Nematocida
A0A086N2U2,67332,Bacteria,Actinomycetota,Streptomyces
A0A086SV08,857340,Fungi,Ascomycota,Hapsidospora
A0A087QSF6,9233,Animals,Chordata,Aptenodytes
A0A087R0E2,9233,Animals,Chordata,Aptenodytes
A0A087RFL1,9233,Animals,Chordata,Aptenodytes
A0A087V2P2,100784,Animals,Chordata,Balearica
A0A087X5L9,48698,Animals,Chordata,Poecilia
A0A087XJW4,48698,Animals,Chordata,Poecilia
A0A087XNB6,48698,Animals,Chordata,Poecilia
A0A087YDX2,48698,Animals,Chordata,Poecilia
A0A087YHH7,48698,Animals,Chordata,Poecilia
A0A089WYP0,1907,Bacteria,Actinomycetota,Streptomyces
A0A089X5M9,1907,Bacteria,Actinomycetota,Streptomyces
A0A090CH20,515849,Fungi,Ascomycota,Podospora
A0A090CL68,515849,Fungi,Ascomycota,Podospora
A0A090CMR9,515849,Fungi,Ascomycota,Podospora
A0A090CWC0,515849,Fungi,Ascomycota,Podospora
A0A090D4S5,515849,Fungi,Ascomycota,Podospora
A0A090L4G2,34506,Animals,Nematoda,Strongyloides
A0A090L5U2,34506,Animals,Nematoda,Strongyloides
A0A090LAX1,34506,Animals,Nematoda,Strongyloides
A0A090LH51,34506,Animals,Nematoda,Strongyloides
A0A090MKY8,2594811,Fungi,Ascomycota,Fusarium
A0A090N5Z6,2594811,Fungi,Ascomycota,Fusarium
A0A091DE91,885580,Animals,Chordata,Fukomys
A0A091EJW4,85066,Animals,Chordata,Corvus
A0A091EQ39,885580,Animals,Chordata,Fukomys
A0A091EQG7,85066,Animals,Chordata,Corvus
A0A091GBZ3,55661,Animals,Chordata,Cuculus
A0A091GGF7,55661,Animals,Chordata,Cuculus
A0A091H384,175836,Animals,Chordata,Buceros
A0A091HA89,175836,Animals,Chordata,Buceros
A0A091HDB5,175836,Animals,Chordata,Buceros
A0A091HSS0,9244,Animals,Chordata,Calypte
A0A091IFA6,9244,Animals,Chordata,Calypte
A0A091ISS4,9244,Animals,Chordata,Calypte
A0A091JF89,188379,Animals,Chordata,Egretta
A0A091K495,57412,Animals,Chordata,Colius
A0A091K9P7,57412,Animals,Chordata,Colius
A0A091L5Q5,43455,Animals,Chordata,Cathartes
A0A091LD51,43455,Animals,Chordata,Cathartes
A0A091N6A9,57068,Animals,Chordata,Acanthisitta
A0A091N6N3,57068,Animals,Chordata,Acanthisitta
A0A091NYE1,57397,Animals,Chordata,Apaloderma
A0A091P6C8,8969,Animals,Chordata,Haliaeetus
A0A091P7E8,188344,Animals,Chordata,Leptosomus
A0A091QFD1,188344,Animals,Chordata,Leptosomus
A0A091QKA4,57421,Animals,Chordata,Merops
A0A091QM34,57421,Animals,Chordata,Merops
A0A091RH37,54374,Animals,Chordata,Mesitornis
A0A091S066,54374,Animals,Chordata,Mesitornis
A0A091SAS8,176057,Animals,Chordata,Nestor
A0A091T007,176057,Animals,Chordata,Nestor
A0A091TDY4,176057,Animals,Chordata,Nestor
A0A091U7D6,9218,Animals,Chordata,Phoenicopterus
A0A091VK98,128390,Animals,Chordata,Nipponia
A0A091W054,30419,Animals,Chordata,Opisthocomus
A0A091W550,30419,Animals,Chordata,Opisthocomus
A0A091W941,128390,Animals,Chordata,Nipponia
A0A091WPJ3,30419,Animals,Chordata,Opisthocomus
A0A093CEX0,240206,Animals,Chordata,Pterocles
A0A093CEY8,240206,Animals,Chordata,Pterocles
A0A093FE14,56313,Animals,Chordata,Tyto
A0A093FW37,56313,Animals,Chordata,Tyto
A0A093GEC8,118200,Animals,Chordata,Dryobates
A0A093GMV7,118200,Animals,Chordata,Dryobates
A0A093I3S2,441894,Animals,Chordata,Struthio
A0A093IJB5,54383,Animals,Chordata,Eurypyga
A0A093NFD8,9238,Animals,Chordata,Pygoscelis
A0A093NYR8,9238,Animals,Chordata,Pygoscelis
A0A093PRN0,328815,Animals,Chordata,Manacus
A0A093QDY2,328815,Animals,Chordata,Manacus
A0A093R2N9,9209,Animals,Chordata,Phalacrocorax
A0A093RE66,9209,Animals,Chordata,Phalacrocorax
A0A093V4K7,1077442,Fungi,Ascomycota,Talaromyces
A0A093VIP7,1077442,Fungi,Ascomycota,Talaromyces
A0A093XBB1,1077442,Fungi,Ascomycota,Talaromyces
A0A093XMU4,1077442,Fungi,Ascomycota,Talaromyces
A0A094KB04,279965,Animals,Chordata,Antrostomus
A0A094KNZ4,345573,Animals,Chordata,Podiceps
A0A094KVX1,279965,Animals,Chordata,Antrostomus
A0A094ZEX3,6185,Animals,Platyhelminthes,Schistosoma
A0A095CG52,6185,Animals,Platyhelminthes,Schistosoma
A0A096P1J2,9555,Animals,Chordata,Papio
A0A097ZQG6,4555,Plants,Streptophyta,Setaria
A0A097ZQG8,4555,Plants,Streptophyta,Setaria
A0A097ZQH0,4555,Plants,Streptophyta,Setaria
A0A097ZQH2,4555,Plants,Streptophyta,Setaria
A0A097ZQH9,4556,Plants,Streptophyta,Setaria
A0A097ZQI2,4556,Plants,Streptophyta,Setaria
A0A098E091,229533,Fungi,Ascomycota,Gibberella
A0A098SBM4,1524460,Bacteria,Bacteroidota,Phaeodactylibacter
A0A098VS40,1485682,Fungi,Microsporidia,Mitosporidium
A0A098Y3K8,1522368,Bacteria,Actinomycetota,Modestobacter
A0A098YAD9,1522368,Bacteria,Actinomycetota,Modestobacter
A0A099MZ46,70775,Bacteria,Pseudomonadota,Pseudomonas
A0A099ZU00,94827,Animals,Chordata,Tinamus
A0A0A0A6E7,50402,Animals,Chordata,Charadrius
A0A0A0AZE1,50402,Animals,Chordata,Charadrius
A0A0A0B9F3,1408250,Bacteria,Actinomycetota,Cellulomonas
A0A0A0D635,1398085,Bacteria,Pseudomonadota,Inquilinus
A0A0A0F2E9,1385517,Bacteria,Pseudomonadota,Lysobacter
A0A0A0LUI1,3659,Plants,Streptophyta,Cucumis
A0A0A0LXD0,3659,Plants,Streptophyta,Cucumis
A0A0A1SZ60,1531966,Fungi,Ascomycota,[Torrubiella]
A0A0A1T2S7,1531966,Fungi,Ascomycota,[Torrubiella]
A0A0A1T3I6,1531966,Fungi,Ascomycota,[Torrubiella]
A0A0A1T7C1,1531966,Fungi,Ascomycota,[Torrubiella]
A0A0A1T9R6,1531966,Fungi,Ascomycota,[Torrubiella]
A0A0A1TL71,1531966,Fungi,Ascomycota,[Torrubiella]
A0A0A1UIL1,1086054,Fungi,Basidiomycota,Rhizoctonia
A0A0A1UJW0,1086054,Fungi,Basidiomycota,Rhizoctonia
A0A0A1UJX2,1086054,Fungi,Basidiomycota,Rhizoctonia
A0A0A1UQ03,568076,Fungi,Ascomycota,Metarhizium
A0A0A1V0A4,568076,Fungi,Ascomycota,Metarhizium
A0A0A1V1E5,568076,Fungi,Ascomycota,Metarhizium
A0A0A1V7Z8,568076,Fungi,Ascomycota,Metarhizium
A0A0A1VA99,5059,Fungi,Ascomycota,Aspergillus
A0A0A1VAF9,1159556,Fungi,Ascomycota,Ustilaginoidea
A0A0A1YUC0,1324332,Bacteria,Pseudomonadota,Pseudomonas
A0A0A2J1X4,27334,Fungi,Ascomycota,Penicillium
A0A0A2JBW7,27334,Fungi,Ascomycota,Penicillium
A0A0A2JEJ9,27334,Fungi,Ascomycota,Penicillium
A0A0A2JPW5,27334,Fungi,Ascomycota,Penicillium
A0A0A2JVP7,27334,Fungi,Ascomycota,Penicillium
A0A0A2KL20,40296,Fungi,Ascomycota,Penicillium
A0A0A2KWA6,40296,Fungi,Ascomycota,Penicillium
A0A0A2LDC3,40296,Fungi,Ascomycota,Penicillium
A0A0A2VJT0,1245745,Fungi,Ascomycota,Beauveria
A0A0A2VR17,1245745,Fungi,Ascomycota,Beauveria
A0A0A2VY68,1245745,Fungi,Ascomycota,Beauveria
A0A0A2VYA5,1245745,Fungi,Ascomycota,Beauveria
A0A0A2W0H5,1245745,Fungi,Ascomycota,Beauveria
A0A0A2WKA0,1300345,Bacteria,Pseudomonadota,Lysobacter
A0A0A2X4S5,1300345,Bacteria,Pseudomonadota,Lysobacter
A0A0A3XNH3,375,Bacteria,Pseudomonadota,Bradyrhizobium
A0A0A3XV83,375,Bacteria,Pseudomonadota,Bradyrhizobium
A0A0A6DAA9,587753,Bacteria,Pseudomonadota,Pseudomonas
A0A0A6UDS1,1869,Bacteria,Actinomycetota,Actinoplanes
A0A0A6UH53,1869,Bacteria,Actinomycetota,Actinoplanes
A0A0A6UH99,1869,Bacteria,Actinomycetota,Actinoplanes
A0A0A6UK08,1869,Bacteria,Actinomycetota,Actinoplanes
A0A0A7CLR3,74557,Oomycota,Oomycota,Thraustotheca
A0A0A7CLT5,74557,Oomycota,Oomycota,Thraustotheca
A0A0A7CMC8,74557,Oomycota,Oomycota,Thraustotheca
A0A0A7CN07,1202772,Oomycota,Oomycota,Achlya
A0A0A7CNE6,1202772,Oomycota,Oomycota,Achlya
A0A0A7CNM6,1202772,Oomycota,Oomycota,Achlya
A0A0A7CNP6,1202772,Oomycota,Oomycota,Achlya
A0A0A7CPE6,1202772,Oomycota,Oomycota,Achlya
A0A0A7DL33,39966,Fungi,Basidiomycota,Hypsizygus
A0A0A9H6D8,35708,Plants,Streptophyta,Arundo
A0A0B1PD39,52586,Fungi,Ascomycota,Uncinula
A0A0B1SX71,61180,Animals,Nematoda,Oesophagostomum
A0A0B1TC96,61180,Animals,Nematoda,Oesophagostomum
A0A0B1TJU4,61180,Animals,Nematoda,Oesophagostomum
A0A0B1TMI8,61180,Animals,Nematoda,Oesophagostomum
A0A0B2P1N0,3848,Plants,Streptophyta,Glycine
A0A0B2P669,3848,Plants,Streptophyta,Glycine
A0A0B2PHV4,3848,Plants,Streptophyta,Glycine
A0A0B2PIC8,3848,Plants,Streptophyta,Glycine
A0A0B2RGX4,3848,Plants,Streptophyta,Glycine
A0A0B2SNE1,3848,Plants,Streptophyta,Glycine
A0A0B2SNW5,3848,Plants,Streptophyta,Glycine
A0A0B2SP68,3848,Plants,Streptophyta,Glycine
A0A0B2UX79,6265,Animals,Nematoda,Toxocara
A0A0B2V4Z1,6265,Animals,Nematoda,Toxocara
A0A0B2V753,6265,Animals,Nematoda,Toxocara
A0A0B2VDU0,6265,Animals,Nematoda,Toxocara
A0A0B2VHS7,6265,Animals,Nematoda,Toxocara
A0A0B2VUC6,6265,Animals,Nematoda,Toxocara
