product	n_queries	freq_all	freq_with_data	total
sdr family nad(p)-dependent oxidoreductase	3	0.015	0.039	3
zinc-binding alcohol dehydrogenase family protein	3	0.015	0.039	3
glxa family transcriptional regulator	3	0.015	0.039	3
sdr family oxidoreductase	3	0.015	0.039	3
type ii secretion system protein gspm	3	0.015	0.039	3
protein of unknown function	2	0.010	0.026	4
hxcx atypical pseudopilin	2	0.010	0.026	2
alkaline phosphatase	2	0.010	0.026	2
general secretion pathway protein gspm	2	0.010	0.026	2
abc transporter permease	2	0.010	0.026	3
type ii secretion system protein gspd	2	0.010	0.026	2
type ii secretion system protein gspf	2	0.010	0.026	2
amidase signature enzyme	2	0.010	0.026	2
ankyrin	2	0.010	0.026	2
pre-mrna splicing factor-domain-containing protein	2	0.010	0.026	2
eukaryotic translation initiation factor 3 subunit l	2	0.010	0.026	2
pyridoxal phosphate-dependent transferase	2	0.010	0.026	2
adaptin n terminal region-domain-containing protein	2	0.010	0.026	2
gmc oxidoreductase-domain-containing protein	2	0.010	0.026	2
general secretion pathway protein d	2	0.010	0.026	2
outer membrane transport energization protein exbb	2	0.010	0.026	2
outer membrane transport energization protein exbd	2	0.010	0.026	2
type ii secretion system protein e (gspe)	2	0.010	0.026	2
abc-type phosphate transport system, substrate-binding protein	2	0.010	0.026	2
putative sensory transduction regulator	2	0.010	0.026	2
general secretion pathway protein l	2	0.010	0.026	2
general secretion pathway protein m	2	0.010	0.026	2
type ii secretion system protein f (gspf)	2	0.010	0.026	2
filamentous hemagglutinin family n-terminal domain-containing protein	2	0.010	0.026	2
hemolysin activation/secretion protein	2	0.010	0.026	2
glutathione s-transferase mu 1,glutathione s-transferase mu 5,glutathione s-transferase mu 2,glutathione s-transferase	2	0.010	0.026	4
neuronal cell adhesion molecule	2	0.010	0.026	2
fluconazole resistance (flu1)	2	0.010	0.026	2
tyrosinase precursor (monophenol monooxygenase)	2	0.010	0.026	2
3-hydroxybenzoate 6-hydroxylase 1	2	0.010	0.026	2
atp-binding cassette domain-containing protein	2	0.010	0.026	3
mss4-like protein	2	0.010	0.026	3
cytochrome p450	2	0.010	0.026	2
branched-chain amino acid abc transporter permease	2	0.010	0.026	2
helix-turn-helix transcriptional regulator	2	0.010	0.026	3
sensor histidine kinase	2	0.010	0.026	2
1,4-beta-d-glucan cellobiohydrolase cel6c	2	0.010	0.026	2
nudix hydrolase	2	0.010	0.026	2
tripartite transporter	2	0.010	0.026	2
glutamine amidotransferase	2	0.010	0.026	2
c4-dicarboxylate abc transporter permease	2	0.010	0.026	2
histidine ammonia-lyase	2	0.010	0.026	2
urocanate hydratase	2	0.010	0.026	2
imidazolonepropionase	2	0.010	0.026	2
class i sam-dependent methyltransferase	2	0.010	0.026	2
mfs transporter	2	0.010	0.026	2
nudix domain-containing protein	2	0.010	0.026	2
lysr substrate-binding domain-containing protein	2	0.010	0.026	2
duf3618 domain-containing protein	2	0.010	0.026	2
rid family hydrolase	2	0.010	0.026	2
alternative ribosome rescue aminoacyl-trna hydrolase arfb	2	0.010	0.026	2
hydrolase	2	0.010	0.026	2
shlb/fhac/hecb family hemolysin secretion/activation protein	2	0.010	0.026	2
duf2341 domain-containing protein	2	0.010	0.026	2
gnat family n-acetyltransferase	2	0.010	0.026	2
conserved hypothetical protein	2	0.010	0.026	11
tyrosine-protein phosphatase non-receptor type 9	1	0.005	0.013	1
small subunit processome component 20 -like protein	1	0.005	0.013	1
probable-ribose 5-phosphate isomerase	1	0.005	0.013	1
putative atp-dependent rna helicase ddx52	1	0.005	0.013	1
coiled-coil and c2 domain-containing protein 1-like	1	0.005	0.013	1
intraflagellar transport protein 88 -like protein	1	0.005	0.013	1
putative nucleoporin nup58	1	0.005	0.013	1
orcokinin peptides type b	1	0.005	0.013	1
cuticle collagen sqt-1	1	0.005	0.013	1
collagen alpha-5(vi) chain	1	0.005	0.013	1
sperm-specific class p protein 34	1	0.005	0.013	1
sperm-specific class p protein 32	1	0.005	0.013	1
geranylgeranyl transferase type-2 subunit alpha	1	0.005	0.013	1
transmembrane protein 53-a	1	0.005	0.013	1
small oligopeptide transporter	1	0.005	0.013	1
sgnh hydrolase-type esterase domain-containing protein	1	0.005	0.013	1
aldo-keto reductase-like protein	1	0.005	0.013	1
putative nadh-cytochrome b5 reductase	1	0.005	0.013	1
wd40-repeat-containing domain protein	1	0.005	0.013	2
alpha/beta hydrolase fold-1	1	0.005	0.013	1
phosphotransferase enzyme family protein	1	0.005	0.013	1
cell cycle control protein	1	0.005	0.013	1
long-chain-alcohol oxidase fao3	1	0.005	0.013	1
lysine biosynthesis regulatory protein lys14	1	0.005	0.013	1
translationally-controlled tumor protein homolog	1	0.005	0.013	1
fyve-type zinc finger-containing protein c9b6,03	1	0.005	0.013	1
high-affinity methionine permease	1	0.005	0.013	1
sugar abc transporter	1	0.005	0.013	1
glutamine abc transporter atp-binding protein	1	0.005	0.013	1
sugar isomerase	1	0.005	0.013	1
fructoselysine 6-kinase	1	0.005	0.013	1
phosphoheptose isomerase	1	0.005	0.013	1
cytidyltransferase	1	0.005	0.013	1
twitching motility protein pilt	1	0.005	0.013	1
susd family protein	1	0.005	0.013	1
radical sam superfamily enzyme ygiq, upf0313 family	1	0.005	0.013	1
antitoxin component ywqk of the ywqjk toxin-antitoxin module	1	0.005	0.013	1
2-polyprenyl-6-methoxyphenol hydroxylase	1	0.005	0.013	1
amidohydrolase	1	0.005	0.013	1
starch-binding associating with outer membrane	1	0.005	0.013	1
arac-type dna-binding protein	1	0.005	0.013	1
morn repeat variant	1	0.005	0.013	1
putative heme-binding domain-containing protein	1	0.005	0.013	1
uncharacterized protein yjbi, contains pentapeptide repeats	1	0.005	0.013	1
rna polymerase sigma-70 factor, ecf subfamily	1	0.005	0.013	1
tonb-linked outer membrane protein, susc/raga family	1	0.005	0.013	1
l,d-transpeptidase erfk/srfk	1	0.005	0.013	1
glutamate synthase domain-containing protein 2	1	0.005	0.013	2
dna end-binding protein ku	1	0.005	0.013	2
protein of unknown function, duf488	1	0.005	0.013	1
mfs transporter, fsr family, fosmidomycin resistance protein	1	0.005	0.013	1
succinate semialdehyde dehydrogenase	1	0.005	0.013	1
l,d-transpeptidase catalytic domain	1	0.005	0.013	1
bifunctional non-homologous end joining protein ligd	1	0.005	0.013	1
zn-binding pro-ala-ala-arg (paar) domain-containing protein, incolved in typevi secretion	1	0.005	0.013	1
atpase components of abc transporters with duplicated atpase domains	1	0.005	0.013	1
ytoq family protein	1	0.005	0.013	1
general secretion pathway protein gspd	1	0.005	0.013	1
membrane protein	1	0.005	0.013	2
general secretion pathway protein gspf	1	0.005	0.013	1
general secretion pathway protein gspe	1	0.005	0.013	1
general secretion pathway protein gspl	1	0.005	0.013	1
phosphomannomutase	1	0.005	0.013	1
cytochrome c family protein	1	0.005	0.013	1
capsule polysaccharide export protein	1	0.005	0.013	1
mannose-1-phosphate guanylyltransferase (gdp)	1	0.005	0.013	1
leucine-responsive regulatory protein	1	0.005	0.013	1
vapc toxin protein	1	0.005	0.013	1
glycosyltransferase	1	0.005	0.013	1
arabinose 5-phosphate isomerase	1	0.005	0.013	1
abc-type transport system involved in fe-s cluster assembly, permease component	1	0.005	0.013	1
proteinantitoxin of toxin-antitoxin stability system	1	0.005	0.013	1
polyamine abc transporter atp-binding protein	1	0.005	0.013	1
bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/gtp cyclohydrolase ii	1	0.005	0.013	1
polyamine abc transporter permease	1	0.005	0.013	1
dna-directed rna polymerases i, ii, and iii subunit rpabc1	1	0.005	0.013	1
purine and uridine phosphorylase	1	0.005	0.013	1
histidinol-phosphate aminotransferase	1	0.005	0.013	1
mmp37-like protein	1	0.005	0.013	1
putative polysaccharide export protein	1	0.005	0.013	1
alpha methylacyl-coa racemase	1	0.005	0.013	1
ywtd domain-containing protein	1	0.005	0.013	1
nuclear segregation protein	1	0.005	0.013	1
dde-domain-containing protein	1	0.005	0.013	1
enoyl-coa hydratase	1	0.005	0.013	1
biphenyl 2,3-dioxygenase	1	0.005	0.013	1
helix-turn-helix domain-containing protein	1	0.005	0.013	2
acyl-coa dehydrogenase	1	0.005	0.013	3
nitronate monooxygenase	1	0.005	0.013	1
ketoacid coa transferase	1	0.005	0.013	1
coa transferase subunit a	1	0.005	0.013	1
enoyl-coa hydratase family protein	1	0.005	0.013	1
phosphoribosyl transferase domain	1	0.005	0.013	1
zinc-binding alcohol dehydrogenase domain-containing cipb	1	0.005	0.013	1
integral membrane	1	0.005	0.013	1
5-carboxymethyl-2-hydroxymuconate isomerase	1	0.005	0.013	1
gentisate 1,2-dioxygenase	1	0.005	0.013	1
endo-1,4-beta-xylanase b	1	0.005	0.013	1
alpha-glucuronidase	1	0.005	0.013	1
nadph-dependent fmn reductase	1	0.005	0.013	1
endoglucanase type b	1	0.005	0.013	1
inorganic phosphate transport pho88	1	0.005	0.013	1
glycoside hydrolase	1	0.005	0.013	1
atp-dependent dna helicase	1	0.005	0.013	1
glycoside hydrolase/deacetylase	1	0.005	0.013	1
cellobiohydrolasei	1	0.005	0.013	1
chaperonin 10-like protein	1	0.005	0.013	1
ptr2-domain-containing protein	1	0.005	0.013	1
lactonase, 7-bladed beta-propeller-domain-containing protein	1	0.005	0.013	1
putative alpha-galactosidase a	1	0.005	0.013	1
tonb family c-terminal domain-containing protein	1	0.005	0.013	1
serine hydrolase fsh	1	0.005	0.013	1
glycosyl hydrolase family 65 central catalytic domain-containing protein	1	0.005	0.013	1
putative cyanamide hydratase	1	0.005	0.013	1
cystathionine gamma-synthase	1	0.005	0.013	1
putrescine transport system atp-binding protein	1	0.005	0.013	1
ethanolamine permease	1	0.005	0.013	1
putrescine transport system substrate-binding protein	1	0.005	0.013	1
duf971 family protein	1	0.005	0.013	1
ethanolamine ammonia-lyase large subunit	1	0.005	0.013	1
arac-like dna-binding protein	1	0.005	0.013	1
nad(p)-dependent dehydrogenase (short-subunit alcohol dehydrogenase family)	1	0.005	0.013	1
ftsp/cota-like multicopper oxidase with cupredoxin domain	1	0.005	0.013	2
branched-chain amino acid aminotransferase	1	0.005	0.013	1
gamma-glutamylputrescine oxidase	1	0.005	0.013	1
putative thioredoxin	1	0.005	0.013	1
putrescine transport system permease protein	1	0.005	0.013	2
dna-binding marr family transcriptional regulator	1	0.005	0.013	1
glutamate racemase	1	0.005	0.013	1
ethanolamine ammonia-lyase small subunit	1	0.005	0.013	1
type ii secretion system protein m	1	0.005	0.013	1
beta-glucosidase b	1	0.005	0.013	1
streptomycin 3 -adenylyltransferase	1	0.005	0.013	1
rta1 domain-containing	1	0.005	0.013	1
1-phosphatidylinositol-45-bisphosphate phosphodiesterase 1	1	0.005	0.013	1
45-dopa dioxygenase extradiol	1	0.005	0.013	1
prenylated rab acceptor 1	1	0.005	0.013	1
ttl domain-containing protein	1	0.005	0.013	1
pyruvate carboxylase	1	0.005	0.013	1
dnl zinc finger domain containing protein	1	0.005	0.013	1
cullin family protein	1	0.005	0.013	1
heat repeat protein	1	0.005	0.013	1
cwfj domain-containing protein	1	0.005	0.013	1
ser3-3-phosphoglycerate dehydrogenase	1	0.005	0.013	1
dlpa-like protein	1	0.005	0.013	1
pathway-specific regulatory	1	0.005	0.013	1
tol	1	0.005	0.013	1
cupin domain-containing protein	1	0.005	0.013	1
dioxygenase	1	0.005	0.013	1
putative nrps-like protein biosynthetic cluster	1	0.005	0.013	1
putative secondary metabolism biosynthetic enzyme	1	0.005	0.013	2
site-specific dna-methyltransferase	1	0.005	0.013	1
mate family efflux transporter	1	0.005	0.013	1
duf1772 domain-containing protein	1	0.005	0.013	1
site-specific integrase	1	0.005	0.013	1
1-acyl-sn-glycerol-3-phosphate acyltransferase	1	0.005	0.013	1
pinensin family lanthipeptide	1	0.005	0.013	1
dj-1/pfpi family protein	1	0.005	0.013	1
multicopper oxidase domain-containing protein	1	0.005	0.013	1
sfnb family sulfur acquisition oxidoreductase	1	0.005	0.013	2
msno8 family llm class oxidoreductase	1	0.005	0.013	1
metq/nlpa family abc transporter substrate-binding protein	1	0.005	0.013	1
phenol 2-monooxygenase	1	0.005	0.013	1
1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase 1	1	0.005	0.013	1
4,5-dopa dioxygenase	1	0.005	0.013	1
tfiie alpha subunit-domain-containing protein	1	0.005	0.013	1
serine protease	1	0.005	0.013	1
efflux pump protein	1	0.005	0.013	1
oxidoreductase cipa-like protein	1	0.005	0.013	1
hydrophobic surface binding protein a-domain-containing protein	1	0.005	0.013	1
thioredoxin-like protein	1	0.005	0.013	1
vacuolar sorting protein vps1	1	0.005	0.013	1
vitamin h transporter 1/biotin symporter vht1	1	0.005	0.013	1
glutathione s-transferase	1	0.005	0.013	1
thua-like domain-containing protein	1	0.005	0.013	1
cupredoxin	1	0.005	0.013	1
transcription initiation factor iid, 18kd subunit-domain-containing protein	1	0.005	0.013	1
snf2 family n-terminal domain-containing protein	1	0.005	0.013	1
tannase/feruloyl esterase	1	0.005	0.013	1
amidase signature domain-containing protein	1	0.005	0.013	1
n-acetylglucosamine-6-sulfatase	1	0.005	0.013	1
extradiol ring-cleavage dioxygenase, class iii enzyme, subunit b	1	0.005	0.013	1
sec1-like protein	1	0.005	0.013	1
zinc finger nhr/gata-type	1	0.005	0.013	1
drug proton antiporter yhk8	1	0.005	0.013	1
phosphoethanolamine n-methyltransferase 3	1	0.005	0.013	1
ankyrin repeat	1	0.005	0.013	1
o-methyltransferase	1	0.005	0.013	1
oxidoreductase-like protein	1	0.005	0.013	1
phosphoribosyl transferase	1	0.005	0.013	1
guanine deaminase	1	0.005	0.013	1
p-loop containing nucleoside triphosphate hydrolase protein	1	0.005	0.013	1
amine oxidase	1	0.005	0.013	1
phosphoglycerate mutase-like protein	1	0.005	0.013	1
kinase-like protein	1	0.005	0.013	1
tannase and feruloyl esterase	1	0.005	0.013	1
amino acid/polyamine transporter i	1	0.005	0.013	1
thiamine pyrophosphokinase	1	0.005	0.013	1
monooxygenase	1	0.005	0.013	1
putative alpha/beta hydrolase	1	0.005	0.013	1
bleached galactose oxidase	1	0.005	0.013	1
lysm domain-containing protein	1	0.005	0.013	1
fungal fucose-specific lectin	1	0.005	0.013	1
carbohydrate esterase family 1 protein	1	0.005	0.013	1
groes-like protein	1	0.005	0.013	1
glycosyltransferase family 1 protein	1	0.005	0.013	1
alternative oxidase	1	0.005	0.013	1
cloroperoxidase	1	0.005	0.013	1
outer membrane porin, oprd family	1	0.005	0.013	1
2-amino-thiazoline-4-carboxylic acid hydrolase	1	0.005	0.013	1
outer membrane beta-barrel protein	1	0.005	0.013	1
type ii toxin-antitoxin system rele/pare family toxin	1	0.005	0.013	1
trypsin-like peptidase domain-containing protein	1	0.005	0.013	1
sumf1/egtb/pvdo family nonheme iron enzyme	1	0.005	0.013	1
type ii toxin-antitoxin system pard family antitoxin	1	0.005	0.013	1
tonb-dependent receptor	1	0.005	0.013	1
gtp cyclohydrolase ii	1	0.005	0.013	1
wd40 repeat domain-containing protein	1	0.005	0.013	1
nad binding domain of 6-phosphogluconate dehydrogenase-domain-containing protein	1	0.005	0.013	1
ankyrin repeat and fyve domain-containing protein 1	1	0.005	0.013	1
kn motif and ankyrin repeat domain-containing protein 3	1	0.005	0.013	1
galactose oxidase	1	0.005	0.013	2
abhydrolase	1	0.005	0.013	1
cyclin-like protein	1	0.005	0.013	1
metal iron transporter	1	0.005	0.013	1
phenanthrene-epoxide hydrolase	1	0.005	0.013	1
nadh dehydrogenase (ubiquinone) 1 alpha subcomplex	1	0.005	0.013	1
acylpyruvate hydrolase	1	0.005	0.013	1
cyclin	1	0.005	0.013	1
pseudouridine 5'-phosphatase	1	0.005	0.013	1
protein serine/threonine phosphatase	1	0.005	0.013	1
n-formylglutamate amidohydrolase	1	0.005	0.013	1
n-formimino-l-glutamate deiminase	1	0.005	0.013	1
nadph:quinone oxidoreductase	1	0.005	0.013	1
paf acetylhydrolase	1	0.005	0.013	1
linoleate diol synthase	1	0.005	0.013	1
choline dehydrogenase	1	0.005	0.013	1
b-cell lymphoma 3-encoded protein	1	0.005	0.013	1
het domain-containing protein	1	0.005	0.013	1
galactinol-sucrose galactosyltransferase 6	1	0.005	0.013	1
aminotransferase	1	0.005	0.013	1
ww domain-containing protein	1	0.005	0.013	1
epoxide hydrolase	1	0.005	0.013	1
beta-glucosidase g 1	1	0.005	0.013	1
n-acetyltransferase	1	0.005	0.013	1
minor extracellular protease vpr 12	1	0.005	0.013	1
atp synthase delta mitochondrial	1	0.005	0.013	1
set domain-containing protein 5	1	0.005	0.013	1
pyruvate dehydrogenase e2 component (dihydrolipoamide acetyltransferase)	1	0.005	0.013	1
duf3455 domain-containing protein	1	0.005	0.013	1
aliphatic sulfonate abc transporter substrate-binding protein	1	0.005	0.013	1
start domain-containing protein	1	0.005	0.013	1
anti-sigma factor	1	0.005	0.013	1
nad-dependent deacylase	1	0.005	0.013	1
(s)-ureidoglycine aminohydrolase	1	0.005	0.013	1
sigma-70 family rna polymerase sigma factor	1	0.005	0.013	1
aldehyde dehydrogenase family protein	1	0.005	0.013	1
rrf2 family transcriptional regulator	1	0.005	0.013	1
amidase	1	0.005	0.013	1
thioesterase family protein	1	0.005	0.013	1
dna binding protein	1	0.005	0.013	1
nad-dependent dehydratase	1	0.005	0.013	1
zinc-binding dehydrogenase	1	0.005	0.013	1
formimidoylglutamate deiminase	1	0.005	0.013	1
n-formylglutamate deformylase	1	0.005	0.013	1
yeee/yede family protein	1	0.005	0.013	2
duf2282 domain-containing protein	1	0.005	0.013	1
thymidylate kinase	1	0.005	0.013	1
doxx family protein	1	0.005	0.013	1
duf692 domain-containing protein	1	0.005	0.013	1
putative dna-binding domain-containing protein	1	0.005	0.013	1
phospholipase d family protein	1	0.005	0.013	1
aminoacyl-trna hydrolase	1	0.005	0.013	1
maoc family dehydratase	1	0.005	0.013	1
tyrosine-type recombinase/integrase	1	0.005	0.013	1
fumarylacetoacetate hydrolase family protein	1	0.005	0.013	1
aspartate/glutamate racemase family protein	1	0.005	0.013	1
duf2312 domain-containing protein	1	0.005	0.013	1
n-acetyl-gamma-glutamyl-phosphate reductase	1	0.005	0.013	1
c-terminal binding protein	1	0.005	0.013	1
iron abc transporter permease	1	0.005	0.013	1
indolepyruvate ferredoxin oxidoreductase family protein	1	0.005	0.013	1
acylphosphatase	1	0.005	0.013	1
iclr family transcriptional regulator	1	0.005	0.013	1
enoyl-coa hydratase/isomerase family protein	1	0.005	0.013	1
transporter	1	0.005	0.013	1
nadh-quinone oxidoreductase subunit m	1	0.005	0.013	1
glycerate kinase	1	0.005	0.013	1
nadh-quinone oxidoreductase subunit l	1	0.005	0.013	1
nadh-quinone oxidoreductase subunit nuoh	1	0.005	0.013	1
duf1176 domain-containing protein	1	0.005	0.013	1
sugar diacid recognition domain-containing protein	1	0.005	0.013	1
nadh-quinone oxidoreductase subunit nuoi	1	0.005	0.013	1
nadh-quinone oxidoreductase subunit j	1	0.005	0.013	1
arac family transcriptional regulator ligand-binding domain-containing protein	1	0.005	0.013	1
nadh-quinone oxidoreductase subunit nuon	1	0.005	0.013	1
nadh-quinone oxidoreductase subunit nuok	1	0.005	0.013	1
winged helix-turn-helix transcriptional regulator	1	0.005	0.013	1
iron transporter	1	0.005	0.013	1
branched-chain amino acid abc transporter substrate-binding protein	1	0.005	0.013	1
pepsy domain-containing protein	1	0.005	0.013	1
duf393 domain-containing protein	1	0.005	0.013	1
l-2-amino-thiazoline-4-carboxylic acid hydrolase	1	0.005	0.013	1
nad(p)-dependent alcohol dehydrogenase	1	0.005	0.013	1
duf3325 domain-containing protein	1	0.005	0.013	1
protein tonb, links inner and outer membranes	1	0.005	0.013	1
transposase domain	1	0.005	0.013	1
cross-pathway control wd-repeat protein cpc2	1	0.005	0.013	1
proteasome subunit alpha type-6	1	0.005	0.013	1
histone-lysine n-methyltransferase set-6	1	0.005	0.013	1
alanine--trna ligase	1	0.005	0.013	1
ybjn domain-containing protein	1	0.005	0.013	1
duf3077 domain-containing protein	1	0.005	0.013	1
ornithine cyclodeaminase	1	0.005	0.013	1
extracellular solute-binding protein, family 1	1	0.005	0.013	1
leucyl aminopeptidase	1	0.005	0.013	1
uncharacterized conserved protein ucp012702	1	0.005	0.013	1
beta-lactamase	1	0.005	0.013	1
major facilitator superfamily mfs_1	1	0.005	0.013	2
transcriptional regulator, tetr family	1	0.005	0.013	1
binding-protein-dependent transport systems inner membrane component	1	0.005	0.013	1
abc transporter related protein	1	0.005	0.013	1
peptidase m42 family protein	1	0.005	0.013	1
transcriptional regulator, rpir family	1	0.005	0.013	1
inositol-phosphate phosphatase	1	0.005	0.013	1
carbohydrate-selective porin oprb	1	0.005	0.013	1
cyclase family protein	1	0.005	0.013	1
protein of unknown function duf849	1	0.005	0.013	1
cytochrome p450, putative (eurofung)	1	0.005	0.013	1
monooxygenase, putative (afu_orthologue; afua_7g06960)	1	0.005	0.013	1
putative zn(ii)2cys6 transcription factor (eurofung)	1	0.005	0.013	1
oxidoreductase, putative (afu_orthologue; afua_7g06950)	1	0.005	0.013	1
fara [source:uniprotkb/trembl;acc:q1wd26]	1	0.005	0.013	1
fumarylacetoacetate hydrolase family protein (afu_orthologue; afua_7g07000)	1	0.005	0.013	1
cystathionine beta-lyase (ec 4.4.1.8) [source:uniprotkb/trembl;acc:q12607]	1	0.005	0.013	1
aryl-alcohol oxidase; vanillyl-alcohol oxidase (afu_orthologue; afua_3g09500)	1	0.005	0.013	1
cobw	1	0.005	0.013	1
n-acyl-d-amino-acid deacylase	1	0.005	0.013	1
oligopeptide/dipeptide abc transporter, permease protein	1	0.005	0.013	1
cobg	1	0.005	0.013	1
cob(i)yrinic acid a,c-diamide adenosyltransferase	1	0.005	0.013	1
precorrin-2 c20-methyltransferase	1	0.005	0.013	1
peptide abc transporter, permease protein	1	0.005	0.013	1
peptide/nickel/opine uptake family abc transporter, atp-binding protein, putative	1	0.005	0.013	1
dipeptide abc transporter (dipeptide-binding protein)	1	0.005	0.013	1
cobaltochelatase	1	0.005	0.013	1
precorrin-3b c17-methyltransferase	1	0.005	0.013	1
precorrin-8x methylmutase	1	0.005	0.013	1
