accession,afdb_available,afdb_his_missing,af3_cu_cu,af3_centroid,afdb_centroid,delta_centroid,n_cuA_his,n_cuB_his,afdb_cuA_found,afdb_cuB_found,afdb_cuA_plddt,afdb_cuB_plddt
A0A066XWR5,True,False,4.18,5.15,4.33,-0.82,3,3,3,3,97.7,98.6
A0A177EUN3,True,False,4.83,5.83,5.02,-0.82,3,3,3,3,98.2,97.8
A0A178DF33,True,False,4.88,5.94,5.12,-0.82,3,3,3,3,98.1,98.0
A0A1V6QQ78,True,False,3.67,4.42,3.59,-0.82,3,3,3,3,67.0,66.5
A0A2L0VDJ5,True,False,4.14,5.48,4.66,-0.82,3,3,3,3,98.2,95.6
A0A2N3MXV9,True,False,3.89,4.9,4.08,-0.82,3,3,3,3,98.6,98.4
A0A2T2N831,True,False,4.34,5.41,4.59,-0.82,3,3,3,3,96.3,97.3
A0A6G1INV5,True,False,4.32,5.31,4.49,-0.82,3,3,3,3,98.5,97.9
A0A8H4RXW4,True,False,4.45,5.45,4.63,-0.82,3,3,3,3,95.5,93.2
A0A8K0WK45,True,False,4.45,5.59,4.78,-0.82,3,3,3,3,96.3,98.1
A1BB10,True,False,4.37,5.35,4.53,-0.82,3,3,3,3,93.9,87.7
B9W001,True,False,4.59,5.18,4.36,-0.82,3,3,3,3,97.0,94.9
E3S522,True,False,4.16,5.22,4.4,-0.82,3,3,3,3,98.5,98.3
A0A096MND7,True,False,3.88,4.8,5.61,0.81,3,3,3,3,78.3,94.9
A0A0P1AY43,True,False,3.95,5.07,4.26,-0.81,3,3,3,3,98.7,98.0
A0A0S4V1M6,True,False,4.58,5.18,4.37,-0.81,3,3,3,3,97.1,94.9
A0A7Z0BL67,True,False,4.52,4.9,4.08,-0.81,3,3,3,3,98.1,95.3
A0A813JVL4,True,False,4.87,5.75,4.93,-0.81,3,3,3,3,85.0,56.4
A0A8H3AA21,True,False,4.54,5.5,4.69,-0.81,3,3,3,3,96.7,95.2
A0A8H7JCU1,True,False,4.53,5.23,4.42,-0.81,3,3,3,3,91.7,88.4
A0A0C2WPJ7,True,False,4.43,5.68,4.88,-0.8,3,3,3,3,94.6,93.5
A0A7R9PVW4,True,False,4.05,4.95,4.15,-0.8,3,3,3,3,86.9,88.8
A0A975ZQ03,True,False,4.15,5.02,4.23,-0.8,3,3,3,3,98.5,95.8
F0Y8Z8,True,False,4.57,5.57,4.77,-0.8,3,3,3,3,90.8,91.1
G3A426,True,False,4.2,5.18,4.38,-0.8,3,3,3,3,97.5,94.6
A0A024T961,True,False,4.21,5.73,4.93,-0.79,3,3,3,3,97.1,94.5
A0A0C3ASP0,True,False,4.24,5.46,4.67,-0.79,3,3,3,3,93.2,92.7
A0A0U5G353,True,False,4.35,5.49,4.7,-0.79,3,3,3,3,98.7,97.3
A0A5D2E4Z0,True,False,4.04,4.83,4.03,-0.79,3,3,3,3,98.5,95.5
A0A7S4ZSW5,True,False,4.28,5.02,4.22,-0.79,3,3,3,3,96.1,89.1
A0A813FLF8,True,False,4.05,4.96,5.76,0.79,3,3,3,3,82.4,45.9
A0A8B6GLG5,True,False,4.18,5.38,4.6,-0.79,3,3,3,3,97.7,95.4
A0A8H3A7J6,True,False,4.63,5.62,4.83,-0.79,3,3,3,3,98.4,97.3
A0A9W8MD97,True,False,4.09,5.35,4.56,-0.79,3,3,3,3,93.1,94.5
G4ZF58,True,False,4.08,5.56,4.77,-0.79,3,3,3,3,98.0,96.9
A0A084FV70,True,False,3.96,5.02,4.24,-0.78,3,3,3,3,98.3,98.2
A0A0B7F1Z6,True,False,4.34,5.47,4.69,-0.78,3,3,3,3,96.7,98.0
A0A397DFP7,True,False,4.71,5.69,4.91,-0.78,3,3,3,3,98.7,98.0
A0A418E6Z8,True,False,4.59,5.59,4.81,-0.78,3,3,3,3,98.6,98.0
A0A6I3KHZ9,True,False,4.1,4.83,4.04,-0.78,3,3,3,3,93.8,84.9
A0A6P8AYP6,True,False,4.56,5.63,4.85,-0.78,3,3,3,3,98.2,93.0
A0A813FA30,True,False,4.43,5.26,4.48,-0.78,3,3,3,3,86.1,62.2
A0A840S208,True,False,4.06,4.91,4.12,-0.78,3,3,3,3,98.5,95.3
A0A8H6HGD8,True,False,4.35,5.41,4.64,-0.78,3,3,3,3,95.4,96.2
A0A8J2I7M8,True,False,4.53,5.53,4.75,-0.78,3,3,3,3,96.1,97.8
A0A8R1HRK2,True,False,4.47,5.55,4.77,-0.78,3,3,3,3,97.6,95.5
A0A9W9FGB9,True,False,4.41,5.49,4.71,-0.78,3,3,3,3,94.5,95.5
A0AAN6VZ72,True,False,4.1,5.28,4.5,-0.78,3,3,3,3,97.9,96.3
A0AAV9GLX0,True,False,4.64,5.53,4.75,-0.78,3,3,3,3,98.2,97.4
B2B2Q9,True,False,4.48,5.49,4.71,-0.78,3,3,3,3,97.1,96.2
S5QBT9,True,False,4.36,5.65,4.86,-0.78,3,3,3,3,93.5,91.4
A0A2A2KT57,True,False,4.33,5.49,4.72,-0.77,3,3,3,3,98.3,95.4
A0A2K5QUW3,True,False,3.99,4.86,5.62,0.77,3,3,3,3,94.3,79.4
A0A3N4IZV1,True,False,4.35,5.27,4.49,-0.77,3,3,3,3,88.4,87.0
A0A6A6WW42,True,False,4.13,5.35,4.58,-0.77,3,3,3,3,98.8,96.7
A0A7Z0Q9G1,True,False,3.92,4.88,4.11,-0.77,3,3,3,3,98.6,97.1
A0A9P4K8D0,True,False,4.38,5.28,4.51,-0.77,3,3,3,3,98.5,98.1
A0AAE0HNM3,True,False,4.7,5.64,4.87,-0.77,3,3,3,3,97.4,96.9
A0AAF5Q4Y1,True,False,4.6,5.74,4.97,-0.77,3,3,3,3,98.2,96.4
A0A0K1ZP03,True,False,4.52,5.14,4.38,-0.76,3,3,3,3,97.4,95.0
A0A0N9VSI6,True,False,3.94,4.88,4.12,-0.76,3,3,3,3,98.7,96.5
A0A2H1GCI0,True,False,3.95,5.09,4.33,-0.76,3,3,3,3,98.5,96.5
A0A2P4YVC2,True,False,3.75,4.97,4.21,-0.76,3,3,3,3,86.3,54.8
A0A2T2N295,True,False,4.31,5.1,4.34,-0.76,3,3,3,3,97.0,93.6
A0AA39Y7F5,True,False,4.58,5.58,4.82,-0.76,3,3,3,3,96.0,96.0
A0AAN8F1N7,True,False,4.52,5.53,4.77,-0.76,3,3,3,3,98.2,95.9
A7UX66,True,False,4.15,5.15,4.39,-0.76,3,3,3,3,98.9,98.6
A8NQE7,True,False,4.49,5.45,4.7,-0.76,3,3,3,3,95.7,96.0
F4PBI8,True,False,4.36,5.43,4.67,-0.76,3,3,3,3,95.8,94.7
G3RJI7,True,False,4.09,5.01,5.77,0.76,3,3,3,3,94.8,79.8
W2IN87,True,False,3.83,4.98,4.22,-0.76,3,3,3,3,98.8,98.2
A0A0F7TMS3,True,False,3.87,4.91,4.16,-0.75,3,3,3,3,98.4,98.2
A0A2G5CHA6,True,False,4.28,4.97,4.22,-0.75,3,3,3,3,97.9,95.8
A0A2N3NLQ7,True,False,4.37,5.41,4.66,-0.75,3,3,3,3,98.8,98.0
A0A418AHC0,True,False,4.3,5.2,4.45,-0.75,3,3,3,3,98.7,97.9
A0A6J8DAY9,True,False,4.24,5.37,4.62,-0.75,3,3,3,3,95.8,93.1
A0A7C8NGK8,True,False,4.52,5.41,4.66,-0.75,3,3,3,3,98.4,95.5
A0A7S2FUY7,True,False,4.5,5.52,4.77,-0.75,3,3,3,3,93.4,90.7
A0A840R7Q8,True,False,4.0,4.84,4.09,-0.75,3,3,3,3,98.7,96.8
A0A914CIK4,True,False,4.74,5.79,5.04,-0.75,3,3,3,3,93.9,89.6
A0A9N8QFB2,True,False,4.28,5.37,4.62,-0.75,3,3,3,3,95.5,97.0
A0A9P4QZV1,True,False,4.46,5.35,4.6,-0.75,3,3,3,3,98.6,97.8
A0AA39QMY4,True,False,4.64,5.61,4.86,-0.75,3,3,3,3,89.8,77.6
A0AAD9SMN7,True,False,4.43,5.47,4.72,-0.75,3,3,3,3,98.5,96.9
A0AAE8MR11,True,False,4.38,5.35,4.6,-0.75,3,3,3,3,98.3,97.4
A0AAU7RY35,True,False,4.52,5.01,4.26,-0.75,3,3,3,3,97.5,95.3
F2UDJ6,True,False,4.02,5.3,4.55,-0.75,3,3,3,3,97.1,88.9
G3Y817,True,False,4.06,5.03,4.28,-0.75,3,3,3,3,98.8,98.6
N1QC15,True,False,4.47,5.71,4.95,-0.75,3,3,3,3,98.7,97.7
A0A084B4D9,True,False,4.39,5.43,4.69,-0.74,3,3,3,3,96.2,97.7
A0A0C3BJQ5,True,False,4.49,5.5,4.76,-0.74,3,3,3,3,96.7,95.0
A0A136JFC0,True,False,4.47,5.42,4.68,-0.74,3,3,3,3,98.5,96.8
A0A2I3SUR0,True,False,3.71,4.87,5.61,0.74,3,3,3,3,82.5,95.1
A0A2T3AX63,True,False,4.46,5.66,4.92,-0.74,3,3,3,3,97.8,98.9
A0A423GNA0,True,False,3.96,4.88,4.14,-0.74,3,3,3,3,98.7,96.9
A0A6A6RY10,True,False,4.38,5.33,4.6,-0.74,3,3,3,3,98.5,97.5
A0A7S3XKD7,True,False,4.21,5.35,4.61,-0.74,3,3,3,3,95.8,98.6
A0A7Y4KXB0,True,False,4.23,5.41,4.67,-0.74,3,3,3,3,96.5,96.5
A0A914LB60,True,False,4.34,5.43,4.69,-0.74,3,3,3,3,97.8,92.8
A0A9P4PMY7,True,False,4.43,5.3,4.56,-0.74,3,3,3,3,98.2,97.7
A0AAD8FCF7,True,False,3.87,4.77,5.51,0.74,3,3,3,3,97.6,98.8
A0AAN5YXM8,True,False,4.54,5.23,4.49,-0.74,3,3,3,3,94.7,89.0
A0A016TKY1,True,False,4.18,5.21,4.48,-0.73,3,3,3,3,97.8,95.2
A0A098SBM4,True,False,4.31,5.55,4.82,-0.73,3,3,3,3,91.1,88.8
A0A0D1YF04,True,False,4.86,5.82,5.09,-0.73,3,3,3,3,98.1,97.6
A0A177V9R6,True,False,4.28,5.37,4.64,-0.73,3,3,3,3,94.7,96.9
A0A1Y2JFF1,True,False,3.99,4.9,4.17,-0.73,3,3,3,3,98.7,97.5
A0A2K1IK82,True,False,4.78,5.32,4.59,-0.73,3,3,3,3,95.2,95.6
A0A2T4BQX4,True,False,4.34,5.16,4.43,-0.73,3,3,3,3,94.9,85.0
A0A364N075,True,False,4.52,5.5,4.78,-0.73,3,3,3,3,93.1,83.1
A0A3N4HXW2,True,False,4.27,5.33,4.6,-0.73,3,3,3,3,98.0,95.8
A0A5C3QWW3,True,False,4.41,5.6,4.87,-0.73,3,3,3,3,97.0,93.6
A0A6A6T3E4,True,False,4.2,5.29,4.56,-0.73,3,3,3,3,98.8,96.3
A0A7C8NDC7,True,False,4.49,5.3,4.57,-0.73,3,3,3,3,97.9,93.5
A0A7U2HZK6,True,False,4.21,5.31,4.58,-0.73,3,3,3,3,98.2,98.1
A0A8S3ZZP1,True,False,4.52,5.31,4.58,-0.73,3,3,3,3,98.3,98.3
A0A8T0HHE6,True,False,5.06,5.31,4.57,-0.73,3,3,3,3,96.6,94.7
A0A8W8K6M2,True,False,3.72,4.64,5.37,0.73,3,3,3,3,95.1,93.7
A0A9W8MFY6,True,False,5.0,5.73,5.01,-0.73,3,3,3,3,96.4,96.9
A0A9X4LG23,True,False,4.0,4.8,4.07,-0.73,3,3,3,3,98.1,96.3
A0AA38W271,True,False,4.16,5.24,4.51,-0.73,3,3,3,3,97.4,96.6
A0AAD5X2U5,True,False,4.27,5.31,4.58,-0.73,3,3,3,3,96.3,89.8
A0AAE5X690,True,False,4.07,4.86,4.13,-0.73,3,3,3,3,98.7,95.5
A0AAN6DP90,True,False,4.78,5.68,4.95,-0.73,3,3,3,3,98.6,98.1
D7G132,True,False,5.0,5.88,5.15,-0.73,3,3,3,3,95.9,96.2
Q8Y2J8,True,False,4.51,5.13,4.4,-0.73,3,3,3,3,96.8,95.2
A0A177DK85,True,False,4.15,5.24,4.52,-0.72,3,3,3,3,98.7,98.4
A0A194X723,True,False,4.34,5.22,4.5,-0.72,3,3,3,3,98.6,98.3
A0A397CWG7,True,False,4.66,5.64,4.93,-0.72,3,3,3,3,98.6,97.6
A0A5N5QCX3,True,False,4.42,5.51,4.79,-0.72,3,3,3,3,97.1,97.0
A0A6A6JKI9,True,False,4.29,5.34,4.62,-0.72,3,3,3,3,98.6,97.8
A0A8H2XWF9,True,False,4.44,5.46,4.74,-0.72,3,3,3,3,97.4,96.3
A0A8H3A0M5,True,False,4.45,5.45,4.73,-0.72,3,3,3,3,92.2,89.0
A0A8J2IDN1,True,False,4.36,5.43,4.71,-0.72,3,3,3,3,98.8,98.6
A0A914LWT8,True,False,4.27,5.37,4.65,-0.72,3,3,3,3,97.9,92.9
A0AAN6RFI8,True,False,4.36,5.24,4.53,-0.72,3,3,3,3,98.2,97.0
D7F7P8,True,False,4.52,5.38,4.66,-0.72,3,3,3,3,98.2,97.0
M3CVQ9,True,False,4.37,5.44,4.72,-0.72,3,3,3,3,98.3,98.1
S8ARG8,True,False,4.43,5.54,4.82,-0.72,3,3,3,3,97.5,97.8
A0A0C3H2L9,True,False,4.43,5.46,4.75,-0.71,3,3,3,3,98.9,98.2
A0A0D6LVJ5,True,False,4.1,5.24,4.54,-0.71,3,3,3,3,97.4,86.5
A0A137PC66,True,False,4.25,5.41,4.7,-0.71,3,3,3,3,91.4,95.9
A0A2A2KT90,True,False,4.16,5.49,4.78,-0.71,3,3,3,3,97.0,93.5
A0A2J6PV40,True,False,4.37,5.44,4.73,-0.71,3,3,3,3,97.9,97.8
A0A401KLG2,True,False,4.31,5.46,4.75,-0.71,3,3,3,3,97.3,98.5
A0A6A5Y4J9,True,False,4.37,5.3,4.59,-0.71,3,3,3,3,98.4,97.9
A0A7K1RCN1,True,False,3.97,4.84,4.13,-0.71,3,3,3,3,98.4,97.0
A0A7R9KQM4,True,False,4.41,5.4,4.69,-0.71,3,3,3,3,91.9,91.6
A0A9N9XZG9,True,False,4.39,5.42,4.7,-0.71,3,3,3,3,95.5,97.5
A0A9K3KBA8,True,False,4.23,5.4,4.69,-0.71,3,3,3,3,96.6,92.6
A0A9Q8QL99,True,False,4.07,5.34,4.63,-0.71,3,3,3,3,98.1,96.6
A0AAE0HH78,True,False,4.1,5.29,4.58,-0.71,3,3,3,3,97.8,95.8
A0AAV9GKC3,True,False,4.28,5.28,4.57,-0.71,3,3,3,3,97.2,96.2
D7F7N6,True,False,4.34,5.34,4.63,-0.71,3,3,3,3,97.4,95.0
F4P543,True,False,4.24,5.4,4.69,-0.71,3,3,3,3,94.8,95.9
M5C4G3,True,False,4.44,5.51,4.8,-0.71,3,3,3,3,97.8,96.7
A0A0G2F5W5,True,False,4.14,5.43,4.74,-0.7,3,3,3,3,98.7,98.1
A0A0L0S6J0,True,False,3.91,5.12,4.42,-0.7,3,3,3,3,94.8,97.8
A0A2N5VYD7,True,False,4.06,5.08,4.38,-0.7,3,3,3,3,94.6,93.2
A0A2V3J6W0,True,False,4.18,5.08,4.38,-0.7,4,3,4,3,89.1,96.0
A0A388KI27,True,False,4.64,5.12,4.42,-0.7,3,3,3,3,98.1,96.8
A0A395ME45,True,False,4.73,5.7,5.0,-0.7,3,3,3,3,98.3,97.5
A0A397EQT5,True,False,4.63,5.63,4.94,-0.7,3,3,3,3,98.6,97.5
A0A3R6WTM7,True,False,4.65,5.63,4.93,-0.7,3,3,3,3,98.6,97.7
A0A433JFE6,True,False,3.78,4.79,4.09,-0.7,3,3,3,3,98.7,95.7
A0A485KIX8,True,False,4.25,5.23,4.53,-0.7,3,3,3,3,98.2,95.5
A0A4U9FFS8,True,False,4.42,5.19,4.49,-0.7,3,3,3,3,93.7,87.5
A0A507DWN6,True,False,4.01,5.11,4.4,-0.7,3,3,3,3,98.0,96.7
A0A8C5UTH3,True,False,3.91,4.86,5.56,0.7,3,3,3,3,94.7,82.2
A0A8K0VW54,True,False,4.17,5.37,4.67,-0.7,3,3,3,3,98.7,98.4
A0A9W8M9A3,True,False,5.01,5.59,4.89,-0.7,3,3,3,3,97.0,97.5
A0AAD7U4P1,True,False,4.07,5.18,4.48,-0.7,3,3,3,3,93.6,91.3
C0NHD4,True,False,4.36,5.05,4.35,-0.7,3,3,3,3,96.8,90.3
D5GL91,True,False,4.38,5.33,4.64,-0.7,3,3,3,3,90.6,86.0
G0NPY2,True,False,3.97,5.18,4.48,-0.7,3,3,3,3,98.5,96.4
J3P591,True,False,4.15,5.28,4.58,-0.7,3,3,3,3,97.9,96.2
Q2H7I7,True,False,4.08,5.19,4.49,-0.7,3,3,3,3,97.9,96.6
A0A016T0A5,True,False,4.28,5.4,4.71,-0.69,3,3,3,3,96.6,91.3
A0A0D8Y241,True,False,4.29,5.34,4.65,-0.69,3,3,3,3,98.0,95.6
A0A2A2L189,True,False,4.26,5.44,4.75,-0.69,3,3,3,3,96.0,93.6
A0A2D3V5Q1,True,False,4.31,5.37,4.68,-0.69,3,3,3,3,98.4,97.6
A0A507ECB4,True,False,4.46,5.44,4.74,-0.69,3,3,3,3,96.9,96.9
A0A547PT19,True,False,4.91,5.79,5.1,-0.69,3,3,3,3,86.1,85.2
A0A6A5Z917,True,False,4.4,5.29,4.59,-0.69,3,3,3,3,98.7,97.9
A0A7S3XTZ6,True,False,4.88,5.78,5.09,-0.69,3,3,3,3,91.2,93.8
A0A8H3VY49,True,False,4.48,5.43,4.74,-0.69,3,3,3,3,97.4,98.0
A0A8H6YGA9,True,False,4.28,5.36,4.67,-0.69,3,3,3,3,97.3,97.2
A0AA39XD07,True,False,4.14,5.28,4.59,-0.69,3,3,3,3,96.8,97.0
A0AAD0RR47,True,False,4.03,4.83,4.14,-0.69,3,3,3,3,98.3,96.8
A0AAD4FJL0,True,False,4.12,5.39,4.69,-0.69,3,3,3,3,98.8,98.7
A0AAE0K3U6,True,False,4.13,5.33,4.64,-0.69,3,3,3,3,98.2,97.3
A0A0D3QE84,True,False,3.89,4.75,4.07,-0.68,3,3,3,3,98.7,97.5
A0A137PC75,True,False,4.22,5.41,4.72,-0.68,3,3,3,3,97.8,98.6
A0A158KTI3,True,False,4.25,4.82,4.14,-0.68,3,3,3,3,98.7,95.2
A0A165JGF1,True,False,4.39,5.37,4.69,-0.68,3,3,3,3,96.7,96.8
A0A1W7D1S4,True,False,4.52,5.64,4.95,-0.68,3,3,3,3,97.0,97.7
A0A2T3YXJ6,True,False,4.36,5.28,4.6,-0.68,3,3,3,3,95.0,91.5
A0A3D9L5Y2,True,False,4.11,4.95,4.26,-0.68,3,3,3,3,98.6,96.9
A0A438NAJ9,True,False,4.76,5.65,4.97,-0.68,3,3,3,3,98.4,96.8
A0A454TWG6,True,False,4.59,5.13,4.45,-0.68,3,3,3,3,97.4,95.1
