sequence_id,filter_status
A0A7J7J2C8_taxID_10212_model,unknown
A0A7R8Z532_taxID_61478_model_A,unknown
A0A7R9E5Y2_taxID_170555_model,unknown
A0A7R9KZT3_taxID_1979941_model,unknown
A0A7R9PVW4_taxID_1979941_model,unknown
A0A7S0LHE4_taxID_221442_model_A,unknown
A0A7S2JHL4_taxID_1333877_model,unknown
A0A7S2JTA5_taxID_1333877_model,unknown
A0A7S3QEJ9_taxID_122233_model,unknown
A0A7S3RCE1_taxID_2903_model,unknown
A0A7S4C8S2_taxID_73025_model,unknown
A0A7S4GNC1_taxID_2969_model,unknown
A0A813FLF8_taxID_89957_model,unknown
A0A835SWT6_taxID_2026947_model,unknown
A0A8A4TY47_taxID_2818388_model,unknown
A0A8B6DAC3_taxID_29158_model,unknown
A0A8H3A0M5_taxID_456999_model_A,unknown
A0A8H3AAQ4_taxID_456999_model,unknown
A0A8H3GJ96_taxID_456999_model,unknown
A0A8H3IL14_taxID_116794_model,unknown
A0A8H3S9D4_taxID_91492_model_A,unknown
A0A8H4EHU7_taxID_4874_model,unknown
A0A8H4RXW4_taxID_354080_model_A,unknown
A0A8H4VJ57_taxID_84607_model,unknown
A0A8H4YZH8_taxID_48485_model,unknown
A0A8H6MRC0_taxID_2175907_model,unknown
A0A8H7E8W0_taxID_1187904_model,unknown
A0A8H8P906_taxID_456999_model,unknown
A0A8J1UW52_taxID_6347_model,unknown
A0A8J2X377_taxID_35677_model,unknown
A0A8J3MXC0_taxID_2778364_model,unknown
A0A8K0WPV5_taxID_80388_model_A,unknown
A0A8K1LL24_taxID_364589_model,unknown
A0A8S3PWU5_taxID_6550_model,unknown
A0A8S3SG45_taxID_6550_model,unknown
A0A8S4QC54_taxID_6347_model,unknown
A0A8S9ZP28_taxID_189291_model,unknown
A0A8T0LKJ4_taxID_325452_model,unknown
A0A8W8J4S3_taxID_29159_model,unknown
A0A8X6KWP2_taxID_2740835_model,unknown
A0A913YCG3_taxID_2652724_model,unknown
A0A914V8X7_taxID_2011161_model,unknown
A0A915DFA9_taxID_166011_model,unknown
A0A915K057_taxID_13658_model,unknown
A0A915N8X1_taxID_6303_model,unknown
A0A917F9X2_taxID_1195761_model_A,unknown
A0A918UUM2_taxID_346377_model_A,unknown
A0A926ZFT3_taxID_2949571_model_A,unknown
A0A9D2WSC4_taxID_182264_model_A,unknown
A0A9N7UE72_taxID_8262_model,unknown
A0A9N8DN83_taxID_568900_model,unknown
A0A9N8WZP9_taxID_5518_model,unknown
A0A9P3PKR9_taxID_47721_model,unknown
A0A9P4TEG7_taxID_90978_model_A,unknown
A0A9P5AJD2_taxID_44412_model_A,unknown
A0A9P6GFF6_taxID_565426_model_A,unknown
A0A9P6HVN3_taxID_1095194_model,unknown
A0A9P6IHM1_taxID_1095194_model,unknown
A0A9P6LK99_taxID_1095194_model,unknown
A0A9P7H0N9_taxID_40199_model,unknown
A0A9P7UD37_taxID_1209932_model,unknown
A0A9P8ZYD0_taxID_152316_model,unknown
A0A9P9XQR7_taxID_1671311_model,unknown
A0A9W7G1T1_taxID_2557542_model,unknown
A0A9W8MAQ6_taxID_2828524_model_A,unknown
A0A9W9CD07_taxID_1932322_model,unknown
A0AA35SFX9_taxID_519541_model,unknown
A0AA36JK50_taxID_2562239_model,unknown
A0AA37L8J5_taxID_700344_model_A,unknown
A0AA39H3A8_taxID_289476_model,unknown
A0AA39UQR7_taxID_153913_model_A,unknown
A0AA88YDI9_taxID_66713_model,unknown
A0AA95F4Q0_taxID_3121368_model,unknown
A0AAD2E0S8_taxID_56036_model,unknown
A0AAD5SAV4_taxID_64517_model,unknown
A0AAD5T9G3_taxID_109957_model,unknown
A0AAD5U6Y0_taxID_447962_model,unknown
A0AAD5UGL0_taxID_261099_model,unknown
A0AAD5X3H5_taxID_64517_model,unknown
A0AAD7UG45_taxID_2483200_model,unknown
A0AAD9AGU9_taxID_1836956_model,unknown
A0AAD9KZ40_taxID_27915_model,unknown
A0AAD9QB69_taxID_6130_model,unknown
A0AAE0H7V4_taxID_1854472_model_A,unknown
A0AAE0HNE5_taxID_1854472_model_A,unknown
A0AAE0JIY1_taxID_94610_model,unknown
A0AAE3YLB9_taxID_137266_model_A,unknown
A0AAE8STA2_taxID_2041049_model,unknown
A0AAE8SXX8_taxID_2041049_model_A,unknown
A0AAI9YQA0_taxID_1209916_model,unknown
A0AAJ8BCI9_taxID_8187_model,unknown
A0AAN4PFQ7_taxID_293939_model,unknown
A0AAN5YXZ8_taxID_282268_model,unknown
A0AAN6JPW5_taxID_155126_model_A,unknown
A0AAN6PSA1_taxID_113614_model_A,unknown
A0AAU7B3G6_taxID_2997339_model,unknown
A0AAU9WFJ4_taxID_46732_model,unknown
A0AAU9WI44_taxID_46732_model,unknown
A0AAV2QDB1_taxID_48144_model,unknown
A0AAV3X2D7_taxID_2530354_model,unknown
A0AAV4IQ38_taxID_1093978_model,unknown
A0AAV7G5I4_taxID_161865_model,unknown
A0AAX6MJK2_taxID_292717_model,unknown
A0ABD0JMJ5_taxID_370345_model,unknown
A0ABD1H5D5_taxID_28513_model,unknown
A0ABN8CQB0_taxID_622444_model,unknown
A0ABN8LP07_taxID_104178_model,unknown
A0ABN8M8J6_taxID_104178_model,unknown
A0ABN8SN36_taxID_104178_model,unknown
A0ABP5WHK2_taxID_66879_model,unknown
A0ABP6PWQ7_taxID_111803_model,unknown
A0ABQ0CQG4_taxID_79588_model_A,unknown
A0ABQ0M0Y9_taxID_658473_model_A,unknown
A0ABR1WCT8_taxID_335842_model,unknown
A0ABR2XQ66_taxID_138064_model_A,unknown
A0ABR3V8J2_taxID_85995_model,unknown
A0ABR4BR18_taxID_86028_model,unknown
A0ABR4CSW7_taxID_86028_model,unknown
A0ABR4MVH6_taxID_2732419_model_A,unknown
A0ABR6YEY6_taxID_2762297_model_A,unknown
A0ABS1MHS4_taxID_2802282_model_A,unknown
A0ABU9X948_taxID_3143436_model,unknown
A0ABU9X9V4_taxID_3143436_model,unknown
A0ABW5MSE8_taxID_1775166_model,unknown
A0ABX2C6M7_taxID_2675748_model,unknown
A0ABY2RQH2_taxID_2571143_model,unknown
A0ACB1AT13_taxID_390850_model,unknown
A0ACB5RUU5_taxID_310453_model,unknown
A0ACB7PGA3_taxID_1854479_model_A,unknown
A0ACC1PD21_taxID_42375_model,unknown
A0ACC1PQ96_taxID_42375_model,unknown
A0ACC2HA47_taxID_75939_model,unknown
A0ACC2IGC0_taxID_749465_model_A,unknown
A0ACC2IIZ4_taxID_749465_model,unknown
A0ACC2IQ67_taxID_749465_model_A,unknown
A0ACC2IRA4_taxID_749465_model,unknown
A0ACC2S0A8_taxID_34485_model,unknown
A0ACC3C5E3_taxID_2788_model,unknown
A7SSF6_taxID_45351_model,unknown
A8N4B1_taxID_240176_model,unknown
B5RHQ6_taxID_515353_model,unknown
B9XQZ3_taxID_320771_model,unknown
D3BV93_taxID_670386_model_A,unknown
E7CLR6_taxID_34541_model,unknown
E7CLR7_taxID_34541_model,unknown
F0X9X8_taxID_655863_model,unknown
F0Y9F1_taxID_44056_model,unknown
F2UDJ6_taxID_946362_model,unknown
F6WL94_taxID_7719_model,unknown
K3X5C6_taxID_431595_model,unknown
P56826_taxID_6610_model,unknown
Q2HCB5_taxID_306901_model_A,unknown
Q5AZ38_taxID_227321_model,unknown
Q92LD3_taxID_266834_model,unknown
S0EJD0_taxID_1279085_model,unknown
W7TM70_taxID_72520_model,unknown
