accession,nres,ndom,chopping,confidence
A0A090LAX1,653,3,"32-392,410-451,532-635",0.881
A0A090LH51,661,4,"3-107,120-422,440-481,529-628",0.792
A0A090MKY8,727,2,"34-191,271-706",0.682
A0A090N5Z6,330,1,38-142_155-317,0.651
A0A091DE91,430,1,22-357,0.855
A0A091EJM4,522,1,27-324_327-458,0.686
A0A091EJW4,446,2,"105-287,299-441",0.671
A0A091EQ39,518,1,19-448,0.665
A0A091EQG7,528,2,"20-57,87-452",0.750
A0A091FU06,520,2,"27-308_391-456,321-390",0.562
A0A091GBZ3,449,2,"108-290,302-444",0.670
A0A091GGF7,529,2,"20-57,87-452",0.755
A0A091H384,454,2,"5-219,262-445",0.628
A0A091HA89,394,2,"20-295,296-393",0.648
A0A091HDB5,522,2,"29-311_421-458,324-418",0.578
A0A091HSS0,524,1,27-321_349-460,0.634
A0A091IFA6,528,1,20-452,0.692
A0A091ISS4,452,2,"5-219,262-444",0.635
A0A091IY37,520,1,26-456,0.708
A0A091JF89,529,2,"20-57,87-452",0.756
A0A091JYW2,518,1,26-455,0.713
A0A091K495,457,2,"5-219,262-445",0.636
A0A091K9P7,455,2,"20-226,234-452",0.624
A0A091L5Q5,452,2,"105-290,302-445",0.655
A0A091L9M2,506,1,26-442,0.749
A0A091LD51,394,2,"22-226,268-393",0.654
A0A091M3M6,504,1,25-439,0.701
A0A091MG12,274,1,20-226,0.682
A0A091MMY9,274,1,22-226,0.667
A0A091N6A9,449,2,"6-219,262-444",0.623
A0A091N6N3,522,2,"26-310_423-458,324-418",0.614
A0A091NYE1,423,1,4-359,0.799
A0A091P6C8,529,2,"20-23_87-91_93-452,24-57",0.724
A0A091P7E8,452,2,"4-219,302-445",0.560
A0A091P9Q0,411,1,4-347,0.845
A0A091Q771,515,1,29-451,0.702
A0A091QFD1,529,2,"20-57,87-452",0.748
A0A091QKA4,522,2,"27-311_417-458,324-416",0.587
A0A091QM34,457,2,"5-219,262-445",0.627
A0A091RH37,522,1,29-322_337-458,0.653
A0A091S066,529,1,20-23_29-29_31-31_89-89_95-452,0.713
A0A091SAS8,525,2,"29-312_436-461,327-421",0.584
A0A091T007,394,2,"20-226,268-393",0.660
A0A091TDY4,454,2,"2-216,259-442",0.627
A0A091TFJ5,417,1,12-353,0.846
A0A091TMG5,419,1,4-355,0.812
A0A091U7D6,457,2,"6-219,262-445",0.627
A0A091U7Y5,280,1,20-271,0.721
A0A091V703,346,2,"22-226,268-345",0.491
A0A091VK98,529,2,"20-57,87-452",0.761
A0A091W054,529,1,20-23_89-89_95-452,0.725
A0A091W550,449,2,"5-219,262-445",0.635
A0A091W941,457,2,"5-219,262-445",0.633
A0A091WPJ3,522,2,"27-310_421-458,324-418",0.585
A0A093CEX0,455,2,"20-195,206-452",0.642
A0A093CEY8,462,2,"29-206,216-458",0.643
A0A093CQX0,416,1,3-351,0.790
A0A093FE14,497,1,14-420,0.710
A0A093FW37,455,2,"26-206,216-451",0.664
A0A093G154,280,1,19-240,0.745
A0A093GEC8,452,2,"5-219,262-445",0.633
A0A093GMV7,529,1,22-452,0.687
A0A093H736,522,1,27-458,0.687
A0A093I3S2,529,2,"20-21_97-452,22-96",0.731
A0A093IJB5,452,2,"5-219,262-445",0.582
A0A093JA04,503,1,29-45_71-438,0.689
A0A093NFD8,529,2,"20-21_96-452,22-95",0.735
A0A093NYR8,457,2,"5-176,198-445",0.617
A0A093PRN0,452,2,"5-219,262-445",0.632
A0A093QDY2,394,3,"20-119_145-226,123-144_229-296,315-393",0.572
A0A093R256,416,1,2-352,0.823
A0A093R2N9,452,2,"5-219,262-445",0.630
A0A093RE66,529,1,20-23_96-452,0.724
A0A093V1Z2,581,2,"44-321,335-573",0.829
A0A093V313,577,2,"44-317,331-569",0.843
A0A093V4K7,411,1,36-183_264-407,0.692
A0A093VIP7,332,2,"9-255,263-308",0.559
A0A093XBB1,402,1,73-385,0.686
A0A093XMU4,635,2,"44-389,390-627",0.657
A0A094KB04,459,2,"6-219,262-445",0.626
A0A094KNZ4,394,2,"20-121_126-226,295-393",0.564
A0A094KVX1,529,1,22-452,0.684
A0A094ZEX3,485,2,"30-205,217-479",0.664
A0A095A866,196,1,1-182,0.868
A0A095CG52,379,2,"2-211,240-378",0.714
A0A096MND7,552,2,"25-305_450-488,306-449",0.510
A0A096P1J2,560,1,129-488,0.777
A0A097ZQG6,571,2,"115-411,439-570",0.851
A0A097ZQG8,571,2,"115-411,439-570",0.851
A0A097ZQH0,571,2,"115-411,439-570",0.851
A0A097ZQH2,573,2,"114-413,441-572",0.850
A0A097ZQH8,179,1,8-178,0.977
A0A097ZQH9,571,2,"115-411,439-570",0.851
A0A097ZQI1,119,1,36-118,0.713
A0A097ZQI2,571,2,"115-411,439-570",0.851
A0A098E091,387,1,27-173_207-386,0.590
A0A098SBM4,418,3,"10-221,236-313,324-417",0.956
A0A098VS40,421,1,49-420,0.704
A0A098VU05,410,2,"28-242_358-409,316-357",0.776
A0A098Y3K8,264,1,3-254,0.689
A0A098YAD9,294,2,"4-148,171-293",0.621
A0A099MZ46,571,3,"2-54,81-392,430-541",0.765
A0A099ZQM2,522,1,27-458,0.680
A0A099ZU00,419,2,"42-255,267-410",0.675
A0A099ZUV0,346,2,"20-296,315-345",0.608
A0A0A0A6E7,529,2,"20-57,87-452",0.753
A0A0A0AZE1,452,2,"5-219,262-445",0.584
A0A0A0B9F3,912,4,"9-292,303-408,413-851,876-911",0.873
A0A0A0D635,558,2,"37-395,419-555",0.619
A0A0A0F2E9,877,6,"2-251,263-371,376-573,574-702,704-802,822-865",0.907
A0A0A0HTK8,276,1,20-275,0.784
A0A0A0LRV2,304,1,6-265,0.783
A0A0A0LUI1,558,2,"79-399,433-556",0.901
A0A0A0LV27,406,2,"38-260,278-404",0.910
A0A0A0LXD0,577,2,"80-407,450-576",0.823
A0A0A0MTD3,233,2,"6-116,132-229",0.708
A0A0A1GL66,242,1,9-217,0.772
A0A0A1GND9,242,1,9-217,0.772
A0A0A1SZ60,630,2,"29-411,414-629",0.640
A0A0A1T2S7,569,2,"43-394,440-564",0.685
A0A0A1T3I6,552,2,"42-394,415-544",0.700
A0A0A1T7C1,359,1,37-200_219-358,0.685
A0A0A1T9R6,635,2,"43-395,493-622",0.779
A0A0A1TL71,613,2,"29-398,411-541",0.702
A0A0A1UIC4,182,1,2-176,0.812
A0A0A1UIL1,310,1,35-306,0.743
A0A0A1UJW0,615,3,"29-359,451-493,494-595",0.859
A0A0A1UJX2,356,1,28-355,0.729
A0A0A1UQ03,381,2,"2-65,68-380",0.631
A0A0A1V0A4,639,2,"33-253_362-402,255-361_406-633",0.698
A0A0A1V1E5,339,1,59-326,0.726
A0A0A1V7Z8,537,2,"42-391,406-529",0.698
