accession,status,af3_cu_dist,n_predicted_cu,predicted_cu_dist,cu_dist_diff,n_all_metals,cu1_prob,cu2_prob,error
A0A3N4IZV1,ok,4.35,2,3.27,-1.08,46,0.3,0.19,
A0A3P6TB98,ok,4.59,2,2.78,-1.81,23,0.93,0.91,
A0A3P7IMH7,ok,4.08,2,4.1,0.02,20,0.85,0.4,
A0A3Q2EEY2,ok,4.04,3,3.13,-0.91,35,0.85,0.69,
A0A484DM79,ok,3.74,2,2.41,-1.33,29,0.88,0.87,
A0A4P7N5I7,ok,4.29,4,2.53,-1.76,38,0.78,0.72,
A0A4P9YI11,ok,4.24,4,2.97,-1.27,25,0.98,0.69,
A0A4P9Z2E4,ok,4.11,3,2.28,-1.83,34,0.91,0.85,
A0A4Q4N7D9,ok,4.07,4,3.23,-0.84,23,0.97,0.95,
A0A4Q4SXW4,ok,3.91,2,3.13,-0.78,32,0.95,0.91,
A0A4R8PUJ5,ok,4.17,2,2.78,-1.39,19,0.89,0.87,
A0A4S2MMJ0,ok,4.1,2,4.04,-0.06,22,0.96,0.88,
A0A4V6QED0,ok,4.16,4,3.6,-0.56,35,0.73,0.6,
A0A507EJC1,only_1cu,4.24,1,,,34,0.71,,
A0A5N6LYM1,ok,3.94,3,3.67,-0.27,46,0.97,0.88,
A0A670ZVN6,ok,3.91,3,2.3,-1.61,28,0.89,0.8,
A0A670ZW57,ok,3.91,3,2.88,-1.03,25,0.93,0.86,
A0A673W637,ok,3.88,3,2.29,-1.59,26,0.92,0.85,
A0A6A6G5D8,ok,3.92,2,3.8,-0.12,24,0.94,0.83,
A0A6A6QJA3,only_1cu,4.04,1,,,35,0.88,,
A0A6A6TBA0,ok,4.6,2,4.39,-0.21,34,0.94,0.8,
A0A6A6VHS6,ok,4.17,3,3.59,-0.58,22,0.95,0.94,
A0A6C0HAV6,ok,4.83,3,2.39,-2.44,48,0.92,0.85,
A0A6G1MDZ6,ok,4.28,2,3.88,-0.4,39,0.85,0.2,
A0A6G5RE05,ok,4.21,3,3.99,-0.22,18,0.69,0.68,
A0A6H9UQ49,ok,4.29,3,2.33,-1.96,20,0.98,0.96,
A0A6I9PFY4,ok,3.73,2,3.14,-0.59,19,0.9,0.85,
A0A6J5X623,ok,3.87,3,2.97,-0.9,38,0.85,0.63,
A0A6P6PH11,ok,4.18,4,3.89,-0.29,20,0.9,0.81,
A0A6P7TQ10,ok,3.91,3,4.45,0.54,43,0.96,0.92,
A0A6V7XS50,ok,4.45,3,3.42,-1.03,10,0.46,0.45,
A0A6V8R0R1,ok,3.89,3,3.75,-0.14,17,0.93,0.78,
A0A7J6X8X7,ok,4.02,3,4.69,0.67,21,0.33,0.18,
A0A7J8VK94,ok,3.88,2,2.96,-0.92,37,0.72,0.59,
A0A7K5SBD0,ok,3.95,2,3.45,-0.5,23,0.82,0.36,
A0A7K5TKC5,ok,3.87,3,3.48,-0.39,31,0.59,0.46,
A0A7K6QEH7,ok,3.89,4,2.78,-1.11,30,0.94,0.85,
A0A7K9FEN0,ok,3.83,4,3.69,-0.14,35,0.87,0.73,
A0A7R9M988,ok,4.06,3,3.37,-0.69,20,0.8,0.61,
A0A7S2CAB6,ok,4.21,2,2.98,-1.23,24,0.91,0.82,
A0A7S2WEF6,ok,4.94,3,4.01,-0.93,39,0.99,0.6,
A0A7S3XKX0,ok,4.44,2,2.05,-2.39,35,0.93,0.8,
A0A7S4DDY2,ok,4.71,3,4.34,-0.37,29,0.79,0.76,
A0A7W7PTB6,only_1cu,4.18,1,,,15,0.37,,
A0A7W7ZLM5,ok,3.88,2,4.36,0.48,36,0.84,0.34,
A0A7X1JBZ8,only_1cu,3.84,1,,,19,0.46,,
A0A811ZGG6,ok,3.91,2,5.21,1.3,33,0.27,0.13,
A0A851NN87,ok,3.97,2,2.75,-1.22,24,0.93,0.8,
A0A8B6CPI6,ok,3.91,2,2.45,-1.46,33,0.7,0.67,
A0A8B6D2Y3,ok,4.18,3,4.15,-0.03,37,0.98,0.94,
A0A8B6DID9,ok,4.08,3,2.79,-1.29,39,0.57,0.5,
A0A8C6PKA3,ok,3.93,3,2.15,-1.78,35,0.9,0.87,
A0A8G1VJJ2,ok,3.88,3,2.04,-1.84,24,0.94,0.91,
A0A8H4KQ60,ok,4.05,5,2.28,-1.77,23,0.71,0.6,
A0A8H5JGL4,ok,4.09,3,2.65,-1.44,17,0.97,0.93,
A0A8H5WYS4,ok,4.42,2,3.72,-0.7,40,0.51,0.23,
A0A8I1B785,ok,3.97,3,2.7,-1.27,31,0.62,0.55,
A0A8S8ZSZ5,ok,4.03,3,3.26,-0.77,25,0.93,0.89,
A0A8T2UAP3,ok,3.75,3,2.33,-1.42,32,0.82,0.77,
A0A8T2UT99,ok,3.77,2,2.25,-1.52,28,0.98,0.97,
A0A8X7MT47,ok,3.88,3,2.52,-1.36,26,0.86,0.73,
A0A9D4U427,ok,4.06,3,2.2,-1.86,36,0.75,0.69,
A0A9N8NMX8,ok,4.19,3,4.5,0.31,20,0.92,0.88,
A0A9N9Z3J5,ok,4.13,2,4.15,0.02,21,0.91,0.79,
A0A9P0ERG8,ok,4.03,3,2.08,-1.95,23,0.99,0.98,
A0A9P3CPX6,ok,4.59,4,3.02,-1.57,32,0.66,0.46,
A0A9P4M4U2,ok,4.42,2,5.68,1.26,23,1.0,0.4,
A0A9P5K8K9,only_1cu,4.04,1,,,40,0.99,,
A0A9P7H0V2,ok,3.98,2,3.62,-0.36,23,0.97,0.81,
A0A9P7K585,ok,4.0,3,2.79,-1.21,18,0.94,0.81,
A0A9P8UW26,ok,4.08,3,2.3,-1.78,22,0.91,0.89,
A0A9P8YJY5,ok,4.16,2,3.3,-0.86,19,0.99,0.96,
A0A9P9AQ01,ok,4.01,3,2.91,-1.1,30,0.95,0.89,
A0A9P9BLZ6,ok,4.18,3,2.26,-1.92,21,0.88,0.73,
A0A9P9IXR3,ok,4.52,2,2.95,-1.57,29,0.71,0.64,
A0A9Q0WG28,ok,3.84,3,2.91,-0.93,31,0.55,0.52,
A0A9W8DS45,ok,3.86,4,3.04,-0.82,24,0.84,0.83,
A0A9W8R9U3,ok,4.28,2,2.49,-1.79,42,0.97,0.59,
A0A9W8U4P3,ok,4.1,2,3.16,-0.94,13,0.81,0.72,
A0A9W9BY78,ok,4.42,3,2.34,-2.08,32,0.77,0.77,
A0AA86RZU0,ok,3.98,4,2.69,-1.29,41,0.97,0.96,
A0AAD0RR47,ok,4.03,3,2.06,-1.97,38,0.86,0.8,
A0AAD1W2I8,ok,3.97,2,3.1,-0.87,28,0.47,0.42,
A0AAD2H6M4,ok,4.12,4,2.5,-1.62,34,0.61,0.59,
A0AAD4EYT8,ok,4.07,2,3.18,-0.89,28,0.87,0.87,
A0AAD6D6A6,ok,4.03,4,2.92,-1.11,51,0.84,0.73,
A0AAD9D0W8,ok,4.17,2,4.25,0.08,18,0.98,0.92,
A0AAE0HNM3,ok,4.7,3,2.32,-2.38,27,0.96,0.95,
A0AAI9ZH00,ok,3.87,3,3.98,0.11,20,0.97,0.9,
A0AAJ0EXH3,only_1cu,4.09,1,,,24,0.85,,
A0AAJ3LKX2,ok,4.21,2,2.95,-1.26,34,0.92,0.69,
A0AAJ6TLA8,ok,3.96,2,3.28,-0.68,29,0.67,0.45,
A0AAN6UAQ4,only_1cu,3.99,1,,,14,0.56,,
A0AAN6VZ72,ok,4.1,3,3.43,-0.67,20,0.97,0.97,
A0AAN7ADJ0,ok,4.08,3,3.81,-0.27,29,0.99,0.86,
A0AAN9ULJ2,ok,3.95,2,3.01,-0.94,17,0.94,0.94,
A0AAV0YZZ9,ok,3.86,2,3.26,-0.6,39,0.64,0.41,
A0AAV9WQK5,ok,3.99,4,2.1,-1.89,21,0.95,0.92,
A0AAW1NAD2,ok,4.05,2,2.98,-1.07,29,0.79,0.75,
A0AB34KA60,ok,4.12,3,1.99,-2.13,35,0.92,0.91,
A0ABD2FD23,ok,4.12,2,3.85,-0.27,35,0.94,0.72,
A0ABD2M4S6,ok,4.17,2,3.35,-0.82,35,0.67,0.62,
A7SSF6,ok,3.65,3,3.14,-0.51,53,0.96,0.56,
A8NQE7,ok,4.49,2,2.83,-1.66,16,0.78,0.55,
B6H6P3,ok,4.27,2,3.04,-1.23,18,0.97,0.95,
C9SWR4,ok,4.09,3,4.13,0.04,23,0.91,0.76,
D7FSG6,ok,4.52,2,3.79,-0.73,26,0.63,0.36,
E9D1H2,ok,4.06,2,3.25,-0.81,24,0.84,0.71,
F4PBI8,ok,4.36,2,3.15,-1.21,28,0.85,0.85,
F4RTV5,ok,4.08,3,2.37,-1.71,19,0.95,0.86,
H3GR62,ok,4.45,3,2.22,-2.23,37,0.95,0.93,
L0N6P7,ok,4.37,2,4.12,-0.25,14,0.97,0.97,
M1W198,ok,4.1,2,2.63,-1.47,47,0.94,0.9,
M3AH24,ok,4.12,2,2.88,-1.24,44,0.96,0.66,
Q0UVC7,ok,4.44,2,3.63,-0.81,24,0.97,0.79,
Q2H7D7,ok,4.02,2,2.79,-1.23,38,0.67,0.55,
Q868D0,only_1cu,3.97,1,,,33,0.69,,
Q8WN57,ok,3.91,2,3.77,-0.14,29,0.94,0.83,
Q9F1K7,ok,4.12,2,3.97,-0.15,17,0.97,0.87,
R1DV14,ok,4.03,2,2.23,-1.8,40,0.86,0.84,
S3ZAM0,ok,4.1,2,3.7,-0.4,19,0.91,0.88,
V9FDQ9,ok,3.79,2,3.16,-0.63,41,0.94,0.91,
