accession	n_neighbours	n_ustya	closest_ustya	n_melc1	has_TF_fungal	has_TF_bacterial	has_transporter	has_P450	has_OMT	has_biosynthetic	bgc_context	bgc_old
A0ACB0YFD1	20	0		0	0	0	1	0	0	0	none	none
A0ACB7IK85	20	0		0	0	0	0	0	0	0	none	none
A0ACC1K810	6	0		0	0	0	0	0	0	0	none	none
A0ACC1KJ20	1	0		0	0	0	0	0	0	0	none	none
A0ACC1LGB1	7	0		0	0	0	0	0	0	0	none	none
A0ACC1LIP9	1	0		0	0	0	0	0	0	0	none	none
A0ACC1M753	11	0		0	0	0	0	0	0	0	none	none
A0ACC1M7I5	8	0		0	0	0	0	0	0	0	none	none
A0ACC2UQA1	14	0		0	0	0	0	0	0	0	none	none
B8J766	20	0		0	0	0	1	0	0	0	none	none
V2X5U0	16	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
V2YHW2	5	0		0	0	0	0	0	0	0	none	none
