accession,trimmed_res,overall_plddt
A0A024FBC3,132,86.2
A0A024FR46,330,96.3
A0A024FS61,336,97.5
A0A024FZ14,345,94.4
A0A024GPM3,390,87.0
A0A024GR18,552,66.3
A0A024S4X8,372,94.2
A0A024SD58,300,95.9
A0A024SJR1,353,97.3
A0A024T832,80,90.3
A0A024T961,347,95.5
A0A024T9U4,359,95.4
A0A024TEL4,423,91.7
A0A024TMR4,337,96.6
A0A024TN69,333,96.5
A0A024TPQ1,319,74.3
A0A024TRP2,134,71.9
A0A024U9A0,156,74.3
A0A024UGQ1,466,92.0
A0A024UNS3,354,94.9
A0A024UP64,362,92.5
A0A024URD5,355,89.8
A0A058ZVU6,184,51.3
A0A058ZW33,324,95.7
A0A058ZX16,118,87.5
A0A059CCV1,337,97.0
A0A059CDE4,334,96.1
A0A059F260,237,97.7
A0A059JJQ6,356,94.8
A0A059TZU2,353,97.8
A0A059U1P9,353,97.7
A0A059UAM0,298,96.5
A0A060S6S8,361,94.8
A0A060SLI6,243,91.2
A0A060WMQ6,433,95.3
A0A060WUY0,432,94.7
A0A060X1G5,434,97.6
A0A060X8B7,425,88.4
A0A060XL10,439,90.2
A0A060ZAB7,101,56.1
A0A061DZ45,325,97.0
A0A061E0X0,325,97.3
A0A061E6S7,325,97.1
A0A061GEN3,330,96.8
A0A061GFI2,295,84.8
A0A061GFY3,339,97.4
A0A061GFY7,329,96.5
A0A061GMJ6,323,96.8
A0A061GMK1,303,91.7
A0A061HFI6,396,92.6
A0A061HSG6,363,93.9
A0A061IGF6,397,86.4
A0A062U9V8,272,92.4
A0A063BRM1,369,94.3
A0A066RUA7,291,92.3
A0A066WXF3,393,85.3
A0A066X3Q1,275,96.5
A0A066X6L4,304,98.0
A0A066X7V3,369,89.6
A0A066X846,352,97.9
A0A066X9U3,555,85.6
A0A066XLM3,376,96.5
A0A066XQD0,378,97.1
A0A066XSE1,374,96.9
A0A066XSY6,358,96.2
A0A066XW40,341,93.5
A0A066XWR5,348,91.1
A0A066XZ78,355,98.1
A0A066Y1D2,368,96.3
A0A066Y1V3,350,88.8
A0A066Z0K1,224,95.9
A0A067BLT8,312,92.6
A0A067BLZ4,405,88.9
A0A067BRT6,409,90.8
A0A067BTT5,325,95.2
A0A067BUS0,325,96.6
A0A067BX73,328,96.1
A0A067BZH5,324,96.2
A0A067C156,401,88.6
A0A067C4V3,231,69.2
A0A067C5L8,346,89.5
A0A067C631,324,95.9
A0A067CPX4,310,96.6
A0A067CT24,333,97.6
A0A067CXC8,425,95.7
A0A067CZT6,329,97.0
A0A067D5R2,409,90.2
A0A067D814,457,93.9
A0A067GK93,321,95.7
A0A067JAU2,333,96.4
A0A067MC03,317,97.3
A0A067MC09,316,98.0
A0A067ME78,315,70.4
A0A067MJR9,406,94.8
A0A067MN37,44,88.8
A0A067MSX0,367,96.1
A0A067N7R8,305,97.0
A0A067NHK1,158,95.4
A0A067NVB7,250,83.0
A0A067NXD0,323,93.1
A0A067PHP8,218,87.2
A0A067PPZ9,533,79.7
A0A067PSS3,203,81.9
A0A067S9C3,331,95.3
A0A067T9P6,303,98.2
A0A067TCE7,313,97.7
A0A067TKM5,364,95.5
A0A067XIX1,460,93.6
A0A068FAU8,207,93.4
A0A068NQY3,346,96.5
A0A068TU86,330,96.8
A0A068UD36,316,97.1
A0A068UEN7,326,95.5
A0A068UEP3,321,96.0
A0A068VB21,65,88.4
A0A068VBG9,177,60.2
A0A068VNV4,246,90.6
A0A069NJ99,227,97.6
A0A069P877,227,96.7
A0A069P8P9,224,96.9
A0A072P207,360,96.6
A0A072P5W0,346,96.9
A0A072P8W8,323,97.2
A0A072PCR1,387,95.9
A0A072PH66,176,72.6
A0A072PJG5,326,97.0
A0A072PV79,189,84.3
A0A072Q6Y5,236,95.5
A0A074RCL1,278,96.9
A0A074RG36,112,93.5
A0A074RJD3,302,93.1
A0A074RK37,307,84.7
A0A074RKY4,272,98.1
A0A074RLS0,276,98.0
A0A074RRF8,425,89.3
A0A074RSM2,281,98.0
A0A074RSY5,409,86.1
A0A074RTB9,315,97.4
A0A074RWE6,329,94.6
A0A074RXC0,305,93.4
A0A074RXE5,339,95.6
A0A074RXR6,317,97.2
A0A074RYB7,323,97.6
A0A074S0H8,281,96.8
A0A074S2B5,283,97.9
A0A074S7C5,355,84.7
A0A074S7W9,315,98.1
A0A074S897,302,98.0
A0A074S9M8,269,91.5
A0A074SA15,276,98.2
A0A074SDG0,292,93.4
A0A074SDL0,116,62.6
A0A074SFZ9,329,96.6
A0A074SK72,331,96.0
A0A074SK81,250,97.9
A0A074SUA9,289,95.4
A0A074VDT7,365,97.2
A0A074VGZ0,372,97.7
A0A074VI76,221,85.7
A0A074VIF5,381,95.9
A0A074W682,338,97.1
A0A074W6F3,220,87.7
A0A074WGJ9,366,95.9
A0A074WJS2,365,98.0
A0A074WWD6,372,97.6
A0A074X475,325,96.7
A0A074XC75,366,96.3
A0A074XNA1,337,94.8
A0A074XND5,319,70.9
A0A074XR97,368,97.3
A0A074XWE1,365,97.7
A0A074Y1Q9,325,97.8
A0A074YH07,337,96.9
A0A074YPA7,366,96.9
A0A074YPF6,365,97.9
A0A074YQS1,220,86.1
A0A074Z7G7,450,95.7
A0A074ZDD7,446,91.4
A0A074ZPR2,445,93.7
A0A075AU36,197,89.5
A0A075AX41,238,97.4
A0A075AYG4,251,91.2
A0A075AZW6,293,88.3
A0A075B1D3,300,85.3
A0A075BWS7,351,94.6
A0A075BX21,350,93.4
A0A075DN54,344,94.7
A0A075Q1C6,195,57.1
A0A075Q3G6,182,57.7
A0A075Q4B7,181,59.9
A0A075QBC7,195,57.1
A0A076FRB3,326,96.8
A0A076FRC0,179,93.7
A0A076FRN6,355,90.2
A0A076FRP2,349,90.2
A0A076FRP6,349,90.5
A0A076FT34,345,90.8
A0A076FX85,303,97.2
A0A076FX88,333,95.1
A0A076JQI5,335,93.7
A0A076KXK6,359,88.5
A0A077EN17,126,87.5
A0A077HD11,270,98.3
A0A077QRG5,195,73.6
A0A077R9S7,301,95.8
A0A077S4H3,330,97.0
A0A077YX65,286,96.0
A0A077Z814,312,90.4
A0A077ZFE0,418,79.2
A0A077ZGT3,354,91.2
A0A078AII6,385,88.2
A0A078ARQ6,243,81.5
A0A080Z0A1,374,94.6
A0A080ZC48,335,94.8
A0A080ZC49,273,93.0
A0A080ZVP8,320,97.0
A0A080ZVP9,326,95.5
A0A080ZVS2,464,92.6
A0A080ZVS5,504,80.2
A0A080ZVS7,425,83.9
A0A081AHF5,390,92.6
A0A081AVN2,372,93.8
A0A081AZP8,339,97.5
A0A081CKB9,301,97.3
A0A081XZW0,318,97.7
A0A084AF08,367,96.9
A0A084AJL7,293,94.1
A0A084AR48,376,96.9
A0A084AV30,353,97.0
A0A084AYI1,370,91.8
A0A084B2K4,304,98.3
A0A084B4D9,358,98.0
A0A084B663,331,89.1
A0A084B7G3,298,97.9
A0A084B8J4,314,98.1
A0A084BB06,274,96.3
A0A084FV28,391,88.1
A0A084FV70,314,97.1
A0A084G098,312,88.6
A0A084G330,356,89.2
A0A084G3K0,304,96.1
A0A084G593,365,84.2
A0A084G5H0,359,95.2
A0A084G6B5,380,97.6
A0A084G7S9,288,91.2
A0A084G7V9,328,97.9
A0A084G9G0,360,83.6
A0A084GCK1,321,97.6
A0A084GDW0,315,94.6
A0A084GGH5,368,90.5
A0A084GGL7,329,75.2
A0A084QC22,353,97.1
A0A084QCB8,304,98.3
A0A084QJ67,370,92.6
A0A084QQ18,358,97.9
A0A084QWG9,274,96.3
A0A084QX23,367,96.8
A0A084QY85,243,92.5
A0A084QZJ0,326,97.5
A0A084R0Y5,326,93.7
A0A084R149,298,97.8
A0A084R1I5,275,96.9
A0A085M8H3,355,92.9
A0A085N949,319,89.0
A0A085NCJ6,418,82.0
A0A086ADX6,293,97.7
A0A086J2K3,299,88.8
A0A086N2U2,285,97.6
A0A086SV08,354,96.8
A0A086T0Z5,342,87.0
A0A087QSF6,441,97.8
A0A087R0E2,430,95.7
A0A087RFL1,366,98.1
A0A087UWG6,153,86.6
A0A087UWG8,264,89.7
A0A087V2P2,433,98.0
A0A087X5L9,430,97.6
A0A087XJW4,433,89.4
A0A087XNB6,435,97.9
A0A087YDX2,354,97.3
A0A087YHH7,359,97.6
A0A089WYP0,269,98.4
A0A089X5M9,285,97.1
A0A090CH20,363,87.5
A0A090CL68,374,96.0
A0A090CMR9,333,98.0
A0A090CWC0,407,93.1
A0A090D4S5,317,97.6
A0A090KP27,294,82.8
A0A090L4G2,305,95.6
A0A090L5U2,362,92.3
A0A090LAX1,361,89.8
A0A090LH51,303,96.5
A0A090MKY8,158,91.9
A0A090N5Z6,280,97.8
A0A091DE91,336,91.0
A0A091EJM4,432,95.4
A0A091EJW4,337,98.1
A0A091EQ39,430,95.9
A0A091EQG7,366,98.0
A0A091FU06,430,91.9
A0A091GBZ3,337,97.5
A0A091GGF7,366,98.1
A0A091H384,441,97.9
A0A091HA89,374,94.6
A0A091HDB5,430,95.4
A0A091HSS0,434,96.1
A0A091IFA6,433,98.2
A0A091ISS4,440,97.8
A0A091IY37,431,89.9
A0A091JF89,366,98.1
A0A091JYW2,430,91.9
A0A091K495,441,97.8
A0A091K9P7,433,96.4
A0A091L5Q5,341,98.0
A0A091L9M2,417,94.0
A0A091LD51,372,93.7
A0A091M3M6,415,87.0
A0A091MG12,207,93.8
A0A091MMY9,205,93.7
A0A091N6A9,439,98.0
A0A091N6N3,433,94.8
A0A091NYE1,356,93.8
A0A091P6C8,433,98.2
A0A091P7E8,442,97.7
A0A091P9Q0,344,75.0
A0A091Q771,423,92.6
A0A091QFD1,366,97.8
A0A091QKA4,432,95.6
A0A091QM34,441,97.6
A0A091RH37,430,95.2
A0A091S066,433,98.0
A0A091SAS8,433,92.9
A0A091T007,374,84.6
A0A091TDY4,441,98.0
A0A091TFJ5,342,86.5
A0A091TMG5,352,86.6
A0A091U7D6,440,97.9
A0A091U7Y5,252,90.7
A0A091V703,324,96.4
A0A091VK98,366,98.2
A0A091W054,433,98.1
A0A091W550,441,97.9
A0A091W941,441,97.8
A0A091WPJ3,432,95.5
A0A093CEX0,433,98.2
A0A093CEY8,430,95.1
A0A093CQX0,349,83.1
A0A093FE14,407,97.5
A0A093FW37,426,93.3
A0A093G154,222,82.9
A0A093GEC8,441,97.8
A0A093GMV7,431,98.2
A0A093H736,432,95.9
A0A093I3S2,433,98.1
A0A093IJB5,441,97.7
A0A093JA04,410,93.4
A0A093NFD8,433,98.2
A0A093NYR8,441,97.9
A0A093PRN0,441,97.8
A0A093QDY2,374,94.8
A0A093R256,351,85.3
A0A093R2N9,441,97.9
A0A093RE66,433,98.1
A0A093V1Z2,278,69.9
A0A093V313,274,81.1
A0A093V4K7,372,96.6
A0A093VIP7,300,93.0
A0A093XBB1,313,94.7
A0A093XMU4,346,90.7
A0A094KB04,440,98.0
A0A094KNZ4,374,95.9
A0A094KVX1,431,98.2
A0A094ZEX3,450,95.2
A0A095A866,182,62.3
A0A095CG52,377,84.5
A0A096MND7,464,89.6
A0A096P1J2,360,97.4
A0A097ZQG6,297,97.0
A0A097ZQG8,297,97.2
A0A097ZQH0,297,97.4
A0A097ZQH2,300,95.7
A0A097ZQH8,171,98.0
A0A097ZQH9,297,97.4
A0A097ZQI1,83,58.3
A0A097ZQI2,297,97.2
A0A098E091,360,96.7
A0A098SBM4,212,69.6
A0A098VS40,372,85.5
A0A098VU05,382,58.6
A0A098Y3K8,252,95.4
A0A098YAD9,290,98.1
A0A099MZ46,312,90.3
A0A099ZQM2,432,96.4
A0A099ZU00,369,96.3
A0A099ZUV0,326,96.6
A0A0A0A6E7,366,98.0
A0A0A0AZE1,441,97.6
A0A0A0B9F3,284,95.8
A0A0A0D635,359,96.1
A0A0A0F2E9,250,94.0
A0A0A0HTK8,256,83.1
A0A0A0LRV2,260,65.0
A0A0A0LUI1,321,95.8
A0A0A0LV27,223,60.3
A0A0A0LXD0,328,96.8
A0A0A0MTD3,224,77.2
A0A0A1GL66,209,83.9
A0A0A1GND9,209,83.9
A0A0A1SZ60,383,94.5
A0A0A1T2S7,352,96.3
A0A0A1T3I6,353,92.0
A0A0A1T7C1,322,91.4
A0A0A1T9R6,353,96.2
A0A0A1TL71,370,94.4
A0A0A1UIC4,175,85.9
A0A0A1UIL1,272,98.1
A0A0A1UJW0,331,96.1
A0A0A1UJX2,328,98.2
A0A0A1UQ03,313,95.5
A0A0A1V0A4,370,90.3
A0A0A1V1E5,268,95.0
A0A0A1V7Z8,350,97.5
A0A0A1VA99,265,97.9
A0A0A1VAF9,265,97.6
A0A0A1YUC0,312,89.4
A0A0A2J1X4,323,95.0
A0A0A2JBW7,399,90.5
A0A0A2JEJ9,370,96.9
A0A0A2JPW5,319,93.2
A0A0A2JVP7,274,97.9
A0A0A2KL20,370,96.9
A0A0A2KWA6,323,95.0
A0A0A2LDC3,397,90.5
A0A0A2VDR5,337,82.4
A0A0A2VJT0,375,94.0
A0A0A2VR17,357,85.4
A0A0A2VY68,347,97.3
A0A0A2VYA5,319,93.3
A0A0A2W0H5,265,97.2
A0A0A2WKA0,308,93.7
A0A0A2X4S5,285,96.8
A0A0A3XNH3,375,83.6
A0A0A3XV83,317,96.7
A0A0A6DAA9,281,97.2
A0A0A6UDS1,275,97.6
A0A0A6UH53,266,98.2
A0A0A6UH99,266,98.2
A0A0A6UK08,266,98.3
A0A0A7CLR3,409,92.1
A0A0A7CLT5,306,96.9
A0A0A7CM13,324,95.0
A0A0A7CM93,323,96.3
A0A0A7CMA7,322,96.7
A0A0A7CMC8,331,90.7
A0A0A7CN07,311,93.3
A0A0A7CN79,323,96.9
A0A0A7CNE6,316,97.2
A0A0A7CNM6,337,94.1
A0A0A7CNP6,312,94.9
A0A0A7CP65,305,90.3
A0A0A7CP77,291,83.3
A0A0A7CPE6,455,88.6
A0A0A7CPF4,276,83.6
A0A0A7DL33,285,96.1
A0A0A7DY95,187,77.2
A0A0A7DY96,169,69.9
A0A0A7DY97,173,93.2
A0A0A7DY99,187,69.3
A0A0A7DYA3,169,69.9
A0A0A7DYA5,187,68.8
A0A0A7DYB0,187,71.6
A0A0A7DYB3,188,94.0
A0A0A7DYB6,187,71.6
A0A0A7DYB8,188,70.7
A0A0A7DYC0,188,67.8
A0A0A7DYC1,187,67.5
A0A0A7DYD4,174,94.0
A0A0A7DZ37,187,73.5
A0A0A7DZ43,188,72.3
A0A0A7DZ50,187,77.2
A0A0A7DZ51,187,66.8
A0A0A7DZ68,188,81.6
A0A0A7DZ87,188,74.1
A0A0A7LUI0,128,85.1
A0A0A7LUI6,128,86.1
A0A0A7LUL2,128,84.3
A0A0A7LUP6,128,83.9
A0A0A7LUQ1,128,85.6
A0A0A7LUS3,128,84.3
A0A0A7LUW5,128,87.0
A0A0A7LUY3,129,86.0
A0A0A7LWY1,128,87.0
A0A0A7LWZ0,128,87.0
A0A0A7LWZ3,128,84.9
A0A0A7LZ67,128,85.6
A0A0A8JDA9,142,91.7
A0A0A8JF18,123,91.0
A0A0A9B4Z2,115,78.3
A0A0A9H6D8,346,94.3
A0A0B1P7B6,246,50.7
A0A0B1PD39,372,94.3
A0A0B1RUA0,70,46.9
A0A0B1S158,100,63.9
A0A0B1S446,115,91.0
A0A0B1ST85,220,72.4
A0A0B1SX71,341,93.1
A0A0B1SXC6,66,85.3
A0A0B1T731,74,71.2
A0A0B1T920,287,67.5
A0A0B1TA76,89,74.3
A0A0B1TC96,370,92.2
A0A0B1TGX5,241,63.0
A0A0B1TH81,94,92.0
A0A0B1THY4,131,92.6
A0A0B1TJU4,356,91.9
A0A0B1TMI8,313,93.5
A0A0B1TP91,228,79.9
A0A0B2P1N0,305,96.8
A0A0B2P669,274,87.2
A0A0B2PDF7,274,93.7
A0A0B2PHV4,318,88.8
A0A0B2PIC8,265,72.2
A0A0B2RGX4,323,95.4
A0A0B2SNE1,335,94.9
A0A0B2SNW5,321,96.7
A0A0B2SP68,338,95.9
A0A0B2UX79,275,92.7
A0A0B2V4Z1,304,96.2
A0A0B2V753,354,94.1
A0A0B2V9B8,106,70.5
A0A0B2V9F1,128,84.3
A0A0B2VDU0,363,94.7
A0A0B2VHS7,266,95.5
A0A0B2VUC6,322,96.2
A0A0B2VVI5,405,92.8
A0A0B2WQI7,371,94.5
A0A0B2WZV7,142,96.4
A0A0B2X1U6,364,90.7
A0A0B2X5L4,79,83.2
A0A0B2XHY5,265,97.9
A0A0B4EB98,313,95.2
A0A0B4EN03,549,88.2
A0A0B4F0K9,350,97.5
A0A0B4FA01,215,86.1
A0A0B4FMW4,399,90.1
A0A0B4FP45,350,97.1
A0A0B4G3L8,311,97.4
A0A0B4GIZ3,261,90.1
A0A0B4GNB7,351,98.1
A0A0B4H3N4,401,90.0
A0A0B4H7C0,234,52.0
A0A0B4H7V4,399,91.3
A0A0B4H8D6,213,86.8
A0A0B4HCA4,351,97.0
A0A0B4IAB3,265,97.3
A0A0B4U9A9,151,75.6
A0A0B4UAS8,129,88.3
A0A0B4XAD1,266,96.1
A0A0B5A833,132,85.3
A0A0B5A835,132,85.4
A0A0B5A836,132,92.9
A0A0B5A839,126,78.2
A0A0B5A961,163,71.8
A0A0B5A967,132,85.9
A0A0B5A972,132,93.7
A0A0B5ABT8,147,75.7
A0A0B5ABU1,132,78.0
A0A0B5ABU6,133,86.0
A0A0B5ABV1,132,88.6
A0A0B5ACL1,153,74.5
A0A0B5ACL4,133,85.6
A0A0B5ACL8,132,88.6
A0A0B5ACM3,132,91.8
A0A0B5AE89,132,87.5
A0A0B5AE94,132,90.6
A0A0B5AEA0,132,86.8
A0A0B5D7C0,446,97.0
A0A0B5EPG7,284,97.9
A0A0B5F6T3,258,98.0
A0A0B5IBE8,285,97.7
A0A0B6AQS6,284,98.1
A0A0B6XZM6,190,88.6
A0A0B6YEN1,100,90.5
A0A0B6YS12,156,89.6
A0A0B6ZSD5,63,80.3
A0A0B7A0D2,297,91.0
A0A0B7A1Q5,268,97.4
A0A0B7A255,272,91.5
A0A0B7AFX7,280,94.2
A0A0B7AGB0,198,94.0
A0A0B7AKX4,79,85.9
A0A0B7AML2,32,95.1
A0A0B7AMR8,278,91.0
A0A0B7BDN3,201,88.6
A0A0B7BFK4,301,91.3
A0A0B7BG04,121,91.2
A0A0B7BQM1,61,73.7
A0A0B7BRF7,173,93.5
A0A0B7BRG2,190,93.9
A0A0B7BRG5,48,78.4
A0A0B7C4D3,88,90.3
A0A0B7F0F6,335,97.9
A0A0B7F0G8,331,98.5
A0A0B7F0N2,328,98.4
A0A0B7F0Q1,328,98.3
A0A0B7F1Z6,321,96.3
A0A0B7F229,292,97.7
A0A0B7F3K0,284,95.8
A0A0B7F5A8,283,98.2
A0A0B7F7A3,287,97.9
A0A0B7F8H0,278,97.2
A0A0B7FCB0,276,97.9
A0A0B7FFE4,212,96.9
A0A0B7FGN3,278,97.1
A0A0B7FL26,351,85.9
A0A0B7FN78,329,96.6
A0A0B7FQ89,317,97.9
A0A0B7FQF4,178,79.5
A0A0B7FR21,189,96.6
A0A0B7FSE1,296,85.7
A0A0B7FT97,419,89.0
A0A0B7FUX7,339,96.3
A0A0B7FUY2,339,97.2
A0A0B7FY08,356,88.5
A0A0B7G165,328,97.8
A0A0B7G340,280,97.3
A0A0B7G4H1,136,81.0
A0A0B7JIX7,373,90.9
A0A0B7JMD6,379,93.0
A0A0B7JS93,363,96.1
A0A0B7K4V5,367,94.8
A0A0B7K6S2,353,96.1
A0A0B7K6S7,360,97.2
A0A0B7K9E9,329,96.3
A0A0B7KA41,302,98.1
A0A0B7KAK2,292,97.8
A0A0B7KF68,293,97.3
A0A0B7KF87,316,97.0
A0A0B7KFX7,394,79.2
A0A0B7KHL5,361,96.9
A0A0B7KKI3,119,74.6
A0A0B7KKW5,96,77.9
A0A0C1NKB8,382,90.7
A0A0C2CAX1,83,87.7
A0A0C2D4H8,89,84.8
A0A0C2DA01,96,94.3
A0A0C2DDH5,340,77.8
A0A0C2DE73,82,60.2
A0A0C2DYT4,196,83.1
A0A0C2E179,154,60.1
A0A0C2E240,181,56.3
A0A0C2EVM1,395,89.1
A0A0C2EWN4,307,96.7
A0A0C2F7M2,275,97.8
A0A0C2F903,383,94.9
A0A0C2FYP6,72,93.3
A0A0C2G9S5,301,90.8
A0A0C2GCU9,76,66.0
A0A0C2GMT1,284,87.1
A0A0C2GVC1,299,77.1
A0A0C2GX57,205,94.9
A0A0C2H139,150,84.8
A0A0C2H351,75,61.8
A0A0C2H4J8,136,89.4
A0A0C2H9D1,144,83.6
A0A0C2HHH6,326,91.4
A0A0C2IEJ5,348,96.7
A0A0C2IES4,306,96.3
A0A0C2IMK2,372,97.0
A0A0C2W6Y7,371,92.0
A0A0C2W7D5,400,93.2
A0A0C2WNA9,304,79.0
A0A0C2WPB2,356,86.9
A0A0C2WPJ7,350,90.4
A0A0C2WY12,362,89.9
A0A0C2X1R3,353,89.3
A0A0C2XCT6,201,77.4
A0A0C2XG69,349,91.1
A0A0C2YBV3,365,94.9
A0A0C2ZYB9,316,60.8
A0A0C3AKS7,400,90.7
A0A0C3ARA1,390,91.8
A0A0C3ASP0,311,96.9
A0A0C3B3A9,344,95.3
A0A0C3B3T5,174,72.5
A0A0C3B6I5,398,88.8
A0A0C3B766,315,98.3
A0A0C3B7P4,350,90.5
A0A0C3BJQ5,310,93.2
A0A0C3CP60,339,98.1
A0A0C3CRE9,305,97.7
A0A0C3D1N7,361,94.6
A0A0C3DMT8,369,97.0
A0A0C3EEV9,185,88.3
A0A0C3F7Q7,240,89.3
A0A0C3FFF8,330,97.2
A0A0C3FFN2,239,76.6
A0A0C3FR79,308,94.5
A0A0C3FV27,156,39.6
A0A0C3FYC4,331,97.8
A0A0C3FYC9,135,62.8
A0A0C3GI02,271,98.1
A0A0C3H1J4,361,96.0
A0A0C3H2L9,336,94.8
A0A0C3JRY4,246,59.9
A0A0C3JW09,202,45.2
A0A0C3JWD6,405,83.8
A0A0C3LFR5,348,96.0
A0A0C3NCS7,336,93.2
A0A0C3P2N1,405,87.5
A0A0C3PGK8,192,87.0
A0A0C3Q4S8,376,94.1
A0A0C3Q5J6,322,74.4
A0A0C3QVQ1,333,96.4
A0A0C3RQX3,373,89.8
A0A0C3S3B5,329,91.0
A0A0C4DI87,304,98.1
A0A0C4DNP1,359,97.7
A0A0C4DNS3,262,97.8
A0A0C4DNU4,316,97.6
A0A0C4DWW6,320,97.9
A0A0C4DX73,356,97.4
A0A0C4DY08,267,88.1
A0A0C4DYF2,387,96.3
A0A0C4DYX4,325,98.1
A0A0C4E0P1,347,88.0
A0A0C4E313,374,93.1
A0A0C4E3X1,280,97.7
A0A0C4E530,369,96.3
A0A0C4E8A2,297,95.9
A0A0C4ECI4,349,97.6
A0A0C4ECU2,282,94.4
A0A0C4EEL6,195,90.7
A0A0C4EFA8,231,87.2
A0A0C4ERW9,213,83.8
A0A0C4F9W5,221,89.8
A0A0C5G0L4,285,97.4
A0A0C9S6R6,321,96.6
A0A0C9SL04,314,96.5
A0A0C9SMC2,365,94.7
A0A0C9SRH3,314,95.9
A0A0C9SUN8,191,85.1
A0A0C9SXL2,138,61.3
A0A0C9T1I0,165,94.1
A0A0C9TIX5,185,85.3
A0A0C9TQW6,410,92.0
A0A0C9TZW6,407,96.7
A0A0C9U854,317,70.6
A0A0C9USP9,266,90.1
A0A0C9UT30,275,82.5
A0A0C9V9W8,330,67.5
A0A0C9VHR2,269,79.6
A0A0C9VSL0,231,63.6
A0A0C9VWG7,350,69.4
A0A0C9W3M0,368,95.3
A0A0C9W3X0,330,95.5
A0A0C9W5Z2,345,91.0
A0A0C9WCY2,78,81.6
A0A0C9WDK0,177,95.6
A0A0C9WFQ9,88,68.0
A0A0C9WXQ7,340,96.2
A0A0C9XE26,305,96.8
A0A0C9YP62,189,88.3
A0A0C9Z2J2,107,76.5
A0A0C9Z647,419,94.1
A0A0C9ZMD3,286,76.2
A0A0C9ZZ45,174,44.8
A0A0D0AGR4,197,70.6
A0A0D0AL52,206,88.6
A0A0D0AMS9,161,94.6
A0A0D0C0C7,96,71.2
