product	n_queries	freq_all	freq_with_data	total
pfs domain-containing protein	2	0.014	0.025	2
nacht domain protein	2	0.014	0.025	2
putative nonribosomal peptide synthase	2	0.014	0.025	2
phenylacetate--coa ligase family protein	2	0.014	0.025	4
serine acetyltransferase	2	0.014	0.025	2
lipopolysaccharide biosynthesis protein	2	0.014	0.025	2
amp-binding protein	2	0.014	0.025	2
o-antigen ligase family protein	2	0.014	0.025	2
nucleotide sugar dehydrogenase	2	0.014	0.025	2
acyl carrier protein	2	0.014	0.025	2
serine hydrolase	2	0.014	0.025	2
amino acid/polyamine transporter i	2	0.014	0.025	2
major facilitator superfamily transporter	2	0.014	0.025	2
gnat family n-acetyltransferase	2	0.014	0.025	2
nad-dependent epimerase/dehydratase family protein	2	0.014	0.025	2
amino acid transporter	2	0.014	0.025	3
alpha-rhamnosidase	2	0.014	0.025	2
isocitrate dehydrogenase [nad] catalytic subunit 5	2	0.014	0.025	2
putative quinate permease	2	0.014	0.025	2
putative uncharacterized oxidoreductase	2	0.014	0.025	2
cuticle-degrading protease	2	0.014	0.025	2
upf0676 protein	2	0.014	0.025	2
beta-glucosidase 1a	2	0.014	0.025	2
fumarate reductase 1	2	0.014	0.025	2
pyridoxal phosphate-dependent transferase	2	0.014	0.025	2
nadp-dependent oxidoreductase domain-containing protein	2	0.014	0.025	2
hydrophobin-251	2	0.014	0.025	2
aryl-alcohol dehydrogenase	2	0.014	0.025	2
acyltransferase	2	0.014	0.025	2
fad binding domain-containing protein	2	0.014	0.025	2
zn(ii)2cys6 transcription factor	2	0.014	0.025	2
deah-box atp-dependent rna helicase prp22	2	0.014	0.025	2
syntaxin binding protein 1	2	0.014	0.025	2
rna helicase	2	0.014	0.025	2
ubiquinol--cytochrome-c reductase catalytic subunit rip1	2	0.014	0.025	2
alpha-l-arabinofuranosidase b	2	0.014	0.025	2
xylose isomerase domain-containing protein tim barrel	2	0.014	0.025	2
set domain-containing protein	2	0.014	0.025	2
d-tagatose 3-epimerase	2	0.014	0.025	2
glycoside hydrolase family 3 n-terminal domain-containing protein	2	0.014	0.025	2
tonb-dependent receptor domain-containing protein	2	0.014	0.025	2
quinone oxidoreductase	1	0.007	0.012	1
putative monooxygenase	1	0.007	0.012	1
protein phosphatase 1 regulatory inhibitor subunit 16a	1	0.007	0.012	1
choline transport protein	1	0.007	0.012	1
atp-binding cassette transporter	1	0.007	0.012	1
nadph dehydrogenase	1	0.007	0.012	1
transposase dde domain-containing protein	1	0.007	0.012	3
c-terminal processing protease ctpa/prc, contains a pdz domain	1	0.007	0.012	1
peptidase family s41	1	0.007	0.012	1
cysteine-rich domain-containing protein	1	0.007	0.012	1
phospholipid/cholesterol/gamma-hch transport system substrate-binding protein	1	0.007	0.012	1
d-alanyl-lipoteichoic acid acyltransferase dltb, mboat superfamily	1	0.007	0.012	1
glycosyltransferase involved in cell wall bisynthesis	1	0.007	0.012	2
chitodextrinase	1	0.007	0.012	1
outer membrane receptor proteins, mostly fe transport	1	0.007	0.012	1
winged helix-turn helix	1	0.007	0.012	1
membrane protein involved in the export of o-antigen and teichoic acid	1	0.007	0.012	1
carbamoyl-phosphate synthase large subunit	1	0.007	0.012	1
asparagine synthase (glutamine-hydrolysing)	1	0.007	0.012	1
gdpmannose 4,6-dehydratase	1	0.007	0.012	1
outer membrane protein ompa	1	0.007	0.012	1
sugar-transfer associated atp-grasp	1	0.007	0.012	2
poly(glycerol-phosphate) alpha-glucosyltransferase	1	0.007	0.012	1
capsular polysaccharide biosynthesis glycosyltransferase capm	1	0.007	0.012	1
putative sugar transferase epsl	1	0.007	0.012	1
putative membrane protein epsk	1	0.007	0.012	1
putative alginate o-acetylase algi	1	0.007	0.012	1
phenylacetate--coa ligase	1	0.007	0.012	1
general stress protein	1	0.007	0.012	1
chitinase	1	0.007	0.012	1
flippase	1	0.007	0.012	1
asparagine synthase (glutamine-hydrolyzing)	1	0.007	0.012	1
duf501 domain-containing protein	1	0.007	0.012	1
calcium/proton exchanger	1	0.007	0.012	1
aspartate transaminase	1	0.007	0.012	1
zinc-containing alcohol dehydrogenase	1	0.007	0.012	1
kynurenine aminotransferase	1	0.007	0.012	1
tannase and feruloyl esterase	1	0.007	0.012	1
phenylalanine ammonia-lyase	1	0.007	0.012	1
e3 ubiquitin ligase complex scf subunit sconc	1	0.007	0.012	1
trimeric lpxa-like protein	1	0.007	0.012	1
opt oligopeptide transporter	1	0.007	0.012	1
putative pectin lyase d	1	0.007	0.012	1
sodium/calcium exchanger protein-domain-containing protein	1	0.007	0.012	1
fungal-specific transcription factor domain-domain-containing protein	1	0.007	0.012	1
coa-transferase family iii domain-containing protein	1	0.007	0.012	1
mfs general substrate transporter	1	0.007	0.012	1
aegerolysin type hemolysin	1	0.007	0.012	1
alpha/beta hydrolase family-domain-containing protein	1	0.007	0.012	1
suppressor of the cold-sensitive snrnp bioproteinsis mutant brr1-1	1	0.007	0.012	1
corticosteroid- binding protein	1	0.007	0.012	1
sphingolipid c9-methyltransferase 1	1	0.007	0.012	1
low-density lipoprotein receptor-related protein 5	1	0.007	0.012	1
15-hydroxyprostaglandin dehydrogenase	1	0.007	0.012	1
peroxisomal membrane protein lpx1	1	0.007	0.012	1
putative transcriptional regulatory protein yjl206c	1	0.007	0.012	1
glucan 1,3-beta-glucosidase	1	0.007	0.012	1
killer toxin subunits alpha/beta	1	0.007	0.012	1
kinesin light chain	1	0.007	0.012	1
ankyrin-2	1	0.007	0.012	1
succinyl-coa--l-malate coa-transferase beta subunit	1	0.007	0.012	1
terrelysin	1	0.007	0.012	1
l-carnitine dehydrogenase	1	0.007	0.012	1
uncharacterized transporter c460.05	1	0.007	0.012	1
atpase family aaa domain-containing protein 3	1	0.007	0.012	1
fumarylacetoacetate hydrolase family protein	1	0.007	0.012	1
metal ion binding	1	0.007	0.012	1
putative zinc finger c2h2-type protein	1	0.007	0.012	1
cytochrome p450 alkane hydroxylase-like protein	1	0.007	0.012	1
2-hydroxyacylsphingosine 1-beta-galactosyltransferase	1	0.007	0.012	1
gb	1	0.007	0.012	1
wd domain-containing protein	1	0.007	0.012	1
hydantoinase b/oxoprolinase-domain-containing protein	1	0.007	0.012	1
gnat domain-containing protein	1	0.007	0.012	1
mss4-like protein	1	0.007	0.012	1
putative siderophore esterase	1	0.007	0.012	1
l-aspartase-like protein	1	0.007	0.012	1
o-methyltransferase	1	0.007	0.012	1
bifunctional chorismate synthase/riboflavin reductase [nad(p)h] aro2	1	0.007	0.012	1
amino acid permease-domain-containing protein	1	0.007	0.012	1
actin-domain-containing protein	1	0.007	0.012	1
nse1 non-smc component of smc5-6 complex-domain-containing protein	1	0.007	0.012	1
aromatic prenyltransferase	1	0.007	0.012	1
domain of kin17 curved dna-binding protein-domain-containing protein	1	0.007	0.012	1
amino acid permease	1	0.007	0.012	1
putative endo-1,4-beta-xylanase a	1	0.007	0.012	1
histone-fold-containing protein	1	0.007	0.012	1
putative alpha/beta fold family hydrolase	1	0.007	0.012	1
ergosterol biosynthesis erg4/erg24 family-domain-containing protein	1	0.007	0.012	1
tryptophan dimethylallyltransferase-domain-containing protein	1	0.007	0.012	1
ankyrin repeat-containing domain protein	1	0.007	0.012	1
mboat family protein	1	0.007	0.012	1
3'(2'),5'-bisphosphate nucleotidase cysq	1	0.007	0.012	1
adenylyl-sulfate kinase	1	0.007	0.012	1
udp-n-acetylglucosamine 2-epimerase (non-hydrolyzing)	1	0.007	0.012	2
carbamoyltransferase	1	0.007	0.012	1
polysaccharide biosynthesis protein	1	0.007	0.012	1
duf2061 domain-containing protein	1	0.007	0.012	1
3-hydroxyisobutyrate dehydrogenase	1	0.007	0.012	1
putative isoamyl alcohol oxidase	1	0.007	0.012	1
putative glutaminyl-peptide cyclotransferase	1	0.007	0.012	1
chaperonin 10-like protein	1	0.007	0.012	1
para-hydroxybenzoate--polyprenyltransferase, mitochondrial precursor (phb:polyprenyltransferase)	1	0.007	0.012	1
chitin synthase, class 5	1	0.007	0.012	1
pectin lyase fold/virulence factor	1	0.007	0.012	1
amidohydrolase 2	1	0.007	0.012	1
calcium-translocating p-type atpase	1	0.007	0.012	1
flavocytochrome c	1	0.007	0.012	1
subtilase	1	0.007	0.012	1
glycosyl hydrolase family 43 protein	1	0.007	0.012	1
subtilisin-like serine protease pr1c	1	0.007	0.012	1
isocitrate dehydrogenase (nad(+))	1	0.007	0.012	1
sexual development protein	1	0.007	0.012	1
gibberellin 3-beta	1	0.007	0.012	1
proteinase t	1	0.007	0.012	1
fumarate reductase 2	1	0.007	0.012	1
raucaffricine-o-beta-d-glucosidase	1	0.007	0.012	1
c2h2 finger domain transcription factor con7	1	0.007	0.012	1
zinc finger protein msn2	1	0.007	0.012	1
oligosaccharide flippase family protein	1	0.007	0.012	1
putative benzoate 4-monooxygenase cytochrome p450	1	0.007	0.012	1
aldehyde dehydrogenase domain-containing protein	1	0.007	0.012	1
yhhn-like protein	1	0.007	0.012	1
sgnh hydrolase-type esterase domain-containing protein	1	0.007	0.012	1
c2h2 finger domain-containing protein	1	0.007	0.012	1
heterotrimeric g-protein beta subunit	1	0.007	0.012	1
rasgef protein	1	0.007	0.012	1
thioredoxin-like protein	1	0.007	0.012	1
u1 small nuclear ribonucleoprotein of 70kda mw n terminal-domain-containing protein	1	0.007	0.012	1
fad binding domain of dna photolyase-domain-containing protein	1	0.007	0.012	1
urb2/npa2 family-domain-containing protein	1	0.007	0.012	1
triosephosphate isomerase	1	0.007	0.012	1
acyl-coa n-acyltransferase	1	0.007	0.012	1
autophagy-related protein	1	0.007	0.012	1
longin-like domain-containing protein	1	0.007	0.012	1
scytalone dehydratase	1	0.007	0.012	1
peroxin-3	1	0.007	0.012	1
autophagy-related protein 16	1	0.007	0.012	1
gns1/sur4 family-domain-containing protein	1	0.007	0.012	1
putative nucleoside transporter	1	0.007	0.012	1
gmc oxidoreductase	1	0.007	0.012	1
histone-lysine n-methyltransferase, h3 lysine-79 specific	1	0.007	0.012	1
5'-nucleotidase	1	0.007	0.012	1
lysm domain-containing protein	1	0.007	0.012	1
glycosyl hydrolases family 18-domain-containing protein	1	0.007	0.012	1
phenol oxidase a	1	0.007	0.012	1
abc transporter	1	0.007	0.012	1
calycin-like protein	1	0.007	0.012	1
serine hydrolase fsh	1	0.007	0.012	1
permease for cytosine/purines, uracil, thiamine, allantoin-domain-containing protein	1	0.007	0.012	1
glycoside hydrolase superfamily	1	0.007	0.012	1
putative nad binding rossmann fold oxidoreductase	1	0.007	0.012	1
transferase	1	0.007	0.012	1
family 9 polysaccharide lyase	1	0.007	0.012	1
c6 zinc finger protein	1	0.007	0.012	1
glycosyltransferase family 64 protein	1	0.007	0.012	1
ww domain-containing oxidoreductase	1	0.007	0.012	1
atp dependent dna ligase domain protein	1	0.007	0.012	1
rna interference and gene silencing protein	1	0.007	0.012	1
fungal-specific transcription factor	1	0.007	0.012	1
triose-phosphate transporter family-domain-containing protein	1	0.007	0.012	1
translation initiation factor 1a	1	0.007	0.012	1
component of the polarisome	1	0.007	0.012	1
translation machinery-associated protein 22	1	0.007	0.012	1
sister chromatid cohesion protein 1	1	0.007	0.012	1
pre-mrna-processing factor 6	1	0.007	0.012	1
leucyl aminopeptidase ysciv	1	0.007	0.012	1
histone deacetylase hda1	1	0.007	0.012	1
4-coumarate--coa ligase-like 5	1	0.007	0.012	1
mitochondrial 2-enoyl thioester reductase	1	0.007	0.012	1
h(+)-transporting v0 sector atpase subunit a	1	0.007	0.012	1
translation initiation factor eif-2b subunit gamma	1	0.007	0.012	1
atpase, v1/a1 complex, subunit e	1	0.007	0.012	1
oxidoreductase	1	0.007	0.012	1
glyoxalase/bleomycin resistance protein/dihydroxybiphenyl dioxygenase	1	0.007	0.012	1
up in starvation	1	0.007	0.012	1
mitochondrial metal transporter	1	0.007	0.012	1
prkr-interacting protein 1	1	0.007	0.012	1
tfiih complex serine/threonine-protein kinase subunit kin28	1	0.007	0.012	1
putative cell survival pathways protein	1	0.007	0.012	1
atpase v1/a1 complex subunit e	1	0.007	0.012	1
glycoside hydrolase family 16 protein	1	0.007	0.012	1
camk/rad53 protein kinase	1	0.007	0.012	1
capsular polysaccharide biosynthesis protein	1	0.007	0.012	2
glycosyl transferase	1	0.007	0.012	1
beta-n-acetylglucosaminidase	1	0.007	0.012	1
survival protein sure-like phosphatase/nucleotidase	1	0.007	0.012	1
metallo-dependent phosphatase-like protein	1	0.007	0.012	1
thioredoxin i	1	0.007	0.012	1
sterol regulatory element-binding protein ecm22-like protein 1	1	0.007	0.012	1
putative fad dependent oxidoreductase	1	0.007	0.012	1
serine protease precursor	1	0.007	0.012	1
gpr fun34 family protein	1	0.007	0.012	1
glycosyl hydrolase family 61-domain-containing protein	1	0.007	0.012	1
related to quinate transport protein	1	0.007	0.012	1
related to peroxisomal short-chain alcohol dehydrogenase	1	0.007	0.012	2
probable isoleucyl-trna synthetase, cytoplasmic	1	0.007	0.012	1
probable sulfatase	1	0.007	0.012	1
related to methyltransferase	1	0.007	0.012	1
probable endo-1,4-beta-xylanase b precursor	1	0.007	0.012	1
related to theta class glutathione s-transferase	1	0.007	0.012	1
related to aminoglycoside acetyltransferase regulator from p. stuartii	1	0.007	0.012	1
related to prli-interacting factor k	1	0.007	0.012	1
related to actin-like protein	1	0.007	0.012	1
putative tyrosyl-dna phosphodiesterase	1	0.007	0.012	1
putative multidrug resistance protein	1	0.007	0.012	1
putative phenylalanine ammonia-lyase	1	0.007	0.012	1
snf2 family n-terminal domain-containing protein	1	0.007	0.012	1
peptidase family m49-domain-containing protein	1	0.007	0.012	1
beta-lactamase-like protein	1	0.007	0.012	1
nucleotide-diphospho-sugar transferase	1	0.007	0.012	1
inhibitor of apoptosis-promoting bax1-domain-containing protein	1	0.007	0.012	1
ribosomal protein l14 domain-containing protein	1	0.007	0.012	1
fructosamine/ketosamine-3-kinase	1	0.007	0.012	1
peptide methionine sulfoxide reductase msra	1	0.007	0.012	1
pisatin demethylase	1	0.007	0.012	1
nitrate assimilation regulatory protein nira	1	0.007	0.012	1
nonribosomal peptide synthetase 12	1	0.007	0.012	1
c6 transcription factor	1	0.007	0.012	1
lytic polysaccharide monooxygenase	1	0.007	0.012	1
transcription factor iws1	1	0.007	0.012	1
xylose isomerase-like protein	1	0.007	0.012	1
swirm domain-containing protein fun19	1	0.007	0.012	1
pyridoxal 4-dehydrogenase	1	0.007	0.012	1
serine/threonine protein kinase sky1	1	0.007	0.012	1
amidohydrolase family-domain-containing protein	1	0.007	0.012	1
conserved fungal protein	1	0.007	0.012	1
cbd9-like protein	1	0.007	0.012	1
arabinosidase b	1	0.007	0.012	1
glycoside hydrolase family 61 protein	1	0.007	0.012	1
peroxisomal membrane protein pex16	1	0.007	0.012	1
endoglucanase ii	1	0.007	0.012	1
rna-binding s4 domain-containing protein	1	0.007	0.012	1
ribbon-helix-helix domain-containing protein	1	0.007	0.012	1
patatin-like phospholipase family protein	1	0.007	0.012	1
duf2721 domain-containing protein	1	0.007	0.012	1
alpha/beta fold hydrolase	1	0.007	0.012	1
putative toxin-antitoxin system toxin component, pin family	1	0.007	0.012	1
gamma-glutamyltransferase	1	0.007	0.012	1
nyn domain-containing protein	1	0.007	0.012	1
succinyl-diaminopimelate desuccinylase	1	0.007	0.012	1
winged helix-turn-helix domain-containing protein	1	0.007	0.012	1
class i fructose-bisphosphate aldolase	1	0.007	0.012	1
m1 family metallopeptidase	1	0.007	0.012	1
fungal cellulose binding domain-containing protein	1	0.007	0.012	1
lipoprotein	1	0.007	0.012	1
fungal alpha-l- protein	1	0.007	0.012	1
trna (guanine-n1)-methyltransferase	1	0.007	0.012	1
tyrosinase family protein	1	0.007	0.012	1
had family phosphatase	1	0.007	0.012	1
trna (guanosine(37)-n1)-methyltransferase trmd	1	0.007	0.012	1
bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase ribd	1	0.007	0.012	1
50s ribosomal protein l19	1	0.007	0.012	1
eama family transporter	1	0.007	0.012	1
thioesterase family protein	1	0.007	0.012	1
gnat family protein	1	0.007	0.012	1
chromosomal replication initiator protein dnaa	1	0.007	0.012	1
trypsin-like peptidase domain-containing protein	1	0.007	0.012	1
sam-dependent methyltransferase	1	0.007	0.012	1
diaminopimelate epimerase	1	0.007	0.012	1
yigz family protein	1	0.007	0.012	1
low molecular weight protein-tyrosine-phosphatase	1	0.007	0.012	1
endolytic transglycosylase mltg	1	0.007	0.012	1
glycosyltransferase family 2 protein	1	0.007	0.012	1
1-aminocyclopropane-1-carboxylate deaminase/d-cysteine desulfhydrase	1	0.007	0.012	1
snare-binding exocyst subunit s6	1	0.007	0.012	1
retromer complex subunit vps35	1	0.007	0.012	1
pectin lyase-like protein	1	0.007	0.012	1
rhamnolipids biosynthesis 3-oxoacyl reductase	1	0.007	0.012	1
methyltransferase-domain-containing protein	1	0.007	0.012	1
nudix domain protein	1	0.007	0.012	1
glycoside hydrolase	1	0.007	0.012	1
swirm domain-containing protein	1	0.007	0.012	1
6-hydroxy-d-nicotine oxidase	1	0.007	0.012	1
secreted lipase	1	0.007	0.012	1
polysaccharide synthase	1	0.007	0.012	1
vanillyl-alcohol oxidase	1	0.007	0.012	1
aaa atpase central domain-containing protein	1	0.007	0.012	1
h+/hexose cotransporter 1	1	0.007	0.012	1
polysaccharide deacetylase family protein	1	0.007	0.012	1
carboxypeptidase	1	0.007	0.012	1
adp-ribose pyrophosphatase	1	0.007	0.012	1
carboxypeptidase a5	1	0.007	0.012	1
proteinase r	1	0.007	0.012	1
starch binding domain-containing protein	1	0.007	0.012	1
pectin lyase	1	0.007	0.012	1
coactosin	1	0.007	0.012	1
heavy metal transport/detoxification protein	1	0.007	0.012	1
fibronectin type iii domain protein	1	0.007	0.012	1
protein of unknown function duf224 cysteine-rich region domain protein	1	0.007	0.012	1
membrane bound o-acyl transferase mboat family protein	1	0.007	0.012	1
coenzyme f390 synthetase-like protein	1	0.007	0.012	1
glycosyl transferase group 1	1	0.007	0.012	3
mammalian cell entry related domain protein	1	0.007	0.012	1
beta-n-acetylhexosaminidase	1	0.007	0.012	1
putative nuclear protein snf4 protein	1	0.007	0.012	1
putative translation initiation factor protein	1	0.007	0.012	1
putative phosphatase dcr2 protein	1	0.007	0.012	1
putative mannan endo- -alpha-mannosidase dcw1 protein	1	0.007	0.012	1
putative mitochondrial inner membrane protease subunit protein	1	0.007	0.012	1
putative methyltransferase family protein	1	0.007	0.012	1
putative skeletal muscle and kidney-enriched inositol phosphatase protein	1	0.007	0.012	1
putative vacuolar protein 8 protein	1	0.007	0.012	1
putative hypa protein	1	0.007	0.012	1
putative serine threonine protein phosphatase 2a protein	1	0.007	0.012	1
putative phosphatidylserine decarboxylase proenzyme 1 protein	1	0.007	0.012	1
putative lysophospholipase-like protein	1	0.007	0.012	1
putative sphingosine n-acyltransferase lac1 protein	1	0.007	0.012	1
putative importin beta-2 protein	1	0.007	0.012	1
putative nadph-dependent beta-ketoacyl reductase protein	1	0.007	0.012	1
putative nap family protein	1	0.007	0.012	1
putative ac transposase	1	0.007	0.012	1
