accession	status	n_sites	n_cu	n_other_metal	metals	cu_prob_max	all_probs	ligands	tier	n_his
A0A074S9M8	ok	3	1	2	Copper;FECONI;Zinc	0.91	Copper:0.91;FECONI:0.81;Zinc:0.96	83,A,HIS;97,A,HIS | 88,A,HIS;226,A,HIS | 212,A,HIS;216,A,HIS;237,A,HIS;238,A,HIS	mononuclear	5
A0A074SDG0	ok	1	1	0	Copper	0.78	Copper:0.78	81,A,HIS;216,A,HIS;217,A,HIS	no_cu	3
A0A074VI76	ok	0	0	0					no_cu	2
A0A074W682	ok	2	0	2	FECONI;Zinc		FECONI:1.00;Zinc:0.94	72,A,HIS;80,A,HIS;89,A,HIS | 251,A,HIS;273,A,HIS;274,A,HIS	mononuclear	5
A0A074W6F3	ok	0	0	0					no_cu	2
A0A074XND5	ok	0	0	0					no_cu	1
A0A074YQS1	ok	0	0	0					no_cu	2
A0A075AEH4	ok	2	1	1	Copper;FECONI	0.88	FECONI:1.00;Copper:0.88	39,A,HIS;68,A,HIS;77,A,HIS | 282,A,HIS;304,A,HIS;305,A,HIS	mononuclear	5
A0A077YX65	ok	1	0	1	FECONI		FECONI:0.96	131,A,HIS;140,A,HIS;149,A,HIS	mononuclear	3
A0A077ZFE0	ok	0	0	0					no_cu	1
A0A077ZGT3	ok	0	0	0					no_cu	2
A0A080ZC48	ok	0	0	0					no_cu	0
A0A080ZC49	ok	0	0	0					no_cu	0
A0A080ZVP9	ok	1	0	1	FECONI		FECONI:0.99	237,A,HIS;241,A,HIS;263,A,HIS	mononuclear	4
A0A084AJL7	ok	2	1	1	Copper;FECONI	0.78	FECONI:0.99;Copper:0.78	149,A,HIS;157,A,HIS;166,A,HIS | 289,A,HIS;322,A,HIS	mononuclear	5
A0A084GDW0	ok	0	0	0					no_cu	2
A0A084R1I5	ok	1	0	1	FECONI		FECONI:0.99	149,A,HIS;157,A,HIS;166,A,HIS	mononuclear	5
A0A085M8H3	ok	1	1	0	Copper	0.89	Copper:0.89	166,A,HIS;184,A,HIS	no_cu	3
A0A085NCJ6	ok	0	0	0					no_cu	0
A0A086T0Z5	ok	1	1	0	Copper	0.93	Copper:0.93	85,A,HIS;108,A,CYS;119,A,HIS	no_cu	4
A0A087UWG8	ok	0	0	0					no_cu	2
A0A091EJM4	ok	2	0	2	FECONI		FECONI:1.00;FECONI:0.99	191,A,HIS;213,A,HIS;222,A,HIS | 371,A,HIS;398,A,HIS	mononuclear	5
A0A091IY37	ok	1	0	1	FECONI		FECONI:0.99	191,A,HIS;213,A,HIS;222,A,HIS	mononuclear	4
A0A091L9M2	ok	1	0	1	FECONI		FECONI:0.98	191,A,HIS;213,A,HIS;222,A,HIS	mononuclear	4
A0A091M3M6	ok	1	0	1	FECONI		FECONI:0.88	191,A,HIS;213,A,HIS;222,A,HIS	mononuclear	4
A0A091Q771	ok	1	1	0	Copper	1.00	Copper:1.00	191,A,HIS;213,A,HIS;222,A,HIS	mononuclear	4
A0A091TFJ5	ok	1	0	1	FECONI		FECONI:0.99	100,A,HIS;122,A,HIS;131,A,HIS	mononuclear	4
A0A091TMG5	ok	2	1	1	Copper;FECONI	0.95	FECONI:1.00;Copper:0.95	92,A,HIS;114,A,HIS;123,A,HIS | 272,A,HIS;295,A,HIS	binuclear	5
A0A093CQX0	ok	2	1	1	Copper;FECONI	0.95	FECONI:1.00;Copper:0.95	91,A,HIS;113,A,HIS;122,A,HIS | 271,A,HIS;292,A,HIS	mononuclear	5
A0A093H736	ok	2	1	1	Copper;FECONI	0.86	FECONI:1.00;Copper:0.86	191,A,HIS;213,A,HIS;222,A,HIS | 371,A,HIS;398,A,HIS	mononuclear	5
A0A093JA04	ok	1	0	1	FECONI		FECONI:0.99	191,A,HIS;213,A,HIS;222,A,HIS	mononuclear	4
A0A093R256	ok	1	0	1	FECONI		FECONI:1.00	90,A,HIS;112,A,HIS;121,A,HIS	mononuclear	5
A0A099ZQM2	ok	2	1	1	Copper;FECONI	0.94	Copper:0.94;FECONI:0.99	371,A,HIS;398,A,HIS | 191,A,HIS;213,A,HIS;222,A,HIS	mononuclear	5
A0A0A2X4S5	ok	2	0	2	FECONI		FECONI:0.97;FECONI:0.94	73,A,HIS;107,A,CYS;110,A,HIS;122,A,HIS | 228,A,HIS;232,A,HIS;256,A,HIS;257,A,HIS	mononuclear	5
A0A0A7CM13	ok	1	0	1	FECONI		FECONI:0.99	75,A,HIS;94,A,HIS	mononuclear	4
A0A0A7CM93	ok	1	0	1	FECONI		FECONI:0.98	232,A,HIS;236,A,HIS;259,A,HIS	mononuclear	3
A0A0A7CMA7	ok	3	1	2	Copper;Manganese;Zinc	0.99	Manganese:0.89;Copper:0.99;Zinc:0.85	45,A,ASP;125,A,ASP | 75,A,HIS;85,A,HIS;94,A,HIS | 240,A,HIS;263,A,HIS	mononuclear	5
A0A0A7CN79	ok	2	1	1	Copper;FECONI	0.86	FECONI:0.99;Copper:0.86	90,A,HIS;100,A,HIS;109,A,HIS | 255,A,HIS;278,A,HIS	mononuclear	5
A0A0A7CP65	ok	0	0	0					no_cu	2
A0A0B2X1U6	ok	1	0	1	FECONI		FECONI:0.96	281,A,HIS;285,A,HIS;309,A,HIS;310,A,HIS	mononuclear	5
A0A0B7FL26	ok	1	0	1	FECONI		FECONI:0.99	119,A,HIS;136,A,HIS	no_cu	3
A0A0C2HHH6	ok	1	0	1	FECONI		FECONI:0.82	138,A,HIS;148,A,HIS	no_cu	3
A0A0C2WPB2	ok	1	0	1	FECONI		FECONI:0.96	294,A,HIS;298,A,HIS;332,A,HIS;333,A,HIS	binuclear	4
A0A0C2XCT6	ok	3	2	1	Copper;FECONI	0.97	Copper:0.88;FECONI:0.93;Copper:0.97	72,A,HIS;126,A,HIS | 339,A,HIS;343,A,HIS;367,A,HIS | 339,A,HIS;343,A,HIS;368,A,HIS	mononuclear	5
A0A0C3B6I5	ok	2	0	2	FECONI		FECONI:0.95;FECONI:0.97	57,A,HIS;82,A,CYS;93,A,HIS | 268,A,HIS;272,A,HIS;302,A,HIS;303,A,HIS	binuclear	5
A0A0C9SL04	ok	2	2	0	Copper	1.00	Copper:1.00;Copper:0.85	89,A,HIS;97,A,HIS;106,A,HIS | 246,A,HIS;280,A,HIS;281,A,HIS	mononuclear	5
A0A0C9SRH3	ok	2	2	0	Copper	0.99	Copper:0.99;Copper:0.86	89,A,HIS;97,A,HIS;106,A,HIS | 246,A,HIS;280,A,HIS;281,A,HIS	mononuclear	5
A0A0D2FU82	ok	3	2	1	Copper;Manganese	1.00	Manganese:0.81;Copper:0.96;Copper:1.00	34,A,ASP;482,A,ASP | 88,A,HIS;135,A,CYS;146,A,HIS | 358,A,HIS;362,A,HIS;396,A,HIS	binuclear	5
A0A0D2M1N4	ok	0	0	0					mononuclear	3
A0A0D3HYU6	ok	1	1	0	Copper	0.96	Copper:0.96	445,A,HIS;449,A,HIS;473,A,HIS	mononuclear	4
A0A0D6LZL4	ok	1	1	0	Copper	0.96	Copper:0.96	276,A,HIS;280,A,HIS;303,A,HIS	binuclear	5
A0A0D6M6M4	ok	1	1	0	Copper	0.99	Copper:0.99	295,A,HIS;305,A,HIS;314,A,HIS	mononuclear	4
A0A0D9NQW1	ok	1	1	0	Copper	0.99	Copper:0.99	64,A,HIS;72,A,HIS;81,A,HIS	mononuclear	5
A0A0F4GBJ7	ok	2	0	2	FECONI;Zinc		FECONI:0.99;Zinc:0.91	122,A,HIS;130,A,HIS;139,A,HIS | 278,A,HIS;303,A,HIS;304,A,HIS	mononuclear	5
A0A0F5VAR5	ok	2	1	1	Copper;FECONI	0.93	Copper:0.93;FECONI:0.96	62,A,HIS;69,A,CYS;80,A,HIS | 207,A,HIS;211,A,HIS;244,A,HIS;245,A,HIS	mononuclear	5
A0A0F8A4E9	ok	2	1	1	Copper;FECONI	0.95	Copper:0.95;FECONI:0.97	83,A,HIS;105,A,CYS;116,A,HIS | 272,A,HIS;276,A,HIS;300,A,HIS;301,A,HIS	binuclear	5
A0A0G2GB29	ok	1	0	1	Zinc		Zinc:0.95	286,A,HIS;290,A,HIS;314,A,HIS;315,A,HIS	mononuclear	4
A0A0G4IUF0	ok	0	0	0					no_cu	1
A0A0G4N7R0	ok	1	0	1	FECONI		FECONI:1.00	139,A,HIS;147,A,HIS;156,A,HIS	binuclear	5
A0A0K6G359	ok	0	0	0					mononuclear	3
A0A0K6G3H3	ok	0	0	0					mononuclear	3
A0A0K6GCM0	ok	6	3	3	Copper;FECONI;Zinc	0.99	Copper:0.99;Zinc:0.91;Zinc:0.80;Copper:0.92;Copper:0.98;FECONI:0.87	64,A,HIS;92,A,HIS;101,A,HIS | 90,A,CYS;608,A,CYS;611,A,CYS | 230,A,HIS;660,A,ASP | 329,A,HIS;333,A,HIS;357,A,HIS | 329,A,HIS;333,A,HIS;358,A,HIS | 698,A,ASP;710,A,HIS	binuclear	3
A0A0L0NB41	ok	2	1	1	Copper;FECONI	0.88	FECONI:0.92;Copper:0.88	69,A,HIS;77,A,HIS;86,A,HIS | 209,A,HIS;234,A,HIS;235,A,HIS	mononuclear	5
A0A0L0VSP3	ok	2	1	1	Copper;FECONI	0.98	FECONI:1.00;Copper:0.98	169,A,HIS;177,A,HIS;186,A,HIS | 331,A,HIS;335,A,HIS	mononuclear	5
A0A0L0VSW2	ok	2	1	1	Copper;FECONI	0.78	FECONI:0.99;Copper:0.78	109,A,HIS;117,A,HIS;126,A,HIS | 271,A,HIS;275,A,HIS	mononuclear	5
A0A0L6VTF1	ok	1	0	1	FECONI		FECONI:0.99	129,A,HIS;137,A,HIS;146,A,HIS	mononuclear	5
A0A0L8FGF3	ok	0	0	0					no_cu	2
A0A0L8ICD6	ok	0	0	0					mononuclear	3
A0A0L8IDI7	ok	0	0	0					mononuclear	2
A0A0M3IG66	ok	2	0	2	FECONI;Zinc		FECONI:0.99;Zinc:0.82	577,A,HIS;587,A,HIS;596,A,HIS | 662,A,ASP;664,A,HIS;728,A,GLU	mononuclear	5
A0A0M3IJ33	ok	0	0	0					mononuclear	3
A0A0N4SWM8	ok	2	0	2	FECONI;Manganese		FECONI:0.99;Manganese:0.75	381,A,HIS;391,A,HIS;400,A,HIS | 492,A,HIS;513,A,ASP	mononuclear	5
A0A0P1ANE6	ok	0	0	0					no_cu	1
A0A0R3QQ18	ok	2	0	2	FECONI;Manganese		FECONI:0.99;Manganese:0.92	276,A,HIS;286,A,HIS;295,A,HIS | 387,A,HIS;408,A,ASP	mononuclear	5
A0A0R3RX42	ok	3	0	3	FECONI;Manganese;Zinc		FECONI:0.99;Zinc:0.81;Manganese:0.96	367,A,HIS;377,A,HIS;386,A,HIS | 507,A,HIS;533,A,HIS;534,A,HIS | 478,A,HIS;499,A,ASP	mononuclear	5
A0A0U1M3F3	ok	1	0	1	FECONI		FECONI:0.94	67,A,HIS;88,A,CYS;99,A,HIS	mononuclear	5
A0A0V0R8Y7	ok	3	0	3	FECONI;Manganese;Zinc		Manganese:0.97;Zinc:0.80;FECONI:0.92	110,A,ASP;116,A,ASP | 216,A,HIS;238,A,HIS;239,A,HIS | 657,A,HIS;661,A,HIS;667,A,HIS	no_cu	5
A0A0V0S806	ok	1	0	1	FECONI		FECONI:0.97	179,A,HIS;188,A,HIS;197,A,HIS	mononuclear	4
A0A0V0SMD1	ok	0	0	0					no_cu	2
A0A0V0TGR2	ok	1	0	1	FECONI		FECONI:0.97	181,A,HIS;190,A,HIS;199,A,HIS	mononuclear	4
A0A0V0YE73	ok	1	0	1	FECONI		FECONI:0.97	182,A,HIS;191,A,HIS;200,A,HIS	mononuclear	3
A0A0V1A2F9	ok	0	0	0					no_cu	2
A0A0V1AAJ2	ok	1	0	1	FECONI		FECONI:0.95	196,A,HIS;205,A,HIS;214,A,HIS	mononuclear	3
A0A0V1ABN4	ok	1	0	1	FECONI		FECONI:0.96	196,A,HIS;205,A,HIS;214,A,HIS	mononuclear	4
A0A0V1BIN6	ok	1	0	1	FECONI		FECONI:0.97	181,A,HIS;190,A,HIS;199,A,HIS	mononuclear	4
A0A0V1DE70	ok	1	0	1	FECONI		FECONI:0.94	195,A,HIS;204,A,HIS;213,A,HIS	mononuclear	5
A0A0V1DFZ9	ok	0	0	0					no_cu	2
A0A0V1EIF6	ok	0	0	0					no_cu	3
A0A0V1ESS6	ok	1	0	1	FECONI		FECONI:0.97	183,A,HIS;192,A,HIS;201,A,HIS	mononuclear	4
A0A0V1FSY3	ok	0	0	0					no_cu	3
A0A0V1G4S3	ok	1	0	1	FECONI		FECONI:0.94	178,A,HIS;187,A,HIS;196,A,HIS	mononuclear	5
A0A0V1I3Y0	ok	1	0	1	FECONI		FECONI:0.94	195,A,HIS;204,A,HIS;213,A,HIS	mononuclear	4
A0A0V1I4K6	ok	0	0	0					no_cu	2
A0A0V1JHS7	ok	1	0	1	FECONI		FECONI:0.96	182,A,HIS;191,A,HIS;200,A,HIS	mononuclear	4
A0A0V1KD92	ok	1	0	1	FECONI		FECONI:0.97	182,A,HIS;191,A,HIS;200,A,HIS	mononuclear	5
A0A0V1KR57	ok	1	0	1	FECONI		FECONI:0.96	182,A,HIS;191,A,HIS;200,A,HIS	mononuclear	3
A0A0V1LPZ2	ok	0	0	0					no_cu	2
A0A0V1MUW3	ok	1	0	1	FECONI		FECONI:0.96	191,A,HIS;200,A,HIS;209,A,HIS	mononuclear	5
A0A0V1N8R5	ok	0	0	0					no_cu	3
A0A0W8AY19	ok	0	0	0					no_cu	1
A0A0W8C3R7	ok	1	0	1	FECONI		FECONI:0.98	176,A,HIS;180,A,HIS;202,A,HIS	mononuclear	4
A0A0W8DAM1	ok	0	0	0					no_cu	2
A0A0Y0DNT4	ok	2	0	2	FECONI;Manganese		FECONI:0.99;Manganese:0.85	151,A,HIS;160,A,HIS;169,A,HIS | 315,A,GLU;358,A,ASP	mononuclear	4
A0A135SEP1	ok	2	1	1	Copper;Zinc	0.99	Copper:0.99;Zinc:0.92	205,A,HIS;233,A,HIS | 401,A,HIS;405,A,HIS;428,A,HIS	no_cu	4
A0A135UY99	ok	2	1	1	Copper;Zinc	0.89	Copper:0.89;Zinc:0.92	318,A,HIS;346,A,HIS | 519,A,HIS;523,A,HIS;546,A,HIS	no_cu	4
A0A135V6Y1	ok	1	0	1	FECONI		FECONI:0.97	318,A,HIS;322,A,HIS;344,A,HIS;345,A,HIS	mononuclear	4
A0A135V8Q3	ok	2	2	0	Copper	1.00	Copper:0.93;Copper:1.00	351,A,HIS;355,A,HIS;378,A,HIS | 166,A,HIS;174,A,HIS;183,A,HIS	mononuclear	5
A0A137NPX8	ok	1	1	0	Copper	0.93	Copper:0.93	181,A,HIS;205,A,HIS;206,A,HIS	no_cu	2
A0A139HAY5	ok	1	0	1	FECONI		FECONI:0.92	149,A,HIS;157,A,HIS;166,A,HIS	mononuclear	5
A0A142I737	ok	2	1	1	Copper;FECONI	0.94	FECONI:0.98;Copper:0.94	122,A,HIS;130,A,HIS;139,A,HIS | 279,A,HIS;304,A,HIS;305,A,HIS	mononuclear	5
A0A158RAT2	ok	1	0	1	FECONI		FECONI:0.99	379,A,HIS;389,A,HIS;398,A,HIS	mononuclear	3
A0A161VY89	ok	2	0	2	FECONI		FECONI:0.99;FECONI:0.87	143,A,HIS;151,A,HIS;160,A,HIS | 304,A,HIS;329,A,HIS;330,A,HIS	mononuclear	5
A0A166M367	ok	2	0	2	FECONI		FECONI:1.00;FECONI:0.93	283,A,HIS;291,A,HIS;300,A,HIS | 468,A,HIS;472,A,HIS;495,A,HIS	mononuclear	5
A0A166TEN8	ok	1	0	1	FECONI		FECONI:0.99	137,A,HIS;145,A,HIS;154,A,HIS	mononuclear	5
A0A166U3J7	ok	2	1	1	Copper;FECONI	1.00	FECONI:0.94;Copper:1.00	254,A,HIS;258,A,HIS;281,A,HIS | 69,A,HIS;77,A,HIS;86,A,HIS	mononuclear	5
A0A167AFV0	ok	2	1	1	Copper;FECONI	0.91	FECONI:1.00;Copper:0.91	37,A,HIS;45,A,HIS;54,A,HIS | 191,A,HIS;216,A,HIS;217,A,HIS	mononuclear	5
A0A167BRG2	ok	1	0	1	FECONI		FECONI:0.99	163,A,HIS;171,A,HIS;180,A,HIS	mononuclear	5
A0A168EXD0	ok	2	0	2	FECONI;Zinc		FECONI:0.99;Zinc:0.92	60,A,HIS;68,A,HIS;77,A,HIS | 207,A,HIS;232,A,HIS;233,A,HIS	mononuclear	5
A0A175VYW1	ok	1	1	0	Copper	1.00	Copper:1.00	331,A,HIS;339,A,HIS;348,A,HIS	mononuclear	5
A0A175W3Y2	ok	1	0	1	FECONI		FECONI:0.97	163,A,HIS;171,A,HIS;180,A,HIS	mononuclear	5
A0A177DSJ1	ok	2	1	1	Copper;Zinc	1.00	Zinc:0.84;Copper:1.00	200,A,HIS;225,A,HIS;226,A,HIS | 51,A,HIS;59,A,HIS;68,A,HIS	mononuclear	5
A0A177T6E5	ok	2	0	2	FECONI;Zinc		Zinc:0.85;FECONI:0.97	135,A,HIS;146,A,HIS | 291,A,HIS;295,A,HIS;316,A,HIS;317,A,HIS	mononuclear	5
A0A180GDP5	ok	1	1	0	Copper	1.00	Copper:1.00	171,A,HIS;179,A,HIS;188,A,HIS	no_cu	5
A0A183I077	ok	2	2	0	Copper	0.97	Copper:0.97;Copper:0.79	394,A,HIS;404,A,HIS;413,A,HIS | 534,A,HIS;560,A,HIS;561,A,HIS	mononuclear	5
A0A183IVQ9	ok	0	0	0					no_cu	2
A0A194WE27	ok	1	0	1	FECONI		FECONI:0.98	88,A,HIS;121,A,HIS;297,A,HIS;342,A,HIS	mononuclear	5
A0A194XMC7	ok	1	0	1	FECONI		FECONI:0.98	79,A,HIS;93,A,HIS;102,A,HIS	mononuclear	5
A0A194XN12	ok	2	0	2	FECONI		FECONI:0.96;FECONI:0.89	68,A,HIS;76,A,HIS;85,A,HIS | 214,A,HIS;239,A,HIS;240,A,HIS	mononuclear	5
A0A194XSF1	ok	1	1	0	Copper	1.00	Copper:1.00	80,A,HIS;88,A,HIS;97,A,HIS	mononuclear	4
A0A1B7YR08	ok	3	2	1	Copper;FECONI	0.93	FECONI:1.00;Copper:0.93;Copper:0.79	224,A,HIS;232,A,HIS;241,A,HIS | 409,A,HIS;413,A,HIS;436,A,HIS | 296,A,HIS;363,A,ASP	mononuclear	5
A0A1G4AYJ9	ok	2	0	2	FECONI		FECONI:0.99;FECONI:0.93	228,A,HIS;236,A,HIS;245,A,HIS | 413,A,HIS;417,A,HIS;440,A,HIS	mononuclear	5
A0A1G4BKS1	ok	2	1	1	Copper;FECONI	0.94	FECONI:0.93;Copper:0.94	129,A,HIS;137,A,HIS;146,A,HIS | 275,A,HIS;300,A,HIS;301,A,HIS	mononuclear	5
A0A1G6VNA4	ok	1	0	1	FECONI		FECONI:0.93	291,A,HIS;326,A,HIS;327,A,HIS	no_cu	2
A0A1G8B6K0	ok	1	1	0	Copper	0.98	Copper:0.98	345,A,HIS;349,A,HIS;371,A,HIS	mononuclear	3
A0A1H1X1U7	ok	2	1	1	Copper;FECONI	0.95	Copper:0.95;FECONI:0.97	79,A,HIS;115,A,CYS;130,A,HIS | 233,A,HIS;237,A,HIS;261,A,HIS;262,A,HIS	mononuclear	5
A0A1H7VPR3	ok	2	2	0	Copper	0.97	Copper:0.89;Copper:0.97	287,A,HIS;291,A,HIS;321,A,HIS | 287,A,HIS;291,A,HIS;322,A,HIS	mononuclear	4
A0A1I4X2F3	ok	3	2	1	Copper;FECONI	0.95	Copper:0.95;Copper:0.87;FECONI:0.97	69,A,HIS;103,A,CYS;121,A,HIS | 214,A,HIS;218,A,HIS;266,A,HIS | 214,A,HIS;218,A,HIS;267,A,HIS	mononuclear	5
A0A1I5PK02	ok	2	0	2	FECONI;Zinc		FECONI:0.94;Zinc:0.96	68,A,HIS;99,A,CYS;115,A,HIS | 231,A,HIS;235,A,HIS;286,A,HIS;287,A,HIS	binuclear	5
A0A1I7VEA5	ok	2	0	2	FECONI;Manganese		FECONI:0.99;Manganese:0.83	382,A,HIS;392,A,HIS;401,A,HIS | 493,A,HIS;514,A,ASP	mononuclear	5
A0A1I8I6W4	ok	1	1	0	Copper	0.97	Copper:0.97	372,A,HIS;376,A,HIS;398,A,HIS;399,A,HIS	mononuclear	5
A0A1I8IJ91	ok	1	0	1	FECONI		FECONI:0.97	350,A,HIS;354,A,HIS;376,A,HIS;377,A,HIS	mononuclear	5
A0A1I9G609	ok	1	0	1	FECONI		FECONI:0.99	381,A,HIS;391,A,HIS;400,A,HIS	mononuclear	5
A0A1I9G629	ok	1	0	1	FECONI		FECONI:0.99	379,A,HIS;389,A,HIS;398,A,HIS	mononuclear	5
A0A1J9R2U7	ok	2	2	0	Copper	0.99	Copper:0.94;Copper:0.99	88,A,HIS;93,A,HIS;98,A,HIS | 243,A,HIS;247,A,HIS;273,A,HIS	binuclear	5
A0A1L7T8U3	ok	2	0	2	FECONI		FECONI:0.98;FECONI:0.93	113,A,HIS;121,A,HIS;130,A,HIS | 267,A,HIS;292,A,HIS;293,A,HIS	mononuclear	5
A0A1L7V991	ok	2	0	2	FECONI		FECONI:0.99;FECONI:0.92	117,A,HIS;125,A,HIS;134,A,HIS | 271,A,HIS;296,A,HIS;297,A,HIS	mononuclear	5
A0A1L7XXI3	ok	1	0	1	FECONI		FECONI:0.84	40,A,HIS;48,A,HIS	mononuclear	3
A0A1L9PZT9	ok	2	0	2	FECONI		FECONI:1.00;FECONI:0.94	112,A,HIS;120,A,HIS;129,A,HIS | 268,A,HIS;293,A,HIS;294,A,HIS	mononuclear	5
A0A1L9S434	ok	0	0	0					no_cu	3
A0A1L9T6V0	ok	2	2	0	Copper	0.99	Copper:0.99;Copper:0.96	111,A,HIS;119,A,HIS;128,A,HIS | 271,A,HIS;296,A,HIS;297,A,HIS	mononuclear	5
A0A1L9WGB2	ok	2	2	0	Copper	1.00	Copper:0.91;Copper:1.00	230,A,HIS;234,A,HIS;256,A,HIS | 230,A,HIS;234,A,HIS;257,A,HIS	mononuclear	5
A0A1N6ZK30	ok	0	0	0					no_cu	2
A0A1Q8RG93	ok	1	1	0	Copper	1.00	Copper:1.00	120,A,HIS;128,A,HIS;137,A,HIS	mononuclear	3
A0A1Q8RT46	ok	1	0	1	FECONI		FECONI:0.99	135,A,HIS;143,A,HIS;152,A,HIS	mononuclear	5
A0A1R3RV41	ok	2	0	2	FECONI		FECONI:0.97;FECONI:0.93	95,A,HIS;103,A,HIS;112,A,HIS | 240,A,HIS;265,A,HIS;266,A,HIS	mononuclear	5
A0A1R3VBN3	ok	3	1	2	Copper;FECONI	0.95	Copper:0.95;FECONI:0.83;FECONI:0.96	80,A,HIS;114,A,CYS;129,A,HIS | 228,A,HIS;232,A,HIS;256,A,HIS | 228,A,HIS;232,A,HIS;257,A,HIS	mononuclear	5
A0A1R4H6E4	ok	3	2	1	Copper;FECONI	0.98	Copper:0.98;Copper:0.87;FECONI:0.98	69,A,HIS;105,A,HIS;120,A,HIS | 213,A,HIS;217,A,HIS;255,A,HIS | 213,A,HIS;217,A,HIS;256,A,HIS	mononuclear	5
A0A1R4H727	ok	3	1	2	Copper;FECONI	0.97	FECONI:0.99;FECONI:0.91;Copper:0.97	68,A,HIS;104,A,HIS;119,A,HIS | 212,A,HIS;216,A,HIS;254,A,HIS | 212,A,HIS;216,A,HIS;255,A,HIS	mononuclear	5
A0A1S8CTM4	ok	2	1	1	Copper;FECONI	0.93	Copper:0.93;FECONI:0.95	68,A,HIS;100,A,CYS;121,A,HIS | 233,A,HIS;237,A,HIS;278,A,HIS;279,A,HIS	binuclear	5
A0A1S8X904	ok	0	0	0					no_cu	4
A0A1U7LR42	ok	1	0	1	FECONI		FECONI:0.96	135,A,HIS;301,A,HIS;330,A,HIS	binuclear	4
A0A1V4I1C4	ok	2	1	1	Copper;FECONI	0.95	Copper:0.95;FECONI:0.97	95,A,HIS;131,A,CYS;134,A,HIS | 258,A,HIS;262,A,HIS;286,A,HIS;287,A,HIS	mononuclear	5
A0A1V6NT23	ok	2	2	0	Copper	0.85	Copper:0.85;Copper:0.84	132,A,HIS;149,A,HIS | 277,A,HIS;303,A,HIS	no_cu	4
A0A1V9YE51	ok	0	0	0					no_cu	3
A0A1V9YSU1	ok	1	0	1	FECONI		FECONI:0.98	25,A,HIS;35,A,HIS;44,A,HIS	mononuclear	4
A0A1V9YYD2	ok	2	1	1	Copper;Zinc	0.98	Copper:0.98;Zinc:0.83	75,A,HIS;85,A,HIS;94,A,HIS | 240,A,HIS;263,A,HIS	mononuclear	5
A0A1V9Z4B6	ok	0	0	0					no_cu	1
A0A1X6NRK9	ok	0	0	0					no_cu	2
A0A1X6PJ39	ok	0	0	0					no_cu	3
A0A1X7RU91	ok	2	1	1	Copper;FECONI	0.93	FECONI:0.99;Copper:0.93	122,A,HIS;130,A,HIS;139,A,HIS | 278,A,HIS;303,A,HIS;304,A,HIS	mononuclear	5
A0A1X7RVT3	ok	1	1	0	Copper	1.00	Copper:1.00	107,A,HIS;115,A,HIS;124,A,HIS	mononuclear	5
A0A1Y1VYU8	ok	2	1	1	Copper;Manganese	0.97	Copper:0.97;Manganese:0.76	64,A,HIS;72,A,HIS;81,A,HIS | 151,A,HIS;212,A,HIS	mononuclear	5
A0A1Y1Z6J4	ok	0	0	0					no_cu	2
A0A1Y1ZAQ2	ok	2	1	1	Copper;FECONI	0.96	FECONI:0.96;Copper:0.96	41,A,HIS;49,A,HIS | 170,A,HIS;196,A,HIS	no_cu	4
A0A1Y2CTW7	ok	1	0	1	FECONI		FECONI:0.99	72,A,HIS;80,A,HIS;89,A,HIS	mononuclear	3
