sequence_id	domain_rmsd	domain_start	domain_plddt	trp_resid	trp_dist	n_ca
A0A6P7S7A7_taxID_2607531_model	2.815	120	88.707	167	0.000	710
A0A6P7S7Y8_taxID_2607531_model	2.784	123	87.700	170	0.000	746
A0A6P7TQ10_taxID_2607531_model	2.805	137	90.509	184	0.000	622
A0A7E6ENM2_taxID_2607531_model	2.764	114	88.689	161	0.000	704
A0A7E6EPH5_taxID_2607531_model	2.794	120	90.701	167	0.000	710
A0A7E6EPK6_taxID_2607531_model	2.437	22	72.011	62	0.000	706
A0A7E6ER30_taxID_2607531_model	2.555	23	58.866	63	0.000	693
A0A812BCK9_taxID_158019_model	2.715	138	89.543	185	0.000	866
A0A8B6BGF3_taxID_29158_model_A	2.715	141	87.497	188	0.000	797
A0A8B6CG12_taxID_29158_model	2.938	127	94.317	174	0.000	580
A0A8B6CGM7_taxID_29158_model	1.276	34	81.866	85	0.000	628
A0A8B6CH58_taxID_29158_model	1.227	5	81.951	56	0.000	599
A0A8B6CJB5_taxID_29158_model	1.289	28	91.006		NA	631
A0A8B6D2T6_taxID_29158_model	2.688	135	96.285	199	0.000	695
A0A8B6D2Y3_taxID_29158_model	2.696	119	95.288	183	0.000	664
A0A8B6D5K3_taxID_29158_model_A	2.721	135	95.149	199	0.000	688
A0A8B6D5L3_taxID_29158_model_A	2.713	119	95.294	183	0.000	672
A0A8B6DAA2_taxID_29158_model	2.964	267	95.882		NA	815
A0A8B6DPX7_taxID_29158_model_A	1.586	31	81.399	71	0.000	677
A0A8B6EB17_taxID_29158_model	0.791	9	81.193	50	0.000	894
A0A8B6ECL8_taxID_29158_model_A	2.562	31	73.828	71	0.000	677
A0A8B6EDW2_taxID_29158_model	0.933	3	92.814		NA	797
A0A8B6EF24_taxID_29158_model	0.889	28	92.399		NA	822
A0A8B6EUU7_taxID_29158_model	1.198	26	85.209		NA	691
A0A8B6F0X6_taxID_29158_model_A	2.872	141	93.848	200	0.000	648
A0A8B6FHC2_taxID_29158_model	1.410	28	79.616		NA	684
A0A8B6FI79_taxID_29158_model	1.388	27	84.644		NA	686
A0A8B6FJF9_taxID_29158_model	2.775	102	92.250	149	0.000	648
A0A8B6FJI9_taxID_29158_model	1.411	28	78.613		NA	684
A0A8B6GLG5_taxID_29158_model	2.686	187	96.052	251	0.000	770
A0A8B6GYS2_taxID_29158_model	0.741	30	93.751		NA	843
A0A8B6GZI5_taxID_29158_model	0.743	30	90.943		NA	833
A0A8B6H0Q0_taxID_29158_model	0.735	30	91.076		NA	820
A0A8B8ABF3_taxID_6565_model	2.966	333	95.227	379	0.000	875
A0A8B8AQ29_taxID_6565_model_A	1.292	30	85.351		NA	681
A0A8B8BBF7_taxID_6565_model	1.038	29	93.459	69	0.000	703
A0A8B8BDB7_taxID_6565_model	1.023	29	93.801	69	0.000	689
A0A8B8BGL0_taxID_6565_model_A	1.884	33	97.032	73	0.000	773
A0A8B8DPQ6_taxID_6565_model	1.201	31	91.094		NA	660
A0A8B8DSI3_taxID_6565_model	1.200	31	90.555		NA	653
A0A8B8E427_taxID_6565_model	1.380	32	86.033		NA	657
A0A8B8E4R7_taxID_6565_model	1.195	31	89.669		NA	660
A0A8B8E6Y4_taxID_6565_model	1.182	31	88.167		NA	653
A0A8B8EBN7_taxID_6565_model	1.408	31	82.486		NA	829
A0A8B8ECR7_taxID_6565_model_A	2.001	28	85.542	70	0.000	679
A0A8B8EDC2_taxID_6565_model	0.445	50	87.071		NA	785
A0A8B8EEW4_taxID_6565_model	1.331	31	83.894		NA	827
A0A8B8EFI5_taxID_6565_model	2.826	154	88.979	220	0.000	844
A0A8B8EIY1_taxID_6565_model	2.303	35	78.008		NA	841
A0A8B8ER43_taxID_6565_model	0.910	27	86.472		NA	716
A0A8B8ETR2_taxID_6565_model_A	1.967	33	88.221	75	0.000	707
A0A8B8EX01_taxID_6565_model_A	2.443	31	84.893		NA	727
A0A8B8EX72_taxID_6565_model	1.583	37	76.693	78	0.000	923
A0A8B8EXW9_taxID_6565_model_A	1.974	29	88.879	71	0.000	701
A0A8B8EY98_taxID_6565_model	1.552	37	80.879	78	0.000	914
A0A8B8EZS9_taxID_6565_model_A	1.974	31	90.844		NA	712
A0A8S3PQQ5_taxID_6550_model	2.784	141	88.897	188	0.000	802
A0A8S3PUT0_taxID_6550_model_A	2.721	141	96.804	200	0.000	648
A0A8S3QCN4_taxID_6550_model_A	1.759	29	73.930	69	0.000	675
A0A8S3R655_taxID_6550_model_A	2.462	32	85.931		NA	597
A0A8S3R6D1_taxID_6550_model	2.782	141	92.169	188	0.000	802
A0A8S3RAB7_taxID_6550_model	0.796	39	79.161	80	0.000	924
A0A8S3RU87_taxID_6550_model	2.933	127	93.059	174	0.000	580
A0A8S3RVH3_taxID_6550_model	0.878	3	92.463		NA	797
A0A8S3RXY4_taxID_6550_model	2.735	119	94.703	183	0.000	690
A0A8S3S1J4_taxID_6550_model	1.284	25	87.914	75	0.000	888
A0A8S3SIB6_taxID_6550_model_A	2.983	116	95.353	162	0.000	648
A0A8S3SLQ6_taxID_6550_model	0.786	30	88.786		NA	815
A0A8S3T549_taxID_6550_model	3.268	137	90.605	183	0.000	776
A0A8S3TBT4_taxID_6550_model_A	2.497	32	82.912		NA	597
A0A8S3THT1_taxID_6550_model	3.137	149	91.034	195	0.000	776
A0A8S3THZ3_taxID_6550_model	1.398	27	86.398		NA	686
A0A8S3TRN7_taxID_6550_model	1.374	9	89.824	60	0.000	665
A0A8S3ZTJ4_taxID_100452_model	2.952	25	84.783		NA	802
A0A8W8HSV4_taxID_29159_model	1.345	32	89.246		NA	658
A0A8W8HSX6_taxID_29159_model	1.157	31	87.459		NA	658
A0A8W8HTH0_taxID_29159_model	1.391	85	84.689		NA	711
A0A8W8HTH5_taxID_29159_model	1.204	31	90.292		NA	657
A0A8W8JFH2_taxID_29159_model	2.904	61	87.126	127	0.000	601
A0A8W8JTC5_taxID_29159_model_A	2.423	36	87.422	85	0.000	747
A0A8W8JTD0_taxID_29159_model	2.698	71	86.216	118	0.000	834
A0A8W8JU00_taxID_29159_model	1.505	38	75.917	79	0.000	842
A0A8W8JXH8_taxID_29159_model	0.413	27	87.532		NA	762
A0A8W8JXI3_taxID_29159_model_A	2.400	114	84.253	163	0.000	825
A0A8W8JY26_taxID_29159_model	0.962	32	87.204		NA	725
A0A8W8K3U2_taxID_29159_model_A	1.972	28	83.695	70	0.000	717
A0A8W8K452_taxID_29159_model	0.965	27	89.411		NA	720
A0A8W8K7P4_taxID_29159_model	1.334	76	86.113		NA	873
A0A8W8KA56_taxID_29159_model_A	1.963	18	81.953	60	0.000	707
A0A8W8KEM7_taxID_29159_model	2.796	109	86.808	175	0.000	801
A0A8W8KI22_taxID_29159_model	1.528	29	84.264		NA	795
A0A8W8LVB7_taxID_29159_model_A	1.896	33	96.574	73	0.000	765
A0A8W8M4V1_taxID_29159_model	1.104	29	94.926	69	0.000	672
A0A8W8MDV3_taxID_29159_model	1.753	30	72.468		NA	637
A0A8W8NCM3_taxID_29159_model_A	1.110	32	86.101		NA	682
A0A8W8NQN0_taxID_29159_model_A	0.999	33	84.132		NA	683
A0A9D4DYF0_taxID_45954_model	1.388	24	87.927	73	0.000	647
A0A9D4E7C8_taxID_45954_model	0.616	29	84.247		NA	785
A0A9D4E955_taxID_45954_model	0.586	29	82.800		NA	789
A0A9D4FNI9_taxID_45954_model	2.983	155	93.849	201	0.000	651
A0A9D4IE68_taxID_45954_model	0.753	28	85.379	81	0.000	893
A0A9D4MW35_taxID_45954_model	0.903	40	89.684		NA	713
A0A9D4MZ30_taxID_45954_model	0.937	33	90.348		NA	717
A0A9D4S052_taxID_45954_model	0.955	39	90.576		NA	672
A0A9U8DXM5_taxID_6526_model	2.866	135	94.985	182	0.000	636
A0A9U8DXQ3_taxID_6526_model	2.864	135	94.944	182	0.000	635
A0A9U8DY29_taxID_6526_model	2.866	138	95.579	185	0.000	644
A0A9W3BB61_taxID_6526_model	2.410	27	66.544		NA	623
A0A9W3BB75_taxID_6526_model	2.756	28	83.856		NA	642
A0A9W3BCD9_taxID_6526_model	2.794	133	95.528	180	0.000	633
A0A9W3BCI9_taxID_6526_model	2.817	140	95.226	187	0.000	765
A0A9W3BCN2_taxID_6526_model	2.864	143	95.504	190	0.000	647
A0A9W3BCU0_taxID_6526_model	2.845	140	96.197	187	0.000	766
A0A9W3BCU2_taxID_6526_model	2.640	27	82.467		NA	628
A0A9W3BCU8_taxID_6526_model_A	2.897	138	95.482	185	0.000	648
A0A9W3BCV1_taxID_6526_model	2.326	26	88.134		NA	637
A0AA36ASM0_taxID_6645_model	2.826	120	90.141	167	0.000	710
A0AA88XCP2_taxID_66713_model	3.117	90	91.072	137	0.000	636
A0AA88XIM2_taxID_66713_model	0.652	9	78.041	50	0.000	926
A0AA88XLZ1_taxID_66713_model	3.063	132	91.330	179	0.000	678
A0AA88XQR2_taxID_66713_model	0.000	27	87.179		NA	680
A0AA88Y482_taxID_66713_model	2.889	86	87.450	133	0.000	670
A0AA88YL18_taxID_66713_model_A	1.483	79	80.224		NA	751
A0AA89BLK6_taxID_66713_model	0.939	30	77.431		NA	847
A0AA89C6N4_taxID_66713_model	1.095	31	92.778	71	0.000	753
A0AAD8ATH3_taxID_112525_model	2.861	143	95.366	190	0.000	647
A0AAD8ATH6_taxID_112525_model	2.820	140	96.742	187	0.000	765
A0AAD8ATH9_taxID_112525_model	2.816	140	94.961	187	0.000	766
A0AAD8ATJ4_taxID_112525_model	2.816	147	94.572	194	0.000	647
A0AAD8ATK2_taxID_112525_model_A	2.736	17	85.263		NA	618
A0AAD8AV33_taxID_112525_model	2.869	135	95.119	182	0.000	621
A0AAD8EWM2_taxID_112525_model	2.809	28	74.302		NA	598
A0AAE0SIA6_taxID_2493646_model_A	1.217	91	85.068	141	0.000	697
A0AAE0SXX2_taxID_2493646_model	0.936	29	81.985		NA	799
A0AAE0SY34_taxID_2493646_model	0.922	26	85.649		NA	780
A0AAE0T9H2_taxID_2493646_model	1.478	27	88.401	78	0.000	646
A0AAE0T9M7_taxID_2493646_model	0.620	63	89.710		NA	765
A0AAE0TCX4_taxID_2493646_model_A	1.405	30	89.494	70	0.000	640
A0AAE0TE62_taxID_2493646_model	1.418	28	95.370	68	0.000	667
A0AAE0VIU4_taxID_2493646_model	2.840	82	93.035	129	0.000	672
A0AAE0W4I8_taxID_2493646_model	1.029	29	85.918		NA	692
A0AAE0WAF6_taxID_2493646_model	0.731	25	87.531	65	0.000	727
A0AAE0WBG3_taxID_2493646_model	0.981	29	75.581	69	0.000	730
A0AAE1A084_taxID_231223_model	2.779	33	88.091	80	0.000	725
A0AAN8JA38_taxID_87958_model	2.900	129	95.177	176	0.000	829
A0AAN8JC93_taxID_87958_model	2.856	96	93.768	143	0.000	796
A0AAN9BYU3_taxID_31220_model	2.366	49	82.201		NA	800
A0AAN9C041_taxID_31220_model	2.336	32	84.653		NA	783
A0AAV2IBA7_taxID_6523_model	2.693	143	93.936	190	0.000	764
A0AAV4B738_taxID_259542_model	2.519	84	83.363		NA	905
A0AAV4HL71_taxID_1093978_model	2.690	27	83.248		NA	702
A0ABD3TLC0_taxID_1069815_model	1.348	30	85.233	80	0.000	630
A0ABD3TLM7_taxID_1069815_model	1.498	30	67.835	80	0.000	626
A0ABD3UTI4_taxID_1069815_model	2.519	28	80.319	68	0.000	687
A0ABD3VAS0_taxID_1069815_model	0.941	29	89.957		NA	713
A0ABD3VAS6_taxID_1069815_model	0.974	29	92.722		NA	697
A0ABD3VAT2_taxID_1069815_model	0.929	29	81.184		NA	794
A0ABD3VAT5_taxID_1069815_model	0.883	30	89.449		NA	693
A0ABD3VD34_taxID_1069815_model	0.911	29	84.968		NA	772
A0ABD3VDR8_taxID_1069815_model	0.945	27	82.554		NA	793
A0ABD3VDU0_taxID_1069815_model	1.162	29	80.132		NA	784
A0ABD3VFH0_taxID_1069815_model	1.156	27	89.757	78	0.000	646
A0ABD3VGD3_taxID_1069815_model	1.945	3	90.469		NA	697
A0ABD3VGV3_taxID_1069815_model	0.679	30	86.480	70	0.000	714
A0ABD3VGY0_taxID_1069815_model	1.147	26	84.417	66	0.000	725
A0ABD3VGY9_taxID_1069815_model_A	1.225	30	90.302	70	0.000	641
A0ABD3VH04_taxID_1069815_model	0.953	28	94.579	68	0.000	667
A0ABD3VIF5_taxID_1069815_model	1.200	29	76.880	69	0.000	730
A0ABD3VIH1_taxID_1069815_model	1.445	28	78.354	68	0.000	650
A0ABD3VJE0_taxID_1069815_model	1.489	28	95.132	68	0.000	667
A0ABD3VJW7_taxID_1069815_model	1.239	28	88.108	68	0.000	650
A0ABQ9EBE2_taxID_220873_model_A	2.828	77	74.569	117	0.000	716
A0ABQ9EE55_taxID_220873_model	1.683	25	93.637	75	0.000	630
A0ABQ9EH66_taxID_220873_model	2.781	143	88.148	190	0.000	802
A0ABY7E0K8_taxID_6604_model	0.850	31	94.222		NA	775
A0ABY7E8M5_taxID_6604_model	0.810	64	93.025		NA	761
A0ABY7EQR1_taxID_6604_model	0.839	33	81.161	86	0.000	895
A0ABY7EVT5_taxID_6604_model	2.864	104	95.075	151	0.000	665
A0ABY7EW96_taxID_6604_model	0.644	29	74.304		NA	761
A0ABY7GC10_taxID_6604_model	3.027	171	94.875	217	0.000	659
K1PS50_taxID_29159_model	1.112	90	94.748	130	0.000	733
K1PY25_taxID_29159_model	2.769	61	85.918	112	0.000	565
K1Q6C9_taxID_29159_model	0.403	27	88.188		NA	762
K1Q7A7_taxID_29159_model	1.321	32	84.497		NA	658
K1QE57_taxID_29159_model_A	2.425	42	86.896	91	0.000	753
K1QHI1_taxID_29159_model_A	1.118	55	85.463		NA	705
K1QMD1_taxID_29159_model	2.713	71	88.647	118	0.000	825
K1QPB3_taxID_29159_model	0.987	94	86.371		NA	787
K1QXR1_taxID_29159_model_A	2.970	316	96.466	362	0.000	857
K1R2H1_taxID_29159_model	2.222	74	89.664		NA	914
K1RE44_taxID_29159_model	1.132	54	86.766		NA	679
K1RFL7_taxID_29159_model	1.210	31	87.422		NA	657
K1RLT5_taxID_29159_model	1.640	29	83.065		NA	815
Q76DT9_taxID_6628_model	2.795	135	95.274	182	0.000	625
Q76DU0_taxID_6628_model	2.766	135	94.980	182	0.000	625
Q7YT36_taxID_6610_model	2.816	126	94.285	173	0.000	606
S5QBT9_taxID_66713_model_A	2.772	29	84.531	79	0.000	756
U5U0P0_taxID_29159_model	1.307	32	87.611		NA	658
U5Y3T5_taxID_73031_model	2.734	140	97.147	187	0.000	687
U5Y6Q1_taxID_73031_model	1.418	28	83.185		NA	680
U5Y6V7_taxID_73031_model	1.296	27	88.881		NA	699
V3ZAB2_taxID_225164_model	2.733	133	85.621	196	0.000	766
