accession	thioether	sg_dist
A0A059JJQ6	C	3.11
A0A059TZU2	-	12.83
A0A059U1P9	-	12.81
A0A059UAM0	C	2.87
A0A060S6S8	C*	4.00
A0A060WMQ6	-	13.23
A0A060WUY0	-	13.24
A0A060X1G5	-	12.81
A0A060X8B7	-	13.60
A0A060XL10	-	13.27
A0A061DZ45	C	3.23
A0A061E0X0	C	3.15
A0A061E6S7	C	3.22
A0A061GEN3	C	2.91
A0A061GFI2	-	NA
A0A061GFY3	C	2.76
A0A061GFY7	C	3.01
A0A061GMJ6	C	2.76
A0A061GMK1	C	2.93
A0A061HFI6	C	3.36
A0A061HSG6	C	3.47
A0A061IGF6	-	13.13
A0A062U9V8	C	2.85
A0A063BRM1	C*	3.57
A0A066RUA7	-	NA
A0A066WXF3	C	3.41
A0A066X3Q1	-	NA
A0A066X6L4	-	15.83
A0A066X7V3	C	3.35
A0A066X846	-	23.05
A0A066X9U3	C	3.41
A0A066XLM3	-	23.18
A0A066XQD0	-	22.78
A0A066XSE1	-	NA
A0A066XSY6	C*	3.54
A0A066XW40	C	3.06
A0A066XWR5	-	23.65
A0A066XZ78	-	22.87
A0A066Y1D2	-	22.72
A0A066Y1V3	-	NA
A0A066Z0K1	C	3.35
A0A067BLT8	-	10.76
A0A067BLZ4	-	11.92
A0A067BRT6	-	11.94
A0A067BTT5	-	15.77
A0A067BUS0	-	21.46
A0A067BX73	-	10.67
A0A067BZH5	-	10.69
A0A067C156	-	11.97
A0A067C631	-	10.65
A0A067CPX4	-	11.78
A0A067CT24	-	NA
A0A067CXC8	-	12.13
A0A067CZT6	-	NA
A0A067D5R2	-	12.08
A0A067D814	-	12.06
A0A067GK93	C	2.85
A0A067JAU2	C	2.97
A0A067MC03	-	23.32
A0A067MC09	-	23.33
A0A067MJR9	C	3.28
A0A067MSX0	-	15.52
A0A067N7R8	-	22.07
A0A067NXD0	-	13.20
A0A067PHP8	C	2.95
A0A067PSS3	C*	3.88
A0A067S9C3	-	15.78
A0A067T9P6	-	22.54
A0A067TCE7	-	22.01
A0A067TKM5	C	3.11
A0A067XIX1	C*	10.41
A0A068NQY3	C	3.26
A0A068TU86	C	2.79
A0A068UD36	C	2.86
A0A068UEN7	C	2.90
A0A068UEP3	C	2.93
A0A068VNV4	C	2.81
A0A069NJ99	C	3.16
A0A069P877	C	2.99
A0A069P8P9	C*	3.50
A0A072P207	-	20.33
A0A072P5W0	-	23.18
A0A072P8W8	-	22.26
A0A072PCR1	-	18.93
A0A072PJG5	-	16.64
A0A072Q6Y5	-	NA
A0A074RCL1	-	22.09
A0A074RJD3	-	21.74
A0A074RKY4	-	21.74
A0A074RLS0	-	21.99
A0A074RRF8	C*	3.61
A0A074RSM2	-	22.10
A0A074RSY5	C*	3.56
A0A074RTB9	-	17.33
A0A074RWE6	-	NA
A0A074RXC0	-	23.41
A0A074RXE5	-	15.68
A0A074RXR6	-	23.50
A0A074RYB7	-	15.57
A0A074S0H8	-	22.05
A0A074S2B5	-	21.96
A0A074S7C5	-	13.90
A0A074S7W9	-	10.71
A0A074S897	-	23.66
A0A074S9M8	-	NA
A0A074SA15	-	22.12
A0A074SDG0	-	NA
A0A074SFZ9	-	23.26
A0A074SK72	-	14.13
A0A074SK81	-	14.36
A0A074SUA9	-	22.55
A0A074VDT7	-	22.96
A0A074VGZ0	-	19.95
A0A074VIF5	C	3.24
A0A074W682	-	NA
A0A074W6F3	-	NA
A0A074WGJ9	C	2.94
A0A074WJS2	-	22.58
A0A074WWD6	-	22.88
A0A074X475	-	22.85
A0A074XC75	C	3.22
A0A074XNA1	-	22.68
A0A074XR97	-	22.80
A0A074XWE1	-	22.93
A0A074Y1Q9	-	22.80
A0A074YH07	-	22.76
A0A074YPA7	C	2.52
A0A074YPF6	-	22.69
A0A074YQS1	-	NA
A0A074Z7G7	C*	10.24
A0A074ZDD7	-	NA
A0A074ZPR2	C*	11.15
A0A075AU36	-	22.32
A0A075AX41	-	21.75
A0A075AYG4	-	23.43
A0A075B1D3	-	11.47
A0A075BWS7	C	2.88
A0A075BX21	C	2.82
A0A075DN54	C	2.85
A0A076FRB3	C	2.95
A0A076FRN6	C	2.91
A0A076FRP2	C	2.94
A0A076FRP6	C	2.83
A0A076FT34	C	2.85
A0A076FX85	C	2.82
A0A076FX88	C	2.81
A0A076JQI5	-	25.03
A0A076KXK6	-	16.29
A0A077HD11	-	17.43
A0A077R9S7	-	16.01
A0A077S4H3	C*	4.79
A0A077YX65	-	NA
A0A077Z814	-	10.88
A0A077ZGT3	-	NA
A0A078AII6	C*	3.82
A0A080Z0A1	-	12.52
A0A080ZC48	-	NA
A0A080ZC49	-	NA
A0A080ZVP8	-	12.27
A0A080ZVP9	-	NA
A0A080ZVS2	-	12.29
A0A080ZVS5	-	12.52
A0A080ZVS7	-	12.07
A0A081AHF5	-	12.05
A0A081AVN2	-	12.15
A0A081AZP8	-	12.28
A0A081CKB9	-	16.48
A0A081XZW0	-	NA
A0A084AF08	-	22.47
A0A084AJL7	-	NA
A0A084AR48	-	23.77
A0A084AV30	C	2.91
A0A084AYI1	C	3.44
A0A084B2K4	-	23.00
A0A084B4D9	-	21.90
A0A084B663	-	23.08
A0A084B7G3	-	15.44
A0A084B8J4	-	23.35
A0A084BB06	-	22.20
A0A084FV28	-	23.09
A0A084FV70	-	23.29
A0A084G098	-	15.46
A0A084G3K0	-	22.91
A0A084G593	-	15.69
A0A084G5H0	-	18.90
A0A084G6B5	-	22.67
A0A084G7V9	-	22.11
A0A084G9G0	-	16.03
A0A084GCK1	-	23.32
A0A084GDW0	-	NA
A0A084GGH5	C	2.95
A0A084QC22	C	3.06
A0A084QCB8	-	23.07
A0A084QJ67	C	3.36
A0A084QQ18	-	21.83
A0A084QWG9	-	22.20
A0A084QX23	-	22.64
A0A084QY85	-	23.93
A0A084QZJ0	-	23.21
A0A084R0Y5	-	21.14
A0A084R149	-	15.33
A0A084R1I5	-	NA
A0A085M8H3	-	NA
A0A085N949	-	11.05
A0A086ADX6	C	3.41
A0A086J2K3	-	24.24
A0A086N2U2	-	NA
A0A086SV08	-	22.82
A0A086T0Z5	-	NA
A0A087QSF6	-	12.77
A0A087R0E2	-	13.37
A0A087RFL1	-	13.05
A0A087UWG8	-	NA
A0A087V2P2	-	13.01
A0A087X5L9	-	12.79
A0A087XJW4	-	13.31
A0A087XNB6	-	12.76
A0A087YDX2	-	12.79
A0A087YHH7	-	13.31
A0A089WYP0	-	NA
A0A089X5M9	-	NA
A0A090CH20	-	15.89
A0A090CL68	-	23.95
A0A090CMR9	-	22.03
A0A090CWC0	C	2.75
A0A090D4S5	-	22.06
A0A090L4G2	-	13.75
A0A090L5U2	-	13.14
A0A090LAX1	-	14.49
A0A090LH51	-	14.81
A0A090MKY8	C	2.97
A0A090N5Z6	-	22.67
A0A091DE91	-	12.72
A0A091EJM4	-	NA
A0A091EJW4	-	12.66
A0A091EQ39	-	13.24
A0A091EQG7	-	13.01
A0A091GBZ3	-	12.64
A0A091GGF7	-	12.97
A0A091H384	-	12.68
A0A091HA89	-	13.25
A0A091HDB5	-	13.31
A0A091HSS0	-	13.33
A0A091IFA6	-	13.07
A0A091ISS4	-	12.61
A0A091IY37	-	NA
A0A091JF89	-	13.08
A0A091K495	-	12.65
A0A091K9P7	-	13.24
A0A091L5Q5	-	12.78
A0A091L9M2	-	NA
A0A091LD51	-	13.14
A0A091N6A9	-	12.66
A0A091N6N3	-	13.22
A0A091NYE1	-	13.33
A0A091P6C8	-	13.07
A0A091P7E8	-	12.67
A0A091QFD1	-	13.04
A0A091QKA4	-	13.43
A0A091QM34	-	12.80
A0A091RH37	-	13.35
A0A091S066	-	12.93
A0A091SAS8	-	13.41
A0A091T007	-	13.06
A0A091TDY4	-	12.78
A0A091TMG5	-	NA
A0A091U7D6	-	12.74
A0A091VK98	-	13.04
A0A091W054	-	13.05
A0A091W550	-	12.73
A0A091W941	-	12.81
A0A091WPJ3	-	13.42
A0A093CEX0	-	13.10
A0A093CEY8	-	13.41
A0A093CQX0	-	NA
A0A093FE14	-	13.01
A0A093FW37	-	13.55
A0A093GEC8	-	12.71
A0A093GMV7	-	13.01
A0A093H736	-	NA
A0A093I3S2	-	12.97
A0A093IJB5	-	12.68
A0A093JA04	-	NA
A0A093NFD8	-	13.01
A0A093NYR8	-	12.65
A0A093PRN0	-	12.63
A0A093QDY2	-	13.19
A0A093R256	-	NA
A0A093R2N9	-	12.68
A0A093RE66	-	12.97
A0A093V4K7	-	22.95
A0A093VIP7	C	3.22
A0A093XBB1	-	21.83
A0A094KB04	-	12.71
A0A094KNZ4	-	13.16
A0A094KVX1	-	12.98
A0A094ZEX3	C*	10.61
A0A095CG52	C*	10.37
A0A096MND7	-	NA
A0A096P1J2	-	12.75
A0A097ZQG6	C	2.87
A0A097ZQG8	C	2.87
A0A097ZQH0	C	2.72
A0A097ZQH2	C	2.76
A0A097ZQH9	C	2.72
A0A097ZQI2	C	2.87
A0A098E091	-	22.62
A0A098SBM4	-	20.41
A0A098VS40	-	11.24
A0A098Y3K8	C	3.27
A0A098YAD9	-	NA
A0A099MZ46	C*	3.52
A0A099ZQM2	-	NA
A0A099ZU00	-	12.75
A0A0A0A6E7	-	13.04
A0A0A0AZE1	-	12.67
A0A0A0B9F3	-	13.24
A0A0A0D635	C	3.39
A0A0A0F2E9	-	10.13
A0A0A0LUI1	C	3.25
A0A0A0LXD0	C	2.77
A0A0A1SZ60	C*	3.79
A0A0A1T2S7	C	2.82
A0A0A1T3I6	C	2.87
A0A0A1T7C1	-	15.99
A0A0A1T9R6	-	15.20
A0A0A1TL71	C	3.03
A0A0A1UIL1	-	21.74
A0A0A1UJW0	-	14.13
A0A0A1UJX2	-	14.42
A0A0A1UQ03	-	22.71
A0A0A1V0A4	C	3.45
A0A0A1V7Z8	C	2.96
A0A0A1VA99	C*	6.47
A0A0A1VAF9	-	22.19
A0A0A1YUC0	C*	3.69
A0A0A2J1X4	-	22.53
A0A0A2JBW7	C	2.76
A0A0A2JEJ9	-	22.65
A0A0A2JPW5	-	16.49
A0A0A2JVP7	-	22.28
A0A0A2KL20	-	22.67
A0A0A2KWA6	-	22.25
A0A0A2LDC3	C	3.27
A0A0A2VDR5	-	NA
A0A0A2VJT0	C	2.88
A0A0A2VR17	C	2.68
A0A0A2VY68	-	12.60
A0A0A2VYA5	-	15.25
A0A0A2W0H5	-	22.22
A0A0A2WKA0	C	2.93
A0A0A2X4S5	-	NA
A0A0A3XNH3	C	3.49
A0A0A3XV83	C	3.40
A0A0A6DAA9	-	14.71
A0A0A6UDS1	-	15.87
A0A0A6UH53	-	15.77
A0A0A6UH99	-	15.73
A0A0A6UK08	-	14.10
A0A0A7CLR3	-	11.96
A0A0A7CLT5	-	11.92
A0A0A7CM13	-	NA
A0A0A7CM93	-	NA
A0A0A7CMA7	-	NA
A0A0A7CMC8	-	10.48
A0A0A7CN07	-	12.38
A0A0A7CN79	-	NA
A0A0A7CNE6	-	11.75
A0A0A7CNM6	-	21.60
A0A0A7CNP6	-	12.15
A0A0A7CP65	-	NA
A0A0A7CPE6	-	11.80
A0A0A7DL33	-	23.70
A0A0A9H6D8	C	2.86
A0A0B1PD39	C	3.33
A0A0B1SX71	-	13.10
A0A0B1TC96	-	13.34
A0A0B1TJU4	-	13.86
A0A0B1TMI8	-	14.16
A0A0B2P1N0	C	2.81
A0A0B2P669	C	2.82
A0A0B2PHV4	C	2.74
A0A0B2RGX4	C	2.80
A0A0B2SNE1	C	2.90
A0A0B2SNW5	C	2.76
A0A0B2SP68	C	2.80
A0A0B2UX79	-	17.50
A0A0B2V4Z1	-	13.88
A0A0B2V753	-	13.32
A0A0B2VDU0	-	14.41
A0A0B2VHS7	-	11.14
A0A0B2VUC6	-	11.87
A0A0B2VVI5	-	12.32
A0A0B2WQI7	C*	3.53
A0A0B2X1U6	-	NA
A0A0B2XHY5	C*	6.78
A0A0B4EB98	-	22.76
A0A0B4EN03	C*	3.64
A0A0B4F0K9	-	19.82
A0A0B4FMW4	C	2.99
A0A0B4FP45	C	3.16
A0A0B4G3L8	-	22.45
A0A0B4GIZ3	C*	7.17
A0A0B4GNB7	-	22.66
A0A0B4H3N4	C*	3.70
A0A0B4H7V4	C*	3.55
A0A0B4HCA4	C	3.13
A0A0B4IAB3	C*	6.83
A0A0B4XAD1	-	13.34
A0A0B5D7C0	C*	12.35
A0A0B5EPG7	-	NA
A0A0B5F6T3	-	15.83
A0A0B5IBE8	-	NA
A0A0B6AQS6	-	NA
A0A0B7A0D2	C	3.33
A0A0B7A1Q5	C	3.38
A0A0B7A255	C*	3.56
A0A0B7AFX7	C*	3.56
A0A0B7AGB0	C*	3.79
A0A0B7AML2	-	9.46
A0A0B7BDN3	C	3.40
A0A0B7F0F6	-	13.92
A0A0B7F0G8	-	13.95
A0A0B7F0N2	-	13.74
A0A0B7F0Q1	-	13.92
A0A0B7F1Z6	-	14.17
A0A0B7F229	-	22.47
A0A0B7F3K0	-	22.17
A0A0B7F5A8	-	22.20
A0A0B7F7A3	-	22.43
A0A0B7F8H0	-	22.04
A0A0B7FCB0	-	21.98
A0A0B7FGN3	-	21.92
A0A0B7FL26	-	NA
A0A0B7FN78	-	23.49
A0A0B7FQ89	-	17.54
A0A0B7FT97	C	2.92
A0A0B7FUX7	-	15.90
A0A0B7FUY2	-	14.15
A0A0B7FY08	-	14.15
A0A0B7G165	-	14.51
A0A0B7G340	-	21.99
A0A0B7JMD6	C	2.87
A0A0B7JS93	-	22.56
A0A0B7K4V5	-	22.76
A0A0B7K6S2	C	2.93
A0A0B7K6S7	-	22.88
A0A0B7K9E9	-	21.30
A0A0B7KA41	-	23.07
A0A0B7KAK2	-	15.22
A0A0B7KF68	-	15.15
A0A0B7KF87	-	10.19
A0A0B7KFX7	C*	4.24
A0A0B7KHL5	-	22.75
A0A0C1NKB8	-	NA
A0A0C2EVM1	C*	3.55
A0A0C2EWN4	C	3.44
A0A0C2F7M2	-	22.94
A0A0C2F903	C	3.39
A0A0C2G9S5	-	12.89
A0A0C2GMT1	-	14.33
A0A0C2HF86	-	NA
A0A0C2HHH6	-	NA
A0A0C2IEJ5	-	23.16
A0A0C2IES4	-	19.60
A0A0C2IMK2	C	2.89
A0A0C2W6Y7	-	23.40
A0A0C2W7D5	C	3.30
A0A0C2WNA9	C	3.03
A0A0C2WPB2	-	NA
A0A0C2WPJ7	-	23.04
A0A0C2WY12	-	23.29
A0A0C2X1R3	C*	3.72
A0A0C2XG69	-	23.46
A0A0C2YBV3	C	3.09
A0A0C3AKS7	C	2.97
A0A0C3ARA1	C	2.94
A0A0C3ASP0	-	23.64
A0A0C3B3A9	-	23.16
A0A0C3B6I5	-	NA
A0A0C3B766	-	23.49
A0A0C3B7P4	-	23.27
A0A0C3BJQ5	-	22.40
A0A0C3CP60	-	14.94
A0A0C3CRE9	-	21.79
A0A0C3D1N7	-	22.19
A0A0C3DMT8	-	22.95
A0A0C3EEV9	C*	3.67
A0A0C3F7Q7	-	22.16
A0A0C3FFF8	-	14.50
A0A0C3FR79	-	21.22
A0A0C3FYC4	-	14.39
A0A0C3GI02	-	15.29
A0A0C3H1J4	C	3.06
A0A0C3H2L9	-	14.59
A0A0C3LFR5	C*	4.00
A0A0C3NCS7	C	3.03
A0A0C3P2N1	C	3.44
A0A0C3PGK8	C*	3.91
A0A0C3Q4S8	C	3.24
A0A0C3QVQ1	C*	4.05
A0A0C3RQX3	C	3.00
A0A0C3S3B5	C	3.45
A0A0C4DI87	-	23.11
A0A0C4DNP1	-	21.74
A0A0C4DNS3	-	21.84
A0A0C4DNU4	-	23.04
A0A0C4DWW6	-	23.75
A0A0C4DX73	C	3.42
A0A0C4DY08	-	21.60
A0A0C4DYF2	-	23.12
A0A0C4DYX4	-	16.62
A0A0C4E0P1	-	23.75
A0A0C4E313	C	2.79
A0A0C4E3X1	-	22.33
A0A0C4E530	-	22.64
A0A0C4E8A2	-	15.09
A0A0C4ECI4	-	23.02
A0A0C4ECU2	-	22.58
A0A0C4EEL6	-	NA
A0A0C4EFA8	-	NA
A0A0C4F9W5	-	NA
A0A0C5G0L4	-	NA
A0A0C9S6R6	C	3.37
A0A0C9SL04	-	NA
A0A0C9SMC2	C	3.12
A0A0C9SRH3	-	NA
A0A0C9SUN8	-	19.00
A0A0C9T1I0	C	2.89
A0A0C9TQW6	C	2.85
A0A0C9TZW6	C	2.75
A0A0C9USP9	-	22.03
A0A0C9UT30	-	21.93
A0A0C9VHR2	-	21.98
A0A0C9W3M0	C	3.26
A0A0C9W3X0	-	16.97
A0A0C9W5Z2	C	2.95
A0A0C9WDK0	C*	3.68
A0A0C9WXQ7	C*	3.65
A0A0C9XE26	-	22.30
A0A0C9YP62	-	17.90
A0A0C9Z647	C*	3.55
A0A0D0AL52	C*	3.99
A0A0D0AMS9	C*	3.65
A0A0D0CBB0	C	3.36
A0A0D0CCA2	-	15.33
A0A0D0CV66	C	3.10
A0A0D0E695	C	2.82
A0A0D0EB00	C*	4.27
A0A0D0NEG3	C	3.41
A0A0D1CHR5	-	15.69
A0A0D1E6L1	-	8.46
A0A0D1W1D4	-	20.31
A0A0D1XF56	-	15.91
A0A0D1YF04	-	22.30
A0A0D1YWF9	C	3.26
A0A0D1YXH7	C	3.28
A0A0D1Z6F1	C	3.29
A0A0D1ZN85	-	15.54
A0A0D1ZTP1	-	15.32
A0A0D1ZZE1	C	2.83
A0A0D2AGE3	C	3.37
A0A0D2ANN3	C*	4.20
A0A0D2B6L8	-	22.20
A0A0D2BB96	-	22.12
A0A0D2BH13	-	15.30
A0A0D2BK54	-	20.44
A0A0D2BKG3	-	22.31
A0A0D2BQ72	-	20.37
A0A0D2BR19	-	18.16
A0A0D2BUH7	C	3.29
A0A0D2C2B9	-	20.29
A0A0D2C7N4	-	22.15
A0A0D2CCR2	-	21.77
A0A0D2CEU5	C*	3.68
A0A0D2CGS3	C*	3.85
A0A0D2CK37	C	3.20
A0A0D2CYM2	-	20.40
A0A0D2CZ06	-	22.09
A0A0D2D206	C	3.46
A0A0D2D664	-	17.96
A0A0D2D9V1	C	2.90
A0A0D2DPV7	-	17.96
A0A0D2DYM6	-	22.28
A0A0D2E0K9	C	2.83
A0A0D2EDR6	-	15.37
A0A0D2EE95	C	2.88
A0A0D2EIL3	-	22.41
A0A0D2EJY3	-	16.64
A0A0D2ETA8	-	15.47
A0A0D2EZC7	-	15.39
A0A0D2EZH2	-	NA
A0A0D2F3M9	-	20.40
A0A0D2F4M5	-	17.92
A0A0D2FU82	-	NA
A0A0D2G164	-	15.75
A0A0D2G9B5	-	15.22
A0A0D2GDT0	-	23.03
A0A0D2HA46	-	22.27
A0A0D2HB08	-	20.36
A0A0D2HER3	-	15.29
A0A0D2HGH5	-	22.26
A0A0D2IAF0	-	15.43
A0A0D2IUZ3	C	3.38
A0A0D2IWH9	-	20.27
A0A0D2JFD5	-	22.17
A0A0D2JSE2	C*	3.54
A0A0D2K829	-	22.19
A0A0D2KPV7	C	3.18
A0A0D2KQZ9	-	22.22
A0A0D2L070	-	20.28
A0A0D2LDS6	-	22.29
A0A0D2LGV5	-	21.93
A0A0D2M1N4	-	NA
A0A0D2MIA5	C	2.76
A0A0D2MNS5	-	22.32
A0A0D2N6P1	C	3.04
A0A0D2NI02	C	3.19
A0A0D2P6I0	C	3.05
A0A0D2PGN2	-	21.82
A0A0D2PWI2	-	11.38
A0A0D2R8B0	C	3.07
A0A0D2R8B7	C	3.16
A0A0D2RZ91	C	2.88
A0A0D2TW57	C	3.30
A0A0D2UGD8	C	2.74
A0A0D2UIJ1	-	NA
A0A0D2VFA6	C	2.81
A0A0D2XK45	-	22.85
A0A0D2XQH2	C	2.97
A0A0D2XTU9	-	22.66
A0A0D2XZ37	C	2.97
A0A0D2Y718	C	3.34
A0A0D2YBM6	-	16.73
A0A0D2YK19	-	20.29
A0A0D3EUY4	C	2.87
A0A0D3G0L1	C	2.95
A0A0D3ITL1	C	2.99
A0A0D3IU29	C*	3.78
A0A0D3JE56	C*	3.60
A0A0D3JSQ2	C*	11.22
A0A0D3JST8	C*	11.56
A0A0D3L0P7	C	3.41
A0A0D3QE84	C	2.76
A0A0D3QEA5	C	2.80
A0A0D3QEB3	C	3.28
A0A0D3QEC2	C*	3.65
A0A0D4D5X8	C	2.75
A0A0D4DDB6	C	3.17
A0A0D6B3K9	C	3.11
A0A0D6L5D9	-	17.27
A0A0D6LDG1	-	11.91
A0A0D6LE19	-	14.19
A0A0D6LFQ9	-	12.34
A0A0D6LVI5	-	13.97
A0A0D6LVJ5	-	13.41
A0A0D6LYK8	-	17.04
A0A0D6LZL4	-	NA
A0A0D6MD13	-	16.74
A0A0D6P930	C*	3.95
A0A0D6R7V1	C*	3.77
A0A0D7AWR7	C	3.06
A0A0D7AZP4	C	2.70
A0A0D7BDR1	C	2.81
A0A0D7BEH6	C	2.89
A0A0D7BKM1	C	3.00
A0A0D8BE38	-	15.65
A0A0D8Y241	-	14.10
A0A0D8Y996	-	18.38
A0A0D8Y9Y2	-	11.79
A0A0D8ZXF6	C	3.15
A0A0D8ZXW9	-	NA
A0A0D8ZY20	-	NA
A0A0D9NK72	C*	3.93
A0A0D9NNM1	-	22.66
A0A0D9NQW1	-	NA
A0A0D9NRE3	-	22.74
A0A0D9NTT3	C*	6.85
A0A0D9P6L9	C	2.96
A0A0D9R9M2	-	12.93
A0A0D9RY79	-	13.27
A0A0D9S0Q1	-	13.15
A0A0D9W9R3	C	2.90
A0A0D9YG01	C	2.86
A0A0D9ZQY0	C*	4.23
A0A0D9ZQY1	C	2.86
A0A0E0C8Q0	C	2.79
A0A0E0C8Q1	-	NA
A0A0E0DIL3	C	3.05
A0A0E0FUB3	C	2.68
A0A0E0FUB6	C	2.73
A0A0E0H672	C	3.16
A0A0E0JPQ3	C*	4.56
A0A0E0JPQ4	C	2.74
A0A0E0KVG9	C	2.83
A0A0E0N3H7	C	2.71
A0A0E0N3I2	C	2.83
A0A0E0PEB1	C	3.08
A0A0E0RYC2	-	22.47
A0A0E1VPL6	C*	3.54
A0A0E3J9W7	-	13.06
A0A0E4BYS9	C	3.24
A0A0F0GI82	-	15.89
A0A0F0I246	-	16.88
A0A0F0IBW7	-	22.49
A0A0F0IFR5	C	3.40
A0A0F0IHD9	-	15.22
A0A0F0IK08	-	22.73
A0A0F2M048	C	3.00
A0A0F2MHX9	-	19.54
A0A0F2MIH6	C	3.27
A0A0F2MJY8	-	23.07
A0A0F2MLY8	-	23.00
A0A0F2T924	C*	9.24
A0A0F4G447	C	3.34
A0A0F4G6N0	-	8.88
A0A0F4G9M2	C*	3.55
A0A0F4GBJ7	-	NA
A0A0F4GHY4	-	22.82
A0A0F4GM26	-	14.87
A0A0F4GNX0	-	15.94
A0A0F4GR75	C*	6.46
A0A0F4GRH8	C*	4.34
A0A0F4GT00	-	16.03
A0A0F4GX97	C	3.41
A0A0F4H1R9	C*	12.68
A0A0F4ITK2	-	NA
A0A0F4JBG8	-	NA
A0A0F4JVR7	-	NA
A0A0F4XVI2	C*	3.98
A0A0F4ZCE5	-	20.91
A0A0F4ZJV7	C	2.97
A0A0F5VAR5	-	NA
A0A0F6AHE7	C	3.34
A0A0F6YHH7	-	15.48
A0A0F7G9W3	C	2.84
A0A0F7KCK6	C	3.38
A0A0F7RVY0	-	14.45
A0A0F7RY93	-	8.11
A0A0F7S7B3	-	23.75
A0A0F7TJ40	-	20.04
A0A0F7TKD9	-	15.19
A0A0F7TMS3	-	22.86
A0A0F7TS50	-	13.93
A0A0F7TYM6	-	22.09
A0A0F7VGQ2	-	22.79
A0A0F7VZF4	-	NA
A0A0F7ZGR3	C	3.22
A0A0F7ZHW4	C	2.95
A0A0F7ZJT6	C	3.19
A0A0F7ZKE7	C	2.99
A0A0F7ZKL0	C	3.01
A0A0F7ZPL7	-	21.66
A0A0F7ZRN8	C	3.25
A0A0F7ZUV5	C	3.07
A0A0F7ZWF9	C	3.08
A0A0F7ZYT2	C	3.17
A0A0F8A039	C	3.27
A0A0F8A0A1	C	3.29
A0A0F8A0K4	-	22.58
A0A0F8A1R3	C	3.13
A0A0F8A4E9	-	NA
A0A0F8A4Q7	C	2.84
A0A0F8B351	C	3.45
A0A0F8CNX3	C	3.30
A0A0F8URR2	-	15.57
A0A0F8W6I0	-	18.74
A0A0F8WX93	-	15.52
A0A0F9J123	-	15.75
A0A0F9WDC2	-	18.92
A0A0F9X0I7	C	3.23
A0A0F9ZGV2	C	3.24
A0A0G2DYV8	C	3.30
A0A0G2E4V6	-	16.00
A0A0G2EEK2	-	23.26
A0A0G2ET15	-	16.56
A0A0G2EUA6	-	23.40
