accession	n_neighbours	n_ustya	closest_ustya	has_TF	has_transporter	has_P450	has_OMT	bgc_context
A0A8B6CGM7	11	0		0	0	0	0	none
A0A8B6CH58	12	0		0	0	0	0	none
A0A8B6DAE8	11	0		0	0	0	0	none
A0A8B6EUU7	13	0		0	0	0	0	none
A0A8B6FWG6	7	0		0	0	0	0	none
A0A8B6G0L3	10	0		0	0	0	0	none
A0A8B6G0N6	11	0		0	0	0	0	none
A0A8B6GUD9	20	0		0	0	0	0	none
A0A8B6GUE4	20	0		0	0	0	0	none
A0A8H4W2C0	7	0		0	0	0	0	none
A0A8S3RKR7	20	0		0	0	0	0	none
A0A8S3SDN1	18	0		0	0	0	0	none
A0A918GY00	20	0		0	0	0	0	none
A0A918K8V8	20	0		0	1	0	0	none
A0A919B0T2	20	0		0	0	0	0	none
A0A919DUL7	16	0		0	1	0	0	none
A0A9D4GXD0	20	0		0	0	0	0	none
A0A9D4H0G3	20	0		0	0	0	0	none
A0A9D4ICM2	20	0		0	0	0	0	none
A0A9P1H0N5	20	0		1	1	0	0	BGC_accessory
A0A9P1M7K0	20	0		1	1	1	0	BGC_accessory
A0A9P6G6A9	20	0		0	1	0	0	none
A0A9P7YDW7	11	0		1	0	0	0	none
A0A9P8UG69	20	0		0	0	1	0	none
A0A9W4N770	20	0		0	1	0	0	none
A0A9X0C4D4	20	0		1	0	0	0	none
A0A9X1PVV9	13	0		0	0	0	0	none
A0AA40F7U2	20	0		0	0	1	0	none
A0AA88XQR2	20	0		0	0	1	0	none
A0AA88YTD4	20	0		0	0	0	0	none
A0AAD4HFX7	19	0		0	0	0	0	none
A0AAD5T9G3	9	0		0	0	0	0	none
A0AAD5UAC9	19	0		0	0	0	0	none
A0AAE0T9M7	17	0		0	0	0	0	none
A0AAE0VIU4	15	0		0	0	0	0	none
A0AAE0WBG3	20	0		0	0	0	0	none
A0AAN7CLQ4	10	0		0	0	0	0	none
A0AAN8F1N7	2	0		0	0	0	0	none
A0AAU9XFP2	20	0		0	1	0	0	none
A0AAV2ZM57	20	0		0	0	0	0	none
A0ABD2HV04	20	0		0	0	0	0	none
A0ABD2HZK8	20	0		0	0	0	0	none
A0ABD2IFA8	20	0		0	0	1	0	none
A0ABD2IXF5	20	0		0	0	0	0	none
A0ABD2JQD7	12	0		0	0	1	0	none
A0ABD2L5J6	14	0		0	0	0	0	none
A0ABD2L835	17	0		0	0	0	0	none
A0ABD2LAM1	20	0		0	0	0	0	none
A0ABD2LMH4	20	0		0	0	0	0	none
A0ABD2M4S6	20	0		0	0	0	0	none
A0ABD3VGD3	20	0		0	0	0	0	none
A0ABD3VGV3	20	0		0	0	0	0	none
A0ABD3VIF5	20	0		0	0	0	0	none
A0ABN9EIA3	11	0		0	0	0	0	none
A0ABP3FXV5	20	0		0	0	0	0	none
A0ABP9B2P4	20	0		0	1	0	0	none
A0ABQ3SM07	20	0		0	0	0	0	none
A0ABQ3T370	20	0		0	1	0	0	none
A0ABQ6MZQ8	2	0		0	0	0	0	none
A0ABQ8FHW2	20	0		0	0	0	0	none
A0ABQ9EE55	20	0		0	0	0	0	none
A0ABR2UW80	20	0		0	0	1	0	none
A0ABR2XMR7	11	0		0	0	1	0	none
A0ABR3Y8K5	20	0		0	0	0	0	none
A0ABS1P986	20	0		0	1	0	0	none
A0ABT7Z8T3	20	0		0	1	0	0	none
A0ABU0TC15	20	0		0	1	0	0	none
A0ABU2SMY1	20	0		0	0	0	0	none
A0ABV1UTF3	18	0		0	0	0	0	none
A0ABV3A804	20	0		0	1	0	0	none
A0ABV9BPW4	20	0		0	0	0	0	none
A0ABW7T5P6	20	0		0	0	0	0	none
A0ABW8CT20	19	0		0	1	0	0	none
A0ABX1AHC8	18	0		0	0	0	0	none
A0ABX1INI2	11	0		0	0	0	0	none
A0ABX2C6M7	8	0		0	0	0	0	none
A0ABY7E0K8	20	0		0	0	0	0	none
A0ABY7E8M5	20	0		0	0	0	0	none
A0ABY7ESX1	20	0		0	0	0	0	none
A0ABY7ET59	20	0		0	0	0	0	none
A0ABY7EUY5	20	0		0	0	0	0	none
A0ABY7EVT5	20	0		0	0	0	0	none
A0ABY7EVT9	20	0		0	0	0	0	none
A0ABY7EW52	20	0		0	0	0	0	none
A0ABY7EX19	20	0		0	0	0	0	none
A6GK98	5	0		0	0	0	0	none
E7CLR6	0	0		0	0	0	0	none
H2A0L0	0	0		0	0	0	0	none
P55027	0	0		0	0	0	0	none
Q287T6	0	0		0	0	0	0	none
S5UXE3	20	0		0	1	0	0	none
U5Y6V7	0	0		0	0	0	0	none
