rep1	rep2	min_tm
A0A7S4ZSW5_taxID_359_model	A0AAE7NQI3_taxID_858423_model	0.8639
A0A0N0H3U4_taxID_66876_model_A	A0ABW0BAQ2_taxID_284036_model_A	0.8638
A0A7S4GNC1_taxID_2969_model	A0AA36MVQ5_taxID_2562239_model	0.8638
A0A8B8BJX3_taxID_6565_model	A0A8W8K3U7_taxID_29159_model_A	0.8637
A0A177WRB5_taxID_403673_model	F4P662_taxID_684364_model	0.8637
A0A6J8EA39_taxID_42192_model	U5Y6Q1_taxID_73031_model	0.8636
A0AAV0TQH7_taxID_134698_model	A0AAV0UD26_taxID_86335_model	0.8632
A0A6J8EA39_taxID_42192_model	A0A8B6FJF9_taxID_29158_model	0.8629
A0A6A6U210_taxID_703497_model_A	A0A6A6UAE3_taxID_703497_model	0.8628
A0A9W9DDH6_taxID_153920_model	A0A9W9DF90_taxID_153920_model	0.8626
A0A165TU36_taxID_1314782_model	A0A167H3K1_taxID_1330018_model_A	0.8626
A0A1R1Y0C8_taxID_133412_model_A	A0A1R1Y573_taxID_133412_model_A	0.8623
A0A9D4H0D1_taxID_45954_model	A0A9D4IFB3_taxID_45954_model	0.8619
A0A1I6VK36_taxID_376730_model_A	W2URW0_taxID_1286632_model_A	0.8618
A0A914HSN4_taxID_31243_model	A0ABD2M4S6_taxID_157864_model	0.8616
A0ABQ6CRI4_taxID_346912_model_A	Q1QPI1_taxID_323097_model_A	0.8607
A0A9W9HKK0_taxID_1132637_model	A0A9W9NW18_taxID_5077_model	0.8605
A0A074W6F3_taxID_1043004_model_A	A0A074YQS1_taxID_1043005_model_A	0.8602
A0A2S2CSR8_taxID_2202148_model_A	A0A318KMN6_taxID_1054498_model_A	0.8600
A0A8T1WA89_taxID_221518_model	A0AAV0UGV2_taxID_86335_model	0.8595
A0A507EU45_taxID_246404_model_A	A0A507FDJ6_taxID_246404_model_A	0.8594
A0A0C9WDK0_taxID_994086_model	A0A165TU36_taxID_1314782_model	0.8593
A0ABQ3YUV3_taxID_113563_model_A	A0ABR4YW72_taxID_431269_model_A	0.8591
A0A8B8EXW9_taxID_6565_model_A	A0A8B8EZS9_taxID_6565_model_A	0.8587
A0A7W6JPH3_taxID_1268553_model	A0A7W7K2G7_taxID_1268553_model	0.8585
A0A4S2H0H1_taxID_2029849_model	A0A7D3Y0J0_taxID_2739433_model	0.8585
A0AAV5TB08_taxID_358040_model	A0AAV5VKD6_taxID_1538716_model	0.8583
A0ABD2JMZ9_taxID_97005_model	A0ABD2LYB3_taxID_157864_model	0.8579
A0ABD2JMZ9_taxID_97005_model	A0ABD2LI83_taxID_157864_model	0.8579
A0A6A6UAE3_taxID_703497_model	A0A6G1G9W7_taxID_1392243_model_A	0.8577
A0ACC2T9U2_taxID_34485_model	A0ACC2U885_taxID_34485_model	0.8575
A0A1M5KSP5_taxID_288992_model_A	A0ABV6HFH7_taxID_760123_model	0.8571
A0AAN7WD97_taxID_574655_model	A0ABR2XQM0_taxID_138064_model	0.8568
A0A6I9TDV3_taxID_4182_model	A0A8K0HG83_taxID_2594499_model_A	0.8565
A0A9P4LGD6_taxID_210430_model	A0AAJ0BD24_taxID_438768_model	0.8563
A0ABS1DFY7_taxID_1088_model	A0ABT5BA12_taxID_2995305_model_A	0.8563
A0A6A7AQI4_taxID_1408161_model	A0AAD4L0L4_taxID_1131652_model	0.8561
A0A8B8E9Z7_taxID_6565_model_A	A0A8B8ESA4_taxID_6565_model_A	0.8560
A0AAN7ADW1_taxID_1536484_model	A0AAV9GFL8_taxID_3040156_model	0.8558
A0A1I1WTL0_taxID_32040_model	A0A511NAA7_taxID_1223518_model_A	0.8555
A0A7D3Y0J0_taxID_2739433_model	A0ABT5BA12_taxID_2995305_model_A	0.8553
A0A1Y2HHP1_taxID_765915_model	A0A1Y2HMF9_taxID_765915_model	0.8552
A0A521CC92_taxID_686389_model_A	A0A562UDK5_taxID_652788_model_A	0.8545
A0A4S2H0H1_taxID_2029849_model	A0ABT5BA12_taxID_2995305_model_A	0.8544
A0A074W6F3_taxID_1043004_model_A	A0A9N8KBE8_taxID_2773714_model	0.8540
A0A7R7XXA9_taxID_1220207_model	A0A9P4MY33_taxID_1513339_model	0.8540
A0A177WE35_taxID_403673_model	F4PBI8_taxID_684364_model	0.8539
A0A1H7Q7S9_taxID_183556_model_A	A0ABR4YW72_taxID_431269_model_A	0.8538
A0A507BB61_taxID_1093900_model	A0AAJ0BD24_taxID_438768_model	0.8534
V9EUD3_taxID_1317065_model	W2Z167_taxID_1317064_model	0.8530
A0A9E8SDB5_taxID_2980107_model_A	A0AAV9UA50_taxID_1796055_model	0.8530
A0A177E2Y1_taxID_5599_model	R0ISP9_taxID_671987_model	0.8527
A0A553I4E8_taxID_2512241_model	A0ABR3RK21_taxID_300254_model_A	0.8526
A0AAD7UFH1_taxID_2483200_model_A	A0AAD7UIM9_taxID_2483200_model_A	0.8524
A0A8H7IQP6_taxID_45133_model_A	A0AA39XPR0_taxID_869390_model	0.8524
A0A8B6FJF9_taxID_29158_model	U5Y6Q1_taxID_73031_model	0.8519
A0A8B6BS83_taxID_29158_model	A0A8S3V8L1_taxID_6550_model	0.8518
A0ABD2HV04_taxID_157864_model	A0ABD2L835_taxID_157864_model	0.8515
A0A8B6BGF3_taxID_29158_model_A	A0A8S3PQQ5_taxID_6550_model	0.8514
A0A9P4LGD6_taxID_210430_model	A0AAN6YT11_taxID_2074819_model	0.8512
A0A1I7VE53_taxID_7209_model	A0AAF3EPZ4_taxID_2138241_model	0.8511
A0AAE0I6T4_taxID_516989_model	A0AAN7ADW1_taxID_1536484_model	0.8509
A0ABN1IGD7_taxID_584605_model_A	A0ABW5LHB0_taxID_1920033_model_A	0.8509
A0A074W6F3_taxID_1043004_model_A	A0A4T0BL07_taxID_5580_model_A	0.8509
A0A7S0I6H8_taxID_33657_model	A0A7S3W3R1_taxID_2903_model	0.8508
A0A2U1IVG1_taxID_133377_model	A0A9W8GHU5_taxID_417178_model_A	0.8505
A0A222YS18_taxID_106299_model	A0A222YTC9_taxID_106299_model_A	0.8501
A0A436ZMY2_taxID_97331_model	A0A7C8NXU1_taxID_2813651_model_A	0.8501
A0A6J4HUK3_taxID_310071_model_A	A0A8J3BUV9_taxID_53372_model_A	0.8500
A0A397W934_taxID_44941_model	A0A8H4ESM0_taxID_4874_model	0.8499
A0ACC2S963_taxID_34485_model_A	A0ACC2TWG8_taxID_34485_model_A	0.8497
A0A0D2D206_taxID_1851006_model	A0A8E2F2M6_taxID_574774_model	0.8495
A0ABT8KZU3_taxID_3051826_model_A	A0ABZ0HU16_taxID_3080828_model_A	0.8495
A0ABD2L3A9_taxID_157864_model	A0ABD2LI83_taxID_157864_model	0.8492
A0A507BB61_taxID_1093900_model	A0AAN7ADW1_taxID_1536484_model	0.8491
A0A024UGQ1_taxID_157072_model_A	A0A0A7CM93_taxID_74557_model	0.8483
A0A0G4J7H3_taxID_37360_model	A0A0H5RF96_taxID_70186_model_A	0.8481
A0A1V6R4C4_taxID_29845_model	A0A1V6SJE6_taxID_254877_model	0.8480
A0A9P4LGD6_taxID_210430_model	A0AAN7ADW1_taxID_1536484_model	0.8477
A0A074YQS1_taxID_1043005_model_A	A0A9P8G4G9_taxID_46634_model_A	0.8475
A0A7R7XXA9_taxID_1220207_model	A0ACC8EKA8_taxID_794803_model_A	0.8474
A0A2U1IVG1_taxID_133377_model	A0A9W7ZTN6_taxID_417184_model_A	0.8469
A0A6V1WW05_taxID_2829_model	A0A7S3XY60_taxID_2829_model	0.8469
A0A080ZVS5_taxID_1317066_model	V9EUD3_taxID_1317065_model	0.8468
A0A9P5XZM4_taxID_64659_model	D5GL91_taxID_656061_model	0.8468
A0A7H0LH09_taxID_653931_model	A0ABQ6CRI4_taxID_346912_model_A	0.8467
A0A8T1WA89_taxID_221518_model	G4ZQT5_taxID_1094619_model	0.8467
A0A1R4H6E4_taxID_360316_model_A	A0ABR7X9J7_taxID_534635_model_A	0.8466
A0A8W8K3U2_taxID_29159_model_A	A0A8W8KA56_taxID_29159_model_A	0.8465
A0A1H7Q7S9_taxID_183556_model_A	A0A561T0L1_taxID_1128676_model_A	0.8465
A0A0L0SBE5_taxID_578462_model	A0A1Y2HMF9_taxID_765915_model	0.8464
A0A512M2B1_taxID_748831_model_A	A0AAP5IG72_taxID_2712845_model_A	0.8463
A0AAJ0BD24_taxID_438768_model	A0AAN6YT11_taxID_2074819_model	0.8462
F0Y382_taxID_44056_model	R1DV14_taxID_2903_model	0.8460
A0A0D2D9V1_taxID_569365_model	A0A9P4LGD6_taxID_210430_model	0.8460
A0AAE0T9M7_taxID_2493646_model	A0ABD3VFH0_taxID_1069815_model	0.8457
A0A9W9K980_taxID_116970_model	A0AAN5YXU1_taxID_293939_model_A	0.8452
A0A1R1Y0C8_taxID_133412_model_A	A0A1R1YED9_taxID_133412_model_A	0.8451
A0AAE3N5D5_taxID_2965071_model	A0AAP5IG72_taxID_2712845_model_A	0.8451
A0A6A6U210_taxID_703497_model_A	A0A6A6UE26_taxID_703497_model	0.8450
A0A9W9MFP2_taxID_2972120_model	A0A9X0BRX4_taxID_1303715_model	0.8447
A0ACC2SRV0_taxID_34485_model	A0ACC2UAS6_taxID_34485_model	0.8446
A0A6B2KZT0_taxID_1963864_model	A0A9N8D4W9_taxID_568900_model	0.8445
A0A8H5P785_taxID_56676_model	A0A8H5Z2U4_taxID_1567541_model	0.8443
A0AA48HBG1_taxID_254955_model_A	A0ABY3YKR9_taxID_2202721_model_A	0.8442
A0A7H0LH09_taxID_653931_model	Q1QPI1_taxID_323097_model_A	0.8441
A0ABD2L3A9_taxID_157864_model	A0ABD2LYB3_taxID_157864_model	0.8441
A0A0U9HU61_taxID_105231_model_A	A0A1Y1HLN7_taxID_105231_model_A	0.8441
A0A4Q7Z0G8_taxID_388466_model	E8V089_taxID_401053_model	0.8440
A0A0G3BQ28_taxID_413882_model	A0A2M9B5K9_taxID_1121954_model	0.8438
A0ABR2VT10_taxID_34480_model	A0ACC2UNN5_taxID_34485_model	0.8438
A0A507F5P6_taxID_246404_model	A0A507FBC4_taxID_246404_model	0.8437
A0A8B8BDB7_taxID_6565_model	A0ABD3VAS0_taxID_1069815_model	0.8436
A0A7S2B6E8_taxID_3111310_model	A0A7S3XY60_taxID_2829_model	0.8429
A0AAV2YLR3_taxID_4803_model_A	A0AAV2Z5P0_taxID_4803_model	0.8428
A0AA36CRJ7_taxID_96644_model	A0AAV5TCG8_taxID_358040_model_A	0.8428
A0A8T1MC39_taxID_79923_model	A0ABD2PQA7_taxID_1844966_model	0.8425
A0A2U1IVG1_taxID_133377_model	A0ACC1HST6_taxID_68401_model	0.8423
A0A074YQS1_taxID_1043005_model_A	A0A4T0BL07_taxID_5580_model_A	0.8422
A0ABD2I4S2_taxID_97005_model	A0ABD2JWA1_taxID_157864_model	0.8416
A0A1H7Q7S9_taxID_183556_model_A	A0A8J3BUV9_taxID_53372_model_A	0.8414
A0A9P4MY33_taxID_1513339_model	A0ACC8EKA8_taxID_794803_model_A	0.8413
A0ABR9UPM7_taxID_588587_model	A0ABZ0HU16_taxID_3080828_model_A	0.8412
A0A8H6Q3V1_taxID_1287682_model	A0AAN5YUB2_taxID_293939_model	0.8410
A0A6A6UE26_taxID_703497_model	A0A6G1G9W7_taxID_1392243_model_A	0.8408
A0A420ME85_taxID_5507_model	A0ACC4D7E4_taxID_33203_model	0.8407
A0A914H5F4_taxID_31243_model	A0ABD2LG15_taxID_157864_model	0.8407
A0A6V1V8T3_taxID_2829_model	A0A7S2XX66_taxID_94617_model	0.8405
A0A255XTK6_taxID_2022747_model_A	A0A562PHQ5_taxID_871742_model_A	0.8403
A0A7S2MT20_taxID_3111310_model	A0ABR1FH00_taxID_44056_model	0.8402
A0A1R4H6E4_taxID_360316_model_A	A0A4Q9RBJ6_taxID_2211392_model_A	0.8399
A0A6G1MEA1_taxID_2813651_model_A	G1X7Q1_taxID_756982_model_A	0.8398
A0A421GCW4_taxID_325452_model	A0A8T1VFS8_taxID_109152_model	0.8395
A0A8B6BGF3_taxID_29158_model_A	A0A8S3R6D1_taxID_6550_model	0.8394
A0A507EI25_taxID_246404_model	A0A507EZH3_taxID_246404_model	0.8394
A0A1H7Q7S9_taxID_183556_model_A	A0ABZ1TQA4_taxID_1961_model_A	0.8392
A0A6J8E904_taxID_42192_model	A0A8B6FJF9_taxID_29158_model	0.8392
A0A0D2D9V1_taxID_569365_model	A0A507BB61_taxID_1093900_model	0.8391
A0AAD7UE96_taxID_2483200_model	A0ABR1G981_taxID_44056_model_A	0.8390
A0ABY7EUY5_taxID_6604_model	A0ABY7EVT9_taxID_6604_model	0.8390
A0ABD3VAS0_taxID_1069815_model	A0ABQ9EE55_taxID_220873_model	0.8388
A0A8B6CJB5_taxID_29158_model	A0ABQ9EE55_taxID_220873_model	0.8388
A0ACC2S963_taxID_34485_model_A	A0ACC2U6X5_taxID_34485_model_A	0.8381
A0A8J7GKX2_taxID_619741_model_A	A0ABQ3YUV3_taxID_113563_model_A	0.8379
A0A4T0BL07_taxID_5580_model_A	A0A9N8KBE8_taxID_2773714_model	0.8374
A0A9W8HTJ6_taxID_1126814_model	A0A9W8INL8_taxID_417176_model_A	0.8374
A0ACC2S8U6_taxID_34485_model_A	A0ACC2T351_taxID_34485_model_A	0.8373
A0A6G8RXV7_taxID_2715164_model	A0A7H2XHW1_taxID_1530123_model_A	0.8372
A0A8E2F331_taxID_574774_model_A	A0ACC8EKA8_taxID_794803_model_A	0.8371
A0A507BB61_taxID_1093900_model	A0AAN6YT11_taxID_2074819_model	0.8370
A0A6J8ENF3_taxID_42192_model_A	A0A8S3R7K9_taxID_6550_model_A	0.8369
A0A8B6ECL8_taxID_29158_model_A	A0ABQ9EBE2_taxID_220873_model_A	0.8368
A0A2P6U1K7_taxID_3076_model	A0AAD5DNT7_taxID_2649997_model	0.8367
A0A561T0L1_taxID_1128676_model_A	A0ABZ1TQA4_taxID_1961_model_A	0.8365
A0AAV2YAN2_taxID_4803_model	A0AAV2Z5P0_taxID_4803_model	0.8365
A0A9D4S052_taxID_45954_model	A0AAE0T9M7_taxID_2493646_model	0.8363
A0AAD6D6A6_taxID_3151616_model	A0ABQ6WQY3_taxID_1825620_model	0.8362
A0ABQ6CRI4_taxID_346912_model_A	A0ABV2I0A5_taxID_1209948_model	0.8361
A0A9W8CXW5_taxID_1286918_model	A0A9W8LII4_taxID_2761396_model	0.8360
A0A561T0L1_taxID_1128676_model_A	A0ABX1MAQ9_taxID_417115_model_A	0.8358
A0A6A4BF22_taxID_53985_model	A0A6G0JRR3_taxID_53985_model	0.8358
A0A9P4LGD6_taxID_210430_model	A0AAV9GFL8_taxID_3040156_model	0.8358
A0A561T0L1_taxID_1128676_model_A	A0ABZ0HU16_taxID_3080828_model_A	0.8357
A0A9W8LII4_taxID_2761396_model	A0ACC1MA94_taxID_417176_model_A	0.8357
A0AAJ0BD24_taxID_438768_model	A0AAN7ADW1_taxID_1536484_model	0.8356
A0ABR3D601_taxID_5142_model	Q7S218_taxID_367110_model	0.8355
A0AAJ5HX26_taxID_2219225_model	A0ABU5KX76_taxID_2219225_model	0.8353
A0A1H9YHF0_taxID_1231_model_A	A0A1I7H5J0_taxID_1231_model_A	0.8350
A0A8J5IJ88_taxID_2496075_model	H3GPM3_taxID_164328_model	0.8347
A0ACC2SZ27_taxID_34485_model	A0ACC2U885_taxID_34485_model	0.8347
A0A9E8SDB5_taxID_2980107_model_A	G1XQQ0_taxID_756982_model	0.8346
A0ABD2JMZ9_taxID_97005_model	A0ABD2L3A9_taxID_157864_model	0.8346
A0A8W8JTC5_taxID_29159_model_A	K1QE57_taxID_29159_model_A	0.8346
A0ABS1DFY7_taxID_1088_model	A0ABZ0TQ63_taxID_1173583_model	0.8346
A0A0L0TFC6_taxID_578462_model	A0A1Y2HYH5_taxID_765915_model	0.8346
A0A4P9XTI0_taxID_78915_model	A0A4P9Z2E4_taxID_1712513_model_A	0.8343
A0A0G2GB29_taxID_158046_model	A0A507BB61_taxID_1093900_model	0.8338
A0A8S3PQQ5_taxID_6550_model	A0A8S3R6D1_taxID_6550_model	0.8334
A0A1G5ZDT2_taxID_1165689_model	Q1QPI1_taxID_323097_model_A	0.8333
A0ABD3VAS0_taxID_1069815_model	A0ABQ9EBE2_taxID_220873_model_A	0.8333
A0A4P9XTI0_taxID_78915_model	A0A4P9YUC2_taxID_1712513_model	0.8332
A0A9P1FEV3_taxID_2562237_model_A	A0ABP0KF76_taxID_1381693_model_A	0.8332
A0AAD7UIM9_taxID_2483200_model_A	A0ABD3P7G1_taxID_382360_model_A	0.8331
A0A8B8ECR7_taxID_6565_model_A	A0A8B8EZS9_taxID_6565_model_A	0.8329
A0AAN5CHW8_taxID_1317129_model	A0AAV5TCG8_taxID_358040_model_A	0.8328
A0ABV2I0A5_taxID_1209948_model	Q1QPI1_taxID_323097_model_A	0.8326
A0A562PHQ5_taxID_871742_model_A	A0A973WA96_taxID_1404411_model_A	0.8326
A0ABD2K750_taxID_157864_model	A0ABD2KZ99_taxID_157864_model	0.8325
A0A101MLX7_taxID_48697_model	A0AAD6D6A6_taxID_3151616_model	0.8321
A0AAU7KSU2_taxID_2950874_model	A0ABX1J3I2_taxID_2724524_model	0.8321
A0A5N6W347_taxID_1034304_model	A1D120_taxID_331117_model	0.8320
A0A1G5ZDT2_taxID_1165689_model	A0ABQ6CRI4_taxID_346912_model_A	0.8320
A0A2B7X5B2_taxID_2060905_model	A0A8A1MPW2_taxID_5037_model	0.8319
A0A8B6ECL8_taxID_29158_model_A	A0ABD3VAS0_taxID_1069815_model	0.8315
A0A9P4LGD6_taxID_210430_model	A0AAE0I6T4_taxID_516989_model	0.8315
A0A8B8ECR7_taxID_6565_model_A	A0A8B8EXW9_taxID_6565_model_A	0.8315
A0A0D2D9V1_taxID_569365_model	A0AAN7ADW1_taxID_1536484_model	0.8314
A0A4T0VD25_taxID_80884_model_A	A0AA40CS78_taxID_92897_model_A	0.8314
A0A1R1YED9_taxID_133412_model_A	A0A2T9YAU9_taxID_133385_model_A	0.8313
A0A9W7ZTN6_taxID_417184_model_A	A0A9W8GHU5_taxID_417178_model_A	0.8313
A0A080ZVS5_taxID_1317066_model	D0N9N0_taxID_403677_model	0.8313
A0A0G2GB29_taxID_158046_model	A0AAN6YT11_taxID_2074819_model	0.8312
A0A2T9ZGW2_taxID_133381_model_A	A0A2U1J1R3_taxID_133377_model_A	0.8312
A0A210QME8_taxID_6573_model	A0A8B6CJB5_taxID_29158_model	0.8312
A0A8B8EX72_taxID_6565_model	A0A8B8EY98_taxID_6565_model	0.8312
A0A1Y2LAB1_taxID_1293890_model_A	A0A973WA96_taxID_1404411_model_A	0.8311
A0ABZ0HU16_taxID_3080828_model_A	A0ABZ1TQA4_taxID_1961_model_A	0.8310
A0A9P4JTJ6_taxID_1513339_model	W3XKJ8_taxID_1229662_model	0.8306
A0ABU4HHD3_taxID_1940611_model	A0ABX1J3I2_taxID_2724524_model	0.8306
A0ABD2K7K4_taxID_157864_model	A0ACB0YTT5_taxID_390850_model	0.8303
A0A0L0SBE5_taxID_578462_model	A0A1Y2HHP1_taxID_765915_model	0.8303
A0AAE0UEY7_taxID_83679_model	Q7S218_taxID_367110_model	0.8303
A0AAE0I6T4_taxID_516989_model	A0AAN6YT11_taxID_2074819_model	0.8301
A0A0C9WDK0_taxID_994086_model	A0A167H3K1_taxID_1330018_model_A	0.8301
A0A4Y9SBZ4_taxID_2561931_model_A	A0A521CC92_taxID_686389_model_A	0.8300
A0A562UDK5_taxID_652788_model_A	Q5VM57_taxID_119864_model	0.8298
A0A7R9V365_taxID_1486919_model	A0AAD5DNT7_taxID_2649997_model	0.8297
A0A521CC92_taxID_686389_model_A	A0A6J4HUK3_taxID_310071_model_A	0.8297
A0A1L9RA92_taxID_1073089_model	A0AAD6D6A6_taxID_3151616_model	0.8296
A0A2P6U1K7_taxID_3076_model	A0A7R9V365_taxID_1486919_model	0.8295
A0A507BB61_taxID_1093900_model	A0AAV9GFL8_taxID_3040156_model	0.8295
A0A507BB61_taxID_1093900_model	A0AAE0I6T4_taxID_516989_model	0.8295
A0A9W8DLP7_taxID_417184_model_A	A0ACC1HJ19_taxID_68401_model_A	0.8295
A0A319DU28_taxID_1448320_model	A0A9W9K980_taxID_116970_model	0.8293
A0AAN5YXU1_taxID_293939_model_A	A0AAV9XIV8_taxID_2528407_model	0.8292
A0A8T1WA89_taxID_221518_model	A0A8T1WG94_taxID_109152_model	0.8290
A0A0G2GB29_taxID_158046_model	A0A9P4LGD6_taxID_210430_model	0.8289
A0A8H7IQP6_taxID_45133_model_A	A0ABR3TC55_taxID_856260_model	0.8288
A0A074YQS1_taxID_1043005_model_A	A0A9N8KBE8_taxID_2773714_model	0.8286
A0A9W8GHU5_taxID_417178_model_A	A0ACC1HST6_taxID_68401_model	0.8284
A0A8B8ETR2_taxID_6565_model_A	A0A8B8EXW9_taxID_6565_model_A	0.8283
A0A0D2JSE2_taxID_1442371_model	A0A9P4JTJ6_taxID_1513339_model	0.8282
A0A2U1IVG1_taxID_133377_model	A0ACC1HJ19_taxID_68401_model_A	0.8281
A0A1R1PS93_taxID_1213189_model_A	A0A9W8DS45_taxID_417184_model_A	0.8280
A0AAV2Z5P0_taxID_4803_model	A0AAV2ZDU1_taxID_4803_model	0.8278
A0A7S2ME85_taxID_3111310_model	A0ABR1FK65_taxID_44056_model	0.8278
A0ABT2ZPY2_taxID_2984134_model	D5GL91_taxID_656061_model	0.8277
A0A168F2E9_taxID_1081108_model	A0A9W8UQ41_taxID_2231603_model	0.8276
A0ABX1MAQ9_taxID_417115_model_A	A0ABZ1TQA4_taxID_1961_model_A	0.8276
A0A383V433_taxID_3088_model	A0ABY8UPE5_taxID_3088_model	0.8276
A0A8H4RCD7_taxID_354080_model	A0AAV9XIV8_taxID_2528407_model	0.8276
A0ACC2SRV0_taxID_34485_model	A0ACC2URU6_taxID_34485_model	0.8275
A0A8J3BUV9_taxID_53372_model_A	A0ABZ1TQA4_taxID_1961_model_A	0.8275
A0A1Y2LAB1_taxID_1293890_model_A	A0A562PHQ5_taxID_871742_model_A	0.8275
A0A6J3LW51_taxID_1314786_model	A0A8E2ERP3_taxID_574774_model	0.8275
A0A101MLX7_taxID_48697_model	A0A9W9L8K5_taxID_126998_model	0.8274
A0AAV9WFZ0_taxID_47236_model	A0AAV9XIV8_taxID_2528407_model	0.8272
A0A101MLX7_taxID_48697_model	A0ABQ6WQY3_taxID_1825620_model	0.8270
A0A9W9L8K5_taxID_126998_model	A0AAD6D6A6_taxID_3151616_model	0.8270
A0ACC2S8U6_taxID_34485_model_A	A0ACC2S963_taxID_34485_model_A	0.8269
A0A319DU28_taxID_1448320_model	A0AAN5YXU1_taxID_293939_model_A	0.8269
A0A1Y2LAB1_taxID_1293890_model_A	A0A560H4D2_taxID_28077_model_A	0.8268
A0A934KPH0_taxID_291193_model_A	A0ABY3YKR9_taxID_2202721_model_A	0.8267
A0A1M6UBL7_taxID_156994_model_A	A0A7W9ZFQ6_taxID_189_model_A	0.8267
