name	majority_kingdom	frac_Fungi	frac_Metazoa	frac_Bacteria	frac_Viridiplantae	frac_Other_Eukaryota	frac_Unknown
A0A0V0YE73_taxID_6337_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
L7JPW8_taxID_1143193_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0ABM1VVY2_taxID_6500_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A507EFD5_taxID_109895_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0AAN6PSA1_taxID_113614_model_A	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A1I4VE96_taxID_44574_model_A	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
A0AAV9ILT6_taxID_3028027_model	Unknown	0.0000	0.0000	0.3333	0.0000	0.0000	0.6667
A0A7S4QPD7_taxID_49249_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.3333	0.6667
A0ABS1MHS4_taxID_2802282_model_A	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
A0A5J9TU90_taxID_38414_model	Viridiplantae	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000
A0A162K920_taxID_1081108_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A1E7FM11_taxID_635003_model	Other_Eukaryota	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000
A0ACC4D7E4_taxID_33203_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A3N4KYW5_taxID_1392247_model	Fungi	0.6667	0.0000	0.3333	0.0000	0.0000	0.0000
A0AAD7UNL2_taxID_2483200_model	Other_Eukaryota	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000
A0ABQ9DKS8_taxID_1566151_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A9N8WZP9_taxID_5518_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A6G0X2P4_taxID_100861_model_A	Other_Eukaryota	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000
A0A0V1DE70_taxID_45882_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0ABR2XQ66_taxID_138064_model_A	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
W6ZHH7_taxID_930090_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A4Z1K5V5_taxID_87229_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0AAD9KZ40_taxID_27915_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
R1D043_taxID_2903_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A6J8ENF3_taxID_42192_model_A	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
G4Z7X0_taxID_1094619_model_A	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0ABY7ESX1_taxID_6604_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0ABR9BSA8_taxID_2774143_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A4Q2V7C7_taxID_451672_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
W6Y2N7_taxID_930089_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A7S3RCE1_taxID_2903_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
R0ISP9_taxID_671987_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0AAD8AV10_taxID_112525_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A0G4N7R0_taxID_100787_model	Unknown	0.5000	0.0000	0.0000	0.0000	0.0000	0.5000
A0ABN8SN36_taxID_104178_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
N4XMY1_taxID_665024_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0ACC2U405_taxID_34485_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A8H5Z2U4_taxID_1567541_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A0A1UJW0_taxID_1086054_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A0E0PEB1_taxID_4529_model	Viridiplantae	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000
R1E2E0_taxID_2903_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
E3REK7_taxID_861557_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0ACC2T2P1_taxID_34485_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A9P7HHT8_taxID_40199_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0AAD7XMM2_taxID_2483200_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A8K0KU96_taxID_123851_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A9Q6S7U7_taxID_75105_model	Unknown	0.0000	0.0000	0.5000	0.0000	0.0000	0.5000
A0A7D9J5S3_taxID_317549_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0ABR0JJU7_taxID_1016849_model_A	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
G1X3U2_taxID_756982_model_A	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0ABV4X3A9_taxID_3153654_model	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
A0AAE4C8H8_taxID_137266_model_A	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
A0A368GCB1_taxID_29170_model	Unknown	0.0000	0.5000	0.0000	0.0000	0.0000	0.5000
A0ABY7EX19_taxID_6604_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A8S3V8L1_taxID_6550_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0ABQ9EAR7_taxID_220873_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
F0Y635_taxID_44056_model	Other_Eukaryota	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000
F4NVT9_taxID_684364_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A177X0C6_taxID_403673_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A409WY02_taxID_93625_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0ABY7EVT9_taxID_6604_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0ABR6YEY6_taxID_2762297_model_A	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
A0A914E549_taxID_290746_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A6J8E972_taxID_42192_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A9D4LIH2_taxID_45954_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0ABD1H5D5_taxID_28513_model	Viridiplantae	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000
A0A0V1BIN6_taxID_6334_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A0A7CP65_taxID_1202772_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A9N7UE72_taxID_8262_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0AAN5YGU4_taxID_293939_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A1Y2B8A2_taxID_329046_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A6A5SIC2_taxID_706981_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0ACC2TVV6_taxID_34485_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0ACB5RUU5_taxID_310453_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0ABR4NFV2_taxID_2732419_model_A	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0AAF5PZK9_taxID_6293_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0ACC0V4A4_taxID_47278_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0ABY3QAS2_taxID_2992140_model_A	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
A0A6H0Y3Z6_taxID_286661_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
S0EJD0_taxID_1279085_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Q2H2F5_taxID_306901_model_A	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
F0YI20_taxID_44056_model	Other_Eukaryota	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000
J0WRI2_taxID_717982_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A098SBM4_taxID_1524460_model	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
A0ACC1NLV5_taxID_42375_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0ABV9FV84_taxID_1460226_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A8B6BKM4_taxID_29158_model_A	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0ABD2LAM1_taxID_157864_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A7E6EGY5_taxID_2607531_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
W4H234_taxID_112090_model	Other_Eukaryota	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000
A0A8H3S9D4_taxID_91492_model_A	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A8S9ZP28_taxID_189291_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0AAD5UGL0_taxID_261099_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A6A4NQJ9_taxID_3870_model	Viridiplantae	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000
A0ABR4K145_taxID_176178_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A067C156_taxID_695850_model_A	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A8B6G9L0_taxID_29158_model_A	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A498S2C2_taxID_6277_model_A	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A8H6ZUP2_taxID_5322_model_A	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A0V0S806_taxID_6336_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A8S3PWU5_taxID_6550_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
W6NCB7_taxID_6289_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A6J8CL61_taxID_42192_model_A	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A418AQE9_taxID_157072_model	Other_Eukaryota	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000
E6ZRP4_taxID_999809_model_A	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A127Z996_taxID_49012_model_A	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A1I7VBE5_taxID_7209_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A8B6GY87_taxID_29158_model_A	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A3R6Z2B6_taxID_112090_model	Other_Eukaryota	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000
A0A8H4YZH8_taxID_48485_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
T0PU14_taxID_1156394_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A812QP07_taxID_1628268_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A4P9YFS3_taxID_988480_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A9P9XQR7_taxID_1671311_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A3M6UM69_taxID_46731_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A8H3GJ96_taxID_456999_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A0L8ICD6_taxID_37653_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A8H4RXW4_taxID_354080_model_A	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0ABN8LLM9_taxID_104178_model_A	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A0A7CPE6_taxID_1202772_model	Other_Eukaryota	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000
A0A8B8D4J3_taxID_6565_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A0P7APX3_taxID_78410_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A4U7KZ21_taxID_280036_model_A	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A7S2JHQ4_taxID_1333877_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A423VRG5_taxID_448051_model_A	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0ABR4KUJ7_taxID_1810923_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A6J8BNB1_taxID_42192_model_A	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A8X6KWP2_taxID_2740835_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A914EDP1_taxID_290746_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A915I8K9_taxID_13658_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0AAU9WI44_taxID_46732_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A8B6BMR6_taxID_29158_model_A	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0AAE8SXX8_taxID_2041049_model_A	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A7R9L054_taxID_1979941_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0ABP5WHK2_taxID_66879_model	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
A0A077ZGT3_taxID_36087_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A8S3PQP2_taxID_6550_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0AA37GSS8_taxID_708192_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A8J1T8Q4_taxID_6347_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A8H7EGD0_taxID_1187904_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A5S6QUR5_taxID_70415_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0ABD3VH26_taxID_1069815_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A2T7PF37_taxID_400727_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A8H6GM20_taxID_100902_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0AAD2E0S8_taxID_56036_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
F0X9X8_taxID_655863_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0ABP0NLQ2_taxID_1381693_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A8S3SG45_taxID_6550_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A915K057_taxID_13658_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A317XLV9_taxID_1882483_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A2U1JAZ7_taxID_133377_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0AAE0HNE5_taxID_1854472_model_A	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A6P8I080_taxID_6105_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A1I4RJF6_taxID_44574_model_A	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
A0A914W9Q0_taxID_2011161_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0ABR1WCT8_taxID_335842_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A8H8PB78_taxID_456999_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
M5CEE4_taxID_1108050_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0AAD6NB37_taxID_5083_model_A	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A074RXE5_taxID_1423351_model_A	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0AAQ3LZX8_taxID_150365_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A9N8ELP9_taxID_568900_model	Other_Eukaryota	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000
A0A4U7AY24_taxID_40998_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A409YPA9_taxID_231916_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A484G057_taxID_1213857_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A7R9E5Y2_taxID_170555_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0AAD5DEJ1_taxID_2649997_model	Viridiplantae	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000
A0A547PT19_taxID_2489174_model	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
A0A3P7DNC2_taxID_6293_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A0V1I3Y0_taxID_268475_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A8B6GSA5_taxID_29158_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A1V6QQ78_taxID_416450_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0AAD4EYT8_taxID_669026_model_A	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0ACB7PGA3_taxID_1854479_model_A	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A1W6SSH7_taxID_1288494_model_A	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
A0A8H7E8W0_taxID_1187904_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0AAU9WFJ4_taxID_46732_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A507EXS7_taxID_246404_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A507F697_taxID_246404_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0ABQ8FNS5_taxID_1357716_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A9W8TQN1_taxID_114810_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
C9SDX6_taxID_526221_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A2T5IGT7_taxID_1231_model_A	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
A0AAX6MJK2_taxID_292717_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A085M8H3_taxID_68888_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
K1Q6D2_taxID_29159_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A8K0IA90_taxID_13894_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A8N4B1_taxID_240176_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0AB34FH03_taxID_1247861_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0AA36CWW9_taxID_96644_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
B2VY53_taxID_426418_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
B5RHQ8_taxID_515354_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
W7TM70_taxID_72520_model	Other_Eukaryota	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000
A0A2S6BQA0_taxID_357750_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0AA88YDI9_taxID_66713_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A9N8DN83_taxID_568900_model	Other_Eukaryota	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000
D3BV93_taxID_670386_model_A	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A0V1G4S3_taxID_6337_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A914S644_taxID_6256_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0AA35WWP0_taxID_519541_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
Q92LD3_taxID_266834_model	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
A0A9D4RA75_taxID_45954_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
