member,accession,cterm_len,n_seg,status
A0A061HFI6_taxID_1268274_model,A0A061HFI6,178,1,ok
A0A0B1PD39_taxID_52586_model,A0A0B1PD39,183,1,ok
A0A383USX8_taxID_2867405_model,A0A383USX8,175,1,ok
A0A420HKD2_taxID_212602_model_A,A0A420HKD2,186,1,ok
A0A9W4D5A3_taxID_1689686_model,A0A9W4D5A3,178,1,ok
A0A9X9ML42_taxID_62690_model,A0A9X9ML42,178,1,ok
N1J7U8_taxID_546991_model,N1J7U8,174,1,ok
A0A063BRM1_taxID_1159556_model_A,A0A063BRM1,183,1,ok
A0A067PHP8_taxID_933084_model,A0A067PHP8,410,1,ok
A0A067PSS3_taxID_933084_model_A,A0A067PSS3,411,1,ok
A0A067TKM5_taxID_685588_model_A,A0A067TKM5,145,1,ok
A0A074VIF5_taxID_1043003_model,A0A074VIF5,173,1,ok
A0A074WGJ9_taxID_1043004_model,A0A074WGJ9,172,1,ok
A0A084GGH5_taxID_563466_model_A,A0A084GGH5,258,1,ok
A0AAE8MND4_taxID_2041049_model_A,A0AAE8MND4,166,1,ok
A0A086T0Z5_taxID_857340_model,A0A086T0Z5,102,1,ok
A0A090CWC0_taxID_515849_model,A0A090CWC0,120,1,ok
A0A0A1T2S7_taxID_1531966_model_A,A0A0A1T2S7,125,1,ok
A0A0A1T9R6_taxID_1531966_model,A0A0A1T9R6,130,1,ok
A0A0A1TL71_taxID_1531966_model,A0A0A1TL71,131,1,ok
A0A0B2X1U6_taxID_1081103_model,A0A0B2X1U6,116,1,ok
A0A0B4HCA4_taxID_1276136_model,A0A0B4HCA4,120,1,ok
A0A0A1V7Z8_taxID_568076_model,A0A0A1V7Z8,124,1,ok
A0A0B4FP45_taxID_3151832_model,A0A0B4FP45,120,1,ok
A0A0D9P6L9_taxID_1291518_model,A0A0D9P6L9,120,1,ok
A0A179G9B5_taxID_1380566_model,A0A179G9B5,124,1,ok
A0A5C6G6T5_taxID_1649241_model,A0A5C6G6T5,124,1,ok
A0A7D5YXM1_taxID_500148_model,A0A7D5YXM1,120,1,ok
A0A8H4PWQ3_taxID_72228_model,A0A8H4PWQ3,133,1,ok
A0A9P8MJP3_taxID_2596975_model,A0A9P8MJP3,120,1,ok
A0A9P8N5G2_taxID_111463_model,A0A9P8N5G2,127,1,ok
E9DYM0_taxID_655827_model,E9DYM0,124,1,ok
E9EQ45_taxID_655844_model,E9EQ45,124,1,ok
A0A0C2W7D5_taxID_933852_model,A0A0C2W7D5,161,1,ok
A0A0C2WNA9_taxID_946122_model,A0A0C2WNA9,160,1,ok
A0A0C2X1R3_taxID_946122_model_A,A0A0C2X1R3,144,1,ok
A0A0C2YBV3_taxID_76867_model_A,A0A0C2YBV3,145,1,ok
A0A409X545_taxID_93625_model_A,A0A409X545,141,1,ok
A0A5C3M099_taxID_68775_model_A,A0A5C3M099,145,1,ok
A0A9P5PV34_taxID_206335_model,A0A9P5PV34,150,1,ok
A0AAD4QGU7_taxID_416441_model,A0AAD4QGU7,150,1,ok
A0A0C3AKS7_taxID_933852_model_A,A0A0C3AKS7,156,1,ok
A0A0C3ARA1_taxID_933852_model_A,A0A0C3ARA1,155,1,ok
A0A0C3B6I5_taxID_933852_model_A,A0A0C3B6I5,155,1,ok
A0A0C3H1J4_taxID_913774_model,A0A0C3H1J4,160,1,ok
A0A2T3AQ35_taxID_857342_model,A0A2T3AQ35,169,1,ok
A0A0C3LFR5_taxID_1051891_model,A0A0C3LFR5,234,1,ok
A0A0C3NCS7_taxID_745531_model,A0A0C3NCS7,151,1,ok
A0A0C3P2N1_taxID_870435_model_A,A0A0C3P2N1,232,1,ok
A0A0C3Q4S8_taxID_1051891_model,A0A0C3Q4S8,144,1,ok
A0A0C3QVQ1_taxID_1051891_model,A0A0C3QVQ1,76,1,ok
A0A0C3S3B5_taxID_745531_model_A,A0A0C3S3B5,201,1,ok
A0A0C4DX73_taxID_644358_model,A0A0C4DX73,140,1,ok
A0A0C9SUN8_taxID_664439_model,A0A0C9SUN8,404,1,ok
A0A0C9T1I0_taxID_944288_model,A0A0C9T1I0,397,1,ok
A0A0C9TQW6_taxID_664439_model,A0A0C9TQW6,214,1,ok
A0A0C9W3M0_taxID_990650_model_A,A0A0C9W3M0,145,1,ok
A0A0C9W5Z2_taxID_990650_model,A0A0C9W5Z2,207,1,ok
A0A0C9WDK0_taxID_994086_model,A0A0C9WDK0,428,1,ok
A0A0C9WXQ7_taxID_1095629_model,A0A0C9WXQ7,159,1,ok
A0A0D0AL52_taxID_944289_model,A0A0D0AL52,417,1,ok
A0A0D0CBB0_taxID_944289_model_A,A0A0D0CBB0,423,1,ok
A0A0D0AMS9_taxID_944289_model_A,A0A0D0AMS9,425,1,ok
A0ABR1JRU1_taxID_2682957_model_A,A0ABR1JRU1,427,1,ok
A0A0D0E695_taxID_930991_model,A0A0D0E695,417,1,ok
A0A0C9YP62_taxID_765257_model_A,A0A0C9YP62,414,1,ok
A0A0D1ZZE1_taxID_253628_model,A0A0D1ZZE1,146,1,ok
A0A0D2D206_taxID_1851006_model,A0A0D2D206,161,1,ok
A0A0D2IUZ3_taxID_1442371_model,A0A0D2IUZ3,156,1,ok
A0A0D2EZH2_taxID_348802_model_A,A0A0D2EZH2,380,1,ok
A0A0D2JSE2_taxID_1442371_model,A0A0D2JSE2,162,1,ok
A0A0D2MIA5_taxID_945553_model_A,A0A0D2MIA5,144,1,ok
A0A0D2N6P1_taxID_945553_model,A0A0D2N6P1,144,1,ok
A0A9P7UK77_taxID_181124_model,A0A9P7UK77,148,1,ok
A0A0D2P6I0_taxID_945553_model,A0A0D2P6I0,145,1,ok
A0A0D2XZ37_taxID_660025_model_A,A0A0D2XZ37,132,1,ok
A0A0D7AZP4_taxID_1314674_model,A0A0D7AZP4,96,1,ok
A0A0D7BDR1_taxID_1314674_model,A0A0D7BDR1,141,1,ok
A0A0D7AWR7_taxID_1314674_model,A0A0D7AWR7,143,1,ok
A0A0D7BEH6_taxID_1314674_model_A,A0A0D7BEH6,193,1,ok
A0A0D7BKM1_taxID_1314674_model_A,A0A0D7BKM1,181,1,ok
A0A0F2MIH6_taxID_1397361_model,A0A0F2MIH6,117,1,ok
A0A0C2F903_taxID_1398154_model,A0A0C2F903,113,1,ok
U7PUG4_taxID_1391915_model,U7PUG4,180,1,ok
A0A0F4G447_taxID_1047168_model,A0A0F4G447,168,1,ok
A0A0F4ZJV7_taxID_72032_model,A0A0F4ZJV7,222,1,ok
A0A0F7ZGR3_taxID_1043627_model,A0A0F7ZGR3,215,1,ok
A0A0F7ZHW4_taxID_1043627_model,A0A0F7ZHW4,129,1,ok
A0A0F7ZJT6_taxID_1043627_model,A0A0F7ZJT6,125,1,ok
A0A0F7ZKE7_taxID_1043627_model,A0A0F7ZKE7,138,1,ok
A0A0F7ZKL0_taxID_1043627_model,A0A0F7ZKL0,88,1,ok
A0A0F7ZRN8_taxID_1043627_model,A0A0F7ZRN8,131,1,ok
A0A0F7ZUV5_taxID_1043627_model,A0A0F7ZUV5,130,1,ok
A0A0F7ZWF9_taxID_1043627_model,A0A0F7ZWF9,204,1,ok
A0A0F8A039_taxID_1043627_model,A0A0F8A039,146,1,ok
A0A0F8A1R3_taxID_1043627_model,A0A0F8A1R3,129,1,ok
A0A0F9X0I7_taxID_5544_model_A,A0A0F9X0I7,207,1,ok
A0A024S4X8_taxID_1344414_model_A,A0A024S4X8,189,1,ok
A0A1T3CJY3_taxID_1491466_model_A,A0A1T3CJY3,207,1,ok
A0A2H2ZLL5_taxID_858221_model_A,A0A2H2ZLL5,196,1,ok
A0A2K0TNJ3_taxID_5544_model_A,A0A2K0TNJ3,203,1,ok
A0A8G0LIR9_taxID_1491479_model_A,A0A8G0LIR9,207,1,ok
A0A8H4PYE1_taxID_72228_model_A,A0A8H4PYE1,211,1,ok
A0A9P4XFK8_taxID_1567552_model_A,A0A9P4XFK8,207,1,ok
A0A9P8QKR7_taxID_654480_model,A0A9P8QKR7,206,1,ok
A0ABY2H0D1_taxID_65468_model,A0ABY2H0D1,198,1,ok
T5AFN0_taxID_911162_model_A,T5AFN0,211,1,ok
A0A0G2FLP9_taxID_1214573_model,A0A0G2FLP9,228,1,ok
A0A0G2FNI6_taxID_1214573_model_A,A0A0G2FNI6,167,1,ok
A0A0G2GB29_taxID_158046_model,A0A0G2GB29,161,1,ok
A0A0G4KL14_taxID_100787_model_A,A0A0G4KL14,205,1,ok
A0A0G2ICP6_taxID_73230_model,A0A0G2ICP6,440,1,ok
A0A1B7NXV0_taxID_1955775_model,A0A1B7NXV0,462,1,ok
A0A1D2J845_taxID_121759_model,A0A1D2J845,448,1,ok
A0A1J9QCX9_taxID_1447872_model,A0A1J9QCX9,461,1,ok
A0A2B7ZTN1_taxID_73230_model,A0A2B7ZTN1,455,1,ok
A0A3A3A6Z6_taxID_2070753_model,A0A3A3A6Z6,452,1,ok
A0A8H8D6L7_taxID_5037_model,A0A8H8D6L7,256,1,ok
A0ABM9YGV9_taxID_559297_model,A0ABM9YGV9,448,1,ok
C6HJE9_taxID_544712_model,C6HJE9,256,1,ok
F0UIE3_taxID_544711_model,F0UIE3,256,1,ok
A0A0H2RSH5_taxID_27342_model_A,A0A0H2RSH5,175,1,ok
A0A0I9XPQ9_taxID_5127_model,A0A0I9XPQ9,144,1,ok
A0A066Y1V3_taxID_1173701_model,A0A066Y1V3,128,1,ok
A0A0A2VDR5_taxID_1245745_model,A0A0A2VDR5,123,1,ok
A0A0D2XQH2_taxID_660025_model,A0A0D2XQH2,154,1,ok
A0A0F8CNX3_taxID_88771_model,A0A0F8CNX3,129,1,ok
A0A0J9UYA5_taxID_426428_model,A0A0J9UYA5,154,1,ok
A0A151GX82_taxID_98403_model,A0A151GX82,121,1,ok
A0A161WK35_taxID_1573173_model,A0A161WK35,128,1,ok
A0A166UER9_taxID_708197_model,A0A166UER9,124,1,ok
A0A167GD15_taxID_1081107_model,A0A167GD15,146,1,ok
A0A1L7T4C3_taxID_192010_model,A0A1L7T4C3,144,1,ok
A0A1L7V6Z6_taxID_1227346_model,A0A1L7V6Z6,144,1,ok
A0A2C5X0B9_taxID_1035309_model,A0A2C5X0B9,129,1,ok
A0A2H3HNW1_taxID_327505_model,A0A2H3HNW1,155,1,ok
A0A2H3T9N0_taxID_5507_model,A0A2H3T9N0,145,1,ok
A0A2K0WTN0_taxID_42673_model,A0A2K0WTN0,144,1,ok
A0A2S7YK00_taxID_176275_model,A0A2S7YK00,123,1,ok
A0A2T4BCJ5_taxID_58853_model,A0A2T4BCJ5,141,1,ok
A0A365N769_taxID_948311_model,A0A365N769,144,1,ok
A0A3L6NJX0_taxID_396571_model,A0A3L6NJX0,155,1,ok
A0A420NKD4_taxID_5507_model,A0A420NKD4,144,1,ok
A0A420Q5H7_taxID_5507_model,A0A420Q5H7,144,1,ok
A0A4Q2VMI5_taxID_451672_model,A0A4Q2VMI5,144,1,ok
A0A559LGD1_taxID_61366_model,A0A559LGD1,144,1,ok
A0A5C6TKP7_taxID_61366_model,A0A5C6TKP7,145,1,ok
A0A8H4K532_taxID_78861_model,A0A8H4K532,156,1,ok
A0A8H4U9U3_taxID_1208366_model,A0A8H4U9U3,151,1,ok
A0A8H4WPP8_taxID_282569_model,A0A8H4WPP8,144,1,ok
A0A8H4ZRI9_taxID_48485_model,A0A8H4ZRI9,145,1,ok
A0A8H5JP05_taxID_42672_model,A0A8H5JP05,144,1,ok
A0A8H5L5Z4_taxID_56676_model,A0A8H5L5Z4,140,1,ok
A0A8H5MKJ1_taxID_751941_model,A0A8H5MKJ1,144,1,ok
A0A8H5N7W5_taxID_47803_model,A0A8H5N7W5,144,1,ok
A0A8H5NML4_taxID_48495_model,A0A8H5NML4,144,1,ok
A0A8H5RV81_taxID_1567544_model,A0A8H5RV81,158,1,ok
A0A8H5U9E2_taxID_48490_model,A0A8H5U9E2,144,1,ok
A0A8H5V2R6_taxID_42677_model,A0A8H5V2R6,145,1,ok
A0A8H5WWF5_taxID_48507_model,A0A8H5WWF5,142,1,ok
A0A8H5Y400_taxID_78864_model,A0A8H5Y400,144,1,ok
A0A8H6DL01_taxID_1567541_model,A0A8H6DL01,144,1,ok
A0A8H6LM81_taxID_100902_model,A0A8H6LM81,144,1,ok
A0A8J5P8T9_taxID_485398_model,A0A8J5P8T9,144,1,ok
A0A8J5Q6Q8_taxID_96318_model,A0A8J5Q6Q8,144,1,ok
A0A8J5TY63_taxID_96318_model,A0A8J5TY63,144,1,ok
A0A9P5BHQ5_taxID_1803897_model,A0A9P5BHQ5,158,1,ok
A0A9P8ISW1_taxID_1042133_model,A0A9P8ISW1,144,1,ok
A0A9P9EP06_taxID_307937_model,A0A9P9EP06,139,1,ok
A0A9P9HQ61_taxID_48865_model,A0A9P9HQ61,140,1,ok
A0A9P9XGQ0_taxID_1671311_model,A0A9P9XGQ0,128,1,ok
A0A9Q8WPZ0_taxID_145971_model,A0A9Q8WPZ0,148,1,ok
A0A9W8VKQ3_taxID_1237075_model,A0A9W8VKQ3,157,1,ok
A0AA40A5J6_taxID_1954250_model,A0AA40A5J6,145,1,ok
A0AAD8PZ48_taxID_681940_model,A0AAD8PZ48,149,1,ok
A0AAD9HLY9_taxID_1216348_model,A0AAD9HLY9,128,1,ok
A0AAE8M9M2_taxID_33205_model,A0AAE8M9M2,140,1,ok
A0AAV9HP34_taxID_585594_model,A0AAV9HP34,141,1,ok
A0AAW0RYN0_taxID_1069075_model,A0AAW0RYN0,157,1,ok
A0ABQ9RFY5_taxID_1209934_model,A0ABQ9RFY5,128,1,ok
A0ABR3YKV9_taxID_259994_model,A0ABR3YKV9,129,1,ok
A0ACC1R809_taxID_468837_model_A,A0ACC1R809,144,1,ok
E3QRP6_taxID_645133_model,E3QRP6,128,1,ok
F9FL94_taxID_660025_model,F9FL94,144,1,ok
J4UKG1_taxID_655819_model,J4UKG1,123,1,ok
N4UYU1_taxID_1229664_model,N4UYU1,144,1,ok
S0DPA1_taxID_1279085_model,S0DPA1,144,1,ok
W7M3P7_taxID_334819_model,W7M3P7,144,1,ok
W9ISQ6_taxID_660029_model,W9ISQ6,144,1,ok
W9KDI6_taxID_660027_model,W9KDI6,144,1,ok
W9PYD6_taxID_1080344_model,W9PYD6,144,1,ok
X0AR38_taxID_1089452_model,X0AR38,154,1,ok
X0B1M4_taxID_1089458_model,X0B1M4,144,1,ok
X0CST3_taxID_1089458_model,X0CST3,144,1,ok
X0IJ43_taxID_1089457_model,X0IJ43,144,1,ok
X0KV92_taxID_1089449_model,X0KV92,140,1,ok
X0L1X5_taxID_1089451_model,X0L1X5,145,1,ok
X0M106_taxID_1089449_model,X0M106,144,1,ok
A0A0J6YFZ0_taxID_404692_model,A0A0J6YFZ0,189,1,ok
A0A0J8QZ21_taxID_454286_model,A0A0J8QZ21,133,1,ok
A0A0J8RYC4_taxID_396776_model,A0A0J8RYC4,216,1,ok
A0ACB8V0J7_taxID_1387563_model,A0ACB8V0J7,231,1,ok
C5PBC3_taxID_222929_model,C5PBC3,189,1,ok
E9DGK7_taxID_443226_model,E9DGK7,189,1,ok
J3K3P9_taxID_246410_model,J3K3P9,189,1,ok
A0A0J9END7_taxID_653446_model,A0A0J9END7,388,1,ok
A0A0G2I8P6_taxID_73230_model,A0A0G2I8P6,378,1,ok
A0A0H1B4Y0_taxID_2060906_model,A0A0H1B4Y0,387,1,ok
A0A179UUW6_taxID_559298_model,A0A179UUW6,388,1,ok
A0A1B7NYA4_taxID_1955775_model,A0A1B7NYA4,386,1,ok
A0A1D2JJY4_taxID_121759_model,A0A1D2JJY4,388,1,ok
A0A1J9P4E5_taxID_1447872_model,A0A1J9P4E5,378,1,ok
A0A1J9R8T8_taxID_1658174_model,A0A1J9R8T8,377,1,ok
A0A2B7XVW2_taxID_1447875_model,A0A2B7XVW2,377,1,ok
A0A2B7ZD97_taxID_73230_model,A0A2B7ZD97,377,1,ok
A0A8A1L447_taxID_544711_model,A0A8A1L447,377,1,ok
A0A8H7YT13_taxID_5037_model,A0A8H7YT13,378,1,ok
A0ABP2EPS6_taxID_559297_model,A0ABP2EPS6,386,1,ok
C1G320_taxID_502780_model,C1G320,387,1,ok
C1H6P8_taxID_502779_model,C1H6P8,377,1,ok
A0A0K6G833_taxID_456999_model_A,A0A0K6G833,466,1,ok
A0A8H2XZI9_taxID_456999_model_A,A0A8H2XZI9,466,1,ok
A0A0M8N0I4_taxID_150374_model,A0A0M8N0I4,146,1,ok
A0A0U1M7Z5_taxID_28573_model_A,A0A0U1M7Z5,218,1,ok
A0A0A2JBW7_taxID_27334_model_A,A0A0A2JBW7,386,1,ok
A0A135LG02_taxID_5078_model,A0A135LG02,390,1,ok
A0A167UWJ4_taxID_5076_model,A0A167UWJ4,387,1,ok
A0A1V6T290_taxID_254877_model,A0A1V6T290,387,1,ok
A0A1V6TP25_taxID_303698_model,A0A1V6TP25,385,1,ok
A0A1V6XP46_taxID_60175_model,A0A1V6XP46,387,1,ok
A0A9W9FEI0_taxID_1131581_model,A0A9W9FEI0,388,1,ok
A0A9W9MFP2_taxID_2972120_model,A0A9W9MFP2,389,1,ok
A0A9X0BRX4_taxID_1303715_model,A0A9X0BRX4,390,1,ok
A0AAD6D6A6_taxID_3151616_model,A0AAD6D6A6,389,1,ok
A0ABQ8WGD7_taxID_5076_model,A0ABQ8WGD7,387,1,ok
A0ABR4G5U9_taxID_714993_model,A0ABR4G5U9,387,1,ok
A0ABR4HCD2_taxID_176169_model,A0ABR4HCD2,373,1,ok
A0ABR4L7P9_taxID_176178_model,A0ABR4L7P9,387,1,ok
B6HML8_taxID_500485_model,B6HML8,387,1,ok
A0A135RW48_taxID_703756_model_A,A0A135RW48,357,1,ok
A0A136IPD1_taxID_196109_model,A0A136IPD1,423,1,ok
A0A139H2H4_taxID_321146_model,A0A139H2H4,171,1,ok
A0A139HS50_taxID_113226_model_A,A0A139HS50,197,1,ok
A0A139GZD1_taxID_321146_model_A,A0A139GZD1,197,1,ok
A0A8H6RGS3_taxID_685502_model_A,A0A8H6RGS3,197,1,ok
A0A139I0D1_taxID_113226_model,A0A139I0D1,147,1,ok
A0A139IGI5_taxID_113226_model,A0A139IGI5,184,1,ok
A0A151GMN0_taxID_98403_model,A0A151GMN0,122,1,ok
A0A161VWW8_taxID_708197_model_A,A0A161VWW8,186,1,ok
A0A162KDQ5_taxID_1081102_model_A,A0A162KDQ5,208,1,ok
A0A163EMQ2_taxID_5454_model,A0A163EMQ2,227,1,ok
A0A164PRN3_taxID_1314777_model_A,A0A164PRN3,373,1,ok
A0A164RAH3_taxID_1314777_model,A0A164RAH3,217,1,ok
A0A166DTI6_taxID_1314776_model_A,A0A166DTI6,217,1,ok
A0A164TCQ0_taxID_1314777_model,A0A164TCQ0,383,1,ok
A0A166EDE1_taxID_1314776_model,A0A166EDE1,383,1,ok
A0A165BB62_taxID_1314785_model,A0A165BB62,150,1,ok
A0A165FWQ7_taxID_1314781_model,A0A165FWQ7,275,1,ok
A0A165R782_taxID_1314783_model_A,A0A165R782,139,1,ok
A0A166C3P3_taxID_1759441_model,A0A166C3P3,440,1,ok
A0A166DTU7_taxID_1314776_model_A,A0A166DTU7,186,1,ok
A0A164RA64_taxID_1314777_model_A,A0A164RA64,192,1,ok
A0A166DZ37_taxID_1314776_model_A,A0A166DZ37,350,1,ok
A0A166DZK8_taxID_1314776_model,A0A166DZK8,379,1,ok
A0A166DZM7_taxID_1314776_model_A,A0A166DZM7,389,1,ok
A0A164PTP3_taxID_1314777_model_A,A0A164PTP3,385,1,ok
A0A166E746_taxID_1759441_model_A,A0A166E746,89,1,ok
A0A166F1S8_taxID_1759441_model,A0A166F1S8,273,1,ok
A0A166CLK7_taxID_1759441_model,A0A166CLK7,265,1,ok
A0A167H3K1_taxID_1330018_model_A,A0A167H3K1,441,1,ok
A0A165J5C9_taxID_1353952_model_A,A0A165J5C9,436,1,ok
M5G7D8_taxID_1858805_model_A,M5G7D8,441,1,ok
A0A167LSW1_taxID_1081102_model,A0A167LSW1,127,1,ok
A0A167YJN6_taxID_1081109_model,A0A167YJN6,137,1,ok
A0A168D8M7_taxID_1081104_model,A0A168D8M7,133,1,ok
A0A175VT74_taxID_100816_model_A,A0A175VT74,280,1,ok
A0A177CUZ4_taxID_1460663_model,A0A177CUZ4,231,1,ok
A0A177D9T1_taxID_5599_model,A0A177D9T1,186,1,ok
A0A177DHU3_taxID_5599_model,A0A177DHU3,221,1,ok
A0A179EWV4_taxID_1380566_model,A0A179EWV4,124,1,ok
A0A179G2Q4_taxID_1380566_model,A0A179G2Q4,124,1,ok
A0A179I3R8_taxID_2714763_model,A0A179I3R8,144,1,ok
A0A168EW41_taxID_1081108_model,A0A168EW41,141,1,ok
A0A9W8QL67_taxID_2231603_model,A0A9W8QL67,123,1,ok
A0A179IC64_taxID_2714763_model_A,A0A179IC64,134,1,ok
A0A194VQC6_taxID_578113_model_A,A0A194VQC6,184,1,ok
A0A194X431_taxID_149040_model,A0A194X431,270,1,ok
A0A194XE82_taxID_149040_model,A0A194XE82,187,1,ok
A0A194XJ83_taxID_149040_model,A0A194XJ83,182,1,ok
A0A194XN78_taxID_149040_model,A0A194XN78,209,1,ok
A0A1B5KYY4_taxID_1159556_model,A0A1B5KYY4,123,1,ok
A0A1B7P2S2_taxID_1955775_model,A0A1B7P2S2,225,1,ok
A0A1B7Y8K3_taxID_759273_model_A,A0A1B7Y8K3,180,1,ok
A0A1B8AHN9_taxID_36050_model,A0A1B8AHN9,464,1,ok
A0A1C7MJW4_taxID_5627_model,A0A1C7MJW4,149,1,ok
A0A679EKP8_taxID_5627_model,A0A679EKP8,149,1,ok
A0A679FRT0_taxID_5627_model,A0A679FRT0,149,1,ok
A0A1E1JS04_taxID_2792576_model_A,A0A1E1JS04,323,1,ok
A0A1E1JSY2_taxID_914238_model,A0A1E1JSY2,323,1,ok
A0A1E1M8A8_taxID_38038_model_A,A0A1E1M8A8,323,1,ok
A0A1E1JXU9_taxID_2792576_model_A,A0A1E1JXU9,167,1,ok
A0A1E1KU53_taxID_914238_model_A,A0A1E1KU53,167,1,ok
A0A1E1MGK4_taxID_38038_model,A0A1E1MGK4,146,1,ok
A0A8H7WJ80_taxID_108018_model,A0A8H7WJ80,146,1,ok
A0ABR4CCE3_taxID_86028_model,A0ABR4CCE3,146,1,ok
A0A1E1LTR2_taxID_2792576_model,A0A1E1LTR2,184,1,ok
A0A1E1MFI0_taxID_38038_model,A0A1E1MFI0,184,1,ok
A0A1E3B9D8_taxID_573508_model,A0A1E3B9D8,363,1,ok
A0A7R7ZNQ8_taxID_182096_model,A0A7R7ZNQ8,363,1,ok
A0ABQ6WCU9_taxID_1825620_model,A0ABQ6WCU9,363,1,ok
A0A1J7J6R4_taxID_1408157_model,A0A1J7J6R4,124,1,ok
A0AAJ0BKJ1_taxID_438768_model,A0AAJ0BKJ1,124,1,ok
A0A1J7JNG9_taxID_1408157_model_A,A0A1J7JNG9,123,1,ok
A0A1J7K3Z8_taxID_1408157_model_A,A0A1J7K3Z8,194,1,ok
A0A1J9Q075_taxID_1658174_model,A0A1J9Q075,226,1,ok
A0A1J9R915_taxID_236234_model,A0A1J9R915,206,1,ok
A0A1J9RHE1_taxID_236234_model,A0A1J9RHE1,293,1,ok
A0A9P7I6A0_taxID_221167_model,A0A9P7I6A0,171,1,ok
S0EMH8_taxID_1279085_model,S0EMH8,162,1,ok
W7N554_taxID_334819_model,W7N554,162,1,ok
A0A1L7WDN4_taxID_576137_model,A0A1L7WDN4,281,1,ok
A0A1L7X762_taxID_576137_model_A,A0A1L7X762,170,1,ok
A0A1L7XV02_taxID_576137_model,A0A1L7XV02,361,1,ok
A0A1L9RA92_taxID_1073089_model,A0A1L9RA92,386,1,ok
A0A1L9SBJ3_taxID_1073090_model_A,A0A1L9SBJ3,395,1,ok
A0A1L9V3Y6_taxID_1160497_model,A0A1L9V3Y6,383,1,ok
A0A1M2V476_taxID_154538_model,A0A1M2V476,207,1,ok
A0A1P8YXV3_taxID_5499_model,A0A1P8YXV3,144,1,ok
A0A1R3RMB5_taxID_602072_model,A0A1R3RMB5,350,1,ok
A0A1S8B2L2_taxID_420778_model,A0A1S8B2L2,83,1,ok
A0A0G2EWS7_taxID_420778_model,A0A0G2EWS7,196,1,ok
A0ABR3TWR8_taxID_856260_model,A0ABR3TWR8,209,1,ok
A0A1U7LR42_taxID_1198029_model,A0A1U7LR42,167,1,ok
A0A1V6R4C4_taxID_29845_model,A0A1V6R4C4,401,1,ok
A0A0A2LDC3_taxID_40296_model,A0A0A2LDC3,389,1,ok
A0A101MLX7_taxID_48697_model,A0A101MLX7,393,1,ok
A0A1V6NBC1_taxID_60169_model,A0A1V6NBC1,390,1,ok
A0A1V6QSQ2_taxID_60172_model,A0A1V6QSQ2,401,1,ok
A0A1V6SJE6_taxID_254877_model,A0A1V6SJE6,401,1,ok
A0A9P5GB19_taxID_36656_model,A0A9P5GB19,393,1,ok
A0A9W9MGJ8_taxID_2972119_model,A0A9W9MGJ8,401,1,ok
A0ABQ8W8T8_taxID_5076_model,A0ABQ8W8T8,389,1,ok
A0A1V8T1G2_taxID_1507870_model,A0A1V8T1G2,166,1,ok
A0A139H8Y2_taxID_321146_model,A0A139H8Y2,147,1,ok
A0A1V8SV31_taxID_1507870_model,A0A1V8SV31,143,1,ok
A0A9Q8UVN4_taxID_5499_model,A0A9Q8UVN4,196,1,ok
M3C9Q8_taxID_692275_model,M3C9Q8,144,1,ok
N1PQK2_taxID_675120_model,N1PQK2,195,1,ok
A0A1V8TJ40_taxID_1507870_model_A,A0A1V8TJ40,200,1,ok
